Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Gene Title	Other ID	UG Cluster	LocusLink	Chromosome
CDC2	D88357	0.000742	0.005838776	4.830	6.211	5.040	5.115	0.059	0.302	0.184	0.063	4.830	6.211	5.040	5.115	Cell division cycle 2, G1 to S and G2 to M	MmugDNA.25206.1.S1_at	Hs.334562	983	10
CDC2	AL524035	0.006329	0.022090035	6.571	8.046	5.558	6.773	0.457	0.549	0.209	0.250	6.571	8.046	5.558	6.773	Cell division cycle 2, G1 to S and G2 to M	MmugDNA.42865.1.S1_at	Hs.334562	983	10
CDC2	NM_001786	0.000408	0.004114164	6.779	8.725	6.921	6.974	0.067	0.349	0.334	0.134	6.779	8.725	6.921	6.974	Cell division cycle 2, G1 to S and G2 to M	MmugDNA.14959.1.S1_at	Hs.334562	983	10
CDC20	NM_001255	0.003104	0.014004532	7.887	8.890	7.859	8.121	0.112	0.273	0.127	0.102	7.887	8.890	7.859	8.121	Cell division cycle 20 homolog (S. cerevisiae)	MmugDNA.18794.1.S1_at	Hs.524947	991	1
CDC25C	AF277724	0.002209	0.0112659	5.814	6.429	5.774	5.761	0.123	0.168	0.046	0.041	5.814	6.429	5.774	5.761	Cell division cycle 25 homolog C (S. pombe)	MmugDNA.8073.1.S1_at	Hs.656	995	5
CDC45L	NM_003504	0.001263	0.008035728	7.053	7.569	6.870	6.837	0.048	0.175	0.103	0.033	7.053	7.569	6.870	6.837	CDC45 cell division cycle 45-like (S. cerevisiae)	MmugDNA.14973.1.S1_at	Hs.474217	8318	22
CDC6	NM_001254	0.000948	0.006748669	5.009	6.924	5.283	5.403	0.097	0.373	0.295	0.189	5.009	6.924	5.283	5.403	Cell division cycle 6 homolog (S. cerevisiae)	MmugDNA.14956.1.S1_at	Hs.405958	990	17
CDK4	NM_000075	0.000094	0.001788333	11.016	11.470	11.275	11.189	0.062	0.042	0.022	0.042	11.016	11.470	11.275	11.189	Cyclin-dependent kinase 4	MmugDNA.15020.1.S1_at	Hs.95577	1019	12
CDK6	AW051349	0.003197	0.014223249	9.103	10.371	9.904	10.052	0.119	0.269	0.208	0.117	9.103	10.371	9.904	10.052	Cyclin-dependent kinase 6	MmugDNA.37022.1.S1_at	Hs.119882	1021	7
CDK6	AW274756	0.002359	0.011769926	9.361	10.719	10.421	10.603	0.241	0.215	0.244	0.114	9.361	10.719	10.421	10.603	Cyclin-dependent kinase 6	MmugDNA.37021.1.S1_at	Hs.119882	1021	7
CDK7	L20320	0.006654	0.022860143	7.306	7.665	7.467	7.423	0.054	0.074	0.064	0.031	7.306	7.665	7.467	7.423	Cyclin-dependent kinase 7	MmugDNA.790.1.S1_at	Hs.184298	1022	5
CDKN1B	BC001971	0.000009	0.000573432	10.627	9.446	9.586	9.603	0.024	0.187	0.054	0.053	10.627	9.446	9.586	9.603	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	MmugDNA.23933.1.S1_at	Hs.238990	1027	12
CDKN1C	R78668	0.000021	0.000857941	11.137	9.770	10.008	10.062	0.155	0.145	0.083	0.094	11.137	9.770	10.008	10.062	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	MmugDNA.22652.1.S1_s_at	Hs.106070	1028	11
CDKN1C	N33167	0.000472	0.00447505	12.438	11.364	11.522	11.694	0.158	0.153	0.111	0.098	12.438	11.364	11.522	11.694	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	MmugDNA.41458.1.S1_at	Hs.106070	1028	11
CDKN2A	U38945	0.001495	0.008855652	8.587	8.603	8.320	8.322	0.048	0.040	0.056	0.055	8.587	8.603	8.320	8.322	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	MmugDNA.16295.1.S1_at	Hs.512599	1029	9
CDKN2B	AW444761	0.000653	0.005414439	6.991	5.461	5.531	5.959	0.132	0.323	0.171	0.127	6.991	5.461	5.531	5.959	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	MmugDNA.20899.1.S1_at	Hs.72901	1030	9
CDKN2B	NM_004936	0.018301	0.045325864	6.434	6.160	6.157	6.241	0.032	0.033	0.098	0.044	6.434	6.160	6.157	6.241	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	MmugDNA.12064.1.S1_at	Hs.72901	1030	9
CHEK1	NM_001274	0.000214	0.002809483	5.397	7.182	6.216	6.486	0.094	0.318	0.155	0.095	5.397	7.182	6.216	6.486	CHK1 checkpoint homolog (S. pombe)	MmugDNA.15754.1.S1_at	Hs.24529	1111	11
CREBBP	NM_004380	0.000554	0.004902868	11.494	11.159	11.174	11.255	0.052	0.065	0.026	0.012	11.494	11.159	11.174	11.255	CREB binding protein (Rubinstein-Taybi syndrome)	MmugDNA.24784.1.S1_at	Hs.459759	1387	16
E2F1	NM_005225	0.001891	0.01026307	6.541	6.970	6.624	6.655	0.023	0.103	0.051	0.039	6.541	6.970	6.624	6.655	E2F transcription factor 1	MmugDNA.12570.1.S1_at	Hs.654393	1869	20
E2F3	AI640363	0.000957	0.00680011	6.197	6.663	6.636	6.780	0.086	0.090	0.054	0.074	6.197	6.663	6.636	6.780	E2F transcription factor 3	MmugDNA.41656.1.S1_at	Hs.269408	1871	6
E2F3	NM_001949	0.000612	0.005223233	7.394	8.232	8.070	8.290	0.129	0.094	0.146	0.097	7.394	8.232	8.070	8.290	E2F transcription factor 3	MmugDNA.12573.1.S1_at	Hs.269408	1871	6
FZR1	AB013463	0.003378	0.01469315	7.322	7.670	7.487	7.483	0.059	0.030	0.025	0.072	7.322	7.670	7.487	7.483	Fizzy/cell division cycle 20 related 1 (Drosophila)	MmugDNA.6633.1.S1_at	Hs.413133	51343	19
MAD1L1	NM_003550	0.012448	0.034742925	7.916	8.146	8.255	8.420	0.059	0.076	0.104	0.109	7.916	8.146	8.255	8.420	MAD1 mitotic arrest deficient-like 1 (yeast)	MmugDNA.40431.1.S1_at	Hs.654838	8379	7
MAD2L1	AF394735	0.000999	0.006967253	7.134	8.285	7.572	7.444	0.129	0.172	0.159	0.127	7.134	8.285	7.572	7.444	MAD2 mitotic arrest deficient-like 1 (yeast)	MmugDNA.17868.1.S1_at	Hs.591697	4085	4
MAD2L2	AF080398	0.003522	0.015099631	8.956	9.435	9.219	9.104	0.080	0.113	0.025	0.028	8.956	9.435	9.219	9.104	MAD2 mitotic arrest deficient-like 2 (yeast)	MmugDNA.40489.1.S1_at	Hs.19400	10459	1
MCM3	NM_002388	0.0006	0.005162963	8.898	9.497	8.783	8.736	0.111	0.123	0.106	0.048	8.898	9.497	8.783	8.736	Minichromosome maintenance complex component 3	MmugDNA.25436.1.S1_at	Hs.179565	4172	6
MCM4	AA604621	0.000377	0.003921925	8.267	9.301	8.518	8.432	0.041	0.207	0.101	0.090	8.267	9.301	8.518	8.432	Minichromosome maintenance complex component 4	MmugDNA.1969.1.S1_at	Hs.460184	4173	8
MCM4	AI936566	0.000549	0.00487174	5.677	6.890	5.952	5.895	0.095	0.214	0.109	0.163	5.677	6.890	5.952	5.895	Minichromosome maintenance complex component 4	MmugDNA.1968.1.S1_at	Hs.460184	4173	8
MCM4	AI936566	0.000097	0.0018139	6.369	7.602	6.786	6.586	0.112	0.187	0.085	0.098	6.369	7.602	6.786	6.586	Minichromosome maintenance complex component 4	MmugDNA.1968.1.S1_s_at	Hs.460184	4173	8
MCM6	NM_005915	0.000164	0.002421158	10.169	10.531	9.974	9.864	0.048	0.103	0.026	0.088	10.169	10.531	9.974	9.864	Minichromosome maintenance complex component 6	MmugDNA.35654.1.S1_at	Hs.444118	4175	2
MDM2	AJ276888	0.012681	0.035157127	6.201	6.538	6.804	6.397	0.110	0.107	0.090	0.121	6.201	6.538	6.804	6.397	Mdm2 p53 binding protein homolog (mouse)	MmugDNA.15767.1.S1_at	Hs.567303	4193	12
MDM2	AI274906	0.020745	0.049371831	6.574	7.229	7.463	7.369	0.290	0.102	0.085	0.184	6.574	7.229	7.463	7.369	Mdm2 p53 binding protein homolog (mouse)	MmugDNA.32207.1.S1_at	Hs.567303	4193	12
ORC3L	AF125507	0.002437	0.012018318	8.409	8.966	8.706	8.684	0.073	0.089	0.030	0.099	8.409	8.966	8.706	8.684	Origin recognition complex, subunit 3-like (yeast)	MmugDNA.17393.1.S1_at	Hs.410228	23595	6
ORC4L	AF047598	0.00035	0.003747835	10.384	9.909	9.958	9.959	0.044	0.091	0.055	0.034	10.384	9.909	9.958	9.959	Origin recognition complex, subunit 4-like (yeast)	MmugDNA.29856.1.S1_at	Hs.558364	5000	2
PCNA	NM_002592	0.000742	0.005838776	10.272	10.804	10.282	10.287	0.028	0.130	0.038	0.067	10.272	10.804	10.282	10.287	Proliferating cell nuclear antigen	MmugDNA.865.1.S1_at	Hs.147433	5111	20
PRKDC	U34994	0.016206	0.041668106	9.877	10.428	10.102	10.130	0.158	0.111	0.030	0.039	9.877	10.428	10.102	10.130	Protein kinase, DNA-activated, catalytic polypeptide	MmugDNA.23323.1.S1_at	Hs.491682	5591	8
PTTG1	NM_004219	0.000157	0.002357152	7.027	8.578	7.009	7.266	0.085	0.301	0.171	0.102	7.027	8.578	7.009	7.266	Pituitary tumor-transforming 1	MmugDNA.31059.1.S1_s_at	Hs.350966	9232	5
PTTG1	NM_004219	0.001596	0.009223517	8.902	10.711	8.972	9.197	0.073	0.291	0.304	0.345	8.902	10.711	8.972	9.197	Pituitary tumor-transforming 1	MmugDNA.31059.1.S1_at	Hs.350966	9232	5
RBL1	BC032247	0.000285	0.003309079	6.417	6.037	6.160	5.971	0.024	0.030	0.081	0.053	6.417	6.037	6.160	5.971	Retinoblastoma-like 1 (p107)	MmugDNA.17097.1.S1_at	Hs.207745	5933	20
SFN	BC000329	0.013302	0.036341525	6.450	7.163	6.639	6.862	0.059	0.206	0.144	0.046	6.450	7.163	6.639	6.862	Stratifin	MmugDNA.3990.1.S1_at	Hs.523718	2810	1
SKP1	NM_006930	0.00021	0.002792029	11.499	11.769	11.689	11.669	0.027	0.012	0.006	0.050	11.499	11.769	11.689	11.669	S-phase kinase-associated protein 1	MmugDNA.24766.1.S1_s_at	Hs.171626	6500	5
SKP1	NM_006930	0.00001	0.000597429	11.741	12.079	12.000	11.939	0.024	0.020	0.006	0.044	11.741	12.079	12.000	11.939	S-phase kinase-associated protein 1	MmugDNA.24766.1.S1_at	Hs.171626	6500	5
SKP2	BG105365	0.001048	0.007182672	7.793	8.212	7.861	7.815	0.063	0.040	0.042	0.085	7.793	8.212	7.861	7.815	S-phase kinase-associated protein 2 (p45)	MmugDNA.40534.1.S1_s_at	Hs.23348	6502	5
SKP2	NM_005983	0.000372	0.003887493	6.971	7.584	7.292	7.153	0.025	0.063	0.063	0.106	6.971	7.584	7.292	7.153	S-phase kinase-associated protein 2 (p45)	MmugDNA.38052.1.S1_at	Hs.23348	6502	5
SKP2	BC001441	0.000235	0.002942425	7.191	8.313	7.866	7.635	0.162	0.091	0.073	0.136	7.191	8.313	7.866	7.635	S-phase kinase-associated protein 2 (p45)	MmugDNA.10117.1.S1_s_at	Hs.23348	6502	5
SMAD2	BF793454	0.008597	0.027206879	10.530	10.242	10.289	10.229	0.061	0.058	0.057	0.049	10.530	10.242	10.289	10.229	SMAD family member 2	MmugDNA.33215.1.S1_at	Hs.12253	4087	18
SMAD2	U65019	0.002665	0.012706813	10.001	10.319	10.231	10.186	0.065	0.044	0.034	0.033	10.001	10.319	10.231	10.186	SMAD family member 2	MmugDNA.20525.1.S1_at	Hs.12253	4087	18
SMAD4	AW055351	0.004446	0.017430108	11.004	10.604	10.702	10.747	0.052	0.079	0.035	0.074	11.004	10.604	10.702	10.747	SMAD family member 4	MmugDNA.19781.1.S1_at	Hs.75862	4089	18
YWHAB	BC001359	0.001291	0.008144348	11.539	11.909	11.880	11.841	0.076	0.047	0.036	0.048	11.539	11.909	11.880	11.841	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	MmugDNA.9171.1.S1_s_at	Hs.643544	7529	20
-	U82828	0.002971	0.013637192	9.429	9.134	8.945	8.950	0.064	0.102	0.100	0.018	9.429	9.134	8.945	8.950	ataxia telangiectasia mutated	MmugDNA.12666.1.S1_s_at	-	472	-
-	U82828	0.005154	0.019238422	5.422	5.242	5.043	5.006	0.057	0.077	0.097	0.048	5.422	5.242	5.043	5.006	ataxia telangiectasia mutated	MmugDNA.12666.1.S1_at	-	472	-
-	NM_014052	0.001526	0.008986054	13.208	13.548	13.489	13.555	0.092	0.029	0.033	0.024	13.208	13.548	13.489	13.555	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	MmugDNA.32223.1.S1_at	-	7529	-
