Accesion #	Gene Name	PCOS/NL	p-value	Function	Specific Function
NM_005761	Plexin C1	0.44	0.001	Signal Transduction	GPI-Anchored Receptors
NM_000459	TEK tyrosine kinase, endothelial	0.47	0.002	Signal Transduction	Kinases
NM_004734	Doublecortin and CaM kinase like 1	2.49	0.043	Signal Transduction	Kinases
NM_005044	cAMP dependent protein kinase	1.65	0.005	Signal Transduction	Kinases
NM_014365	Protein kinase H11	1.52	0.042	Signal Transduction	Kinases
NM_005204	Mitogen activated protein kinase kinase kinase 8	1.89	0.047	Signal Transduction	Kinases
NM_002647	Phosphoinositide 3 kinase, class 3	1.47	0.018	Signal Transduction	Kinases
NM_013233	Ste-20 related kinase	1.43	0.023	Signal Transduction	Kinases
NM_014413	Heme-regulated initiation factor 2alpha kinase	1.34	0.04	Signal Transduction	Kinases
NM_003713	Phosphatidic acid phosphatase type 2B	0.57	0.029	Signal Transduction	Phosphatases
NM_003620	Protein phosphatase 1D, magnesium dependent ?	1.43	0.028	Signal Transduction	Phosphatases
U78516	cAMP-GEFII	2.04	0.002	Signal Transduction	Intracellular Signaling Molecules
D31885	ARF-like 6 interacting protein (KIAA0069)	1.43	0.043	Signal Transduction	Intracellular Signaling Molecules
NM_014737	Ras association domain family 2 (RalGDS/AF-6)	0.44	0.001	Signal Transduction	Intracellular Signaling Molecules
NM_014030	G-protein coupled receptor kinase interactor 1	0.42	0.001	Signal Transduction	Intracellular Signaling Molecules
BF515889	Cyclophilin-like 4	2.11	0.001	Signal Transduction	Intracellular Signaling Molecules
NM_003580	Neutral sphingomyelinase activation association factor	1.6	0.004	Signal Transduction	Intracellular Signaling Molecules
NM_012341	G-protein binding protein CRFG	1.54	0.016	Signal Transduction	Intracellular Signaling Molecules
BC000616	SWAP-70 protein	1.49	0.041	Signal Transduction	Intracellular Signaling Molecules
NM_015065	SLAC2-B (KIAA0624)	0.64	0.046	Signal Transduction	Intracellular Signaling Molecules
NM_031296	Rab33B (ras oncogene family)	0.62	0.049	Signal Transduction	Intracellular Signaling Molecules
NM_014061	APC related protein	0.54	0.023	Signal Transduction	Intracellular Signaling Molecules
NM_006449	Cdc42 effector protein 3	1.65	0.048	Signal Transduction	Intracellular Signaling Molecules
NM_001262	Cyclin-dependent kinase inhibitor 2C	0.62	0.033	Signal Transduction	Intracellular Signaling Molecules
NM_001196	BH3 interacting domain death antagonist	1.47	0.029	Signal Transduction	Intracellular Signaling Molecules
NM_003404	Tyr 3-monooxygenase, trp 5-monooxygenase	1.44	0.03	Signal Transduction	Intracellular Signaling Molecules
NM_018669	WD repeat domain 4	1.6	0.031	Signal Transduction	Intracellular Signaling Molecules
NM_017588	WD repeat domain 5	1.84	0.01	Signal Transduction	Intracellular Signaling Molecules
NM_014624	S100 calcium binding protein A6	1.8	0.034	Signal Transduction	Intracellular Signaling Molecules
NM_002069	Guanine nucleotide binding protein ? inhibiting 1	1.55	0.034	Signal Transduction	Intracellular Signaling Molecules
NM_004864	Prostate differentiation factor	1.99	0.035	Signal Transduction	Intracellular Signaling Molecules
NM_002925	Regulator of G-protein signaling 10	0.68	0.042	Signal Transduction	Intracellular Signaling Molecules
NM_015367	Mil 1 protein	1.43	0.037	Signal Transduction	Intracellular Signaling Molecules
NM_033103	Rhophilin like protein	1.89	0.002	Signal Transduction	Intracellular Signaling Molecules
NM_020731	Aryl hydrocarbon receptor repressor	1.65	0.025	Signal Transduction	Intracellular Signaling Molecules
NM_016340	Rap-GEF	1.56	0.026	Signal Transduction	Intracellular Signaling Molecules
NM_020299	Aldo-keto reductase family 1, B10	2.29	0.011	Metabolism	Carbohydrate Metabolism
NM_001931	Dihydrolipoamide S-acetyltransferase	1.57	0.024	Metabolism	Carbohydrate Metabolism
NM_021176	Islet specific glucose-6-phosphatase	0.6	0.015	Metabolism	Carbohydrate Metabolism
NM_005896	Isocitrate dehydrogenase 1	1.58	0.015	Metabolism	Carbohydrate Metabolism
NM_005326	Hydroxyacyl glutathione hydrolase	1.71	0.016	Metabolism	Carbohydrate Metabolism
NM_002395	Malic enzyme 1	1.66	0.019	Metabolism	Carbohydrate Metabolism
NM_000189	Hexokinase 2	1.47	0.046	Metabolism	Carbohydrate Metabolism
NM_006117	Peroxisomal D3, D2 enoyl-CoA isomerase	1.46	0.008	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_000382	Aldehyde dehydrogenase 3, member A2	1.55	0.028	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_006033	Endothelial lipase	0.44	0.001	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_004458	Fatty acid CoA ligase, long chain 4	1.75	0.019	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
U89281	Retinol dehydrogenase 2 (RoDH2)	4.06	0.026	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
U07919	Aldehyde dehydrogenase 1, member A3 (ALDH6)	2.94	0.035	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_004753	Short chain dehydrogenase/reductase 1	1.87	0.014	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_001757	Carbonyl reductase 1	1.54	0.02	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_000954	Prostaglandin D2 synthase	1.84	0.005	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_005090	Phospholipase A2, group IVB	0.68	0.047	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_006452	Phosphoribosylamine imidazole carboxylase	1.44	0.046	Metabolism	Nucleotide Metabolism/Synthesis
NM_002526	5’ nucleotidase (CD73)	2.65	0.024	Metabolism	Nucleotide Metabolism/Synthesis
NM_012229	5’ nucleotidase, cytosolic type II	1.48	0.035	Metabolism	Nucleotide Metabolism/Synthesis
NM_001905	CTP synthase	1.54	0.018	Metabolism	Nucleotide Metabolism/Synthesis
NM_002064	Glutaredoxin (thioltransferase)	1.59	0.045	Metabolism	Nucleotide Metabolism/Synthesis
NM_000883	IMP dehydrogenase 1	0.66	0.034	Metabolism	Nucleotide Metabolism/Synthesis
AL080076	Single-stranded DNA binding protein 2	0.38	0.002	Metabolism	DNA Replication
NM_006444	Structural maintenance of chromosomes 2	1.89	0.024	Metabolism	DNA Replication
NM_003090	snRNP polypeptide A	1.82	0.003	Metabolism	RNA Processing
NM_003016	Arginine/serine rich splicing factor 2	1.49	0.033	Metabolism	RNA Processing
AF069681	SAM68-like phosphotyrosine protein T-STAR	0.47	0.013	Metabolism	RNA Processing
NM_001112	Adenosine deaminase	1.93	0.021	Metabolism	RNA Processing
NM_004728	DEAD/H box member 21	1.45	0.035	Metabolism	RNA Processing
NM_000320	Quinoid dihydropteridine reductase	1.59	0.041	Metabolism	Amino Acid Metabolism
NM_000274	Ornithine aminotransferase	1.36	0.05	Metabolism	Amino Acid Metabolism
NM_000353	Tyrosine aminotransferase	0.56	0.025	Metabolism	Amino Acid Metabolism
NM_000062	C1-inhibitor/SERPING 1	2.03	0.004	Metabolism	Protein Modification
M25915	Clusterin	2.62	0.05	Metabolism	Protein Modification
NM_000204	I factor	1.6	0.028	Metabolism	Protein Modification
NM_000303	Phosphomannomutase 2	1.88	0.01	Metabolism	Protein Modification
NM_005084	PAF acetylhydrolase	1.41	0.023	Metabolism	Protein Modification
AW512196	PAF acetylhydrolase 2	1.61	0.018	Metabolism	Protein Modification
NM_020682	Cyt19 protein	1.72	0.01	Metabolism	Protein Modification
NM_002581	Pregnancy associated plasma protein A	1.67	0.049	Metabolism	Protein Modification
NM_001935	Dipeptidylpeptidase IV	1.74	0.02	Metabolism	Protein Modification
U10473	UDP-Gal:beta 1,4 galactosyltransferase polypeptide 1	0.48	0.004	Metabolism	Protein Modification
M_003595	Tyrosylprotein sulfotransferase 2	0.44	0.002	Metabolism	Protein Modification
NM_005328	Hyaluronan synthase 2	0.47	0.005	Metabolism	Protein Modification
NM_005715	Uronyl 2-sulfotransferase	1.39	0.04	Metabolism	Protein Modification
NM_004808	N-myristoyltransferase 2	1.57	0.044	Metabolism	Protein Modification
NM_019886	N-acetylglucosamine sulfotransferase 7	0.61	0.047	Metabolism	Protein Modification
NM_003878	Gamma glutamyl hydrolase	2	0.02	Metabolism	Protein Modification
NM_001223	Caspase 1	1.5	0.037	Metabolism	Protein Modification
NM_020682	Cyt19 protein	1.72	0.01	Metabolism	Protein Modification
NM_006774	Indoethylamine N-methyltransferase	1.68	0.044	Metabolism	Protein Modification
AI433463	Membrane metallo-endopeptidase (CALLA)	0.43	0.006	Metabolism	Protein Degradation
NM_006665	Heparanase	2.27	0.015	Metabolism	Protein Degradation
NM_004995	Matrix metalloproteinase 14	0.57	0.019	Metabolism	Protein Degradation
BC006393	Carboxypeptidase Z	3.02	0.002	Metabolism	Protein Degradation
NM_006796	ATPase family gene 3 (AFG3)	1.4	0.042	Metabolism	Protein Degradation
NM_004793	Serine protease 15	1.35	0.045	Metabolism	Protein Degradation
NM_000070	Calpain 3	0.62	0.048	Metabolism	Protein Degradation
NM_014959	CARD containing antagonist caspase 9 (TUCAN)	0.63	0.026	Metabolism	Protein Degradation
NM_00216	Inter-alpha inhibitor	0.63	0.039	Metabolism	Protein Degradation
NM_022353	Putative sialglycoprotease type 2	1.41	0.048	Metabolism	Protein Degradation
NM_005151	Ubiquitin specfic protease 14	1.42	0.026	Metabolism	Protein Degradation
NM_006002	Ubiquitin carboxyl-terminal esterase L3	1.49	0.014	Metabolism	Protein Degradation
NM_004181	Ubiquitin carboxyl-terminal esterase L1	1.5	0.024	Metabolism	Protein Degradation
NM_003350	Ubiquitin conjugating enzyme E2	1.59	0.017	Metabolism	Protein Degradation
NM_007014	Nedd 4-like	0.61	0.027	Metabolism	Protein Degradation
NM_006156	Nedd 8	1.57	0.034	Metabolism	Protein Degradation
NM_003905	Amyloid beta precursor protein binding protein 1	1.48	0.029	Metabolism	Protein Degradation
NM_022662	Anaphase-promoting complex 1	1.54	0.015	Metabolism	Protein Degradation
NM_002811	Proteasome 26S subunit	1.45	0.014	Metabolism	Protein Degradation
NM_005805	Proteasome 26S associated pad 1 homolog	1.37	0.046	Metabolism	Protein Degradation
NM_001415	Eukaryotic translation initiation factor 2, 3gamma	0.28	0.0003	Metabolism	Protein Translation
NM_004280	Eukaryotic translation initiation factor 1	1.43	0.027	Metabolism	Protein Translation
NM_003754	Eukaryotic translation initiation factor 3, subunit 5	0.61	0.025	Metabolism	Protein Translation
NM_015956	Mitochondrial ribosomal protein L4	3.06	0.006	Metabolism	Protein Translation
NM_014078	Mitochondrial ribosomal protein L13	1.4	0.017	Metabolism	Protein Translation
NM_002952	Mitochondrial ribosomal protein S2	0.72	0.05	Metabolism	Protein Translation
NM_016070	Mitochondrial ribosomal protein S23	1.58	0.049	Metabolism	Protein Translation
NM_019041	Prokaryotic-type class I peptide chain release factor	4.72	0.002	Metabolism	Protein Translation
NM_006451	Polyadenylate binding protein interacting protein 1	1.48	0.01	Metabolism	Protein Translation
NM_014456	Programmed cell death 4	0.53	0.019	Metabolism	Protein Translation
NM_004711	Synaptogyrin 1	1.61	0.006	Metabolism	Intracellular Trafficking/Chaperones
NM_004782	SNAP29	2.6	0.002	Metabolism	Intracellular Trafficking/Chaperones
NM_014349	Apolipoprotein L, 3	1.83	0.041	Metabolism	Intracellular Trafficking/Chaperones
NM_002271	Karyopherin (importin) beta 3	0.68	0.046	Metabolism	Intracellular Trafficking/Chaperones
NM_004134	Heat shock protein 70, 9B	1.42	0.02	Metabolism	Intracellular Trafficking/Chaperones
NM_000081	Beige protein homolog (Chediak-Higashi syndrome)	0.65	0.043	Metabolism	Intracellular Trafficking/Chaperones
NM_004227	Pleckstrin homology, Sec7 and coiled coil domains 3	1.71	0.016	Metabolism	Intracellular Trafficking/Chaperones
NM_024658	Importin 4	1.58	0.036	Metabolism	Intracellular Trafficking/Chaperones
NM_006745	Sterol C4 methyl oxidase like	2.17	0.012	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_006918	Sterol C5 desaturase	1.67	0.017	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_004508	Isopentyl-diphosphate delta isomerase	1.84	0.018	Metabolism	Cholesterol Metabolism/Steroidogenesis
U40053	Lanosterol 14alpha demethylase (CYP51)	1.77	0.013	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_000859	HMG CoA reductase	2	0.042	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_002130	HMG CoA synthase 1	2.91	0.023	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_003129	Squalene epoxidase	1.86	0.048	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_000102	Steroid 17alpha-hydroxylase gene, exon 8	3.03	0.04	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_001914	Cytochrome b5	1.59	0.036	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_000903	Cytochrome b5 reductase	1.84	0.036	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_004109	Ferredoxin1	1.52	0.05	Metabolism	Cholesterol Metabolism/Steroidogenesis
BC005894	Flavin monooxygenase 2	0.42	0.003	Metabolism	Oxidation
M36532	Carbonic anhydrase II	5.05	0.0005	Metabolism	Oxidation
NM_001216	Carbonic anhydrase IX	2.24	0.028	Metabolism	Oxidation
NM_021074	NADH dehydrogenase flavoprotein 2	1.38	0.042	Metabolism	Oxidation
NM_003330	Thioredoxin reductase 1	1.77	0.02	Metabolism	Oxidation
NM_001159	Aldehyde oxidase 1	1.75	0.036	Metabolism	Oxidation
U63542	Putative ferritin associated protein (FAP)	0.63	0.029	Metabolism	Oxidation
NM_005783	ATP binding protein associated with cell differentiation	1.35	0.036	Metabolism	Oxidation
NM_016931	NADPH oxidase 4	0.52	0.036	Metabolism	Oxidation
NM_022787	Nicotinamide adenylyltransferase	0.54	0.048	Metabolism	Oxidation
D87811	GATA binding protein 6	2.76	0.0001	Nuclear Proteins	Transcription Factors
NM_006193	Paired box gene 4	0.45	0.003	Nuclear Proteins	Transcription Factors
NM_022454	SRY-box 17 (SOX17)	0.37	0.0003	Nuclear Proteins	Transcription Factors
AV729072	SRY-box 22 (SOX22)	1.93	0.022	Nuclear Proteins	Transcription Factors
NM_005081	Zinc finger protein 142	0.5	0.007	Nuclear Proteins	Transcription Factors
NM_007345	Zinc finger protein 236	0.53	0.018	Nuclear Proteins	Transcription Factors
NM_004926	Zinc finger protein 36	0.6	0.03	Nuclear Proteins	Transcription Factors
NM_003425	Zinc finger protein 45	0.65	0.037	Nuclear Proteins	Transcription Factors
NM_012258	Hairy/enhancer of splity (YRPW related)	0.53	0.013	Nuclear Proteins	Transcription Factors
NM_004575	POU domain class 4 transcription factor 2	0.54	0.015	Nuclear Proteins	Transcription Factors
NM_003487	TBP-associated factor 15	1.9	0.02	Nuclear Proteins	Transcription Factors
NM_005641	TBP associated factor 6	0.67	0.039	Nuclear Proteins	Transcription Factors
NM_004348	Runt-related transcription factor 2	0.58	0.024	Nuclear Proteins	Transcription Factors
NM_052854	Old astrocyte specifically induced substance	0.63	0.028	Nuclear Proteins	Transcription Factors
NM_006368	cAMP responsive element binding protein 3	1.64	0.038	Nuclear Proteins	Transcription Factors
NM_002166	Inhibitor of DNA binding 2	2.13	0.007	Nuclear Proteins	Co-Regulators
NM_006333	Nuclear DNA binding protein	1.6	0.012	Nuclear Proteins	Co-Regulators
NM_003743	Nuclear receptor coactivator 1	1.61	0.026	Nuclear Proteins	Co-Regulators
NM_003198	Transcription elongation factor B3 (elongin A)	0.65	0.027	Nuclear Proteins	Co-Regulators
NM_007192	Chromatin specific transcription elongation factor	1.37	0.036	Nuclear Proteins	Co-Regulators
NM_006079	CBP/p300 interacting transactivator	1.62	0.036	Nuclear Proteins	Co-Regulators
NM_002598	Programmed cell death 2	1.45	0.036	Nuclear Proteins	Co-Regulators
NM_032154	MBLR protein	1.52	0.013	Nuclear Proteins	Co-Regulators
Y15916	Collagen type Ialpha1	0.48	0.049	Cytoskeletal Proteins	Structural Proteins
NM_004369	Collagen type VIalpha3	0.48	0.002	Cytoskeletal Proteins	Structural Proteins
NM_001848	Collagen type VIalpha1	0.6	0.042	Cytoskeletal Proteins	Structural Proteins
NM_001855	Collagen type XValpha1	0.2	0.0001	Cytoskeletal Proteins	Structural Proteins
NM_021076	Neurofilament, heavy	1.88	0.001	Cytoskeletal Proteins	Structural Proteins
NM_012334	Myosin X	1.53	0.022	Cytoskeletal Proteins	Structural Proteins
NM_002345	Lumican	0.47	0.003	Cytoskeletal Proteins	Structural Proteins
NM_006985	Nuclear pore complex interacting protein	2.29	0.015	Cytoskeletal Proteins	Structural Proteins
NM_006987	Rabphilin 3A-like	0.6	0.033	Cytoskeletal Proteins	Structural Proteins
NM_000533	Proteolipid protein 1	0.62	0.038	Cytoskeletal Proteins	Structural Proteins
NM_015990	Kelch like 5	1.79	0.003	Cytoskeletal Proteins	Structural Proteins
NM_139241	Frabin	1.82	0.033	Cytoskeletal Proteins	Structural Proteins
NM_021229	Netrin 4	1.64	0.018	Cytoskeletal Proteins	Structural Proteins
AI796813	Advillin	2.15	0.006	Cytoskeletal Proteins	Structural Proteins
AW662373	RPE-spondin	2.28	0.013	Cytoskeletal Proteins	Cell Adhesion Factors
NM_004684	SPARC-like 1 (mast9, hevin)	0.31	0.0002	Cytoskeletal Proteins	Cell Adhesion Factors
NM_004415	Desmoplakin	0.49	0.001	Cytoskeletal Proteins	Cell Adhesion Factors
NM_001078	VCAM1	3.27	0.001	Cytoskeletal Proteins	Cell Adhesion Factors
NM_002888	Tazarotene-induced 1 (TIG1)	4.24	0.015	Cytoskeletal Proteins	Cell Adhesion Factors
NM_003637	Integrin alpha 10	0.47	0.001	Cytoskeletal Proteins	Cell Adhesion Factors
BF513121	Integrin beta 8	1.88	0.049	Cytoskeletal Proteins	Cell Adhesion Factors
NM_000900	Matrix Gla protein	0.22	0.0001	Cytoskeletal Proteins	Cell Adhesion Factors
Y13786	A disintegrin and metalloproteinase domain 19	0.4	0.0004	Cytoskeletal Proteins	Cell Adhesion Factors
NM_002589	BH protocadherin	2.52	0.007	Cytoskeletal Proteins	Cell Adhesion Factors
AW304232	Laminin receptor 1	0.62	0.033	Cytoskeletal Proteins	Cell Adhesion Factors
NM_001423	Epithelial membrane protein 1 (EMP-1)	2.01	0.002	Cytoskeletal Proteins	Cell Adhesion Factors
M35252	Transmembrane 4 superfamily member 3	3.65	0.001	Cell Surface Antigens
NM_005139	Annexin A3	2.25	0.007	Cell Surface Antigens
NM_005786	Serologically defined colon cancer antigen 33	1.49	0.05	Cell Surface Antigens
AJ275383	Immunoglobulin heavy chain V region (IGVH3)	0.45	0.0007	Cell Surface Antigens
NM_000064	Complement component 3	1.53	0.008	Cell Surface Antigens
NM_000587	Complement component 7	0.36	0.0009	Cell Surface Antigens
M81104	CD34 antigen	0.46	0.001	Cell Surface Antigens
NM_001779	CD58 antigen	1.53	0.049	Cell Surface Antigens
NM_000610	CD44 antigen	0.55	0.037	Cell Surface Antigens
AB020690	Paraneoplastic antigen MA2	2.95	0.003	Cell Surface Antigens
NM_005944	MRC OX-2 membrane glycoprotein	1.38	0.041	Cell Surface Antigens
NM_022663	CTAGE-1 protein	0.57	0.018	Cell Surface Antigens
NM_032777	Tumor endothelial marker 5	0.61	0.022	Cell Surface Antigens
NM_030801	MAGE-E1 protein	0.62	0.028	Cell Surface Antigens
NM_013326	Colon cancer associated protein mic 1	1.39	0.037	Cell Surface Antigens
NM_030927	MGC11352 tetraspanin protein	1.36	0.038	Cell Surface Antigens
AI025519	Solute carrier family 26, member 2	0.44	0.001	Pumps and Channels
NM_000617	Solute carrier family 11, member 2	1.72	0.014	Pumps and Channels
NM_004170	Solute carrier family 1, member 1	1.82	0.048	Pumps and Channels
NM_002394	Solute carrier family 3, member 2	1.66	0.018	Pumps and Channels
NM_001151	Solute carrier family 25, member 4	1.58	0.026	Pumps and Channels
NM_001860	Solute carrier family 31, member 2	1.65	0.033	Pumps and Channels
NM_001859	Solute carrier family 31, member 1	1.63	0.004	Pumps and Channels
NM_004669	Chloride intracellular channel 3	2.89	0.024	Pumps and Channels
NM_004803	Organic cationic transporter like 4	0.54	0.012	Pumps and Channels
NM_005796	Nuclear transport factor 2	0.6	0.013	Pumps and Channels
NM_006554	Metaxin 2	1.46	0.013	Pumps and Channels
NM_001696	ATPase, H+ transporting, lysosomal	1.39	0.032	Pumps and Channels
NM_015993	Transmembrane 4, superfamily member 11	1.6	0.035	Pumps and Channels
AW068936	ATPase, class VI, type IIa	1.71	0.002	Pumps and Channels
NM_016185	Hematological and neurological expressed 1	1.51	0.05	Miscellaneous
NM_000504	Coagulation factor X	0.54	0.023	Miscellaneous
AB046842	HEAT-like repeat-containing protein	2.14	0.013	Miscellaneous
NM_006034	p53-induced protein	3.13	0.003	Miscellaneous
NM_018656	Bladder cancer overexpressed protein (BLOV1)	1.82	0.009	Miscellaneous
NM_007238	Peroxisomal membrane protein 4	0.67	0.042	Miscellaneous
NM_015416	Cervical cancer 1 protooncogene	0.7	0.05	Miscellaneous
NM_002402	Mesoderm specific transcript	1.64	0.022	Miscellaneous
NM_014467	Sushi repeat protein	0.64	0.026	Miscellaneous
NM_015344	Leptin receptor overlapping transcript like 1	1.43	0.026	Miscellaneous
NM_032857	Lactamase beta	1.62	0.025	Miscellaneous
AL080169	DKFZp434C171	2.4	0.02	Expressed Sequence Tags
NM_031289	hypothetical protein MGC3146	3.5	0.027	Expressed Sequence Tags
AL049435	DKFZp586B0220	2.05	0.014	Expressed Sequence Tags
D79983	KIAA0161 gene product	0.41	0.0008	Expressed Sequence Tags
AI700633	FLJ22642 fis, clone HSI06970	0.41	0.003	Expressed Sequence Tags
R62424	IMAGE: 36221	2.82	0.003	Expressed Sequence Tags
AI002715	IMAGE: 1699223	0.48	0.005	Expressed Sequence Tags
NM_024563	FLJ14054	0.44	0.006	Expressed Sequence Tags
NM_023940	hypothetical protein MGC2827	0.47	0.002	Expressed Sequence Tags
NM_024614	FLJ13197	0.38	0.001	Expressed Sequence Tags
AL569804	clone CSODI002YJ15	0.39	0.002	Expressed Sequence Tags
AL137284	DKFZp434D1516	0.44	0.001	Expressed Sequence Tags
AK027231	KIAA1102	2.27	0.042	Expressed Sequence Tags
AL110238	DKFZp566E104	2.06	0.0006	Expressed Sequence Tags
AL117530	DKFZp434B172	0.49	0.005	Expressed Sequence Tags
AK025482	FLJ21829 fis, clone HEP01461	0.49	0.018	Expressed Sequence Tags
AA584310	IMAGE: 1090128	0.41	0.002	Expressed Sequence Tags
AL580319	clone CSODJ006YJ17	0.45	0.005	Expressed Sequence Tags
AI821669	IMAGE: 740416	0.37	0.002	Expressed Sequence Tags
AW205418	IMAGE: 2720737	0.44	0.002	Expressed Sequence Tags
AI627704	IMAGE: 2285527	0.41	0.002	Expressed Sequence Tags
AI762857	IMAGE: 2397967	0.37	0.003	Expressed Sequence Tags
AK024690	FLJ21037 fis, clone CAE10055	0.44	0.006	Expressed Sequence Tags
AL359941	DKFZp547D135	0.49	0.007	Expressed Sequence Tags
AA088177	IMAGE: 488246	2.25	0.005	Expressed Sequence Tags
N76327	IMAGE: 245090	2.25	0.0001	Expressed Sequence Tags
AI949827	IMAGE: 2471252	2.44	0.004	Expressed Sequence Tags
BE669806	IMAGE: 3283471	2.95	0.002	Expressed Sequence Tags
AI188161	IMAGE: 1734421	2.02	0.004	Expressed Sequence Tags
AW273796	IMAGE: 2814032	2.51	0.004	Expressed Sequence Tags
AI742838	IMAGE: 2368198	2.55	0.0007	Expressed Sequence Tags
AU151342	FLJ12935 fis, clone NT2RP2004982	2.49	0.005	Expressed Sequence Tags
BF528646	DKFZp564I1171	2.39	0.016	Expressed Sequence Tags
AI801777	FLJ31353	2.08	0.043	Expressed Sequence Tags
N52572	IMAGE: 244847	2.16	0.001	Expressed Sequence Tags
BE644809	IMAGE: 3286600	2.09	0.031	Expressed Sequence Tags
AK026922	FLJ23269	2.03	0.014	Expressed Sequence Tags
AI474433	IMAGE: 2118831	2.19	0.002	Expressed Sequence Tags
AI732637	IMAGE: 1070062	2.51	0.014	Expressed Sequence Tags
NM_032412	ORF1-FL49 (putative nuclear protein)	2.03	0.016	Expressed Sequence Tags
U55983	clone 25150	3.52	0.043	Expressed Sequence Tags
AI967987	FLJ31916	2.49	0.021	Expressed Sequence Tags
AI560164	IMAGE: 2213119	2.34	0.015	Expressed Sequence Tags
N93191	FLJ22811	3.85	0.002	Expressed Sequence Tags
BG260087	IMAGE: 4479642	3.6	0.008	Expressed Sequence Tags
N22766	IMAGE: 266631	2.11	0.028	Expressed Sequence Tags
AL117530	DKFZp434B172	0.49	0.004	Expressed Sequence Tags
BF347859	IMAGE: 4158291	0.5	0.011	Expressed Sequence Tags
NM_015939	CGI-09	2.55	0.0003	Expressed Sequence Tags
AA954994	IMAGE: 1577789	0.47	0.012	Expressed Sequence Tags
