Parametric p-value	Fold difference of geometric means (N vs R)	Description	Clone	UG cluster	Gene symbol	Map
5.45E-05	0.305	acetyl-Coenzyme A synthetase 2 (AMP forming)-like	2132717	Hs.7218	ACAS2L	20p11.23-p11.21
2.71E-05	0.309	zinc finger protein 204	1454640	Hs.8198	ZNF204	6p21.3
0.0009317	0.31	hypothetical protein MGC10500	1923722	Hs.271599	MGC10500	16p11.2
6.99E-05	0.312	nuclear receptor subfamily 3, group C, member 2	1678071	Hs.1790	NR3C2	4q31.1
0.0008365	0.316	mucin 5, subtype B, tracheobronchial	1737280	Hs.102482	MUC5B	11p15
0.000238	0.317	sodium channel, nonvoltage-gated 1 alpha	1453049	Hs.446415	SCNN1A	12p13
9.82E-05	0.32	Probe hTg737 (polycystic kidney disease, autosomal recessive)	1663493	Hs.2291	TG737	13q12.1
3.00E-06	0.322	Homo sapiens cDNA FLJ10158 fis, clone HEMBA1003463.	3144018	Hs.104627	NA	3
1.35E-05	0.323	nei like 2 (E. coli)	2025662	Hs.293818	NEIL2	8
8.68E-05	0.323	hypothetical protein FLJ13868	1857438	Hs.9003	FLJ13868	16p11.2
2.20E-05	0.325	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	1888940	Hs.71622	SMARCD3	7q35-q36
0.0007464	0.327	echinoderm microtubule associated protein like 1	1482116	Hs.12451	EML1	14q32
3.54E-05	0.329	CD99 antigen	3031028	Hs.433387	CD99	Xp22.32
3.60E-06	0.33	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	2903239	Hs.159479	GALNS	16q24.3
4.60E-06	0.33	truncated calcium binding protein	1943110	Hs.351621	LOC51149	5q35.3
0.0008471	0.334	enolase 2, (gamma, neuronal)	1672630	Hs.146580	ENO2	12p13
0.0005189	0.337	complement component 1, q subcomponent, beta polypeptide	2102756	Hs.8986	C1QB	1p36.3-p34.1
0.0005773	0.338	T cell receptor gamma variable 9	1857652	Hs.112259	TRGV9	7p15
5.93E-05	0.339	hypothetical protein FLJ20154	2132451	Hs.10346	FLJ20154	10q24.32
5.00E-07	0.341	NIMA (never in mitosis gene a)- related kinase 9	1661837	Hs.7200	NEK9	14q24.2
0.0006756	0.341	PTH-responsive osteosarcoma B1 protein	15650	Hs.79340	B1	7p14
8.90E-06	0.342	calcium channel, voltage-dependent, beta 3 subunit	2057662	Hs.250712	CACNB3	12q13
0.0005288	0.342	axin 2 (conductin, axil)	2359588	Hs.127337	AXIN2	17q23-q24
3.26E-05	0.343	ectonucleoside triphosphate diphosphohydrolase 1	1672749	Hs.205353	ENTPD1	10q24
0.0001738	0.345	ubiquitin specific protease 11	1805270	Hs.171501	USP11	Xp11.23
0.0001125	0.347	cyclin-dependent kinase 3	2259295	Hs.100009	CDK3	17q22-qter
8.10E-06	0.348	HRAS-like suppressor 3	1969263	Hs.37189	HRASLS3	11q12.3
0.0001534	0.349	galactosylceramidase (Krabbe disease)	1430428	Hs.273	GALC	14q31
0.0004065	0.35	transforming growth factor beta-stimulated protein TSC-22	197908	Hs.114360	TSC22	13q14
0.0005233	0.35	Homo sapiens, clone IMAGE:4766144, mRNA	1666815	Hs.72080	NA	21
8.51E-05	0.351	DKFZP586A0522 protein	1965049	Hs.288771	DKFZP586A052	12q13.12
0.0001863	0.352	SAC2 suppressor of actin mutations 2-like (yeast)	1902608	Hs.169407	SACM2L	6p21.3
6.07E-05	0.353	ESTs	2359527	Hs.279482	NA	2
2.75E-05	0.354	Homo sapiens cDNA FLJ10158 fis, clone HEMBA1003463.	1967531	Hs.104627	NA	3
3.76E-05	0.355	nuclear RNA export factor 1	1890753	Hs.323502	NXF1	11q12-q13
0.0002937	0.355	hypothetical protein RP4-622L5	3223070	Hs.272299	RP4-622L5	1p36.11-p34.2
0.000137	0.359	AXL receptor tyrosine kinase	2058242	Hs.83341	AXL	19q13.1
3.10E-06	0.363	TBP-interacting protein	1842689	Hs.154740	TIP120B	3p25.1
0.0001377	0.364	Arg/Abl-interacting protein ArgBP2	1495766	Hs.379795	ARGBP2	4q35.1
4.30E-05	0.365	rTS beta protein	1808980	Hs.180433	HSRTSBETA	18p11.32
9.07E-05	0.366	SET binding protein 1	2903158	Hs.151717	SETBP1	18q21.1
0.0007286	0.366	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	1904994	Hs.41072	SERPINB6	6p25
7.14E-05	0.368	delta sleep inducing peptide, immunoreactor	2307314	Hs.75450	DSIPI	Xq22.3
0.0007052	0.368	protease, serine, 11 (IGF binding)	1958902	Hs.75111	PRSS11	10q26.3
0.0001494	0.371	Homo sapiens, Similar to RIKEN cDNA 1110030M18 gene, clone IMAGE:4810207, mRNA	3473302	Hs.436170	NA	14
0.0007285	0.371	forkhead box G1A	94367	Hs.169277	FOXG1A	14q13
1.00E-04	0.372	KIAA1538 protein	1381261	Hs.35096	KIAA1538	17p13.1
5.53E-05	0.373	chemokine (C-X3-C motif) ligand 1	1728607	Hs.80420	CX3CL1	16q13
0.0001338	0.373	cytochrome P450, family 2, subfamily J, polypeptide 2	1597231	Hs.152096	CYP2J2	1p31.3-p31.2
6.31E-05	0.374	nei endonuclease VIII-like 1 (E. coli)	1926409	Hs.28355	NEIL1	15q22.33
0.0003121	0.375	KIAA0445 gene product	2119925	Hs.301065	KIAA0445	1pter-p36.11
6.08E-05	0.376	ESTs	2818878	Hs.32135	NA	20
0.0009504	0.378	armadillo repeat gene deletes in velocardiofacial syndrome	928436	Hs.171900	ARVCF	22q11.21
4.60E-06	0.38	acylphosphatase 1, erythrocyte (common) type	1995749	Hs.18573	ACYP1	14q24.3
1.66E-05	0.384	oxysterol binding protein-like 5	2021590	Hs.112034	OSBPL5	11p15.4
5.53E-05	0.386	integrin-linked kinase	543915	Hs.6196	ILK	11p15.5-p15.4
0.0001314	0.386	chemokine (C-C motif) receptor 2	2446447	Hs.395	CCR2	3p21
3.00E-07	0.389	KIAA1958 protein	4109001	Hs.350795	KIAA1958	9q32
6.02E-05	0.389	zinc finger protein 3 (A8-51)	997067	Hs.155470	ZNF3	7q22.1
0.0001258	0.389	interferon-stimulated transcription factor 3, gamma 48kDa	1942550	Hs.1706	ISGF3G	14q11.2
0.0008056	0.391	AT-hook transcription factor AKNA	1250542	Hs.159578	AKNA	9q32
6.38E-05	0.393	ESTs	2917169	Hs.42294	NA	19
0.0004716	0.393	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3	1694591	Hs.274614	SULT1A3	16p11.2
0.0002225	0.394	Incyte EST	2720976	NA	NA	NA
0.0007596	0.394	myosin, heavy polypeptide 10, non-muscle	1923476	Hs.296842	MYH10	17p13
0.0009937	0.396	hypothetical protein FLJ13942	2041712	Hs.20537	FLJ13942	6q22.31
0.0002649	0.397	solute carrier family 23 (nucleobase transporters), member 1	1259230	Hs.82042	SLC23A1	20p13
0.0006627	0.397	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)	553371	Hs.293981	BSCL2	11q12-q13.5
0.000319	0.399	hypothetical protein FLJ10300	3881016	Hs.42233	FLJ10300	7q36.3
0.0004549	0.4	splicing factor 4	1639267	Hs.15075	SF4	19p13.11
4.94E-05	0.401	methyltransferase like 3	1903759	Hs.268149	METTL3	14q11.1
0.0004407	0.401	hypothetical protein FLJ21347	1614502	Hs.103147	FLJ21347	17q21.33
0.0006363	0.401	macrophage stimulating, pseudogene 9	1379063	Hs.278657	MSTP9	1p36.13
0.0008973	0.401	ESTs	2556393	Hs.381113	NA	4
5.00E-07	0.402	Homo sapiens cDNA FLJ11606 fis, clone HEMBA1003942.	1730917	Hs.283643	NA	1
0.000147	0.403	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	2056955	Hs.7744	NDUFV1	11q13
0.0003136	0.403	hypothetical protein FLJ20345	1495247	Hs.20558	FLJ20345	17q23.2
0.0004417	0.403	Homo sapiens, clone IMAGE:5587702, mRNA	1964852	Hs.427683	NA	10
1.40E-05	0.405	KIAA0195 gene product	3203789	Hs.301132	KIAA0195	17q25.2
0.0005215	0.405	ATP-binding cassette, sub-family F (GCN20), member 2	2185537	Hs.153612	ABCF2	7q36
0.0007582	0.406	histidine decarboxylase	1998060	Hs.1481	HDC	15q21-q22
6.58E-05	0.407	REMOVED_FROM_DATABASE	91009	NA	NA	NA
0.0001652	0.407	phosphatidylinositol glycan, class Q	1511484	Hs.18079	PIGQ	16p13.3
0.0001964	0.408	KIAA0397 gene product	1001871	Hs.7416	KIAA0397	17p13.3
0.0007462	0.41	major histocompatibility complex, class II, DQ beta 1	692201	Hs.73931	HLA-DQB1	6p21.3
8.58E-05	0.411	nuclear RNA export factor 1	1722870	Hs.323502	NXF1	11q12-q13
0.0002593	0.412	monoglyceride lipase	2174920	Hs.6721	MGLL	3q21.3
0.0008986	0.412	chromosome 22 open reading frame 19	1712347	Hs.75361	C22orf19	22q12
0.0005474	0.415	RNA binding motif protein 6	1969094	Hs.173993	RBM6	3p21.3
0.0005978	0.415	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	5505662	Hs.170027	MDM2	12q14.3-q15
2.00E-06	0.417	Homo sapiens mRNA; cDNA DKFZp762N156 (from clone DKFZp762N156)	695016	Hs.194397	NA	7
2.74E-05	0.417	putative glialblastoma cell differentiation-related	2190170	Hs.9194	GDBR1	9q34.3
0.0002029	0.418	RNA binding motif protein 14	231460	Hs.11170	RBM14	11q13.1
4.66E-05	0.42	interleukin enhancer binding factor 3, 90kDa	1674263	Hs.256583	ILF3	19p13.2
5.83E-05	0.42	Hermansky-Pudlak syndrome 1	2203196	Hs.83951	HPS1	10q23.1-q23.3
1.41E-05	0.421	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 926491.	1506962	Hs.98401	NA	19
0.000109	0.421	chromosome 14 open reading frame 79	2056424	Hs.27183	C14orf79	14q32.33
4.10E-06	0.422	killer cell lectin-like receptor subfamily C, member 2	1231737	Hs.177605	KLRC2	12p13
3.24E-05	0.422	Homo sapiens cDNA FLJ30301 fis, clone BRACE2003217.	1399368	Hs.285728	NA	2
0.000127	0.422	hypothetical protein DJ667H12.2	1757834	Hs.21068	NA	1q32.1-q41
0.0002652	0.422	KIAA0515 protein	1752623	Hs.405891	KIAA0515	9q34.2
0.0001013	0.423	epidermal growth factor receptor pathway substrate 8	438438	Hs.2132	EPS8	12q23-q24
0.0001426	0.423	chromosome 21 open reading frame 4	2075469	Hs.284142	C21orf4	21q22.11
0.0008511	0.423	glutathione synthetase	1962993	Hs.82327	GSS	20q11.2
2.06E-05	0.424	kinesin family member 13B	2708596	Hs.15711	KIF13B	8p12
5.58E-05	0.424	biglycan	1963963	Hs.821	BGN	Xq28
0.0009419	0.424	zinc finger protein 266	619699	Hs.118281	ZNF266	19p13.2
6.00E-07	0.425	cold inducible RNA binding protein	180164	Hs.119475	CIRBP	19p13.3
0.0006753	0.426	cytoplasmic FMR1 interacting protein 2	2832889	Hs.258503	CYFIP2	5q34
0.0002539	0.427	dystrobrevin, beta	1844755	Hs.13451	DTNB	2p23-p22
0.0003028	0.427	limkain beta 2	1854253	Hs.288909	FLJ22471	12q24.31
0.0003263	0.427	similar to S. cerevisiae SSM4	1696606	Hs.20141	TEB4	5p15.2
1.00E-07	0.428	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	777175	Hs.348501	NA	8
5.50E-06	0.429	Rho-related BTB domain containing 1	2095275	Hs.15099	RHOBTB1	10q21.2
4.90E-06	0.43	Homo sapiens, clone IMAGE:5262734, mRNA	2957644	Hs.296031		X
5.16E-05	0.43	Vam6/Vps39-like	1674319	Hs.9452	VPS39	15q14
6.44E-05	0.43	kallikrein B, plasma (Fletcher factor) 1	2021730	Hs.1901	KLKB1	4q34-q35
0.0007952	0.43	hypothetical protein MGC39820	2802675	Hs.21415	MGC39820	3p14
0.0001205	0.431	Homo sapiens cDNA FLJ36248 fis, clone THYMU2001989.	2705256	Hs.41352	NA	3
0.0002888	0.433	period homolog 1 (Drosophila)	177171	Hs.68398	PER1	17p13.1-17p12
0.0003728	0.434	family with sequence similarity 13, member A1	1458366	Hs.177664	FAM13A1	4q22.1
6.76E-05	0.436	Rho guanine nucleotide exchange factor (GEF) 7	1468938	Hs.172813	ARHGEF7	13q33.3
8.35E-05	0.436	emerin (Emery-Dreifuss muscular dystrophy)	1901168	Hs.2985	EMD	Xq28
0.0003689	0.439	chromosome 18 open reading frame 1	1662893	Hs.153498	C18orf1	18p11.2
3.86E-05	0.442	hypothetical protein FLJ21016	1447393	Hs.289069	FLJ21016	1q42.12
0.0001329	0.443	mannose-6-phosphate receptor (cation dependent)	1489979	Hs.134084	M6PR	12p13
2.60E-06	0.444	hypothetical protein FLJ10081	1215329	Hs.7871	FLJ10081	2p12-p11.2
1.20E-05	0.445	PHD protein Jade-1	937508	Hs.238246	Jade-1	4q26-q27
0.0001076	0.445	collagen, type VIII, alpha 1	3118643	Hs.114599	COL8A1	3q12-q13.1
0.000462	0.445	CDC14 (cell division cycle 14, S. cerevisiae) homolog B	3438934	NA	NA	NA
0.0007886	0.445	C-terminal binding protein 1 [Homo sapiens] [H.sapiens]	2822490	Hs.343926	CTBP1	4p16
6.46E-05	0.448	ESTs, Weakly similar to hypothetical protein FLJ22184	1451756	Hs.23272	NA	6
0.0006665	0.449	DKFZP434B0335 protein	1909889	Hs.103931	DKFZP434B033	7q21.3
0.0003171	0.45	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	1868217	Hs.153022	TAF1C	16q24
0.0004337	0.452	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	1236828	Hs.332173	TLE2	19p13.3
0.0002405	0.453	kinesin family member 3B	1659338	Hs.301206	KIF3B	20q11.1
0.0004193	0.453	ELG protein	2241931	Hs.120963	HSA277841	17p13.3
0.0005979	0.453	ESTs	2959963	Hs.189955	NA	7
0.0003126	0.454	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	2121653	Hs.279899	TNFRSF14	1p36.3-p36.2
0.0005061	0.456	catenin (cadherin-associated protein), alpha-like 1	2379808	Hs.58488	CTNNAL1	9q31.2
0.0001576	0.459	cyclin L2	2886955	Hs.143601	CCNL2	1p36.33
0.0008174	0.461	polycystic kidney disease 1-related	1486385	Hs.209065	PKD1-like	1p34.2
2.19E-05	0.462	RNA binding motif protein 5	3596638	Hs.201675	RBM5	3p21.3
0.0003888	0.464	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	3888832	Hs.37	ACAT1	11q22.3-q23.1
p < 1e-07	0.467	E1A binding protein p400	1967172	Hs.306094	EP400	12q24.33
1.58E-05	0.467	KIAA0310 gene product	1880859	Hs.5716	KIAA0310	9q34.3
0.0001414	0.467	actin binding LIM protein 1	1722853	Hs.158203	ABLIM1	10q25
0.0008142	0.467	tripartite motif-containing 2	1267176	Hs.12372	TRIM2	4q31.23
0.0003383	0.468	Homo sapiens cDNA: FLJ22050 fis, clone HEP09454.	2868216	Hs.173705	NA	4
0.0006565	0.468	ESTs, Moderately similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2517558	Hs.435819	NA	5
2.00E-07	0.47	numb homolog (Drosophila)	1879023	Hs.78890	NUMB	14q24.3
0.0002054	0.47	aldehyde dehydrogenase 7 family, member A1	1811220	Hs.74294	ALDH7A1	5q31
0.0004613	0.47	ring finger protein 1	1879727	NA	NA	NA
9.30E-05	0.471	retinoic acid induced 16	2395663	Hs.299148	RAI16	8p21.2
0.0001759	0.471	Incyte EST	2418337	NA	NA	NA
0.0006663	0.471	hypothetical protein F23149_1	1700814	Hs.152894	PD2	19q13.1
0.0006205	0.472	ret finger protein	2708651	Hs.142653	RFP	6p22
0.0001666	0.475	spastic paraplegia 7, paraplegin (pure and complicated autosomal recessive)	1454012	Hs.296847	SPG7	16q24.3
2.99E-05	0.477	paired box gene 2	194662	Hs.155644	PAX2	10q22.1-q24.3
0.0003893	0.478	tetracycline transporter-like protein	1856947	Hs.157145	TETRAN	4p16.3
0.0007073	0.48	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	2060704	Hs.198271	NDUFA10	2q37.3
0.0009288	0.48	KIAA0557 protein	2698491	Hs.101414	KIAA0557	16p13.3
9.04E-05	0.481	nucleotide-sugar transporter similar to C. elegans sqv-7	1634141	Hs.90078	SQV7L	9q22.31
1.80E-06	0.482	hypothetical protein GL012	1943427	Hs.21379	GL012	9q34.11
6.10E-05	0.483	high density lipoprotein binding protein (vigilin)	1348263	Hs.177516	HDLBP	2q37
9.00E-07	0.484	hypothetical protein FLJ11342	941442	Hs.266514	FLJ11342	3q13.13
0.000717	0.484	FLJ00005 protein	1368493	Hs.367690	FLJ00005	15q22.33
0.0007349	0.484	hypothetical protein FLJ20274	2176218	NA	NA	NA
8.12E-05	0.485	ESTs	3971258	Hs.41840	NA	2
0.0004537	0.487	collagen, type IX, alpha 3	1622535	Hs.53563	COL9A3	20q13.3
0.0009189	0.487	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)	1871113	Hs.83968	ITGB2	21q22.3
3.91E-05	0.489	Homo sapiens mRNA; cDNA DKFZp434E109 (from clone DKFZp434E109)	1998708	Hs.279806	NA	17
0.0003795	0.489	rab6 GTPase activating protein (GAP and centrosome-associated)	2620749	Hs.55099	GAPCENA	9q34.11
0.00043	0.489	ESTs	2182201	Hs.49409	NA	10
7.00E-07	0.49	Homo sapiens cDNA: FLJ23005 fis, clone LNG00396, highly similar to AF055023 Homo sapiens clone 24723 mRNA sequence.	447148	Hs.58220	NA	17
0.0002265	0.49	CD27-binding (Siva) protein	2356635	Hs.112058	SIVA	14q32.33
5.50E-05	0.491	Homo sapiens cDNA FLJ34315 fis, clone FEBRA2008341.	1734634	Hs.376655	NA	14
4.90E-06	0.492	hypothetical protein DKFZp434M0331	2921913	Hs.48219	DKFZp434M033	12q23.2
0.0009549	0.492	multiple PDZ domain protein	1601609	Hs.169378	MPDZ	9p24-p22
1.60E-06	0.493	hypothetical protein LOC90410	1552481	Hs.4187	LOC90410	17q11.1
9.27E-05	0.494	zinc finger protein 261	1752333	Hs.9568	ZNF261	Xq13.1
0.0001479	0.496	speckle-type POZ protein	1737972	Hs.129951	SPOP	17q21.32
0.000557	0.496	heat shock protein 75	1616604	Hs.376253	TRAP1	16p13.3
6.24E-05	0.497	dimethylarginine dimethylaminohydrolase 2	1911142	Hs.247362	DDAH2	6p21.3
0.0004885	0.497	butyrophilin, subfamily 3, member A1	853243	Hs.284283	BTN3A1	6p22.1
0.0005268	0.497	growth arrest-specific 8	3687253	Hs.54877	GAS8	16q24.3
0.0006406	0.497	choline kinase	1605233	Hs.77221	CHK	11q13.1
0.000647	0.497	cyclin-dependent kinase (CDC2-like) 10	1695859	Hs.77313	CDK10	16q24
0.0009941	0.497	hypothetical protein FLJ10948	1930954	Hs.34579	FLJ10948	1p32.3
0.0007884	0.498	B/K protein	1922038	Hs.26971	LOC51760	16p13.11
1.00E-07	0.499	RAB28, member RAS oncogene family	1457948	Hs.404189	RAB28	4p16.1
2.20E-06	0.5	CDC16 cell division cycle 16 homolog (S. cerevisiae)	1413704	Hs.1592	CDC16	13q34
7.40E-06	0.501	phytanoyl-CoA hydroxylase (Refsum disease)	4073867	Hs.172887	PHYH	10pter-p11.2
8.59E-05	0.501	KIAA1228 protein	2667106	Hs.306867	KIAA1228	7q36.3
1.06E-05	0.502	deiodinase, iodothyronine, type II	2869983	Hs.154424	DIO2	14q24.2-q24.3
0.0001815	0.503	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	1457718	Hs.93199	LSS	21q22.3
p < 1e-07	0.504	Homo sapiens cDNA FLJ30048 fis, clone ADRGL1000018.	2466668	Hs.238956	NA	17
7.54E-05	0.504	Homo sapiens cDNA FLJ30016 fis, clone 3NB692000429.	1570161	Hs.14931	NA	10
0.0003216	0.504	protein tyrosine phosphatase, receptor type, T	3251982	Hs.225952	PTPRT	20q12-q13
0.0007741	0.506	KIAA0819 protein	1910948	Hs.301866	KIAA0819	22q11.1
0.0003363	0.507	ESTs, Weakly similar to Solute carrier family 11 member 1 (natural resistance-associated macrophage protein 1); Natural resistance-associated macrophage protein; solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1 [Rattus	75549	Hs.22049	NA	19
0.0001774	0.508	aldehyde dehydrogenase 6 family, member A1	1794046	Hs.293970	ALDH6A1	14q24.3
0.0002871	0.508	D-aspartate oxidase	464406	Hs.174441	DDO	6q21
0.0001108	0.51	calponin 1, basic, smooth muscle	2696735	Hs.21223	CNN1	19p13.2-p13.1
0.0007847	0.51	hypothetical protein FLJ11806	2821840	Hs.323443	FLJ11806	14q31.3
0.0003645	0.511	KIAA0763 gene product	1560143	Hs.4764	KIAA0763	3p25.1
0.000111	0.512	Pseudoautosomal GTP-binding protein-like	1339234	Hs.372587	PGPL	Xp22.33
0.000425	0.515	Incyte EST	3105607	NA	NA	NA
0.0008024	0.516	putative ankyrin-repeat containing protein	2626237	Hs.4996	DKFZP564D166	17q23.3
0.000124	0.518	glucosidase I	1555701	Hs.83919	GCS1	2p13-p12
2.91E-05	0.519	Human clone CE29 7.2 (CAC)n/(GTG)n repeat-containing mRNA.	3712928	Hs.133065	NA	2
3.47E-05	0.519	interleukin 10 receptor, alpha	1337981	Hs.327	IL10RA	11q23
0.0001037	0.519	hypothetical protein LOC284001	2751505	Hs.122075	LOC284001	17q25.3
0.0007593	0.52	adducin 1 (alpha)	2736185	Hs.183706	ADD1	4p16.3
2.82E-05	0.521	tetratricopeptide repeat domain 3	1871722	Hs.118174	TTC3	21q22.2
0.0002391	0.521	ESTs	2749823	Hs.187665	NA	1
0.0003411	0.522	likely ortholog of mouse membrane bound C2 domain containing protein	1995174	Hs.8309	MBC2	12q13.13
0.0008604	0.522	CDC-like kinase 1	2446289	Hs.2083	CLK1	2q33
0.0001864	0.523	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	3035468	Hs.851	ITGAE	17p13
0.0002284	0.523	glutaminyl-tRNA synthetase	2446247	Hs.79322	QARS	3p21.3-p21.1
0.0006782	0.524	insulin receptor	1349193	Hs.89695	INSR	19p13.3-p13.2
0.0007137	0.524	hypothetical protein FLJ20015	2043391	Hs.375614	FLJ20015	17q25
8.00E-06	0.525	golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	1506093	Hs.7844	GOLGB1	3q13
6.13E-05	0.525	KIAA0809 protein	1905478	Hs.105399	SRISNF2L	3p21.31
0.000104	0.525	KIAA0121 gene product	1930294	Hs.155584	KIAA0121	3p25.2
0.0002543	0.525	centaurin, gamma 3	884855	Hs.286084	CENTG3	7q36.1
0.0004454	0.525	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	3742316	Hs.121549	CDIPT	16p12.1
0.000624	0.526	MAX interacting protein 1	875567	Hs.118630	MXI1	10q24-q25
0.0007436	0.529	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	1721917	Hs.155188	TAF7	5q31
