p Value	CloneID	Description	Locus	CytoBand
0.00001302	1620974	Chromosome 21 open reading frame 119	C21orf119	21q22.11
0.00001328	814306	Tumor protein D52	TPD52	8q21
0.00001341	753931	Chemokine (C-X-C motif) receptor 4	CXCR4	2q21
0.00001429	39007	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 6	SLC9A6	Xq26.3
0.00001477	125699	NA	NA	NA
0.00001522	1472743	Lectin, galactoside-binding, soluble, 2 (galectin 2)	LGALS2	22q12-q13
0.00001911	728065	NA	NA	NA
0.00002133	1585013	Chromosome 16 open reading frame 28	C16orf28	16p13.3
0.00002287	294283	Ras association (RalGDS/AF-6) domain family 5	RASSF5	1q32.1
0.00002321	297158	CAMP responsive element binding protein 3-like 2	CREB3L2	7q34
0.00002504	1251833	Nei endonuclease VIII-like 3 (E. coli)	FLJ10858	4q34.3
0.00002515	177794	Rhomboid family 1 (Drosophila)	RHBDF1	16p13.3
0.0000259	172421	Transforming growth factor, alpha	TGFA	2p13
0.00002609	165853	Hypothetical protein FLJ36445	FLJ36445	19q13.12
0.0000295	381728	Myotubularin related protein 9	MTMR9	8p23-p22
0.00002962	66550	Tetratricopeptide repeat domain 17	TTC17	11p12-p11.2
0.00002975	173169	SWI/SNF related, matrix associated, actin dependent regulator of chromatin,	SMARCA4	19p13.2
0.00003078	724339	CDNA clone IMAGE:6250506	NA	NA
0.00003294	307092	HCF-binding transcription factor Zhangfei	ZF	11q14
0.0000331	2338773	Forkhead box A1	FOXA1	14q12-q13
0.00003325	247082	Hypothetical protein LOC149705	C20orf121	20q13.12
0.00003599	742889	Transcribed locus, strongly similar to XP_511341.1	NA	NA
0.00004157	120146	Adenosine monophosphate deaminase (isoform E)	AMPD3	11p15
0.00004179	767090	KIAA0286 protein	KIAA0286	12q13.3
0.00004203	759917	Centromere protein C 1	CENPC1	4q12-q13.3
0.00004444	111192	Cytochrome c oxidase subunit VIc	COX6C	8q22-q23
0.00004993	230988	E2F transcription factor 3	E2F3	6p22
0.00005048	774198	Cell division cycle 26	KIAA0828	7q32.3
0.00005369	1030234	Ubiquitin carboxyl-terminal hydrolase L5	UCHL5	1q32
0.00005432	123730	Src family associated phosphoprotein 1	SCAP1	17q21.32
0.00005575	1678376	Protein phosphatase 1, regulatory (inhibitor) subunit 15B	PPP1R15B	1q32.1
0.00005598	25227	Hepatocyte growth factor (hepapoietin A; scatter factor)	HGF	7q21.1
0.00005612	2310900	Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL	11q23.3
0.00005854	729937	KIAA0907 protein	KIAA0907	1q22
0.00006001	300868	Poly(A) binding protein, nuclear 1	PABPN1	14q11.2-q13
0.00006139	760147	Glyceronephosphate O-acyltransferase	GNPAT	1q42.11-42.3
0.00006395	120599	Breast carcinoma amplified sequence 3	BCAS3	17q23
0.00006426	756245	NA	NA	NA
0.00006442	110220	Homo sapiens, clone IMAGE:3621928	NA	NA
0.00006625	1033710	Phosphatidic acid phosphatase type 2A	PPAP2A	5q11
0.00006784	346315	Hypothetical protein H17	H17	11q24.2
0.00007118	124148	Ataxin 1	LOC360030	12p13.31
0.00007292	194401	KIAA0146 protein	KIAA0146	8q11.21
0.00007528	123416	NA	NA	NA
0.00007925	126274	Full length insert cDNA clone ZE04G11	NA	NA
0.00008154	739191	Zinc finger protein 261	ZNF261	Xq13.1
0.00008305	375839	Glucocorticoid induced transcript 1	GLCCI1	7p21.3
0.00008336	713328	Zinc finger protein 337	ZNF337	20p11.21
0.00008493	109699	Zinc finger, DHHC-type containing 16	ZDHHC16	10q24.1
0.00008508	815113	MGC4707 protein	MGC4707	11p11.2
0.0000863	1620366	Transcribed locus	NA	NA
0.00008937	754257	DnaJ (Hsp40) homolog, subfamily A, member 3	DNAJA3	16p13.3
0.00009403	309368	Ankyrin repeat domain 17	ANKRD17	4q13.3
0.00009406	122885	NA	NA	NA
0.0001004	754178	Inhibitor of kappa light polypeptide gene enhancer in B-cells,	IKBKAP	9q31
0.0001007	1561589	Similar to RIKEN cDNA 1700025K23	NA	1p35.1
0.0001011	1409762	Serine (or cysteine) proteinase inhibitor, clade A	SERPINA2	14q32.13
0.0001019	723775	Small nuclear ribonucleoprotein polypeptides B and B1	SNRPB	20p13
0.000102	1645979	Transcribed locus	NA	NA
0.0001104	327351	Zinc finger protein 85 (HPF4, HTF1)	ZNF85	19p13.1-p12
0.0001125	120460	Chromosome 11 open reading frame 1	C11orf1	11q13-q22
0.0001131	1392894	Transcribed locus, strongly similar to XP_524479.1	NA	NA
0.0001174	133323	Lipoma HMGIC fusion partner	LHFP	13q12
0.0001243	124726	SEC13-like 1 (S. cerevisiae)	SEC13L1	3p25-p24
0.0001298	144928	Intracisternal A particle-promoted polypeptide	IPP	1p34-p32
0.0001304	342232	CDNA FLJ14188 fis, clone NT2RP2005980	NA	NA
0.000135	197975	NA	NA	NA
0.0001352	148134	NA	NA	NA
0.0001369	241975	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	UBE2H	7q32
0.0001381	753991	MOCO sulphurase C-terminal domain containing 1	FLJ22390	1q41
0.0001386	149744	Establishment of cohesion 1 homolog 1 (S. cerevisiae)	ESCO1	18q11.2
0.0001393	234212	Apolipoprotein H (beta-2-glycoprotein I)	APOH	17q23-qter
0.0001412	261726	Zinc finger protein 277	ZNF277	7q31.1
0.0001431	1460923	Huntingtin interacting protein B	HYPB	3p21.31
0.0001433	770879	CD320 antigen	8D6A	19p13.3-p13.2
0.0001454	244299	Transcribed locus, moderately similar to XP_496299.1	NA	NA
0.0001547	1554230	Transcribed locus, strongly similar to XP_531118.1	NA	NA
0.0001604	108845	Hypothetical protein BC011266	LOC93556	3q26.2
0.0001623	755606	InaD-like (Drosophila)	INADL	1p31.3
0.0001665	2405186	Cytochrome P450, family 4, subfamily F, polypeptide 11	CYP4F11	19p13.1
0.0001717	2307119	Inositol polyphosphate-4-phosphatase, type I, 107kDa	INPP4A	2q11.2
0.0001718	211086	CDNA FLJ12202 fis, clone MAMMA1000908	NA	NA
0.0001784	179888	Solute carrier family 8 (sodium-calcium exchanger), member 2	SLC8A2	19q13.3
0.0001814	756885	Hypothetical protein BC002926	LOC90379	19p13.12
0.0001818	33941	Protein tyrosine phosphatase, receptor type, N	PTPRN	2q35-q36.1
0.0001834	795750	Hypothetical protein MGC9850	MGC9850	13q12.2
0.0001837	29310	Chromosome 13 open reading frame 7	C13orf7	13q31.1
0.0001853	299445	Transcribed locus, moderately similar to XP_517655.1	NA	NA
0.0001908	243964	SH3 domain binding glutamic acid-rich protein like	SH3BGRL	Xq13.3
0.0002025	1723100	Transcribed locus	NA	NA
0.0002053	727139	CAMP responsive element binding protein 1	CREB1	2q34
0.0002069	757192	Sideroflexin 2	SFXN2	10q24.32
0.0002104	741035	Coronin, actin binding protein, 2A	CORO2A	9q22.3
0.0002172	111549	Splicing factor, arginine/serine-rich 11	SFRS11	1p31
0.0002223	121476	RNA binding protein with multiple splicing	RBPMS	8p12-p11
0.0002223	242009	Cytochrome P450, family 3, subfamily A, polypeptide 7	CYP3A7	7q21-q22.1
0.0002225	1645287	Signal transducer and activator of transcription 5B	STAT5B	17q11.2
0.0002227	135094	NA	NA	NA
0.0002231	740576	FCH domain only 1	FCHO1	19p13.11
0.0002239	137982	Syntaxin 16	STX16	20q13.32
0.0002279	142431	Chromosome 2 open reading frame 3	C2orf3	2p11.2-p11.1
0.0002313	159285	Hypothetical protein LOC144501	LOC144501	12q13.13
0.0002333	758200	Hypothetical protein LOC254559	LOC254559	15q25.3
0.000237	126534	KIAA0882 protein	KIAA0882	4q31.21
0.0002489	41995	Phosphoglycerate dehydrogenase like 1	PHGDHL1	13q32.3
0.0002519	1519748	Phosphogluconate dehydrogenase	PGD	1p36.3-p36.13
0.0002563	202010	Palmitoyl-protein thioesterase 2	PPT2	6p21.3
0.0002585	241051	Guanosine monophosphate reductase 2	GMPR2	14q11.2
0.0002652	108671	WD repeat domain 1	WDR1	4p16.1
0.0002664	123212	PAP associated domain containing 4	PAPD4	5q14.1
0.0002751	247281	Bromodomain adjacent to zinc finger domain, 2B	BAZ2B	2q23-q24
0.0002763	346910	Succinate-CoA ligase, GDP-forming, beta subunit	SUCLG2	3p14.1
0.0002814	252515	Kynureninase (L-kynurenine hydrolase)	KYNU	2q22.3
0.0002877	768046	Paternally expressed 10	PEG10	7q21
0.0002903	810546	Chromosome 20 open reading frame 75	C20orf75	20p12.3
0.0002941	125211	5,10-methylenetetrahydrofolate reductase (NADPH)	MTHFR	1p36.3
0.0003024	2353276	Chemokine (C-C motif) ligand 20	CCL20	2q33-q37
0.000306	1707578	NA	NA	NA
0.0003089	40959	Solute carrier family 25 (mitochondrial carrier;	SLC25A5	Xq24-q26
0.0003106	47361	Hypothetical protein BC007706	LOC90268	5p15.2
0.0003164	813628	Sodium channel, voltage-gated, type II, beta	SCN2B	11q23
0.0003224	1032836	Zinc finger protein 253	LOC114977	19p13.11
0.0003238	42560	Kelch-like 9 (Drosophila)	KLHL9	9p22
0.0003262	40647	Rho guanine nucleotide exchange factor (GEF) 1	ARHGEF1	19q13.13
0.0003414	193533	WD repeat domain 57 (U5 snRNP specific)	HPRP8BP	1p35.2
0.0003469	198528	Transcribed locus, weakly similar to XP_517454.1	NA	NA
0.000348	258404	Solute carrier family 6, member 15	SLC6A15	12q21.3
0.0003522	229726	Myeloid/lymphoid or mixed-lineage leukemia	MLLT10	10p12
0.0003657	728613	Importin 4	IPO4	14q11.2
0.0003657	1588773	Fascin homolog 3, actin-bundling protein, testicular (	FSCN3	7q31.3
0.0003728	297963	NA	NA	NA
0.000382	246820	CDNA clone IMAGE:6271971, containing frame-shift errors	NA	NA
0.0003836	428350	Mitochondrial ribosomal protein S31	MRPS31	13q14.11
0.000387	1574120	Transcribed locus	NA	NA
0.000393	43729	LUC7-like 2 (S. cerevisiae)	LUC7L2	7q34
0.000402	756923	F-box protein 5	FBXO5	6q25-q26
0.0004049	42851	Activity-dependent neuroprotector	ADNP	20q13.13
0.0004058	195070	CDNA FLJ39641 fis, clone SMINT2003423	NA	NA
0.0004082	345724	SVAP1 protein	IMAGE3451454	1q42.13
0.0004103	247230	MARVEL domain containing 2	MARVELD2	5q13.2
0.0004123	322739	Protein tyrosine phosphatase, non-receptor type 3	PTPN3	9q31
0.000422	43618	Transcribed locus, moderately similar to NP_775735.1	NA	NA
0.000423	179044	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa	NDUFB9	8q13.3
0.0004273	298089	Frataxin	FXN	9q13-q21.1
0.0004298	795598	Enhancer of polycomb homolog 1 (Drosophila)	EPC1	10p11
0.0004305	742884	Cell division cycle 2, G1 to S and G2 to M	CDC2	10q21.1
0.0004313	279007	WD repeat domain 26	WDR26	1q42.12
0.0004428	754469	Regulating synaptic membrane exocytosis 4	RIMS4	20q13.12
0.0004455	243736	Stromal membrane-associated protein 1-like	LOC64744	1p35.3-p34.1
0.0004456	66321	TAF11 RNA polymerase II, TATA box binding protein	TAF11	6p21.31
0.0004542	152098	Conserved helix-loop-helix ubiquitous kinase	CHUK	10q24-q25
0.0004623	743353	Polymerase (DNA-directed), epsilon 4 (p12 subunit)	POLE4	2p12
0.0004635	262028	Hypothetical LOC344595	NA	3q13.12
0.0004639	198981	Cell division cycle associated 2	CDCA2	8p21.2
0.0004838	183283	Mortality factor 4 like 2	MORF4L2	Xq22
0.0004909	755531	Hypothetical protein MGC61550	MGC61550	15q26.1
0.0004936	727937	Homo sapiens, clone IMAGE:5271876, mRNA	NA	NA
0.0004953	243638	Transcribed locus, weakly similar to XP_375099.1	NA	NA
0.0004958	29258	Leucine rich repeat containing 40	FLJ20331	1p31.1
0.000506	1619099	Hypothetical LOC339693	NA	2q13
0.0005096	727533	Zinc finger protein 638	ZNF638	2p13.2-p13.1
0.0005343	741662	NA	NA	NA
0.0005349	265310	Glutathione transferase zeta 1 (maleylacetoacetate isomerase)	GSTZ1	14q24.3
0.0005536	297055	Interleukin 13 receptor, alpha 1	IL13RA1	Xq24
0.0005761	302591	Ras homolog gene family, member H	RHOH	4p13
0.0005812	826617	Actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	2q36.1
0.0005824	1881166	F-box and leucine-rich repeat protein 10	FBXL10	12q24.31
0.0005857	243703	Protein phosphatase 1, regulatory (inhibitor) subunit 3F	PPP1R3F	Xp11.23
0.0005944	143624	NA	NA	NA
0.0005982	172028	Adaptin-ear-binding coat-associated protein 2	FLJ10420	1p36.13
0.0006027	307886	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)	NDUFS6	5p15.33
