Probe ID	P-Value	Gene Name	Description
217028_at	0.0259	CXCR4	chemokine (C-X-C motif) receptor 4
223751_x_at	0.0259	TLR10	toll-like receptor 10
239250_at	0.0267	ZNF542	zinc finger protein 542
204177_s_at	0.0272	KLHL20	kelch-like 20 (Drosophila)
214735_at	0.0272	PIP3-E	phosphoinositide-binding protein PIP3-E
219670_at	0.0272	C1orf165	chromosome 1 open reading frame 165
228693_at	0.0272	CCDC50	coiled-coil domain containing 50
233089_at	0.0272	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
207777_s_at	0.0272	SP140	SP140 nuclear body protein
209761_s_at	0.0272	SP110	SP110 nuclear body protein
1565567_at	0.0272	STX7	Syntaxin 7
204352_at	0.0272	TRAF5	TNF receptor-associated factor 5
212167_s_at	0.0272	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
242399_at	0.0272	LY86	Lymphocyte antigen 86
228549_at	0.0272	---	---
1553340_s_at	0.0272	AMAC1L2	acyl-malonyl condensing enzyme 1-like 2 /// acyl-malonyl condensing enzyme 1
225611_at	0.0272	---	---
239130_at	0.0273	---	---
224194_at	0.0273	FCRL2	Fc receptor-like 2
208243_s_at	0.0273	CNR1	cannabinoid receptor 1 (brain)
228812_at	0.0274	---	Transcribed locus
202871_at	0.0274	TRAF4	TNF receptor-associated factor 4
221552_at	0.0276	ABHD6	abhydrolase domain containing 6
233951_at	0.0279	---	CDNA FLJ12204 fis, clone MAMMA1000921
224193_s_at	0.0282	FCRL2	Fc receptor-like 2
203317_at	0.0284	PSD4	pleckstrin and Sec7 domain containing 4
227077_at	0.0284	ZNF286	zinc finger protein 286
241505_at	0.0286	---	Transcribed locus
204956_at	0.0288	MTAP	methylthioadenosine phosphorylase
205859_at	0.0289	LY86	lymphocyte antigen 86
221030_s_at	0.0289	ARHGAP24	Rho GTPase activating protein 24
1556682_s_at	0.0294	AUTS2	Autism susceptibility candidate 2
218829_s_at	0.03	CHD7	chromodomain helicase DNA binding protein 7
236773_at	0.0304	---	Transcribed locus
243364_at	0.0306	AUTS2	autism susceptibility candidate 2
234614_at	0.0307	---	---
243977_at	0.0319	LOC541472	hypothetical LOC541472
214968_at	0.0319	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
226369_at	0.0324	LOC338799	hypothetical locus LOC338799
208012_x_at	0.0324	SP110	SP110 nuclear body protein
235085_at	0.0324	DKFZp761P0423	homolog of rat pragma of Rnd2
229015_at	0.0324	LOC286367	FP944
223726_at	0.0324	KCNH3	potassium voltage-gated channel, subfamily H (eag-related), member 3
1552807_a_at	0.0325	SIGLEC10	sialic acid binding Ig-like lectin 10
241278_at	0.0325	FCRL3	Fc receptor-like 3
223680_at	0.0325	ZNF607	zinc finger protein 607
219932_at	0.0325	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6
1566424_at	0.0325	---	---
1559688_at	0.0326	LOC400581	GRB2-related adaptor protein-like
224509_s_at	0.0326	RTN4IP1	reticulon 4 interacting protein 1
232279_at	0.0329	PHF15	PHD finger protein 15
226402_at	0.0329	CYP2U1	cytochrome P450, family 2, subfamily U, polypeptide 1
1553369_at	0.0329	BCNP1	B-cell novel protein 1
222536_s_at	0.0329	ZNF395	zinc finger protein 395
236831_at	0.0334	CCDC50	coiled-coil domain containing 50
223764_x_at	0.0334	NIPSNAP3B	nipsnap homolog 3B (C. elegans)
230802_at	0.0334	---	---
208650_s_at	0.0334	CD24	CD24 molecule
1556389_at	0.0334	TNRC5	trinucleotide repeat containing 5
242734_x_at	0.0334	GALT	galactose-1-phosphate uridylyltransferase
241188_at	0.0334	PIP3-E	Phosphoinositide-binding protein PIP3-E
225927_at	0.0335	MAP3K1	mitogen-activated protein kinase kinase kinase 1
233605_x_at	0.0343	HNRPM	heterogeneous nuclear ribonucleoprotein M
238063_at	0.0343	TMEM154	transmembrane protein 154
266_s_at	0.0343	CD24	CD24 molecule
235051_at	0.0349	CCDC50	coiled-coil domain containing 50
235802_at	0.035	PLD4	phospholipase D family, member 4
231775_at	0.0351	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a
235242_at	0.0351	---	CDNA FLJ41375 fis, clone BRCAN2007700
216893_s_at	0.0351	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)
227985_at	0.0351	---	---
236198_at	0.0353	---	Transcribed locus
219497_s_at	0.0354	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
205861_at	0.0354	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)
230052_s_at	0.0354	TA-NFKBH	T-cell activation NFKB-like protein
208651_x_at	0.0354	CD24	CD24 molecule
222573_s_at	0.0354	SAV1	salvador homolog 1 (Drosophila)
215901_at	0.0354	ZNF81	zinc finger protein 81
237645_at	0.0356	---	---
210369_at	0.0359	SWAP70	SWAP-70 protein
214439_x_at	0.0363	BIN1	bridging integrator 1
227670_at	0.0364	ZNF75A	zinc finger protein 75a
204442_x_at	0.0364	LTBP4	latent transforming growth factor beta binding protein 4
1555379_at	0.0365	MGC52498	hypothetical protein MGC52498
37796_at	0.0365	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4
1565588_at	0.0375	SP140	SP140 nuclear body protein
217936_at	0.0375	ARHGAP5	Rho GTPase activating protein 5
223615_at	0.0381	ABI3	ABI gene family, member 3
201373_at	0.0384	PLEC1	plectin 1, intermediate filament binding protein 500kDa
228056_s_at	0.0384	NAPSB	napsin B aspartic peptidase pseudogene
1557801_x_at	0.0384	C11orf31	chromosome 11 open reading frame 31
226082_s_at	0.0384	SFRS15	splicing factor, arginine/serine-rich 15
207819_s_at	0.0384	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4
214094_at	0.0384	FUBP1	far upstream element (FUSE) binding protein 1
227052_at	0.039	---	Full-length cDNA clone CS0DE011YO20 of Placenta of Homo sapiens (human)
230466_s_at	0.039	RASSF3	Ras association (RalGDS/AF-6) domain family 3
243546_at	0.0392	SESN3	Sestrin 3
210958_s_at	0.0394	MAST4	microtubule associated serine/threonine kinase family member 4
223980_s_at	0.0396	SP110	SP110 nuclear body protein
204192_at	0.0396	CD37	CD37 molecule
1552667_a_at	0.0396	SH2D3C	SH2 domain containing 3C
236199_at	0.0396	ALOX5	Arachidonate 5-lipoxygenase
239555_at	0.0397	LYN	V-yes-1 Yamaguchi sarcoma viral related oncogene homolog
238407_at	0.0397	CAPZA1	Capping protein (actin filament) muscle Z-line, alpha 1
1558854_a_at	0.0397	C17orf57	Chromosome 17 open reading frame 57
208202_s_at	0.0401	PHF15	PHD finger protein 15
222772_at	0.0402	MYEF2	myelin expression factor 2
236581_at	0.0402	FLJ35530	FLJ35530 protein
205856_at	0.0405	SLC14A1	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
236943_at	0.0405	LY86	Lymphocyte antigen 86
210496_at	0.0405	NAG18	NAG18 protein
206907_at	0.0406	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9
201331_s_at	0.0407	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced
214366_s_at	0.0407	ALOX5	arachidonate 5-lipoxygenase
211010_s_at	0.0407	NCR3	natural cytotoxicity triggering receptor 3
204004_at	0.0407	PAWR	PRKC, apoptosis, WT1, regulator
212813_at	0.0408	JAM3	junctional adhesion molecule 3
1564471_at	0.0409	---	MRNA; cDNA DKFZp434O1614 (from clone DKFZp434O1614)
1570650_at	0.0409	CCBL1	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)
223522_at	0.0411	C9orf45	chromosome 9 open reading frame 45
200659_s_at	0.0412	PHB	prohibitin
219471_at	0.0414	C13orf18	chromosome 13 open reading frame 18
238376_at	0.0416	DEXI	Dexamethasone-induced transcript
222915_s_at	0.0421	BANK1	B-cell scaffold protein with ankyrin repeats 1
221239_s_at	0.0421	FCRL2	Fc receptor-like 2
1557248_at	0.0421	ZNF587	Zinc finger protein 587
206317_s_at	0.0421	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8
229872_s_at	0.0423	LOC440667	hypothetical LOC440667
212599_at	0.0423	AUTS2	autism susceptibility candidate 2
235901_at	0.0426	---	Transcribed locus
223750_s_at	0.0427	TLR10	toll-like receptor 10
240057_at	0.0427	---	Transcribed locus
1566433_at	0.0427	PLD4	phospholipase D family, member 4
216224_s_at	0.0429	HDAC6	histone deacetylase 6
1558186_s_at	0.0431	CLLU1	chronic lymphocytic leukemia up-regulated 1
229507_at	0.0431	C3orf54	chromosome 3 open reading frame 54
203331_s_at	0.0434	INPP5D	inositol polyphosphate-5-phosphatase, 145kDa
218029_at	0.0434	FAM65A	family with sequence similarity 65, member A
213605_s_at	0.0438	LOC643373	Hypothetical protein LOC153561
229264_at	0.0438	LOC642441	hypothetical protein LOC642441
227502_at	0.0438	RDX	radixin
206707_x_at	0.0438	C6orf32	chromosome 6 open reading frame 32
206983_at	0.0438	CCR6	chemokine (C-C motif) receptor 6
206675_s_at	0.0438	SKIL	SKI-like
240165_at	0.0438	---	Transcribed locus, similar to KIAA1503 protein [Homo sapiens]
230805_at	0.0438	---	Transcribed locus, similar to KIAA0612 protein [Pan troglodytes]
1556683_x_at	0.0438	AUTS2	Autism susceptibility candidate 2
225613_at	0.0438	MAST4	microtubule associated serine/threonine kinase family member 4
1564405_at	0.0438	---	---
212827_at	0.0438	IGHM	immunoglobulin heavy constant mu
212700_x_at	0.0438	PLEKHM1	pleckstrin homology domain containing, family M (with RUN domain) member 1
1558662_s_at	0.0447	BANK1	B-cell scaffold protein with ankyrin repeats 1
1565566_a_at	0.0448	STX7	Syntaxin 7
210765_at	0.0449	CSE1L	CSE1 chromosome segregation 1-like (yeast)
208760_at	0.0449	UBE2I	Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)
1563674_at	0.0449	FCRL2	Fc receptor-like 2
225680_at	0.0449	DKFZp434K1815	hypothetical protein DKFZp434K1815
242468_at	0.0449	LOC613266	Hypothetical LOC613266
241488_at	0.0451	CABC1	Chaperone, ABC1 activity of bc1 complex like (S.pombe)
226123_at	0.0452	CHD7	chromodomain helicase DNA binding protein 7
1552806_a_at	0.0455	SIGLEC10	sialic acid binding Ig-like lectin 10
212589_at	0.0458	SCP2	Sterol carrier protein 2
204692_at	0.0458	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4
220341_s_at	0.0458	LOC51149	hypothetical LOC51149
236883_at	0.0458	TMEM77	Transmembrane protein 77
232884_s_at	0.0458	DKFZp434J1015	hypothetical protein DKFZp434J1015
1553196_a_at	0.0458	FCRL3	Fc receptor-like 3
223967_at	0.0458	ANGPTL6	angiopoietin-like 6
208118_x_at	0.0458	LAT1-3TM	SLC7A5 pseudogene
228372_at	0.0458	C10orf128	chromosome 10 open reading frame 128
223038_s_at	0.0459	FAM60A	family with sequence similarity 60, member A
210450_at	0.046	LOC90925	hypothetical protein LOC90925
242721_at	0.0463	AUTS2	Autism susceptibility candidate 2
210044_s_at	0.0465	LYL1	lymphoblastic leukemia derived sequence 1
238823_at	0.0467	FMNL3	formin-like 3
231721_at	0.0467	JAM3	junctional adhesion molecule 3
203876_s_at	0.0467	MMP11	matrix metallopeptidase 11 (stromelysin 3)
225775_at	0.0468	TSPAN33	tetraspanin 33
212757_s_at	0.0471	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
1561363_a_at	0.0471	---	CDNA FLJ36285 fis, clone THYMU2003470
208914_at	0.0471	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
210790_s_at	0.0471	SAR1A	SAR1 gene homolog A (S. cerevisiae)
211149_at	0.0473	UTY	ubiquitously transcribed tetratricopeptide repeat gene, Y-linked
226906_s_at	0.0475	ARHGAP9	Rho GTPase activating protein 9
209762_x_at	0.0475	SP110	SP110 nuclear body protein
1559078_at	0.0475	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
239208_s_at	0.0475	---	---
204164_at	0.0478	SIPA1	signal-induced proliferation-associated gene 1
215412_x_at	0.048	PMS2L2	postmeiotic segregation increased 2-like 2
242104_at	0.048	---	Transcribed locus
219667_s_at	0.048	BANK1	B-cell scaffold protein with ankyrin repeats 1
227999_at	0.0483	PWWP2	PWWP domain containing 2
227260_at	0.0484	ANKRD10	Ankyrin repeat domain 10
215411_s_at	0.0484	TRAF3IP2	TRAF3 interacting protein 2
231331_at	0.0487	---	Transcribed locus
236625_at	0.0494	PARVG	Parvin, gamma
236355_s_at	0.0497	---	Transcribed locus
212879_x_at	0.0497	PIAS4	protein inhibitor of activated STAT, 4
232051_at	0.0498	CCDC102A	coiled-coil domain containing 102A
