Probe Set	Gene Title	Symbol	Entrez	Location	Spearman	P-value	Pearson	P-Value	Spearman	P-value	Pearson	P-Value
215274_at	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3	6559	16q13	0.01391	0.9486	-0.10911	0.6118	0.08261	0.7012	0.09937	0.6441
215359_x_at	ZNF44	zinc finger protein 44	51710	19p13.2	-0.1	0.642	-0.05517	0.7979	-0.0113	0.9582	0.01499	0.9446
215470_at	DKFZP686 M0199	general transcription factor IIH, polypeptide 2, 44kDa-like	653238	5q13.2	0.13739	0.522	0.15567	0.4676	-0.02435	0.9101	0.13174	0.5395
215822_x_at	MYT1	myelin transcription factor 1	4661	20q13.33	0.04	0.8528	0.00459	0.983	0.08087	0.7072	0.10978	0.6096
215933_s_at	HHEX	hematopoietically expressed homeobox	3087	10q23.33	0.11913	0.5793	0.23996	0.2587	0.22783	0.2843	0.28714	0.1737
216277_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	699	2q14	-0.0887	0.6802	-0.05486	0.799	0.33652	0.1079	0.30241	0.1509
216499_at	---	MRNA; cDNA DKFZp434K0610 (from clone DKFZp434K0610)		---	-0.13652	0.5247	-0.12801	0.5511	-0.13565	0.5274	-0.11917	0.5792
216747_at	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	323	4p14-p13	0.03478	0.8718	-0.0247	0.9088	0.22087	0.2997	0.30185	0.1517
216748_at	PYHIN1	pyrin and HIN domain family, member 1	149628	1q23.1	-0.29652	0.1594	-0.27654	0.1908	-0.06783	0.7528	-0.0848	0.6936
216831_s_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862	8q22	-0.03217	0.8814	-0.01996	0.9262	0.11826	0.5821	0.14274	0.5058
216892_at	IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	3500	14q32.33	-0.02696	0.9005	-0.01662	0.9386	-0.16348	0.4453	-0.20197	0.3439
216972_at	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	6677	7q31.3	0.20696	0.3319	0.12289	0.5673	0.39652	0.0551	0.32212	0.1248
217369_at	IGHG1 /// IGHV4-31	immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy variable 4-31		14q32.33	0.03478	0.8718	-0.01355	0.9499	-0.00261	0.9903	-0.00391	0.9855
218323_at	RHOT1	ras homolog gene family, member T1	55288	17q11.2	0.09478	0.6595	0.21625	0.3101	-0.11565	0.5905	-0.04683	0.828
218352_at	RCBTB1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	55213	13q14	-0.18522	0.3862	-0.0198	0.9268	0.23478	0.2695	0.29157	0.1669
218490_s_at	ZNF302	zinc finger protein 302	55900	19q13.11	0.01217	0.955	0.0405	0.851	0.2287	0.2824	0.26772	0.2059
219067_s_at	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	54780	10q26.13	0.18522	0.3862	0.26529	0.2102	0.25826	0.223	0.31764	0.1304
219527_at	MOSC2	MOCO sulphurase C-terminal domain containing 2	54996	1q41	-0.1313	0.5408	-0.10157	0.6367	-0.06609	0.759	-0.07034	0.744
220011_at	C1orf135	chromosome 1 open reading frame 135	79000	1p36.11	-0.12435	0.5626	-0.10677	0.6195	0.21217	0.3196	0.10073	0.6396
220094_s_at	CCDC90A	coiled-coil domain containing 90A	63933	6p24.3-p23	0.04696	0.8275	0.00364	0.9865	0.09652	0.6537	0.13938	0.516
220420_at	CPLX3 /// LMAN1L	lectin, mannose-binding, 1 like /// complexin 3		15q24.1	-0.12348	0.5654	-0.27005	0.2019	-0.34696	0.0967	-0.20346	0.3403
220511_s_at	DLC1	deleted in liver cancer 1	10395	8p22	0.14	0.5141	0.02201	0.9187	-0.01913	0.9293	-0.0278	0.8974
220906_at	---	---		---	-0.14435	0.501	-0.17851	0.404	-0.11652	0.5877	-0.0955	0.6571
220925_at	MAK10	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	60560	9q21.33	0.53652	0.0069	0.53384	0.0072	0.09652	0.6537	0.05067	0.8141
220936_s_at	H2AFJ	H2A histone family, member J	55766	12p12	-0.19217	0.3683	-0.08982	0.6764	-0.3	0.1544	-0.21867	0.3046
221313_at	GPR52	G protein-coupled receptor 52	9293	1q24	0.13913	0.5167	0.00006	0.9998	0.28174	0.1823	0.18618	0.3837
221371_at	TNFSF18	tumor necrosis factor (ligand) superfamily, member 18	8995	1q23	0.00565	0.9791	-0.12339	0.5657	0.0087	0.9678	0.28843	0.1717
221552_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3	0.35913	0.0848	0.27051	0.2011	0.30261	0.1506	0.28863	0.1714
221847_at	---	Full-length cDNA clone CS0DE005YD08 of Placenta of Homo sapiens (human)		---	-0.19652	0.3574	-0.18742	0.3805	0.11391	0.5961	0.14671	0.4939
221948_s_at	KLHL22	Kelch-like 22 (Drosophila)	84861	22q11.21	0.0713	0.7406	-0.01823	0.9326	0.35478	0.0889	0.41986	0.0411
222108_at	AMIGO2	adhesion molecule with Ig-like domain 2	347902	12q13.11	0.33739	0.1069	0.34602	0.0977	0.17043	0.4259	0.17637	0.4097
222203_s_at	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	57665	2p24.2	0.04087	0.8496	0.02426	0.9104	0.04609	0.8307	0.04494	0.8348
32540_at	PPP3CC	Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	5533	8p21.3	-0.24522	0.2481	-0.23463	0.2698	-0.06348	0.7682	-0.11192	0.6026
45288_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3	0.07217	0.7375	0.01781	0.9342	-0.04522	0.8338	-0.03922	0.8556
64432_at	C12orf47	chromosome 12 open reading frame 47	51275	12q24.12	0.34522	0.0985	0.33852	0.1056	0.0887	0.6802	0.14636	0.495
