Gene Symbol	Name
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)
AGR2	Anterior gradient homolog 2 (Xenopus laevis)
ANLN	Anillin, actin binding protein
AR	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
AURKA	Aurora kinase A
BAG1	BCL2-associated athanogene
BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
C10orf38	Chromosome 10 open reading frame 38
C17orf37	Chromosome 17 open reading frame 37
CAPN13	Calpain 13
CDC6	Cell division cycle 6 homolog (S. cerevisiae)
CELSR1	Cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
CENPA	Centromere protein A
CENPF	Centromere protein F, 350/400ka (mitosin)
CKS2	CDC28 protein kinase regulatory subunit 2
CLDN4	Claudin 4
CTSL2	Cathepsin L2
CXXC5	CXXC finger 5
DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
DNALI1	Dynein, axonemal, light intermediate chain 1
ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
EPN3	Epsin 3
EXO1	Exonuclease 1
FAM54A	Family with sequence similarity 54, member A
FZD7	Frizzled homolog 7 (Drosophila)
GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)
GTPBP4	GTP binding protein 4
HSPA14	Heat shock 70kDa protein 14
KIAA1324	KIAA1324
KRT18	Keratin 18
LOC400451	Hypothetical gene supported by AK075564; BC060873
MIA	Melanoma inhibitory activity
MYB	V-myb myeloblastosis viral oncogene homolog (avian)
NTN4	Netrin 4
OGFRL1	Opioid growth factor receptor-like 1
PCNA	Proliferating cell nuclear antigen
PHGDH	Phosphoglycerate dehydrogenase
PRC1	Protein regulator of cytokinesis 1
PTTG1	Pituitary tumor-transforming 1
RACGAP1	Rac GTPase activating protein 1
REEP6	Receptor accessory protein 6
RRM2	Ribonucleotide reductase M2 polypeptide
S100A9	S100 calcium binding protein A9
SFRP1	Secreted frizzled-related protein 1
TK1	Thymidine kinase 1, soluble
TMEM25	Transmembrane protein 25
TOP2A	Topoisomerase (DNA) II alpha 170kDa
TSPAN13	Tetraspanin 13
TYMS	Thymidylate synthetase
CDH3	Cadherin 3, type 1, P-cadherin (placental)
TAP1	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
FGFR4	Fibroblast growth factor receptor 4
KIF13B	Kinesin family member 13B
KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
SCUBE2	Signal peptide, CUB domain, EGF-like 2
BCL2	B-cell CLL/lymphoma 2
CLDN7	Claudin 7
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
GSTM1	Glutathione S-transferase M1
KRT8	Keratin 8
MYC	V-myc myelocytomatosis viral oncogene homolog (avian)
S100A8	S100 calcium binding protein A8
ACOT4	Acyl-CoA thioesterase 4
AKT3	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
AVEN	Apoptosis, caspase activation inhibitor
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
BCL2A1	BCL2-related protein A1
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)
CA12	Carbonic anhydrase XII
CCNB1	Cyclin B1
CD68	CD68 molecule
CDC20	Cell division cycle 20 homolog (S. cerevisiae)
CDCA8	Cell division cycle associated 8
CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)
CEP55	Centrosomal protein 55kDa
CFLAR	CASP8 and FADD-like apoptosis regulator
DKFZp762E1312	Hypothetical protein DKFZp762E1312
DLG7	Discs, large homolog 7 (Drosophila)
E2F1	E2F transcription factor 1
IGF1	Insulin-like growth factor 1 (somatomedin C)
KIF2C	Kinesin family member 2C
KPNA1	Karyopherin alpha 1 (importin alpha 5)
KRAS	V-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
KRT14	Keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)
KRT19	Keratin 19
MAPT	Microtubule-associated protein tau
MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)
MELK	Maternal embryonic leucine zipper kinase
MKI67	Antigen identified by monoclonal antibody Ki-67
MLPH	Melanophilin
MMP11	Matrix metallopeptidase 11 (stromelysin 3)
MYO5C	Myosin VC
ORC6L	Origin recognition complex, subunit 6 like (yeast)
PGR	Progesterone receptor
PH4	Hypoxia-inducible factor prolyl 4-hydroxylase
PIP	Prolactin-induced protein
PTEN	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)
RARA	Retinoic acid receptor, alpha
SLC7A6	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1
SPDEF	SAM pointed domain containing ets transcription factor
TACSTD1	Tumor-associated calcium signal transducer 1
TCF7L1	Transcription factor 7-like 1 (T-cell specific, HMG-box)
TP53	Tumor protein p53 (Li-Fraumeni syndrome)
UBE2C	Ubiquitin-conjugating enzyme E2C
CDCA1	Cell division cycle associated 1 (NUF2, NDC80 kinetochore complex component, homolog)
HSPC150	UBE2T ubiquitin-conjugating enzyme E2T
FIGF	c-fos induced growth factor (vascular endothelial growth factor D)
KNTC2	NDC80 homolog, kinetochore complex component
BCMP11	breast cancer membrane protein 11 (AGR3 anterior gradient homolog 3)
VEGF	VEGFA vascular endothelial growth factor A
C10orf7	CDC123 cell division cycle 123 homolog
EMSY	C11orf30 chromosome 11 open reading frame 30
LOC201895	C4orf34 chromosome 4 open reading frame 34
NSEP1	nuclease sensitive element binding protein 1 (YBX1 Y box binding protein 1)
SHCP66	similar to shc p66
TM4SF13	Transmembrane 4 superfamily member 13 (TSPAN13 tetraspanin 13)
WIRE	WIPF2 WAS/WASL interacting protein family, member 2
