Probeset ID	Gene Symbol	Gene Title	P-value	FoldChange
219799_s_at	DHRS9	dehydrogenase/reductase (SDR family) member 9	0.059	1.86
215078_at	SOD2	superoxide dismutase 2, mitochondrial	0.035	1.86
242523_at	NA	Transcribed locus	0.004	1.85
226188_at	HSPC159	galectin-related protein	0.013	1.85
227705_at	TCEAL7	transcription elongation factor A (SII)-like 7	0.097	1.85
227180_at	ELOVL7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	0.014	1.85
1554999_at	RASGEF1B	RasGEF domain family, member 1B	0.086	1.85
226985_at	FGD5	FYVE, RhoGEF and PH domain containing 5	0.042	1.85
235675_at	DHFRL1	dihydrofolate reductase-like 1	0.022	1.84
201693_s_at	EGR1	early growth response 1	0.017	1.84
203780_at	MPZL2	myelin protein zero-like 2	0.025	1.84
205518_s_at	CMAH	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase) pseudogene	0.005	1.84
227370_at	KIAA1946	KIAA1946	0.008	1.84
221802_s_at	KIAA1598	KIAA1598	0.073	1.84
230020_at	NA	Transcribed locus	0.008	1.84
228433_at	FLJ11236	hypothetical protein FLJ11236	0.02	1.84
1556136_at		hypothetical protein LOC340156	0.011	1.84
209488_s_at	RBPMS	RNA binding protein with multiple splicing	0.061	1.84
212327_at	LIMCH1	LIM and calponin homology domains 1	0.085	1.84
242784_at	NA	Transcribed locus	0.054	1.83
226885_at	NA	Transcribed locus	0.026	1.83
219036_at	CEP70	centrosomal protein 70kDa	0.001	1.83
239043_at	ZNF404	zinc finger protein 404	0.066	1.83
221458_at	HTR1F	5-hydroxytryptamine (serotonin) receptor 1F	0.001	1.83
242488_at	NA	CDNA FLJ38396 fis, clone FEBRA2007957	0.059	1.82
218242_s_at	SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)	0.023	1.82
235159_at	NA	CDNA FLJ32348 fis, clone PROST2007200	0.003	1.82
228195_at	MGC13057	hypothetical protein MGC13057	0.023	1.82
237594_at	NA	NA	0.077	1.82
225438_at	NUDCD1	NudC domain containing 1	0.079	1.82
236026_at	GPATCH2	G patch domain containing 2	0.002	1.82
207018_s_at	RAB27B	RAB27B, member RAS oncogene family	0.004	1.81
236241_at	MED31	mediator complex subunit 31	0	1.81
202768_at	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	0.023	1.81
239280_at	NA	Transcribed locus, strongly similar to XP_001140852.1 PREDICTED: hypothetical protein [Pan troglodytes]	0.037	1.81
232007_at	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	0.078	1.81
202708_s_at	HIST2H2BE	histone cluster 2, H2be	0.091	1.81
224959_at	SLC26A2	solute carrier family 26 (sulfate transporter), member 2	0.009	1.81
231270_at	CA13	carbonic anhydrase XIII	0.01	1.81
1552733_at	KLHDC1	kelch domain containing 1	0.011	1.81
202677_at	RASA1	RAS p21 protein activator (GTPase activating protein) 1	0.005	1.81
213029_at	NFIB	nuclear factor I/B	0.014	1.81
236994_at	FBXL4	F-box and leucine-rich repeat protein 4	0.039	1.8
221477_s_at	MGC5618	hypothetical protein MGC5618	0.001	1.8
215388_s_at	CFH /// CFHR1	complement factor H /// complement factor H-related 1	0.003	1.8
209566_at	INSIG2	insulin induced gene 2	0.016	1.8
1553635_s_at	TCTEX1D1	Tctex1 domain containing 1	0.019	1.8
223809_at	RGS18	regulator of G-protein signaling 18	0.095	1.8
238937_at	ZNF420	zinc finger protein 420	0.011	1.8
238549_at	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	0.008	1.8
1558184_s_at	ZNF17	zinc finger protein 17	0.005	1.8
1569004_at	NA	Homo sapiens, Similar to neuronal thread protein, clone IMAGE:4106635, mRNA	0.055	1.8
203404_at	ARMCX2	armadillo repeat containing, X-linked 2	0.045	1.79
219777_at	GIMAP6	GTPase, IMAP family member 6	0.063	1.79
213537_at	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	0.033	1.79
225599_s_at	LOC286144	hypothetical protein LOC286144	0.008	1.78
39402_at	IL1B	interleukin 1, beta	0	1.78
239849_at	NA	Transcribed locus	0.005	1.78
227536_at	ZC3H13	zinc finger CCCH-type containing 13	0.035	1.78
219497_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.049	1.78
214290_s_at	HIST2H2AA3 /// HIST2H2AA4	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4	0.061	1.78
242002_at	NKAIN2	Na+/K+ transporting ATPase interacting 2	0.007	1.78
242693_at	NA	Transcribed locus	0.062	1.78
226189_at	ITGB8	integrin, beta 8	0.014	1.78
218280_x_at	HIST2H2AA3 /// HIST2H2AA4	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4	0.058	1.77
229422_at	NRD1	nardilysin (N-arginine dibasic convertase)	0.008	1.77
220122_at	MCTP1	multiple C2 domains, transmembrane 1	0.05	1.77
220992_s_at	C1orf25	chromosome 1 open reading frame 25	0.084	1.77
234970_at	TC2N	tandem C2 domains, nuclear	0.002	1.76
1566232_at	NA	MRNA; cDNA DKFZp667I0318 (from clone DKFZp667I0318)	0.003	1.76
232461_at	AHI1	Abelson helper integration site 1	0.011	1.76
201964_at	SETX	senataxin	0.03	1.76
203266_s_at	MAP2K4	mitogen-activated protein kinase kinase 4	0.026	1.76
236293_at	NA	Transcribed locus	0.062	1.76
201540_at	FHL1	four and a half LIM domains 1	0.073	1.76
201694_s_at	EGR1	early growth response 1	0.058	1.76
206188_at	NA	NA	0.028	1.75
204783_at	MLF1	Myeloid leukemia factor 1	0.098	1.75
228843_at	NA	Full length insert cDNA clone YZ38E04	0.048	1.75
229327_s_at	NA	Transcribed locus	0.029	1.75
242299_at	NA	Transcribed locus	0.023	1.75
206081_at	SLC24A1	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	0.001	1.75
227492_at	LOC647859	occludin pseudogene	0.045	1.75
221234_s_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	0.073	1.75
227227_at	ARL17P1	ADP-ribosylation factor-like 17 pseudogene 1	0.039	1.75
235028_at	NA	CDNA FLJ42313 fis, clone TRACH2019425	0.046	1.75
229302_at	TMEM178	transmembrane protein 178	0.061	1.75
209290_s_at	NFIB	nuclear factor I/B	0.091	1.75
229629_at	NA	Transcribed locus	0.04	1.75
233020_at	NA	CDNA FLJ13208 fis, clone NT2RP4000218	0.033	1.74
233365_at	NA	CDNA FLJ12285 fis, clone MAMMA1001764	0.021	1.74
239682_at	NA	Full-length cDNA clone CS0DC024YB19 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)	0.003	1.74
218897_at	TMEM177	transmembrane protein 177	0.055	1.74
1552626_a_at	TMEM163	transmembrane protein 163	0.015	1.74
221729_at	COL5A2	collagen, type V, alpha 2	0.008	1.74
225551_at	C1orf71	chromosome 1 open reading frame 71	0.017	1.74
230698_at	CALN1	calneuron 1	0.064	1.74
235803_at	NA	Transcribed locus	0.031	1.74
206721_at	C1orf114	chromosome 1 open reading frame 114	0.046	1.74
213306_at	MPDZ	multiple PDZ domain protein	0.075	1.74
207156_at	HIST1H2AG	histone cluster 1, H2ag	0.036	1.74
207513_s_at	ZNF189	zinc finger protein 189	0.002	1.74
220206_at	ZMYM1	zinc finger, MYM-type 1	0.016	1.73
223497_at	FAM135A	family with sequence similarity 135, member A	0.01	1.73
206314_at	ZNF167	zinc finger protein 167	0.009	1.73
239210_at	NA	Transcribed locus	0.027	1.73
238735_at	NA	NA	0.043	1.73
221786_at	C6orf120	chromosome 6 open reading frame 120	0.014	1.73
228665_at	CYYR1	cysteine/tyrosine-rich 1	0.035	1.73
218303_x_at	KRCC1	lysine-rich coiled-coil 1	0.033	1.73
227351_at	C16orf52	chromosome 16 open reading frame 52	0.021	1.73
239108_at	MLSTD1	Male sterility domain containing 1	0.029	1.73
226265_at	QSER1	glutamine and serine rich 1	0.013	1.72
209829_at	C6orf32	chromosome 6 open reading frame 32	0.078	1.72
223952_x_at	DHRS9	dehydrogenase/reductase (SDR family) member 9	0.091	1.72
226119_at	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	0.068	1.72
1554679_a_at	LAPTM4B	lysosomal associated protein transmembrane 4 beta	0.019	1.72
1569472_s_at	TTC3	tetratricopeptide repeat domain 3	0.032	1.72
205844_at	VNN1	vanin 1	0.029	1.71
218135_at	ERGIC2	ERGIC and golgi 2	0.023	1.71
230518_at	MPZL2	myelin protein zero-like 2	0.009	1.71
231108_at	FUS	Fusion (involved in t(12;16) in malignant liposarcoma)	0.09	1.71
218967_s_at	PTER	phosphotriesterase related	0.008	1.71
204341_at	TRIM16 /// TRIM16L	tripartite motif-containing 16 /// tripartite motif-containing 16-like	0.01	1.71
224606_at	KLF6	Kruppel-like factor 6	0.027	1.71
243824_at	NA	Homo sapiens, clone IMAGE:5213378, mRNA	0.082	1.71
207836_s_at	RBPMS	RNA binding protein with multiple splicing	0.064	1.71
234351_x_at	TRPS1	trichorhinophalangeal syndrome I	0	1.71
227454_at	TAOK1	TAO kinase 1	0.005	1.71
230578_at	ZNF471	Zinc finger protein 471	0.004	1.71
226847_at	FST	follistatin	0.079	1.71
232478_at	NA	CDNA clone IMAGE:4815026	0.007	1.7
203817_at	GUCY1B3	guanylate cyclase 1, soluble, beta 3	0.082	1.7
223885_at	CALN1	calneuron 1	0.052	1.7
210102_at	LOH11CR2A	loss of heterozygosity, 11, chromosomal region 2, gene A	0.034	1.7
242224_at	GPATCH2	G patch domain containing 2	0.01	1.7
241849_at	NA	Transcribed locus	0.068	1.7
230403_at	NA	CDNA FLJ45905 fis, clone OCBBF3026576	0.027	1.7
239429_at	NA	Transcribed locus	0.065	1.7
206734_at	JRKL	jerky homolog-like (mouse)	0.019	1.7
230014_at	NA	Transcribed locus	0.049	1.69
222305_at	HK2	hexokinase 2	0.006	1.69
238501_at	NA	Transcribed locus	0.014	1.69
213156_at	NA	Homo sapiens, clone IMAGE:4214654, mRNA	0.032	1.69
227417_at	MOSC2	MOCO sulphurase C-terminal domain containing 2	0.082	1.69
204950_at	CARD8	caspase recruitment domain family, member 8	0.036	1.69
235438_at	NA	MRNA; cDNA DKFZp686E22185 (from clone DKFZp686E22185)	0.037	1.69
235657_at	NA	Transcribed locus, strongly similar to XP_518149.1 PREDICTED: hypothetical protein XP_518149 [Pan troglodytes]	0.055	1.69
214670_at	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	0.049	1.69
239630_at	NA	NA	0.024	1.69
241365_at	NA	CDNA FLJ42259 fis, clone TKIDN2011289	0.032	1.69
204523_at	ZNF140	zinc finger protein 140	0.003	1.69
220129_at	SOHLH2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	0.027	1.69
212677_s_at	CEP68	centrosomal protein 68kDa	0.033	1.69
213353_at	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	0.001	1.68
205659_at	HDAC9	histone deacetylase 9	0.084	1.68
200799_at	HSPA1A	heat shock 70kDa protein 1A	0.041	1.68
1554020_at	BICD1	bicaudal D homolog 1 (Drosophila)	0.023	1.68
230918_at	NA	Transcribed locus	0.024	1.68
226420_at	EVI1	ecotropic viral integration site 1	0.004	1.68
1553132_a_at	TC2N	tandem C2 domains, nuclear	0.02	1.68
236476_at	NA	CDNA FLJ38567 fis, clone HCHON2005166	0.016	1.68
230180_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	0.085	1.68
1552306_at	ALG10	asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase)	0.008	1.68
223403_s_at	POLR1B	polymerase (RNA) I polypeptide B, 128kDa	0.042	1.68
209875_s_at	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	0.014	1.68
244786_at	SNHG10	small nucleolar RNA host gene (non-protein coding) 10	0.01	1.68
239469_at	NA	Transcribed locus	0.007	1.67
1562289_at	NA	MRNA; cDNA DKFZp434N0220 (from clone DKFZp434N0220)	0.069	1.67
213817_at	NA	CDNA FLJ13601 fis, clone PLACE1010069	0.064	1.67
233329_s_at	KRCC1	lysine-rich coiled-coil 1	0.056	1.67
230291_s_at	NFIB	Nuclear factor I/B	0.07	1.67
226261_at	ZNRF2	zinc and ring finger 2	0.013	1.67
1554588_a_at	TTC30B	tetratricopeptide repeat domain 30B	0.026	1.67
225872_at	SLC35F5	solute carrier family 35, member F5	0.041	1.67
217671_at	NA	Transcribed locus	0.016	1.67
1555847_a_at	LOC284454	hypothetical protein LOC284454	0.052	1.67
204012_s_at	LCMT2	leucine carboxyl methyltransferase 2	0.02	1.67
230075_at	RAB39B	RAB39B, member RAS oncogene family	0.018	1.67
222691_at	SLC35B3	solute carrier family 35, member B3	0.079	1.67
236297_at	NA	CDNA FLJ45742 fis, clone KIDNE2016327	0.038	1.67
232504_at	NA	NA	0.078	1.67
1556568_a_at	NA	Clone C4E 5.3 (CAC)n/(GTG)n repeat-containing mRNA	0.027	1.66
1558842_at	NA	NA	0.017	1.66
238004_at	PGBD2	piggyBac transposable element derived 2	0.015	1.66
200800_s_at	HSPA1A /// HSPA1B	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	0.09	1.66
223764_x_at	NIPSNAP3B	nipsnap homolog 3B (C. elegans)	0.006	1.66
206726_at	PGDS	prostaglandin D2 synthase, hematopoietic	0.013	1.66
1559535_s_at	NA	Homo sapiens, clone IMAGE:5743779, mRNA	0.027	1.66
219972_s_at	C14orf135	chromosome 14 open reading frame 135	0.035	1.66
230127_at	NA	Transcribed locus	0.07	1.66
231111_at	NA	Transcribed locus	0.019	1.66
1557166_at	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	0.04	1.66
230821_at	ZNF148	zinc finger protein 148	0.023	1.66
209459_s_at	ABAT	4-aminobutyrate aminotransferase	0.036	1.66
203080_s_at	BAZ2B	bromodomain adjacent to zinc finger domain, 2B	0.005	1.66
228280_at	ZC3HAV1L	zinc finger CCCH-type, antiviral 1-like	0.005	1.66
223470_at	PIGM	phosphatidylinositol glycan anchor biosynthesis, class M	0.002	1.66
236613_at	RBM25	RNA binding motif protein 25	0.008	1.65
220384_at	TXNDC3	thioredoxin domain containing 3 (spermatozoa)	0.079	1.65
213075_at	OLFML2A	olfactomedin-like 2A	0.009	1.65
242086_at	NA	CDNA clone IMAGE:4798227	0.025	1.65
228734_at	NA	CDNA FLJ41934 fis, clone PERIC2005111	0.026	1.65
212530_at	NEK7	NIMA (never in mitosis gene a)-related kinase 7	0.01	1.65
1555827_at	CCNL1	Cyclin L1	0.046	1.65
219834_at	ALS2CR8	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8	0.003	1.65
242836_at	NA	Transcribed locus	0.03	1.65
237419_at	NA	Transcribed locus	0.037	1.65
1568627_at	SMEK2	SMEK homolog 2, suppressor of mek1 (Dictyostelium)	0.042	1.65
223268_at	C11orf54	chromosome 11 open reading frame 54	0.049	1.65
236295_s_at	NLRC3	NLR family, CARD domain containing 3	0.011	1.65
213056_at	FRMD4B	FERM domain containing 4B	0.04	1.65
223404_s_at	C1orf25	chromosome 1 open reading frame 25	0.052	1.65
235347_at	LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3	0.066	1.65
241853_at	NA	Transcribed locus	0.034	1.65
203991_s_at	UTX	ubiquitously transcribed tetratricopeptide repeat, X chromosome	0.022	1.65
224917_at	MIRN21	microRNA 21	0.056	1.65
