Down-regulation (Z score)	Gene	Common	GeneBank	Description
1.748	212527_at	D15Wsu75e	BF057059	DNA segment, Chr 15, Wayne State University 75, expressed
1.733	223054_at	DNAJB11	BC001144	DnaJ (Hsp40) homolog, subfamily B, member 11
1.718	221484_at	B4GALT5	BF691447	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
1.711	204135_at	DOC1	NM_014890	downregulated in ovarian cancer 1
1.694	212501_at	CEBPB	AL564683	AL564683 Homo sapiens FETAL LIVER Homo sapiens cDNA clone CS0DM007YK12 3-PRIME, mRNA sequence.
1.681	217762_s_at	RAB31	BE789881	RAB31, member RAS oncogene family
1.647	225744_at	ZDHHC8	AB033118	zinc finger, DHHC domain containing 8
1.64	209031_at	IGSF4	AL519710	immunoglobulin superfamily, member 4
1.633	235306_at	hIAN6	AI611648	tt37g06.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:2243002 3prime similar to contains MER13.t1 MER13 repetitive element ;, mRNA sequence.
1.62	224215_s_at	DLL1	AF196571	delta-like 1 (Drosophila)
1.56	215645_at	FLJ11286	AF090883	hypothetical protein FLJ11286
1.525	209508_x_at	CFLAR	AF005774	CASP8 and FADD-like apoptosis regulator
1.516	202249_s_at	H326	AU146233	H326
1.51	242403_at		AI459177	Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry
1.482	242738_s_at	ATBF1	BG402859	602418552F1 NIH_MGC_93 Homo sapiens cDNA clone IMAGE:4525500 5prime, mRNA sequence.
1.48	215909_x_at	MINK	AL157418	Homo sapiens mRNA; cDNA DKFZp761K18121 (from clone DKFZp761K18121).
1.462	205323_s_at	MTF1	NM_005955	metal-regulatory transcription factor 1
1.451	1552318_at	IMAP1	AK091818	immunity associated protein 1
1.441	220091_at	SLC2A6	NM_017585	solute carrier family 2 (facilitated glucose transporter), member 6
1.418	213817_at		AL049435	MRNA; cDNA DKFZp586B0220 (from clone DKFZp586B0220)
1.392	206486_at	LAG3	NM_002286	lymphocyte-activation gene 3
1.351	225415_at	BBAP	AA577672	rhysin 2
-1.224	1555743_s_at		U92816	Homo sapiens c33.6 unnamed HERV-H protein mRNA, complete cds.
-1.244	243963_at	SDCCAG8	AI473707	serologically defined colon cancer antigen 8
