Affy ID human	Affy ID mouse	Symbol human	Symbol mouse	Gene Name	Fold change smoker vs control	Fold change IL13tg vs wt	Fold change B6-/- 2mo vs wt	Fold change B6-/-10 mo vs 2 mo	Fold change B6-/-10 mo vs 2 mo
212158_at	1417011_at	SDC2	Sdc2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	6.0	1.2	-1.0	1.3	1
223503_at	1428077_at	DKFZP566N034	2610024A01Rik	Hypothetical protein DKFZp566N034	5.0	1.1	1.1	-1.0	1
228285_at	1453357_at	TDRD9	Tdrd9	tudor domain containing 9	4.8	1.2	1.3	1.1	1
203178_at	1423569_at	GATM	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	4.5	1.7	-1.3	1.2	1
205237_at	1430080_at	FCN1	Fcnb	ficolin (collagen/fibrinogen domain containing) 1	4.4	1.1	1.0	-1.1	1
1553151_at	1434798_at	ATP6V0D2	Atp6v0d2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 2	4.3	1.2	1.3	-1.0	1
220380_at	1450237_at	DNASE2B	Dnase2b	deoxyribonuclease II beta	4.0	1.0	1.0	1.1	1
209875_s_at	1449254_at	SPP1	Spp1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	4.0	1.2	-13.9	1.1	1
224435_at	1447774_x_at	C10orf58	5730469M10Rik	chromosome 10 open reading frame 58 /// chromosome 10 open reading frame 58	3.5	1.1	1.3	-1.2	1
205404_at	1439167_at	HSD11B1	Pecr	hydroxysteroid (11-beta) dehydrogenase 1	3.4	-1.1	-1.0	-1.0	1
212912_at	1417542_at	RPS6KA2	Rps6ka2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	3.1	1.3	-1.4	1.2	1
238780_s_at	1421762_at	KCNJ5	Kcnj5	Potassium inwardly-rectifying channel, subfamily J, member 5	3.1	1.1	-1.1	1.1	1
207469_s_at	1429001_at	PIR	Pir	pirin (iron-binding nuclear protein)	3.0	-1.5	1.2	-1.1	1
225285_at	1430111_a_at	BCAT1	Bcat1	branched chain aminotransferase 1, cytosolic	2.9	1.1	1.1	-1.1	1
1554258_a_at	1418725_at	DNAJC5B	Dnajc5b	DnaJ (Hsp40) homolog, subfamily C, member 5 beta	2.8	1.0	1.1	-1.2	1
226632_at	1423630_at	CYGB	Cygb	cytoglobin	2.6	1.0	1.0	1.1	1
226497_s_at	1419300_at	FLT1	Flt1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	2.5	-3.2	-24.3	-1.1	1
218857_s_at	1424396_a_at	ASRGL1	Asrgl1	asparaginase like 1	2.5	1.3	1.4	-1.2	1
240873_x_at	1430604_a_at	DAB2	Dab2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	2.3	-1.2	1.7	-2.0	0.097
221035_s_at	1419240_at	TEX14	Tex14	testis expressed sequence 14 /// testis expressed sequence 14	2.3	1.2	1.1	-1.2	1
218354_at	1417105_at	HSPC176	1810017G16Rik	hematopoietic stem/progenitor cells 176	2.3	1.1	1.1	-1.4	1
236561_at	1420895_at	TGFBR1	Tgfbr1	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	2.2	-1.8	-2.5	1.1	1
202922_at	1455959_s_at	GCLC	Gclc	glutamate-cysteine ligase, catalytic subunit	2.2	1.2	1.0	1.3	1
225609_at	1421817_at	GSR	Gsr	glutathione reductase	2.1	-1.1	-4.1	1.5	1
219509_at	1460202_at	MYOZ1	Myoz1	myozenin 1	2.0	-1.0	1.2	1.1	1
227144_at	1454786_at	C22orf9	5031439G07Rik	Chromosome 22 open reading frame 9	2.0	1.2	1.1	-1.3	1
224790_at	1435059_at	DDEF1	Ddef1	development and differentiation enhancing factor 1	1.8	-1.5	1.1	-1.1	1
204233_s_at	1442277_at	CHKA	Chka	choline kinase alpha	1.8	-2.6	-1.3	-1.2	1
229958_at	1448455_at	CLN8	Cln8	Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	1.8	1.5	1.3	-1.3	1
227046_at	1424905_a_at	SLC39A11	Slc39a11	solute carrier family 39 (metal ion transporter), member 11	1.7	1.1	-1.2	-1.1	1
202134_s_at	1417818_at	WWTR1	2310058J06Rik	WW domain containing transcription regulator 1	1.7	-6.2	-24.3	-1.1	1
208438_s_at	1442804_at	FGR	Fgr	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	1.6	-1.5	-2.1	-1.2	1
212578_x_at	1438502_x_at	RPS17	Rps17	ribosomal protein S17	1.6	-1.5	-1.0	-1.0	1
221923_s_at	1432416_a_at	NPM1	Npm1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	1.6	-1.1	1.3	-1.0	1
226879_at	1424032_at	MGC15619	0610039P13Rik	hypothetical protein MGC15619	1.5	-1.1	-2.8	-1.0	1
208698_s_at	1448103_s_at	NONO	Nono	non-POU domain containing, octamer-binding	1.5	-1.3	-1.1	-1.1	1
41660_at	1418925_at	CELSR1	Celsr1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	1.4	-1.0	1.0	-1.2	1
209504_s_at	1416178_a_at	PLEKHB1	Plekhb1	pleckstrin homology domain containing, family B (evectins) member 1	-1.6	-1.0	-1.1	1.2	1
210879_s_at	1434314_s_at	RAB11FIP5	Rab11fip5	RAB11 family interacting protein 5 (class I)	-1.6	1.1	1.7	1.0	1
225855_at	1458768_at	EPB41L5		erythrocyte membrane protein band 4.1 like 5	-1.6	1.1	1.1	1.2	1
203052_at	1441912_x_at	C2	C2	complement component 2	-1.7	1.9	1.3	-1.1	1
203476_at	1423311_s_at	TPBG	Tpbg	trophoblast glycoprotein	-1.9	1.2	1.1	1.0	1
1555372_at	1435448_at	BCL2L11	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	-2.0	-1.2	-1.7	1.6	1
209879_at	1449127_at	SELPLG	Selpl	selectin P ligand	-2.0	-1.4	-1.3	-1.3	1
205660_at	1424339_at	OASL	Oasl1	2-5-oligoadenylate synthetase-like	-2.0	2.1	2.2	-1.3	1
205476_at	1422029_at	CCL20	Ccl20	chemokine (C-C motif) ligand 20	-2.2	1.0	-1.0	1.1	1
242907_at	1420549_at	GBP2	Gbp1	guanylate binding protein 2, interferon-inducible	-2.2	1.1	1.7	1.2	1
209297_at	1452338_s_at	ITSN1	Itsn1	intersectin 1 (SH3 domain protein)	-2.5	3.1	1.9	1.0	1
219572_at	1451499_at	CADPS2	Cadps2	Ca2+-dependent activator protein for secretion 2	-2.9	1.5	1.0	1.1	1
210244_at	1419691_at	CAMP	Camp	cathelicidin antimicrobial peptide	-2.9	1.2	1.1	-1.2	1
213716_s_at	1419478_at	SECTM1	Sectm1	secreted and transmembrane 1	-3.6	1.0	1.1	-1.1	1
235086_at	1421811_at	THBS1	Thbs1	Thrombospondin 1	-3.6	56.3	38.6	1.2	1
204621_s_at	1450750_a_at	NR4A2	Nr4a2	nuclear receptor subfamily 4, group A, member 2	-3.7	1.2	6.5	1.0	1
223422_s_at	1424842_a_at	ARHGAP24	Arhgap24	Rho GTPase activating protein 24	-3.9	1.2	-1.2	-1.1	1
227803_at	1425702_a_at	ENPP5	Enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)	-3.9	1.5	-1.2	1.4	1
203708_at	1442700_at	PDE4B	Pde4b	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	-4.1	2.0	3.4	3.5	0.006
207111_at	1451161_a_at	EMR1	Emr1	egf-like module containing, mucin-like, hormone receptor-like 1	-4.3	-1.1	-1.4	1.1	1
203917_at	1427321_s_at	CXADR	Cxadr	coxsackie virus and adenovirus receptor	-4.5	-1.1	-1.2	1.1	1
209541_at	1452014_a_at	IGF1	Igf1	insulin-like growth factor 1 (somatomedin C)	-4.9	68.8	12.8	-3.5	1
239345_at	1450348_at	SLC19A3	Slc19a3	solute carrier family 19, member 3	-6.7	1.0	-1.0	1.0	1
219064_at	1441946_at	ITIH5	Itih5	inter-alpha (globulin) inhibitor H5	-7.5	-1.1	1.1	1.0	1
209795_at	1428735_at	CD69	Cd69	CD69 antigen (p60, early T-cell activation antigen)	-8.4	-1.9	-1.7	1.1	1
219304_s_at	1446691_at	PDGFD		platelet derived growth factor D	-11.4	1.1	-1.0	1.3	1
