Gene Symbol	Entrez	NKI295ProbeID	Affy_HGU133A	CentroidMeta	CentroidNoMeta	Delta_Centroid	Gene Title	Pathway	Pathway Hyperlink	go biological process term	go molecular function term	go cellular component term
CD247	919	NM_000734	210031_at	-0.044899557	0.103535785	-0.148435342	CD247 molecule	---	---	cell surface receptor linked signal transduction	receptor activity /// transmembrane receptor activity /// receptor signaling protein activity /// protein binding /// identical protein binding /// protein homodimerization activity	cytoplasm /// plasma membrane /// plasma membrane /// membrane /// integral to membrane /// T cell receptor complex /// T cell receptor complex
CD27	939	NM_001242	206150_at	-0.03315151	0.176828797	-0.209980307	CD27 molecule	---	---	apoptosis /// anti-apoptosis /// anti-apoptosis /// anti-apoptosis /// induction of apoptosis /// induction of apoptosis /// induction of apoptosis /// immune response /// chromosome organization and biogenesis (sensu Eukaryota) /// signal transduction /// cell surface receptor linked signal transduction /// spermatogenesis /// release of cytoplasmic sequestered NF-kappaB /// immunoglobulin mediated immune response /// B cell proliferation /// positive regulation of interferon-gamma biosynthetic process /// positive regulation of B cell differentiation /// positive regulation of T cell differentiation /// positive regulation of JNK cascade /// positive regulation of JNK cascade /// immunoglobulin secretion	DNA binding /// receptor activity /// transmembrane receptor activity /// transmembrane receptor activity /// protein binding /// protein binding /// protein binding /// caspase inhibitor activity	nucleosome /// extracellular region /// nucleus /// integral to plasma membrane /// membrane /// integral to membrane
CD28	940	NM_006139	206545_at	-0.011602112	0.053108976	-0.064711088	CD28 molecule	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	immune response /// humoral immune response /// humoral immune response /// cell surface receptor linked signal transduction /// induction of apoptosis by extracellular signals /// T cell costimulation /// cytokine biosynthetic process /// cytokine biosynthetic process /// positive regulation of T cell proliferation /// positive regulation of T cell proliferation /// positive regulation of T cell proliferation /// negative thymic T cell selection /// positive regulation of viral genome replication /// positive regulation of interleukin-2 biosynthetic process /// positive regulation of interleukin-2 biosynthetic process /// positive regulation of protein biosynthetic process /// positive regulation of anti-apoptosis /// positive regulation of anti-apoptosis /// positive regulation of mitosis /// positive regulation of mitosis /// positive regulation of isotype switching to IgG isotypes	protein binding /// coreceptor activity /// identical protein binding /// identical protein binding	plasma membrane /// integral to plasma membrane /// integral to plasma membrane /// external side of plasma membrane /// external side of plasma membrane /// membrane /// integral to membrane
CD37	951	NM_001774	204192_at	-0.127267754	0.10705406	-0.234321814	CD37 molecule	---	---	protein amino acid N-linked glycosylation	---	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
CD38	952	NM_001775	205692_s_at	-0.011861884	0.068155056	-0.08001694	CD38 molecule	---	---	generation of precursor metabolites and energy /// signal transduction /// induction of apoptosis by extracellular signals	catalytic activity /// NAD+ nucleosidase activity /// receptor activity /// hydrolase activity /// hydrolase activity, acting on glycosyl bonds /// phosphorus-oxygen lyase activity	membrane fraction /// membrane fraction /// plasma membrane /// membrane /// integral to membrane
CD3D	915	NM_000732	213539_at	-0.05543856	0.157405159	-0.212843719	CD3d molecule, delta (CD3-TCR complex)	---	---	protein complex assembly /// cell surface receptor linked signal transduction /// cell surface receptor linked signal transduction /// T cell activation /// positive thymic T cell selection /// positive thymic T cell selection	receptor activity /// transmembrane receptor activity /// transmembrane receptor activity /// protein binding /// protein binding /// protein heterodimerization activity	cytoplasm /// membrane /// integral to membrane /// T cell receptor complex /// T cell receptor complex /// alpha-beta T cell receptor complex
CD3E	916	NM_000733	205456_at	-0.068908859	0.076984809	-0.145893669	CD3e molecule, epsilon (CD3-TCR complex)	---	---	protein complex assembly /// cell surface receptor linked signal transduction /// cell surface receptor linked signal transduction /// transmembrane receptor protein tyrosine kinase signaling pathway /// signal complex formation /// G-protein coupled receptor protein signaling pathway /// positive regulation of T cell proliferation /// T cell activation /// regulation of apoptosis	receptor activity /// transmembrane receptor activity /// transmembrane receptor activity /// receptor signaling protein activity /// SH3 domain binding /// protein kinase binding /// receptor signaling complex scaffold activity /// T cell receptor binding /// protein heterodimerization activity	plasma membrane /// integral to plasma membrane /// external side of plasma membrane /// membrane /// integral to membrane /// T cell receptor complex /// T cell receptor complex
CD4	920	S79267	203547_at	-0.128028155	0.018953911	-0.146982066	CD4 molecule	---	---	conjugation with cellular fusion /// cytokine production /// immune response /// immune response /// immune response /// cell adhesion /// signal transduction /// cell surface receptor linked signal transduction /// cell surface receptor linked signal transduction /// enzyme linked receptor protein signaling pathway /// transmembrane receptor protein tyrosine kinase signaling pathway /// transmembrane receptor protein tyrosine kinase signaling pathway /// T cell differentiation /// T cell selection /// positive regulation of interleukin-2 biosynthetic process /// positive regulation of interleukin-2 biosynthetic process /// positive regulation of protein kinase activity /// positive regulation of peptidyl-tyrosine phosphorylation /// positive regulation of calcium-mediated signaling /// regulation of T cell activation /// positive regulation of T cell activation	glycoprotein binding /// receptor activity /// receptor activity /// transmembrane receptor activity /// extracellular matrix structural constituent /// protein binding /// zinc ion binding /// coreceptor activity /// coreceptor activity /// coreceptor activity /// protein kinase binding /// MHC class II protein binding /// MHC class II protein binding /// protein homodimerization activity	plasma membrane /// external side of plasma membrane /// membrane /// integral to membrane /// T cell receptor complex /// T cell receptor complex
CD44	960	NM_000610	217523_at	-0.031982766	0.312057514	-0.34404028	CD44 molecule (Indian blood group)	---	---	cell adhesion /// cell-matrix adhesion /// cell-cell adhesion	receptor activity /// protein binding /// protein binding /// collagen binding /// hyaluronic acid binding /// hyaluronic acid binding	integral to plasma membrane /// membrane /// integral to membrane
CD58	965	Contig36577_RC	222061_at	0.023367113	0.024609602	-0.001242489	CD58 molecule	---	---	cell adhesion /// cell-cell adhesion	protein binding /// GPI anchor binding	integral to plasma membrane /// membrane /// integral to membrane
CD59	966	NM_000611	212463_at	-0.091425641	0.034961308	-0.126386949	CD59 molecule, complement regulatory protein	---	---	defense response /// immune response /// cell surface receptor linked signal transduction /// blood coagulation	protein binding /// GPI anchor binding	membrane fraction /// plasma membrane /// membrane
CD6	923	NM_006725	213958_at	-0.0411979	0.022109018	-0.063306918	CD6 molecule	---	---	immune response /// cell adhesion	scavenger receptor activity /// protein binding	integral to plasma membrane /// cell surface /// membrane /// integral to membrane
CD86	942	NM_006889	205685_at	-0.020217002	-0.009775357	-0.010441645	CD86 molecule	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	immune response /// cell-cell signaling /// positive regulation of cell proliferation /// T cell activation /// positive regulation of lymphotoxin A biosynthetic process /// positive regulation of interleukin-2 biosynthetic process /// positive regulation of interleukin-4 biosynthetic process /// positive regulation of T-helper 2 cell differentiation /// positive regulation of transcription	receptor activity /// receptor activity /// protein binding /// coreceptor activity /// transcriptional activator activity	plasma membrane /// membrane /// integral to membrane /// integral to membrane
CD8A	925	NM_001768	205758_at	-0.012023078	0.140622147	-0.152645226	CD8a molecule	---	---	immune response /// immune response /// immune response /// transmembrane receptor protein tyrosine kinase signaling pathway /// transmembrane receptor protein tyrosine kinase signaling pathway /// antigen processing and presentation /// T cell activation /// T cell activation	protein binding /// protein binding /// coreceptor activity /// coreceptor activity /// MHC class I protein binding /// MHC class I protein binding	integral to plasma membrane /// membrane /// integral to membrane /// T cell receptor complex /// T cell receptor complex
CD96	10225	NM_005816	206761_at	0.02032042	0.074111776	-0.053791356	CD96 molecule	---	---	immune response /// cell adhesion /// cell adhesion	protein binding	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
CEACAM8	1088	NM_001816	206676_at	0.025791291	0.015977432	0.009813858	carcinoembryonic antigen-related cell adhesion molecule 8	---	---	immune response	GPI anchor binding	extracellular space /// plasma membrane /// integral to plasma membrane /// membrane
CEBPG	1054	NM_001806	204203_at	0.05534631	-0.031640034	0.086986344	CCAAT/enhancer binding protein (C/EBP), gamma	---	---	liver development /// nucleosome disassembly /// chromatin remodeling /// transcription /// regulation of transcription, DNA-dependent /// immune response /// immune response /// B cell differentiation /// B cell differentiation /// natural killer cell mediated cytotoxicity /// natural killer cell mediated cytotoxicity /// enucleate erythrocyte differentiation /// enucleate erythrocyte differentiation /// positive regulation of DNA binding /// negative regulation of transcription factor activity /// negative regulation of transcription factor activity /// positive regulation of interferon-gamma biosynthetic process /// positive regulation of interferon-gamma biosynthetic process /// positive regulation of DNA repair /// positive regulation of DNA repair /// positive regulation of transcription factor activity /// positive regulation of transcription factor activity	DNA binding /// DNA binding /// transcription factor activity /// protein binding /// transcription factor binding /// sequence-specific DNA binding /// sequence-specific DNA binding /// protein heterodimerization activity /// protein dimerization activity	nucleus /// nucleus
COL1A1	1277	NM_000088	202311_s_at	-0.082314409	0.056705862	-0.139020271	collagen, type I, alpha 1	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	skeletal development /// phosphate transport /// sensory perception of sound /// epidermis development	structural molecule activity /// extracellular matrix structural constituent /// protein binding /// structural constituent of bone	proteinaceous extracellular matrix /// collagen /// collagen type I /// cytoplasm
COL1A2	1278	NM_000089	202404_s_at	-0.070992126	-0.024753096	-0.04623903	collagen, type I, alpha 2	---	---	skeletal development /// phosphate transport /// transmembrane receptor protein tyrosine kinase signaling pathway /// sensory perception of sound	structural molecule activity /// extracellular matrix structural constituent /// protein binding /// structural constituent of bone	proteinaceous extracellular matrix /// collagen /// collagen type I /// cytoplasm
COL3A1	1281	NM_000090	215076_s_at	-0.130621109	-0.021803064	-0.108818045	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	phosphate transport /// circulation /// organ morphogenesis	structural molecule activity /// extracellular matrix structural constituent	proteinaceous extracellular matrix /// collagen /// collagen type III /// cytoplasm
CPVL	652102		217239_x_at	-0.0985687	0.045010386	-0.143579085	Immunoglobulin heavy chain, partial, clone VH3-7 /// Carboxypeptidase, vitellogenic-like	---	---	proteolysis	serine carboxypeptidase activity /// peptidase activity	---
CR1	1378	NM_000573	206244_at	0.009435705	0.001994517	0.007441188	complement component (3b/4b) receptor 1 (Knops blood group)	---	---	immune response /// complement activation /// complement activation, classical pathway /// innate immune response	receptor activity /// complement receptor activity /// complement component C3b receptor activity	integral to plasma membrane /// membrane /// integral to membrane
CSF1	1435	NM_000757	209716_at	-0.134078852	0.00323307	-0.137311923	colony stimulating factor 1 (macrophage)	---	---	cell proliferation /// positive regulation of cell proliferation /// positive regulation of cell proliferation /// hemopoiesis /// cell differentiation /// macrophage differentiation	cytokine activity /// cytokine activity /// macrophage colony stimulating factor receptor binding /// growth factor activity /// growth factor activity	extracellular space /// membrane /// membrane /// integral to membrane
CSK	1445	NM_004383	202329_at	0.000411054	-0.017640682	0.018051737	c-src tyrosine kinase	Integrin-mediated_cell_adhesion_KEGG	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm	regulation of progression through cell cycle /// protein amino acid phosphorylation /// protein amino acid phosphorylation /// intracellular signaling cascade /// negative regulation of cell proliferation	nucleotide binding /// protein kinase activity /// protein-tyrosine kinase activity /// protein-tyrosine kinase activity /// protein binding /// protein binding /// ATP binding /// protein C-terminus binding /// kinase activity /// transferase activity	cytoplasm /// plasma membrane /// intercellular junction
CST7	8530	NM_003650	210140_at	-0.053103729	0.098694658	-0.151798387	cystatin F (leukocystatin)	---	---	immune response	endopeptidase inhibitor activity /// endopeptidase inhibitor activity /// cysteine protease inhibitor activity /// cysteine protease inhibitor activity	---
CTSS	1520	NM_004079	202902_s_at	-0.042933404	0.066822489	-0.109755893	cathepsin S	---	---	proteolysis /// proteolysis /// immune response	cysteine-type endopeptidase activity /// cathepsin S activity /// cathepsin S activity /// peptidase activity /// cysteine-type peptidase activity /// hydrolase activity	extracellular region /// lysosome /// lysosome /// membrane
CX3CL1	6376	NM_002996	823_at	0.129284906	0.080689604	0.048595302	chemokine (C-X3-C motif) ligand 1	---	---	defense response /// immune response /// immune response /// cell adhesion /// cytokine and chemokine mediated signaling pathway /// leukocyte chemotaxis /// positive regulation of inflammatory response /// leukocyte adhesive activation /// positive regulation of calcium-independent cell-cell adhesion	receptor binding /// cytokine activity /// protein binding /// protein binding /// chemokine activity /// chemokine activity	extracellular region /// extracellular region /// extracellular space /// cell surface /// membrane /// integral to membrane /// integral to membrane
CXCL10	3627	NM_001565	204533_at	0.197468971	-0.003623755	0.201092726	chemokine (C-X-C motif) ligand 10	---	---	cell motility /// chemotaxis /// chemotaxis /// inflammatory response /// inflammatory response /// immune response /// signal transduction /// cell surface receptor linked signal transduction /// cell-cell signaling /// muscle development /// circulation /// positive regulation of cell proliferation	receptor binding /// cytokine activity /// chemokine activity /// chemokine activity /// cAMP-dependent protein kinase regulator activity	extracellular region /// extracellular space /// soluble fraction
CXCL11	6373	NM_005409	210163_at	0.386169246	0.390233859	-0.004064613	chemokine (C-X-C motif) ligand 11	---	---	chemotaxis /// chemotaxis /// inflammatory response /// inflammatory response /// immune response /// signal transduction /// cell-cell signaling	cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space
CXCL2	2920	NM_002089	209774_x_at	-0.026030258	0.403425362	-0.42945562	chemokine (C-X-C motif) ligand 2	---	---	chemotaxis /// chemotaxis /// inflammatory response /// inflammatory response /// immune response /// G-protein coupled receptor protein signaling pathway	cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space /// extracellular space /// soluble fraction
CXCL5	6374	NM_002994	207852_at	0.050568381	0.045139429	0.005428952	chemokine (C-X-C motif) ligand 5	---	---	chemotaxis /// inflammatory response /// immune response /// signal transduction /// cell-cell signaling /// positive regulation of cell proliferation	cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space
CXCL9	4283	NM_002416	203915_at	0.188700794	0.31433614	-0.125635346	chemokine (C-X-C motif) ligand 9	---	---	chemotaxis /// defense response /// inflammatory response /// inflammatory response /// immune response /// cellular defense response /// signal transduction /// G-protein coupled receptor protein signaling pathway /// cell-cell signaling	cytokine activity /// cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space /// extracellular space
DCLRE1C	64421	W72439_RC	222233_s_at	-0.015692372	0.024039495	-0.039731867	DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)	---	---	DNA repair /// DNA recombination /// immune response /// response to DNA damage stimulus	magnesium ion binding /// nuclease activity /// endonuclease activity /// exonuclease activity /// hydrolase activity	nucleus
EPOR	2057	NM_000121	209962_at	-0.009084185	0.05662119	-0.065705376	erythropoietin receptor	---	---	signal transduction /// signal transduction /// small GTPase mediated signal transduction	receptor activity /// transmembrane receptor activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor activity /// erythropoietin receptor activity /// erythropoietin receptor activity /// guanyl-nucleotide exchange factor activity /// protein binding	intracellular /// integral to plasma membrane /// membrane /// integral to membrane
EXO1	9156	NM_006027	204603_at	0.16738413	-0.035834238	0.203218368	exonuclease 1	---	---	DNA repair /// DNA repair /// nucleotide-excision repair /// mismatch repair /// mismatch repair /// mismatch repair /// mismatch repair /// mismatch repair /// DNA recombination /// DNA recombination /// immune response /// response to DNA damage stimulus /// meiosis	DNA binding /// DNA binding /// DNA binding /// nuclease activity /// endonuclease activity /// ribonuclease H activity /// exonuclease activity /// exonuclease activity /// protein binding /// 5-3 exonuclease activity /// 5-3 exonuclease activity /// hydrolase activity /// 5-3 exodeoxyribonuclease activity /// single-stranded DNA specific 5-3 exodeoxyribonuclease activity /// flap endonuclease activity /// double-stranded DNA specific 5-3 exodeoxyribonuclease activity	nucleus /// nucleus
EXOSC9	5393	NM_005033	205061_s_at	0.110195489	-0.048527324	0.158722813	exosome component 9	---	---	rRNA processing /// rRNA processing /// RNA processing /// immune response	3-5-exoribonuclease activity /// 3-5-exoribonuclease activity /// RNA binding /// RNA binding /// nuclease activity /// exonuclease activity /// protein binding /// hydrolase activity	nuclear exosome (RNase complex) /// exosome (RNase complex) /// nucleus /// nucleus /// nucleolus
F10	2159	NM_000504	205620_at	-0.053111882	-0.01632206	-0.036789822	coagulation factor X	Blood_Clotting_Cascade	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Blood_Clotting_Cascade/Hs_Blood_Clotting_Cascade.htm	proteolysis /// blood coagulation /// blood coagulation	coagulation factor Xa activity /// coagulation factor Xa activity /// serine-type endopeptidase activity /// calcium ion binding /// peptidase activity /// hydrolase activity	extracellular region /// extracellular region /// extracellular region
F13B	2165	NM_001994	207810_at	0.0613827	0.012247068	0.049135632	coagulation factor XIII, B polypeptide	Blood_Clotting_Cascade /// Steroid_Biosynthesis	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Blood_Clotting_Cascade/Hs_Blood_Clotting_Cascade.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/metabolic_process-GenMAPP/Hs_Steroid_Biosynthesis/Hs_Steroid_Biosynthesis.htm	blood coagulation /// blood coagulation	---	extracellular region
F3	2152	NM_001993	204363_at	-0.084674322	0.071396912	-0.156071234	coagulation factor III (thromboplastin, tissue factor)	---	---	immune response /// blood coagulation	receptor activity /// transmembrane receptor activity	plasma membrane /// membrane /// integral to membrane /// integral to membrane
FCAR	2204	NM_002000	207674_at	0.057119213	0.038965897	0.018153316	Fc fragment of IgA, receptor for	---	---	immune response	receptor activity /// receptor signaling protein activity /// IgA binding	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
FCER1G	2207	NM_004106	204232_at	-0.114611307	-0.029914239	-0.084697068	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	---	---	positive regulation of type IIa hypersensitivity /// positive regulation of type III hypersensitivity /// phagocytosis, engulfment /// immune response /// signal transduction /// cell surface receptor linked signal transduction /// immunoglobulin mediated immune response /// antigen processing and presentation of exogenous peptide antigen via MHC class II /// neutrophil chemotaxis /// positive regulation of tumor necrosis factor biosynthetic process /// antigen processing and presentation of exogenous peptide antigen via MHC class I /// defense response to bacterium /// positive regulation of interleukin-10 biosynthetic process /// positive regulation of phagocytosis /// regulation of immune response /// positive regulation of immune response	receptor activity /// transmembrane receptor activity /// receptor signaling protein activity /// protein binding /// IgE binding /// IgG binding	plasma membrane /// integral to plasma membrane /// integral to plasma membrane /// external side of plasma membrane /// membrane /// integral to membrane
FCGRT	2217	NM_004107	218831_s_at	-0.071366575	0.057620587	-0.128987162	Fc fragment of IgG, receptor, transporter, alpha	---	---	antigen processing and presentation of peptide antigen via MHC class I /// immune response /// immune response /// pregnancy /// antigen processing and presentation	receptor activity /// receptor activity /// IgG binding	membrane /// integral to membrane /// MHC class I protein complex
