Symbol	CloneID	Class	Cross validation support (%)	Parametric p-value	t-value	Foldchange
MLH3	250771	GD	21	8,59E-03	2,66	1,59
53081	53081	GD	18	3,35E-03	2,98	1,77
TERF1	135773	GD	16	2,81E-02	2,22	1,45
DCXR	724596	GD	15	3,39E-03	22,97	0,61
136686	136686	GD	15	6,29E-02	1,87	1,48
FLJ11127	668625	MNG	88	2,30E-06	4,90	1,54
RODH	471641	MNG	83	1,51E-05	4,46	2,57
MGC17299	713422	MNG	59	6,54E-05	4,10	1,37
NR2F2	72744	MNG	57	3,10E-04	3,69	1,40
ZNF83	486356	MNG	50	3,72E-04	3,64	1,32
744505	744505	MNG	43	2,51E-04	3,74	1,38
745187	745187	MNG	42	1,15E-03	23,31	0,78
CAV1	309645	MNG	41	3,38E-04	3,66	1,59
CNTN6	257773	MNG	41	2,34E-04	3,76	1,38
C10orf116	740941	MNG	40	2,82E-04	3,71	1,72
CALM1	594510	MNG	39	1,21E-03	23,30	0,77
726782	726782	MNG	39	3,97E-04	3,62	1,38
250463	250463	MNG	28	6,76E-03	2,74	1,29
731726	731726	MNG	28	3,90E-04	3,62	1,52
TTC17	665668	MNG	28	5,24E-04	3,54	1,31
PRKCA	768246	MNG	25	9,12E-04	23,38	0,71
NR4A1	1073288	MNG	19	1,88E-03	23,16	0,64
PDLIM1	135689	MNG	14	9,76E-04	3,36	1,48
731292	731292	MNG	11	2,65E-02	22,24	0,68
SLC17A2	207920	MNG	9	2,70E-02	22,23	0,67
MLL	80688	OTA	76	1,00E-07	28,18	0,55
ALDH1A3	486189	OTA	67	1,00E-07	6,38	1,79
CLECSF12	258865	OTA	63	1,00E-07	7,66	3,51
485104	485104	OTA	60	1,00E-07	7,32	2,25
DCN	666410	OTA	49	1,00E-07	27,19	0,50
PROZ	430471	OTA	47	1,00E-07	7,05	2,76
CHRDL2	485872	OTA	46	1,00E-07	6,72	1,58
B3GNTL1	53341	OTA	39	9,00E-07	5,10	2,04
SNRP70	729971	OTA	39	1,00E-07	27,00	0,52
HSPC159	365045	OTA	38	1,00E-07	6,86	1,70
C4A	724366	OTA	32	1,00E-07	26,30	0,39
SLC6A8	725877	OTA	31	1,00E-07	27,00	0,23
OBSCN	730926	OTA	29	1,00E-07	6,95	1,55
731616	731616	OTA	27	1,00E-07	6,88	2,42
DC12	724895	OTA	24	1,00E-07	6,67	1,71
UBA52	530069	OTA	16	4,40E-06	24,75	0,29
KCNQ2	179534	OTA	14	1,00E-07	6,43	1,77
HCNGP	365934	OTA	11	1,92E-05	4,40	1,40
C9orf72	726849	OTA	10	4,40E-06	24,75	0,69
GNAI1	753215	OTA	6	8,90E-06	4,59	1,48
SDHA	40304	OTC	95	1,00E-07	6,29	3,16
DNALI1	782688	OTC	72	1,00E-07	25,53	0,24
382423	382423	OTC	50	1,50E-06	5,00	3,52
ATP11C	667991	OTC	47	2,30E-05	4,36	2,17
C1QBP	173371	OTC	46	2,70E-06	4,86	2,47
DCN	666410	OTC	43	6,80E-06	24,65	0,29
MT1F	78353	OTC	41	3,70E-06	24,79	0,16
KIAA0543	175080	OTC	38	9,15E-05	4,01	2,03
FBXO46	471664	OTC	37	1,67E-05	4,44	2,85
CD33	1917430	OTC	35	1,06E-05	4,55	3,71
TH	813654	OTC	32	8,32E-04	3,41	1,95
742061	742061	OTC	31	1,99E-05	4,39	2,73
IDH3B	723755	OTC	27	1,90E-05	4,41	2,27
359454	359454	OTC	23	1,31E-05	24,50	0,27
SST	39593	OTC	23	1,34E-03	3,26	1,81
DHRS6	364412	OTC	20	4,03E-04	23,61	0,48
136933	136933	OTC	19	6,25E-03	2,77	2,19
TPM2	740620	OTC	18	1,59E-05	24,45	0,30
TM7SF3	666928	OTC	14	3,58E-04	3,65	2,00
PREB	740347	OTC	5	1,29E-02	22,51	0,33
LRRIQ2	487152	OTUM	59	1,29E-04	3,92	2,01
LRRC28	26519	OTUM	53	2,04E-04	23,80	0,43
NDUFC1	796513	OTUM	53	2,65E-03	23,05	0,61
NUMBL	1855110	OTUM	53	2,94E-04	23,70	0,56
667527	667527	OTUM	48	2,31E-04	3,77	2,45
MAK	382002	OTUM	43	3,71E-04	3,64	2,14
PCGF4	740457	OTUM	43	3,06E-04	3,69	2,61
IFITM3	713623	OTUM	42	1,74E-02	2,40	1,63
CLGN	1049033	OTUM	40	1,52E-03	3,23	1,86
DEFB1	665086	OTUM	40	9,17E-04	3,38	2,79
669098	669098	OTUM	35	9,47E-04	3,37	1,85
GNAS	382791	OTUM	31	6,58E-04	3,47	2,75
PTTG1	742935	OTUM	29	7,53E-03	22,71	0,52
USP14	376462	OTUM	28	9,21E-03	22,64	0,65
SNF7DC2	730401	OTUM	25	1,36E-02	2,49	1,51
C21orf84	730814	OTUM	19	1,24E-03	3,29	2,08
TCTE3	136862	OTUM	19	2,48E-02	22,27	0,69
TH	813654	OTUM	19	3,81E-02	22,09	0,69
BAK1	235938	OTUM	16	1,12E-03	3,32	1,80
PAX6	230882	OTUM	12	1,28E-02	22,52	0,66
CDH3	359051	PTC	99	1,00E-07	9,16	3,95
DPP4	343987	PTC	98	1,00E-07	8,72	4,22
CLDN1	594279	PTC	86	1,00E-07	7,88	8,98
2-Sep	729542	PTC	83	2,60E-01	1,13	1,20
ABCC3	208097	PTC	74	1,00E-07	6,30	3,48
ECM1	301122	PTC	67	1,00E-07	8,24	6,00
TSC	745490	PTC	60	1,00E-07	7,70	4,65
QPCT	711918	PTC	57	1,00E-07	7,27	3,36
ADAMTS9	376153	PTC	48	6,40E-06	4,66	1,95
687667	687667	PTC	48	1,00E-07	7,10	3,74
SLPI	378813	PTC	46	1,00E-07	7,03	2,98
MATN1	1624260	PTC	43	1,00E-07	26,74	0,42
CITED1	265558	PTC	40	1,00E-07	6,84	4,88
CCND1	324079	PTC	38	1,00E-07	6,39	2,55
136976	136976	PTC	23	1,00E-07	6,15	2,11
PET112L	743125	PTC	20	1,00E-07	6,27	1,96
DAF	627107	PTC	16	1,00E-07	5,68	1,89
GSS	140405	PTC	7	1,00E-07	5,73	2,05
CASP3	823680	PTC	5	6,00E-07	5,20	2,08
CD9	727251	PTC	1	1,45E-05	4,47	1,57
687667	687667	TUM	94	1,00E-07	6,33	3,90
CREB3L2	136399	TUM	63	4,90E-06	24,73	0,48
EIF1AY	380394	TUM	55	4,02E-05	24,22	0,57
	738970	TUM	51	1,64E-05	4,44	1,63
CITED1	265558	TUM	49	1,21E-05	4,51	3,53
KLF1	208991	TUM	46	3,72E-05	24,24	0,43
SNCB	50202	TUM	45	4,68E-05	4,18	1,99
FLJ10748	726830	TUM	44	4,24E-05	4,21	1,71
ANK2	2139315	TUM	43	1,31E-03	3,27	1,68
IGFBP3	269873	TUM	39	9,68E-05	4,00	2,06
WDR1	714196	TUM	37	2,06E-04	23,80	0,65
IFNAR2	123950	TUM	36	2,56E-04	23,74	0,61
SCNN1A	741305	TUM	36	2,37E-05	24,35	0,41
TSC	745490	TUM	27	1,95E-04	3,81	2,61
NBL1	503874	TUM	24	2,47E-04	23,75	0,35
ETF1	146976	TUM	18	6,36E-04	3,48	1,63
ICOSLG	2074228	TUM	18	1,12E-03	3,32	1,55
NCB5OR	743367	TUM	15	2,03E-03	23,14	0,56
ZNF415	23939	TUM	14	4,94E-03	22,85	0,63
KLK2	1102600	TUM	9	1,39E-03	23,25	0,66
