Genesymbol	Sequence description	Fold change	P-value
CUTL2	Homo sapiens cut-like 2 (Drosophila) (CUTL2), mRNA [NM_015267]	21.49	1.54E-38
FLJ42709	Hypothetical gene supported by AK124699	21.48	?E-46
THC2665663	Unknown	21.11	?E-46
CCL22	Homo sapiens chemokine (C-C motif) ligand 22 (CCL22), mRNA [NM_002990]	20.66	?E-46
SERPINB10	Homo sapiens serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 10 (SERPINB10), mRNA [NM_005024]	20.59	8.05E-30
DMD	Dystrophin (muscular dystrophy, Duchenne and Becker types)	19.31	3.24E-18
FLJ20605	Homo sapiens hypothetical protein FLJ20605 (FLJ20605), mRNA [NM_017898]	19.13	?E-46
GFRA1	Homo sapiens GDNF family receptor alpha 1 (GFRA1), transcript variant 2, mRNA [NM_145793]	18.78	4.64E-34
PTPN3	Homo sapiens protein tyrosine phosphatase, non-receptor type 3 (PTPN3), mRNA [NM_002829]	17.61	2.52E-11
PTPRN2	Protein tyrosine phosphatase, receptor type, N polypeptide 2	17.04	9.63E-31
MSR1	Macrophage scavenger receptor 1	16.37	?E-46
SERTAD4	SERTA domain containing 4 [Source:RefSeq_peptide;Acc:NP_062551] [ENST00000367012]	16.35	?E-46
CAMK4	Homo sapiens calcium/calmodulin-dependent protein kinase IV (CAMK4), mRNA [NM_001744]	16.25	1.42E-15
C1orf133	Novel protein. [Source:Uniprot/SPTREMBL;Acc:Q5TG53] [ENST00000367013]	15.57	1.84E-08
NYDSP12	Homo sapiens NYD-SP12 protein (NYD-SP12), mRNA [NM_031955]	15.39	2.98E-13
LOC653117	Similar to butyrophilin 3	15.28	?E-46
AK027257	hypothetical protein FLJ23604	14.81	1.07E-08
ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	14.16	1.95E-20
BCL2	Homo sapiens B-cell CLL [NM_000633]	13.59	?E-46
KCNMB1	Homo sapiens potassium large conductance calcium-activated channel, subfamily M, beta member 1 (KCNMB1), mRNA [NM_004137]	13.47	?E-46
MNDA	Homo sapiens myeloid cell nuclear differentiation antigen (MNDA), mRNA [NM_002432]	13.37	1.95E-16
THC2649506	Unknown	13.31	9.17E-19
AF086044	Full length insert cDNA clone YX74D05	12.96	5.15E-17
KIF26B	hypothetical protein FLJ10157	12.68	5.35E-11
ADAMDEC1	Homo sapiens ADAM-like, decysin 1 (ADAMDEC1), mRNA [NM_014479]	12.64	?E-46
SDPR	Homo sapiens serum deprivation response (phosphatidylserine binding protein) (SDPR), mRNA [NM_004657]	12.63	2.64E-32
LOC51760	Homo sapiens B/K protein (LOC51760), mRNA [NM_016524]	12.53	3.69E-41
FBLN1	Homo sapiens fibulin 1 (FBLN1), transcript variant D, mRNA [NM_006486]	12.48	?E-46
	Estrogen receptor cDNA, 5 splice variant	12.15	6.03E-19
BDKRB1	Homo sapiens bradykinin receptor B1 (BDKRB1), mRNA [NM_000710]	11.82	1.27E-24
CCL17	Homo sapiens chemokine (C-C motif) ligand 17 (CCL17), mRNA [NM_002987]	11.81	2.32E-33
SGPP2	Homo sapiens sphingosine-1-phosphate phosphotase 2 (SGPP2), mRNA [NM_152386]	11.78	2.37E-27
TPCN2	Two pore segment channel 2	11.07	1.29E-22
A_23_P106814	Unknown	10.96	6.65E-24
ZBTB32	testis zinc finger protein	10.89	?E-46
FLJ42342	Hypothetical gene supported by AK124333	10.86	3.07E-35
LOC124220	Homo sapiens similar to common salivary protein 1 (LOC124220), mRNA [NM_145252]	10.64	?E-46
D4S234E	Homo sapiens DNA segment on chromosome 4 (unique) 234 expressed sequence (D4S234E), mRNA [NM_014392]	10.49	2.51E-08
LOC646627	Hypothetical protein LOC646627	10.44	1.25E-21
EPB41L4B	Homo sapiens erythrocyte membrane protein band 4.1 like 4B (EPB41L4B), mRNA [NM_019114]	10.32	2.79E-10
ENST00000321715	Ig epsilon chain C region. [Source:Uniprot/SWISSPROT;Acc:P01854] [ENST00000321715]	10.19	2.06E-32
TP73L	tumor protein 63 kDa with strong homology to p53	10.06	6.03E-44
CD96	Homo sapiens CD96 antigen (CD96), transcript variant 1, mRNA [NM_198196]	10	1.32E-13
A2BP1	ataxin 2-binding protein 1	9.97	2.03E-18
FLJ14503	Homo sapiens hypothetical protein FLJ14503 (FLJ14503), mRNA [NM_152780]	9.91	2.88E-17
FCER2	Homo sapiens Fc fragment of IgE, low affinity II, receptor for (CD23A) (FCER2), mRNA [NM_002002]	9.85	2.35E-24
ULK2	Homo sapiens unc-51-like kinase 2 (C. elegans) (ULK2), mRNA [NM_014683]	9.83	5.64E-25
KCNMA1	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1	9.82	9.14E-19
MYO7A	Homo sapiens myosin VIIA (Usher syndrome 1B (autosomal recessive, severe)) (MYO7A), mRNA [NM_000260]	9.71	?E-46
C21orf11	Family with sequence similarity 3, member B	9.64	2.15E-21
LAD1	Homo sapiens ladinin 1 (LAD1), mRNA [NM_005558]	9.26	9.24E-38
COLEC11	Homo sapiens collectin sub-family member 11 (COLEC11), transcript variant 2, mRNA [NM_199235]	9.26	5.11E-25
SLC12A7	Homo sapiens solute carrier family 12 (potassium/chloride transporters), member 7 (SLC12A7), mRNA [NM_006598]	9.24	?E-46
PGLYRP4	Homo sapiens peptidoglycan recognition protein 4 (PGLYRP4), mRNA [NM_020393]	8.68	4.58E-14
AK096134	CDNA FLJ38815 fis, clone LIVER2007548	8.53	?E-46
AQP1	Homo sapiens aquaporin 1 (channel-forming integral protein, 28kDa) (AQP1), transcript variant 1, mRNA [NM_198098]	8.21	8.11E-15
MSLN	Mesothelin	8.16	6.74E-16
OTOA	Otoancorin	8.04	?E-46
A_32_P49552	Unknown	7.87	3.88E-15
ALPK2	Homo sapiens heart alpha-kinase (HAK), mRNA [NM_052947]	7.86	1.07E-14
RDX	Homo sapiens radixin (RDX), mRNA [NM_002906]	7.82	3.55E-08
OLFML2A	Homo sapiens olfactomedin-like 2A (OLFML2A), mRNA [NM_182487]	7.71	5.47E-12
S100A14	Homo sapiens S100 calcium binding protein A14 (S100A14), mRNA [NM_020672]	7.64	1.20E-09
STAG3	Stromal antigen 3	7.28	?E-46
SPIC	Homo sapiens Spi-C transcription factor (Spi-1/PU.1 related) (SPIC), mRNA [NM_152323]	7.2	1.34E-10
LAMB3	Laminin, beta 3	7.17	?E-46
SIM1	Homo sapiens single-minded homolog 1 (Drosophila) (SIM1), mRNA [NM_005068]	7.11	1.77E-21
LNX	Homo sapiens ligand of numb-protein X (LNX), mRNA [NM_032622]	7.04	?E-46
MGC3207	hypothetical protein MGC3207	7.03	?E-46
EBI3	Homo sapiens Epstein-Barr virus induced gene 3 (EBI3), mRNA [NM_005755]	7.02	5.61E-45
A_32_P82293	Unknown	6.93	6.79E-40
PTGIR	Homo sapiens prostaglandin I2 (prostacyclin) receptor (IP) (PTGIR), mRNA [NM_000960]	6.85	1.52E-35
CCR7	Homo sapiens chemokine (C-C motif) receptor 7 (CCR7), mRNA [NM_001838]	6.79	7.93E-41
RTN1	Homo sapiens reticulon 1 (RTN1), transcript variant 1, mRNA [NM_021136]	6.78	0.00077
EMR2	Egf-like module containing, mucin-like, hormone receptor-like 2	6.75	1.50E-13
TMEPAI	Transmembrane, prostate androgen induced RNA	6.75	?E-46
LRTM2	Leucine-rich repeats and transmembrane domains 2	6.75	4.34E-18
FLJ21438	hypothetical protein FLJ21438	6.72	?E-46
LHX2	Homo sapiens LIM homeobox 2 (LHX2), mRNA [NM_004789]	6.6	9.25E-42
MAL	Mal, T-cell differentiation protein	6.55	6.58E-16
LAIR1	Homo sapiens leukocyte-associated Ig-like receptor 1 (LAIR1), transcript variant a, mRNA [NM_002287]	6.54	?E-46
NRG4	Homo sapiens neuregulin 4 (NRG4), mRNA [NM_138573]	6.49	1.17E-12
IRTA2	Homo sapiens immunoglobulin superfamily receptor translocation associated 2 (IRTA2), mRNA [NM_031281]	6.47	?E-46
IRTA1	Homo sapiens immunoglobulin superfamily receptor translocation associated 1 (IRTA1), mRNA [NM_031282]	6.44	9.88E-42
FLJ45187	Homo sapiens FLJ45187 protein (FLJ45187), mRNA [NM_207371]	6.43	1.52E-14
STRA6	Homo sapiens stimulated by retinoic acid gene 6 homolog (mouse) (STRA6), mRNA [NM_022369]	6.37	?E-46
ENST00000366800	Uncharacterized protein C6orf54 (Protein HGC6.1). [Source:Uniprot/SWISSPROT;Acc:Q9Y6Z4] [ENST00000366800]	6.33	1.01E-09
LRCH2	Homo sapiens leucine-rich repeats and calponin homology (CH) domain containing 2 (LRCH2), mRNA [NM_020871]	6.28	0.0021
P2RX7	Purinergic receptor P2X, ligand-gated ion channel, 7	6.18	3.90E-12
PNAS9	Homo sapiens PNAS-9 mRNA, complete cds.	6.17	6.30E-18
COL27A1	KIAA1870 protein	6.16	1.12E-44
ABTB2	Homo sapiens ankyrin repeat and BTB (POZ) domain containing 2 (ABTB2), mRNA [NM_145804]	6.16	4.76E-29
BTNL8	Homo sapiens butyrophilin-like 8 (BTNL8), transcript variant 2, mRNA [NM_001040462]	6.06	2.95E-07
FKBP9	Homo sapiens FK506 binding protein 9, 63 kDa (FKBP9), mRNA [NM_007270]	5.96	0.00006
C10orf79	hypothetical protein FLJ22944	5.96	2.67E-06
KIRREL2	Homo sapiens kin of IRRE like 2 (Drosophila) (KIRREL2), transcript variant 3, mRNA [NM_199180]	5.92	3.91E-15
ATXN7L1	Homo sapiens mRNA for KIAA1218 protein, partial cds. [AB033044]	5.92	2.25E-07
UPB1	Homo sapiens ureidopropionase, beta (UPB1), mRNA [NM_016327]	5.9	?E-46
COL13A1	Collagen, type XIII, alpha 1	5.9	3.09E-25
BDKRB2	Homo sapiens bradykinin receptor B2 (BDKRB2), mRNA [NM_000623]	5.86	1.30E-28
BCAS1	Homo sapiens breast carcinoma amplified sequence 1 (BCAS1), mRNA [NM_003657]	5.86	?E-46
THC2681757	Unknown	5.84	6.38E-12
DNAH8	Homo sapiens dynein, axonemal, heavy polypeptide 8 (DNAH8), mRNA [NM_001371]	5.82	0.00053
RGS9	Homo sapiens regulator of G-protein signalling 9 (RGS9), mRNA [NM_003835]	5.82	?E-46
THC2651023	Unknown	5.78	5.74E-27
KLF2	Kruppel-like factor 2 (lung)	5.78	0.00001
MGC17624	Homo sapiens MGC17624 protein, mRNA (cDNA clone MGC:17624 IMAGE:3855543), complete cds.	5.76	1.20E-31
ATCAY	Homo sapiens ataxia, cerebellar, Cayman type (caytaxin) (ATCAY), mRNA [NM_033064]	5.75	0.0005
SLC24A4	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	5.71	0.00019
BC041955	CDNA clone IMAGE:5301910	5.69	?E-46
SPARCL1	Homo sapiens SPARC-like 1 (mast9, hevin) (SPARCL1), mRNA [NM_004684]	5.67	?E-46
RGNEF	Homo sapiens cDNA: FLJ22163 fis, clone HRC00430. [AK025816]	5.67	2.40E-12
CD244	Homo sapiens CD244 natural killer cell receptor 2B4 (CD244), mRNA [NM_016382]	5.66	5.22E-15
LOC283454	Hypothetical protein LOC283454	5.61	1.59E-26
NXN	Homo sapiens nucleoredoxin (NXN), mRNA [NM_022463]	5.59	1.81E-08
KCNN4	Homo sapiens potassium intermediate [NM_002250]	5.57	?E-46
FLJ10901	Homo sapiens hypothetical protein FLJ10901 (FLJ10901), mRNA [NM_018265]	5.56	0.0015
C9orf98	Homo sapiens chromosome 9 open reading frame 98 (C9orf98), mRNA [NM_152572]	5.56	3.28E-12
MTSS1	Homo sapiens metastasis suppressor 1 (MTSS1), mRNA [NM_014751]	5.51	?E-46
MARCO	Homo sapiens macrophage receptor with collagenous structure (MARCO), mRNA [NM_006770]	5.48	0.00047
CD6	Homo sapiens CD6 antigen (CD6), mRNA [NM_006725]	5.44	0.00071
LOC134147	Homo sapiens similar to mouse 2310016A09Rik gene (LOC134147), mRNA [NM_138809]	5.4	2.97E-19
THC2770741	Q5AUD6_EMENI (Q5AUD6) Predicted protein, partial (6%) [THC2770741]	5.38	1.08E-14
ATP10A	Homo sapiens ATPase, Class V, type 10A (ATP10A), mRNA [NM_024490]	5.35	?E-46
THC2693238	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (9%) [THC2693238]	5.31	3.37E-08
GPR74	Neuropeptide FF receptor 2	5.31	4.30E-07
SPAG6	Homo sapiens sperm associated antigen 6 (SPAG6), transcript variant 2, mRNA [NM_172242]	5.27	0.00004
THC2546394	CB157062 K-EST0216106 L17N670205n1 Homo sapiens cDNA clone L17N670205n1-8-G06 5, mRNA sequence [CB157062]	5.24	2.59E-08
ENST00000343903	Homo sapiens hypothetical gene supported by BC008048, mRNA (cDNA clone IMAGE:3631157), partial cds. [BC008048]	5.23	0.00002
TNFRSF8	Homo sapiens tumor necrosis factor receptor superfamily, member 8 (TNFRSF8), transcript variant 1, mRNA [NM_001243]	5.22	?E-46
GRP	Homo sapiens gastrin-releasing peptide (GRP), mRNA [NM_002091]	5.22	?E-46
TBC1D4	Homo sapiens TBC1 domain family, member 4 (TBC1D4), mRNA [NM_014832]	5.22	1.80E-09
KIAA1729	KIAA1729 protein	5.2	8.42E-28
C21orf99	Homo sapiens cancer-testis SP-1 (CTSP1) mRNA, 3 UTR. [DQ179139]	5.2	2.41E-28
CGI38	brain specific protein	5.16	0.00003
ENST00000254271	CDNA FLJ46156 fis, clone TESTI4001569. [Source:Uniprot/SPTREMBL;Acc:Q6ZRR7] [ENST00000254271]	5.14	6.43E-08
RIMS2	Homo sapiens regulating synaptic membrane exocytosis 2 (RIMS2), mRNA [NM_014677]	5.1	8.24E-06
CARD15	Homo sapiens caspase recruitment domain family, member 15 (CARD15), mRNA [NM_022162]	5.05	2.00E-09
HRK	Homo sapiens harakiri, BCL2 interacting protein (contains only BH3 domain) (HRK), mRNA [NM_003806]	5.04	5.53E-09
MS4A4A	Membrane-spanning 4-domains, subfamily A, member 4	5.03	?E-46
CPNE8	Homo sapiens copine VIII (CPNE8), mRNA [NM_153634]	5	0.00001
TANC	Homo sapiens TPR domain, ankyrin-repeat and coiled-coil-containing (TANC), mRNA [NM_033394]	4.99	0.00041
ARNTL	Aryl hydrocarbon receptor nuclear translocator-like	4.99	9.50E-12
C13orf18	Homo sapiens chromosome 13 open reading frame 18 (C13orf18), mRNA [NM_025113]	4.98	?E-46
TRAF1	Homo sapiens TNF receptor-associated factor 1 (TRAF1), mRNA [NM_005658]	4.97	1.18E-16
SLC6A12	Homo sapiens solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12 (SLC6A12), mRNA [NM_003044]	4.96	6.87E-44
IL4I1	Homo sapiens interleukin 4 induced 1 (IL4I1), transcript variant 2, mRNA [NM_172374]	4.89	4.04E-31
THC2679488	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (5%) [THC2679488]	4.83	0.00002
GHRHR	Homo sapiens growth hormone releasing hormone receptor (GHRHR), mRNA [NM_000823]	4.83	1.40E-43
	Similar to Leucine-rich repeat protein SHOC-2 (Ras-binding protein Sur-8)	4.79	4.84E-06
FLJ14054	Homo sapiens hypothetical protein FLJ14054 (FLJ14054), mRNA [NM_024563]	4.7	0.00003
HIPK3	Homeodomain interacting protein kinase 3	4.68	0.0012
C10orf114	Chromosome 10 open reading frame 114	4.68	?E-46
SLCO2B1	Homo sapiens solute carrier organic anion transporter family, member 2B1 (SLCO2B1), mRNA [NM_007256]	4.63	1.26E-15
DKFZp761L1417	Homo sapiens hypothetical protein DKFZp761L1417 (DKFZp761L1417), mRNA [NM_152913]	4.63	1.18E-38
LILRB2	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 (LILRB2), mRNA [NM_005874]	4.63	?E-46
KLHL14	Homo sapiens kelch-like 14 (Drosophila) (KLHL14), mRNA [NM_020805]	4.62	4.97E-29
ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	4.61	1.20E-08
TDH	Homo sapiens L-threonine dehydrogenase (TDH) on chromosome 8.	4.59	4.69E-09
NALP1	Homo sapiens NACHT, leucine rich repeat and PYD (pyrin domain) containing 1, mRNA (cDNA clone MGC:57544 IMAGE:5756099), complete cds. [BC051787]	4.58	6.80E-31
AK074097	Homo sapiens mRNA for FLJ00168 protein. [AK074097]	4.56	0.00002
DMGDH	Homo sapiens dimethylglycine dehydrogenase (DMGDH), nuclear gene encoding mitochondrial protein, mRNA [NM_013391]	4.55	4.57E-14
MLC1	Homo sapiens megalencephalic leukoencephalopathy with subcortical cysts 1 (MLC1), transcript variant 1, mRNA [NM_015166]	4.53	?E-46
THC2529323	Unknown	4.53	2.85E-37
PLAT	Plasminogen activator, tissue	4.5	4.51E-39
JAM2	Homo sapiens junctional adhesion molecule 2 (JAM2), mRNA [NM_021219]	4.44	1.96E-17
LOXL4	Homo sapiens lysyl oxidase-like 4 (LOXL4), mRNA [NM_032211]	4.44	0.00001
CXCR4	Chemokine (C-X-C motif) receptor 4	4.43	5.40E-15
ENST00000337025	Ig gamma-1 chain C region. [Source:Uniprot/SWISSPROT;Acc:P01857] [ENST00000337025]	4.37	0.00056
SLC22A4	Homo sapiens solute carrier family 22 (organic cation transporter), member 4 (SLC22A4), mRNA [NM_003059]	4.33	0.00007
MGC42367	Similar to 2010300C02Rik protein	4.31	9.70E-16
COL1A1	H.sapiens mRNA for prepro-alpha1(I) collagen. [Z74615]	4.3	?E-46
DUSP22	mitogen-activated protein kinase phosphatase x	4.28	?E-46
BACH2	Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 2 (BACH2), mRNA [NM_021813]	4.28	3.24E-11
CETP	Homo sapiens cholesteryl ester transfer protein, plasma (CETP), mRNA [NM_000078]	4.25	9.23E-12
THC2674068	Q4S8B2_TETNG (Q4S8B2) Chromosome undetermined SCAF14706, whole genome shotgun sequence, partial (6%) [THC2674068]	4.24	?E-46
THC2527306	Q9HBV3_HUMAN (Q9HBV3) PP3111, partial (17%) [THC2527306]	4.22	3.31E-07
DLK1	Homo sapiens delta-like 1 homolog (Drosophila) (DLK1), mRNA [NM_003836]	4.2	3.79E-10
GPR109B	Homo sapiens G protein-coupled receptor 109B (GPR109B), mRNA [NM_006018]	4.2	5.11E-37
C10orf56	Homo sapiens chromosome 10 open reading frame 56 (C10orf56), mRNA [NM_153367]	4.19	?E-46
GRM8	Homo sapiens glutamate receptor, metabotropic 8 (GRM8), mRNA [NM_000845]	4.19	8.75E-09
NPR3	Homo sapiens natriuretic peptide receptor C [NM_000908]	4.14	0.00012
KCNQ2	Potassium voltage-gated channel, KQT-like subfamily, member 2	4.14	1.12E-07
HDCGC21P	hypothetical protein HDCGC21P	4.13	0.00006
KIAA1522	KIAA1522 protein	4.12	8.65E-39
RBM20	Novel protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5JVI5] [ENST00000369519]	4.11	0.00002
C20orf26	Homo sapiens chromosome 20 open reading frame 26 (C20orf26), mRNA [NM_015585]	4.08	1.79E-06
CTNND1	Catenin (cadherin-associated protein), delta 1	4.08	1.59E-11
ENST00000251375	Leukocyte immunoglobulin-like receptor subfamily A member 1 precursor (Leukocyte immunoglobulin-like receptor 6) (LIR-6) (CD85i antigen). [Source:Uniprot/SWISSPROT;Acc:O75019] [ENST00000251375]	4.08	2.77E-19
THC2728513	Q26195_PLAVI (Q26195) Pva1 protein, partial (20%) [THC2728513]	4.08	7.91E-07
TNFAIP2	Homo sapiens tumor necrosis factor, alpha-induced protein 2 (TNFAIP2), mRNA [NM_006291]	4.03	0.00003
MRAS	Homo sapiens muscle RAS oncogene homolog (MRAS), mRNA [NM_012219]	4.03	9.49E-25
IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	3.99	2.72E-33
CXCL10	Homo sapiens chemokine (C-X-C motif) ligand 10 (CXCL10), mRNA [NM_001565]	3.94	?E-46
ALDH1A3	Homo sapiens aldehyde dehydrogenase 1 family, member A3 (ALDH1A3), mRNA [NM_000693]	3.94	0.00022
LAIR2	Leukocyte-associated immunoglobulin-like receptor 2	3.92	0.0017
SLC18A1	Homo sapiens solute carrier family 18 (vesicular monoamine), member 1 (SLC18A1), mRNA [NM_003053]	3.9	0.0015
GPR158	Homo sapiens G protein-coupled receptor 158 (GPR158), mRNA [NM_020752]	3.9	2.72E-07
FLJ33318	Homo sapiens hypothetical protein FLJ33318 (FLJ33318), mRNA [NM_153229]	3.88	0.0013
SFTPG	Surfactant associated protein G	3.87	1.98E-07
CALML6	Calmodulin-like 6	3.86	0.00002
LAMP3	Homo sapiens lysosomal-associated membrane protein 3 (LAMP3), mRNA [NM_014398]	3.85	?E-46
HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	3.85	0.0048
DPCR1	Homo sapiens diffuse panbronchiolitis critical region 1 (DPCR1), mRNA [NM_080870]	3.84	2.20E-09
EPHB3	Homo sapiens EPH receptor B3 (EPHB3), mRNA [NM_004443]	3.8	7.61E-06
SLC39A9	Homo sapiens solute carrier family 39 (zinc transporter), member 9 (SLC39A9), mRNA [NM_018375]	3.77	?E-46
MMP19	Matrix metallopeptidase 19	3.77	3.25E-08
PURG	purine-rich element binding protein G	3.77	1.87E-15
A_23_P77389	Unknown	3.76	0.00022
CKM	Homo sapiens creatine kinase, muscle (CKM), mRNA [NM_001824]	3.75	4.79E-09
FLJ10094	Homo sapiens hypothetical protein FLJ10094 (FLJ10094), mRNA [NM_017993]	3.74	3.11E-38
THC2691419	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (5%) [THC2691419]	3.73	1.59E-15
CYP2E1	Homo sapiens cytochrome P450, family 2, subfamily E, polypeptide 1 (CYP2E1), mRNA [NM_000773]	3.73	?E-46
OMG	Oligodendrocyte myelin glycoprotein	3.69	0.00021
CMRF35H	Homo sapiens leukocyte membrane antigen (CMRF-35H), mRNA [NM_007261]	3.66	0.00023
BDNF	Brain-derived neurotrophic factor	3.62	1.75E-08
ROR2	Homo sapiens receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA [NM_004560]	3.6	7.66E-12
AGPAT4	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) (AGPAT4), mRNA [NM_020133]	3.6	3.23E-29
HSPA1A	Heat shock 70kDa protein 1A	3.59	0.00375
EMR1	Homo sapiens egf-like module containing, mucin-like, hormone receptor-like 1 (EMR1), mRNA [NM_001974]	3.56	6.57E-08
RXRA	Homo sapiens retinoid X receptor, alpha (RXRA), mRNA [NM_002957]	3.54	4.04E-20
IL10	Homo sapiens interleukin 10 (IL10), mRNA [NM_000572]	3.54	?E-46
ENST00000379913	Ig gamma-4 chain C region. [Source:Uniprot/SWISSPROT;Acc:P01861] [ENST00000379913]	3.52	1.66E-20
DKFZP761M1511	hypothetical protein	3.52	7.44E-15
CYB5	Cytochrome b5 type A (microsomal)	3.52	0.00002
ENST00000383723	Homo sapiens cDNA FLJ32870 fis, clone TESTI2003894. [AK057432]	3.51	0.003
SLAMF1	Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), mRNA [NM_003037]	3.5	?E-46
LOC646157	Hypothetical protein LOC646157	3.5	0.0026
COL16A1	Homo sapiens collagen, type XVI, alpha 1 (COL16A1), mRNA [NM_001856]	3.5	3.68E-13
PLAC8	Homo sapiens placenta-specific 8 (PLAC8), mRNA [NM_016619]	3.49	2.69E-17
NALP11	Homo sapiens NACHT, leucine rich repeat and PYD containing 11 (NALP11), mRNA [NM_145007]	3.49	1.92E-21
PBX4	Homo sapiens pre-B-cell leukemia transcription factor 4 (PBX4), mRNA [NM_025245]	3.49	8.37E-31
FLJ21127	Homo sapiens hypothetical protein FLJ21127 (FLJ21127), mRNA [NM_024549]	3.47	1.73E-06
IGLL1	Immunoglobulin lambda-like polypeptide 1	3.46	8.68E-25
TNFSF4	Homo sapiens tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa) (TNFSF4), mRNA [NM_003326]	3.46	1.14E-20
BIC	Homo sapiens BIC transcript (BIC) on chromosome 21.	3.46	?E-46
MTL5	Homo sapiens metallothionein-like 5, testis-specific (tesmin) (MTL5), mRNA [NM_004923]	3.45	1.00E-19
CASP4	Caspase 4, apoptosis-related cysteine peptidase	3.45	3.86E-25
SPAP1	Homo sapiens SH2 domain containing phosphatase anchor protein 1 (SPAP1), mRNA [NM_030764]	3.45	1.74E-11
BAGE	B melanoma antigen	3.44	0.00005
SYNPO	synaptopodin	3.44	4.55E-13
C1orf186	Chromosome 1 open reading frame 186	3.43	4.14E-09
EMAPL	Echinoderm microtubule associated protein like 1	3.43	3.75E-10
NALP4	Homo sapiens NACHT, leucine rich repeat and PYD containing 4 (NALP4), mRNA [NM_134444]	3.42	7.49E-08
TYROBP	TYRO protein tyrosine kinase binding protein	3.42	4.13E-10
