Probe Set ID	Gene Title	Gene Symbol	Public ID	Fold- change	Up-/Downregulation
209189_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	BC004490	3.2	>2-fold downregulation
231055_at	Transcribed locus	---	BF432941	3	>2-fold downregulation
1561037_a_at	CDNA clone IMAGE:5260914	---	BI548390	3	>2-fold downregulation
1558756_at	hypothetical protein	DKFZP586P0123	AK092089	2.8	>2-fold downregulation
226650_at	zinc finger, AN1-type domain 2A	ZFAND2A	AI984061	2.6	>2-fold downregulation
219270_at	ChaC, cation transport regulator-like 1 (E. coli)	CHAC1	NM_024111	2.6	>2-fold downregulation
36742_at	tripartite motif-containing 15	TRIM15	U34249	2.6	>2-fold downregulation
227409_at	protein phosphatase 1, regulatory (inhibitor) subunit 3E	PPP1R3E	AA167748	2.6	>2-fold downregulation
204545_at	peroxisomal biogenesis factor 6	PEX6	NM_000287	2.6	>2-fold downregulation
210184_at	integrin, alpha X (complement component 3 receptor 4)	ITGAX	M81695	2.6	>2-fold downregulation
228671_at	hypothetical protein LOC199953		AI953008	2.6	>2-fold downregulation
1559585_at	hypothetical protein FLJ31033	FLJ31033	AK096369	2.6	>2-fold downregulation
220195_at	methyl-CpG binding domain protein 5	MBD5	NM_018328	2.5	>2-fold downregulation
1552752_a_at	immunoglobulin superfamily, member 4D	IGSF4D	NM_153184	2.5	>2-fold downregulation
1556172_at	MRNA; cDNA DKFZp762I0915	---	AL832916	2.5	>2-fold downregulation
208033_s_at	AT-binding transcription factor 1	ATBF1	NM_006885	2.5	>2-fold downregulation
200664_s_at	DnaJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	BG537255	2.3	>2-fold downregulation
200800_s_at	heat shock 70kDa protein 1A/B	HSPA1A /// HSPA1B	NM_005345	2.3	>2-fold downregulation
213209_at	TAF6-like RNA pol II, p300/CBP-associated factor	TAF6L	BF058726	2.3	>2-fold downregulation
213472_at	heterogeneous nuclear ribonucleoprotein H1 (H)	HNRPH1	AI022387	2.3	>2-fold downregulation
234986_at	Full-length cDNA clone CS0CAP007YJ17 of Thymus	---	AA630626	2.3	>2-fold downregulation
235065_at	Full length insert cDNA clone ZE05E03	---	AI546970	2.3	>2-fold downregulation
1564706_s_at	glutaminase 2 (liver, mitochondrial)	GLS2	AF110329	2.3	>2-fold downregulation
239818_x_at	tribbles homolog 1 (Drosophila)	TRIB1	AA576947	2.1	>2-fold downregulation
202887_s_at	DNA-damage-inducible transcript 4	DDIT4	NM_019058	2.1	>2-fold downregulation
203665_at	heme oxygenase (decycling) 1	HMOX1	NM_002133	2.1	>2-fold downregulation
208935_s_at	lectin, galactoside-binding, soluble, 8 (galectin 8)	LGALS8	L78132	2.1	>2-fold downregulation
218145_at	tribbles homolog 3 (Drosophila)	TRIB3	NM_021158	2.1	>2-fold downregulation
1554333_at	DnaJ (Hsp40) homolog, subfamily A, member 4	DNAJA4	BC031044	2.1	>2-fold downregulation
233011_at	Annexin A1	ANXA1	AU155094	2.1	>2-fold downregulation
207969_x_at	acrosomal vesicle protein 1	ACRV1	NM_020109	2.1	>2-fold downregulation
211527_x_at	vascular endothelial growth factor	VEGF	M27281	2.1	>2-fold downregulation
239292_at	Transcribed locus	---	AA825563	2.1	>2-fold downregulation
1553681_a_at	perforin 1 (pore forming protein)	PRF1	NM_005041	2.1	>2-fold downregulation
