PROBE	Gene Symbol	GENE  - NAME	Expected score (dExp)	Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change	q-value (%)
37302_at	CENPF	CENPF - centromere protein F, 350/400ka (mitosin)	-0.31433585	-1.7186073	-1.9262512	1.120821	0.28746697	0
38062_at	RAPGEF5	RAPGEF5 - Rap guanine nucleotide exchange factor (GEF) 5	-0.12441656	-1.7184051	-1.783947	1.0381411	0.29795226	0
1389_at	MME	MME - membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.46553075	-1.7127533	-1.80668	1.0548396	0.28688365	0
1073_at	TCEA1	TCEA1 - transcription elongation factor A (SII), 1	-0.5691711	-1.7097484	-1.8667485	1.0918264	0.2843242	0
37691_at	MEF2B	MEF2B - MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)	0.034551825	-1.7065096	-1.7334203	1.0157694	0.30495563	0
40195_at	H2AFX	H2AFX - H2A histone family, member X	0.080666766	-1.7044508	-2.1195807	1.2435564	0.27565232	0
35549_at	RPL39L	RPL39L - ribosomal protein L39-like	-0.1680623	-1.7036523	-1.7703912	1.0391741	0.29697934	0
886_at	DCK	DCK - deoxycytidine kinase	-0.37697574	-1.7019485	-2.124263	1.2481359	0.26880756	0
645_at	HSPA2	HSPA2 - heat shock 70kDa protein 2	-0.110176034	-1.7008603	-1.9778011	1.1628239	0.253866	0
1299_at	TERF2	TERF2 - telomeric repeat binding factor 2	0.22631918	-1.6986283	-2.032369	1.1964766	0.27455953	0
34337_s_at	MTF2	MTF2 - metal response element binding transcription factor 2	0.09153927	-1.6978518	-1.8258435	1.0753845	0.2860147	0
37171_at	KIF23	KIF23 - kinesin family member 23	-0.30256966	-1.6966945	-2.1358504	1.2588303	0.2872206	0
32617_at	KIAA1794	KIAA1794 - KIAA1794	0.34438786	-1.6957159	-2.0539973	1.2112862	0.27503318	0
306_s_at	HMGN1	HMGN1 - high-mobility group nucleosome binding domain 1	-0.27000406	-1.6953577	-1.9331114	1.140238	0.24431609	0
36913_at	SLBP	SLBP - stem-loop (histone) binding protein	-0.22932614	-1.6937809	-2.042295	1.2057611	0.2726634	0
32702_at	TROAP	TROAP - trophinin associated protein (tastin)	-0.16599776	-1.6869924	-1.8215499	1.0797617	0.2669166	0
37577_at	ARHGAP19	ARHGAP19 - Rho GTPase activating protein 19	-0.09601513	-1.6857215	-2.1784637	1.2923034	0.2566378	0
41195_at	LPP	LPP - LIM domain containing preferred translocation partner in lipoma	-0.4442242	-1.6832482	-1.7322779	1.0291281	0.2980398	0
904_s_at	TOP2A	TOP2A - topoisomerase (DNA) II alpha 170kDa	0.07123091	-1.6829981	-1.8570452	1.1034149	0.29744065	0
39039_s_at	UBE2J1	UBE2J1 - ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	0.0879193	-1.6785289	-1.8004277	1.0726224	0.30118203	0
34878_at	SMC4L1	SMC4L1 - SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	0.60372114	-1.6783552	-1.9823185	1.1811079	0.28753415	0
37731_at	EPS15	EPS15 - epidermal growth factor receptor pathway substrate 15	-0.09254904	-1.6781143	-1.8634467	1.1104409	0.29211026	0
39040_at	UBE2J1	UBE2J1 - ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	-0.3261137	-1.6743736	-1.7684625	1.0561935	0.29572174	0
419_at	MKI67	MKI67 - antigen identified by monoclonal antibody Ki-67	0.7332027	-1.6741532	-2.080761	1.2428737	0.288137	0
32118_at	RAD17	RAD17 - RAD17 homolog (S. pombe)	-0.24642842	-1.6734995	-1.9282488	1.1522255	0.27835748	0
31680_at	TOP1P2	TOP1P2 - topoisomerase (DNA) I pseudogene 2	0.13279341	-1.669889	-2.1158981	1.2670891	0.25431907	0
39980_at	VRK1	VRK1 - vaccinia related kinase 1	0.13577421	-1.6668665	-1.8376276	1.1024444	0.29071766	0
38536_at	ARHGAP11A	ARHGAP11A - Rho GTPase activating protein 11A	0.14666283	-1.6604669	-2.0750532	1.2496805	0.29782635	0
32539_at	COPS8	COPS8 - COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	-0.12623958	-1.660076	-1.8901011	1.1385629	0.27709815	0
40152_r_at	PEX5	PEX5 - peroxisomal biogenesis factor 5	-0.17621452	-1.6528134	-2.0367932	1.2323189	0.27789974	0
38988_at	WHSC1	WHSC1 - Wolf-Hirschhorn syndrome candidate 1	-0.02194257	-1.6449254	-1.7661365	1.0736879	0.28915933	0
38158_at	ESPL1	ESPL1 - extra spindle poles like 1 (S. cerevisiae)	-0.13760337	-1.6422312	-1.7791858	1.0833954	0.306717	0
349_g_at	KIFC1	KIFC1 - kinesin family member C1	-0.65256685	-1.6366069	-1.7549524	1.0723115	0.3081979	0
32198_at	COMMD4	COMMD4 - COMM domain containing 4	-0.24351628	-1.6362778	-1.8594773	1.1364069	0.2948322	0
31830_s_at	SMTN	SMTN - smoothelin	-0.04371134	-1.6355952	-1.9628274	1.2000692	0.28320253	0
37924_g_at	APOM	APOM - apolipoprotein M	0.048455175	-1.6321572	-1.854174	1.1360266	0.28592253	0
35699_at	BUB1B	BUB1B - BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	-0.3341769	-1.6304039	-1.879272	1.152642	0.30444187	0
527_at	CENPA	CENPA - centromere protein A, 17kDa	-0.08557412	-1.6237847	-1.7648606	1.0868809	0.31358436	0
41547_at	BUB3	BUB3 - BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	0.04764262	-1.6235266	-2.0307698	1.2508386	0.28278443	0
39243_s_at	PSIP1	PSIP1 - PC4 and SFRS1 interacting protein 1	-0.35057485	-1.6187146	-1.9418391	1.199618	0.2970441	0
35881_at	ANKRD15	ANKRD15 - Ankyrin repeat domain 15	0.16574244	-1.6142048	-1.767359	1.094879	0.30791765	0
32263_at	CCNB2	CCNB2 - cyclin B2	-0.42780945	-1.6125787	-1.9035337	1.1804284	0.30985487	0
39841_at	SLC16A6	SLC16A6 - solute carrier family 16 (monocarboxylic acid transporters), member 6	0.20073113	-1.6078303	-1.8123784	1.1272199	0.30675238	0
418_at	MKI67	MKI67 - antigen identified by monoclonal antibody Ki-67	-0.255586	-1.6075324	-1.8935978	1.1779531	0.30164763	0
37305_at	EZH2	EZH2 - enhancer of zeste homolog 2 (Drosophila)	-0.027370637	-1.6066695	-1.7328701	1.078548	0.31889004	0
33429_at	C18orf10	C18orf10 - chromosome 18 open reading frame 10	-0.26476103	-1.6055369	-1.738238	1.0826521	0.3127073	0
975_at	PLK4	PLK4 - polo-like kinase 4 (Drosophila)	0.20876424	-1.6040193	-1.8482817	1.1522815	0.30677	0
35289_at	RABGAP1	RABGAP1 - RAB GTPase activating protein 1	0.39907718	-1.6032763	-1.7083132	1.065514	0.30499598	0
33324_s_at	CDC2	CDC2 - cell division cycle 2, G1 to S and G2 to M	0.8796573	-1.6026642	-1.9754386	1.2325966	0.3064812	0
39379_at	C1orf121	C1orf121 - chromosome 1 open reading frame 121	0.111330725	-1.5948595	-1.7962383	1.1262674	0.30856505	0
34510_at	CDT1	CDT1 - chromatin licensing and DNA replication factor 1	-0.043424986	-1.5948155	-1.7204918	1.0788031	0.31595328	0
38933_at	KIFC1	KIFC1 - kinesin family member C1	0.64464116	-1.5944877	-1.8131564	1.1371404	0.31043825	0
37699_at	METAP2	METAP2 - methionyl aminopeptidase 2	-0.15031736	-1.5944836	-1.7670782	1.1082448	0.28515914	0
37225_at	ANKRD15	ANKRD15 - ankyrin repeat domain 15	0.265769	-1.5874614	-1.6603593	1.0459211	0.3248658	0
786_at	POLA	POLA - polymerase (DNA directed), alpha	-0.3388267	-1.5871756	-1.9513407	1.2294422	0.3073602	0
1503_at	BRCA2	BRCA2 - breast cancer 2, early onset	-0.22285675	-1.5869813	-1.9666957	1.2392683	0.29488537	0
36476_at	BRD8	BRD8 - bromodomain containing 8	-0.24016096	-1.5865188	-2.2474928	1.4166191	0.31515273	0
1996_s_at	CCNF	CCNF - cyclin F	0.08042051	-1.5863287	-1.7768233	1.1200851	0.31198367	0
39374_at	GTSE1	GTSE1 - G-2 and S-phase expressed 1	0.14884785	-1.5737387	-1.8864374	1.198698	0.31363997	0
32589_at	CHAF1A	CHAF1A - chromatin assembly factor 1, subunit A (p150)	0.043760613	-1.5721965	-1.7112951	1.088474	0.3241422	0
36925_at	HSPA2	HSPA2 - heat shock 70kDa protein 2	0.14102434	-1.5705918	-1.8626894	1.1859792	0.31492478	0
1801_at	BARD1	BARD1 - BRCA1 associated RING domain 1	0.20804472	-1.5678439	-1.9909512	1.2698656	0.31527007	0
36837_at	KIF2C	KIF2C - kinesin family member 2C	0.004502134	-1.5668101	-1.9064076	1.2167445	0.3160732	0
32120_at	SPAG5	SPAG5 - sperm associated antigen 5	0.16777694	-1.5656185	-1.9123611	1.2214732	0.31419918	0
33266_at	AURKB	AURKB - aurora kinase B	-0.19438063	-1.5622753	-1.741086	1.1144553	0.32598227	0
956_at	---	--- - ---	-0.1038672	-1.560957	-1.7230449	1.1038388	0.31934914	0
41474_at	KIF2	KIF2 - kinesin heavy chain member 2	0.19186443	-1.5608488	-1.910364	1.2239263	0.30172488	0
40707_at	MPHOSPH9	MPHOSPH9 - M-phase phosphoprotein 9	0.19780096	-1.5541731	-2.008675	1.2924397	0.30638406	0
1884_s_at	PCNA	PCNA - proliferating cell nuclear antigen	-0.013618894	-1.5528095	-2.2230287	1.4316171	0.32853782	0
34314_at	RRM1	RRM1 - ribonucleotide reductase M1 polypeptide	0.035206597	-1.551492	-1.8773313	1.2100167	0.31571838	0
34721_at	FKBP5	FKBP5 - FK506 binding protein 5	-0.15358052	-1.5504394	-1.8163183	1.1714861	0.3020851	0
37474_at	OIP5	OIP5 - Opa interacting protein 5	-0.18599875	-1.5488765	-1.8239808	1.1776154	0.3232526	0
1599_at	CDKN3	CDKN3 - cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	0.22750422	-1.5469373	-1.9599324	1.266976	0.32643488	0
1318_at	RBBP4	RBBP4 - retinoblastoma binding protein 4	0.21113351	-1.5463631	-1.95632	1.2651104	0.30099723	0
40407_at	KPNA2	KPNA2 - karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// hypothetical protein MGC40489 /// similar to Importin alpha-2 subunit (Karyopherin alpha-2 subunit) (SRP1-alpha) (RAG cohort protein 1) /// similar to Importin alpha-2 subunit (Karyopherin alpha-2 subunit) (SRP1-alpha) (RAG cohort protein 1) /// region containing similar to pleckstrin homology domain containing, family M (with RUN domain) member 1; adapter protein 162; hypothetical protein MGC40489	-0.4809705	-1.5435392	-1.6466136	1.066778	0.33249623	0
36032_at	C1orf41	C1orf41 - chromosome 1 open reading frame 41	-0.142274	-1.5381818	-1.9465089	1.2654608	0.31767544	0
910_at	TK1	TK1 - thymidine kinase 1, soluble	-0.016366292	-1.5367818	-1.9425406	1.2640315	0.32163212	0
34498_at	VNN2	VNN2 - vanin 2	0.3009498	-1.5349921	-1.582329	1.0308386	0.34007964	0
34117_at	LPP	LPP - LIM domain containing preferred translocation partner in lipoma	0.2645313	-1.5341918	-1.6177676	1.0544754	0.32995003	0
33724_at	BRCA1	BRCA1 - breast cancer 1, early onset	0.07349707	-1.533787	-1.6882968	1.1007375	0.32817224	0
32573_at	SFRS9	SFRS9 - splicing factor, arginine/serine-rich 9	0.16025278	-1.533496	-1.6109742	1.0505239	0.33341852	0
1945_at	CCNB1	CCNB1 - cyclin B1	0.25346684	-1.5309942	-1.8119628	1.1835204	0.3290096	0
41127_at	SLC1A4	SLC1A4 - solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	0.15181684	-1.5300599	-1.6796794	1.0977867	0.32049537	0
36655_at	TJP2	TJP2 - tight junction protein 2 (zona occludens 2)	0.12716918	-1.5293144	-1.8663383	1.2203758	0.3049155	0
572_at	TTK	TTK - TTK protein kinase	0.13256797	-1.5278567	-1.828064	1.1964891	0.3238009	0
39706_at	CPNE3	CPNE3 - copine III	-0.10723751	-1.5239197	-1.9043654	1.2496494	0.30877796	0
37000_at	BRP44	BRP44 - brain protein 44	0.25590461	-1.5205778	-1.6781538	1.103629	0.30695763	0
34852_g_at	AURKA	AURKA - aurora kinase A	-0.05431669	-1.5192716	-1.7434486	1.1475556	0.33137777	0
38847_at	MELK	MELK - maternal embryonic leucine zipper kinase	0.041188214	-1.518966	-1.6905987	1.1129931	0.3334882	0
32682_at	TMPO	TMPO - thymopoietin	0.06739919	-1.5184293	-1.8685334	1.23057	0.30897418	0
34736_at	CCNB1	CCNB1 - cyclin B1	-0.17304188	-1.5151178	-1.9045085	1.2570035	0.32694006	0
34783_s_at	BUB3	BUB3 - BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	-0.02755444	-1.513531	-1.9326737	1.2769303	0.31949812	0
40117_at	MCM6	MCM6 - MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	-0.06665899	-1.5121307	-1.953479	1.2918718	0.33026743	0
2033_s_at	WEE1	WEE1 - WEE1 homolog (S. pombe)	0.1239512	-1.5118867	-1.6350374	1.081455	0.33145362	0
34579_r_at	DMC1	DMC1 - DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)	0.46056312	-1.5089202	-1.786168	1.1837392	0.33431527	0
33905_at	MBD2	MBD2 - methyl-CpG binding domain protein 2	-0.2736563	-1.5043495	-1.6149113	1.0734948	0.33776635	0
36909_at	WEE1	WEE1 - WEE1 homolog (S. pombe)	-0.045177814	-1.5038861	-1.7906067	1.1906532	0.33044225	0
39109_at	TPX2	TPX2 - TPX2, microtubule-associated, homolog (Xenopus laevis)	-0.14127243	-1.5033203	-1.6807255	1.1180089	0.34001788	0
33714_at	HMGB3	HMGB3 - high-mobility group box 3	-0.008257342	-1.4987322	-1.7978843	1.1996034	0.31502733	0
36631_at	PRDX3	PRDX3 - peroxiredoxin 3	-0.033711437	-1.4974588	-1.8802412	1.2556213	0.33110037	0
32579_at	SMARCA4	SMARCA4 - SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.22966634	-1.4963768	-1.5217422	1.0169512	0.35521215	0
33918_s_at	HIRIP3	HIRIP3 - HIRA interacting protein 3	0.2086897	-1.4950116	-1.6842778	1.1265985	0.3360335	0
39337_at	H2AFZ	H2AFZ - H2A histone family, member Z	0.042143743	-1.4923877	-1.7896591	1.1991919	0.3357765	0
32987_at	FSHPRH1	FSHPRH1 - FSH primary response (LRPR1 homolog, rat) 1	0.0481181	-1.4907649	-1.7497085	1.1736985	0.30882803	0
1651_at	UBE2C	UBE2C - ubiquitin-conjugating enzyme E2C	0.26711276	-1.487855	-1.7227798	1.157895	0.33889577	0
40510_at	HS2ST1	HS2ST1 - heparan sulfate 2-O-sulfotransferase 1	0.020162566	-1.4873109	-1.7483933	1.1755399	0.3160064	0
32081_at	CIT	CIT - citron (rho-interacting, serine/threonine kinase 21)	0.57168454	-1.4841231	-1.8585523	1.2522899	0.3252638	0
38333_at	OGG1	OGG1 - 8-oxoguanine DNA glycosylase	0.28911135	-1.4836464	-1.8127962	1.221852	0.33554608	0
33095_i_at	BFSP2	BFSP2 - beaded filament structural protein 2, phakinin	-0.024999851	-1.4818277	-1.8310207	1.2356502	0.20856589	0
1809_at	CDC7	CDC7 - CDC7 cell division cycle 7 (S. cerevisiae)	-0.16023754	-1.4805679	-1.7730742	1.1975635	0.33155274	0
33678_i_at	TUBB2C	TUBB2C - tubulin, beta 2C	0.3321497	-1.4787291	-1.6135085	1.0911454	0.34416893	0
41081_at	BUB1	BUB1 - BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	-0.6462536	-1.4771873	-1.6086375	1.0889868	0.34837025	0
33679_f_at	TUBB2C	TUBB2C - tubulin, beta 2C	-0.22765902	-1.4756353	-1.5571227	1.0552219	0.35041437	0
366_s_at	NEK2	NEK2 - NIMA (never in mitosis gene a)-related kinase 2	0.52379584	-1.4739754	-1.7194382	1.1665311	0.33217242	0
41639_at	BRRN1	BRRN1 - barren homolog 1 (Drosophila)	-0.011092379	-1.4686617	-1.6895877	1.1504267	0.33772373	0
36041_at	EXO1	EXO1 - exonuclease 1	0.08243566	-1.4646482	-1.7900904	1.2221982	0.3581031	0
1178_at	---	--- - ---	-0.12398245	-1.4636412	-1.5335113	1.0477372	0.3540442	0
1903_at	---	--- - ---	-0.25865704	-1.462508	-1.8548173	1.2682443	0.31701016	0
1376_at	LIG1	LIG1 - ligase I, DNA, ATP-dependent	0.26129755	-1.4619261	-1.6615826	1.1365708	0.34060314	0
35995_at	ZWINT	ZWINT - ZW10 interactor	-0.02639223	-1.4611402	-1.6600575	1.1361384	0.35181516	0
40140_at	RNF103	RNF103 - ring finger protein 103	-0.32745582	-1.4601896	-1.6800431	1.150565	0.3213668	0
36987_at	LMNB2	LMNB2 - lamin B2	-0.06695249	-1.4564676	-1.5864934	1.0892748	0.3502889	0
37532_at	ACADM	ACADM - acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	0.2873089	-1.454103	-1.6594595	1.1412256	0.34467673	0
1721_g_at	MAD2L1	MAD2L1 - MAD2 mitotic arrest deficient-like 1 (yeast)	-0.089468256	-1.451725	-1.8244162	1.2567229	0.34526193	0
31881_at	TMEM23	TMEM23 - transmembrane protein 23	-0.017542513	-1.4513216	-1.4972254	1.031629	0.3492587	0
251_at	CAMK1	CAMK1 - calcium/calmodulin-dependent protein kinase I	0.45793858	-1.4446124	-1.5803145	1.0939367	0.3431995	0
1943_at	CCNA2	CCNA2 - cyclin A2	0.07897803	-1.4438765	-1.5726196	1.0891649	0.35723928	0
41654_at	ADA	ADA - adenosine deaminase	-0.12949254	-1.4402282	-1.5499816	1.0762055	0.3573912	0
947_at	MCM7	MCM7 - MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	0.27396107	-1.4393153	-1.4344413	0.9966137	0.37484822	0
36572_r_at	ARL6IP	ARL6IP - ADP-ribosylation factor-like 6 interacting protein	0.1126796	-1.4392275	-1.7772543	1.2348669	0.33586442	0
31840_at	IDE	IDE - insulin-degrading enzyme	0.02583149	-1.4375948	-2.000485	1.39155	0.31585106	0
41626_at	TIMELESS	TIMELESS - timeless homolog (Drosophila)	-0.2833057	-1.4362361	-1.5031146	1.046565	0.35645136	0
33368_at	AZIN1	AZIN1 - antizyme inhibitor 1	0.25399473	-1.4355992	-1.7388399	1.2112293	0.33447477	0
38414_at	CDC20	CDC20 - CDC20 cell division cycle 20 homolog (S. cerevisiae)	-0.17726417	-1.4337404	-1.6567893	1.1555713	0.3548514	0
1824_s_at	PCNA	PCNA - proliferating cell nuclear antigen	0.043862265	-1.4334342	-1.8817884	1.3127832	0.34305444	0
35974_at	LRMP	LRMP - lymphoid-restricted membrane protein	0.04004819	-1.4292614	-1.5337679	1.0731193	0.3601899	0
32767_at	STIL	STIL - SCL/TAL1 interrupting locus	-0.22182989	-1.4259526	-1.5892048	1.1144865	0.357512	0
35331_at	CTNNAL1	CTNNAL1 - catenin (cadherin-associated protein), alpha-like 1	-0.024176314	-1.4241296	-1.6916382	1.1878401	0.35976002	0
32655_s_at	BRD8	BRD8 - bromodomain containing 8	0.44393778	-1.42244	-1.6498008	1.1598386	0.32589975	0
34756_g_at	PARP2	PARP2 - poly (ADP-ribose) polymerase family, member 2	0.30062056	-1.4166954	-1.669426	1.1783944	0.3583199	0
34446_at	RABGAP1L	RABGAP1L - RAB GTPase activating protein 1-like	0.4602798	-1.4157033	-1.6774342	1.1848769	0.36158353	0
34851_at	AURKA	AURKA - aurora kinase A	-0.05553799	-1.415629	-1.4787014	1.0445542	0.36631703	0
37228_at	PLK1	PLK1 - polo-like kinase 1 (Drosophila)	-0.15380663	-1.4153544	-1.6559144	1.1699646	0.35982138	0
40347_at	ANP32E	ANP32E - acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	0.058418572	-1.4129317	-1.5084351	1.0675924	0.36568153	0
34715_at	FOXM1	FOXM1 - forkhead box M1	-0.5851723	-1.4124184	-1.6380305	1.1597346	0.36097077	0
35342_at	PTPLB	PTPLB - protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	0.103129156	-1.412303	-1.703932	1.2064918	0.35327956	0
37347_at	CKS1B	CKS1B - CDC28 protein kinase regulatory subunit 1B	-0.3855938	-1.410866	-1.4678704	1.0404038	0.36943877	0
34411_at	PAPSS1	PAPSS1 - 3-phosphoadenosine 5-phosphosulfate synthase 1	0.41634423	-1.4096771	-1.6208951	1.1498343	0.3318141	0
