Gene Symbol	Name	Perou et al, Nature 2000	Sorlie et al, PNAS 2003	Perreard et al, Breast Cancer Research 2006	Hu et al, BMC Genomics 2006	Gene Used in PCR and Gene Set Minimization
BZW1	Basic leucine zipper and W2 domains 1	0	0	0	1	0
C10orf116	Chromosome 10 open reading frame 116	0	0	0	1	0
C10orf18	Chromosome 10 open reading frame 18	0	0	0	1	0
C10orf38	Chromosome 10 open reading frame 38	0	0	0	1	1
C10orf4	Chromosome 10 open reading frame 4	0	0	0	1	0
C10orf82	Chromosome 10 open reading frame 82	0	0	0	1	0
C11orf24	Chromosome 11 open reading frame 24	0	0	0	1	0
C11orf30	chromosome 11 open reading frame 30; EMSY	0	0	0	0	0
C11orf48	Chromosome 11 open reading frame 48	0	1	0	0	0
C12orf24	Chromosome 12 open reading frame 24	0	0	0	1	0
C12orf35	Chromosome 12 open reading frame 35	0	0	0	1	0
C12orf62	Chromosome 12 open reading frame 62	0	0	0	1	0
C13orf23	Chromosome 13 open reading frame 23	0	0	0	1	0
C14orf132	Chromosome 14 open reading frame 132	1	1	1	0	0
C14orf147	Chromosome 14 open reading frame 147	1	0	1	0	0
C14orf94	Chromosome 14 open reading frame 94	0	0	0	1	0
C15orf48	Chromosome 15 open reading frame 48	0	0	0	1	0
C16orf45	Chromosome 16 open reading frame 45	1	1	1	1	1
C16orf48	Chromosome 16 open reading frame 48	0	0	0	1	0
C16orf53	Chromosome 16 open reading frame 53	0	0	0	1	0
C16orf61	Chromosome 16 open reading frame 61	0	0	0	1	0
C16orf72	Chromosome 16 open reading frame 72	0	1	1	0	0
C16orf77	Chromosome 16 open reading frame 77	0	0	0	1	0
C17orf37	Chromosome 17 open reading frame 37	0	0	0	1	1
C17orf63	Chromosome 17 open reading frame 63	1	1	1	1	0
C18orf1	Chromosome 18 open reading frame 1	0	0	0	1	0
C18orf21	Chromosome 18 open reading frame 21	0	1	0	0	0
C19orf10	Chromosome 19 open reading frame 10	0	0	0	1	0
C19orf53	Chromosome 19 open reading frame 53	0	1	1	0	0
C19orf57	Chromosome 19 open reading frame 57	0	0	0	1	0
C1orf106	Chromosome 1 open reading frame 106	0	0	0	1	0
C1orf107	Chromosome 1 open reading frame 107	0	0	0	1	0
C1orf112	Chromosome 1 open reading frame 112	0	0	0	1	0
C1orf121	Chromosome 1 open reading frame 121	0	0	0	1	0
C1orf149	Chromosome 1 open reading frame 149	0	1	0	0	0
C1orf198	Chromosome 1 open reading frame 198	0	1	1	0	0
C1orf34	Chromosome 1 open reading frame 34	0	0	0	1	0
C20orf103	Chromosome 20 open reading frame 103	0	0	0	1	0
C20orf149	Chromosome 20 open reading frame 149	0	0	0	1	0
C20orf23	Chromosome 20 open reading frame 23	0	0	0	1	0
C20orf3	Chromosome 20 open reading frame 3	0	0	0	1	0
C20orf43	Chromosome 20 open reading frame 43	0	0	0	1	0
C21orf45	Chromosome 21 open reading frame 45	0	0	0	1	0
C22orf32	Chromosome 22 open reading frame 32	0	1	0	0	0
C3orf18	Chromosome 3 open reading frame 18	0	0	0	1	0
C3orf26	Chromosome 3 open reading frame 26	0	0	0	1	0
C3orf41	Chromosome 3 open reading frame 41	0	0	0	1	0
C3orf52	Chromosome 3 open reading frame 52	0	0	0	1	0
C3orf60	Chromosome 3 open reading frame 60	0	0	0	1	0
C4A	Complement component 4A (Rodgers blood group)	0	0	0	1	0
C4B	Complement component 4B (Childo blood group)	1	1	1	0	0
C4orf18	Chromosome 4 open reading frame 18	0	1	1	0	0
C4orf19	Chromosome 4 open reading frame 19	0	0	0	1	0
C4orf32	Chromosome 4 open reading frame 32	0	0	0	1	0
C4orf34	Chromosome 4 open reading frame 34	0	0	0	1	0
C5orf13	Chromosome 5 open reading frame 13	0	0	1	1	0
C5orf26	Chromosome 5 open reading frame 26	0	0	0	1	0
C5orf30	Chromosome 5 open reading frame 30	0	0	0	1	0
C5orf4	Chromosome 5 open reading frame 4	1	0	0	0	0
C6orf108	Chromosome 6 open reading frame 108	0	1	0	1	0
C6orf166	Chromosome 6 open reading frame 166	0	0	0	1	0
C6orf192	Chromosome 6 open reading frame 192	0	0	0	1	0
C6orf211	Chromosome 6 open reading frame 211	0	0	0	1	0
C6orf49	Chromosome 6 open reading frame 49	0	0	0	1	0
C7orf24	Chromosome 7 open reading frame 24	0	0	0	1	0
C7orf48	Chromosome 7 open reading frame 48	0	0	0	1	0
C8orf32	Chromosome 8 open reading frame 32	0	0	0	1	0
C8orf33	Chromosome 8 open reading frame 33	0	0	0	1	0
C8orf34	Chromosome 8 open reading frame 34	0	0	0	1	0
C8orf40	Chromosome 8 open reading frame 40	0	0	0	1	0
C8orf44	Chromosome 8 open reading frame 44	0	0	0	1	0
C9orf58	Chromosome 9 open reading frame 58	0	0	0	1	0
C9orf75	Chromosome 9 open reading frame 75	1	0	0	0	0
C9orf86	Chromosome 9 open reading frame 86	0	0	0	1	0
C9orf9	Chromosome 9 open reading frame 9	0	0	0	1	0
C9orf91	Chromosome 9 open reading frame 91	0	1	1	0	0
CA11	Carbonic anhydrase XI	0	1	1	0	0
CA12	Carbonic anhydrase XII	0	0	0	0	1
CA2	Carbonic anhydrase II	1	1	1	0	0
CA8	Carbonic anhydrase VIII	0	0	0	1	0
CABC1	Chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	1	1	1	0	0
CACNA1G	Calcium channel, voltage-dependent, T type, alpha 1G subunit	0	0	0	1	0
CACYBP	Calcyclin binding protein	0	1	1	0	0
CALB1	Calbindin 1, 28kDa	0	0	0	1	0
CALCA	Calcitonin/calcitonin-related polypeptide, alpha	0	0	0	1	0
CALCOCO2	Calcium binding and coiled-coil domain 2	0	0	0	1	0
CALM1	Calmodulin 1 (phosphorylase kinase, delta)	1	0	0	0	0
CALML4	Calmodulin-like 4	0	0	0	1	0
CALML5	Calmodulin-like 5	0	0	0	1	0
CALU	Calumenin	0	1	1	0	0
CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1	1	1	1	1	1
CAND2	Cullin-associated and neddylation-dissociated 2 (putative)	0	0	0	1	0
CANX	Calnexin	0	1	0	0	0
CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	0	0	0	1	0
CAPN12	Calpain 12	0	1	1	0	0
CAPN13	Calpain 13	0	0	0	1	1
CAPN3	Calpain 3, (p94)	1	0	0	0	0
CAPN6	Calpain 6	1	0	0	1	0
CARD14	Caspase recruitment domain family, member 14	0	0	0	1	0
CARTPT	CART prepropeptide	0	0	0	1	0
CASP1	Caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	0	0	0	1	0
CASP3	Caspase 3, apoptosis-related cysteine peptidase	0	0	0	1	0
CASP7	Caspase 7, apoptosis-related cysteine peptidase	0	0	0	1	0
CAV1	Caveolin 1, caveolae protein, 22kDa	1	0	0	0	0
CAV2	Caveolin 2	1	0	0	0	0
CBLN4	Cerebellin 4 precursor	0	0	0	1	0
CBR1	Carbonyl reductase 1	0	1	1	1	0
CBR3	Carbonyl reductase 3	0	0	0	1	0
CBR4	Carbonyl reductase 4	0	0	0	1	0
CBS	Cystathionine-beta-synthase	0	0	1	0	0
CCDC43	Coiled-coil domain containing 43	0	0	0	1	0
CCDC72	Coiled-coil domain containing 72	0	0	0	1	0
CCDC73	Coiled-coil domain containing 73	0	0	0	1	0
CCDC77	Coiled-coil domain containing 77	0	0	0	1	0
CCDC88B	Coiled-coil domain containing 88B	0	0	0	1	0
CCDC91	Coiled-coil domain containing 91	0	0	0	1	0
CCK	Cholecystokinin	0	1	1	0	0
CCL14	Chemokine (C-C motif) ligand 14	1	0	0	0	0
CCL18	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	1	1	1	0	0
CCL24	Chemokine (C-C motif) ligand 24	0	0	0	1	0
CCNB1	Cyclin B1	0	0	0	0	1
CCNB2	Cyclin B2	0	0	0	1	0
CCND1	Cyclin D1	1	1	1	1	1
CCNE1	Cyclin E1	0	1	1	1	1
CCNH	Cyclin H	0	0	0	1	0
CCNU	Cyclin U	1	0	0	0	0
CD24	CD24 molecule	1	1	1	0	0
CD36	CD36 molecule (thrombospondin receptor)	1	0	0	0	0
CD38	CD38 molecule	0	0	0	1	0
CD3D	CD3d molecule, delta (CD3-TCR complex)	0	0	0	1	0
CD4	CD4 molecule	0	0	0	1	0
CD58	CD58 molecule	0	0	0	1	0
CD59	CD59 molecule, complement regulatory protein	0	1	1	1	0
CD68	CD68 molecule	0	0	0	0	1
CD79A	CD79a molecule, immunoglobulin-associated alpha	1	0	0	0	0
CDC123	Cell division cycle 123 homolog (S. cerevisiae)	0	1	1	1	0
CDC2	Cell division cycle 2, G1 to S and G2 to M	0	0	0	1	0
CDC20	Cell division cycle 20 homolog (S. cerevisiae)	0	0	0	0	1
CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	1	1	1	0	0
CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4	1	1	1	0	0
CDC6	Cell division cycle 6 homolog (S. cerevisiae)	0	0	0	1	1
CDCA5	Cell division cycle associated 5	0	0	0	1	0
CDCA7	Cell division cycle associated 7	0	0	0	1	0
CDCA8	Cell division cycle associated 8	0	0	0	0	1
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	1	1	1	1	0
CDH3	Cadherin 3, type 1, P-cadherin (placental)	1	1	1	0	1
CDK2	Cyclin-dependent kinase 2	0	0	0	1	0
CDK2AP1	CDK2-associated protein 1	0	1	1	0	0
CDK6	Cyclin-dependent kinase 6	0	1	1	0	0
CDK7	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)	0	0	1	0	0
CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	0	0	0	0	1
CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	1	0	0	0	0
CDKN2A	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	0	0	0	1	0
CDKN2D	Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	0	1	0	1	0
CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	0	0	0	1	0
CDO1	Cysteine dioxygenase, type I	1	0	0	0	0
CDT1	Chromatin licensing and DNA replication factor 1	0	0	0	1	0
CDV3	CDV3 homolog (mouse)	0	0	0	1	0
CEACAM5	Carcinoembryonic antigen-related cell adhesion molecule 5	1	1	1	0	0
CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	0	0	0	1	0
CELSR1	Cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	0	0	0	1	1
CELSR2	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	1	0	0	0	0
CENPA	Centromere protein A	0	0	0	1	1
CENPE	Centromere protein E, 312kDa	0	0	0	1	0
CENPF	Centromere protein F, 350/400ka (mitosin)	0	0	0	1	1
CENPM	Centromere protein M	0	0	0	1	0
CENPN	Centromere protein N	0	0	0	1	0
CENTG3	Centaurin, gamma 3	0	0	0	1	0
CEP350	Centrosomal protein 350kDa	0	0	0	1	0
CEP55	Centrosomal protein 55kDa	0	0	0	0	1
CEP68	Centrosomal protein 68kDa	0	0	0	1	0
CES2	Carboxylesterase 2 (intestine, liver)	0	0	0	1	0
CETN3	Centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	0	0	0	1	0
CFB	Complement factor B	1	1	1	1	0
CFLAR	CASP8 and FADD-like apoptosis regulator	0	0	0	0	1
CGA	Glycoprotein hormones, alpha polypeptide	0	0	0	1	0
CGB1	Chorionic gonadotropin, beta polypeptide 1	0	0	0	1	0
CGN	Cingulin	0	0	0	1	0
CGNL1	Cingulin-like 1	0	0	0	1	0
CHAF1B	Chromatin assembly factor 1, subunit B (p60)	0	0	0	1	0
CHCHD2	Coiled-coil-helix-coiled-coil-helix domain containing 2	0	0	0	1	0
CHCHD5	Coiled-coil-helix-coiled-coil-helix domain containing 5	0	0	0	1	0
CHGB	Chromogranin B (secretogranin 1)	1	1	1	0	0
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)	0	0	0	1	0
CHI3L2	Chitinase 3-like 2	1	1	1	1	0
CHKA	Choline kinase alpha	0	0	0	1	0
CHMP2B	Chromatin modifying protein 2B	0	0	0	1	0
CHODL	Chondrolectin	0	0	0	1	0
CHRDL2	Chordin-like 2	0	0	0	1	0
CHST2	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	0	0	0	1	0
CHURC1	Churchill domain containing 1	0	0	0	1	0
CIB2	Calcium and integrin binding family member 2	1	1	1	0	0
CIDEC	Cell death-inducing DFFA-like effector c	1	0	0	0	0
CIR	CBF1 interacting corepressor	0	0	0	1	0
CIRBP	Cold inducible RNA binding protein	0	0	0	1	0
CIT	Citron (rho-interacting, serine/threonine kinase 21)	0	1	1	0	0
CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	0	1	1	0	0
CITED4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	0	0	0	1	0
CKLF	Chemokine-like factor	0	0	0	1	0
CKMT1A	Creatine kinase, mitochondrial 1A	0	0	0	1	0
CKMT1B	Creatine kinase, mitochondrial 1B	1	1	1	0	0
CKS2	CDC28 protein kinase regulatory subunit 2	0	0	0	1	1
CLDN23	Claudin 23	0	0	0	1	0
CLDN3	Claudin 3	0	0	0	1	0
CLDN4	Claudin 4	0	0	0	1	1
CLDN7	Claudin 7	1	0	0	0	1
CLDN8	Claudin 8	0	0	0	1	0
CLGN	Calmegin	0	0	0	1	0
CLIC6	Chloride intracellular channel 6	0	0	0	1	0
CLIP4	CAP-GLY domain containing linker protein family, member 4	0	1	1	1	0
CLN5	Ceroid-lipofuscinosis, neuronal 5	0	1	1	0	0
CLNS1A	Chloride channel, nucleotide-sensitive, 1A	1	0	0	1	0
CLP1	CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae)	0	1	1	0	0
