Probe ID	Gene Name	Description
211597_s_at	HOP	homeodomain-only protein
214639_s_at	HOXA1	homeobox A1
219403_s_at	HPSE	heparanase
202601_s_at	HTATSF1	HIV-1 Tat specific factor 1
210547_x_at	ICA1	islet cell autoantigen 1, 69kDa
207949_s_at	ICA1	islet cell autoantigen 1, 69kDa
210439_at	ICOS	inducible T-cell co-stimulator
213931_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
201566_x_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
210354_at	IFNG	interferon, gamma
220418_at	IFT52	intraflagellar transport 52 homolog (Chlamydomonas)
206999_at	IL12RB2	interleukin 12 receptor, beta 2
207072_at	IL18RAP	interleukin 18 receptor accessory protein
211372_s_at	IL1R2	interleukin 1 receptor, type II
205403_at	IL1R2	interleukin 1 receptor, type II
205227_at	IL1RAP	interleukin 1 receptor accessory protein
205291_at	IL2RB	interleukin 2 receptor, beta
203828_s_at	IL32	interleukin 32
210511_s_at	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)
205376_at	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa
209185_s_at	IRS2	insulin receptor substrate 2
211339_s_at	ITK	IL2-inducible T-cell kinase
202747_s_at	ITM2A	integral membrane protein 2A
214470_at	KLRB1	killer cell lectin-like receptor subfamily B, member 1
206785_s_at	KLRC1	killer cell lectin-like receptor subfamily C, member 1
207723_s_at	KLRC3	killer cell lectin-like receptor subfamily C, member 3
205821_at	KLRK1	killer cell lectin-like receptor subfamily K, member 1
211005_at	LAT	linker for activation of T cells
209881_s_at	LAT	linker for activation of T cells
205266_at	LIF	leukemia inhibitory factor (cholinergic differentiation factor)
211456_x_at	LOC645745	metallothionein 1H-like protein
209348_s_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
206363_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
205027_s_at	MAP3K8	mitogen-activated protein kinase kinase kinase 8
205819_at	MARCO	macrophage receptor with collagenous structure /// macrophage receptor with collagenous structure
213457_at	MFHAS1	malignant fibrous histiocytoma amplified sequence 1
204475_at	MMP1	matrix metallopeptidase 1 (interstitial collagenase)
212859_x_at	MT1E	metallothionein 1E (functional)
217165_x_at	MT1F	metallothionein 1F (functional)
213629_x_at	MT1F	metallothionein 1F (functional)
204745_x_at	MT1G	metallothionein 1G
206461_x_at	MT1H	metallothionein 1H
217546_at	MT1M	metallothionein 1M
208581_x_at	MT1X	metallothionein 1X
204326_x_at	MT1X	metallothionein 1X
212185_x_at	MT2A	metallothionein 2A
33767_at	NEFH	neurofilament, heavy polypeptide 200kDa
219594_at	NINJ2	ninjurin 2
213915_at	NKG7	natural killer cell group 7 sequence
207075_at	NLRP3	NLR family, pyrin domain containing 3
213479_at	NPTX2	neuronal pentraxin II
209959_at	NR4A3	nuclear receptor subfamily 4, group A, member 3
210510_s_at	NRP1	neuropilin 1
213273_at	ODZ4	odz, odd Oz/ten-m homolog 4 (Drosophila)
217739_s_at	PBEF1	pre-B-cell colony enhancing factor 1
222317_at	PDE3B	Phosphodiesterase 3B, cGMP-inhibited
204491_at	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
211840_s_at	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
205872_x_at	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)
210305_at	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)
202861_at	PER1	period homolog 1 (Drosophila)
202464_s_at	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
220576_at	PGAP1	GPI deacylase
217996_at	PHLDA1	pleckstrin homology-like domain, family A, member 1
209803_s_at	PHLDA2	pleckstrin homology-like domain, family A, member 2
204297_at	PIK3C3	phosphoinositide-3-kinase, class 3
211924_s_at	PLAUR	plasminogen activator, urokinase receptor /// plasminogen activator, urokinase receptor
222351_at	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform
214617_at	PRF1	perforin 1 (pore forming protein)
204897_at	PTGER4	prostaglandin E receptor 4 (subtype EP4)
204896_s_at	PTGER4	prostaglandin E receptor 4 (subtype EP4)
203029_s_at	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2
212479_s_at	RMND5A	required for meiotic nuclear division 5 homolog A (S.cerevisiae)
207735_at	RNF125	ring finger protein 125
221593_s_at	RPL31	ribosomal protein L31
203186_s_at	S100A4	S100 calcium binding protein A4
209686_at	S100B	S100 calcium binding protein B
203408_s_at	SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)
218793_s_at	SCML1	sex comb on midleg-like 1 (Drosophila)
212268_at	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1
209720_s_at	SERPINB3	serpin peptidase inhibitor, clade B (ovalbumin), member 3
207714_s_at	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
210116_at	SH2D1A	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)
211210_x_at	SH2D1A	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)
207351_s_at	SH2D2A	SH2 domain protein 2A
219519_s_at	SIGLEC1	sialic acid binding Ig-like lectin 1, sialoadhesin
220485_s_at	SIRPG	signal-regulatory protein gamma
205769_at	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2
205768_s_at	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2
202499_s_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
222088_s_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
202498_s_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
202497_x_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
216236_s_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
202088_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
204790_at	SMAD7	SMAD family member 7
215223_s_at	SOD2	superoxide dismutase 2, mitochondrial
210073_at	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
203387_s_at	TBC1D4	TBC1 domain family, member 4
203386_at	TBC1D4	TBC1 domain family, member 4
205255_x_at	TCF7	transcription factor 7 (T-cell specific, HMG-box)
214028_x_at	TDRD3	tudor domain containing 3
220832_at	TLR8	toll-like receptor 8
217875_s_at	TMEPAI	transmembrane, prostate androgen induced RNA
211828_s_at	TNIK	TRAF2 and NCK interacting kinase
204529_s_at	TOX	thymus high mobility group box protein TOX
217394_at		T cell receptor alpha locus
213830_at		T cell receptor alpha locus
216191_s_at		T cell receptor alpha locus
217143_s_at		T cell receptor alpha locus
217147_s_at	TRAT1	T cell receptor associated transmembrane adaptor 1
211144_x_at	TRGC2	T cell receptor gamma constant 2
209813_x_at	TRGC2	T cell receptor gamma constant 2
215806_x_at	TRGC2	T cell receptor gamma constant 2
216920_s_at	TRGC2	T cell receptor gamma constant 2
204141_at	TUBB2A	tubulin, beta 2A
214567_s_at	XCL1	chemokine (C motif) ligand 1
206366_x_at	XCL2	chemokine (C motif) ligand 2
