Probe Set ID	Gene Symbol	Fold Change	Gene Title
201668_x_at	MARCKS	2.846911788	myristoylated alanine-rich protein kinase C substrate
225897_at	MARCKS	2.83046422	myristoylated alanine-rich protein kinase C substrate
221841_s_at	KLF4	2.79598582	Kruppel-like factor 4 (gut)
224650_at	MAL2	2.767841772	mal, T-cell differentiation protein 2
227231_at	KIAA1211	2.753142915	KIAA1211 protein
209122_at	ADFP	2.752380129	adipose differentiation-related protein
220494_s_at	---	2.717647945	---
222701_s_at	CHCHD7	2.67474873	coiled-coil-helix-coiled-coil-helix domain containing 7
226608_at	LOC388272	2.63694205	similar to RIKEN cDNA 4921524J17
201781_s_at	AIP	2.632735009	aryl hydrocarbon receptor interacting protein
238017_at	RDHE2	2.625919483	epidermal retinal dehydrogenase 2
232500_at	C20orf74	2.6102693	chromosome 20 open reading frame 74
205479_s_at	PLAU	2.609837483	plasminogen activator, urokinase
225525_at	CTA-221G9.4 /// LOC100131004	2.608844985	KIAA1671 protein /// hypothetical protein LOC100131004
212867_at	---	2.597500931	CDNA clone IMAGE:5314178
219126_at	PHF10	2.578717758	PHD finger protein 10
1568609_s_at	FAM91A2 /// FLJ39739	2.576694128	family with sequence similarity 91, member A2 /// hypothetical FLJ39739
222654_at	IMPAD1	2.565029697	inositol monophosphatase domain containing 1
222361_at	LOC643224	2.537061959	similar to tubulin, beta 8
202626_s_at	LYN	2.53539855	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
209850_s_at	CDC42EP2	2.528142332	CDC42 effector protein (Rho GTPase binding) 2
226212_s_at	INSR	2.526309773	insulin receptor
235177_at	FAM119A	2.507866532	family with sequence similarity 119, member A
222685_at	FAM29A	2.490707004	family with sequence similarity 29, member A
219745_at	TMEM180	2.488749768	transmembrane protein 180
225762_x_at	LOC284801	2.484121156	hypothetical protein LOC284801
222714_s_at	LACTB2	2.483726413	lactamase, beta 2
208732_at	RAB2A	2.481881563	RAB2A, member RAS oncogene family
1555241_at	C8orf59	2.473221136	chromosome 8 open reading frame 59
220239_at	KLHL7	2.471121077	kelch-like 7 (Drosophila)
212675_s_at	CEP68	2.460024721	centrosomal protein 68kDa
225864_at	FAM84B	2.456008872	family with sequence similarity 84, member B
227506_at	SLC16A9	2.449235204	solute carrier family 16, member 9 (monocarboxylic acid transporter 9)
1553219_a_at	AMMECR1	2.445059357	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
219388_at	GRHL2	2.4448606	grainyhead-like 2 (Drosophila)
202289_s_at	TACC2	2.444651895	transforming, acidic coiled-coil containing protein 2
219162_s_at	MRPL11	2.411136439	mitochondrial ribosomal protein L11
226123_at	CHD7	2.405233164	chromodomain helicase DNA binding protein 7
204976_s_at	AMMECR1	2.400693161	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
230361_at	KIAA1833	2.374754588	hypothetical protein KIAA1833
210754_s_at	LYN	2.364452147	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
214721_x_at	CDC42EP4	2.353230867	CDC42 effector protein (Rho GTPase binding) 4
229160_at	MUM1L1	2.351719599	melanoma associated antigen (mutated) 1-like 1
221827_at	RBCK1	2.340002718	RanBP-type and C3HC4-type zinc finger containing 1
227783_at	CCDC57	2.326752293	coiled-coil domain containing 57
208884_s_at	UBR5	2.309154036	ubiquitin protein ligase E3 component n-recognin 5
205173_x_at	CD58	2.29618007	CD58 molecule
217959_s_at	TRAPPC4	2.289289035	trafficking protein particle complex 4
213568_at	OSR2	2.288811448	odd-skipped related 2 (Drosophila)
226213_at	ERBB3	2.283412893	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
222592_s_at	ACSL5	2.263089869	acyl-CoA synthetase long-chain family member 5
208734_x_at	RAB2A	2.253204328	RAB2A, member RAS oncogene family
227765_at	---	2.249059646	CDNA clone IMAGE:4820809
218035_s_at	RBM47	2.246266831	RNA binding motif protein 47
203646_at	FDX1	2.239811928	ferredoxin 1
219936_s_at	GPR87	2.232596338	G protein-coupled receptor 87
229874_x_at	---	2.230972025	CDNA clone IMAGE:3960708
227607_at	STAMBPL1	2.226192577	STAM binding protein-like 1
223971_at	OR2A20P /// OR2A5 /// OR2A9P	2.222645246	olfactory receptor, family 2, subfamily A, member 5 /// olfactory receptor, family 2, subfamily A, member 20 pseudogene /// olfactory receptor, family 2, subfamily A, member 9 pseudogene
218264_at	BCCIP	2.217256715	BRCA2 and CDKN1A interacting protein
206451_at	TBCCD1	2.214687472	TBCC domain containing 1
216012_at	---	2.192909311	Unidentified mRNA, partial sequence
225846_at	RBM35A	2.180487108	RNA binding motif protein 35A
203560_at	GGH	2.180418141	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
202625_at	LYN	2.17349474	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
242939_at	TFDP1	2.169698564	transcription factor Dp-1
208735_s_at	CTDSP2	2.168741486	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
224916_at	TMEM173	2.160358144	transmembrane protein 173
219215_s_at	SLC39A4	2.15347471	solute carrier family 39 (zinc transporter), member 4
213698_at	LOC100130633 /// ZMYM6	2.151860487	zinc finger, MYM-type 6 /// similar to ZMYM6 protein
206571_s_at	MAP4K4	2.150650588	mitogen-activated protein kinase kinase kinase kinase 4
202723_s_at	FOXO1	2.149243208	forkhead box O1
218888_s_at	NETO2	2.14628546	neuropilin (NRP) and tolloid (TLL)-like 2
224743_at	IMPAD1	2.131362631	inositol monophosphatase domain containing 1
235205_at	LOC100128259 /// LOC346887	2.131242474	similar to solute carrier family 16 (monocarboxylic acid transporters), member 14 /// hypothetical protein LOC100128259
219831_at	CDKL3	2.123316006	cyclin-dependent kinase-like 3
223278_at	GJB2	2.123210901	gap junction protein, beta 2, 26kDa
218764_at	PRKCH	2.117403229	protein kinase C, eta
227786_at	MED30	2.11736509	mediator complex subunit 30
218903_s_at	OBFC2B	2.113171683	oligonucleotide/oligosaccharide-binding fold containing 2B
222001_x_at	FAM91A2	2.108892811	family with sequence similarity 91, member A2
221539_at	EIF4EBP1	2.103454634	eukaryotic translation initiation factor 4E binding protein 1
218642_s_at	CHCHD7	2.096767374	coiled-coil-helix-coiled-coil-helix domain containing 7
222774_s_at	NETO2	2.096537444	neuropilin (NRP) and tolloid (TLL)-like 2
216942_s_at	CD58	2.096078873	CD58 molecule
222998_at	MAF1	2.094838167	MAF1 homolog (S. cerevisiae)
204464_s_at	EDNRA	2.094766359	endothelin receptor type A
223013_at	TBL1XR1	2.087244225	transducin (beta)-like 1 X-linked receptor 1
228717_at	---	2.069262713	Transcribed locus
223110_at	KIAA1429	2.06627165	KIAA1429
235509_at	C8orf38	2.060743285	chromosome 8 open reading frame 38
226420_at	EVI1	2.057592944	ecotropic viral integration site 1
216275_at	BUB1	2.05700675	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
1558101_at	---	2.051056582	Full length insert cDNA clone ZD69D05 /// CDNA FLJ39164 fis, clone OCBBF2002656
218516_s_at	IMPAD1	2.045089964	inositol monophosphatase domain containing 1
204679_at	KCNK1	2.03910165	potassium channel, subfamily K, member 1
226806_s_at	---	2.037750136	Transcribed locus
226269_at	GDAP1	2.034575648	ganglioside-induced differentiation-associated protein 1
202300_at	HBXIP	2.031980657	hepatitis B virus x interacting protein
218701_at	LACTB2	2.031738362	lactamase, beta 2
225269_s_at	C2orf12	2.024187777	chromosome 2 open reading frame 12
208731_at	RAB2A	2.023192278	RAB2A, member RAS oncogene family
221566_s_at	NOL3	2.022407756	nucleolar protein 3 (apoptosis repressor with CARD domain)
205428_s_at	CALB2	2.02068941	calbindin 2, 29kDa (calretinin)
227787_s_at	MED30	2.014107327	mediator complex subunit 30
235466_s_at	DISP1	2.010865187	Dispatched homolog 1 (Drosophila)
222668_at	KCTD15	2.002979428	potassium channel tetramerisation domain containing 15
218829_s_at	CHD7	2.001674689	chromodomain helicase DNA binding protein 7
224817_at	SH3PXD2A	2.000185437	SH3 and PX domains 2A
216322_at	CD58	1.997804006	CD58 molecule
219412_at	RAB38	1.989601261	RAB38, member RAS oncogene family
205542_at	STEAP1	1.988847474	six transmembrane epithelial antigen of the prostate 1
204653_at	TFAP2A	1.986211947	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
209205_s_at	LMO4	1.986071226	LIM domain only 4
226559_at	IER5L	1.983732221	immediate early response 5-like
224744_at	IMPAD1	1.981609946	inositol monophosphatase domain containing 1
214157_at	GNAS	1.979914229	GNAS complex locus
217707_x_at	SMARCA2	1.978741012	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
238545_at	BRD7	1.976568719	Bromodomain containing 7
224976_at	NFIA	1.976386478	nuclear factor I/A
222699_s_at	PLEKHF2	1.972763389	pleckstrin homology domain containing, family F (with FYVE domain) member 2
229801_at	C10orf47	1.9661564	chromosome 10 open reading frame 47
238005_s_at	SIN3A	1.955199103	SIN3 homolog A, transcription regulator (yeast)
223599_at	TRIM6	1.954541852	tripartite motif-containing 6
238576_at	---	1.947771895	Homo sapiens, clone IMAGE:4414697, mRNA
235207_at	---	1.947066971	Transcribed locus
223165_s_at	IHPK2	1.938563353	inositol hexaphosphate kinase 2
214240_at	GAL	1.937130443	galanin prepropeptide
226165_at	C8orf59	1.934339398	chromosome 8 open reading frame 59
213309_at	PLCL2	1.929997527	phospholipase C-like 2
226857_at	ARHGEF19	1.924845508	Rho guanine nucleotide exchange factor (GEF) 19
219382_at	SERTAD3	1.917450357	SERTA domain containing 3
228284_at	TLE1	1.912819323	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
223290_at	PDXP	1.91149927	pyridoxal (pyridoxine, vitamin B6) phosphatase
211744_s_at	CD58	1.910641761	CD58 molecule
203564_at	FANCG /// VCP	1.90959653	Fanconi anemia, complementation group G /// valosin-containing protein
223358_s_at	---	1.908663799	CDNA FLJ33024 fis, clone THYMU1000532, moderately similar to HIGH-AFFINITY CAMP-SPECIFIC 3,5-CYCLIC PHOSPHODIESTERASE (EC 3.1.4.17)
206302_s_at	NUDT4 /// NUDT4P1	1.896146904	nudix (nucleoside diphosphate linked moiety X)-type motif 4 /// nudix (nucleoside diphosphate linked moiety X)-type motif 4 pseudogene 1
213943_at	TWIST1	1.89198337	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)
218049_s_at	MRPL13	1.888508041	mitochondrial ribosomal protein L13
227379_at	MBOAT1	1.887259909	membrane bound O-acyltransferase domain containing 1
226271_at	GDAP1	1.886084406	ganglioside-induced differentiation-associated protein 1
213435_at	SATB2	1.879596669	SATB homeobox 2
221606_s_at	NSBP1	1.875317041	nucleosomal binding protein 1
218078_s_at	ZDHHC3	1.872925889	zinc finger, DHHC-type containing 3
209454_s_at	TEAD3	1.872238669	TEA domain family member 3
219819_s_at	MRPS28	1.869612953	mitochondrial ribosomal protein S28
209545_s_at	RIPK2	1.868995018	receptor-interacting serine-threonine kinase 2
231769_at	FBXO6	1.868721566	F-box protein 6
225362_at	FAM122B	1.868204212	family with sequence similarity 122B
222634_s_at	TBL1XR1	1.864295149	transducin (beta)-like 1 X-linked receptor 1
219231_at	TGS1	1.863784185	trimethylguanosine synthase homolog (S. cerevisiae)
218482_at	ENY2	1.862433041	enhancer of yellow 2 homolog (Drosophila)
225792_at	HOOK1	1.8570075	hook homolog 1 (Drosophila)
212543_at	AIM1	1.852214841	absent in melanoma 1
206847_s_at	HOXA7	1.851903383	homeobox A7
240037_at	KIAA1754L	1.850972345	KIAA1754-like
221864_at	ORAI3	1.850179023	ORAI calcium release-activated calcium modulator 3
242037_at	ASPH	1.8473692	Aspartate beta-hydroxylase
204254_s_at	VDR	1.844091825	vitamin D (1,25- dihydroxyvitamin D3) receptor
203373_at	SOCS2	1.843325284	suppressor of cytokine signaling 2
225935_at	---	1.841094687	CDNA clone IMAGE:4816860
203584_at	TTC35	1.841076278	tetratricopeptide repeat domain 35
229886_at	C5orf34	1.837482538	chromosome 5 open reading frame 34
203149_at	PVRL2	1.837174279	poliovirus receptor-related 2 (herpesvirus entry mediator B)
209066_x_at	UQCRB	1.827271784	ubiquinol-cytochrome c reductase binding protein
229498_at	---	1.818738981	Transcribed locus
217191_x_at	---	1.815754419	---
214061_at	WDR67	1.813993847	WD repeat domain 67
242356_at	VTI1A	1.8057869	Vesicle transport through interaction with t-SNAREs homolog 1A (yeast)
200958_s_at	SDCBP	1.798430762	syndecan binding protein (syntenin)
230782_at	SORD	1.795653613	sorbitol dehydrogenase
202638_s_at	ICAM1	1.795082955	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
222155_s_at	GPR172A	1.79116181	G protein-coupled receptor 172A
208883_at	UBR5	1.790623068	ubiquitin protein ligase E3 component n-recognin 5
232202_at	---	1.785024128	CDNA: FLJ21274 fis, clone COL01781
228357_at	UNK	1.783222945	unkempt homolog (Drosophila)
209868_s_at	RBMS1	1.783123687	RNA binding motif, single stranded interacting protein 1
226817_at	DSC2	1.782690187	desmocollin 2
218151_x_at	GPR172A	1.778244769	G protein-coupled receptor 172A
212090_at	GRINA	1.776498752	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)
223383_at	ZNRF1	1.774955513	zinc and ring finger 1
221428_s_at	TBL1XR1	1.772089575	transducin (beta)-like 1 X-linked receptor 1
212619_at	TMEM194	1.77093852	transmembrane protein 194
229885_at	---	1.769017615	Transcribed locus
201782_s_at	AIP	1.766396295	aryl hydrocarbon receptor interacting protein
221925_s_at	CSPP1	1.765095406	centrosome and spindle pole associated protein 1
209409_at	GRB10	1.763512277	growth factor receptor-bound protein 10
225959_s_at	ZNRF1	1.752680094	zinc and ring finger 1
219959_at	MOCOS	1.751972009	molybdenum cofactor sulfurase
227936_at	TMEM68	1.750043566	transmembrane protein 68
203372_s_at	SOCS2	1.745792022	suppressor of cytokine signaling 2
209267_s_at	SLC39A8	1.738622403	solute carrier family 39 (zinc transporter), member 8
207686_s_at	CASP8	1.738498015	caspase 8, apoptosis-related cysteine peptidase
218059_at	ZNF706	1.737524452	zinc finger protein 706
230574_at	LOC100130938	1.737180349	hypothetical protein LOC100130938
210215_at	TFR2	1.734642865	transferrin receptor 2
201287_s_at	SDC1	1.730130967	syndecan 1
204301_at	KBTBD11	1.727758741	kelch repeat and BTB (POZ) domain containing 11
210006_at	ABHD14A	1.727704804	abhydrolase domain containing 14A
222633_at	TBL1XR1	1.727419423	transducin (beta)-like 1 X-linked receptor 1
203304_at	BAMBI	1.725567873	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
222896_at	TMEM38A	1.722234375	transmembrane protein 38A
1559007_s_at	---	1.712631803	CDNA clone IMAGE:4304686
219648_at	MREG	1.709256887	melanoregulin
202553_s_at	SYF2	1.706443166	SYF2 homolog, RNA splicing factor (S. cerevisiae)
225802_at	TOP1MT	1.705103688	topoisomerase (DNA) I, mitochondrial
200896_x_at	HDGF	1.701538814	hepatoma-derived growth factor (high-mobility group protein 1-like)
218700_s_at	RAB7L1	1.701411708	RAB7, member RAS oncogene family-like 1
219299_at	TRMT12	1.69897436	tRNA methyltransferase 12 homolog (S. cerevisiae)
226073_at	LOC219854	1.698610192	hypothetical protein LOC219854
203748_x_at	RBMS1	1.698326141	RNA binding motif, single stranded interacting protein 1
214239_x_at	PCGF2	1.697859112	polycomb group ring finger 2
1554053_at	SPTLC1	1.697731613	serine palmitoyltransferase, long chain base subunit 1
227356_at	---	1.691284905	CDNA: FLJ22198 fis, clone HRC01218
228466_at	---	1.686661132	Clone IMAGE:111714 mRNA sequence
213667_at	SRCAP	1.676523746	Snf2-related CREBBP activator protein
233472_at	TCP11L1	1.675779154	t-complex 11 (mouse)-like 1
210372_s_at	TPD52L1	1.671092874	tumor protein D52-like 1
202973_x_at	FAM13A1	1.64966332	family with sequence similarity 13, member A1
59437_at	C9orf116	1.648077498	chromosome 9 open reading frame 116
220225_at	IRX4	1.647930602	iroquois homeobox 4
218197_s_at	OXR1	1.645892906	oxidation resistance 1
226651_at	HOMER1	1.645710301	homer homolog 1 (Drosophila)
1559006_at	---	1.644430042	CDNA clone IMAGE:4304686
213373_s_at	CASP8	1.638045571	caspase 8, apoptosis-related cysteine peptidase
226969_at	MTR	1.636761699	5-methyltetrahydrofolate-homocysteine methyltransferase
201487_at	CTSC	1.633059521	cathepsin C
205761_s_at	DUS4L	1.62843029	dihydrouridine synthase 4-like (S. cerevisiae)
225974_at	TMEM64	1.62504887	transmembrane protein 64
224002_s_at	FKBP7	1.623410654	FK506 binding protein 7
209679_s_at	LOC57228	1.617305555	small trans-membrane and glycosylated protein
239435_x_at	SHROOM1	1.615415849	shroom family member 1
203037_s_at	MTSS1	1.613640842	metastasis suppressor 1
1568597_at	LOC646762	1.611464508	hypothetical protein LOC646762
236016_at	---	1.608576477	CDNA FLJ38419 fis, clone FEBRA2009846
205855_at	ZNF197	1.598465992	zinc finger protein 197
204168_at	MGST2	1.596464633	microsomal glutathione S-transferase 2
221656_s_at	ARHGEF10L	1.58867745	Rho guanine nucleotide exchange factor (GEF) 10-like
213793_s_at	HOMER1	1.587321678	homer homolog 1 (Drosophila)
226611_s_at	PRR6	1.583295784	proline rich 6
222653_at	PNPO	1.582840064	pyridoxamine 5-phosphate oxidase
229375_at	---	1.573711767	Transcribed locus, moderately similar to XP_001113639.1 PREDICTED: hypothetical protein [Macaca mulatta]
229396_at	OVOL1	1.572739839	ovo-like 1(Drosophila)
226187_at	---	1.562400319	CDNA: FLJ23044 fis, clone LNG02454
242304_at	WIBG	1.551923804	within bgcn homolog (Drosophila)
223062_s_at	PSAT1	1.539868552	phosphoserine aminotransferase 1
38918_at	SOX13	1.531385046	SRY (sex determining region Y)-box 13
227982_at	SEPSECS	1.530107174	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
219702_at	PLAC1	1.523306546	placenta-specific 1
203871_at	SENP3	0.670845968	SUMO1/sentrin/SMT3 specific peptidase 3
207480_s_at	MEIS2	0.64903805	Meis homeobox 2
219336_s_at	ASCC1	0.646530531	activating signal cointegrator 1 complex subunit 1
1554627_a_at	ASCC1	0.644820542	activating signal cointegrator 1 complex subunit 1
210046_s_at	IDH2	0.636978361	isocitrate dehydrogenase 2 (NADP+), mitochondrial
1552263_at	MAPK1	0.632226238	mitogen-activated protein kinase 1
218961_s_at	PNKP	0.628387832	polynucleotide kinase 3-phosphatase
1554242_a_at	COCH	0.62223236	coagulation factor C homolog, cochlin (Limulus polyphemus)
225062_at	LOC100132181 /// LOC389831	0.622048397	hypothetical gene supported by AL713796 /// hypothetical protein LOC100132181
204670_x_at	hCG_1998957 /// HLA-DQB1 /// HLA-DQB2 /// HLA-DRB1 /// HLA-DRB2 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100133484 /// LOC100133583 /// LOC100133661 /// LOC100133811 /// LOC730415 /// RNASE2 /// ZNF749	0.62108273	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 2 /// major histocompatibility complex, class II, DR beta 1 /// major histocompatibility complex, class II, DR beta 2 (pseudogene) /// major histocompatibility complex, class II, DR beta 3 /// major histocompatibility complex, class II, DR beta 4 /// major histocompatibility complex, class II, DR beta 5 /// ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) /// zinc finger protein 749 /// hypothetical protein LOC730415 /// similar to Major histocompatibility complex, class II, DR beta 4 /// similar to major histocompatibility complex, class II, DQ beta 1 /// similar to HLA class II histocompatibility antigen, DR-W53 beta chain /// similar to hCG1992647
218953_s_at	PCYOX1L	0.617832281	prenylcysteine oxidase 1 like
231955_s_at	HIBADH	0.612690295	3-hydroxyisobutyrate dehydrogenase
204017_at	KDELR3	0.605957496	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
228124_at	ABHD12	0.604694851	abhydrolase domain containing 12
203510_at	MET	0.603322175	met proto-oncogene (hepatocyte growth factor receptor)
217564_s_at	CPS1	0.603120002	carbamoyl-phosphate synthetase 1, mitochondrial
221958_s_at	GPR177	0.592053033	G protein-coupled receptor 177
225872_at	SLC35F5	0.584973446	solute carrier family 35, member F5
204584_at	L1CAM	0.584016684	L1 cell adhesion molecule
200068_s_at	CANX	0.583905083	calnexin
221213_s_at	ZNF280D	0.582774378	zinc finger protein 280D
238437_at	ZNF805	0.579850249	zinc finger protein 805
205942_s_at	ACSM3	0.57969673	acyl-CoA synthetase medium-chain family member 3
205790_at	SKAP1	0.579427021	src kinase associated phosphoprotein 1
200982_s_at	ANXA6	0.579335179	annexin A6
225173_at	ARHGAP18	0.577521677	Rho GTPase activating protein 18
235388_at	CHD9	0.576995489	chromodomain helicase DNA binding protein 9
222763_s_at	WDR33	0.575521451	WD repeat domain 33
229153_at	SLC7A6OS	0.573961207	solute carrier family 7, member 6 opposite strand
227599_at	C3orf59	0.573843358	chromosome 3 open reading frame 59
36553_at	ASMTL	0.573569815	acetylserotonin O-methyltransferase-like
217920_at	MAN1A2	0.572771459	mannosidase, alpha, class 1A, member 2
203840_at	BLZF1	0.570806396	basic leucine zipper nuclear factor 1 (JEM-1)
227123_at	RAB3B	0.569855939	RAB3B, member RAS oncogene family
235457_at	MAML2	0.568051188	mastermind-like 2 (Drosophila)
219484_at	HCFC2	0.567337208	host cell factor C2
213093_at	PRKCA	0.56623559	protein kinase C, alpha
203746_s_at	HCCS	0.565889408	holocytochrome c synthase (cytochrome c heme-lyase)
203569_s_at	OFD1	0.564379589	oral-facial-digital syndrome 1
209087_x_at	MCAM	0.564132876	melanoma cell adhesion molecule
205932_s_at	MSX1	0.563389099	msh homeobox 1
202083_s_at	SEC14L1	0.563006361	SEC14-like 1 (S. cerevisiae)
221510_s_at	GLS	0.562872092	glutaminase
214040_s_at	GSN	0.5624596	gelsolin (amyloidosis, Finnish type)
