HGNC	EnsEMBL ID	Description	Fold Difference	P-value	Corrected p-value
LILRB1	ENSG00000104972	Leukocyte immunoglobulin-like receptor subfamily B member 1 precursor (Leukocyte immunoglobulin-like receptor 1) (LIR-1) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD85j antigen).	4.7	1.1E-10	2.2E-05
LILRB1	ENSG00000074842	Uncharacterized protein C19orf10 precursor (Stromal cell-derived growth factor SF20) (Interleukin-25) (IL-25).	1.7	1.1E-10	3.2E-05
CCR1	ENSG00000163823	C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (HM145) (LD78 receptor) (CD191 antigen).	10.4	1.2E-10	2.2E-05
MLSTD1	ENSG00000064763	male sterility domain containing 1	4.4	1.2E-10	3.2E-05
CREG1	ENSG00000143162	CREG1 protein precursor (Cellular repressor of E1A-stimulated genes 1).	3.6	1.3E-10	3.2E-05
ZNF438	ENSG00000183621	ZNF438 transcript variant 3	4.1	1.3E-10	3.2E-05
SERPINA1	ENSG00000197249	Alpha-1-antitrypsin precursor (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase).	7.1	1.5E-10	3.2E-05
LAP3	ENSG00000002549	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (Leucyl aminopeptidase) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase) (Peptidase S).	2.7	1.5E-10	3.2E-05
MXD1	ENSG00000059728	MAD protein (MAX dimerizer) (MAX dimerization protein 1).	3.8	1.5E-10	3.2E-05
PYCARD	ENSG00000103490	Apoptosis-associated speck-like protein containing a CARD (hASC) (PYD and CARD domain containing protein) (Target of methylation-induced silencing 1) (Caspase recruitment domain protein 5).	2.4	1.5E-10	3.2E-05
EPB41L3	ENSG00000082397	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1).	5.0	1.6E-10	3.2E-05
STAT1	ENSG00000115415	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84).	1.6	1.6E-10	3.2E-05
ALDH1A1	ENSG00000165092	Retinal dehydrogenase 1 (EC 1.2.1.36) (RalDH1) (RALDH 1) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (ALHDII) (ALDH-E1).	6.6	1.9E-10	3.2E-05
ARRB1	ENSG00000137486	Beta-arrestin-1 (Arrestin, beta 1).	9.2	2.0E-10	3.2E-05
ICAM1	ENSG00000090339	Intercellular adhesion molecule 1 precursor (ICAM-1) (Major group rhinovirus receptor) (CD54 antigen).	4.8	2.2E-10	3.2E-05
SLC7A7	ENSG00000155465	Y+L amino acid transporter 1 (y(+)L-type amino acid transporter 1) (y+LAT-1) (Y+LAT1) (Monocyte amino acid permease 2) (MOP-2).	5.1	2.2E-10	3.2E-05
SNX10	ENSG00000086300	Sorting nexin-10.	9.3	2.2E-10	3.2E-05
MOSPD2	ENSG00000130150	Motile sperm domain-containing protein 2.	2.0	2.3E-10	3.2E-05
IDH1	ENSG00000138413	Isocitrate dehydrogenase [NADP] cytoplasmic (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (Oxalosuccinate decarboxylase) (IDH) (NADP(+)-specific ICDH) (IDP).	3.4	2.4E-10	3.2E-05
SECTM1	ENSG00000141574	Secreted and transmembrane protein 1 precursor (Protein K12).	9.8	2.4E-10	2.2E-05
FOSL2	ENSG00000075426	Fos-related antigen 2.	4.7	2.4E-10	2.2E-05
BST1	ENSG00000109743	ADP-ribosyl cyclase 2 precursor (EC 3.2.2.5) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (Bone marrow stromal antigen 1) (BST-1) (CD157 antigen).	6.0	2.7E-10	3.2E-05
GYG1	ENSG00000163754	Glycogenin-1 (EC 2.4.1.186).	2.3	2.7E-10	3.2E-05
MSRB2	ENSG00000148450	Methionine-R-sulfoxide reductase B2 (EC 1.8.4.-).	2.8	2.8E-10	3.2E-05
CPNE8	ENSG00000139117	Copine-8 (Copine VIII).	3.5	2.8E-10	3.2E-05
NA	ENSG00000176778	NA	1.9	3.2E-10	3.2E-05
PRDX1	ENSG00000117450	Peroxiredoxin-1 (EC 1.11.1.15) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Proliferation-associated protein PAG) (Natural killer cell-enhancing factor A) (NKEF-A).	2.3	3.8E-10	3.2E-05
C14orf58	ENSG00000119686	Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT).	5.2	3.9E-10	3.2E-05
NPL	ENSG00000135838	N-acetylneuraminate pyruvate lyase	4.2	4.0E-10	3.2E-05
CD14	ENSG00000170458	Monocyte differentiation antigen CD14 precursor (Myeloid cell-specific leucine-rich glycoprotein) [Contains: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form].	9.2	4.0E-10	2.2E-05
APOL6	ENSG00000170420	Apolipoprotein-L6 (Apolipoprotein L-VI) (ApoL-VI).	3.3	4.1E-10	2.2E-05
PLSCR1	ENSG00000188313	Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (MmTRA1b).	2.5	4.3E-10	3.2E-05
RILP	ENSG00000167705	Rab-interacting lysosomal protein.	2.9	4.4E-10	3.2E-05
VAMP8	ENSG00000118640	Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB).	1.8	4.5E-10	3.2E-05
S100A8	ENSG00000143546	Protein S100-A8 (S100 calcium-binding protein A8) (Calgranulin-A) (Migration inhibitory factor-related protein 8) (MRP-8) (Cystic fibrosis antigen) (CFAG) (P8) (Leukocyte L1 complex light chain) (Calprotectin L1L subunit) (Urinary stone protein band A).	40.4	4.6E-10	2.2E-05
PLXDC2	ENSG00000120594	Plexin domain-containing protein 2 precursor (Tumor endothelial marker 7-related protein).	15.9	4.6E-10	1.1E-05
RNF13	ENSG00000082996	RING finger protein 13.	2.5	4.7E-10	3.2E-05
ACP2	ENSG00000134575	Lysosomal acid phosphatase precursor (EC 3.1.3.2) (LAP).	4.1	4.7E-10	4.3E-05
PLD3	ENSG00000105223	phospholipase D3 isoform 1	3.8	4.7E-10	3.2E-05
TIMP2	ENSG00000035862	Metalloproteinase inhibitor 2 precursor (TIMP-2) (Tissue inhibitor of metalloproteinases 2) (CSC-21K).	7.2	4.9E-10	5.4E-05
SGK3	ENSG00000104205	Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like).	2.4	5.0E-10	5.4E-05
SIGLEC9	ENSG00000129450	Sialic acid-binding Ig-like lectin 9 precursor (Siglec-9) (Protein FOAP-9).	14.5	5.3E-10	1.1E-05
B4GALT5	ENSG00000158470	Beta-1,4-galactosyltransferase 5 (EC 2.4.1.-) (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (Beta-1,4-GalT II).	4.4	5.3E-10	2.2E-05
SOD2	ENSG00000112096	Superoxide dismutase [Mn], mitochondrial precursor (EC 1.15.1.1).	5.7	5.4E-10	3.2E-05
FCGR3B	ENSG00000162747	Low affinity immunoglobulin gamma Fc region receptor III-B precursor (IgG Fc receptor III-1) (Fc-gamma RIII-beta) (Fc-gamma RIIIb) (FcRIIIb) (Fc-gamma RIII) (FcRIII) (FcR-10) (CD16b antigen).	25.7	5.5E-10	1.1E-05
LRRC25	ENSG00000175489	Leucine-rich repeat-containing protein 25 precursor (Monocyte and plasmacytoid-activated protein).	15.7	5.5E-10	5.4E-05
LRRC25	ENSG00000052795	CDNA FLJ12906 fis, clone NT2RP2004373.	3.7	5.7E-10	5.4E-05
GNS	ENSG00000135677	N-acetylglucosamine-6-sulfatase precursor (EC 3.1.6.14) (G6S) (Glucosamine-6-sulfatase).	4.5	5.9E-10	3.2E-05
RNPEP	ENSG00000176393	Aminopeptidase B (EC 3.4.11.6) (Ap-B) (Arginyl aminopeptidase) (Arginine aminopeptidase).	2.0	6.0E-10	6.5E-05
CXCL16	ENSG00000161921	Small inducible cytokine B16 precursor (Transmembrane chemokine CXCL16) (SR-PSOX) (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein).	7.9	6.2E-10	3.2E-05
ANKRD22	ENSG00000152766	Ankyrin repeat domain-containing protein 22.	17.4	6.3E-10	6.5E-05
IFI27	ENSG00000165949	Interferon-alpha-induced 11.5 kDa protein (p27) (ISG12(a) protein).	7.9	6.4E-10	3.2E-05
IFIT3	ENSG00000119917	Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (IFIT-4) (Interferon-induced 60 kDa protein) (IFI-60K) (ISG-60) (CIG49) (Retinoic acid-induced gene G protein) (RIG-G).	7.1	7.7E-10	5.4E-05
IFIT3	ENSG00000135124	P2X purinoceptor 4 (ATP receptor) (P2X4) (Purinergic receptor).	2.5	7.7E-10	6.5E-05
MEGF9	ENSG00000106780	Multiple epidermal growth factor-like domains 9 precursor (EGF-like domain-containing protein 5) (Multiple EGF-like domain protein 5).	2.5	7.8E-10	6.5E-05
EFHD2	ENSG00000142634	EF-hand domain-containing protein 2 (Swiprosin-1).	3.1	8.0E-10	6.5E-05
C1orf85	ENSG00000198715	kidney predominant protein NCU-G1	3.2	8.5E-10	3.2E-05
LAMP2	ENSG00000005893	Lysosome-associated membrane glycoprotein 2 precursor (LAMP-2) (CD107b antigen).	3.8	8.6E-10	6.5E-05
CTSB	ENSG00000164733	Cathepsin B precursor (EC 3.4.22.1) (Cathepsin B1) (APP secretase) (APPS) [Contains: Cathepsin B light chain; Cathepsin B heavy chain].	6.1	8.6E-10	2.2E-05
DLL1	ENSG00000198719	Delta-like protein 1 precursor (Drosophila Delta homolog 1) (Delta1) (H-Delta-1).	5.1	8.7E-10	5.4E-05
C2	ENSG00000204364	Complement C2 precursor (EC 3.4.21.43) (C3/C5 convertase) [Contains: Complement C2b fragment; Complement C2a fragment].	10.9	8.8E-10	3.2E-05
HNMT	ENSG00000150540	Histamine N-methyltransferase (EC 2.1.1.8) (HMT).	6.8	1.0E-09	3.2E-05
AYTL1	ENSG00000087253	NA	10.7	1.1E-09	8.7E-05
SLC31A1	ENSG00000136868	High-affinity copper uptake protein 1 (hCTR1) (Copper transporter 1) (Solute carrier family 31 member 1).	8.6	1.1E-09	8.7E-05
CCL8	ENSG00000108700	Small inducible cytokine A8 precursor (CCL8) (Monocyte chemotactic protein 2) (MCP-2) (Monocyte chemoattractant protein 2) (HC14) [Contains: MCP-2(6-76)].	143.5	1.1E-09	6.5E-05
NA	ENSG00000121316	NA	4.3	1.1E-09	6.5E-05
ASAH1	ENSG00000104763	Acid ceramidase precursor (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylsphingosine amidohydrolase) (AC) (Putative 32 kDa heart protein) (PHP32) [Contains: Acid ceramidase subunit alpha; Acid ceramidase subunit beta].	2.0	1.1E-09	3.2E-05
P4HA1	ENSG00000122884	Prolyl 4-hydroxylase alpha-1 subunit precursor (EC 1.14.11.2) (4-PH alpha-1) (Procollagen-proline,2-oxoglutarate-4-dioxygenase alpha-1 subunit).	2.8	1.2E-09	6.5E-05
PSAP	ENSG00000197746	Proactivator polypeptide precursor [Contains: Saposin A (Protein A); Saposin B-Val; Saposin B (Sphingolipid activator protein 1) (SAP-1) (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sulfatide/GM1 activator); Saposin C (Co-beta-glucosidase)	2.2	1.2E-09	8.7E-05
IL18BP	ENSG00000137496	Interleukin-18-binding protein precursor (IL-18BP) (Tadekinig-alfa).	6.4	1.2E-09	3.2E-05
RGL1	ENSG00000143344	Ral guanine nucleotide dissociation stimulator-like 1 (RalGDS-like 1).	4.6	1.3E-09	8.7E-05
DNPEP	ENSG00000123992	Aspartyl aminopeptidase (EC 3.4.11.21).	1.6	1.3E-09	3.2E-05
STX12	ENSG00000117758	Syntaxin-12.	2.2	1.3E-09	5.4E-05
IFNGR2	ENSG00000159128	Interferon-gamma receptor beta chain precursor (Interferon-gamma receptor accessory factor 1) (AF-1) (Interferon-gamma transducer 1).	2.8	1.3E-09	3.2E-05
FPR1	ENSG00000171051	fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor).	6.7	1.4E-09	6.5E-05
DIRC2	ENSG00000138463	disrupted in renal carcinoma 2	3.3	1.4E-09	9.7E-05
S100A11	ENSG00000163191	Protein S100-A11 (S100 calcium-binding protein A11) (Protein S100C) (Calgizzarin) (MLN 70).	3.1	1.4E-09	3.2E-05
LACTB	ENSG00000103642	Serine beta-lactamase-like protein LACTB.	3.2	1.4E-09	8.7E-05
TLR8	ENSG00000101916	Toll-like receptor 8 precursor.	11.5	1.4E-09	3.2E-05
ADIPOR1	ENSG00000159346	Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member I).	1.7	1.5E-09	4.3E-05
CPD	ENSG00000108582	Carboxypeptidase D precursor (EC 3.4.17.22) (Metallocarboxypeptidase D) (gp180).	2.8	1.6E-09	9.7E-05
CD80	ENSG00000121594	T-lymphocyte activation antigen CD80 precursor (Activation B7-1 antigen) (CTLA-4 counter-receptor B7.1) (B7) (BB1).	3.4	1.7E-09	8.7E-05
ALDH3B1	ENSG00000006534	Aldehyde dehydrogenase 3B1 (EC 1.2.1.5) (Aldehyde dehydrogenase 7).	6.1	1.7E-09	9.7E-05
LILRB2	ENSG00000131042	Leukocyte immunoglobulin-like receptor subfamily B member 2 precursor (Leukocyte immunoglobulin-like receptor 2) (LIR-2) (Immunoglobulin-like transcript 4) (ILT-4) (Monocyte/macrophage immunoglobulin-like receptor 10) (MIR-10) (CD85d antigen).	17.4	1.7E-09	3.2E-05
PQLC3	ENSG00000162976	PQ loop repeat-containing protein 3 precursor.	2.1	1.8E-09	6.5E-05
C1QB	ENSG00000173369	Complement C1q subcomponent subunit B precursor.	10.6	2.0E-09	2.2E-05
TNFSF13B	ENSG00000102524	Tumor necrosis factor ligand superfamily member 13B (TNF-and APOL-related leukocyte expressed ligand 1) (TALL-1) (B lymphocyte stimulator) (BLyS) (B cell-activating factor) (BAFF) (Dendritic cell-derived TNF-like molecule) (CD257 antigen)	3.9	2.0E-09	8.7E-05
HK3	ENSG00000160883	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III).	14.7	2.1E-09	3.2E-05
CTSS	ENSG00000163131	Cathepsin S precursor (EC 3.4.22.27).	2.9	2.1E-09	9.7E-05
NA	ENSG00000122597	Putative S100 calcium-binding protein H_NH0456N16.1.	2.7	2.2E-09	3.2E-05
NR1H3	ENSG00000025434	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear orphan receptor LXR-alpha).	3.7	2.2E-09	8.7E-05
SERPING1	ENSG00000149131	Plasma protease C1 inhibitor precursor (C1 Inh) (C1Inh).	5.7	2.2E-09	6.5E-05
NA	ENSG00000120306	putative nuclear protein ORF1-FL49	2.2	2.2E-09	5.4E-05
AKR1A1	ENSG00000117448	Alcohol dehydrogenase [NADP+] (EC 1.1.1.2) (Aldehyde reductase) (Aldo-keto reductase family 1 member A1).	2.3	2.3E-09	9.7E-05
KCNJ10	ENSG00000177807	ATP-sensitive inward rectifier potassium channel 10 (Potassium channel, inwardly rectifying subfamily J member 10) (Inward rectifier K(+) channel Kir1.2) (ATP-dependent inwardly rectifying potassium channel Kir4.1).	14.0	2.4E-09	9.7E-05
AP1S2	ENSG00000182287	AP-1 complex subunit sigma-2 (Adapter-related protein complex 1 sigma-1B subunit) (Sigma-adaptin 1B) (Adaptor protein complex AP-1 sigma-1B subunit) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit)	2.3	2.4E-09	9.7E-05
PFKFB3	ENSG00000170525	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 (6PF-2-K/Fru-2,6-P2ASE brain/placenta-type isozyme) (iPFK-2) (NY-REN-56 antigen) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)].	4.7	2.4E-09	9.7E-05
TLR4	ENSG00000136869	Toll-like receptor 4 precursor (hToll) (CD284 antigen).	4.0	2.5E-09	9.7E-05
MRAS	ENSG00000158186	Ras-related protein M-Ras (Ras-related protein R-Ras3).	3.1	2.5E-09	5.4E-05
CD86	ENSG00000114013	T-lymphocyte activation antigen CD86 precursor (Activation B7-2 antigen) (CTLA-4 counter-receptor B7.2) (B70) (FUN-1) (BU63).	3.8	2.5E-09	9.7E-05
DCTN4	ENSG00000132912	Dynactin subunit 4 (Dynactin subunit p62).	2.0	2.6E-09	9.7E-05
SCPEP1	ENSG00000121064	Retinoid-inducible serine carboxypeptidase precursor (EC 3.4.16.-) (Serine carboxypeptidase 1).	5.1	2.7E-09	9.7E-05
ADM	ENSG00000148926	ADM precursor [Contains: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM-N20) (ProAM N-terminal 20 peptide) (PAMP)].	6.5	2.9E-09	9.7E-05
NA	ENSG00000134470	Interleukin-15 receptor alpha chain precursor (IL-15R-alpha) (IL-15RA).	4.5	3.1E-09	6.5E-05
CD163	ENSG00000177575	Scavenger receptor cysteine-rich type 1 protein M130 precursor (CD163 antigen) (Hemoglobin scavenger receptor) [Contains: Soluble CD163 (sCD163)].	50.5	3.1E-09	2.2E-05
M6PR	ENSG00000003056	Cation-dependent mannose-6-phosphate receptor precursor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46).	1.8	3.2E-09	8.7E-05
COMMD9	ENSG00000110442	COMM domain-containing protein 9.	1.6	3.4E-09	9.7E-05
YIF1B	ENSG00000167645	Yip1 interacting factor homolog B isoform 2	1.9	3.4E-09	9.7E-05
CD300LF	ENSG00000186074	NK inhibitory receptor precursor	5.1	3.5E-09	9.7E-05
INSIG2	ENSG00000125629	insulin induced protein 2	2.4	3.5E-09	3.2E-05
NA	ENSG00000137393	E3 ubiquitin ligase IBRDC2 (EC 6.3.2.-) (IBR domain-containing protein 2) (p53-inducible RING finger protein).	16.6	3.6E-09	9.7E-05
LILRB3	ENSG00000186152	Leukocyte immunoglobulin-like receptor subfamily B member 3 precursor (Leukocyte immunoglobulin-like receptor 3) (LIR-3) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD85a antigen).	4.1	3.6E-09	9.7E-05
C1QA	ENSG00000173372	Complement C1q subcomponent subunit A precursor.	8.3	3.6E-09	2.2E-05
FAM20A	ENSG00000108950	Protein FAM20A precursor.	7.3	3.7E-09	9.7E-05
IL1RN	ENSG00000136689	Interleukin-1 receptor antagonist protein precursor (IL-1ra) (IRAP) (IL1 inhibitor) (IL-1RN) (ICIL-1RA).	67.7	3.7E-09	8.7E-05
GPD2	ENSG00000115159	Glycerol-3-phosphate dehydrogenase, mitochondrial precursor (EC 1.1.99.5) (GPD-M) (GPDH-M) (mtGPD).	4.5	3.9E-09	9.7E-05
MGLL	ENSG00000074416	Monoglyceride lipase (EC 3.1.1.23) (MGL) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like).	7.1	3.9E-09	9.7E-05
FTH1	ENSG00000167996	Ferritin heavy chain (EC 1.16.3.1) (Ferritin H subunit) (Proliferation-inducing gene 15 protein).	4.5	4.0E-09	9.7E-05
CTNNA1	ENSG00000044115	Alpha-1 catenin (Cadherin-associated protein) (Alpha E-catenin) (NY-REN-13 antigen).	2.0	4.1E-09	9.7E-05
CSTB	ENSG00000160213	Cystatin B (Liver thiol proteinase inhibitor) (CPI-B) (Stefin B).	2.4	4.2E-09	9.7E-05
TMBIM1	ENSG00000135926	Transmembrane BAX inhibitor motif-containing protein 1 (RECS1 protein homolog).	2.7	4.3E-09	1.1E-04
NA	ENSG00000101084	Uncharacterized protein C20orf24 (Rab5-interacting protein) (RIP5).	2.1	4.5E-09	9.7E-05
LTBR	ENSG00000111321	Tumor necrosis factor receptor superfamily member 3 precursor (Lymphotoxin-beta receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor C receptor).	4.1	4.5E-09	9.7E-05
