LUID	Gene Names	GenBank Accession Numbers
161020	D530005L17Rik	AV031899
170220	Dmbt1	AV084558
154736	D2Wsu81e	AV052854
157630	2810409K11Rik	AV141231
157482	NA	AV134886
172167	1190002N15Rik	AI839956
159352	Snx5	AV088497
173312	NA	NA
161289	Eif4e	AV033096
171240	1110001A12Rik	AA050211
177852	Xpo4	BG064482
167648	Eif2b1	AV087970
168374	Mtap	AV134248
162544	Mrpl50	AV003408
618899	Tnrc11	M16362
163580	Crbn	AV014709
157204	Bysl	AV113602
171695	2210412D01Rik	AA219823
182489	NA	BG068714
619363	NA	NA
177370	Mat2a	BG064075
161300	Gtf2h1	AV032979
183325	5430439M09Rik	BG069520
191052	NA	BI076851
165368	Tfb2m	AV016554
183069	1110004P21Rik	BG069272
163550	NA	AV014463
190322	Pla2g7	AW556825
151829	D11Ertd707e	AV085530
183290	Ak4	BG069397
178109	Mitc1	BG064694
168554	2810403P18Rik	AV140410
155242	Narg1l	AV056882
153322	1110017C15Rik	AV041306
186947	Pes1	BG072789
170866	Slc19a1	AA116908
187969	Mrpl50	BG073754
160278	Srm	AV095107
186723	Pkd2l2	BG072591
169267	NA	AV299416
152943	Cxxc6	AV104911
155340	Polr2b	AV057704
157142	NA	AV113026
190053	Hnrpdl	BG075448
162833	NA	AV008062
157190	NA	AV113429
172751	NA	NA
618882	Rarg	NM_011244
168932	Ap4m1	AV139629
167896	NA	AV111496
166168	1200008O12Rik	AV024927
188830	Sin3a	AW553200
160726	Cdca8	AV104465
188104	Mtbp	BG073783
177503	Timm44	BG064191
167489	Mrpl37	AV087618
166091	Cspg6	AV024475
160599	1700001E16Rik	AV104054
156037	NA	AV061503
168559	Cct5	AV140269
151558	NA	AV084666
153050	NA	AV108034
160988	C330023F11Rik	AV031872
154582	Bub3	AV051406
168848	NA	NA
157038	Tipin	AV112150
185097	Psat1	BG071189
178404	Psip1	BG064977
157287	NA	AV113959
169459	Cct2	AV001115
168631	Rad51	AV140483
186655	Hnrpa1	BG072533
187562	NA	BG073331
167768	Pcm1	AV109545
189952	Mcm6	BG075357
170240	NA	NA
152174	NA	AV067497
160166	1200009K13Rik	AV095096
160215	Prim1	AV095253
164586	Mrps9	AV083292
160748	C730048E16Rik	AV104435
157118	NA	AV112980
164273	Prim2	AV078228
182548	B230119K15Rik	BG068773
166873	1110030H18Rik	AV030382
172955	NA	NA
160357	Smyd2	AV103058
619409	Trim28	X99644
168881	Timeless	AV123991
188456	Fkbp4	BG074087
163451	Sephs1	AV013217
167922	Fkbp4	AV111500
171421	Nola2	AA165811
165229	Tcof1	AV086574
167708	Gtf3a	AV109312
170353	Psmd4	AV105337
167393	NA	AV087254
167659	Suclg2	AV087975
168898	Snrp116	AV132104
190399	AU020206	BG075730
168913	Pcna	AV139288
157567	Nup205	AV140867
161224	Txn2	AV032789
167331	Mrpl37	AV087163
155714	1810060D16Rik	AV059784
167517	Cnot7	AV087633
168167	NA	AV133857
157749	Ppid	AV161827
179405	Gcn5l2	BG065885
189993	Tfdp1	BG075396
170455	Cct7	AV123114
189643	Ipo11	BG075079
171212	D19Bwg1357e	AA034560
160724	NA	AV104410
169987	Mbd4	AV032932
169909	NA	AV096287
160387	NA	AV103359
162071	Rangap1	AV039467
159988	Cyp4f15	AV094818
153020	Fkbp4	AV108663
154082	NA	AV043571
190504	G22p1	BG075806
168542	1110013G13Rik	AV140290
160532	Exo1	AV103744
183573	2810409H07Rik	BG069761
164621	NA	AV083394
167629	NA	AV087979
153115	Pafah1b1	AV040382
154011	NA	AV043478
169444	Bcap37	AV000513
155025	3830405G04Rik	AV055365
190515	Gnl2	BG075815
180817	Fbxo5	BG067148
168326	Grinl1a	AV134125
154091	Parp1	AV043707
160561	Cct8	AV103838
161535	Sephs1	AV034600
151501	Tbrg4	AV090280
165359	Guk1	AV086967
178707	2410005K20Rik	BG065269
160727	Ak2	AV104528
157027	Atic	AV095517
169670	NA	AV075294
157471	Cdca5	AV114755
168009	Cct7	AV123114
168605	Ppid	AV140507
178274	Shmt1	BG064858
160002	2410002O22Rik	AV094836
154526	NA	AV050987
155907	5730436H21Rik	AV061068
160958	1110032N12Rik	AV031641
157024	NA	AV095547
187405	Wdr18	BG073188
170589	2810013E07Rik	AV116978
169474	Prdx3	AV000909
189387	Prdx3	BG074871
168994	Got1	AV162660
160701	Wdr5	AV104489
163602	NA	AV014920
162223	Ube2i	AV040080
160499	NA	AV103558
169136	Dvl2	AV220633
187476	Rbmxrt	BG073254
157339	NA	NA
160171	Txn2	AV095174
186367	NA	BG072294
151404	NA	AV089748
167787	Mrpl12	AV109629
160619	NA	AV103955
169131	NA	AV310683
183458	2610510H01Rik	BG069651
154374	NA	AV049686
188568	Nup205	BG074187
161465	NA	AV033786
155891	Rbm22	AV061361
170374	Slc24a5	AV122290
151496	Gart	AV090052
168170	NA	AV133777
154956	Snx5	AV054874
165283	NA	AV086777
180597	Hnrpc	BG066948
155244	NA	AV057199
161458	Dbr1	AV033717
160191	Hat1	AV095162
168541	Sfrs3	AV140277
189418	Pes1	BG074902
178989	Nol5	BG065522
168623	Rad51ap1	AV140541
188329	Nudt5	BG073975
189842	Whsc2	BG075255
180838	Exo1	BG067167
164966	Eif4ebp2	AV084534
168206	Ncbp2	AV133970
159881	Tceb2	AV094715
161248	NA	AV032968
157387	Pole2	AV114255
169621	NA	AV140317
165207	NA	AV086394
161441	Gng13	AV033621
160785	NA	AV030717
152047	Sitpec	AV062873
169921	NA	AV064621
154703	NA	AV052594
177909	AI413631	BG064532
190414	Slc29a1	BG075739
160232	Exosc5	AV095060
155779	Tnfsf5ip1	AV060425
172143	Bcap37	AI839582
187056	Pycrl	BG072884
160197	Mrpl15	AV095084
183563	NA	BG069751
167731	NA	AV109317
168744	5033425B17Rik	AV149912
164803	2310005N01Rik	AV084241
166868	Hars2	AV030380
176764	Rpl7l1	BG063571
157802	9830109N13Rik	AV162267
152902	5031425D22Rik	AV104894
184447	Ssfa1	BG070586
187188	Cnbp1	BG073002
159310	Adk	AV088365
157618	NA	AV141173
157152	Rbm28	AV113093
169100	BC068171	AV302433
159714	Ddx21	AV093766
187411	NA	BG073193
169583	NA	AV025391
187891	2410005K20Rik	BG073698
169264	NA	AV299295
154992	Ifrd2	AV055159
180606	NA	BG066957
154889	D19Bwg1357e	AV054491
160104	Mtvr2	AV094934
189532	1300001I01Rik	BG074991
165143	Cct6a	AV086453
173391	NA	NA
160676	Nol5	AV104471
160074	NA	AV094970
168316	Atic	AV134201
154146	NA	AV043932
190412	NA	AW557009
168888	Zfp326	AV128220
154576	BC068171	AV051424
160372	2410005K20Rik	AV103315
169457	Ppib	AV000643
169027	Siat8d	AV168094
161303	A730098D12Rik	AV033085
157961	NA	NA
155866	2310058A11Rik	AV060649
152748	NA	AV093094
168426	Shmt2	AV140111
159654	Prps1	AV093611
619463	Foxc2	AA197445
151754	2310008H09Rik	AV085098
157386	Tfdp1	AV114215
170400	Sfrs3	AV130001
161694	Flt1	AV036388
160181	NA	AV095175
157169	Gspt1	AV113168
152784	NA	AV092486
164493	Prdx6	AV082302
161704	Flt1	AV036625
165278	Ddx3x	AV086535
189339	NA	AW554472
160518	NA	AV103617
166499	NA	AV026420
152760	Asf1a	AV093088
171126	1300001I01Rik	AI893183
157414	NA	AV114396
178189	AU021838	BG064779
152772	NA	AV092215
168026	NA	AV133566
178951	Dhx15	BG065486
169213	NA	AV257618
155285	D13Wsu177e	AV057417
172807	NA	NA
161706	Abcf2	AV036721
167929	NA	AV111532
160620	Ssfa1	AV103971
189099	Abce1	BG074629
160695	Nolc1	AV104366
160919	NA	AV031295
191094	Rnf3	BG076309
164927	2610312E17Rik	AV084416
178522	Ddx21	BG065088
156099	NA	AV072451
176402	Ppat	BG063273
170639	Dhx9	AV148585
163356	NA	AV012663
166462	NA	AV026125
179279	2610009I02Rik	BG065772
154578	Ing5	AV051469
178547	Apob	BG065112
160032	Cct4	AV094893
172984	NA	NA
178806	Seh1l	BG065359
157625	NA	AV141156
167511	NA	AV087655
160554	Ipo11	AV103748
157383	Ddx27	AV114291
189980	Sfrs2ip	BG075383
178416	Ppat	BG064988
178590	Nol5a	BG065155
190084	Bclaf1	BG075475
188069	Gspt1	BG073669
169539	Grpel2	AV004933
190512	2410118I19Rik	BG075812
157014	Ppat	AV095456
183740	2610312E17Rik	BG069922
178973	Xrn2	BG065507
163518	Gcn5l2	AV013980
160460	Eif2s1	AV103507
157481	Nup160	AV134877
161705	Prlpf	AV036690
184849	1700009P03Rik	BG070870
170702	NA	AV038928
152992	2810409H07Rik	AV106484
151757	2310010B21Rik	AV085107
171414	Pole3	AA107218
172863	NA	NA
169135	NA	AV310999
172740	NA	NA
160234	Hormad2	AV095118
177870	Idh3a	BG064498
167974	Exosc7	AV111556
189673	4930562C03Rik	BG075107
183348	Kpna1	BG069543
154434	NA	AV050437
180943	Ak2	BG067269
174088	NA	NA
178675	Phf17	BG065238
183256	Aatf	BG069364
160625	NA	AV104162
160918	Rbm28	AV031442
178176	5430432P15Rik	AW536132
177789	Exosc1	BG064431
151666	Snrpd3	AV084947
171028	NA	AA153319
162955	AU040829	AV009244
152728	NA	NA
172820	NA	NA
176445	D5Wsu178e	BG063307
182280	BC068171	BG068512
153634	Cnbp1	AV042417
178795	Tbl3	BG065349
154801	2310057D15Rik	AV053563
184736	1110007A13Rik	BG070938
154219	2610027L16Rik	AV043856
167842	Bzw2	AV111342
157039	2610009I02Rik	AV112178
163352	Axl	AV012686
178674	Ebna1bp2	BG065237
163585	1110055N21Rik	AV014698
187599	Rif1	BG073367
189610	Mthfd1	BG075053
190220	Eif3s7	BG075588
169982	Nmt2	AV031865
187202	Rbbp7	BG073015
179226	Gfm1	BG065729
154649	1810044O22Rik	AV052233
169857	NA	AV134812
187818	Eif5a	BG073557
169458	NA	AV001194
186192	Orc2l	BG072132
157256	NA	AV113745
167560	NA	AV087864
178370	NA	BG064946
160162	Xab1	AV095172
165808	1200009K13Rik	AV022344
189448	Prpf31	AW554706
168402	0610039J04Rik	AV134237
174014	NA	NA
158001	D19Bwg1357e	AV171658
178736	2610507B11Rik	BG065294
177535	Csda	BG064216
189374	Rfwd3	BG074860
176624	LOC433702	BG063456
168458	Sfrs3	AV140213
171611	Isyna1	AA240582
178086	Ris2	BG064684
179202	Tbl3	BG065707
161169	Orc2l	AV032582
177648	Dhx30	BG064312
178151	B3gnt5	BG064743
152056	Tbrg4	AV065840
167809	Pycr2	AV109577
165237	AU021838	AV086646
190124	BC065123	BG075506
154876	1810029B16Rik	AV053990
188197	Surf5	BG073862
184894	Umpk	BG071001
177640	Cct8	BG064304
177563	Matr3	BG064238
183662	Myohd1	BG069847
160052	Pcnt1	AV095018
179477	2310008H09Rik	BG065944
161806	NA	AV037464
163068	D4Ertd22e	AV010073
157488	Ddx18	AV134827
155595	Hspa14	AV059249
188165	Nup155	BG073833
178411	Cdca7	BG064984
170457	NA	AV133844
157811	Lrpprc	AV162299
183467	Nup160	AU020188
190090	4921532K09Rik	BG075480
167689	Mrps35	AV109326
159754	NA	AV094406
157330	NA	NA
183377	Wbscr16	BG069572
176423	Umps	BG063291
181233	Rg9mtd1	BG067534
178124	Ankrd32	BG064719
163608	Rpe	AV014863
163934	NA	NA
177983	Tomm70a	BG064591
172786	NA	NA
154891	Mrpl13	AV054392
169055	NA	AV174745
159930	Drg1	AV094650
178372	Cul4b	AW536452
166773	NA	AV029865
159833	9130210N20Rik	AV094585
178368	NA	BG064944
155972	Eef1g	AV061681
619169	NA	NA
167588	4930429A22Rik	AV087913
169805	Pmp22	AV113888
172390	Atp5a1	AI841258
171536	Hint1	AA154889
169293	Mtap6	AV327260
167247	Rpl4	AV006339
169936	NA	AV043160
160309	Grcc2f	AV095157
168381	2810004N20Rik	AV134235
169102	Hmmr	AV303523
171513	Kif20a	AA137337
167880	NA	AV111391
168513	Prc1	AV140253
159480	NA	AV088685
170207	Wdr1	AV083123
163740	Arhgap11a	AV016030
166958	Atp5b	AV005996
173976	NA	NA
159569	Park7	AV093535
159905	Bat2	AV094635
157551	NA	AV135781
171171	Cdc20	AA000468
157747	Mrps22	AV161866
186024	Fzr1	BG071981
186006	Ccnb1	BG071965
191204	Glg1	BG076394
168240	NA	AV133898
171120	Irx3	AI893144
165211	2310022K01Rik	AV086686
182889	Kif18a	BG069098
153216	BC066140	AV040876
167705	NA	AV109267
152946	NA	AV105104
173202	NA	NA
182650	Gas2l3	BG068872
177348	Lmnb1	BG064054
157543	Top2a	AV135768
159980	NA	AV094667
186036	Pspc1	BG071993
168782	Dtymk	AV150069
168531	Pmf1	AV140274
169165	Slc4a3	AV222303
619496	Pcna	AA174281
171116	Mrps16	AA097923
172821	NA	NA
183250	C330027C09Rik	BG069358
168379	Ccna2	AV134167
163292	Ctcf	AV012144
169943	Gpx4	AV043384
168895	Smc2l1	AV129445
154038	NA	AV043490
619482	Cdc2a	AA035888
170422	NA	AV132367
168870	NA	NA
173888	NA	NA
183243	Dnajc8	BG069351
166755	Prim1	AV029759
157384	Cdca2	AV114229
174121	NA	NA
157507	2410017P07Rik	AV134847
182534	Tacc3	BG068759
157578	NA	AV140824
170187	Hnrpab	AV074443
168577	NA	AV140515
183910	Ccna2	BG069986
169119	Edn1	AV308021
169344	NA	AV278848
165802	Hist1h2ae	AV022274
180994	Cdca2	C85897
174709	Krt1-5	AA725946
167941	NA	AV111502
156113	NA	NA
168333	C330027C09Rik	AV134180
178488	Cdca2	BG065056
167841	Cdca3	AV111333
157991	Sgol1	AV171691
160011	Hnrpdl	AV094844
169052	Kif3c	AV174800
169886	Il4i1	AV170951
169964	Epor	AV105277
162333	Myo5a	AV000658
169043	Vrk1	AV170681
163614	Pcna	AV014866
176825	Pbk	BG063624
152068	Nasp	AV065605
170407	Apoa2	AV132155
171253	Tnfaip6	AA051341
169927	NA	AV140181
154387	0610009C03Rik	AV049790
154037	NA	AV043417
179335	Nek2	BG065826
165049	Gphn	AV086108
168879	Brca1	AV122496
157836	NA	AV162185
167350	NA	AV087119
168160	Nasp	AV133775
182643	Smc1l1	BG068865
168225	Tk1	AV133919
177775	NA	AW544592
157535	NA	AV135795
169070	NA	AV296439
157816	Kif4	AV162133
168901	NA	AV130619
183497	Ccna2	BG069688
180653	Rpo1-1	BG066998
159606	NA	AV093667
164473	Smc6l1	AV081993
160825	Ppp1r7	AV030643
167543	T2bp	AV087766
169903	Eif2s3y	AV086441
188979	Npm1	BG074521
178694	Dnmt1	BG065257
160454	D14Ertd500e	AV103446
172431	4930542G03Rik	AI841335
177561	Thrap3	BG064236
168383	Rnaseh2a	AV134082
168108	Sf3b2	AV133804
168481	Hspd1	AV140236
161316	Hrmt1l2	AV033259
171156	Pcna	AI327110
152212	NA	AV067941
164438	Tufm	AV082036
174140	NA	NA
160001	Ddx39	AV094835
172312	Snrpb	AI840565
168291	Mtx1	AV134095
172993	NA	NA
168590	Fh1	AV140552
179147	Fkbp4	BG065656
160349	0610010E21Rik	AV103116
158057	Srrm2	AV171757
168207	NA	AV133992
183784	NA	BG070038
154395	Pole3	AV049932
174010	NA	NA
160280	NA	AV095166
163462	Ilf2	AV013517
178340	Ilf3	BG064919
169051	NA	AV174659
183296	Tcof1	BG069403
168945	NA	AV145094
160202	Rpa2	AV095203
159736	Ebpl	AV094562
168248	Cdc45l	AV133910
190393	Sfrs10	BG075725
169951	NA	AV043943
173915	NA	NA
167527	NA	AV087736
168955	Gjb3	AV146670
159864	Actn4	AV094740
160062	Cdca1	AV095019
170729	NA	AV046531
189417	Timeless	BG074901
172066	Ard1	AI841645
159661	Pold2	AV093677
170347	Aes	AV111364
154983	Set	AV054888
170625	Dnmt1	AV144311
152599	NA	AV083277
178137	Hspd1	AW536151
178310	Rnaseh2a	BG064892
176157	Hnrpdl	BG062969
160000	NA	AV094824
169125	Mcm3	AV310994
188644	C86302	BG074247
170419	Rangap1	AV142511
160193	2410015N17Rik	AV095186
152733	NA	NA
184552	NA	BG070688
162153	E130303B06Rik	AV039667
162444	Mcm7	AV002146
164808	1300010K09Rik	AV084074
155321	NA	AV057609
171352	Rfc5	AA142505
159810	Dnclc1	AV094452
156120	NA	AV073399
167994	1200009K13Rik	AV123053
168627	Ube2i	AV140462
169816	Emb	AV095387
167920	Eef1d	AV111466
169498	Sod1	AV002099
160567	Pa2g4	AV103840
160173	Impdh2	AV095201
176357	Ssrp1	BG063233
178654	Smarce1	BG065218
180027	Smarcc1	BG066429
152279	NA	AV066776
183567	Fkbp4	BG069755
167582	Uap1l1	AV087886
152638	Fip1l1	AV071480
187263	NA	BG073067
157828	4933434L15Rik	AV162301
160178	Ccne1	AV095081
168885	NA	NA
162259	BC055915	AV040252
178514	NA	BG065081
160381	1200009K13Rik	AV103242
168927	Fen1	AV143343
173483	NA	NA
168745	Pgls	AV149870
157077	NA	AV112750
163705	Ppil1	AV015645
177511	NA	AW543756
157394	NA	AV114236
187543	Ard1	BG073313
178212	Rangap1	BG064801
167730	2410016F01Rik	AV109297
166646	NA	AV028917
619797	Ppp1r14b	NM_008889
157202	Brd3	AV113547
187945	NA	BG073739
169464	Sod2	AV000846
155365	Dleu2	AV057632
171017	Slc25a5	AA140461
157127	NA	AV112990
155328	Mrpl2	AV057600
153129	Mre11a	AV040476
157971	NA	NA
153453	Snrp70	AV041654
153041	NA	AV108556
185852	Bcl2l10	BG071824
159637	D11Ertd333e	AV093674
151640	Pa2g4	AV085074
167783	NA	AV109614
154469	1810014B01Rik	AV050505
167965	NA	AV111462
157658	NA	AV141370
180214	Csda	BG066680
177610	Nap1l1	BG064278
159887	NA	AV094703
170406	NA	AV130548
160304	Bcap37	AV095261
190753	1110006I15Rik	BG076020
177988	Cct7	BG064595
183859	Pabpc4	BG069939
155001	D4Wsu114e	AV055263
168051	H2-Bf	AV133629
178513	NA	BG065080
188590	1200009K13Rik	BG074203
178377	NA	BG064951
161678	Npm1	AV036516
154985	Chchd3	AV055065
170688	NA	AV167322
163596	Pnn	AV014857
179480	Srrm1	BG065947
177633	NA	AW544184
619487	Ccnf	AA240462
163571	Ris2	AV014543
152213	NA	AV066068
169602	Cirbp	AV133872
152598	NA	AV083069
170219	Synj2	AV083725
191123	Mthfd2	BG076333
167681	Ncl	AV109323
178136	NA	BG064729
168599	Cct3	AV140536
157314	NA	NA
157332	NA	NA
158007	NA	AV171546
168299	Ftsj3	AV134135
161368	2500003M10Rik	AV033503
157553	Pnn	AV135835
152146	NA	AV064193
159908	Rps5	AV094804
173988	NA	NA
165828	Srrm1	AV022716
179947	Usp1	BG066359
157881	Nvl	AV162456
169145	NA	AV220930
159972	NA	AV094666
169049	Ank	AV173541
178135	NA	BG064728
168388	Dnajc8	AV134236
170280	6330412F12Rik	AV094693
190804	Lyar	BG076061
169518	Pa2g4	AV003385
167183	Csk	AV006282
172668	NA	NA
189027	Gmps	BG074564
156052	U2af1	AV072075
168189	Bxdc1	AV133779
166675	Strap	AV029253
184873	Tfrc	BG070981
155208	Sertad3	AV056662
170691	Npm1	AV036516
159251	NA	AV088090
166176	Rbm19	AV024937
168841	NA	AV093149
190737	Rad50	BG076008
173471	NA	NA
153072	NA	AV109692
174321	Smad3	AA672862
169762	NA	AV092823
160199	Fgf17	AV095129
155348	2810452K22Rik	AV057787
164830	Lyar	AV084171
160338	3110006P09Rik	AV103087
155994	Nup35	AV061492
151227	NA	AV081661
159935	Tpm3	AV094779
178231	Pa2g4	BG064819
178355	Ncl	BG064932
165198	Pa2g4	AV086344
169655	Myo1b	AV074897
152951	NA	AV105698
177488	Ncl	BG064177
185722	NA	BG071704
619378	NA	NA
159869	Mrpl1	AV094787
174167	NA	NA
169895	NA	AV039127
172285	NA	AI841020
165265	Klhdc2	AV086697
160127	4930488B04Rik	AV094948
168050	Hnrpc	AV133676
154771	Nap1l1	AV053221
151453	Eif4b	AV089939
170610	NA	AV130661
170410	NA	AV132264
167748	NA	AV109439
169197	NA	AV254466
151470	NA	AV089873
160307	Ccnb1	AV095124
157071	Cenpa	AV112716
168702	C230062I16Rik	AV149988
153044	NA	AV108301
179429	Top2a	BG065905
170478	NA	AV156366
153047	NA	AV109610
168356	NA	AV134165
167942	NA	AV111452
168441	Birc5	AV140165
169071	NA	AV296071
176831	H2afz	BG063630
167928	NA	AV111515
162278	NA	AV040301
159727	NA	AV093777
168842	Hmgb3	AV109089
179238	NA	BG065740
161311	NA	AV033141
157248	Mad2l1	AV113692
169270	Brca2	AV302108
178600	Tmpo	BG065165
159902	NA	AV094817
189267	Hnrpu	BG074779
176720	NA	AW538269
159957	Polr2e	AV094752
170184	Cart	AV073829
153382	Dncl2b	AV041563
151663	Mrpl47	AV085065
619544	Birc5	BG095240
167104	Atp5b	AV006191
178347	Mki67	BG064926
162499	LOC14433	AV003029
168360	Cdc2a	AV134127
190383	Rbbp4	BG075717
163225	Trim37	AV011377
168830	NA	AV083277
169203	Ect2	AV253916
168869	NA	NA
160730	2600017H08Rik	AV104495
169866	H2-Q7	AV141673
168985	Top2a	AV154117
168940	NA	AV145282
155336	NA	AV057686
157150	Prim1	AV113083
168871	Ryk	AV120750
156061	Ahcy	AV072219
176163	1110002B05Rik	BG062974
177989	Smc2l1	BG064596
161563	NA	AV034773
168227	Hnrpa1	AV133972
152736	2310042E22Rik	AV089046
157529	Pcna	AV134997
153046	Hmgb3	AV109089
168965	NA	AV149827
189740	Ahcy	BG075171
170629	NA	AV146139
169274	Mcm5	AV305351
190912	Mtx1	BG076156
155303	NA	AV057314
177556	Ccni	BG064232
169147	Tnfrsf11b	BB568533
170378	Impdh2	AV115610
188469	NA	BG074098
151541	Impdh2	AV084630
153022	Idh3b	AV109376
169944	Map3k12	AV043436
178648	Pold2	BG065212
169045	Hcfc1	AV170557
161066	NA	AV032264
178453	Ranbp5	BG065022
155354	NA	AV057645
159538	NA	AV093420
160667	Paics	AV104209
174004	NA	NA
177297	Ahcy	BG064010
178923	4930438O05Rik	BG065461
173097	NA	NA
177846	Syncrip	BG064476
177464	Orc2l	BG064160
184060	D330037H05Rik	BG070213
157001	NA	AV095391
169362	Pgk1	AV294875
160977	NA	AV031835
160008	Emd	AV094938
190952	NA	BG076192
163884	3110015C05Rik	AV073565
162876	NA	AV008399
170922	Hadhsc	AA122758
157466	NA	AV114669
170275	Adh5	AV094792
168212	Hnrpc	AV133953
183488	Sulf2	BG069680
162715	2700083E18Rik	AV006630
162918	NA	AV008798
167595	NA	AV087915
167856	NA	AV111442
169491	NA	AV002536
173749	NA	NA
163368	Anln	AV012581
168267	NA	AV133914
161330	Atp5b	AV033315
166898	Atp5b	AV005780
167554	Pb1	AV087790
184028	8430423A01Rik	BG070181
157184	Lig1	AV113445
183144	Bub1b	BG069421
152996	NA	AV107409
152905	Zfp192	AV107543
184616	Ilf3	BG070745
153051	Fbxo5	AV108355
170964	Ccnb1	AA154813
181021	Rnf26	BG067336
161976	Asf1b	AV039229
166936	NA	AV005835
167275	NA	AV006369
171039	Cbx5	AA116883
157709	NA	AV141788
177349	Ddx26	BG064055
160219	Ris2	AV095219
157273	Kntc2	AV113917
154537	Parp1	AV051115
176780	Anp32e	BG063586
154622	Sfrs10	AV052025
152335	NA	AV069737
151542	Amy2	AV084614
154850	Muted	AV053797
171018	Mcm4	AA139961
178143	Prdx6	BG064735
189205	Mcm7	BG074721
160123	NA	AV095022
157442	2610034E18Rik	AV114466
167971	NA	AV111598
159923	NA	AV094638
174799	Il10ra	BE847062
161786	NA	AV037319
161027	Lbr	AV031965
172834	NA	NA
167888	Gmps	AV111421
164188	NA	AV077915
152269	Por	AV066159
183281	Sfrs7	BG069388
178804	Pkn2	BG065357
157659	Syncrip	AV141413
178417	NA	BI076477
187190	NA	BG073003
155818	Uqcrc2	AV060469
154923	Uqcrc2	AV054658
166677	Acadl	AV029241
177358	Arid2	BG064063
176736	Hnrpc	BG063550
159788	NA	AV094553
168177	Hnrpm	AV133792
178358	Blmh	AW536428
159285	Hadhb	AV088068
181885	Calmbp1	BG068146
160507	NA	AV103606
186102	Cenpa	BG072056
178215	Ube2c	BG064804
168366	NA	AV134166
167759	NA	AV109443
151277	Ccnb2	AV088868
190445	Cenpe	AW557070
159627	NA	AV093596
160710	NA	AV104349
169649	NA	AV065112
182076	Kif23	BG068324
153795	NA	AV042920
184723	Tacc3	BG070927
163272	Gpr109b	AV011779
168213	Stmn1	AV133993
165576	1190002F15Rik	AV018480
187162	Nusap1	BG072979
182440	Kif23	BG068666
157011	NA	AV095398
170429	NA	AV074848
168391	NA	AV134141
180101	Cdca3	BG066499
152964	Hnrpll	AV106949
189578	Pttg1	BG075028
162376	NA	AV001185
171140	Kif22	AI327056
185952	Ccnb2	BG071915
188896	1700011F14Rik	BG074448
164522	Pttg1	AV082457
185925	Rad21	BG071892
157469	2610036L11Rik	AV114753
168195	3110057O12Rik	AV133981
184061	Pttg1	BG070214
185965	NA	BG071927
187240	NA	BG073047
619230	NA	NA
183763	Cenpa	BG070021
163737	NA	AV015991
