Category	Term	Count in Selected Genes	Count in Total Population	P-value	Gene	Title
GO	tRNA metabolism	7	59	3.3091E-05	4234	methyltransferase like 1
GO	tRNA metabolism	7	59	3.3091E-05	80324	pseudouridylate synthase 1
GO	tRNA metabolism	7	59	3.3091E-05	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	tRNA processing	5	29	7.42175E-05	10785	WD repeat domain 4
GO	tRNA processing	5	29	7.42175E-05	10799	ribonuclease P 40kDa subunit
GO	tRNA processing	5	29	7.42175E-05	4234	methyltransferase like 1
GO	tRNA processing	5	29	7.42175E-05	80324	pseudouridylate synthase 1
GO	tRNA processing	5	29	7.42175E-05	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	cholesterol biosynthesis	4	19	0.000180031	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	cholesterol biosynthesis	4	19	0.000180031	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	cholesterol biosynthesis	4	19	0.000180031	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	cholesterol biosynthesis	4	19	0.000180031	3422	isopentenyl-diphosphate delta isomerase 1
GO	intracellular organelle	80	3825	0.000963792	10105	peptidylprolyl isomerase F (cyclophilin F)
GO	intracellular organelle	80	3825	0.000963792	10439	olfactomedin 1
GO	intracellular organelle	80	3825	0.000963792	10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)
GO	intracellular organelle	80	3825	0.000963792	10514	MYB binding protein (P160) 1a
GO	intracellular organelle	80	3825	0.000963792	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	intracellular organelle	80	3825	0.000963792	10799	ribonuclease P 40kDa subunit
GO	intracellular organelle	80	3825	0.000963792	10915	transcription elongation regulator 1
GO	intracellular organelle	80	3825	0.000963792	11015	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
GO	intracellular organelle	80	3825	0.000963792	11033	centaurin, alpha 1
GO	intracellular organelle	80	3825	0.000963792	1434	CSE1 chromosome segregation 1-like (yeast)
GO	intracellular organelle	80	3825	0.000963792	1465	cysteine and glycine-rich protein 1
GO	intracellular organelle	80	3825	0.000963792	1627	drebrin 1
GO	intracellular organelle	80	3825	0.000963792	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	intracellular organelle	80	3825	0.000963792	1736	dyskeratosis congenita 1, dyskerin
GO	intracellular organelle	80	3825	0.000963792	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	intracellular organelle	80	3825	0.000963792	1876	E2F transcription factor 6
GO	intracellular organelle	80	3825	0.000963792	1959	early growth response 2 (Krox-20 homolog, Drosophila)
GO	intracellular organelle	80	3825	0.000963792	1960	early growth response 3
GO	intracellular organelle	80	3825	0.000963792	204	adenylate kinase 2
GO	intracellular organelle	80	3825	0.000963792	2119	ets variant gene 5 (ets-related molecule)
GO	intracellular organelle	80	3825	0.000963792	2274	four and a half LIM domains 2
GO	intracellular organelle	80	3825	0.000963792	22984	programmed cell death 11
GO	intracellular organelle	80	3825	0.000963792	23076	KIAA0179
GO	intracellular organelle	80	3825	0.000963792	23210	phosphatidylserine receptor
GO	intracellular organelle	80	3825	0.000963792	23212	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
GO	intracellular organelle	80	3825	0.000963792	23404	exosome component 2
GO	intracellular organelle	80	3825	0.000963792	23481	pescadillo homolog 1, containing BRCT domain (zebrafish)
GO	intracellular organelle	80	3825	0.000963792	25888	zinc finger protein 473
GO	intracellular organelle	80	3825	0.000963792	26515	fracture callus 1 homolog (rat)
GO	intracellular organelle	80	3825	0.000963792	29095	ORM1-like 2 (S. cerevisiae)
GO	intracellular organelle	80	3825	0.000963792	29107	NTF2-like export factor 1
GO	intracellular organelle	80	3825	0.000963792	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	intracellular organelle	80	3825	0.000963792	3163	heme oxygenase (decycling) 2
GO	intracellular organelle	80	3825	0.000963792	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
GO	intracellular organelle	80	3825	0.000963792	3422	isopentenyl-diphosphate delta isomerase 1
GO	intracellular organelle	80	3825	0.000963792	3954	leucine zipper-EF-hand containing transmembrane protein 1
GO	intracellular organelle	80	3825	0.000963792	4175	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)
GO	intracellular organelle	80	3825	0.000963792	4487	msh homeo box homolog 1 (Drosophila)
GO	intracellular organelle	80	3825	0.000963792	4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
GO	intracellular organelle	80	3825	0.000963792	4839	nucleolar protein 1, 120kDa
GO	intracellular organelle	80	3825	0.000963792	51042	zinc finger protein 593
GO	intracellular organelle	80	3825	0.000963792	51154	chromosome 1 open reading frame 33
GO	intracellular organelle	80	3825	0.000963792	51373	mitochondrial ribosomal protein S17
GO	intracellular organelle	80	3825	0.000963792	51388	comparative gene identification transcript 37
GO	intracellular organelle	80	3825	0.000963792	51491	hypothetical protein HSPC111
GO	intracellular organelle	80	3825	0.000963792	51651	Bcl-2 inhibitor of transcription
GO	intracellular organelle	80	3825	0.000963792	5411	pinin, desmosome associated protein
GO	intracellular organelle	80	3825	0.000963792	54475	notchless homolog 1 (Drosophila)
GO	intracellular organelle	80	3825	0.000963792	55299	brix domain containing 2
GO	intracellular organelle	80	3825	0.000963792	56342	peter pan homolog (Drosophila)
GO	intracellular organelle	80	3825	0.000963792	59	actin, alpha 2, smooth muscle, aorta
GO	intracellular organelle	80	3825	0.000963792	6059	ATP-binding cassette, sub-family E (OABP), member 1
GO	intracellular organelle	80	3825	0.000963792	6183	mitochondrial ribosomal protein S12
GO	intracellular organelle	80	3825	0.000963792	6307	sterol-C4-methyl oxidase-like
GO	intracellular organelle	80	3825	0.000963792	64318	nucleolar complex associated 3 homolog (S. cerevisiae)
GO	intracellular organelle	80	3825	0.000963792	6432	splicing factor, arginine/serine-rich 7, 35kDa
GO	intracellular organelle	80	3825	0.000963792	65083	nucleolar protein family 6 (RNA-associated)
GO	intracellular organelle	80	3825	0.000963792	6624	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
GO	intracellular organelle	80	3825	0.000963792	6722	serum response factor (c-fos serum response element-binding transcription factor)
GO	intracellular organelle	80	3825	0.000963792	7168	tropomyosin 1 (alpha)
GO	intracellular organelle	80	3825	0.000963792	72	actin, gamma 2, smooth muscle, enteric
GO	intracellular organelle	80	3825	0.000963792	7414	vinculin
GO	intracellular organelle	80	3825	0.000963792	7421	vitamin D (1,25- dihydroxyvitamin D3) receptor
GO	intracellular organelle	80	3825	0.000963792	7851	mal, T-cell differentiation protein-like
GO	intracellular organelle	80	3825	0.000963792	79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
GO	intracellular organelle	80	3825	0.000963792	79954	nucleolar protein 10
GO	intracellular organelle	80	3825	0.000963792	80324	pseudouridylate synthase 1
GO	intracellular organelle	80	3825	0.000963792	81875	interferon stimulated exonuclease gene 20kDa-like 2
GO	intracellular organelle	80	3825	0.000963792	8260	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
GO	intracellular organelle	80	3825	0.000963792	85377	MICAL-like 1
GO	intracellular organelle	80	3825	0.000963792	8555	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
GO	intracellular organelle	80	3825	0.000963792	8880	far upstream element (FUSE) binding protein 1
GO	intracellular organelle	80	3825	0.000963792	896	cyclin D3
GO	intracellular organelle	80	3825	0.000963792	9134	cyclin E2
GO	intracellular organelle	80	3825	0.000963792	9188	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
GO	intracellular organelle	80	3825	0.000963792	9221	nucleolar and coiled-body phosphoprotein 1
GO	intracellular organelle	80	3825	0.000963792	9355	LIM homeobox 2
GO	intracellular organelle	80	3825	0.000963792	9933	KIAA0020
GO	intracellular organelle	80	3825	0.000963792	9948	WD repeat domain 1
GO	intracellular organelle	80	3825	0.000963792	9986	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)
GO	organelle	80	3826	0.00097195	10105	peptidylprolyl isomerase F (cyclophilin F)
GO	organelle	80	3826	0.00097195	10439	olfactomedin 1
GO	organelle	80	3826	0.00097195	10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)
GO	organelle	80	3826	0.00097195	10514	MYB binding protein (P160) 1a
GO	organelle	80	3826	0.00097195	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	organelle	80	3826	0.00097195	10799	ribonuclease P 40kDa subunit
GO	organelle	80	3826	0.00097195	10915	transcription elongation regulator 1
GO	organelle	80	3826	0.00097195	11015	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
GO	organelle	80	3826	0.00097195	11033	centaurin, alpha 1
GO	organelle	80	3826	0.00097195	1434	CSE1 chromosome segregation 1-like (yeast)
GO	organelle	80	3826	0.00097195	1465	cysteine and glycine-rich protein 1
GO	organelle	80	3826	0.00097195	1627	drebrin 1
GO	organelle	80	3826	0.00097195	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	organelle	80	3826	0.00097195	1736	dyskeratosis congenita 1, dyskerin
GO	organelle	80	3826	0.00097195	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	organelle	80	3826	0.00097195	1876	E2F transcription factor 6
GO	organelle	80	3826	0.00097195	1959	early growth response 2 (Krox-20 homolog, Drosophila)
GO	organelle	80	3826	0.00097195	1960	early growth response 3
GO	organelle	80	3826	0.00097195	204	adenylate kinase 2
GO	organelle	80	3826	0.00097195	2119	ets variant gene 5 (ets-related molecule)
GO	organelle	80	3826	0.00097195	2274	four and a half LIM domains 2
GO	organelle	80	3826	0.00097195	22984	programmed cell death 11
GO	organelle	80	3826	0.00097195	23076	KIAA0179
GO	organelle	80	3826	0.00097195	23210	phosphatidylserine receptor
GO	organelle	80	3826	0.00097195	23212	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
GO	organelle	80	3826	0.00097195	23404	exosome component 2
GO	organelle	80	3826	0.00097195	23481	pescadillo homolog 1, containing BRCT domain (zebrafish)
GO	organelle	80	3826	0.00097195	25888	zinc finger protein 473
GO	organelle	80	3826	0.00097195	26515	fracture callus 1 homolog (rat)
GO	organelle	80	3826	0.00097195	29095	ORM1-like 2 (S. cerevisiae)
GO	organelle	80	3826	0.00097195	29107	NTF2-like export factor 1
GO	organelle	80	3826	0.00097195	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	organelle	80	3826	0.00097195	3163	heme oxygenase (decycling) 2
GO	organelle	80	3826	0.00097195	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
GO	organelle	80	3826	0.00097195	3422	isopentenyl-diphosphate delta isomerase 1
GO	organelle	80	3826	0.00097195	3954	leucine zipper-EF-hand containing transmembrane protein 1
GO	organelle	80	3826	0.00097195	4175	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)
GO	organelle	80	3826	0.00097195	4487	msh homeo box homolog 1 (Drosophila)
GO	organelle	80	3826	0.00097195	4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
GO	organelle	80	3826	0.00097195	4839	nucleolar protein 1, 120kDa
GO	organelle	80	3826	0.00097195	51042	zinc finger protein 593
GO	organelle	80	3826	0.00097195	51154	chromosome 1 open reading frame 33
GO	organelle	80	3826	0.00097195	51373	mitochondrial ribosomal protein S17
GO	organelle	80	3826	0.00097195	51388	comparative gene identification transcript 37
GO	organelle	80	3826	0.00097195	51491	hypothetical protein HSPC111
GO	organelle	80	3826	0.00097195	51651	Bcl-2 inhibitor of transcription
GO	organelle	80	3826	0.00097195	5411	pinin, desmosome associated protein
GO	organelle	80	3826	0.00097195	54475	notchless homolog 1 (Drosophila)
GO	organelle	80	3826	0.00097195	55299	brix domain containing 2
GO	organelle	80	3826	0.00097195	56342	peter pan homolog (Drosophila)
GO	organelle	80	3826	0.00097195	59	actin, alpha 2, smooth muscle, aorta
GO	organelle	80	3826	0.00097195	6059	ATP-binding cassette, sub-family E (OABP), member 1
GO	organelle	80	3826	0.00097195	6183	mitochondrial ribosomal protein S12
GO	organelle	80	3826	0.00097195	6307	sterol-C4-methyl oxidase-like
GO	organelle	80	3826	0.00097195	64318	nucleolar complex associated 3 homolog (S. cerevisiae)
GO	organelle	80	3826	0.00097195	6432	splicing factor, arginine/serine-rich 7, 35kDa
GO	organelle	80	3826	0.00097195	65083	nucleolar protein family 6 (RNA-associated)
GO	organelle	80	3826	0.00097195	6624	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
GO	organelle	80	3826	0.00097195	6722	serum response factor (c-fos serum response element-binding transcription factor)
GO	organelle	80	3826	0.00097195	7168	tropomyosin 1 (alpha)
GO	organelle	80	3826	0.00097195	72	actin, gamma 2, smooth muscle, enteric
GO	organelle	80	3826	0.00097195	7414	vinculin
GO	organelle	80	3826	0.00097195	7421	vitamin D (1,25- dihydroxyvitamin D3) receptor
GO	organelle	80	3826	0.00097195	7851	mal, T-cell differentiation protein-like
GO	organelle	80	3826	0.00097195	79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
GO	organelle	80	3826	0.00097195	79954	nucleolar protein 10
GO	organelle	80	3826	0.00097195	80324	pseudouridylate synthase 1
GO	organelle	80	3826	0.00097195	81875	interferon stimulated exonuclease gene 20kDa-like 2
GO	organelle	80	3826	0.00097195	8260	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
GO	organelle	80	3826	0.00097195	85377	MICAL-like 1
GO	organelle	80	3826	0.00097195	8555	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
GO	organelle	80	3826	0.00097195	8880	far upstream element (FUSE) binding protein 1
GO	organelle	80	3826	0.00097195	896	cyclin D3
GO	organelle	80	3826	0.00097195	9134	cyclin E2
GO	organelle	80	3826	0.00097195	9188	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
GO	organelle	80	3826	0.00097195	9221	nucleolar and coiled-body phosphoprotein 1
GO	organelle	80	3826	0.00097195	9355	LIM homeobox 2
GO	organelle	80	3826	0.00097195	9933	KIAA0020
GO	organelle	80	3826	0.00097195	9948	WD repeat domain 1
GO	organelle	80	3826	0.00097195	9986	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)
GO	steroid biosynthesis	5	57	0.001843616	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	steroid biosynthesis	5	57	0.001843616	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	steroid biosynthesis	5	57	0.001843616	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	steroid biosynthesis	5	57	0.001843616	3422	isopentenyl-diphosphate delta isomerase 1
GO	steroid biosynthesis	5	57	0.001843616	6307	sterol-C4-methyl oxidase-like
GO	pseudouridylate synthase activity	2	5	0.00231283	1736	dyskeratosis congenita 1, dyskerin
GO	pseudouridylate synthase activity	2	5	0.00231283	80324	pseudouridylate synthase 1
GO	protein targeting to mitochondrion	3	18	0.002512567	10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)
GO	protein targeting to mitochondrion	3	18	0.002512567	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	protein targeting to mitochondrion	3	18	0.002512567	26515	fracture callus 1 homolog (rat)
GO	cytoplasm	22	751	0.002965354	10514	MYB binding protein (P160) 1a
GO	cytoplasm	22	751	0.002965354	10808	heat shock 105kDa/110kDa protein 1
GO	cytoplasm	22	751	0.002965354	11033	centaurin, alpha 1
GO	cytoplasm	22	751	0.002965354	1434	CSE1 chromosome segregation 1-like (yeast)
GO	cytoplasm	22	751	0.002965354	1627	drebrin 1
GO	cytoplasm	22	751	0.002965354	2193	phenylalanine-tRNA synthetase-like, alpha subunit
GO	cytoplasm	22	751	0.002965354	23404	exosome component 2
GO	cytoplasm	22	751	0.002965354	2618	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GO	cytoplasm	22	751	0.002965354	29107	NTF2-like export factor 1
GO	cytoplasm	22	751	0.002965354	3035	histidyl-tRNA synthetase
GO	cytoplasm	22	751	0.002965354	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	cytoplasm	22	751	0.002965354	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
GO	cytoplasm	22	751	0.002965354	5373	phosphomannomutase 2
GO	cytoplasm	22	751	0.002965354	55803	centaurin, alpha 2
GO	cytoplasm	22	751	0.002965354	57019	cytokine induced apoptosis inhibitor 1
GO	cytoplasm	22	751	0.002965354	705	bystin-like
GO	cytoplasm	22	751	0.002965354	8260	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
GO	cytoplasm	22	751	0.002965354	84617	tubulin, beta 6
GO	cytoplasm	22	751	0.002965354	8880	far upstream element (FUSE) binding protein 1
GO	cytoplasm	22	751	0.002965354	8891	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa
GO	cytoplasm	22	751	0.002965354	9221	nucleolar and coiled-body phosphoprotein 1
GO	cytoplasm	22	751	0.002965354	9830	tripartite motif-containing 14
GO	sterol metabolism	5	64	0.003077359	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	sterol metabolism	5	64	0.003077359	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	sterol metabolism	5	64	0.003077359	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	sterol metabolism	5	64	0.003077359	3422	isopentenyl-diphosphate delta isomerase 1
GO	sterol metabolism	5	64	0.003077359	6307	sterol-C4-methyl oxidase-like
GO	mitochondrial intermembrane space protein transporter complex	2	6	0.003433925	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	mitochondrial intermembrane space protein transporter complex	2	6	0.003433925	26515	fracture callus 1 homolog (rat)
GO	protein import into mitochondrial inner membrane	2	6	0.003433925	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	protein import into mitochondrial inner membrane	2	6	0.003433925	26515	fracture callus 1 homolog (rat)
GO	inner mitochondrial membrane organization and biogenesis	2	7	0.004758613	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	inner mitochondrial membrane organization and biogenesis	2	7	0.004758613	26515	fracture callus 1 homolog (rat)
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	10514	MYB binding protein (P160) 1a
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	1627	drebrin 1
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	1736	dyskeratosis congenita 1, dyskerin
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	23481	pescadillo homolog 1, containing BRCT domain (zebrafish)
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	4839	nucleolar protein 1, 120kDa
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	51373	mitochondrial ribosomal protein S17
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	59	actin, alpha 2, smooth muscle, aorta
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	6183	mitochondrial ribosomal protein S12
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	65083	nucleolar protein family 6 (RNA-associated)
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	6624	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	7168	tropomyosin 1 (alpha)
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	72	actin, gamma 2, smooth muscle, enteric
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	7414	vinculin
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	85377	MICAL-like 1
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	9188	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	9221	nucleolar and coiled-body phosphoprotein 1
GO	intracellular non-membrane-bound organelle	18	604	0.005934468	9948	WD repeat domain 1
GO	non-membrane-bound organelle	18	604	0.005934468	10514	MYB binding protein (P160) 1a
GO	non-membrane-bound organelle	18	604	0.005934468	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	non-membrane-bound organelle	18	604	0.005934468	1627	drebrin 1
GO	non-membrane-bound organelle	18	604	0.005934468	1736	dyskeratosis congenita 1, dyskerin
GO	non-membrane-bound organelle	18	604	0.005934468	23481	pescadillo homolog 1, containing BRCT domain (zebrafish)
GO	non-membrane-bound organelle	18	604	0.005934468	4839	nucleolar protein 1, 120kDa
GO	non-membrane-bound organelle	18	604	0.005934468	51373	mitochondrial ribosomal protein S17
GO	non-membrane-bound organelle	18	604	0.005934468	59	actin, alpha 2, smooth muscle, aorta
GO	non-membrane-bound organelle	18	604	0.005934468	6183	mitochondrial ribosomal protein S12
GO	non-membrane-bound organelle	18	604	0.005934468	65083	nucleolar protein family 6 (RNA-associated)
GO	non-membrane-bound organelle	18	604	0.005934468	6624	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
GO	non-membrane-bound organelle	18	604	0.005934468	7168	tropomyosin 1 (alpha)
GO	non-membrane-bound organelle	18	604	0.005934468	72	actin, gamma 2, smooth muscle, enteric
GO	non-membrane-bound organelle	18	604	0.005934468	7414	vinculin
