Probe Set ID	Gene Symbol	scp51/scp58Fold Change	sw480/scp58Fold Change	Gene Title
214721_x_at	CDC42EP4	2.353230868	2.682788926	CDC42 effector protein (Rho GTPase binding) 4
221827_at	RBCK1	2.340002716	2.122982977	RanBP-type and C3HC4-type zinc finger containing 1
213568_at	OSR2	2.28881145	2.323170355	odd-skipped related 2 (Drosophila)
208734_x_at	RAB2A	2.253204329	2.403145718	RAB2A, member RAS oncogene family
218035_s_at	RBM47	2.246266832	2.338912134	RNA binding motif protein 47
219936_s_at	GPR87	2.232596339	2.987011753	G protein-coupled receptor 87
206451_at	TBCCD1	2.214687471	1.92230667	TBCC domain containing 1
203560_at	GGH	2.180418139	2.214532995	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
202625_at	LYN	2.173494738	2.310488025	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
208735_s_at	CTDSP2	2.168741487	2.702219188	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
219215_s_at	SLC39A4	2.153474711	2.899461971	solute carrier family 39 (zinc transporter), member 4
206571_s_at	MAP4K4	2.150650586	2.476262854	mitogen-activated protein kinase kinase kinase kinase 4
202723_s_at	FOXO1	2.149243209	2.090416654	forkhead box O1
222001_x_at	FAM91A2	2.10889281	2.178470446	family with sequence similarity 91, member A2
218642_s_at	CHCHD7	2.096767374	2.128788507	coiled-coil-helix-coiled-coil-helix domain containing 7
223013_at	TBL1XR1	2.087244223	2.377402636	transducin (beta)-like 1 X-linked receptor 1
223110_at	KIAA1429	2.066271651	2.614020202	KIAA1429
226420_at	EVI1	2.057592946	3.046251403	ecotropic viral integration site 1
218516_s_at	IMPAD1	2.045089962	2.472905952	inositol monophosphatase domain containing 1
218701_at	LACTB2	2.031738362	2.765056337	lactamase, beta 2
225269_s_at	C2orf12	2.024187775	2.292539987	chromosome 2 open reading frame 12
208731_at	RAB2A	2.023192279	2.302675536	RAB2A, member RAS oncogene family
222668_at	KCTD15	2.002979427	1.803017344	potassium channel tetramerisation domain containing 15
219412_at	RAB38	1.989601263	1.878340706	RAB38, member RAS oncogene family
217707_x_at	SMARCA2	1.978741013	3.33429053	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
238005_s_at	SIN3A	1.955199105	2.431396985	SIN3 homolog A, transcription regulator (yeast)
226165_at	C8orf59	1.934339397	2.064202549	chromosome 8 open reading frame 59
226857_at	ARHGEF19	1.92484551	1.927419247	Rho guanine nucleotide exchange factor (GEF) 19
228284_at	TLE1	1.912819321	2.552737463	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
209454_s_at	TEAD3	1.87223867	2.089532462	TEA domain family member 3
209545_s_at	RIPK2	1.868995017	1.962506667	receptor-interacting serine-threonine kinase 2
231769_at	FBXO6	1.868721567	2.456594041	F-box protein 6
225362_at	FAM122B	1.868204213	2.00275718	family with sequence similarity 122B
212543_at	AIM1	1.852214843	2.52453694	absent in melanoma 1
204254_s_at	VDR	1.844091826	2.206746564	vitamin D (1,25- dihydroxyvitamin D3) receptor
203584_at	TTC35	1.841076278	2.181743473	tetratricopeptide repeat domain 35
209066_x_at	UQCRB	1.827271785	1.977471247	ubiquinol-cytochrome c reductase binding protein
214061_at	WDR67	1.813993847	2.101294931	WD repeat domain 67
200958_s_at	SDCBP	1.798430763	2.027483566	syndecan binding protein (syntenin)
228357_at	UNK	1.783222944	2.188936121	unkempt homolog (Drosophila)
209868_s_at	RBMS1	1.783123687	1.763148684	RNA binding motif, single stranded interacting protein 1
226817_at	DSC2	1.782690187	2.106127136	desmocollin 2
219959_at	MOCOS	1.75197201	1.65706235	molybdenum cofactor sulfurase
204301_at	KBTBD11	1.727758743	2.012692741	kelch repeat and BTB (POZ) domain containing 11
214239_x_at	PCGF2	1.697859113	1.898155809	polycomb group ring finger 2
1554053_at	SPTLC1	1.697731614	2.278662251	serine palmitoyltransferase, long chain base subunit 1
205761_s_at	DUS4L	1.628430289	1.709990089	dihydrouridine synthase 4-like (S. cerevisiae)
229396_at	OVOL1	1.572739839	1.695999248	ovo-like 1(Drosophila)
222763_s_at	WDR33	0.575521451	0.467263747	WD repeat domain 33
36553_at	ASMTL	0.573569815	0.536672229	acetylserotonin O-methyltransferase-like
205932_s_at	MSX1	0.5633891	0.386654599	msh homeobox 1
203300_x_at	AP1S2	0.557342104	0.421976389	adaptor-related protein complex 1, sigma 2 subunit
213428_s_at	COL6A1	0.553015254	0.551696037	collagen, type VI, alpha 1
210377_at	ACSM3	0.550777125	0.536317056	acyl-CoA synthetase medium-chain family member 3
210150_s_at	LAMA5	0.530482021	0.497431427	laminin, alpha 5
212912_at	RPS6KA2	0.529632671	0.564818078	ribosomal protein S6 kinase, 90kDa, polypeptide 2
203043_at	ZBED1	0.526965705	0.419345735	zinc finger, BED-type containing 1
208650_s_at	CD24	0.526919438	0.436965196	CD24 molecule
204602_at	DKK1	0.523588427	0.408146187	dickkopf homolog 1 (Xenopus laevis)
239106_at	CA5BL	0.521988507	0.438874714	Carbonic anhydrase VB-like
210130_s_at	TM7SF2	0.521782606	0.446023068	transmembrane 7 superfamily member 2
202998_s_at	ENTPD4 /// LOXL2	0.504107587	0.323096334	lysyl oxidase-like 2 /// ectonucleoside triphosphate diphosphohydrolase 4
1569369_at	ZFYVE28	0.499050615	0.489271008	zinc finger, FYVE domain containing 28
218276_s_at	SAV1	0.493878509	0.553805437	salvador homolog 1 (Drosophila)
204759_at	RCBTB2	0.493832706	0.474614272	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
203710_at	ITPR1	0.491702354	0.440539532	inositol 1,4,5-triphosphate receptor, type 1
228885_at	MAMDC2	0.491508825	0.330102357	MAM domain containing 2
203624_at	SFRS17A	0.487950548	0.4679163	splicing factor, arginine/serine-rich 17A
221760_at	MAN1A1	0.485617061	0.382563089	Mannosidase, alpha, class 1A, member 1
225548_at	SHROOM3	0.468653546	0.441004131	shroom family member 3
235264_at	HCFC2	0.465766763	0.499313018	host cell factor C2
227145_at	LOXL4	0.465687194	0.490420437	lysyl oxidase-like 4
203974_at	HDHD1A	0.462257334	0.499220078	haloacid dehalogenase-like hydrolase domain containing 1A
266_s_at	CD24	0.458399414	0.446387192	CD24 molecule
210269_s_at	SFRS17A	0.453410405	0.399892689	splicing factor, arginine/serine-rich 17A
222872_x_at	OBFC2A	0.452620286	0.437824416	oligonucleotide/oligosaccharide-binding fold containing 2A
209470_s_at	GPM6A	0.450455651	0.381643463	glycoprotein M6A
212412_at	PDLIM5	0.449054495	0.388665257	PDZ and LIM domain 5
233085_s_at	OBFC2A	0.448466007	0.432050442	oligonucleotide/oligosaccharide-binding fold containing 2A
204702_s_at	NFE2L3	0.43473322	0.367238285	nuclear factor (erythroid-derived 2)-like 3
204061_at	PRKX	0.426481859	0.309238654	protein kinase, X-linked
219351_at	SEDLP /// TRAPPC2 /// ZNF547	0.412596299	0.391797313	trafficking protein particle complex 2 /// spondyloepiphyseal dysplasia, late, pseudogene /// zinc finger protein 547
1554704_at	ATP8B3	0.370559659	0.492654732	ATPase, class I, type 8B, member 3
203242_s_at	PDLIM5	0.361688716	0.307045022	PDZ and LIM domain 5
211681_s_at	PDLIM5	0.357112478	0.291737562	PDZ and LIM domain 5
219637_at	ARMC9	0.356728438	0.363918007	armadillo repeat containing 9
203637_s_at	MID1	0.353048995	0.287077472	midline 1 (Opitz/BBB syndrome)
204867_at	GCHFR	0.348918984	0.359871368	GTP cyclohydrolase I feedback regulator
212907_at	SLC30A1	0.34049754	0.315521509	Solute carrier family 30 (zinc transporter), member 1
236471_at	NFE2L3	0.335771553	0.294779089	nuclear factor (erythroid-derived 2)-like 3
203636_at	MID1	0.335532951	0.233607315	midline 1 (Opitz/BBB syndrome)
244841_at	SEC24A	0.32151212	0.252424764	SEC24 related gene family, member A (S. cerevisiae)
216325_x_at	RTEL1	0.318692703	0.363796251	regulator of telomere elongation helicase 1
219836_at	ZBED2	0.313516815	0.032794543	zinc finger, BED-type containing 2
221994_at	PDLIM5	0.312870127	0.338206619	PDZ and LIM domain 5
222854_s_at	GEMIN8	0.304262761	0.373872844	gem (nuclear organelle) associated protein 8
202627_s_at	SERPINE1	0.297409986	0.394957267	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
212094_at	PEG10	0.282258863	0.265099199	paternally expressed 10
218963_s_at	KRT23	0.257296614	0.261400378	keratin 23 (histone deacetylase inducible)
214332_s_at	TSFM	0.251386135	0.154894113	Ts translation elongation factor, mitochondrial
222719_s_at	PDGFC	0.250243004	0.388418659	platelet derived growth factor C
201438_at	COL6A3	0.216821416	0.327574189	collagen, type VI, alpha 3
205399_at	DCLK1	0.208783309	0.404249174	doublecortin-like kinase 1
213684_s_at	PDLIM5	0.201809075	0.191919639	PDZ and LIM domain 5
230748_at	SLC16A6	0.197242981	0.133643542	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
244163_at	SEMA3A	0.172782064	0.158865448	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
201109_s_at	THBS1	0.171499268	0.250014731	thrombospondin 1
201110_s_at	THBS1	0.169211868	0.287075591	thrombospondin 1
216236_s_at	SLC2A14 /// SLC2A3	0.150695811	0.187068425	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
207038_at	SLC16A6	0.147210823	0.11427654	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
229435_at	GLIS3	0.1357404	0.365118397	GLIS family zinc finger 3
202499_s_at	SLC2A3	0.134888021	0.063404355	solute carrier family 2 (facilitated glucose transporter), member 3
222088_s_at	SLC2A14 /// SLC2A3	0.13270099	0.145277484	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
206805_at	SEMA3A	0.130934547	0.141918193	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
201108_s_at	THBS1	0.106199134	0.248965736	thrombospondin 1
206504_at	CYP24A1	0.100369405	0.135652901	cytochrome P450, family 24, subfamily A, polypeptide 1
202498_s_at	SLC2A3	0.100176378	0.107999571	solute carrier family 2 (facilitated glucose transporter), member 3
238419_at	PHLDB2	0.075264036	0.070882881	pleckstrin homology-like domain, family B, member 2
242334_at	NLRP4	0.058216461	0.11379892	NLR family, pyrin domain containing 4
227480_at	SUSD2	0.048381639	0.146111066	sushi domain containing 2
229667_s_at	HOXB8	0.044705992	0.316059602	homeobox B8
