Probe Set	Gene Symbol	Gene Title
215501_s_at	DUSP10	dual specificity phosphatase 10
221563_at	DUSP10	dual specificity phosphatase 10
210151_s_at	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
228361_at	E2F2	E2F transcription factor 2
219833_s_at	EFHC1	EF-hand domain (C-terminal) containing 1
225936_at	EID2	EP300 interacting inhibitor of differentiation 2
212418_at	ELF1	E74-like factor 1 (ets domain transcription factor)
208788_at	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
212573_at	ENDOD1	endonuclease domain containing 1
203464_s_at	EPN2	epsin 2
204363_at	F3	coagulation factor III (thromboplastin, tissue factor)
219694_at	FAM105A	family with sequence similarity 105, member A
218510_x_at	FAM134B	family with sequence similarity 134, member B
218532_s_at	FAM134B	family with sequence similarity 134, member B
215947_s_at	FAM136A	family with sequence similarity 136, member A
229390_at	FAM26F	family with sequence similarity 26, member F
238226_at	FAM70B	family with sequence similarity 70, member B
226129_at	FAM83H	family with sequence similarity 83, member H
225591_at	FBXO25	F-box protein 25
234863_x_at	FBXO5	F-box protein 5
215000_s_at	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)
226985_at	FGD5	FYVE, RhoGEF and PH domain containing 5
211535_s_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
226705_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
226599_at	FHDC1	FH2 domain containing 1
220326_s_at	FLJ10357	hypothetical protein FLJ10357
58780_s_at	FLJ10357	hypothetical protein FLJ10357
225724_at	FLJ31306	hypothetical protein FLJ31306
242269_at	FLJ42875	hypothetical LOC440556
212288_at	FNBP1	formin binding protein 1
225464_at	FRMD6	FERM domain containing 6
225481_at	FRMD6	FERM domain containing 6
211628_x_at	FTHP1	ferritin, heavy polypeptide pseudogene 1
212824_at	FUBP3	far upstream element (FUSE) binding protein 3
203987_at	FZD6	frizzled homolog 6 (Drosophila)
219271_at	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)
1598_g_at	GAS6 /// LOC100133684	growth arrest-specific 6 /// similar to growth arrest-specific 6
228376_at	GGTA1	glycoprotein, alpha-galactosyltransferase 1
201667_at	GJA1	gap junction protein, alpha 1, 43kDa
238121_at	GK5	glycerol kinase 5 (putative)
214106_s_at	GMDS	GDP-mannose 4,6-dehydratase
223943_s_at	GNG2	guanine nucleotide binding protein (G protein), gamma 2
224964_s_at	GNG2	guanine nucleotide binding protein (G protein), gamma 2
224965_at	GNG2	guanine nucleotide binding protein (G protein), gamma 2
206896_s_at	GNG7	guanine nucleotide binding protein (G protein), gamma 7
210640_s_at	GPER	G protein-coupled estrogen receptor 1
205240_at	GPSM2	G-protein signaling modulator 2 (AGS3-like, C. elegans)
201348_at	GPX3	glutathione peroxidase 3 (plasma)
214091_s_at	GPX3	glutathione peroxidase 3 (plasma)
202947_s_at	GYPC	glycophorin C (Gerbich blood group)
208886_at	H1F0	H1 histone family, member 0
208579_x_at	H2BFS	H2B histone family, member S
209069_s_at	H3F3A /// H3F3B	H3 histone, family 3A /// H3 histone, family 3B (H3.3B)
211997_x_at	H3F3A /// H3F3B	H3 histone, family 3A /// H3 histone, family 3B (H3.3B)
211998_at	H3F3A /// H3F3B	H3 histone, family 3A /// H3 histone, family 3B (H3.3B)
211999_at	H3F3A /// H3F3B	H3 histone, family 3A /// H3 histone, family 3B (H3.3B)
219289_at	HEATR3	HEAT repeat containing 3
209961_s_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)
210755_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)
210997_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)
210998_s_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)
225097_at	HIPK2	homeodomain interacting protein kinase 2
209398_at	HIST1H1C	histone cluster 1, H1c
215071_s_at	HIST1H2AC	histone cluster 1, H2ac
214522_x_at	HIST1H2AD /// HIST1H2BN /// HIST1H3A /// HIST1H3D /// HIST1H3C /// HIST1H3E /// HIST1H3I /// HIST1H3G /// HIST1H3J /// HIST1H3H /// HIST1H3B /// HIST1H3F	histone cluster 1, H2ad /// histone cluster 1, H2bn /// histone cluster 1, H3a /// histone cluster 1, H3d /// histone cluster 1, H3c /// histone cluster 1, H3e /// histone cluster 1, H3i /// histone cluster 1, H3g /// histone cluster 1, H3j /// histone cl
209911_x_at	HIST1H2BD	histone cluster 1, H2bd
222067_x_at	HIST1H2BD	histone cluster 1, H2bd
208490_x_at	HIST1H2BG /// HIST1H2BF /// HIST1H2BE /// HIST1H2BI /// HIST1H2BC	histone cluster 1, H2bg /// histone cluster 1, H2bf /// histone cluster 1, H2be /// histone cluster 1, H2bi /// histone cluster 1, H2bc
208523_x_at	HIST1H2BG /// HIST1H2BF /// HIST1H2BE /// HIST1H2BI /// HIST1H2BC	histone cluster 1, H2bg /// histone cluster 1, H2bf /// histone cluster 1, H2be /// histone cluster 1, H2bi /// histone cluster 1, H2bc
208527_x_at	HIST1H2BG /// HIST1H2BF /// HIST1H2BE /// HIST1H2BI /// HIST1H2BC	histone cluster 1, H2bg /// histone cluster 1, H2bf /// histone cluster 1, H2be /// histone cluster 1, H2bi /// histone cluster 1, H2bc
214455_at	HIST1H2BG /// HIST1H2BF /// HIST1H2BE /// HIST1H2BI /// HIST1H2BC	histone cluster 1, H2bg /// histone cluster 1, H2bf /// histone cluster 1, H2be /// histone cluster 1, H2bi /// histone cluster 1, H2bc
236193_at	HIST1H2BG /// HIST1H2BF /// HIST1H2BE /// HIST1H2BI /// HIST1H2BC	histone cluster 1, H2bg /// histone cluster 1, H2bf /// histone cluster 1, H2be /// histone cluster 1, H2bi /// histone cluster 1, H2bc
209806_at	HIST1H2BK	histone cluster 1, H2bk
218279_s_at	HIST2H2AA3	histone cluster 2, H2aa3
214290_s_at	HIST2H2AA3 /// HIST2H2AA4	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4
218280_x_at	HIST2H2AA3 /// HIST2H2AA4	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4
202708_s_at	HIST2H2BE	histone cluster 2, H2be
1567224_at	HMGA2	high mobility group AT-hook 2
204112_s_at	HNMT	histamine N-methyltransferase
211732_x_at	HNMT	histamine N-methyltransferase
225932_s_at	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
209067_s_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like
204647_at	HOMER3	homer homolog 3 (Drosophila)
215489_x_at	HOMER3	homer homolog 3 (Drosophila)
222222_s_at	HOMER3	homer homolog 3 (Drosophila)
214639_s_at	HOXA1	homeobox A1
213147_at	HOXA10	homeobox A10
213150_at	HOXA10	homeobox A10
213823_at	HOXA11	homeobox A11
231786_at	HOXA13	homeobox A13
214457_at	HOXA2	homeobox A2
235521_at	HOXA3	homeobox A3
206289_at	HOXA4	homeobox A4
213844_at	HOXA5	homeobox A5
208557_at	HOXA6	homeobox A6
206847_s_at	HOXA7	homeobox A7
235753_at	HOXA7	homeobox A7
209905_at	HOXA9	homeobox A9
214651_s_at	HOXA9	homeobox A9
205453_at	HOXB2	homeobox B2
228904_at	HOXB3	homeobox B3
231767_at	HOXB4	homeobox B4
205600_x_at	HOXB5	homeobox B5
205601_s_at	HOXB5	homeobox B5
205366_s_at	HOXB6	homeobox B6
200941_at	HSBP1	heat shock factor binding protein 1
202411_at	IFI27	interferon, alpha-inducible protein 27
201601_x_at	IFITM1	interferon induced transmembrane protein 1 (9-27)
214022_s_at	IFITM1	interferon induced transmembrane protein 1 (9-27)
1558956_s_at	IFT80	intraflagellar transport 80 homolog (Chlamydomonas)
226098_at	IFT80	intraflagellar transport 80 homolog (Chlamydomonas)
230670_at	IGSF10	immunoglobulin superfamily, member 10
207072_at	IL18RAP	interleukin 18 receptor accessory protein
224469_s_at	INF2	inverted formin, FH2 and WH2 domain containing
210511_s_at	INHBA	inhibin, beta A
213392_at	IQCK	IQ motif containing K
232349_x_at	IQWD1	IQ motif and WD repeats 1
229638_at	IRX3	iroquois homeobox 3
209098_s_at	JAG1	jagged 1 (Alagille syndrome)
209099_x_at	JAG1	jagged 1 (Alagille syndrome)
216268_s_at	JAG1	jagged 1 (Alagille syndrome)
226245_at	KCTD1	potassium channel tetramerisation domain containing 1
228299_at	KCTD20	potassium channel tetramerisation domain containing 20
213839_at	KIAA0500	KIAA0500 protein
213185_at	KIAA0556	KIAA0556
203955_at	KIAA0649	KIAA0649
213034_at	KIAA0999	KIAA0999 protein
225303_at	KIRREL	kin of IRRE like (Drosophila)
207023_x_at	KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)
210633_x_at	KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)
213287_s_at	KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)
200770_s_at	LAMC1	laminin, gamma 1 (formerly LAMB2)
213728_at	LAMP1	lysosomal-associated membrane protein 1
203042_at	LAMP2	lysosomal-associated membrane protein 2
234985_at	LDLRAD3	low density lipoprotein receptor class A domain containing 3
220750_s_at	LEPRE1	leucine proline-enriched proteoglycan (leprecan) 1
222006_at	LETM1	Leucine zipper-EF-hand containing transmembrane protein 1
200923_at	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein
244881_at	LMLN	leishmanolysin-like (metallopeptidase M8 family)
1554600_s_at	LMNA	lamin A/C
203411_s_at	LMNA	lamin A/C
212086_x_at	LMNA	lamin A/C
212089_at	LMNA	lamin A/C
236892_s_at	LOC100130740	similar to hCG2042068
236893_at	LOC100130740	similar to hCG2042068
239791_at	LOC100130740	similar to hCG2042068
240151_at	LOC100130740	similar to hCG2042068
1568619_s_at	LOC162073	hypothetical protein LOC162073
227792_at	LOC162073	hypothetical protein LOC162073
227954_at	LOC162073	hypothetical protein LOC162073
230245_s_at	LOC283663	hypothetical protein LOC283663
1555847_a_at	LOC284454	hypothetical protein LOC284454
241370_at	LOC286052	hypothetical protein LOC286052
227547_at	LOC388795	similar to hCG2019498
236738_at	LOC401097	Similar to LOC166075
229860_x_at	LOC401115	hypothetical LOC401115
230743_at	LOC404266 /// LOC100130740	hypothetical LOC404266 /// similar to hCG2042068
240194_at	LOC441204	hypothetical locus LOC441204
240423_at	LOC441204 /// LOC100134569	hypothetical locus LOC441204 /// similar to hCG2009921
240424_s_at	LOC441204 /// LOC100134569	hypothetical locus LOC441204 /// similar to hCG2009921
209679_s_at	LOC57228	small trans-membrane and glycosylated protein
230212_at	LOC729345	hypothetical LOC729345
47560_at	LPHN1	latrophilin 1
202459_s_at	LPIN2	lipin 2
216250_s_at	LPXN	leupaxin
202018_s_at	LTF	lactotransferrin
204458_at	LYPLA3	lysophospholipase 3 (lysosomal phospholipase A2)
221311_x_at	LYRM2	LYR motif containing 2
208116_s_at	MAN1A1	mannosidase, alpha, class 1A, member 1
221760_at	MAN1A1	Mannosidase, alpha, class 1A, member 1
226538_at	MAN2A1	mannosidase, alpha, class 2A, member 1
214786_at	MAP3K1	mitogen-activated protein kinase kinase kinase 1
225927_at	MAP3K1	mitogen-activated protein kinase kinase kinase 1
203837_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5
235141_at	MARVELD2	MARVEL domain containing 2
226726_at	MBOAT2	membrane bound O-acyltransferase domain containing 2
1559477_s_at	MEIS1	Meis homeobox 1
204069_at	MEIS1	Meis homeobox 1
242172_at	MEIS1	Meis homeobox 1
224598_at	MGAT4B	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B
228235_at	MGC16121	hypothetical protein MGC16121
229784_at	MGC16121	hypothetical protein MGC16121
230528_s_at	MGC2752	hypothetical LOC65996
240607_at	MIAT	Myocardial infarction associated transcript (non-protein coding)
207233_s_at	MITF	microphthalmia-associated transcription factor
226066_at	MITF	microphthalmia-associated transcription factor
212020_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
1569652_at	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
204917_s_at	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
204918_s_at	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
238778_at	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
219648_at	MREG	melanoregulin
203781_at	MRPL33	mitochondrial ribosomal protein L33
227186_s_at	MRPL41	mitochondrial ribosomal protein L41
221250_s_at	MXD3	MAX dimerization protein 3
224772_at	NAV1	neuron navigator 1
224774_s_at	NAV1	neuron navigator 1
227584_at	NAV1	neuron navigator 1
226008_at	NDNL2	necdin-like 2
212445_s_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
212448_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
241396_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
1557170_at	NEK8	NIMA (never in mitosis gene a)- related kinase 8
204702_s_at	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
236471_at	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
1553808_a_at	NKX2-3	NK2 transcription factor related, locus 3 (Drosophila)
204862_s_at	NME3	non-metastatic cells 3, protein expressed in
221073_s_at	NOD1	nucleotide-binding oligomerization domain containing 1
202445_s_at	NOTCH2	Notch homolog 2 (Drosophila)
218821_at	NPEPL1	aminopeptidase-like 1
226536_at	NSMCE2	non-SMC element 2, MMS21 homolog (S. cerevisiae)
212768_s_at	OLFM4	olfactomedin 4
218162_at	OLFML3	olfactomedin-like 3
202073_at	OPTN	optineurin
202074_s_at	OPTN	optineurin
221237_s_at	OSBP2	oxysterol binding protein 2
223464_at	OSBPL5	oxysterol binding protein-like 5
210401_at	P2RX1	purinergic receptor P2X, ligand-gated ion channel, 1
226670_s_at	PABPC1L	poly(A) binding protein, cytoplasmic 1-like
204082_at	PBX3	pre-B-cell leukemia homeobox 3
213173_at	PCNX	pecanex homolog (Drosophila)
238792_at	PCNX	pecanex homolog (Drosophila)
219043_s_at	PDCL3 /// LOC285359	phosducin-like 3 /// phosducin-like 3 pseudogene
219304_s_at	PDGFD	platelet derived growth factor D
228618_at	PEAR1	platelet endothelial aggregation receptor 1
226733_at	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
207384_at	PGLYRP1	peptidoglycan recognition protein 1
209438_at	PHKA2	phosphorylase kinase, alpha 2 (liver)
209439_s_at	PHKA2	phosphorylase kinase, alpha 2 (liver)
217996_at	PHLDA1	pleckstrin homology-like domain, family A, member 1
217997_at	PHLDA1	pleckstrin homology-like domain, family A, member 1
217999_s_at	PHLDA1	pleckstrin homology-like domain, family A, member 1
225842_at	PHLDA1	pleckstrin homology-like domain, family A, member 1
203335_at	PHYH	phytanoyl-CoA 2-hydroxylase
207081_s_at	PI4KA	phosphatidylinositol 4-kinase, catalytic, alpha
230480_at	PIWIL4	piwi-like 4 (Drosophila)
210451_at	PKLR	pyruvate kinase, liver and RBC
214866_at	PLAUR	plasminogen activator, urokinase receptor
216026_s_at	POLE /// LOC100128843	polymerase (DNA directed), epsilon /// similar to DNA polymerase epsilon catalytic subunit protein
229484_at	PPM1J	protein phosphatase 1J (PP2C domain containing)
218273_s_at	PPM2C	protein phosphatase 2C, magnesium-dependent, catalytic subunit
232424_at	PRDM16	PR domain containing 16
226065_at	PRICKLE1	prickle homolog 1 (Drosophila)
226069_at	PRICKLE1	prickle homolog 1 (Drosophila)
230708_at	PRICKLE1	Prickle homolog 1 (Drosophila)
225000_at	PRKAR2A	Protein kinase, cAMP-dependent, regulatory, type II, alpha
225011_at	PRKAR2A	Protein kinase, cAMP-dependent, regulatory, type II, alpha
220872_at	PRO2964	hypothetical protein PRO2964
1555579_s_at	PTPRM	protein tyrosine phosphatase, receptor type, M
203329_at	PTPRM	protein tyrosine phosphatase, receptor type, M
204044_at	QPRT	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))
225177_at	RAB11FIP1	RAB11 family interacting protein 1 (class I)
203581_at	RAB4A	RAB4A, member RAS oncogene family
206272_at	RAB4A /// SPHAR	RAB4A, member RAS oncogene family /// S-phase response (cyclin-related)
74694_s_at	RABEP2 /// LOC100133585	rabaptin, RAB GTPase binding effector protein 2 /// similar to RABEP2 protein
201223_s_at	RAD23B	RAD23 homolog B (S. cerevisiae)
223693_s_at	RADIL	Rap GTPase interactor
205801_s_at	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
219222_at	RBKS	ribokinase
57540_at	RBKS	ribokinase
226872_at	RFX2	regulatory factor X, 2 (influences HLA class II expression)
212120_at	RHOQ	ras homolog gene family, member Q
212122_at	RHOQ	ras homolog gene family, member Q
227268_at	RNFT1	ring finger protein, transmembrane 1
1567912_s_at	RP13-36C9.3 /// CT45-4 /// RP13-36C9.6 /// CT45-6 /// XX-FW88277B6.1 /// RP13-36C9.1 /// LOC100133581	cancer/testis antigen CT45-3 /// cancer/testis antigen CT45-4 /// cancer/testis antigen CT45-5 /// cancer/testis antigen CT45-6 /// cancer/testis antigen CT45-1 /// cancer/testis antigen CT45 /// hypothetical protein LOC100133581
235700_at		cancer/testis antigen CT45-5
204906_at	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2
212912_at	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2
204633_s_at	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5
221524_s_at	RRAGD	Ras-related GTP binding D
222204_s_at	RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)
201462_at	SCRN1	secernin 1
242064_at	SDK2	sidekick homolog 2 (chicken)
228274_at	SDSL	serine dehydratase-like
228150_at	SEC16B	SEC16 homolog B (S. cerevisiae)
202283_at	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
217226_s_at	SFXN3	sideroflexin 3
220974_x_at	SFXN3	sideroflexin 3
227038_at	SGMS2	sphingomyelin synthase 2
242963_at	SGMS2	sphingomyelin synthase 2
225619_at	SLAIN1	SLAIN motif family, member 1
234306_s_at	SLAMF7	SLAM family member 7
206600_s_at	SLC16A5 /// LOC100133772	solute carrier family 16, member 5 (monocarboxylic acid transporter 6) /// similar to MCT
213590_at	SLC16A5 /// LOC100133772	solute carrier family 16, member 5 (monocarboxylic acid transporter 6) /// similar to MCT
225881_at	SLC35B4	solute carrier family 35, member B4
202088_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
227620_at	SLC44A1	solute carrier family 44, member 1
225175_s_at	SLC44A2	solute carrier family 44, member 2
203909_at	SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 6
220984_s_at	SLCO5A1	solute carrier organic anion transporter family, member 5A1
217851_s_at	SLMO2	slowmo homolog 2 (Drosophila)
201522_x_at	SNRPN /// SNURF	small nuclear ribonucleoprotein polypeptide N /// SNRPN upstream reading frame
206042_x_at	SNRPN /// SNURF	small nuclear ribonucleoprotein polypeptide N /// SNRPN upstream reading frame
218404_at	SNX10	sorting nexin 10
228662_at	SOCS7	Suppressor of cytokine signaling 7
200665_s_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
212667_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
214965_at	SPATA2L	spermatogenesis associated 2-like
1556059_s_at	SPEN	spen homolog, transcriptional regulator (Drosophila)
201997_s_at	SPEN	spen homolog, transcriptional regulator (Drosophila)
206310_at	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)
212558_at	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
213608_s_at	SRRD	SRR1 domain containing
226229_s_at	SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)
219686_at	STK32B	serine/threonine kinase 32B
201060_x_at	STOM	stomatin
201061_s_at	STOM	stomatin
203767_s_at	STS	steroid sulfatase (microsomal), isozyme S
214835_s_at	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit
226264_at	SUSD1	sushi domain containing 1
221508_at	TAOK3	TAO kinase 3
215994_x_at	TBC1D9B	TBC1 domain family, member 9B (with GRAM domain)
230666_at		homeo box A11, antisense
239950_at		homeo box A11, antisense
1565525_a_at	TCP11L2	t-complex 11 (mouse)-like 2
1569207_s_at	TCP11L2	t-complex 11 (mouse)-like 2
1553635_s_at	TCTEX1D1	Tctex1 domain containing 1
212043_at	TGOLN2	trans-golgi network protein 2
212910_at	THAP11	THAP domain containing 11
226416_at	THEX1	three prime histone mRNA exonuclease 1
224680_at	TMED4	transmembrane emp24 protein transport domain containing 4
242263_at	TMED5	Transmembrane emp24 protein transport domain containing 5
214658_at	TMED7	transmembrane emp24 protein transport domain containing 7
218477_at	TMEM14A	transmembrane protein 14A
238045_at	TMEM65	transmembrane protein 65
241342_at	TMEM65	transmembrane protein 65
203661_s_at	TMOD1	tropomodulin 1
203662_s_at	TMOD1	tropomodulin 1
209354_at	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)
204485_s_at	TOM1L1	target of myb1 (chicken)-like 1
218459_at	TOR3A	torsin family 3, member A
224836_at	TP53INP2	tumor protein p53 inducible nuclear protein 2
206622_at	TRH	thyrotropin-releasing hormone
235737_at	TSLP	thymic stromal lymphopoietin
217979_at	TSPAN13	tetraspanin 13
202242_at	TSPAN7	tetraspanin 7
227388_at	TUSC1	tumor suppressor candidate 1
214729_at	TWISTNB	TWIST neighbor
