Gene	Description
C14orf11	Chromosome 14 open reading frame 11
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)
HPCAL4	Hippocalcin like 4
ACVR1B	Activin A receptor, type IB
ITGB3BP	Integrin beta 3 binding protein (beta3-endonexin)
PDPK1	3-phosphoinositide dependent protein kinase-1
MATR3	Matrin 3
CSDA	Cold shock domain protein A
LIFR	Leukemia inhibitory factor receptor alpha
ANXA5	Annexin A5
TSPAN3	Tetraspanin 3
CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
BLK	B lymphoid tyrosine kinase
RAD54L2	RAD54-like 2 (S. cerevisiae)
METAP2	Methionyl aminopeptidase 2
PRKAA2	Protein kinase, AMP-activated, alpha 2 catalytic subunit
DNAH9	Dynein, axonemal, heavy chain 9
MGC10955	Hypothetical protein MGC10955
UGT2B7	UDP glucuronosyltransferase 2 family, polypeptide B7
TEF	Thyrotrophic embryonic factor
ZNF140	Zinc finger protein 140
RARB	Retinoic acid receptor, beta
NPAS2	Neuronal PAS domain protein 2
BHMT	Betaine-homocysteine methyltransferase
CRISPLD2	Cysteine-rich secretory protein LCCL domain containing 2
REEP6	Receptor accessory protein 6
TFCP2	Transcription factor CP2
FLT3	Fms-related tyrosine kinase 3
AHI1	Abelson helper integration site 1
SCG2	Secretogranin II (chromogranin C)
PLD1	Phospholipase D1, phosphatidylcholine-specific
PCBD2	Pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
FGFR3	Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism
ASH1L	Ash1 (absent, small, or homeotic)-like (Drosophila
HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolase
GNAS	GNAS complex locus
NR4A2	Nuclear receptor subfamily 4, group A, member 2
YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polipeptide
ING5	Inhibitor of growth family, member 5
ZNF254	Zinc finger protein 254
GRIN1	Glutamate receptor, ionotropic, N-methyl D-aspartate 1
ANLN	Anillin, actin binding protein
MSR1	Macrophage scavenger receptor 1
TIA1	TIA1 cytotoxic granule-associated RNA binding protein
YWHAQ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
BARX2	BarH-like homeobox 2
EIF1AY	Eukaryotic translation initiation factor 1A, Y-linked
PLAG1	Pleiomorphic adenoma gene 1
SNX4	Sorting nexin 4
MGC4655	Hypothetical protein MGC4655
CDC7	Cell division cycle 7 homolog (S. cerevisiae)
FUCA1	Fucosidase, alpha-L- 1, tissue
PDE4B	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
HARS	Histidyl-tRNA synthetase
ACPP	Acid phosphatase, prostate
GATA3	GATA binding protein 3
HPS3	Hermansky-Pudlak syndrome 3
TPST2	Tyrosylprotein sulfotransferase 2
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
TP53BP2	Tumor protein p53 binding protein, 2
GTF2I	General transcription factor II, i
ACTR8	ARP8 actin-related protein 8 homolog (yeast)
OSBPL1A	Oxysterol binding protein-like 1A
TNP1	Transition protein 1 (during histone to protamine replacement)
HIF1AN	Hypoxia-inducible factor 1, alpha subunit inhibitor
CCDC47	Coiled-coil domain containing 47
RPS6KA5	Ribosomal protein S6 kinase, 90kDa, polypeptide 5
SLC22A6	Solute carrier family 22 (organic anion transporter), member 6
MYO5A	Myosin VA (heavy chain 12, myoxin)
VAT1	Vesicle amine transport protein 1 homolog (T. californica)
TCEA1	Transcription elongation factor A (SII), 1
ACOX3	Coenzyme A oxidase 3, pristanoyl
LBX1	Ladybird homeobox homolog 1 (Drosophila)
C9orf77	Chromosome 9 open reading frame 77
PIGQ	Phosphatidylinositol glycan anchor biosynthesis, class Q
CRKRS	Cdc2-related kinase, arginine/serine-rich
NEK1	NIMA (never in mitosis gene a)-related kinase 1
HIF1A	Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)
DHX16	DEAH (Asp-Glu-Ala-His) box polypeptide 16
SNX4	Sorting nexin 4
MYF6	Myogenic factor 6 (herculin)
TBC1D23	TBC1 domain family, member 23
