CL	Gene	Function
7 (-8.1)	CD52	Receptors/Cell Surface Proteins
1 (4.4)	DUSP5	Intracellular Signalling Molecules
1 (3.6)	MacMARCKS	Intracellular Signalling Molecules
1 (3.5)	MARCKS	Intracellular Signalling Molecules
1 (2.5)	PYST1	Intracellular Signalling Molecules
1 (2.5)	DUSP6	Intracellular Signalling Molecules
2 (40.5)	Endoglin	Intracellular Signalling Molecules
2 (9.2)	Phorbolin I	Intracellular Signalling Molecules
2 (4.7)	BCL-3	Intracellular Signalling Molecules
2 (4.1)	PIM-1	Intracellular Signalling Molecules
3 (10.8)	PTP-1beta	Intracellular Signalling Molecules
3 (8.6)	TRAF1	Intracellular Signalling Molecules
3 (5.6)	RalGDS	Intracellular Signalling Molecules
3 (3.0)	G protein gamma -10	Intracellular Signalling Molecules
3 (2.9)	G protein alpha -16	Intracellular Signalling Molecules
4 (2.8)	AnnexinII	Intracellular Signalling Molecules
5 (23.7)	RAB13	Intracellular Signalling Molecules
5 (3.1)	FKBP52	Intracellular Signalling Molecules
5 (2.5)	G3BP GAP	Intracellular Signalling Molecules
6 (16.0)	Stathmin	Intracellular Signalling Molecules
7 (-3.7)	ATM	Intracellular Signalling Molecules
8 (-9.8)	CAM Kinase II	Intracellular Signalling Molecules
8 (-6.3)	CDC42	Intracellular Signalling Molecules
8 (-2.7)	PKC-beta II	Intracellular Signalling Molecules
8 (-2.6)	PKC-beta I	Intracellular Signalling Molecules
1 (10.0)	ICAM-1	Integrins/Adhesion
2 (5.6)	Vitronectin	Integrins/Adhesion
7 (-4.6)	ICAM-3	Integrins/Adhesion
7 (-3.3)	Beta-7	Integrins/Adhesion
7 (-2.5)	Alpha-4	Integrins/Adhesion
1 (2.5)	L-fucosidase	Metabolic Enzymes/Structural Proteins
3 (4.2)	Tubulin	Metabolic Enzymes/Structural Proteins
3 (2.6)	Alanyl tRNA synthetase	Metabolic Enzymes/Structural Proteins
3 (2.5)	Phosphoglycerate Kinase	Metabolic Enzymes/Structural Proteins
4 (19.8)	Indoleamine 2,3 dioxygenase	Metabolic Enzymes/Structural Proteins
4 (5.3)	Gamma glutaryl transferase	Metabolic Enzymes/Structural Proteins
4 (4.1)	Porin	Metabolic Enzymes/Structural Proteins
4 (3.4)	5-Aminolevulinic acid synthase	Metabolic Enzymes/Structural Proteins
4 (3.1)	Prolyl 4-hydroxlase	Metabolic Enzymes/Structural Proteins
4 (2.7)	Mevalonate kinase	Metabolic Enzymes/Structural Proteins
4 (2.6)	Pyruvate kinase	Metabolic Enzymes/Structural Proteins
5 (6.5)	RNA polymerase II	Metabolic Enzymes/Structural Proteins
5 (6.2)	Ribonuclease	Metabolic Enzymes/Structural Proteins
5 (5.9)	Acid phosphatase type 5	Metabolic Enzymes/Structural Proteins
5 (4.1)	Fructose1,6 bisphosphate	Metabolic Enzymes/Structural Proteins
5 (2.9)	Glucose 6 phosphate isomerase	Metabolic Enzymes/Structural Proteins
5 (2.6)	PGFT	Metabolic Enzymes/Structural Proteins
5 (2.6)	NM23-H1	Metabolic Enzymes/Structural Proteins
6 (3.2)	Sterol 26-hydroxylase	Metabolic Enzymes/Structural Proteins
7 (-22)	Aldehyde dehydrogenase	Metabolic Enzymes/Structural Proteins
7 (-8.1)	Vinculin	Metabolic Enzymes/Structural Proteins
7 (-3.7)	Acyloxacyl hydrolase	Metabolic Enzymes/Structural Proteins
8 (-4.9)	Dihydropyrimidine dehydrog.	Metabolic Enzymes/Structural Proteins
8 (-3.1)	Transketolase	Metabolic Enzymes/Structural Proteins
5 (5.1)	AMP deaminase	Nucleotide/DNA Synthesis
6 (35.0)	Thymidylate synthase	Nucleotide/DNA Synthesis
6 (18.7)	DNA topoisomerase II	Nucleotide/DNA Synthesis
6 (3.5)	CDC46	Nucleotide/DNA Synthesis
6 (3.2)	Blooms Syndrome helicase	Nucleotide/DNA Synthesis
6 (2.6)	DNA primase	Nucleotide/DNA Synthesis
6 (2.5)	Thymidine kinase	Nucleotide/DNA Synthesis
1 (3.1)	Caspase-1	Pro/Anti Apoptotic factors
1 (3.1)	ICE	Pro/Anti Apoptotic factors
1 (2.5)	Fas Ligand	Pro/Anti Apoptotic factors
2 (4.9)	BFL-1	Pro/Anti Apoptotic factors
4 (2.6)	BNIP-3	Pro/Anti Apoptotic factors
7 (-10)	Catalase	Pro/Anti Apoptotic factors
7 (-4.0)	Granzyme-3	Pro/Anti Apoptotic factors
1 (6.9)	Aminopeptidase N	Proteases/Antigen Processing
1 (5.2)	Pepsinogen	Proteases/Antigen Processing
2 (2.5)	TAP-1	Proteases/Antigen Processing
3 (18.4)	Cathepsin L	Proteases/Antigen Processing
3 (5.8)	Cathepsin B	Proteases/Antigen Processing
3 (5.1)	Alpha-tryptase	Proteases/Antigen Processing
3 (2.4)	TAP-2E	Proteases/Antigen Processing
5 (3.4)	Mitochondrial Lon protease	Proteases/Antigen Processing
1 (3.9)	D31884	ESTs
4 (3.6)	D31887	ESTs
5 (3.4)	D31766	ESTs
6 (6.0)	D13633	ESTs
7 (-3.0)	D25538	ESTs
