Agilent ProbeName	Affymetrix ProbeName	GeneID	GeneName	logFC	P.Value	adj.P.Val	adj.P.Val expression
A_17_P04029784	218534_s_at	AGGF1	FETAL HYPOTHETICAL PROTEIN	1.01545722	7.79E-05	0.007512	7.53E-06
A_17_P17011176	207038_at	SLC16A6	SOLUTE CARRIER FAMILY 16 (MONOCARBOXYLIC ACID TRANSPORTERS), MEMBER 6	0.906789901	7.76E-05	0.00762	0.002363
A_17_P16993229	221278_at	HOXB8	HOMEOBOX B8	0.854569758	8.04E-05	0.00763	0.230065
A_17_P16665343	213346_at	C13orf27	CHROMOSOME 13 OPEN READING FRAME 27	0.804136817	8.29E-05	0.00763	0.000196
A_17_P04337427	201866_s_at	NR3C1	NUCLEAR RECEPTOR SUBFAMILY 3, GROUP C, MEMBER 1 (GLUCOCORTICOID RECEPTOR	0.797460159	8.35E-05	0.007811	0.326435
A_17_P07559904	244435_at	FLJ45557	HYPOTHETICAL PROTEIN LOC642938	0.773875656	8.42E-05	0.007811	0.011552
A_17_P15989203	207143_at	CDK6	CYCLIN-DEPENDENT KINASE 6	0.894357025	8.82E-05	0.007826	0.292634
A_17_P00200036	237337_at	CC2D1B	KIAA1836 PROTEIN	0.789019668	8.93E-05	0.007851	0.195616
A_17_P16405914	218921_at	SIGIRR	SINGLE IMMUNOGLOBULIN AND TOLL-INTERLEUKIN 1 RECEPTOR (TIR) DOMAIN	0.724140683	8.99E-05	0.007851	5.65E-08
A_17_P16725311	231230_at	KCNK10	POTASSIUM CHANNEL, SUBFAMILY K, MEMBER 10	0.697332415	9.08E-05	0.007851	0.072808
A_17_P04049222	225538_at	ZCCHC9	ZINC FINGER, CCHC DOMAIN CONTAINING 9	0.839935304	9.02E-05	0.008154	7.88E-05
A_17_P08839794	221015_s_at	CDADC1	CYTIDINE AND DCMP DEAMINASE DOMAIN CONTAINING 1	0.946291116	9.19E-05	0.008154	9.69E-05
A_17_P00342729	218462_at	BXDC5	BRIX DOMAIN CONTAINING 5	0.840603181	9.27E-05	0.008154	0.040643
A_17_P15140792	229475_at	MAEL	MAELSTROM HOMOLOG	0.723249933	9.26E-05	0.008233	0.035109
A_17_P17298218	221807_s_at	TRABD	TraB domain containing	0.767944903	9.24E-05	0.008249	0.002717
A_17_P08733341	203403_s_at	RNF6	RING FINGER PROTEIN (C3H2C3 TYPE) 6	0.82006911	9.55E-05	0.008249	0.326435
A_17_P16555102	210051_at	RAPGEF3	RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF) 3	0.810555617	9.67E-05	0.008345	0.001199
A_17_P04326653	231789_at	PCDHB15	PROTOCADHERIN BETA 15	0.691531176	9.90E-05	0.008511	0.161086
A_17_P16407075	218725_at	SLC25A22	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER: GLUTAMATE), MEMBER 22	0.685473575	0.000102464	0.008531	1.50E-06
A_17_P15383797	221608_at	WNT6	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 6	0.622406843	0.00010313	0.00857	7.02E-05
A_17_P07605046	219533_at	CDKN1C	CYCLIN-DEPENDENT KINASE INHIBITOR 1C (P57, KIP2)	0.831953945	0.000108987	0.008858	0.000177
A_17_P10880947	206906_at	ICAM5	INTERCELLULAR ADHESION MOLECULE 5, TELENCEPHALIN	0.673858416	0.000112579	0.008915	3.35E-05
A_17_P06542219	231800_s_at	DMRT3	DOUBLESEX AND MAB-3 RELATED TRANSCRIPTION FACTOR 3	0.657692703	0.000113818	0.008915	0.000795
A_17_P16513348	205393_s_at	CHEK1	CHK1 CHECKPOINT HOMOLOG (S. POMBE)	0.714097922	0.000114765	0.008916	0.367776
A_17_P16998715	231798_at	NOG	NOGGIN	0.703464982	0.000116427	0.008916	0.062726
A_17_P16122989	220254_at	LRP12	LOW DENSITY LIPOPROTEIN-RELATED PROTEIN 12	0.714120497	0.000117034	0.008933	2.89E-05
A_17_P15035578	226178_at	DDOST	DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE-PROTEIN GLYCOSYLTRANSFERASE	0.71768855	0.000117241	0.008963	0.168327
A_17_P16121776	223342_at	RRM2B	RIBONUCLEOTIDE REDUCTASE M2 B (TP53 INDUCIBLE)	0.791925585	0.000119158	0.008963	0.27434
A_17_P01432419	220559_at	EN1	ENGRAILED HOMOLOG 1	0.779142701	0.000120747	0.008963	0.014464
A_17_P09853743	209119_x_at	NR2F2	NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 2	0.886467275	0.000122909	0.009169	0.000208
A_17_P08318031	201745_at	TWF1	TWINFILIN A	0.717045713	0.000124753	0.009224	0.026522
A_17_P17182308	201704_at	ENTPD6	ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 6 (PUTATIVE FUNCTION)	0.820183136	0.000130016	0.009306	0.000133
A_17_P15255305	234721_s_at	CYP26B1	CYTOCHROME P450, FAMILY 26, SUBFAMILY B, POLYPEPTIDE 1	0.719969945	0.000134455	0.009531	0.013228
A_17_P11739179	1553264_a_at	SYN1	SYNAPSIN I	0.690325604	0.000136035	0.009579	0.000108
A_17_P17142049	202210_x_at	GSK3A	GLYCOGEN SYNTHASE KINASE 3 ALPHA	0.734289739	0.000140042	0.009833	0.004607
