GeneID	In Grade III	P value	t statistic	Adj.  P value	Symbol	Description
743810	1	6.30E-03	3.03	0.17362215	MGC2577	hypothetical protein MGC2577
812965		6.50E-03	3.02	0.17598518	MYC	v-myc avian myelocytomatosis viral oncogene homolog
753400		6.80E-03	2.99	0.1824326	BAF53A	BAF53
76605		7.00E-03	2.97	0.18297681	NESCA	nesca protein
234562		7.20E-03	2.95	0.18297681	SFRS2IP	splicing factor, arginine/serine-rich 2, interacting protein
340558		7.30E-03	2.95	0.18297681	ARPC5	actin related protein 2/3 complex, subunit 5 (16 kD)
781047	1	7.40E-03	2.94	0.18297681	BUB1	budding uninhibited by benzimidazoles 1 (yeast homolog)
1422338	1	7.40E-03	2.94	0.18297681	RRM2	ribonucleotide reductase M2 polypeptide
284583		7.40E-03	2.94	0.18297681	KIAA0978	KIAA0978 protein
796694	1	7.70E-03	2.92	0.18720879	BIRC5	baculoviral IAP repeat-containing 5 (survivin)
810156		7.80E-03	2.91	0.18778643	DTYMK	deoxythymidylate kinase (thymidylate kinase)
125342		7.90E-03	2.9	0.18778643	SUSP1	SUMO-1-specific protease
789232		8.10E-03	2.88	0.18975804	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4
725454	1	8.30E-03	2.87	0.18975804	CKS2	CDC28 protein kinase 2
115443		8.40E-03	2.86	0.18975804	HSPC216	hypothetical protein
234522		8.40E-03	2.86	0.18975804	KIAA1535	KIAA1535 protein
266218		8.80E-03	2.84	0.19579094
2757710		9.30E-03	2.81	0.20396615	ZNF37A	zinc finger protein 37a (KOX 21)
725649		9.50E-03	2.79	0.20537979	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
770066		1.00E-02	2.77	0.21332887	KIAA0056	KIAA0056 protein
