Gene Symbol	Name
ANKRD27	Ankyrin repeat domain 27 (VPS9 domain)
ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
ANXA9	Annexin A9
APOD	Apolipoprotein D
AQP3	Aquaporin 3 (Gill blood group)
ARPC5	Actin related protein 2/3 complex, subunit 5, 16kDa
ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
AYTL1	Acyltransferase like 1
BCAM	Basal cell adhesion molecule (Lutheran blood group)
BMI1	BMI1 polycomb ring finger oncogene
BMP4	Bone morphogenetic protein 4
BST2	Bone marrow stromal cell antigen 2
BTN3A3	Butyrophilin, subfamily 3, member A3
C14orf132	Chromosome 14 open reading frame 132
C17orf63	Chromosome 17 open reading frame 63
C4B	Complement component 4B (Childo blood group)
CA2	Carbonic anhydrase II
CABC1	Chaperone, ABC1 activity of bc1 complex homolog (S. pombe)
CCL18	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
CD24	CD24 molecule
CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)
CEACAM5	Carcinoembryonic antigen-related cell adhesion molecule 5
CFB	Complement factor B
CHGB	Chromogranin B (secretogranin 1)
CHI3L2	Chitinase 3-like 2
CIB2	Calcium and integrin binding family member 2
CKMT1B	Creatine kinase, mitochondrial 1B
COLEC12	Collectin sub-family member 12
CP	Ceruloplasmin (ferroxidase)
CRABP1	Cellular retinoic acid binding protein 1
CRABP2	Cellular retinoic acid binding protein 2
CRAT	Carnitine acetyltransferase
CX3CL1	Chemokine (C-X3-C motif) ligand 1
CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
CYB5A	Cytochrome b5 type A (microsomal)
CYP2A7	Cytochrome P450, family 2, subfamily A, polypeptide 7
DEGS1	Degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)
DIDO1	Death inducer-obliterator 1
DUSP4	Dual specificity phosphatase 4
EBNA1BP2	EBNA1 binding protein 2
ECHDC1	Enoyl Coenzyme A hydratase domain containing 1
ECHDC2	Enoyl Coenzyme A hydratase domain containing 2
EPHX2	Epoxide hydrolase 2, cytoplasmic
ETFA	Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
FABP7	Fatty acid binding protein 7, brain
FADD	Fas (TNFRSF6)-associated via death domain
FLJ20920	Hypothetical protein FLJ20920
FLJ25076	Similar to CG4502-PA
FLOT2	Flotillin 2
FMO5	Flavin containing monooxygenase 5
FMOD	Fibromodulin
FZD6	Frizzled homolog 6 (Drosophila)
FZD8	Frizzled homolog 8 (Drosophila)
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
GGH	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
GSTA4	Glutathione S-transferase A4
GSTM2	Glutathione S-transferase M2 (muscle)
GSTM4	Glutathione S-transferase M4
GSTT1	Glutathione S-transferase theta 1
GTF2H2	General transcription factor IIH, polypeptide 2, 44kDa
H19	H19, imprinted maternally expressed untranslated mRNA
HIST2H2BE	Histone cluster 2, H2be
HOXB6	Homeobox B6
HRASLS3	HRAS-like suppressor 3
HSPB8	Heat shock 22kDa protein 8
IFI6	Interferon, alpha-inducible protein 6
IGFBP5	Insulin-like growth factor binding protein 5
	Immunoglobulin lambda locus
IGLL1	Immunoglobulin lambda-like polypeptide 1
IRS1	Insulin receptor substrate 1
KCNK1	Potassium channel, subfamily K, member 1
KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
KIAA0182	KIAA0182
KRT13	Keratin 13
KRT6A	Keratin 6A
LAD1	Ladinin 1
LAMA5	Laminin, alpha 5
LAPTM4B	Lysosomal associated protein transmembrane 4 beta
LOC162073	Hypothetical protein LOC162073
LOC645561	Hypothetical LOC645561
LOC90110	Hypothetical protein LOC90110
LTF	Lactotransferrin
MAST4	Microtubule associated serine/threonine kinase family member 4
MGST1	Microsomal glutathione S-transferase 1
MMP14	Matrix metallopeptidase 14 (membrane-inserted)
MMP15	Matrix metallopeptidase 15 (membrane-inserted)
MPHOSPH6	M-phase phosphoprotein 6
MT1X	Metallothionein 1X
MTSS1	Metastasis suppressor 1
MUC1	Mucin 1, cell surface associated
MX1	Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)
NLRP2	NLR family, pyrin domain containing 2
NPNT	Nephronectin
NQO1	NAD(P)H dehydrogenase, quinone 1
NRG1	Neuregulin 1
PBX1	Pre-B-cell leukemia homeobox 1
PEG3	Paternally expressed 3
PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
PLAT	Plasminogen activator, tissue
PLK2	Polo-like kinase 2 (Drosophila)
PNKD	Paroxysmal nonkinesiogenic dyskinesia
PON3	Paraoxonase 3
PPIF	Peptidylprolyl isomerase F (cyclophilin F)
PRAME	Preferentially expressed antigen in melanoma
PRKACB	Protein kinase, cAMP-dependent, catalytic, beta
PRNPIP	Prion protein interacting protein
PRSS23	Protease, serine, 23
PSPHL	Phosphoserine phosphatase-like
PTPRK	Protein tyrosine phosphatase, receptor type, K
PTPRM	Protein tyrosine phosphatase, receptor type, M
PXMP3	Peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)
RAB31	RAB31, member RAS oncogene family
RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
RARRES3	Retinoic acid receptor responder (tazarotene induced) 3
REEP5	Receptor accessory protein 5
REPS2	RALBP1 associated Eps domain containing 2
RPS23	Ribosomal protein S23
RSF1	Remodeling and spacing factor 1
S100A1	S100 calcium binding protein A1
S100P	S100 calcium binding protein P
SDC2	Syndecan 2
SELENBP1	Selenium binding protein 1
SHC2	SHC (Src homology 2 domain containing) transforming protein 2
SIAH2	Seven in absentia homolog 2 (Drosophila)
SLC9A7	Solute carrier family 9 (sodium/hydrogen exchanger), member 7
SLPI	Secretory leukocyte peptidase inhibitor
SMA3	SMA3
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
SNED1	Sushi, nidogen and EGF-like domains 1
SQLE	Squalene epoxidase
STARD3	START domain containing 3
TCEA3	Transcription elongation factor A (SII), 3
TFAP2B	Transcription factor AP-2 beta (activating enhancer binding protein 2 beta)
TFAP2C	Transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)
TFF3	Trefoil factor 3 (intestinal)
THRAP4	Thyroid hormone receptor associated protein 4
TMEM65	Transmembrane protein 65
TNC	Tenascin C (hexabrachion)
TncRNA	Trophoblast-derived noncoding RNA
TRIM29	Tripartite motif-containing 29
TRPS1	Trichorhinophalangeal syndrome I
TUSC3	Tumor suppressor candidate 3
WNT5A	Wingless-type MMTV integration site family, member 5A
BCL2	B-cell CLL/lymphoma 2
CLDN7	Claudin 7
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
GPR160	G protein-coupled receptor 160
GSTM1	Glutathione S-transferase M1
KRT8	Keratin 8
LRIG1	Leucine-rich repeats and immunoglobulin-like domains 1
MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2
MYC	V-myc myelocytomatosis viral oncogene homolog (avian)
S100A8	S100 calcium binding protein A8
ACADM	Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain
ADAM15	ADAM metallopeptidase domain 15
ADH1B	Alcohol dehydrogenase IB (class I), beta polypeptide
AFF3	AF4/FMR2 family, member 3
AGL	Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)
ALDH1A1	Aldehyde dehydrogenase 1 family, member A1
ALDH1A2	Aldehyde dehydrogenase 1 family, member A2
ANKRD25	Ankyrin repeat domain 25
ANKRD50	Ankyrin repeat domain 50
ANXA1	Annexin A1
AOC3	Amine oxidase, copper containing 3 (vascular adhesion protein 1)
AQP1	Aquaporin 1 (Colton blood group)
AQP7	Aquaporin 7
ARMC1	Armadillo repeat containing 1
ARNT2	Aryl-hydrocarbon receptor nuclear translocator 2
ASPN	Asporin
ATP7B	ATPase, Cu++ transporting, beta polypeptide
ATP8A1	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1
BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)
BSPRY	B-box and SPRY domain containing
BTG2	BTG family, member 2
C14orf147	Chromosome 14 open reading frame 147
C5orf4	Chromosome 5 open reading frame 4
C9orf75	Chromosome 9 open reading frame 75
CALM1	Calmodulin 1 (phosphorylase kinase, delta)
CAPN3	Calpain 3, (p94)
CAPN6	Calpain 6
CAV1	Caveolin 1, caveolae protein, 22kDa
CAV2	Caveolin 2
CCL14	Chemokine (C-C motif) ligand 14
CCNU	Cyclin U
CD36	CD36 molecule (thrombospondin receptor)
CD79A	CD79a molecule, immunoglobulin-associated alpha
CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)
CDO1	Cysteine dioxygenase, type I
CELSR2	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
CIDEC	Cell death-inducing DFFA-like effector c
CLNS1A	Chloride channel, nucleotide-sensitive, 1A
CNN1	Calponin 1, basic, smooth muscle
CNTNAP1	Contactin associated protein 1
COL11A1	Collagen, type XI, alpha 1
COL17A1	Collagen, type XVII, alpha 1
CRYAB	Crystallin, alpha B
CTSK	Cathepsin K
DGAT2	Diacylglycerol O-acyltransferase homolog 2 (mouse)
DIO1	Deiodinase, iodothyronine, type I
DKFZP779L1068	PRO0845
DMD	Dystrophin (muscular dystrophy, Duchenne and Becker types)
DPT	Dermatopontin
DPYSL2	Dihydropyrimidinase-like 2
DSG2	Desmoglein 2
DST	Dystonin
DUSP14	Dual specificity phosphatase 14
DUSP6	Dual specificity phosphatase 6
DYNLL2	Dynein, light chain, LC8-type 2
E2F5	E2F transcription factor 5, p130-binding
EDNRB	Endothelin receptor type B
EGLN3	Egl nine homolog 3 (C. elegans)
ENC1	Ectodermal-neural cortex (with BTB-like domain)
EPAS1	Endothelial PAS domain protein 1
EPYC	Epiphycan
ETFB	Electron-transfer-flavoprotein, beta polypeptide
F2RL1	Coagulation factor II (thrombin) receptor-like 1
FAAH	Fatty acid amide hydrolase
FABP3	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)
FABP4	Fatty acid binding protein 4, adipocyte
FADS2	Fatty acid desaturase 2
FAH	Fumarylacetoacetate hydrolase (fumarylacetoacetase)
FAM13A1	Family with sequence similarity 13, member A1
FAM49B	Family with sequence similarity 49, member B
FASN	Fatty acid synthase
FCGBP	Fc fragment of IgG binding protein
FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
FGFR2	Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
FGG	Fibrinogen gamma chain
FHL1	Four and a half LIM domains 1
FLJ20366	Hypothetical protein FLJ20366
FN1	Fibronectin 1
FOLR1	Folate receptor 1 (adult)
FOSB	FBJ murine osteosarcoma viral oncogene homolog B
GAD1	Glutamate decarboxylase 1 (brain, 67kDa)
GCAT	Glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)
GDAP2	Ganglioside induced differentiation associated protein 2
GFRA1	GDNF family receptor alpha 1
GJB1	Gap junction protein, beta 1, 32kDa
GNAS	GNAS complex locus
GOT2	Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
GPD1	Glycerol-3-phosphate dehydrogenase 1 (soluble)
GPX3	Glutathione peroxidase 3 (plasma)
GSN	Gelsolin (amyloidosis, Finnish type)
HMGB3	High-mobility group box 3
HN1L	Hematological and neurological expressed 1-like
HPN	Hepsin (transmembrane protease, serine 1)
IFI27	Interferon, alpha-inducible protein 27
IFIT1	Interferon-induced protein with tetratricopeptide repeats 1
IFITM1	Interferon induced transmembrane protein 1 (9-27)
IGF2	Insulin-like growth factor 2 (somatomedin A)
IGFBP6	Insulin-like growth factor binding protein 6
IGJ	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)
ISG15	ISG15 ubiquitin-like modifier
ITGA2	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
ITGA7	Integrin, alpha 7
ITGB4	Integrin, beta 4
ITM2A	Integral membrane protein 2A
JUP	Junction plakoglobin
KIAA0280	KIAA0280
KIAA1881	KIAA1881
KIF23	Kinesin family member 23
KLF4	Kruppel-like factor 4 (gut)
KPNA6	Karyopherin alpha 6 (importin alpha 7)
KRT18P17	Keratin 18 pseudogene 17
KRT7	Keratin 7
KRT8P12	Keratin 8 pseudogene 12
KYNU	Kynureninase (L-kynurenine hydrolase)
LAMA3	Laminin, alpha 3
LAPTM5	Lysosomal associated multispanning membrane protein 5
LBP	Lipopolysaccharide binding protein
LEPROTL1	Leptin receptor overlapping transcript-like 1
LIFR	Leukemia inhibitory factor receptor alpha
LOC284106	Hypothetical protein LOC284106
LPHN2	Latrophilin 2
LPL	Lipoprotein lipase
LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)
LYPLA1	Lysophospholipase I
LZTS1	Leucine zipper, putative tumor suppressor 1
MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
MAN2C1	Mannosidase, alpha, class 2C, member 1
MAOA	Monoamine oxidase A
MAOB	Monoamine oxidase B
MAP1B	Microtubule-associated protein 1B
MAPK8IP2	Mitogen-activated protein kinase 8 interacting protein 2
MBNL2	Muscleblind-like 2 (Drosophila)
MEOX1	Mesenchyme homeobox 1
METTL7A	Methyltransferase like 7A
MFAP3L	Microfibrillar-associated protein 3-like
MFAP4	Microfibrillar-associated protein 4
MGLL	Monoglyceride lipase
MLLT4	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4
MN1	Meningioma (disrupted in balanced translocation) 1
MOSC1	MOCO sulphurase C-terminal domain containing 1
MRAS	Muscle RAS oncogene homolog
MRPS18B	Mitochondrial ribosomal protein S18B
MUC15	Mucin 15, cell surface associated
MYCL1	V-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)
MYO18A	Myosin XVIIIA
MYO6	Myosin VI
NAPRT1	Nicotinate phosphoribosyltransferase domain containing 1
NEBL	Nebulette
NEDD4L	Neural precursor cell expressed, developmentally down-regulated 4-like
NFIA	Nuclear factor I/A
NFIX	Nuclear factor I/X (CCAAT-binding transcription factor)
OCLN	Occludin
OLFM1	Olfactomedin 1
OXCT1	3-oxoacid CoA transferase 1
PCDHA6	Protocadherin alpha 6
PDE4B	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
PDK4	Pyruvate dehydrogenase kinase, isozyme 4
PERQ1	PERQ amino acid rich, with GYF domain 1
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
PIK3R3	Phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)
PKIB	Protein kinase (cAMP-dependent, catalytic) inhibitor beta
PLEKHC1	Pleckstrin homology domain containing, family C (with FERM domain) member 1
PPAP2B	Phosphatidic acid phosphatase type 2B
PPAPDC1B	Phosphatidic acid phosphatase type 2 domain containing 1B
PPARG	Peroxisome proliferator-activated receptor gamma
PPFIA1	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
PRDX1	Peroxiredoxin 1
PRKAB2	Protein kinase, AMP-activated, beta 2 non-catalytic subunit
PRLR	Prolactin receptor
PTN	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
PTPRF	Protein tyrosine phosphatase, receptor type, F
PVALB	Parvalbumin
PYGM	Phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)
RAB6A	RAB6A, member RAS oncogene family
RAP1GAP	RAP1 GTPase activating protein
RBM35B	RNA binding motif protein 35B
RBM38	RNA binding motif protein 38
RBP4	Retinol binding protein 4, plasma
RNF141	Ring finger protein 141
SCD	Stearoyl-CoA desaturase (delta-9-desaturase)
SERPINA3	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
SLFN5	Schlafen family member 5
SMOC2	SPARC related modular calcium binding 2
SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)
SP110	SP110 nuclear body protein
SPINT2	Serine peptidase inhibitor, Kunitz type, 2
STAT1	Signal transducer and activator of transcription 1, 91kDa
STAT4	Signal transducer and activator of transcription 4
STC1	Stanniocalcin 1
SYT17	Synaptotagmin XVII
TFF1	Trefoil factor 1
TFRC	Transferrin receptor (p90, CD71)
TGFB2	Transforming growth factor, beta 2
TGFBR2	Transforming growth factor, beta receptor II (70/80kDa)
THRB	Thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)
TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
TM4SF1	Transmembrane 4 L six family member 1
TMEPAI	Transmembrane, prostate androgen induced RNA
TNNI2	Troponin I type 2 (skeletal, fast)
TNS1	Tensin 1
TOB1	Transducer of ERBB2, 1
TPD52	Tumor protein D52
TPM1	Tropomyosin 1 (alpha)
TRAF4	TNF receptor-associated factor 4
TRPV6	Transient receptor potential cation channel, subfamily V, member 6
TSC22D1	TSC22 domain family, member 1
TSHZ2	Teashirt family zinc finger 2
TSPAN7	Tetraspanin 7
TSTA3	Tissue specific transplantation antigen P35B
TXNIP	Thioredoxin interacting protein
USP32	Ubiquitin specific peptidase 32
VWF	Von Willebrand factor
WASF3	WAS protein family, member 3
WFDC2	WAP four-disulfide core domain 2
WWP2	WW domain containing E3 ubiquitin protein ligase 2
XPO4	Exportin 4
YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
ZEB2	Zinc finger E-box binding homeobox 2
ZHX1	Zinc fingers and homeoboxes 1
ZNF217	Zinc finger protein 217
ZNFX1	Zinc finger, NFX1-type containing 1
