Probe Set ID	Gene Title	Symbol	Location	Entrez	Pearson r	P-Value	Spearman r	P-Value	Pearson r	P-Value	Spearman r	P-Value
213265_at	pepsinogen 5, group I (pepsinogen A) /// similar to Pepsin A precursor /// similar to Pepsin A precursor	PGA5 /// LOC643834 /// LOC643847	11q13 /// 11q12.2	5222 /// 643834 /// 643847	-0.36076	0.0074	-0.29182	0.0323	-0.34398	0.0109	-0.34643	0.0103
213269_at	zinc finger protein 248	ZNF248	---	57209	0.40623	0.0023	0.42928	0.0012	0.43937	0.0009	0.40919	0.0021
213668_s_at	SRY (sex determining region Y)-box 4	SOX4	6p22.3	6659	0.39436	0.0032	0.39616	0.003	0.27161	0.047	0.35969	0.0076
213715_s_at	ankyrin repeat domain 47	ANKRD47	19p13.2	256949	0.38951	0.0036	0.41955	0.0016	0.3946	0.0031	0.40056	0.0027
213878_at	Islet amyloid polypeptide	IAPP	12p12.3-p12.1	3375	0.34155	0.0115	0.30378	0.0255	0.50117	0.0001	0.33652	0.0128
213934_s_at	zinc finger protein 19 /// zinc finger protein 23 (KOX 16)	ZNF19 /// ZNF23	16q22	7567 /// 7571	0.29931	0.0279	0.28554	0.0364	0.3646	0.0067	0.27296	0.0458
214381_at	septin 7 pseudogene /// similar to septin 7	LOC441601 /// LOC652471	11p11.12	441601 /// 652471	-0.28281	0.0383	-0.31973	0.0184	-0.53178	0.0001	-0.54415	0.0001
214823_at	zinc finger protein 204	ZNF204	6p21.3	7754	0.35003	0.0095	0.31984	0.0184	0.46222	0.0004	0.36691	0.0064
214881_s_at	upstream binding transcription factor, RNA polymerase I	UBTF	17q21.3	7343	0.33189	0.0142	0.37044	0.0058	0.47268	0.0003	0.49809	0.0001
215274_at	solute carrier family 12 (sodium/chloride transporters), member 3	SLC12A3	16q13	6559	-0.33159	0.0143	-0.31888	0.0188	-0.44098	0.0008	-0.3882	0.0037
215359_x_at	zinc finger protein 44	ZNF44	19p13.2	51710	0.33949	0.012	0.3372	0.0127	0.34536	0.0105	0.34872	0.0098
215470_at	similar to TFIIH basal transcription factor complex p44 subunit (Basic transcription factor 2 44 kDa subunit) (BTF2-p44) (General transcription factor IIH polypeptide 2)	DKFZP686 M0199	5q13.2	653238	0.38847	0.0037	0.37963	0.0046	0.4202	0.0016	0.39945	0.0028
215822_x_at	myelin transcription factor 1	MYT1	20q13.33	4661	-0.3005	0.0273	-0.28594	0.0361	-0.46935	0.0003	-0.47002	0.0003
215933_s_at	homeobox, hematopoietically expressed	HHEX	10q23.33	3087	0.30186	0.0265	0.30034	0.0273	0.38551	0.004	0.40433	0.0024
216277_at	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	2q14	699	-0.40363	0.0025	-0.34801	0.0099	-0.54063	0.0001	-0.55329	0.0001
216499_at	MRNA; cDNA DKFZp434K0610 (from clone DKFZp434K0610)	---	---	---	-0.35772	0.0079	-0.29916	0.028	-0.40755	0.0022	-0.41536	0.0018
216747_at	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	APBB2	4p14-p13	323	-0.32758	0.0156	-0.40258	0.0025	-0.42015	0.0016	-0.4144	0.0018
216748_at	pyrin and HIN domain family, member 1	PYHIN1	1q23.1	149628	-0.43688	0.001	-0.36183	0.0072	-0.5087	0.0001	-0.43374	0.0011
216831_s_at	runt-related   transcription factor 1; translocated to, 1 (cyclin D-related)	RUNX1T1	8q22	862	0.40762	0.0022	0.45469	0.0006	0.38609	0.0039	0.4399	0.0009
216892_at	Immunoglobulin heavy constant gamma 1 (G1m marker)	IGHG1	14q32.33	3500	-0.44599	0.0007	-0.28216	0.0387	-0.54563	0.0001	-0.60118	0.0001
216972_at	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	SPAM1	7q31.3	6677	-0.53767	0.0001	-0.40023	0.0027	-0.62512	0.0001	-0.52953	0.0001
217369_at	immunoglobulin heavy constant gamma 1 (G1m marker) /// similar to Ig heavy chain V-III region VH26 precursor /// anti-RhD monoclonal T125 gamma1 heavy chain	IGHG1 /// LOC388255 /// LOC652848	14q32.33 /// 16p11.2	3500 /// 388255 /// 652848	-0.32847	0.0153	-0.28386	0.0375	-0.34064	0.0117	-0.31828	0.019
218323_at	ras homolog gene family, member T1	RHOT1	17q11.2	55288	0.30986	0.0226	0.27026	0.0481	0.45089	0.0006	0.4054	0.0024
218490_s_at	zinc finger protein 302	ZNF302	19q13.11	55900	0.29556	0.03	0.28219	0.0387	0.39867	0.0028	0.35391	0.0087
219067_s_at	chromosome 10 open reading frame 86	C10orf86	10q26.13	54780	0.34588	0.0104	0.36562	0.0066	0.47918	0.0002	0.43809	0.0009
219527_at	MOCO sulphurase C-terminal domain containing 2	MOSC2	1q41	54996	0.32675	0.0159	0.33427	0.0135	0.47307	0.0003	0.42875	0.0012
220011_at	chromosome 1 open reading frame 135	C1orf135	1p36.11	79000	-0.39233	0.0033	-0.30049	0.0273	-0.48786	0.0002	-0.53658	0.0001
220094_s_at	chromosome 6 open reading frame 79	C6orf79	6p24.3-p23	63933	0.38303	0.0043	0.33675	0.0128	0.52391	0.0001	0.43618	0.001
220420_at	lectin, mannose-binding, 1 like	LMAN1L	15q24.1	79748	-0.40043	0.0027	-0.36852	0.0061	-0.54398	0.0001	-0.50958	0.0001
220511_s_at	deleted in liver cancer 1	DLC1	8p22	10395	-0.35165	0.0091	-0.2731	0.0457	-0.29652	0.0295	-0.28673	0.0355
220906_at	---	---	---	---	0.29478	0.0305	0.30205	0.0264	0.38605	0.0039	0.36379	0.0069
220925_at	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	MAK10	9q21.33	60560	0.35079	0.0093	0.30508	0.0249	0.40106	0.0027	0.30893	0.023
220936_s_at	H2A histone family, member J	H2AFJ	12p12	55766	0.31995	0.0184	0.28197	0.0389	0.33949	0.012	0.3018	0.0266
221313_at	G protein-coupled receptor 52	GPR52	1q24	9293	-0.42185	0.0015	-0.33074	0.0146	-0.41549	0.0018	-0.4244	0.0014
221371_at	tumor necrosis factor (ligand) superfamily, member 18	TNFSF18	1q23	8995	-0.40628	0.0023	-0.33789	0.0125	-0.39711	0.0029	-0.32247	0.0174
221552_at	abhydrolase domain containing 6	ABHD6	3p14.3	57406	0.33254	0.014	0.29114	0.0327	0.33932	0.0121	0.27315	0.0457
221847_at	Full-length cDNA clone CS0DE005YD08 of Placenta of Homo sapiens (human)	---	---	---	0.35089	0.0093	0.31019	0.0224	0.30466	0.0251	0.28395	0.0374
221948_s_at	Kelch-like 22 (Drosophila)	KLHL22	22q11.21	84861	-0.28046	0.04	-0.40706	0.0023	-0.30767	0.0236	-0.37016	0.0059
222108_at	adhesion molecule with Ig-like domain 2	AMIGO2	12q13.11	347902	0.32994	0.0148	0.27373	0.0452	0.51031	0.0001	0.3932	0.0033
222203_s_at	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	RDH14	2p24.2	57665	0.39675	0.003	0.40723	0.0022	0.44468	0.0008	0.47687	0.0003
222603_at	KIAA1815	KIAA1815	9p24	79956	0.3901	0.0035	0.33041	0.0147	0.57374	0.0001	0.47132	0.0003
222739_at	transmembrane protein 62	TMEM62	15q15.2	80021	-0.35722	0.008	-0.43115	0.0011	-0.39774	0.0029	-0.43172	0.0011
222869_s_at	elaC homolog 1 (E. coli)	ELAC1	18q21	55520	0.30989	0.0226	0.28529	0.0365	0.36702	0.0063	0.33659	0.0128
223268_at	chromosome 11 open reading frame 54	C11orf54	11q21	28970	0.31032	0.0224	0.27876	0.0412	0.42044	0.0015	0.34433	0.0108
223538_at	small EDRK-rich factor 1A (telomeric)	SERF1A	5q12.2-q13.3	8293	0.39314	0.0033	0.34689	0.0102	0.33066	0.0146	0.33267	0.014
224034_at	Clone FLB8945 PRO2411	---	---	---	-0.34584	0.0104	-0.33714	0.0127	-0.35632	0.0082	-0.29269	0.0317
224711_at	YY1 transcription factor	YY1	14q	7528	0.32867	0.0152	0.28864	0.0343	0.49467	0.0001	0.50992	0.0001
224718_at	YY1 transcription factor	YY1	14q	7528	0.30367	0.0256	0.27181	0.0468	0.33188	0.0142	0.31584	0.02
224808_s_at	chromosome 7 open reading frame 20	C7orf20	7p22.3	51608	0.35477	0.0085	0.36775	0.0062	0.34797	0.0099	0.31855	0.0189
224873_s_at	mitochondrial ribosomal protein S25	MRPS25	3p25	64432	0.34001	0.0119	0.33107	0.0145	0.43954	0.0009	0.42985	0.0012
225191_at	cold inducible RNA binding protein	CIRBP	19p13.3	1153	0.31033	0.0224	0.31062	0.0223	0.28169	0.0391	0.27224	0.0464
225318_at	DDHD domain containing 2	DDHD2	8p12	23259	0.30545	0.0247	0.29799	0.0286	0.47718	0.0003	0.51469	0.0001
225332_at	Keratin associated protein 4-7	KRTAP4-7	17q12-q21	85287	0.35746	0.008	0.39052	0.0035	0.40292	0.0025	0.38175	0.0044
225346_at	MTERF domain containing 3	MTERFD3	12q24.1	80298	0.3456	0.0105	0.35628	0.0082	0.50259	0.0001	0.49619	0.0001
225394_s_at	zinc finger CCHC-type and RNA binding motif 1	ZCRB1	12q12	85437	0.40645	0.0023	0.38911	0.0036	0.38644	0.0039	0.35505	0.0084
225595_at	HCF-binding transcription factor Zhangfei	ZF	11q14	58487	0.35464	0.0085	0.4071	0.0023	0.43591	0.001	0.42539	0.0013
225962_at	zinc and ring finger 1	ZNRF1	16q23.1	84937	0.40674	0.0023	0.42036	0.0016	0.45569	0.0005	0.47784	0.0003
226492_at	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	SEMA6D	15q21.1	80031	0.40235	0.0026	0.47738	0.0003	0.45854	0.0005	0.41829	0.0016
226534_at	KIT ligand	KITLG	12q22	4254	0.37748	0.0049	0.38896	0.0037	0.53576	0.0001	0.47074	0.0003
226666_at	G protein-coupled receptor 135	GPR135	14q23.1	64582	0.32013	0.0183	0.29603	0.0297	0.4044	0.0024	0.40636	0.0023
226749_at	mitochondrial ribosomal protein S9	MRPS9	2q12.1	64965	0.37533	0.0052	0.34143	0.0115	0.40275	0.0025	0.3269	0.0158
226800_at	KIAA1799 protein	KIAA1799	1p31.3	84455	0.35691	0.0081	0.34986	0.0095	0.49931	0.0001	0.486	0.0002
227095_at	Leptin receptor	LEPR	1p31	3953	0.35139	0.0092	0.29554	0.03	0.48572	0.0002	0.40555	0.0023
227105_at	centrosome and spindle pole associated protein 1	CSPP1	8q13.2	79848	0.36242	0.0071	0.28101	0.0396	0.51523	0.0001	0.36646	0.0064
227148_at	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	PLEKHH2	2p21	130271	0.37585	0.0051	0.4046	0.0024	0.49601	0.0001	0.42268	0.0015
227449_at	EPH receptor A4	EPHA4	2q36.1	2043	0.41216	0.002	0.42231	0.0015	0.52895	0.0001	0.60356	0.0001
227852_at	retinitis pigmentosa 9 (autosomal dominant)	RP9	7p14.3	6100	0.41921	0.0016	0.4022	0.0026	0.48588	0.0002	0.53162	0.0001
228391_at	cytochrome P450, family 4, subfamily V, polypeptide 2	CYP4V2	4q35.2	285440	0.3134	0.021	0.35574	0.0083	0.46564	0.0004	0.49531	0.0001
228529_at	Transcribed locus	---	---	---	0.30353	0.0257	0.28043	0.04	0.49308	0.0002	0.45003	0.0006
228630_at	Zinc finger protein 84	ZNF84	12q24.33	7637	0.35487	0.0085	0.31549	0.0201	0.45343	0.0006	0.40499	0.0024
228636_at	basic helix-loop-helix domain containing, class B, 5	BHLHB5	8q13	27319	-0.36187	0.0072	-0.28735	0.0351	-0.46115	0.0004	-0.3903	0.0035
228680_at	kinesin family member 3A	KIF3A	5q31	11127	0.34208	0.0113	0.33385	0.0136	0.29277	0.0317	0.28361	0.0377
228760_at	Transcribed locus	---	---	---	0.33046	0.0147	0.34727	0.0101	0.47283	0.0003	0.49195	0.0002
229073_at	Hypothetical protein LOC145786	LOC145786	15q21.1	145786	0.37989	0.0046	0.47284	0.0003	0.39894	0.0028	0.38156	0.0044
229111_at	Mannan-binding lectin serine peptidase 2	MASP2	1p36.3-p36.2	10747	0.36604	0.0065	0.44648	0.0007	0.40093	0.0027	0.39827	0.0029
229572_at	Transcribed locus, moderately similar to XP_498452.1 PREDICTED: hypothetical protein XP_498452 [Homo sapiens]	---	---	---	0.38266	0.0043	0.38843	0.0037	0.42637	0.0013	0.3959	0.003
229623_at	hypothetical LOC441027	FLJ12993	4q21.22	441027	0.37543	0.0052	0.34559	0.0105	0.43419	0.001	0.44763	0.0007
229628_s_at	KIAA1529	KIAA1529	9q22.33	57653	0.34766	0.01	0.44695	0.0007	0.31994	0.0184	0.30795	0.0235
230032_at	O-sialoglycoprotein endopeptidase-like 1	OSGEPL1	2q32.2	64172	0.34582	0.0104	0.32722	0.0157	0.38593	0.0039	0.36473	0.0067
230055_at	chromosome 6 open reading frame 148	C6orf148	6q13	80759	-0.3419	0.0114	-0.36482	0.0067	-0.53962	0.0001	-0.50835	0.0001
230187_s_at	Full-length cDNA clone CS0DI042YD07 of Placenta Cot 25-normalized of Homo sapiens (human)	---	---	---	0.32354	0.017	0.37564	0.0051	0.35249	0.0089	0.37614	0.0051
230383_x_at	Transcribed locus, moderately similar to NP_060190.1 signal-transducing adaptor protein-2; brk kinase substrate [Homo sapiens]	---	---	---	0.28498	0.0367	0.32553	0.0163	0.41085	0.002	0.4527	0.0006
230986_at	Kruppel-like factor 8	KLF8	Xp11.21	11279	0.41815	0.0017	0.36346	0.0069	0.46222	0.0004	0.43709	0.001
231155_at	defensin, beta 119	DEFB119	20q11.1	245932	-0.26893	0.0493	-0.36071	0.0074	-0.36412	0.0068	-0.39719	0.0029
231215_at	Transcribed locus	---	---	---	0.38573	0.004	0.3898	0.0036	0.44457	0.0008	0.44844	0.0007
231333_at	---	---	---	---	-0.35013	0.0094	-0.27577	0.0435	-0.41359	0.0019	-0.45565	0.0005
231473_at	---	---	---	---	-0.42038	0.0016	-0.35085	0.0093	-0.48929	0.0002	-0.5395	0.0001
231701_s_at	Serine hydroxymethyltransf erase 1 (soluble)	SHMT1	17p11.2	6470	-0.37694	0.005	-0.32053	0.0181	-0.30909	0.023	-0.31006	0.0225
231925_at	Purinergic receptor P2Y, G-protein coupled, 1	P2RY1	3q25.2	5028	0.29198	0.0322	0.2926	0.0318	0.43945	0.0009	0.34296	0.0111
231950_at	zinc finger protein 658	ZNF658	9p12	26149	0.28064	0.0398	0.29709	0.0291	0.34819	0.0099	0.36901	0.006
232014_at	zinc finger protein 30	ZNF30	19q13.11	90075	0.3919	0.0034	0.46681	0.0004	0.39505	0.0031	0.42627	0.0013
232182_at	hypothetical protein LOC286272	LOC286272	9q12	286272	0.31067	0.0222	0.32665	0.0159	0.33255	0.014	0.36314	0.007
232370_at	hypothetical protein LOC254057	LOC254057	3q21.3	254057	0.33237	0.0141	0.3183	0.019	0.42465	0.0014	0.37645	0.005
232481_s_at	SLIT and NTRK-like family, member 6	SLITRK6	13q31.1	84189	0.48583	0.0002	0.5062	0.0001	0.52686	0.0001	0.54108	0.0001
232626_at	Taste receptor, type 2, member 14	TAS2R14	12p13	50840	0.29345	0.0313	0.36322	0.0069	0.30694	0.024	0.35986	0.0075
232911_at	mouse zinc finger protein 14-like	KIAA1559	19q13.12	57677	0.3669	0.0064	0.40455	0.0024	0.37744	0.0049	0.40445	0.0024
233913_at	WAP four-disulfide core domain 10A	WFDC10A	20q13.12	140832	-0.27491	0.0442	-0.30593	0.0245	-0.37987	0.0046	-0.29841	0.0284
233987_at	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	TFAP2D	6p12.1	83741	-0.3082	0.0234	-0.28124	0.0394	-0.34283	0.0112	-0.30394	0.0255
234085_at	spermatogenesis and oogenesis specific basic helix-loop-helix 2	SOHLH2	13q13.3	54937	-0.27111	0.0474	-0.34253	0.0112	-0.34109	0.0116	-0.40628	0.0023
