Gene	PCOS/NL CTL	PCOS/NL FSK	FSK/CTL NL	FSK/CTL PCOS	Functional Cluster	Further Description
FLJ11615	2.46	0.61	2.66	0.66	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
IMAGE: 2342469	1.88	1.12	2.21	1.32	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
EST375290	1.9	1.14	2.06	1.23	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Insulin-like growth factor binding protein 3	0.92	2.96	0.93	3.02	Secreted Factor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Mob protein	0.86	1.42	1.2	1.98	Transmembrane Receptor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Transferrin Receptor	1.02	2.15	1.66	3.42	Transmembrane Receptor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
WD repeat domain 4	ND	1.6	1.09	1.53	Intracellular Signaling	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
G-protein binding protein CRFG	1.11	1.54	1.07	1.5	Intracellular Signaling	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
G-protein coupled receptor kinase interactor 1	0.98	0.42	1.11	0.48	Intracellular Signaling	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Malic enzyme 1	0.94	1.66	1.08	1.84	Carbohydrate Metabolism	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Isocitrate dehydrogenase 1	1.03	1.58	1.31	2.01	Carbohydrate Metabolism	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Aldo-keto reductase 1, member B10	ND	2.29	1.57	3.02	Carbohydrate Metabolism	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Glutaredoxin (thioltransferase)	1.05	1.59	1.22	1.84	Nucleotide Metabolism/Synthesis	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Structural maintenance of chromosomes 2	1.16	1.89	1.35	2.8	DNA Replication	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Adenosine deaminase B1, RNA specific	1.4	1.93	1.61	2.22	RNA Processing	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Ornithine aminotransferase	1.08	1.36	1.19	1.49	Amino Acid Metabolism	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Tyrosylprotein sulfotransferase 2	0.72	0.44	0.68	0.42	Protein Modification	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Gamma-glutamyl hydrolase	1.28	2	1.3	2.03	Protein Modification	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Ubiquitin conjugating enzyme E2	1.04	1.59	1.33	2.04	Protein Degradation	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Ubiquitin specific protease 14	1.06	1.42	1.14	1.52	Protein Degradation	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Isopentenyl-diphosphate delta isomerase	0.87	1.84	1.05	2.19	Cholesterol Metabolism/Steroidogenesis	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
HMG CoA reductase	1.08	2	1.15	2.13	Cholesterol Metabolism/Steroidogenesis	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Sterol C5 desaturase	0.96	1.67	1.27	2.53	Cholesterol Metabolism/Steroidogenesis	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Lanosterol 14alpha demethylase (CYP51)	0.93	1.77	1.18	2.26	Cholesterol Metabolism/Steroidogenesis	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
ATP binding protein assoc. w/ cell differentiation 0.98	1.35	1.19	1.66	Oxidation		Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
SRY-box 17 (SOX17)	1.77	0.37	1.76	0.37	Transcription Factor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Sushi repeat protein	1.26	0.64	0.94	0.47	Miscellaneous	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Bladder cancer overexpressed protein	1.32	1.82	1.39	1.92	Miscellaneous	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
KIAA 0196	0.98	1.42	1.09	1.6	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
CGI-115	0.83	1.88	0.8	1.8	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
DKFZp564M182	0.93	1.45	1.01	1.57	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
FLJ13496	0.62	1.5	0.84	2.2	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 2341859	1.17	2.15	1.22	2.24	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
DKFZp566E104	1.12	2.06	0.84	1.54	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
FLJ12876	1.2	1.41	1.29	1.51	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
CGI-83	1.11	1.59	1.09	1.42	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 2462427	1.11	1.53	1.36	1.87	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 2047904	0.84	1.58	0.91	1.7	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
FLJ20445	1.25	1.58	1.33	1.68	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
FLJ38854	1	1.63	1.02	1.67	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 1070062	1.18	2.51	1.1	2.35	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 2358832	0.96	1.78	1.06	1.98	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
BC016711	1.38	1.88	1.21	1.64	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 343436	ND	3.77	1.48	2.61	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 277371	1.16	1.92	0.95	1.57	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 293471	1.08	1.92	0.83	1.47	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 244847	1.11	2.16	0.83	1.61	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 2368198	1.03	2.55	0.83	2.06	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Latent TGFbeta binding protein 1	0.86	0.49	1.68	1	Secreted Factor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Platelet derived growth factor alpha	0.85	1.98	0.32	0.75	Secreted Factor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Endothelin receptor type A	0.72	0.48	1.71	1.14	G-protein Coupled Receptor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
TEK tyrosine kinase	0.68	0.47	1.5	1.03	Kinases	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Phosphatidic acid phosphatase type 2B	1.14	0.57	2.58	1.31	Phosphatases	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Rab33B (ras oncogene)	0.85	0.62	1.62	1.18	Intracellular Signaling	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
APR-1 protein	0.73	0.54	2.12	1.56	Intracellular Signaling	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
5’ nucleotidase	1.36	2.65	0.54	1.06	Nucleotide Metabolism/Synthesis	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
CTP synthase	0.84	1.54	0.5	0.91	Nucleotide Metabolism/Synthesis	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Single-stranded DNA binding protein 2	0.85	0.38	2.47	1.09	DNA Replication	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Carboxypeptidase Z	1.44	3.02	0.33	0.68	Protein Degradation	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Programmed Cell Death 4	1.19	0.53	1.7	0.76	Protein Translation	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Class I peptide chain release factor	1	4.72	0.27	1.28	Protein Translation	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Zinc finger protein 45	1.09	0.65	2.04	1.22	Transcription Factor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
TBP-associated factor 15	1.13	1.9	0.47	0.79	Transcription Factor	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Epithelial membrane protein 1	1.31	2.01	0.59	0.9	Cell Adhesion	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Paraneoplastic antigen MA2	1.4	2.95	0.5	1.06	Cell Surface Antigen	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Solute carrier family 26 member 2	0.65	0.44	2.09	1.42	Pumps and Channels	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Solute carrier family 3 member 2	0.72	1.66	0.41	0.94	Pumps and Channels	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
p53-induced protein	0.8	3.13	0.11	0.63	Miscellaneous	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
FLJ23056	0.85	0.58	1.71	1.17	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
CS0DI002YJ15	0.88	0.39	2.17	0.95	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
FLJ14084	1.2	0.61	1.55	0.79	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
KIAA 0280	1.54	0.67	2.84	1.23	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
KIAA 0082	1.09	1.7	0.5	0.79	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
MGC2827	0.96	0.47	2.1	1.03	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
FLJ13197	ND	0.38	3.3	1.34	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
CTL2 protein	1.06	1.98	0.4	0.75	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
FLJ23063	0.93	0.63	1.95	1.33	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
FLJ31353	0.99	2.08	0.33	0.69	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
IMAGE: 2589392	1	0.55	2.04	1.12	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
FLJ30574	0.74	0.51	2.29	1.57	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
CS0DJ006YJ17	1.28	0.45	2.74	0.96	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
PM4-CI0084-251100-003-c11	1.14	0.61	1.48	0.79	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
IMAGE: 4158291	0.65	0.5	1.84	1.42	Expressed Sequence Tag	Genes with Altered Expression in Forskolin-treated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
