Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
NUDT5	223100_s_at	0.830155968	5.53E-05	gb:BC000025.1 /DB_XREF=gi:12652566 /FEA=FLmRNA /CNT=211 /TID=Hs.301957.1 /TIER=FL+Stack /STK=64 /UG=Hs.301957 /LL=11164 /UG_GENE=NUDT5 /DEF=Homo sapiens, nudix (nucleoside diphosphate linked moiety X)-type motif 5, clone MGC:1143, mRNA, complete cds. /PROD=nudix (nucleoside diphosphate linked moietyX)-type motif 5 /FL=gb:AF218818.1 gb:AF155832.1 gb:BC000025.1 gb:AF161464.1
HMGIY	206074_s_at	0.674514315	5.53E-05	gb:NM_002131.1 /DB_XREF=gi:4504432 /GEN=HMGIY /FEA=FLmRNA /CNT=54 /TID=Hs.139800.0 /TIER=FL /STK=0 /UG=Hs.139800 /LL=3159 /DEF=Homo sapiens high-mobility group (nonhistone chromosomal) protein isoforms I and Y (HMGIY), mRNA. /PROD=high-mobility group (nonhistone chromosomal)protein isoforms I and Y /FL=gb:NM_002131.1 gb:BC004924.1
Unknown (236238_at)	236238_at	1.062794831	5.64E-05	gb:BF000532 /DB_XREF=gi:10700807 /DB_XREF=7h32d08.x1 /CLONE=IMAGE:3317679 /FEA=EST /CNT=9 /TID=Hs.161393.0 /TIER=ConsEnd /STK=0 /UG=Hs.161393 /UG_TITLE=ESTs
DNAJC5	224612_s_at	0.545687118	6.61E-05	gb:AI935180 /DB_XREF=gi:5674050 /DB_XREF=wp14g06.x1 /CLONE=IMAGE:2464858 /FEA=mRNA /CNT=294 /TID=Hs.165563.0 /TIER=Stack /STK=45 /UG=Hs.165563 /LL=80331 /UG_GENE=DKFZP434N1429 /UG_TITLE=hypothetical protein DKFZp434N1429
PAK1IP1	218886_at	0.622538447	7.12E-05	gb:NM_017906.1 /DB_XREF=gi:8923576 /GEN=FLJ20624 /FEA=FLmRNA /CNT=64 /TID=Hs.52256.0 /TIER=FL+Stack /STK=24 /UG=Hs.52256 /LL=55003 /DEF=Homo sapiens hypothetical protein FLJ20624 (FLJ20624), mRNA. /PROD=hypothetical protein FLJ20624 /FL=gb:NM_017906.1
CACNA2D4	228083_at	1.459348178	8.65E-05	gb:AI433691 /DB_XREF=gi:4290952 /DB_XREF=ti88d06.x1 /CLONE=IMAGE:2139083 /FEA=mRNA /CNT=29 /TID=Hs.13768.0 /TIER=Stack /STK=14 /UG=Hs.13768 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp434I1216 (from clone DKFZp434I1216)
NPM3	205129_at	0.706398485	8.70E-05	gb:NM_006993.1 /DB_XREF=gi:6857817 /GEN=NPM3 /FEA=FLmRNA /CNT=45 /TID=Hs.90691.0 /TIER=FL+Stack /STK=20 /UG=Hs.90691 /LL=10360 /DEF=Homo sapiens nucleophosminnucleoplasmin 3 (NPM3), mRNA. /PROD=nucleophosminnucleoplasmin 3 /FL=gb:AF081280.1 gb:NM_006993.1
FLJ38678	228249_at	1.219177787	0.000104108	gb:AA535128 /DB_XREF=gi:2279381 /DB_XREF=nf87g12.s1 /CLONE=IMAGE:926950 /FEA=EST /CNT=22 /TID=Hs.124194.0 /TIER=Stack /STK=14 /UG=Hs.124194 /UG_TITLE=ESTs
CACNA2D4	1552690_a_at	0.953811932	0.000104108	gb:NM_172364.1 /DB_XREF=gi:27312024 /GEN=CACNA2D4 /TID=Hs2.13768.1 /CNT=14 /FEA=FLmRNA /TIER=FL /STK=2 /LL=93589 /UG=Hs.13768 /DEF=Homo sapiens calcium channel, voltage-dependent, alpha 2delta subunit 4 (CACNA2D4), mRNA. /PROD=voltage-gated calcium channel alpha(2)delta-4subunit /FL=gb:AF516695.1 gb:NM_172364.1
ABHD4	242023_at	1.289657856	0.000109934	gb:AI689225 /DB_XREF=gi:4900519 /DB_XREF=tx82c01.x1 /CLONE=IMAGE:2276064 /FEA=EST /CNT=6 /TID=Hs.130232.0 /TIER=ConsEnd /STK=1 /UG=Hs.130232 /UG_TITLE=ESTs
FLJ25521	1564151_at	0.809964574	0.000125932	gb:AK098387.1 /DB_XREF=gi:21758390 /TID=Hs2.375886.1 /CNT=1 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.375886 /UG_TITLE=Homo sapiens cDNA FLJ25521 fis, clone CBR06845. /DEF=Homo sapiens cDNA FLJ25521 fis, clone CBR06845.
PABPC4	201064_s_at	0.524959972	0.000125932	gb:NM_003819.2 /DB_XREF=gi:6552335 /GEN=PABPC4 /FEA=FLmRNA /CNT=296 /TID=Hs.169900.0 /TIER=FL+Stack /STK=93 /UG=Hs.169900 /LL=8761 /DEF=Homo sapiens poly(A)-binding protein, cytoplasmic 4 (inducible form) (PABPC4), mRNA. /PROD=poly(A)-binding protein, cytoplasmic 4(inducible form) /FL=gb:NM_003819.2
C1QBP	208910_s_at	0.621308826	0.000131157	gb:L04636.1 /DB_XREF=gi:338044 /FEA=FLmRNA /CNT=267 /TID=Hs.78614.0 /TIER=FL+Stack /STK=78 /UG=Hs.78614 /LL=708 /UG_GENE=C1QBP /DEF=Homo sapiens pre-mRNA splicing factor 2 p32 subunit (SF2p32) mRNA, complete cds. /PROD=splicing factor /FL=gb:L04636.1 gb:BC000435.1 gb:NM_001212.2
FLJ14028	224603_at	0.727887223	0.000131732	gb:AL519192 /DB_XREF=gi:12782685 /DB_XREF=AL519192 /CLONE=CS0DA012YI20 (3 prime) /FEA=mRNA /CNT=245 /TID=Hs.281434.3 /TIER=Stack /STK=61 /UG=Hs.281434 /UG_TITLE=Homo sapiens cDNA FLJ14028 fis, clone HEMBA1003838
IL12RB2	1560999_a_at	2.718084825	2.81E-07	gb:R01220 /DB_XREF=gi:750956 /DB_XREF=ye77h07.s1 /CLONE=IMAGE:123805 /TID=Hs2.185679.1 /CNT=3 /FEA=mRNA /TIER=ConsEnd /STK=2 /UG=Hs.185679 /UG_TITLE=Homo sapiens partial mRNA; ID YG31-1, YG81-3B, LG43-4B2
RUNX2	236859_at	2.62994666	1.85E-05	gb:AW469546 /DB_XREF=gi:7039652 /DB_XREF=hd19e09.x1 /CLONE=IMAGE:2909992 /FEA=EST /CNT=6 /TID=Hs.122116.0 /TIER=ConsEnd /STK=5 /UG=Hs.122116 /UG_TITLE=ESTs, Moderately similar to core binding factor alpha1 subunit isoform (M.musculus)
SUPT3H	206506_s_at	1.277540076	1.85E-05	gb:NM_003599.1 /DB_XREF=gi:4507308 /GEN=SUPT3H /FEA=FLmRNA /CNT=12 /TID=Hs.96757.0 /TIER=FL /STK=0 /UG=Hs.96757 /LL=8464 /DEF=Homo sapiens suppressor of Ty (S.cerevisiae) 3 homolog (SUPT3H), mRNA. /PROD=suppressor of Ty (S.cerevisiae) 3 homolog /FL=gb:NM_003599.1 gb:AF073930.1 gb:AF069734.1
REN	206367_at	1.393711822	3.81E-05	gb:NM_000537.2 /DB_XREF=gi:11125774 /GEN=REN /FEA=FLmRNA /CNT=25 /TID=Hs.3210.0 /TIER=FL+Stack /STK=21 /UG=Hs.3210 /LL=5972 /DEF=Homo sapiens renin (REN), mRNA. /PROD=renin precursor /FL=gb:NM_000537.2
RUNX2	236858_s_at	1.994328912	4.75E-05	gb:AW469546 /DB_XREF=gi:7039652 /DB_XREF=hd19e09.x1 /CLONE=IMAGE:2909992 /FEA=EST /CNT=6 /TID=Hs.122116.0 /TIER=ConsEnd /STK=5 /UG=Hs.122116 /UG_TITLE=ESTs, Moderately similar to core binding factor alpha1 subunit isoform (M.musculus)
FAM110C	226863_at	1.820986384	4.82E-05	gb:AI674565 /DB_XREF=gi:4875045 /DB_XREF=wc03c02.x1 /CLONE=IMAGE:2314082 /FEA=mRNA /CNT=45 /TID=Hs.8379.0 /TIER=Stack /STK=17 /UG=Hs.8379 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp586L2424 (from clone DKFZp586L2424)
IL12RB2	206999_at	1.700688104	4.82E-05	gb:NM_001559.1 /DB_XREF=gi:4504642 /GEN=IL12RB2 /FEA=FLmRNA /CNT=8 /TID=Hs.73165.0 /TIER=FL /STK=0 /UG=Hs.73165 /LL=3595 /DEF=Homo sapiens interleukin 12 receptor, beta 2 (IL12RB2), mRNA. /PROD=interleukin 12 receptor, beta 2 /FL=gb:NM_001559.1 gb:U64198.1
RUNX2	232231_at	2.324295277	6.65E-05	gb:AL353944.1 /DB_XREF=gi:7669984 /FEA=mRNA /CNT=13 /TID=Hs.50115.0 /TIER=ConsEnd /STK=7 /UG=Hs.50115 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp761J1112 (from clone DKFZp761J1112) /DEF=Homo sapiens mRNA; cDNA DKFZp761J1112 (from clone DKFZp761J1112).
BMI1	202265_at	1.278213196	6.65E-05	gb:NM_005180.1 /DB_XREF=gi:4885094 /GEN=BMI1 /FEA=FLmRNA /CNT=143 /TID=Hs.431.0 /TIER=FL /STK=2 /UG=Hs.431 /LL=648 /DEF=Homo sapiens murine leukemia viral (bmi-1) oncogene homolog (BMI1), mRNA. /PROD=murine leukemia viral (bmi-1) oncogene homolog /FL=gb:NM_005180.1 gb:L13689.1
KHDRBS3	209781_s_at	1.335120117	9.59E-05	gb:AF069681.1 /DB_XREF=gi:3273831 /GEN=T-Star /FEA=FLmRNA /CNT=56 /TID=Hs.13565.0 /TIER=FL /STK=5 /UG=Hs.13565 /LL=10656 /DEF=Homo sapiens T-Star (T-Star) mRNA, complete cds. /PROD=T-Star /FL=gb:AF051321.1 gb:AF069681.1 gb:NM_006558.1
FLJ11572	232544_at	1.883434298	0.000100591	gb:AU144916 /DB_XREF=gi:11006437 /DB_XREF=AU144916 /CLONE=HEMBA1003373 /FEA=mRNA /CNT=86 /TID=Hs.222056.0 /TIER=ConsEnd /STK=1 /UG=Hs.222056 /UG_TITLE=Homo sapiens cDNA FLJ11572 fis, clone HEMBA1003373
Unknown (230986_at)	230986_at	1.618616625	0.000112542	gb:AI821447 /DB_XREF=gi:5440526 /DB_XREF=yp24d10.x5 /CLONE=IMAGE:188371 /FEA=EST /CNT=11 /TID=Hs.141120.0 /TIER=Stack /STK=8 /UG=Hs.141120 /UG_TITLE=ESTs
KHDRBS3	230249_at	1.244589197	0.000159193	gb:AI650382 /DB_XREF=gi:4734361 /DB_XREF=wa90b09.x1 /CLONE=IMAGE:2303417 /FEA=EST /CNT=15 /TID=Hs.13565.1 /TIER=Stack /STK=9 /UG=Hs.13565 /LL=10656 /UG_GENE=T-STAR /UG_TITLE=Sam68-like phosphotyrosine protein, T-STAR
SUPT3H	211106_at	1.022298066	0.000319877	gb:AF064804.1 /DB_XREF=gi:3283361 /GEN=SUPT3H /FEA=FLmRNA /CNT=1 /TID=Hs.96757.1 /TIER=FL /STK=0 /UG=Hs.96757 /LL=8464 /DEF=Homo sapiens transcription factor SUPT3H (SUPT3H) mRNA, complete cds. /PROD=transcription factor SUPT3H /FL=gb:AF064804.1
FLJ13387	1557285_at	1.715534631	0.000371065	gb:AI891075 /DB_XREF=gi:5596322 /DB_XREF=wn30d05.x1 /CLONE=IMAGE:2446953 /TID=Hs2.282344.1 /CNT=8 /FEA=mRNA /TIER=ConsEnd /STK=1 /UG=Hs.282344 /UG_TITLE=Homo sapiens cDNA FLJ13387 fis, clone PLACE1001136.
DNAJC1	242216_at	1.32120215	0.000371065	gb:AI791832 /DB_XREF=gi:5339474 /DB_XREF=nc46b06.y5 /CLONE=IMAGE:1011155 /FEA=EST /CNT=6 /TID=Hs.227513.0 /TIER=ConsEnd /STK=0 /UG=Hs.227513 /UG_TITLE=ESTs
HOXB9	216417_x_at	0.902929946	0.000371065	gb:X16172 /DB_XREF=gi:32374 /FEA=DNA /CNT=1 /TID=Hs.287809.0 /TIER=ConsEnd /STK=0 /UG=Hs.287809 /UG_TITLE=Human HOX-2.5 gene for homeodomain protein, partial /DEF=Human HOX-2.5 gene for homeodomain protein, partial
CACNA2D2	204811_s_at	1.042557843	0.000440239	gb:NM_006030.1 /DB_XREF=gi:5174402 /GEN=CACNA2D2 /FEA=FLmRNA /CNT=43 /TID=Hs.127436.0 /TIER=FL+Stack /STK=9 /UG=Hs.127436 /LL=9254 /DEF=Homo sapiens calcium channel, voltage-dependent, alpha 2delta subunit 2 (CACNA2D2), mRNA. /PROD=calcium channel, voltage-dependent, alpha2delta subunit 2 /FL=gb:AF040709.1 gb:NM_006030.1
Unknown (236764_at)	236764_at	1.031713048	0.000440239	gb:H49911 /DB_XREF=gi:989752 /DB_XREF=yq21g11.s1 /CLONE=IMAGE:274389 /FEA=EST /CNT=5 /TID=Hs.93102.0 /TIER=ConsEnd /STK=5 /UG=Hs.93102 /UG_TITLE=ESTs
SPON2	218638_s_at	1.030902696	0.000509256	gb:NM_012445.1 /DB_XREF=gi:6912681 /GEN=SPON2 /FEA=FLmRNA /CNT=106 /TID=Hs.288126.0 /TIER=FL+Stack /STK=64 /UG=Hs.288126 /LL=10417 /DEF=Homo sapiens spondin 2, extracellular matrix protein (SPON2), mRNA. /PROD=spondin 2, extracellular matrix protein /FL=gb:NM_012445.1 gb:BC002707.1 gb:AB027466.1
KIAA1257	1554852_a_at	0.655181681	0.000620548	gb:BC031632.1 /DB_XREF=gi:21594957 /TID=Hs2.97377.1 /CNT=3 /FEA=FLmRNA /TIER=FL /STK=1 /LL=57501 /UG_GENE=KIAA1257 /UG=Hs.97377 /DEF=Homo sapiens, Similar to KIAA1257 protein, clone MGC:35174 IMAGE:5170293, mRNA, complete cds. /PROD=Similar to KIAA1257 protein /FL=gb:BC031632.1
