Probe Set	Gene Title	Symbol	Entrez	Location	T-value	P-Value	SAM score (d)	T-value	P-Value	SAM score (d)
213668_s_ at	SOX4	SRY (sex determining region Y)-box 4	6659	6p22.3	0.34458226	0.7328949	-0.2831998	1.3149145	0.20208102	-1.1695526
213715_s_ at	ANKRD47	ankyrin repeat domain 47	256949	19p13.2	1.2165678	0.23559812	0.89570355	2.5977898	0.01550324	2.6166437
213878_at	LOC642732	similar to CG10721-PA	642732	11q22.3	0.4231769	0.67578447	0.7426163	0.7489936	0.46257988	0.76734704
213934_s_ at	ZNF19 /// ZNF23	zinc finger protein 19 /// zinc finger protein 23 (KOX 16)		16q22	0.16683702	0.8687891	-0.10962933	0.2068148	0.83765113	0.20000733
214381_at	LOC441601	septin 7 pseudogene	441601	11p11.12	1.615634	0.11980925	0.8456803	0.6515623	0.5196442	0.61808866
214823_at	ZNF204	zinc finger protein 204	7754	6p21.3	2.2388537	0.03732898	1.9113061	0.5375093	0.59715575	0.55034554
214881_s_ at	UBTF	upstream binding transcription factor, RNA polymerase I	7343	17q21.3	2.4894092	0.01856675	-1.2378608	0.5650826	0.5772622	0.54622686
215274_at	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3	6559	16q13	0.3002533	0.7665694	-0.058871582	1.0758795	0.29186377	1.0542163
215359_x_ at	ZNF44	zinc finger protein 44	51710	19p13.2	0.7405898	0.46612656	-0.49482098	0.2460409	0.80774266	-0.24636617
215470_at	DKFZP686 M0199	general transcription factor IIH, polypeptide 2, 44kDa-like	653238	5q13.2	2.1125603	0.04570343	2.0700896	1.5940214	0.1274311	1.5690861
215822_x_ at	MYT1	myelin transcription factor 1	4661	20q13.33	1.0846779	0.2888405	0.78021187	0.7451658	0.46340707	0.7417015
215933_s_ at	HHEX	hematopoietically expressed homeobox	3087	10q23.33	0.66247886	0.5152268	0.42743444	0.9546887	0.35010839	0.95483357
216277_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	699	2q14	0.30007225	0.76707226	-0.028189609	2.6064289	0.01908983	2.5754778
216499_at	---	MRNA; cDNA DKFZp434K0610 (from clone DKFZp434K0610)		---	1.288299	0.20992425	0.8915114	0.041562	0.9672066	-0.041912578
216747_at	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	323	4p14-p13	1.1152563	0.27864856	1.1346054	1.6071533	0.12643391	1.6507852
216748_at	PYHIN1	pyrin and HIN domain family, member 1	149628	1q23.1	0.66727114	0.51222515	0.28114134	0.6033434	0.55274177	0.61358
216831_s_ at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862	8q22	1.4222336	0.16898255	0.90003693	1.8615524	0.08379184	1.5671742
216892_at	IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	3500	14q32.33	0.67067814	0.51049674	-0.14244452	1.0428839	0.3053336	-0.9980012
216972_at	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	6677	7q31.3	1.8504205	0.07837342	1.795426	2.2120311	0.04013379	2.245366
217369_at	IGHG1 /// IGHV4-31	immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy variable 4-31		14q32.33	1.1702069	0.251445	-1.0245981	1.163013	0.2543052	-1.1319342
218323_at	RHOT1	ras homolog gene family, member T1	55288	17q11.2	0.8320602	0.41241542	-0.18288645	1.1412498	0.26416886	-1.1142308
218352_at	RCBTB1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	55213	13q14	0.41807914	0.680344	-0.17523983	0.4359654	0.6683475	0.44120014
218490_s_ at	ZNF302	zinc finger protein 302	55900	19q13.11	1.4583519	0.15587045	-1.1552149	0.5197433	0.6095754	0.53205454
219067_s_ at	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	54780	10q26.13	0.30242422	0.7653038	0.19048028	0.8031904	0.43045744	0.8162127
219527_at	MOSC2	MOCO sulphurase C-terminal domain containing 2	54996	1q41	1.1222764	0.27127686	-0.96050006	1.1678658	0.25270963	-1.1495428
220011_at	C1orf135	chromosome 1 open reading frame 135	79000	1p36.11	0.02862843	0.9774595	0.35195166	1.8913319	0.07392579	1.9093
220094_s_ at	CCDC90A	coiled-coil domain containing 90A	63933	6p24.3-p23	0.8144619	0.4222537	-0.5590993	0.2345792	0.8169202	0.23855986
220420_at	CPLX3 /// LMAN1L	lectin, mannose-binding, 1 like /// complexin 3		15q24.1	1.6454824	0.11475662	-1.056276	1.3215708	0.1963015	-1.2103173
220511_s_ at	DLC1	deleted in liver cancer 1	10395	8p22	0.8124714	0.42292196	0.050893158	0.0366964	0.97109085	-0.03679321
220906_at	---	---		---	0.4960003	0.62390786	-0.22458878	0.2100514	0.83533	0.20741428
220925_at	MAK10	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	60560	9q21.33	3.5649576	0.00206677	2.4859934	1.3315924	0.2042697	1.4077647
220936_s_ at	H2AFJ	H2A histone family, member J	55766	12p12	0.3432499	0.7356187	0.7574683	0.0295508	0.97671825	0.029505298
221313_at	GPR52	G protein-coupled receptor 52	9293	1q24	1.3783343	0.17829347	1.1188842	1.7229794	0.10543802	1.7189453
221371_at	TNFSF18	tumor necrosis factor (ligand) superfamily, member 18	8995	1q23	1.0071014	0.32436445	0.76583284	1.0602202	0.30233678	1.0737708
221552_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3	2.107308	0.04488945	1.7294719	1.9851406	0.06034394	2.0125587
221847_at	---	Full-length cDNA clone CS0DE005YD08 of Placenta of Homo sapiens (human)		---	0.04214996	0.9667971	0.109031335	0.9036958	0.37513858	0.89011854
221948_s_ at	KLHL22	Kelch-like 22 (Drosophila)  adhesion molecule with	84861	22q11.21	2.3379061	0.0262521	1.8760692	1.8375201	0.08744744	1.9092407
222108_at	AMIGO2	Ig-like domain 2	347902	12q13.11	1.5819778	0.12674496	0.9126274	1.5060191	0.14511178	1.5046827
222203_s_ at	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	57665	2p24.2	1.5390627	0.13427125	-1.2846584	0.4471634	0.6587667	-0.4418575
32540_at	PPP3CC	Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	5533	8p21.3	0.30027848	0.7661829	-0.08181532	0.7998764	0.4310303	0.7918093
45288_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3	0.90766406	0.37153688	0.70766985	0.2540651	0.80170286	0.24802642
64432_at	C12orf47	chromosome 12 open reading frame 47	51275	12q24.12	1.05785	0.29985374	0.71595323	1.8106327	0.08604117	1.8286569
