Gene	MG_U74Av2	Normal_NNK	Tumor_NNK	Fold change	p value_NNK	GO term
Arrb1	100473_at	4569.2	1294.12	-3.53	0.0001	signal transduction
Ppap2a	98508_s_at	4223.63	1250.57	-3.38	<0.0001	signal transduction
Prkce	103223_at	1372.7	418.32	-3.28	<0.0001	signal transduction
Mras	103653_at	414.4	128.2	-3.23	0.0001	signal transduction
Kit	99956_at	6214.5	1943.15	-3.2	<0.0001	signal transduction
Ccbp2	98309_at	2333.2	733.33	-3.18	<0.0001	signal transduction
Gucy1b3	93954_at	4169.3	1320.4	-3.16	<0.0001	signal transduction
Pcsk5	92194_at	518.9	171.18	-3.03	0.0004	signal transduction
Gng11	94377_at	2594.53	890.47	-2.91	<0.0001	signal transduction
Gadd45b	161666_f_at	2720.05	935.12	-2.91	<0.0001	signal transduction
Adcy4	95308_at	4888.28	1687.95	-2.9	<0.0001	signal transduction
Epas1	102698_at	7936.5	2744.45	-2.89	0.0001	signal transduction
Lnx1	102038_at	98.13	33.95	-2.89	0.0001	signal transduction
Ptprd	93485_at	1535.4	532.1	-2.89	<0.0001	signal transduction
Arl4	92805_s_at	950.4	330.22	-2.88	<0.0001	signal transduction
Bmx	98840_at	757.08	268.87	-2.82	0.0001	signal transduction
Pdlim3	101089_at	457.28	162.55	-2.81	0.0001	signal transduction
Stmn2	95670_at	1796.28	644.6	-2.79	<0.0001	signal transduction
Acvrl1	100450_r_at	17931.38	6464.7	-2.77	<0.0001	signal transduction
P2ry1	97168_at	33.23	12.18	-2.73	0.0007	signal transduction
Gnas	160097_at	409.13	156.1	-2.62	0.0003	signal transduction
Fgfr1	97509_f_at	914.7	349.43	-2.62	<0.0001	signal transduction
Ms4a4d	103256_at	642.95	246.25	-2.61	<0.0001	signal transduction
Flt1	98452_at	3534.73	1388.05	-2.55	<0.0001	signal transduction
Rgs2	97844_at	2153.2	862.32	-2.5	<0.0001	signal transduction
Pdgfra	95079_at	11866.55	4758	-2.49	0.0001	signal transduction
Rasgrp2	103282_at	1794.95	725.23	-2.48	<0.0001	signal transduction
Gfra1	93872_at	268.18	111.35	-2.41	<0.0001	signal transduction
Flt4	104417_at	2853.03	1192.03	-2.39	<0.0001	signal transduction
Unc5c	103742_at	1072.9	448.7	-2.39	<0.0001	signal transduction
Cmkor1	93430_at	2047.48	858.47	-2.39	0.0001	signal transduction
Stmn2	95669_g_at	3101.15	1304.85	-2.38	<0.0001	signal transduction
2310047C	1160255_at	30415	12892.25	-2.36	<0.0001	signal transduction
Fzd4	95772_r_at	416.2	178.57	-2.33	0.0001	signal transduction
Nrgn	96273_at	56.28	24.15	-2.33	0.0033	signal transduction
Admr	104271_at	2110.05	906.47	-2.33	0.0001	signal transduction
Sh3bp3	95792_at	71.4	30.83	-2.32	0.0004	signal transduction
Smad7	92216_at	4454.78	1936.05	-2.3	<0.0001	signal transduction
Pclo	97753_at	41.65	18.75	-2.22	0.0001	signal transduction
Fzd4	93459_s_at	9680.7	4385	-2.21	<0.0001	signal transduction
Gkap1	160900_at	527.33	243.77	-2.16	<0.0001	signal transduction
Sh3bp5	98766_at	479.03	226.77	-2.11	<0.0001	signal transduction
Prkch	99916_at	1381.83	658.03	-2.1	<0.0001	signal transduction
Pkd2	100951_at	4745.6	2279.68	-2.08	0.0001	signal transduction
Kdr	104265_at	2002.58	963.9	-2.08	<0.0001	signal transduction
Prkce	94161_at	615.58	302.02	-2.04	0.0038	signal transduction
Adcy9	92527_at	2236.78	1104.85	-2.02	<0.0001	signal transduction
Ltbp4	97347_at	12875.18	6365	-2.02	<0.0001	signal transduction
Ptpru	100454_at	2911.45	1439.45	-2.02	<0.0001	signal transduction
Rras	94394_at	4743.43	2367.05	-2	<0.0001	signal transduction
Gprk5	102217_at	2578.1	1322.5	-1.95	<0.0001	signal transduction
Gnb5	100122_at	187.58	96.35	-1.95	<0.0001	signal transduction
Mpra	99142_at	6413.55	3332.9	-1.92	<0.0001	signal transduction
Notch1	97497_at	5603.65	2913.25	-1.92	<0.0001	signal transduction
Flt1	98453_at	1535.7	799.35	-1.92	<0.0001	signal transduction
Reln	96591_at	500.8	262.38	-1.91	0.0005	signal transduction
Rasgrf2	102572_at	265.4	140.22	-1.89	0.0004	signal transduction
P2y5	97948_at	737.8	390.4	-1.89	<0.0001	signal transduction
Gab1	160714_at	3537.33	1915.57	-1.85	<0.0001	signal transduction
Il11ra1	93874_s_at	2710.73	1471	-1.84	<0.0001	signal transduction
Ctgf	93294_at	8477	4687.77	-1.81	0.0018	signal transduction
Wnt3a	102667_at	580.8	322.67	-1.8	<0.0001	signal transduction
Gnai1	104412_at	2415.35	1343.17	-1.8	0.0001	signal transduction
Bmpr2	99865_at	835.98	467.43	-1.79	<0.0001	signal transduction
Fbxw2	100056_at	3072.75	1718.33	-1.79	<0.0001	signal transduction
Csnk1e	97925_at	3089.7	1740.02	-1.78	<0.0001	signal transduction
Dkk3	93188_at	2093.85	1182.08	-1.77	0.0001	signal transduction
Gnai1	97195_at	444.6	251.65	-1.77	0.0003	signal transduction
Ddr2	92969_at	1486.5	847.35	-1.75	<0.0001	signal transduction
Rab12	104082_at	8160.68	4722.47	-1.73	<0.0001	signal transduction
Btrc	160790_s_at	590.85	344.97	-1.71	0.0005	signal transduction
Edg6	104687_at	720.6	420.75	-1.71	0.0027	signal transduction
Pea15	100548_at	3955	2309.57	-1.71	0.0001	signal transduction
Rgnef	92710_at	1887.03	1109.15	-1.7	<0.0001	signal transduction
Il6st	98349_at	1727.2	1019.67	-1.69	0.0018	signal transduction
Il6st	94345_at	6169.4	3647.45	-1.69	0.0001	signal transduction
Itga3	104210_at	2900.83	1717.88	-1.69	0.0003	signal transduction
Il6ra	104268_at	1509.05	897.3	-1.68	<0.0001	signal transduction
Clic3	160884_at	4791.73	2867.88	-1.67	0.0001	signal transduction
Prss11	96920_at	3406.38	2042.4	-1.67	0.0001	signal transduction
Rassf1	102379_at	1087.15	657.32	-1.65	0.0002	signal transduction
Btrc	96224_at	765.23	465.25	-1.64	<0.0001	signal transduction
Edg3	92352_at	3766.3	2327.58	-1.62	0.0007	signal transduction
Itpkb	104395_at	9335.13	5788.18	-1.61	<0.0001	signal transduction
Rab28	99493_at	2169.15	1347.28	-1.61	0.0001	signal transduction
Jup	104121_at	8191.53	5148.92	-1.59	0.0001	signal transduction
Homer3	102014_at	1306.55	823.55	-1.59	<0.0001	signal transduction
Ilk	101499_at	2669.93	1688.48	-1.58	<0.0001	signal transduction
Rab23	93718_at	247.2	156.62	-1.58	0.0001	signal transduction
Fert2	99321_at	242.58	154.7	-1.57	<0.0001	signal transduction
Pkd1	97375_at	2225.63	1429.72	-1.56	0.0003	signal transduction
Slc9a3r2	104064_at	2161.1	1407.55	-1.54	0.0012	signal transduction
Ank1	100440_f_at	2092.75	1367.83	-1.53	0.0001	signal transduction
Rit1	92376_at	2947.7	1930.78	-1.53	<0.0001	signal transduction
Spnb2	93571_at	18060.03	11953.13	-1.51	0.0001	signal transduction
Fyn	100133_at	1785.95	1202.55	-1.49	0.0022	signal transduction
Gna11	102196_at	1307.35	882.65	-1.48	0.0006	signal transduction
Cd47	103611_at	7079.8	4852.55	-1.46	0.0001	signal transduction
Fzd4	95771_i_at	330.4	227.15	-1.45	<0.0001	signal transduction
Nrbp	94059_at	2652.78	1832.23	-1.45	0.002	signal transduction
Rhob	101030_at	12876.73	8895.57	-1.45	0.0001	signal transduction
Stmn1	97909_at	6933.08	4804.1	-1.44	0.0002	signal transduction
Cd47	95020_at	4147.1	2879.08	-1.44	0.001	signal transduction
Ikbkg	103216_f_at	1253.93	873.4	-1.44	0.0001	signal transduction
Crcp	103334_at	832.35	580.18	-1.43	0.0007	signal transduction
Synj2bp	96734_at	4219.18	3004.93	-1.4	0.0002	signal transduction
Itga3	104211_at	3280.68	2345.35	-1.4	0.0016	signal transduction
Atf6	104215_at	791.73	568.3	-1.39	<0.0001	signal transduction
Tnfrsf1a	92793_at	3558.63	2574.2	-1.38	<0.0001	signal transduction
Rab6	98927_at	4173.3	3019.03	-1.38	0.0001	signal transduction
Pde8a	160941_at	658.95	476.78	-1.38	0.0002	signal transduction
Copeb	98083_at	8717.38	6378.55	-1.37	0.0007	signal transduction
Nkiras1	160991_at	1376.4	1010.85	-1.36	<0.0001	signal transduction
Itgb5	100601_at	4083.6	3011.35	-1.36	0.0003	signal transduction
Rsu1	101584_at	4255.73	3151.45	-1.35	0.0001	signal transduction
Kifap3	100113_s_at	720.05	535.42	-1.34	0.0001	signal transduction
Egfr	101842_g_at	597.85	448.37	-1.33	0.0004	signal transduction
Kcnh2	100961_at	1377.5	1039.57	-1.33	0.0037	signal transduction
Gng2	100418_at	345	260.93	-1.32	0.0038	signal transduction
Rhoq	104725_at	2295.8	1743.7	-1.32	0.0035	signal transduction
Ptpre	101932_at	4503.88	3433.57	-1.31	0.0009	signal transduction
Dtx1	102924_at	1126.23	865.83	-1.3	0.0001	signal transduction
Ank1	100439_i_at	2771.9	2203.98	-1.26	<0.0001	signal transduction
Epha4	104673_at	496.1	398.43	-1.25	0.0016	signal transduction
Dhcr24	160369_at	443.88	356.85	-1.24	0.0003	signal transduction
Rac1	101555_at	32854.18	26872.5	-1.22	<0.0001	signal transduction
Gnai2	99596_f_at	46741.3	38889.85	-1.2	0.0032	signal transduction
Rab34	160317_at	2779.93	3444.88	1.24	0.0002	signal transduction
Plaa	160169_at	625.18	786.1	1.26	0.0019	signal transduction
Ramp1	104680_at	3440.65	4339.13	1.26	0.0001	signal transduction
Cdk4	160538_at	6083.78	7712.6	1.27	0.0014	signal transduction
Sdcbp	93017_at	2181.48	2801.8	1.28	0.0036	signal transduction
Snx5	104225_at	657.23	858.18	1.31	0.0007	signal transduction
Hs1bp1	101096_s_at	1467.13	1955.05	1.33	<0.0001	signal transduction
Aes	160215_at	6163.6	8268.13	1.34	0.0001	signal transduction
Cradd	102952_g_at	1224.93	1670.63	1.36	0.0002	signal transduction
Adcy7	103392_at	3407.83	4687.2	1.38	<0.0001	signal transduction
Snx4	97818_at	6604.15	9100.33	1.38	0.0001	signal transduction
Fbxw4	96768_at	1858.4	2570.25	1.38	<0.0001	signal transduction
Nfkb2	103614_at	699.05	968.03	1.38	<0.0001	signal transduction
Iqgap1	104300_at	8575.15	11925.08	1.39	<0.0001	signal transduction
Mitf	101159_at	333.15	474.17	1.42	<0.0001	signal transduction
Gnb2-rs1	99340_at	22009.73	31346.85	1.42	<0.0001	signal transduction
Rtkn	160864_at	1097.45	1574.33	1.43	<0.0001	signal transduction
Rhod	95547_at	1347.38	1940.5	1.44	<0.0001	signal transduction
Myo7a	94713_at	1226.3	1768.45	1.44	0.0013	signal transduction
Pde7a	100489_at	611.73	894.02	1.46	0.0008	signal transduction
5730466P	197308_at	1125.6	1649.85	1.47	<0.0001	signal transduction
Fgfr2	93091_s_at	2356.48	3458.7	1.47	<0.0001	signal transduction
Grb7	103095_at	3202.35	4715.57	1.47	<0.0001	signal transduction
Ran	101254_at	12779.98	18987.5	1.49	<0.0001	signal transduction
Rala	103067_at	975.8	1459.67	1.5	<0.0001	signal transduction
Tle3	104623_at	1429.03	2157.02	1.51	<0.0001	signal transduction
Chaf1b	100890_at	272.9	414.25	1.52	0.0003	signal transduction
Epha2	103980_at	1126.88	1714.45	1.52	0.0001	signal transduction
Itga7	93061_at	1148.68	1752.5	1.53	<0.0001	signal transduction
Rab9	95516_at	7495.3	11444.6	1.53	<0.0001	signal transduction
Hif1a	98628_f_at	10556.45	16323.77	1.55	<0.0001	signal transduction
Arf4	160082_s_at	4788.08	7504.7	1.57	<0.0001	signal transduction
Iqgap1	100561_at	6589.33	10407.6	1.58	0.0002	signal transduction
Hif1a	98629_f_at	10322.05	16378.62	1.59	<0.0001	signal transduction
Spred2	161070_at	782.65	1251.42	1.6	0.0002	signal transduction
Bcap37	98545_at	1989.95	3205.35	1.61	<0.0001	signal transduction
C3ar1	103707_at	327.83	531.25	1.62	0.0002	signal transduction
Socs2	99475_at	8354.68	13640.58	1.63	0.0002	signal transduction
Tgfbr1	92427_at	353.23	578.48	1.64	<0.0001	signal transduction
Bmp4	93455_s_at	4387.3	7203.12	1.64	<0.0001	signal transduction
Spec1	97817_at	3868.18	6381.3	1.65	<0.0001	signal transduction
Ect2	97411_at	234.33	391.13	1.67	0.0047	signal transduction
Lrba	104264_at	1920.18	3206.3	1.67	0.0001	signal transduction
Ptprf	96272_at	4881	8370.68	1.71	0.0003	signal transduction
Snx2	96331_at	2502.13	4297.12	1.72	0.0002	signal transduction
Kras2	97991_at	2604.28	4477.65	1.72	0.0001	signal transduction
Ppp2r5c	98993_at	2539.6	4417.87	1.74	0.0002	signal transduction
Entpd1	160774_at	849.05	1508.78	1.78	<0.0001	signal transduction
Rab20	160608_at	141.75	252.57	1.78	<0.0001	signal transduction
Rhog	97888_at	652.05	1172.4	1.8	0.0006	signal transduction
Ccl3	102424_at	245.63	451.3	1.84	0.0005	signal transduction
Gdnf	92738_at	1004.85	1930.45	1.92	<0.0001	signal transduction
Ptgir	98811_at	174.83	342.5	1.96	0.0001	signal transduction
Itgax	104308_at	2112.83	4232.3	2	<0.0001	signal transduction
Rgs10	160629_at	992.83	2006.15	2.02	0.0002	signal transduction
Tank	103328_at	692.58	1420.58	2.05	<0.0001	signal transduction
Rgs10	161765_f_at	462.1	967.03	2.09	0.0001	signal transduction
Fgfr2	93090_at	8324.43	17573.48	2.11	0.0001	signal transduction
Kcnk2	104652_at	1362.9	2972.98	2.18	0.0018	signal transduction
Il1rn	93871_at	699.65	1574.95	2.25	<0.0001	signal transduction
Frk	92959_at	124.8	289.62	2.32	<0.0001	signal transduction
Arf6	104179_at	512.75	1201.98	2.34	<0.0001	signal transduction
Ccr5	102718_at	71.75	168.22	2.34	0.0006	signal transduction
Shc1	104350_at	2350.68	5741.02	2.44	<0.0001	signal transduction
Ptger4	103362_at	174.25	431.9	2.48	0.0002	signal transduction
Car8	102773_at	2110.83	5249.25	2.49	<0.0001	signal transduction
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	signal transduction
Ccl6	92849_at	1184.23	2956.75	2.5	0.0001	signal transduction
Shc1	93713_at	958.25	2422.13	2.53	0.0001	signal transduction
Rhou	96747_at	501.68	1308.9	2.61	0.0001	signal transduction
Tnfrsf1b	94928_at	1528.3	3995.82	2.61	<0.0001	signal transduction
Celsr1	103516_at	287.5	762.98	2.65	<0.0001	signal transduction
Il7r	99030_at	408.4	1113.97	2.73	0.0009	signal transduction
Gpr56	102787_at	2287.95	6302.2	2.75	<0.0001	signal transduction
Cxcl2	101160_at	105.48	322.2	3.05	0.0002	signal transduction
Igf1	95546_g_at	135.48	463.78	3.42	0.0006	signal transduction
Ccl12	93717_at	154.35	538	3.49	<0.0001	signal transduction
Npy2r	100703_at	127.85	451.43	3.53	<0.0001	signal transduction
Csf2	92948_at	149.85	534.47	3.57	<0.0001	signal transduction
Itgae	93961_at	157.73	579.68	3.68	0.0001	signal transduction
Adora2b	99864_at	563.23	2108.13	3.74	0.0002	signal transduction
Rgs4	94155_at	45.68	191.6	4.19	0.0003	signal transduction
Avpi1	96866_at	316.23	1655.48	5.24	<0.0001	signal transduction
Ccl17	97783_at	133.55	2060.55	15.43	0.0003	signal transduction
Myb	92644_s_at	1329.93	222.48	-5.98	<0.0001	cell cycle
Lmyc1	102235_at	1162.75	263.18	-4.42	0.0002	cell cycle
Fgf7	99435_at	666.25	186	-3.58	<0.0001	cell cycle
Figf	92365_at	3219.15	923.15	-3.49	<0.0001	cell cycle
Cdkn1c	95471_at	2178.38	646.72	-3.37	<0.0001	cell cycle
Pmp22	102395_at	10566.6	3343.92	-3.16	<0.0001	cell cycle
Gadd45b	161666_f_at	2720.05	935.12	-2.91	<0.0001	cell cycle
Nr2f1	102715_at	336.13	116.72	-2.88	0.0014	cell cycle
Cdkn2d	94521_at	1144.43	397.55	-2.88	<0.0001	cell cycle
Jun	100130_at	2790.33	976.05	-2.86	<0.0001	cell cycle
Sspn	102378_at	1333.13	468.35	-2.85	<0.0001	cell cycle
Reck	103804_at	5773.6	2199.5	-2.62	<0.0001	cell cycle
Rgs2	97844_at	2153.2	862.32	-2.5	<0.0001	cell cycle
Sesn1	95731_at	4107.83	1646.2	-2.5	<0.0001	cell cycle
Rps6ka2	98007_at	1774	831.22	-2.13	0.0001	cell cycle
Pkd2	100951_at	4745.6	2279.68	-2.08	0.0001	cell cycle
Rras	94394_at	4743.43	2367.05	-2	<0.0001	cell cycle
Nbl1	101969_at	4072.45	2079	-1.96	<0.0001	cell cycle
Dusp1	104598_at	12107.9	6190.15	-1.96	<0.0001	cell cycle
Macf1	98402_at	14434.83	7527.05	-1.92	<0.0001	cell cycle
Ets2	94246_at	2929.7	1532	-1.91	<0.0001	cell cycle
Hus1	92504_at	1050.43	583.03	-1.8	<0.0001	cell cycle
Rad50	100459_at	1593.88	894.15	-1.78	0.0001	cell cycle
Pdgfa	94932_at	4358.48	2501.7	-1.74	0.0001	cell cycle
Vegfc	94712_at	453.4	262.18	-1.73	0.0001	cell cycle
Fhit	102628_at	104.03	60.23	-1.73	0.0001	cell cycle
Pkd1	97375_at	2225.63	1429.72	-1.56	0.0003	cell cycle
Tgfb2	93300_at	356.13	228.87	-1.56	0.0003	cell cycle
G0s2	97531_at	1404.85	921.38	-1.52	0.0001	cell cycle
Tgfb3	102751_at	2558.43	1696.35	-1.51	0.0002	cell cycle
Elk3	99984_at	867.9	586.05	-1.48	0.0007	cell cycle
Nde1	94910_at	2145.85	1466.55	-1.46	0.0012	cell cycle
Nat6	104439_at	1838.7	1264.33	-1.45	<0.0001	cell cycle
Cetn2	104733_at	466.4	322.12	-1.45	0.0001	cell cycle
Rhob	101030_at	12876.73	8895.57	-1.45	0.0001	cell cycle
Stmn1	97909_at	6933.08	4804.1	-1.44	0.0002	cell cycle
Sipa1	97963_at	1964.93	1388.85	-1.41	0.0019	cell cycle
Mnat1	98979_at	1229.85	905.63	-1.36	0.0004	cell cycle
Mafk	102919_at	2827.8	2109.5	-1.34	<0.0001	cell cycle
Hus1	92503_at	653.03	488.9	-1.34	0.0002	cell cycle
Egfr	101842_g_at	597.85	448.37	-1.33	0.0004	cell cycle
Mapre1	92350_at	2022.55	1517	-1.33	0.002	cell cycle
Cspg6	102853_at	1242.13	935.6	-1.33	0.0001	cell cycle
Cdc23	104090_at	991.33	762.02	-1.3	0.0001	cell cycle
Anapc11	93967_at	3506.15	2807.77	-1.25	0.0001	cell cycle
Bmyc	99514_at	1545.78	1248.08	-1.24	0.0003	cell cycle
Gspt2	103261_at	699.55	582.23	-1.2	0.0039	cell cycle
Anapc1	99068_at	1914.35	1594.57	-1.2	<0.0001	cell cycle
Pes1	160788_at	581.43	717.93	1.23	0.0005	cell cycle
Ccnj	96598_at	787.25	980.82	1.25	0.0006	cell cycle
Nr2f6	104554_at	2644.2	3309.5	1.25	0.0013	cell cycle
Cdk4	160538_at	6083.78	7712.6	1.27	0.0014	cell cycle
Cdk8	96726_at	3372.78	4429.43	1.31	<0.0001	cell cycle
Casp3	98437_at	1047.9	1411.22	1.35	0.0003	cell cycle
Trp53	104275_g_at	499.83	679.23	1.36	0.0002	cell cycle
Cdk2	94412_at	830.85	1148.22	1.38	<0.0001	cell cycle
Rad51	104527_at	387.98	542.43	1.4	0.0026	cell cycle
Erbb3	96771_at	3389.95	5015.13	1.48	0.0002	cell cycle
Ran	101254_at	12779.98	18987.5	1.49	<0.0001	cell cycle
Incenp	93758_at	353.35	528.95	1.5	0.0023	cell cycle
Chaf1b	100890_at	272.9	414.25	1.52	0.0003	cell cycle
Smc4l1	101906_at	1739.53	2796.68	1.61	0.0002	cell cycle
Junb	102362_i_at	1560.48	2584.65	1.66	0.0001	cell cycle
Ect2	97411_at	234.33	391.13	1.67	0.0047	cell cycle
Kras2	97991_at	2604.28	4477.65	1.72	0.0001	cell cycle
Camk2d	93214_at	205.7	381.8	1.86	<0.0001	cell cycle
Ccnd1	94232_at	4329.18	8203.27	1.89	0.0001	cell cycle
Il1a	94755_at	320.15	610.77	1.91	0.0003	cell cycle
Brca1	102976_at	130.2	249.03	1.91	<0.0001	cell cycle
Junb	102363_r_at	1394.45	2744.33	1.97	<0.0001	cell cycle
Gadd45a	102292_at	1088.3	2148.52	1.97	<0.0001	cell cycle
Cks2	97527_at	349.33	750.87	2.15	<0.0001	cell cycle
Cdc20	96319_at	1067.1	2312.95	2.17	0.0006	cell cycle
Myc	104712_at	198.95	443.83	2.23	<0.0001	cell cycle
Frk	92959_at	124.8	289.62	2.32	<0.0001	cell cycle
Ccnd1	94231_at	1572.38	3833.7	2.44	<0.0001	cell cycle
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	cell cycle
Cdc2a	100128_at	415.95	1044.03	2.51	0.0016	cell cycle
Rhou	96747_at	501.68	1308.9	2.61	0.0001	cell cycle
Bub1	104097_at	76.28	201.73	2.64	0.0001	cell cycle
Ros1	97765_g_at	71.33	279.3	3.92	0.0001	cell cycle
Cxcl1	95348_at	399.9	5442.53	13.61	<0.0001	cell cycle
Cxcl1	95349_g_at	167.33	3796.05	22.69	0.0001	cell cycle
Ereg	98802_at	26.45	619.65	23.43	0.0003	cell cycle
Ros1	97764_at	11.2	741.9	66.24	<0.0001	cell cycle
Adn	99671_at	3093.85	52.9	-58.48	0.0004	response to external stimulus
Pon1	96895_at	3739.95	77	-48.57	<0.0001	response to external stimulus
Krt2-8	103904_at	9489.03	614.3	-15.45	<0.0001	response to external stimulus
Anxa8	97529_at	1861.4	152.85	-12.18	<0.0001	response to external stimulus
Npy1r	93007_at	156.13	33.08	-4.72	<0.0001	response to external stimulus
Thbd	104601_at	11048.33	2379.15	-4.64	0.0001	response to external stimulus
Prom1	93389_at	2151.63	501.95	-4.29	0.0001	response to external stimulus
Krt2-8	96825_at	4224.1	1108.15	-3.81	<0.0001	response to external stimulus
Robo1	103675_at	100.28	27.32	-3.67	0.0001	response to external stimulus
F5	102748_at	96.8	26.7	-3.63	<0.0001	response to external stimulus
Prom1	93390_g_at	499.55	140.75	-3.55	<0.0001	response to external stimulus
Arrb1	100473_at	4569.2	1294.12	-3.53	0.0001	response to external stimulus
Rarres2	97835_at	9756.95	2836.35	-3.44	<0.0001	response to external stimulus
Kit	99956_at	6214.5	1943.15	-3.2	<0.0001	response to external stimulus
Stab1	96885_at	1927.3	632.93	-3.05	<0.0001	response to external stimulus
Hp	96092_at	37380.1	12387.82	-3.02	0.0001	response to external stimulus
Cxcl12	100112_at	4097.5	1406.2	-2.91	0.0001	response to external stimulus
Cdkn2d	94521_at	1144.43	397.55	-2.88	<0.0001	response to external stimulus
Plp	92801_at	114.23	41.9	-2.73	0.0005	response to external stimulus
Gp5	100740_at	116.68	43.7	-2.67	0.0039	response to external stimulus
Gnas	160097_at	409.13	156.1	-2.62	0.0003	response to external stimulus
Cfh	101853_f_at	1359.58	524.7	-2.59	<0.0001	response to external stimulus
Ephx1	101587_at	8425.25	3503.48	-2.4	<0.0001	response to external stimulus
Cmkor1	93430_at	2047.48	858.47	-2.39	0.0001	response to external stimulus
Vwf	103499_at	7085.68	3002.72	-2.36	<0.0001	response to external stimulus
Amot	95531_at	803.18	346.55	-2.32	<0.0001	response to external stimulus
S100a8	103448_at	1535.28	680.5	-2.26	0.0003	response to external stimulus
Ccl21a	103012_at	4474.4	1987.67	-2.25	0.0004	response to external stimulus
Gp1bb	160649_at	114.5	52.3	-2.19	0.0013	response to external stimulus
Myo6	96560_at	1741.35	825.72	-2.11	0.0001	response to external stimulus
Pkd2	100951_at	4745.6	2279.68	-2.08	0.0001	response to external stimulus
Chst2	102639_at	608.78	336.2	-1.81	<0.0001	response to external stimulus
Hus1	92504_at	1050.43	583.03	-1.8	<0.0001	response to external stimulus
Hspa2	99816_at	346.58	206.52	-1.68	0.0012	response to external stimulus
Serping1	99081_at	16186.38	9811.53	-1.65	<0.0001	response to external stimulus
Edg3	92352_at	3766.3	2327.58	-1.62	0.0007	response to external stimulus
Stab1	96886_at	1785.4	1115.88	-1.6	0.0008	response to external stimulus
Crry	101879_s_at	1946.65	1230.85	-1.58	0.0004	response to external stimulus
Fert2	99321_at	242.58	154.7	-1.57	<0.0001	response to external stimulus
Pkd1	97375_at	2225.63	1429.72	-1.56	0.0003	response to external stimulus
Elk3	99984_at	867.9	586.05	-1.48	0.0007	response to external stimulus
Pros1	104728_at	2851.35	1993.92	-1.43	0.0033	response to external stimulus
Tollip	160809_at	1464	1026.65	-1.43	<0.0001	response to external stimulus
Tnfrsf1a	92793_at	3558.63	2574.2	-1.38	<0.0001	response to external stimulus
Fech	92595_r_at	169.7	125.37	-1.35	0.0006	response to external stimulus
Hus1	92503_at	653.03	488.9	-1.34	0.0002	response to external stimulus
Rac1	101555_at	32854.18	26872.5	-1.22	<0.0001	response to external stimulus
Unc119	95555_at	1766.43	2159.9	1.22	0.0003	response to external stimulus
Plaa	160169_at	625.18	786.1	1.26	0.0019	response to external stimulus
Wdr1	96075_at	7666.3	9900.22	1.29	<0.0001	response to external stimulus
Lyzs	100611_at	22610.48	30274.6	1.34	0.0006	response to external stimulus
Casp3	98437_at	1047.9	1411.22	1.35	0.0003	response to external stimulus
Trp53	104275_g_at	499.83	679.23	1.36	0.0002	response to external stimulus
Mitf	101159_at	333.15	474.17	1.42	<0.0001	response to external stimulus
Tfpi2	94383_at	342.93	492	1.43	0.0003	response to external stimulus
Myo7a	94713_at	1226.3	1768.45	1.44	0.0013	response to external stimulus
Hspa9a	97914_at	3209.45	4791.37	1.49	0.0002	response to external stimulus
Drpla	93021_at	6721.95	10525.05	1.57	<0.0001	response to external stimulus
