Gene Symbol	GenBank ID	Affy ID	Fold change	P value	Gene Title
B4GALT5	BF691447	221484_at	1.56	4.23E-04	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5
BANF1	AF044773	210125_s_at	1.38	8.18E-03	barrier to autointegration factor 1
BIRC1	AI817801	204860_s_at	0.71	9.34E-03	baculoviral IAP repeat-containing 1
BIRC5	NM_001168	202095_s_at	1.63	3.03E-03	baculoviral IAP repeat-containing 5 (survivin)
BNIP3L	AF060922	221479_s_at	0.71	1.20E-03	BCL2/adenovirus E1B 19kDa interacting protein 3-like
BNIP3L	AL132665	221478_at	0.71	8.77E-03	BCL2/adenovirus E1B 19kDa interacting protein 3-like
BPGM	NM_001724	203502_at	1.58	1.14E-03	2,3-bisphosphoglycerate mutase
BTN3A2	BC002832	209846_s_at	1.52	9.34E-03	butyrophilin, subfamily 3, member A2
BUB1	AF043294	209642_at	1.44	6.35E-03	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
BUB1B	NM_001211	203755_at	1.58	2.38E-03	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
C11orf41	H08993	214772_at	1.31	6.46E-03	chromosome 11 open reading frame 41
C14orf132	NM_020215	218820_at	0.58	7.05E-04	chromosome 14 open reading frame 132
C1GALT1	NM_020156	219439_at	1.33	2.02E-03	core 1 synthase, glycoprotein-Nacetylgalactosamine 3-betagalactosyltransferase, 1
C1orf103	NM_018372	220235_s_at	1.4	2.99E-03	chromosome 1 open reading frame 103
C1orf63	AF247168	209006_s_at	0.73	3.82E-03	chromosome 1 open reading frame 63
C2orf17	AK026155	222129_at	0.68	2.02E-04	Chromosome 2 open reading frame 17
C7orf24	AK021779	215380_s_at	1.57	2.46E-03	chromosome 7 open reading frame 24
C9orf76	NM_024945	218979_at	1.4	2.19E-03	chromosome 9 open reading frame 76
CAPN6	NM_014289	202965_s_at	1.53	9.31E-03	calpain 6
CARM1	AA551784	212512_s_at	1.26	5.94E-03	coactivator-associated arginine methyltransferase 1
CBS	BE613178	212816_s_at	1.27	8.05E-03	cystathionine-beta-synthase
CCDC47	NM_020198	217814_at	1.4	9.49E-03	coiled-coil domain containing 47
CCDC59	NM_014167	218936_s_at	1.29	5.26E-03	coiled-coil domain containing 59
CCL5	M21121	1405_i_at	1.74	2.32E-03	chemokine (C-C motif) ligand 5
CCNA2	AI346350	213226_at	1.43	5.85E-03	Cyclin A2
CCNB1	BE407516	214710_s_at	1.97	1.17E-03	cyclin B1
CCNE2	NM_004702	205034_at	1.55	4.48E-03	cyclin E2
CCNI	AF135162	208656_s_at	0.79	7.35E-03	cyclin I
CCT6A	NM_001762	201327_s_at	1.49	2.43E-03	chaperonin containing TCP1, subunit 6A (zeta 1)
CD302	NM_014880	203799_at	0.54	1.53E-04	CD302 molecule
CD47	Z25521	211075_s_at	1.54	3.98E-03	CD47 molecule
CDC20	NM_001255	202870_s_at	1.83	7.77E-03	CDC20 cell division cycle 20 homolog (S.cerevisiae)
CDC25A	AI343459	204695_at	1.33	7.17E-03	cell division cycle 25A
CDC37L1	NM_017913	219343_at	1.4	5.32E-03	CDC37 cell division cycle 37 homolog (S.cerevisiae)-like 1
CDC42BPA	NM_003607	214464_at	0.56	9.89E-04	CDC42 binding protein kinase alpha (DMPKlike)
CDC42BPA	NM_014826	203794_at	0.76	8.45E-03	CDC42 binding protein kinase alpha (DMPKlike)
CDH1	NM_004360	201131_s_at	2.51	3.76E-03	cadherin 1, type 1, E-cadherin (epithelial)
CDH3	NM_001793	203256_at	1.97	3.36E-03	cadherin 3, type 1, P-cadherin (placental)
CDKN2A	NM_000077	207039_at	2.31	9.77E-05	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
CDKN2A	U38945	209644_x_at	1.87	1.26E-04	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
CENPA	NM_001809	204962_s_at	2.08	1.73E-04	centromere protein A, 17kDa
CEP55	NM_018131	218542_at	1.91	2.01E-03	centrosomal protein 55kDa
CEP57	NM_014679	203494_s_at	0.77	5.10E-03	centrosomal protein 57kDa
CFD	NM_001928	205382_s_at	0.39	1.88E-04	complement factor D (adipsin)
CGI-38	NM_016140	218876_at	0.73	5.18E-03	brain specific protein
CHD7	NM_017780	218829_s_at	1.42	2.45E-03	chromodomain helicase DNA binding protein 7
CHEK1	NM_001274	205394_at	1.44	2.75E-03	CHK1 checkpoint homolog (S. pombe)
CHRD	AF283325	211248_s_at	0.74	5.72E-03	chordin
CKS2	NM_001827	204170_s_at	1.84	1.00E-03	CDC28 protein kinase regulatory subunit 2
CLK1	AI251890	214683_s_at	0.73	5.79E-03	CDC-like kinase 1
COL13A1	M33653	211343_s_at	1.47	7.20E-03	collagen, type XIII, alpha 1
COL9A3	NM_001853	204724_s_at	1.54	5.27E-03	collagen, type IX, alpha 3
COLEC12	NM_030781	221019_s_at	0.53	8.12E-04	collectin sub-family member 12
CRIP1	NM_001311	205081_at	0.5	5.77E-03	cysteine-rich protein 1 (intestinal)
CRYBB2	NM_000496	206777_s_at	1.8	1.44E-07	crystallin, beta B2
CRYL1	NM_015974	220753_s_at	0.77	5.61E-03	crystallin, lambda 1
	AL022324	215946_x_at	2.28	1.53E-04	similar to omega protein
CXCL10	NM_001565	204533_at	2.94	2.39E-04	chemokine (C-X-C motif) ligand 10
CXCL11	AF030514	210163_at	3.17	1.02E-04	chemokine (C-X-C motif) ligand 11
CXCL11	AF002985	211122_s_at	2.38	5.65E-04	chemokine (C-X-C motif) ligand 11
CYBRD1	NM_024843	217889_s_at	0.56	3.34E-04	cytochrome b reductase 1
CYCS	BC005299	208905_at	1.32	1.94E-03	cytochrome c, somatic
CYP2J2	NM_000775	205073_at	1.35	5.70E-03	cytochrome P450, family 2, subfamily J, polypeptide 2
DACH1	NM_004392	205472_s_at	0.65	8.36E-03	dachshund homolog 1 (Drosophila)
DBF4	NM_006716	204244_s_at	1.58	4.07E-05	DBF4 homolog (S. cerevisiae)
DDEF2	NM_003887	206414_s_at	1.5	4.58E-03	development and differentiation enhancing factor 2
DDIT4	NM_019058	202887_s_at	1.76	4.08E-03	DNA-damage-inducible transcript 4
DDX17	NM_030881	208151_x_at	1.54	4.90E-03	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
DDX17	AW188131	213998_s_at	0.62	8.82E-03	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
DDX58	NM_014314	218943_s_at	1.89	2.51E-04	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
DHRS1	AL050217	213279_at	0.79	7.30E-03	dehydrogenase/reductase (SDR family) member 1
DLG7	NM_014750	203764_at	1.66	4.34E-03	discs, large homolog 7 (Drosophila)
DNAJC15	NM_013238	218435_at	1.62	4.11E-03	DnaJ (Hsp40) homolog, subfamily C, member 15
DNM1L	NM_012062	203105_s_at	1.39	6.75E-03	dynamin 1-like
DPP8	NM_017743	220939_s_at	0.77	1.45E-03	dipeptidyl-peptidase 8
DSC2	NM_004949	204751_x_at	1.65	4.97E-03	desmocollin 2
DSG2	BF031829	217901_at	1.85	6.87E-04	desmoglein 2
DSP	NM_004415	200606_at	2.68	3.27E-03	desmoplakin
DUSP14	NM_007026	203367_at	0.81	8.99E-03	dual specificity phosphatase 14
DUT	U62891	208956_x_at	0.74	2.55E-03	dUTP pyrophosphatase
E2F5	U15642	221586_s_at	1.37	3.06E-03	E2F transcription factor 5, p130-binding
ECGF1	NM_001953	204858_s_at	1.5	2.41E-03	endothelial cell growth factor 1 (plateletderived)
ECM1	U65932	209365_s_at	0.61	9.33E-04	extracellular matrix protein 1
ECT2	NM_018098	219787_s_at	1.71	2.95E-03	epithelial cell transforming sequence 2 oncogene
EDG2	AW269335	204036_at	0.67	2.10E-03	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
EDG2	BF055366	204037_at	0.65	2.75E-03	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
EFEMP1	AI826799	201842_s_at	0.49	5.71E-03	EGF-containing fibulin-like extracellular matrix protein 1
EFHC1	NM_018100	219833_s_at	0.52	1.91E-05	EF-hand domain (C-terminal) containing 1
EHF	NM_012153	219850_s_at	1.52	7.80E-03	ets homologous factor
EIF3S9	U78525	208688_x_at	1.31	6.88E-04	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa
EIF3S9	NM_003751	203462_x_at	1.31	1.26E-03	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa
EIF3S9	BC001173	211501_s_at	1.31	4.25E-03	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa
EIF5	BG481972	208705_s_at	0.78	6.69E-03	eukaryotic translation initiation factor 5
EIF5B	AB018284	201025_at	1.29	2.09E-03	eukaryotic translation initiation factor 5B
EIF5B	BE138647	214313_s_at	1.29	4.31E-03	eukaryotic translation initiation factor 5B
ENOSF1	AF305057	213645_at	0.66	2.02E-03	enolase superfamily member 1
EPHA4	NM_004438	206114_at	0.71	1.17E-03	EPH receptor A4
ESPL1	NM_012291	204817_at	1.35	2.45E-03	extra spindle poles like 1
ESPL1	D79987	38158_at	1.33	5.43E-03	extra spindle poles like 1
ETFA	NM_000126	201931_at	1.62	3.95E-03	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
ETV5	NM_004454	203349_s_at	1.32	6.35E-03	ets variant gene 5 (ets-related molecule)
EVA1	AF275945	203780_at	1.52	3.49E-03	epithelial V-like antigen 1
EZH2	NM_004456	203358_s_at	1.76	6.00E-04	enhancer of zeste homolog 2
F8	NM_000132	205756_s_at	0.73	2.18E-03	coagulation factor VIII, procoagulant component (hemophilia A)
FABP4	NM_001442	203980_at	0.31	5.08E-04	fatty acid binding protein 4, adipocyte
FABP7	NM_001446	205030_at	4.28	6.26E-05	fatty acid binding protein 7, brain
FABP7	NM_001446	205029_s_at	2.71	8.96E-05	fatty acid binding protein 7, brain
FAM46A	AW246673	221766_s_at	0.63	5.91E-03	family with sequence similarity 46, member A
FAM60A	NM_021238	220147_s_at	1.67	1.27E-03	family with sequence similarity 60, member A
FAM98A	AL049943	212333_at	1.56	3.40E-04	family with sequence similarity 98, member A
FBL	M30448	211623_s_at	1.44	9.66E-03	fibrillarin
FBXO5	NM_012177	218875_s_at	1.41	6.32E-04	F-box protein 5
FGF13	NM_004114	205110_s_at	1.85	1.88E-03	fibroblast growth factor 13
FHL1	NM_001449	201540_at	0.55	8.68E-03	four and a half LIM domains 1
FLJ12505	NM_024749	219740_at	1.45	7.73E-03	hypothetical protein FLJ12505
FLJ21062	NM_024788	219455_at	0.8	8.32E-03	hypothetical protein FLJ21062
FMOD	NM_002023	202709_at	0.66	1.27E-03	fibromodulin
FNBP1L	AW270932	215017_s_at	1.41	5.94E-03	formin binding protein 1-like
FOLH1	AW168915	215363_x_at	1.4	6.33E-03	folate hydrolase (prostate-specific membrane antigen) 1
FOLH1	NM_004476	205860_x_at	1.43	8.36E-03	folate hydrolase (prostate-specific membrane antigen) 1
FOS	BC004490	209189_at	0.43	8.44E-04	v-fos FBJ murine osteosarcoma viral oncogene homolog
FOXK2	NM_004514	203064_s_at	1.41	6.48E-03	forkhead box K2
FOXM1	NM_021953	202580_x_at	1.77	9.33E-04	forkhead box M1
FRAT2	AB045118	209864_at	1.42	2.09E-03	frequently rearranged in advanced T-cell lymphomas 2
FRMD4B	AU145019	213056_at	0.71	3.95E-03	FERM domain containing 4B
FTSJ3	NM_017647	218103_at	1.29	6.74E-03	FtsJ homolog 3 (E. coli)
GABBR1	NM_006398	205890_s_at	2.39	1.83E-03	gamma-aminobutyric acid (GABA) B receptor, 1; ubiquitin D
GABBR2	AF056085	209990_s_at	1.55	2.34E-03	gamma-aminobutyric acid (GABA) B receptor, 2
GADD45G	NM_006705	204121_at	0.7	4.55E-03	growth arrest and DNA-damage-inducible, gamma
GALNT3	BF063271	203397_s_at	2.58	6.94E-05	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
GAPVD1	AK023841	212802_s_at	0.81	5.43E-03	GTPase activating protein and VPS9 domains 1
GARS	D30658	208693_s_at	1.37	1.56E-03	glycyl-tRNA synthetase
GCH1	NM_000161	204224_s_at	1.57	4.72E-03	GTP cyclohydrolase 1 (dopa-responsive dystonia)
GGH	NM_003878	203560_at	2.13	4.95E-04	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
GINS1	NM_021067	206102_at	1.64	2.78E-03	GINS complex subunit 1 (Psf1 homolog)
GLI3	NM_000168	205201_at	0.76	1.85E-03	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)
GLT8D1	NM_018446	218147_s_at	0.63	8.86E-04	glycosyltransferase 8 domain containing 1
GLT8D1	NM_018446	218146_at	0.78	5.56E-03	glycosyltransferase 8 domain containing 1
GLUL	AL161952	215001_s_at	0.75	7.52E-04	glutamate-ammonia ligase (glutamine synthetase)
GMDS	AI762113	214106_s_at	1.66	1.79E-05	GDP-mannose 4,6-dehydratase
GMDS	NM_001500	204875_s_at	2.02	5.69E-05	GDP-mannose 4,6-dehydratase
GMNN	NM_015895	218350_s_at	1.54	5.92E-03	geminin, DNA replication inhibitor
GNB5	NM_016194	204000_at	0.72	4.60E-04	guanine nucleotide binding protein (G protein), beta 5
GNE	NM_005476	205042_at	1.47	8.70E-03	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
GPIAP1	NM_005898	200723_s_at	1.31	2.02E-03	GPI-anchored membrane protein 1
GPX4	NM_002085	201106_at	0.73	3.95E-03	glutathione peroxidase 4 (phospholipid hydroperoxidase)
GSDML	NM_018530	219233_s_at	1.86	5.04E-04	gasdermin-like
GSTT1	NM_000853	203815_at	0.61	5.57E-03	glutathione S-transferase theta 1
HCFC1R1	AA436930	45714_at	0.78	3.58E-03	host cell factor C1 regulator 1 (XPO1 dependent)
HIP1R	AB013384	209558_s_at	1.27	4.73E-03	huntingtin interacting protein 1 related
HIST1H2BG	BC001131	210387_at	1.77	7.46E-03	histone 1, H2bg
HLA-DQA1	X00452	213831_at	2.92	7.98E-04	major histocompatibility complex, class II, DQ alpha 1
HLA-DQB1	M16276	209480_at	2.19	4.67E-03	major histocompatibility complex, class II, DQ beta 1
HMGA1	NM_002131	206074_s_at	1.35	6.79E-03	high mobility group AT-hook 1
HMGB3	NM_005342	203744_at	1.91	1.43E-03	high-mobility group box 3
HN1	NM_016185	217755_at	1.71	6.40E-03	hematological and neurological expressed 1
HNMT	BC005907	211732_x_at	0.72	3.60E-03	histamine N-methyltransferase
HNRPA3	BG505670	211931_s_at	1.35	8.68E-03	heterogeneous nuclear ribonucleoprotein A3
HNRPA3	AA528233	211933_s_at	1.34	8.82E-03	heterogeneous nuclear ribonucleoprotein A3
HRASLS	NM_020386	219983_at	1.82	5.25E-03	HRAS-like suppressor
HSD17B4	NM_000414	201413_at	0.68	5.81E-03	hydroxysteroid (17-beta) dehydrogenase 4
HYI	NM_031207	221435_x_at	0.77	2.65E-03	hydroxypyruvate isomerase homolog
ICAM3	NM_002162	204949_at	1.38	6.65E-03	intercellular adhesion molecule 3
IDS	NM_006123	206342_x_at	0.76	4.89E-03	iduronate 2-sulfatase (Hunter syndrome)
IDUA	NM_000203	205059_s_at	0.71	8.40E-04	iduronidase, alpha-L
IFIH1	NM_022168	219209_at	1.9	1.56E-03	interferon induced with helicase C domain 1
IGH	M87789	211430_s_at	4.07	4.57E-04	immunoglobulin heavy locus
IGH	BG340548	214916_x_at	1.54	1.57E-03	immunoglobulin heavy locus
IGHA1	S55735	217022_s_at	7.37	1.61E-05	immunoglobulin heavy alpha 1
IGHD	AI858004	213674_x_at	1.68	4.39E-04	immunoglobulin heavy constant delta
IGHM	BC001872	209374_s_at	4.17	4.21E-05	immunoglobulin heavy constant mu
IGHM	U80139	216491_x_at	1.78	1.28E-03	immunoglobulin heavy constant mu
IGJ	AV733266	212592_at	3.65	2.82E-05	Immunoglobulin J polypeptide
IGKC	BG485135	214669_x_at	3.32	3.15E-05	Immunoglobulin kappa constant
IGKC	BC005332	221651_x_at	3.38	4.61E-05	immunoglobulin kappa constant
IGKC	M63438	221671_x_at	3.4	4.87E-05	immunoglobulin kappa constant
IGKC	BG536224	214836_x_at	2.75	1.37E-04	immunoglobulin kappa constant
IGKC	L14458	211644_x_at	2.84	3.18E-04	immunoglobulin kappa constant
IGKV1D-13	AW408194	216207_x_at	2.3	6.18E-04	immunoglobulin kappa variable 1D-13
IGL	AV698647	215379_x_at	4.04	1.50E-05	immunoglobulin lambda locus
IGL	X57812	214677_x_at	5.78	2.32E-05	immunoglobulin lambda locus
IGL	AA680302	215121_x_at	4.2	2.43E-05	immunoglobulin lambda locus
IGL	M87790	209138_x_at	5.16	2.47E-05	Immunoglobulin lambda locus
IGL	AF234255	216853_x_at	1.48	2.12E-03	Immunoglobulin lambda locus
IGLC2	AF047245	216365_x_at	1.36	2.20E-03	immunoglobulin lambda constant 2
IGLJ3	AB001733	211798_x_at	1.8	3.49E-03	immunoglobulin lambda joining 3
IGLJ3	AB014341	211881_x_at	1.68	5.91E-03	immunoglobulin lambda joining 3
IGLV2-14	AJ249377	217148_x_at	1.8	8.93E-03	immunoglobulin lambda variable 2-14
IL13RA1	NM_001560	201887_at	0.73	4.24E-03	interleukin 13 receptor, alpha 1
IL1R1	NM_000877	202948_at	0.58	5.77E-03	interleukin 1 receptor, type I
IL6R	NM_000565	205945_at	0.63	2.88E-03	interleukin 6 receptor
ILF3	AF141870	211375_s_at	1.39	1.03E-03	interleukin enhancer binding factor 3, 90kDa
ILF3	NM_004516	217805_at	1.3	8.24E-03	interleukin enhancer binding factor 3, 90kDa
INDO	M34455	210029_at	1.72	4.07E-03	indoleamine-pyrrole 2,3 dioxygenase
ISG15	NM_005101	205483_s_at	2.08	9.31E-03	ISG15 ubiquitin-like modifier
ISG20	NM_002201	204698_at	1.75	1.25E-03	interferon stimulated exonuclease gene 20kDa
ISG20	U88964	33304_at	1.72	1.46E-03	interferon stimulated exonuclease gene 20kDa
ITM2C	NM_030926	221004_s_at	1.43	2.64E-03	integral membrane protein 2C
ITPR1	NM_002222	203710_at	0.59	3.75E-03	inositol 1,4,5-triphosphate receptor, type 1
ITPR3	NM_002224	201189_s_at	1.31	7.39E-03	inositol 1,4,5-triphosphate receptor, type 3
KIF11	NM_004523	204444_at	1.58	8.12E-03	kinesin family member 11
KIF20A	NM_005733	218755_at	1.48	6.55E-03	kinesin family member 20A
KIF4A	NM_012310	218355_at	1.74	1.50E-03	kinesin family member 4A
KLHL2	NM_007246	219157_at	0.69	3.00E-03	kelch-like 2, Mayven (Drosophila)
KNTC2	NM_006101	204162_at	1.58	5.51E-03	kinetochore associated 2
KRT16	AF061812	209800_at	2.04	7.48E-03	keratin 16 (focal non-epidermolytic palmoplantar keratoderma)
KRT7	BC002700	209016_s_at	3.1	1.63E-03	keratin 7
KRTHB1	NM_002281	213711_at	2.23	4.76E-04	keratin, hair, basic, 1
LANCL2	NM_018697	218219_s_at	1.5	2.41E-03	LanC lantibiotic synthetase component C-like 2 (bacterial)
LAPTM4B	AW149681	208767_s_at	1.72	1.29E-04	lysosomal associated protein transmembrane 4 beta
LAPTM4B	NM_018407	208029_s_at	1.81	1.07E-03	lysosomal associated protein transmembrane 4 beta
LAPTM4B	T15777	214039_s_at	1.61	3.51E-03	lysosomal associated protein transmembrane 4 beta
LEPR	U50748	209894_at	0.67	9.54E-03	leptin receptor
LMNB1	NM_005573	203276_at	1.59	1.14E-03	lamin B1
LONPL	AI971258	221833_at	0.58	2.47E-03	peroxisomal LON protease like
LRPAP1	NM_002337	201186_at	0.75	7.36E-03	low density lipoprotein receptor-related protein associated protein 1
MAD2L1	NM_002358	203362_s_at	1.71	6.33E-03	MAD2 mitotic arrest deficient-like 1 (yeast)
MAF	NM_005360	206363_at	0.7	4.09E-03	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
MAN1C1	NM_020379	218918_at	0.7	1.50E-03	mannosidase, alpha, class 1C, member 1
MAN2B2	AW954107	214703_s_at	0.64	6.51E-04	mannosidase, alpha, class 2B, member 2
MANBA	NM_005908	203778_at	0.76	8.57E-03	mannosidase, beta A, lysosomal
MAOA	AA923354	212741_at	0.67	1.66E-03	monoamine oxidase A
MAOA	NM_000240	204388_s_at	0.73	9.09E-03	monoamine oxidase A
MAP3K12	BE222201	205447_s_at	0.79	7.57E-03	mitogen-activated protein kinase kinase kinase 12
MAP3K15	BF739979	200979_at	1.39	9.61E-04	mitogen-activated protein kinase kinase kinase 15
MARCKSL1	NM_023009	200644_at	1.5	3.62E-03	MARCKS-like 1
MAST4	AB002301	40016_g_at	0.65	7.35E-03	microtubule associated serine/threonine kinase family member 4
MBNL2	NM_005757	205018_s_at	1.31	7.78E-03	muscleblind-like 2 (Drosophila)
MCM2	NM_004526	202107_s_at	1.58	3.87E-03	MCM2 minichromosome maintenance deficient 2, mitotin
MCM4	AI859865	222037_at	1.62	1.48E-03	MCM4 minichromosome maintenance deficient 4
MCM4	AI859865	222036_s_at	1.51	4.53E-03	MCM4 minichromosome maintenance deficient 4
ME3	NM_006680	204663_at	0.62	1.14E-04	malic enzyme 3, NADP(+)-dependent, mitochondrial
MELK	NM_014791	204825_at	2.05	1.75E-04	maternal embryonic leucine zipper kinase
MEOX2	NM_005924	206201_s_at	0.66	7.71E-03	mesenchyme homeobox 2
MFSD7	AK025922	214269_at	0.73	4.85E-03	major facilitator superfamily domain containing 7
MKL2	NM_014048	218259_at	0.76	8.99E-03	MKL/myocardin-like 2
MLH1	NM_000249	202520_s_at	0.79	9.03E-03	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)
MLLT3	NM_004529	204918_s_at	1.57	4.08E-03	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
MOAP1	AK024029	212508_at	0.7	2.49E-03	modulator of apoptosis 1
MORC2	AC_004542	216863_s_at	1.3	9.85E-03	MORC family CW-type zinc finger 2
MPPE1	BC002877	209858_x_at	0.83	9.69E-03	metallophosphoesterase 1
MR1	NM_001531	207565_s_at	0.71	5.58E-04	major histocompatibility complex, class I-related
MR1	AF010446	210223_s_at	0.81	2.32E-03	major histocompatibility complex, class I-related
MR1	AF031469	210224_at	0.82	9.56E-03	major histocompatibility complex, class I-related
MRPL12	NM_002949	203931_s_at	1.47	2.61E-04	mitochondrial ribosomal protein L12
MRPL19	NM_014763	203465_at	1.36	6.55E-03	mitochondrial ribosomal protein L19
MRPL2	NM_015950	218887_at	1.31	2.78E-03	mitochondrial ribosomal protein L2
MRPL42	BE782148	217919_s_at	1.32	5.49E-03	mitochondrial ribosomal protein L42
MRPS12	NM_021107	204331_s_at	1.7	2.34E-04	mitochondrial ribosomal protein S12
MT1X	NM_005952	208581_x_at	1.36	7.38E-03	metallothionein 1X
MT2A	NM_005953	212185_x_at	1.36	3.56E-03	metallothionein 2A
MTAP	NM_002451	204956_at	1.34	3.94E-03	methylthioadenosine phosphorylase
MTCP1	Z24459	216862_s_at	0.76	3.70E-03	mature T-cell proliferation 1
MTFR1	BF214329	203207_s_at	1.56	4.89E-03	mitochondrial fission regulator 1
MTFR1	NM_014637	203208_s_at	1.37	9.95E-03	mitochondrial fission regulator 1
MTHFD2	NM_006636	201761_at	1.48	9.59E-04	methylenetetrahydrofolate dehydrogenase 2
MULK	NM_018238	218568_at	1.33	8.10E-04	multiple substrate lipid kinase
MYBL1	AW592266	213906_at	1.92	9.40E-03	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
MYNN	NM_018657	218926_at	1.3	8.33E-03	myoneurin
MYO10	NM_012334	201976_s_at	1.47	3.98E-03	myosin X
NAT10	NM_024662	217884_at	1.31	4.17E-03	N-acetyltransferase 10
NBN	NM_002485	202907_s_at	1.64	4.51E-03	nibrin
NEK3	AI191920	213116_at	0.75	8.44E-03	NIMA (never in mitosis gene a)-related kinase
NENF	NM_013349	218407_x_at	0.68	4.31E-04	neuron derived neurotrophic factor
NLGN4X	AI338338	221933_at	0.55	4.15E-04	neuroligin 4, X-linked
NME1	NM_000269	201577_at	1.69	1.11E-03	non-metastatic cells 1, protein (NM23A) expressed in
NOL6	NM_022917	218199_s_at	1.21	7.46E-03	nucleolar protein family 6 (RNA-associated)
NPM3	NM_006993	205129_at	1.35	3.00E-03	nucleophosmin/nucleoplasmin, 3
NR4A2	S77154	216248_s_at	0.48	6.71E-04	nuclear receptor subfamily 4, group A, member 2
NR4A2	AI935096	204621_s_at	0.58	1.34E-03	nuclear receptor subfamily 4, group A, member 2
NR4A2	NM_006186	204622_x_at	0.52	1.42E-03	nuclear receptor subfamily 4, group A, member 2
NRIP3	NM_020645	219557_s_at	0.51	4.92E-04	nuclear receptor interacting protein 3
