GenBank ID	Gene Name
X76648	GLRX Glutaredoxin (thioltransferase)
L42379	Quiescin (Q6) mRNA, partial cds
M13792	ADA Adenosine deaminase
U16954	(AF1q) mRNA
X06182	KIT V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
M81695	ITGAX Integrin, alpha X (antigen CD11C (p150), alpha polypeptide)
U70063	Acid ceramidase mRNA
J04990	CATHEPSIN G PRECURSOR
M23178	MACROPHAGE INFLAMMATORY PROTEIN 1-ALPHA PRECURSOR
M98399	CD36 CD36 antigen (collagen type I receptor, thrombospondin receptor)
M89957	IGB Immunoglobulin-associated beta (B29)
M29474	Recombination activating protein (RAG-1) gene
HG2788-HT2896	Calcyclin
M92357	B94 PROTEIN
M19045	LYZ Lysozyme
S50223	HKR-T1
X66401	LMP2 gene extracted from H.sapiens genes TAP1, TAP2, LMP2, LMP7 and DOB
U49020	MEF2A gene (myocyte-specific enhancer factor 2A, C9 form) extracted from Human myocyte-specific enhancer factor 2A (MEF2A) gene, first coding
D10495	PRKCD Protein kinase C, delta
U60644	HU-K4 mRNA
M28130	Interleukin 8 (IL8) gene
Y00787	INTERLEUKIN-8 PRECURSOR
L06797	PROBABLE G PROTEIN-COUPLED RECEPTOR LCR1 HOMOLOG
D49950	Liver mRNA for interferon-gamma inducing factor(IGIF)
U41813	HOXA9 Homeo box A9
U97105	Dihydropyrimidinase related protein-2
X63469	GTF2E2 General transcription factor TFIIE beta subunit, 34 kD
X74262	RETINOBLASTOMA BINDING PROTEIN P48
L11672	ZNF91 Zinc énger protein 91 (HPF7, HTF10)
HG4321-HT4591	Ahnak-Related Sequence
U40369	Spermidine/spermine N1-acetyltransferase (SSAT) gene
M13452	LMNA Lamin A
X58431	HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein
AB002559	Hunc18b2
M54995	PPBP Connective tissue activation peptide III
U00802	Drebrin E
M84371	CD19 gene
U29175	Transcriptional activator hSNF2b
K01911	NPY Neuropeptide Y
M28170	CD19 CD19 antigen
D26156	Transcriptional activator hSNF2b
M63959	LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1
M65214	TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
M80254	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE, MITOCHONDRIAL PRECURSOR
J03801	LYZ Lysozyme
M95678	PLCB2 Phospholipase C, beta 2
U57721	L-kynurenine hydrolase mRNA
L11669	Tetracycline transporter-like protein mRNA
L19437	TALDO Transaldolase
L41559	PCBD 6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)
M33680	26-kDa cell surface protein TAPA-1 mRNA
U72621	LOT1 mRNA
X80230	mRNA (clone C-2k) mRNA for serine/threonine protein kinase
X77533	Activin type II receptor
U16306	CSPG2 Chondroitin sulfate proteoglycan 2 (versican)
U07139	CAB3b mRNA for calcium channel beta3 subunit
J04615	SNRPN Small nuclear ribonucleoprotein polypeptide N
X15414	ALDR1 Aldehyde reductase 1 (low Km aldose reductase)
D38073	MCM3 Minichromosome maintenance deécient (S. cerevisiae) 3
M21535	GB DEF = Erg protein (ets-related gene) mRNA
X51521	VIL2 Villin 2 (ezrin)
M29971	MGMT 6-O-methylguanine-DNA methyltransferase (MGMT)
X16706	FOS-RELATED ANTIGEN 2
M57731	GRO2 GRO2 oncogene
X52192	FES Feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog
X91911	Glioma pathogenesis-related protein (GliPR) mRNA
U46006	GB DEF = Smooth muscle LIM protein (h-SmLIM) mRNA
X79067	ERF-1 mRNA 3í end
L41162	COL9A3 Collagen, type IX, alpha 3
U29656	NME1 Non-metastatic cells 1, protein (NM23A) expressed in
U41635	OS-9 precurosor mRNA
U83600	GB DEF = Death domain receptor 3 (DDR3) mRNA, alternatively spliced form 2, partial cds
X59711	NFYA Nuclear transcription factor Y, alpha
M20203	GB DEF = Neutrophil elastase gene, exon 5
D26308	NADPH-flavin reductase
J03589	UBIQUITIN-LIKE PROTEIN GDX
X55668	PRTN3 Proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)
