Probe set	Gene Symbol	Signature	ADC:OT Ratio	SCC:OT Ratio	LCC:OT Ratio	ADC Mean	SCC Mean	LCC Mean	ADC SD	LCC SD	SCC SD
205190_at	PLS1	ADC	2.29	0.51	0.62	0.81	-0.55	-0.48	0.78	1.12	0.88
205309_at	SMPDL3B	ADC	5.35	0.22	0.34	1.43	-0.96	-0.51	1.07	0.63	0.50
205414_s_at	RICH2	ADC	2.13	0.51	0.69	-0.17	-1.47	-1.20	0.60	0.83	0.79
205455_at	MST1R	ADC	2.98	0.45	0.46	0.77	-0.73	-0.73	0.76	0.56	0.53
205597_at	SLC44A4	ADC	6.24	0.24	0.24	1.19	-1.14	-1.57	1.25	1.12	0.65
205640_at	ALDH3B1	ADC	4.06	0.38	0.32	0.25	-1.45	-1.87	0.86	0.69	0.30
205650_s_at	FGA	ADC	32.25	0.05	0.06	1.89	-1.48	-1.25	3.10	0.73	0.78
205776_at	FMO5	ADC	9.73	0.14	0.18	0.77	-1.62	-1.48	1.97	0.71	0.40
205906_at	FOXJ1	ADC	2.41	0.59	0.48	0.62	-0.29	-0.65	0.85	0.55	0.10
205997_at	ADAM28	ADC	2.10	0.62	0.58	1.14	0.08	-0.24	0.51	1.26	0.64
206100_at	CPM	ADC	4.70	0.44	0.17	0.47	-1.14	-2.74	1.29	1.37	1.10
206595_at	CST6	ADC	11.24	0.16	0.12	0.66	-1.48	-2.06	2.01	0.95	0.74
207836_s_at	RBPMS	ADC	2.10	0.84	0.36	0.04	-0.58	-1.71	0.72	0.80	0.59
207847_s_at	MUC1	ADC	5.36	0.36	0.18	0.85	-1.57	-2.61	1.06	1.58	1.64
208161_s_at	ABCC3	ADC	5.10	0.41	0.16	1.40	-0.30	-1.65	1.49	1.15	1.08
209016_s_at	KRT7	ADC	7.97	0.19	0.19	1.48	-1.70	-2.93	0.72	2.43	1.06
209094_at	DDAH1	ADC	2.76	0.33	0.69	0.73	-1.17	-0.35	0.67	0.75	0.64
209278_s_at	TFPI2	ADC	11.47	0.03	0.27	1.62	-2.01	-1.24	2.69	2.57	1.33
209487_at	RBPMS	ADC	2.53	0.63	0.39	0.14	-0.81	-1.57	0.84	0.95	0.60
209499_x_at	TNFSF12 /// TNFSF12-TNFSF13 /// TNFSF13	ADC	2.17	0.69	0.47	0.08	-0.99	-1.54	0.38	0.95	0.91
209581_at	HRASLS3	ADC	2.63	0.74	0.27	0.55	-0.53	-1.52	0.84	0.59	1.03
209641_s_at	ABCC3	ADC	4.34	0.44	0.21	1.25	-0.24	-1.19	1.45	0.85	0.95
209900_s_at	SLC16A1	ADC	0.32	1.87	1.52	-0.64	1.13	0.95	0.88	0.89	0.72
209925_at	OCLN	ADC	3.62	0.34	0.44	0.64	-1.04	-0.96	1.23	0.95	0.53
210272_at	CYP2B7P1	ADC	5.61	0.26	0.27	0.15	-1.68	-1.84	1.62	0.87	0.53
210325_at	CD1A	ADC	3.61	0.41	0.36	0.72	-0.51	-0.70	1.33	0.36	0.38
210347_s_at	BCL11A	ADC	0.20	2.09	1.80	-0.41	1.78	1.67	0.49	1.05	0.93
210547_x_at	ICA1	ADC	2.10	0.38	0.89	0.64	-0.98	-0.15	0.52	1.03	0.65
210567_s_at	SKP2	ADC	0.38	1.15	2.20	-0.29	0.64	1.08	0.31	0.97	0.71
210830_s_at	PON2	ADC	3.67	0.38	0.39	0.66	-0.92	-1.03	1.23	0.84	0.67
211024_s_at	NKX2-1	ADC	4.61	0.24	0.41	0.74	-1.72	-2.62	1.55	2.20	1.17
211695_x_at	MUC1	ADC	4.43	0.40	0.24	0.54	-1.34	-2.07	1.00	0.89	0.92
212325_at	LIMCH1	ADC	2.44	0.39	0.71	0.10	-1.48	-1.50	0.85	1.80	0.71
212327_at	LIMCH1	ADC	2.97	0.35	0.59	-0.24	-2.30	-2.44	0.51	1.68	1.07
212328_at	LIMCH1	ADC	2.67	0.48	0.51	-0.16	-1.93	-2.46	0.64	1.73	1.61
212444_at	---	ADC	5.28	0.40	0.15	0.39	-1.83	-3.43	0.84	1.59	1.54
213050_at	COBL	ADC	3.26	0.32	0.55	0.17	-1.73	-1.55	0.91	1.34	0.65
213094_at	GPR126	ADC	4.13	0.30	0.39	0.06	-2.00	-1.89	1.16	1.04	0.79
213693_s_at	MUC1	ADC	4.78	0.37	0.23	0.87	-1.21	-2.39	0.87	1.89	1.08
213695_at	PON3	ADC	5.39	0.24	0.31	1.01	-1.63	-1.98	1.11	1.95	1.25
213943_at	TWIST1	ADC	0.13	1.41	3.15	-0.83	1.43	1.57	0.50	1.96	1.10
214033_at	ABCC6	ADC	4.02	0.30	0.42	0.42	-1.70	-1.38	1.00	0.96	0.87
214469_at	HIST1H2AB /// HIST1H2AE	ADC	0.29	0.97	3.04	-0.29	0.91	1.63	0.47	1.29	0.53
214835_s_at	SUCLG2	ADC	2.22	0.64	0.50	0.55	-0.39	-0.71	0.70	0.51	0.51
216238_s_at	FGB	ADC	82.61	0.02	0.02	3.11	-0.74	-0.70	3.59	0.19	0.13
216836_s_at	ERBB2	ADC	2.37	0.68	0.40	0.93	-0.07	-0.97	0.40	1.07	0.50
217047_s_at	FAM13A1	ADC	2.44	0.51	0.56	0.39	-0.88	-1.24	0.61	1.30	0.48
217771_at	GOLM1	ADC	3.68	0.34	0.43	1.87	-0.06	0.13	0.70	0.80	0.57
217989_at	HSD17B11	ADC	2.06	0.56	0.67	0.09	-1.05	-0.84	0.55	0.55	0.58
218211_s_at	MLPH	ADC	5.57	0.22	0.32	0.59	-2.01	-1.85	1.03	1.38	0.91
218322_s_at	ACSL5	ADC	5.54	0.27	0.26	0.76	-1.73	-1.99	0.93	1.54	1.13
218701_at	LACTB2	ADC	4.10	0.29	0.42	1.07	-1.02	-0.68	1.02	0.97	0.73
218931_at	RAB17	ADC	2.20	0.41	0.80	0.35	-1.14	-0.57	0.59	0.96	0.46
218966_at	MYO5C	ADC	2.50	0.58	0.46	0.27	-1.01	-1.41	0.65	0.99	0.92
219105_x_at	ORC6L	ADC	0.47	1.73	1.23	0.27	1.39	1.22	0.52	0.42	0.76
219127_at	ATAD4	ADC	3.67	0.32	0.45	0.96	-1.19	-1.23	0.38	1.36	0.64
219497_s_at	BCL11A	ADC	0.15	2.15	1.99	-0.53	1.73	2.15	0.85	1.02	1.49
219498_s_at	BCL11A	ADC	0.14	2.39	1.85	-0.47	1.83	2.05	0.49	1.21	1.46
219529_at	CLIC3	ADC	3.17	0.43	0.43	-0.23	-1.62	-2.15	1.21	1.28	0.64
219543_at	PBLD	ADC	3.44	0.43	0.37	0.61	-0.64	-0.86	1.13	0.38	0.33
219580_s_at	TMC5	ADC	5.68	0.32	0.20	1.05	-1.25	-2.35	1.11	1.68	1.25
219615_s_at	KCNK5	ADC	4.00	0.28	0.44	1.10	-0.94	-0.54	1.06	0.81	0.52
219795_at	SLC6A14	ADC	11.24	0.17	0.10	0.94	-1.83	-2.99	1.91	1.56	1.32
219902_at	BHMT2	ADC	4.02	0.13	0.67	2.06	-0.80	0.11	1.36	1.80	0.22
220082_at	PPP1R14D	ADC	3.08	0.43	0.45	0.91	-0.30	-0.29	1.14	0.07	0.14
220180_at	CCDC68	ADC	2.72	0.48	0.50	-0.15	-1.51	-1.75	0.70	1.00	0.43
220187_at	STEAP4	ADC	3.24	0.46	0.38	-0.19	-1.42	-1.72	1.18	0.30	0.29
220192_x_at	SPDEF	ADC	3.17	0.43	0.44	0.89	-0.33	-0.38	1.09	0.40	0.19
220393_at	GLULD1	ADC	8.81	0.10	0.27	2.22	-0.68	0.20	2.13	1.47	0.72
221245_s_at	FZD5	ADC	2.29	0.50	0.63	0.07	-1.16	-1.27	0.77	1.11	0.60
222592_s_at	ACSL5	ADC	5.35	0.30	0.25	1.04	-1.14	-1.53	1.06	1.26	1.00
222798_at	PTER	ADC	2.62	0.54	0.46	1.13	-0.02	-0.26	0.84	0.52	0.50
222891_s_at	BCL11A	ADC	0.12	2.28	2.00	-0.63	2.17	2.28	1.00	1.23	1.38
222904_s_at	TMC5	ADC	5.69	0.30	0.21	1.04	-1.17	-1.79	1.09	1.09	0.92
223062_s_at	PSAT1	ADC	0.24	1.72	1.99	0.53	2.87	2.90	1.47	0.95	0.70
223168_at	RHOU	ADC	2.30	0.51	0.62	0.31	-0.95	-0.83	0.77	0.90	0.76
223232_s_at	CGN	ADC	5.80	0.24	0.27	0.99	-1.26	-1.50	1.04	1.25	0.44
223233_s_at	CGN	ADC	4.92	0.28	0.31	0.88	-1.39	-1.54	0.55	1.01	0.34
223315_at	NTN4	ADC	3.01	0.62	0.28	-0.23	-1.48	-2.69	0.90	1.13	1.01
223878_at	INPP4B	ADC	2.11	0.61	0.58	0.65	-0.23	-0.29	0.77	0.16	0.27
225571_at	LIFR	ADC	3.88	0.25	0.51	0.05	-1.81	-1.37	1.44	1.47	0.52
225687_at	FAM83D	ADC	0.33	1.94	1.45	0.28	1.86	1.89	0.72	0.33	0.99
225776_at	---	ADC	2.16	0.69	0.47	-0.18	-1.07	-1.73	0.43	0.88	0.34
225822_at	TMEM125	ADC	4.25	0.33	0.35	0.61	-1.56	-1.96	0.71	1.47	0.90
226213_at	ERBB3	ADC	4.08	0.42	0.27	1.46	-0.30	-1.44	0.70	1.66	0.71
226848_at	---	ADC	3.61	0.27	0.53	0.74	-1.05	-0.31	1.28	0.54	0.47
226992_at	NOSTRIN	ADC	4.37	0.31	0.35	-0.54	-2.04	-2.24	1.32	0.92	0.38
227038_at	SGMS2	ADC	3.94	0.44	0.27	-0.06	-1.76	-2.60	0.93	1.15	0.93
227081_at	DNALI1	ADC	4.44	0.23	0.45	0.15	-1.98	-1.81	1.48	1.34	0.42
227492_at	---	ADC	3.12	0.37	0.52	0.54	-1.21	-0.87	1.01	0.87	0.73
227771_at	LIFR	ADC	2.26	0.35	0.85	-0.09	-1.70	-1.08	0.80	1.36	0.43
227803_at	ENPP5	ADC	4.92	0.26	0.34	1.00	-1.60	-1.29	0.78	1.17	1.11
227808_at	DNAJC15	ADC	2.40	0.43	0.68	0.16	-1.32	-1.23	0.95	1.47	0.67
228806_at	RORC	ADC	4.52	0.32	0.32	0.85	-1.06	-1.27	1.08	0.84	0.58
229030_at	LOC644151	ADC	4.32	0.39	0.26	0.33	-1.18	-1.78	1.17	0.68	0.64
229150_at	---	ADC	7.40	0.21	0.20	0.70	-1.63	-1.79	1.40	1.09	0.98
229372_at	GOLT1A	ADC	3.88	0.28	0.47	0.79	-1.23	-0.77	1.03	0.66	0.24
229616_s_at	GRAMD2	ADC	3.88	0.36	0.37	0.28	-1.45	-1.47	1.03	0.76	0.70
230263_s_at	DOCK5	ADC	3.97	0.41	0.30	0.08	-1.46	-1.98	1.06	0.73	0.50
230349_at	XKRX	ADC	2.68	0.48	0.51	0.89	-0.25	-0.24	0.88	0.21	0.21
230831_at	FRMD5	ADC	2.75	0.38	0.62	1.01	-0.40	0.17	1.04	0.22	0.17
230875_s_at	ATP11A	ADC	4.28	0.24	0.46	0.55	-1.59	-1.01	1.41	1.07	0.80
230935_at	---	ADC	0.39	1.63	1.56	-0.35	0.98	0.84	0.25	0.89	0.49
230951_at	---	ADC	3.03	0.35	0.57	0.16	-1.52	-1.13	1.09	0.96	0.62
231022_at	---	ADC	2.74	0.43	0.55	0.19	-1.20	-1.01	1.00	0.71	0.52
232078_at	PVRL2	ADC	2.37	0.63	0.45	0.64	-0.31	-0.64	0.94	0.27	0.68
232151_at	7A5	ADC	4.17	0.37	0.31	0.56	-1.11	-1.60	1.36	1.16	0.95
232370_at	LOC254057	ADC	2.92	0.52	0.39	0.83	-0.27	-0.62	1.01	0.24	0.42
232381_s_at	DNAH5	ADC	3.27	0.25	0.64	0.56	-1.48	-0.72	1.07	1.08	0.48
233375_at	EFCAB2	ADC	2.09	0.50	0.73	0.26	-0.93	-0.61	0.62	0.72	0.35
234297_at	LOC731488 /// RGS8	ADC	3.59	0.33	0.46	0.68	-0.83	-0.55	1.28	0.60	0.31
235019_at	CPM	ADC	3.38	0.48	0.33	0.40	-1.02	-2.07	1.17	1.56	1.02
235046_at	---	ADC	3.15	0.38	0.50	0.37	-1.18	-1.06	1.09	0.98	0.54
235296_at	EIF5A2	ADC	0.33	2.55	1.06	-0.48	1.39	0.55	0.71	1.03	0.89
235299_at	---	ADC	2.88	0.32	0.66	0.85	-1.07	-0.81	0.57	1.62	0.42
235515_at	ALKBH6 /// C19orf46	ADC	2.99	0.49	0.41	1.22	-0.47	-0.53	0.65	0.70	1.00
236579_at	---	ADC	2.26	0.50	0.64	0.69	-0.49	-0.47	0.72	0.85	0.33
236795_at	---	ADC	2.05	0.47	0.79	0.16	-0.99	-0.66	0.76	0.85	0.31
236979_at	BCL2L15	ADC	2.17	0.69	0.47	0.92	0.10	-0.31	0.77	0.36	0.56
238862_at	MFSD4	ADC	2.53	0.54	0.50	0.59	-0.43	-0.55	0.92	0.13	0.21
240304_s_at	TMC5	ADC	4.90	0.32	0.27	1.17	-1.09	-2.19	1.09	2.25	1.15
241459_at	---	ADC	2.60	0.53	0.48	0.18	-1.19	-1.43	0.63	0.95	0.69
241716_at	HSPD1	ADC	0.36	1.70	1.58	-0.12	1.34	1.09	0.58	1.15	0.73
242271_at	SLC26A9	ADC	3.66	0.38	0.38	-0.01	-1.81	-1.82	0.66	0.39	0.50
242372_s_at	MFSD4	ADC	3.74	0.37	0.38	0.99	-0.48	-0.50	1.26	0.22	0.36
242722_at	LMO7	ADC	2.65	0.61	0.38	0.07	-0.84	-1.64	0.94	0.87	0.31
242931_at	LONRF3	ADC	3.10	0.25	0.70	-0.09	-2.39	-1.26	0.86	1.00	0.82
244056_at	SFTA2	ADC	8.12	0.24	0.13	0.63	-2.12	-4.28	1.98	2.33	2.28
35148_at	TJP3	ADC	2.81	0.40	0.57	0.62	-0.89	-0.56	0.95	0.85	0.71
1555867_at	GNG4	LCC	0.20	0.12	12.78	-0.19	-0.54	2.60	1.15	2.45	0.23
1557078_at	SLFN5	LCC	1.37	1.42	0.33	0.27	0.42	-1.21	0.80	0.62	0.64
1557430_at	LOC147670	LCC	0.53	0.44	3.46	-0.05	-0.36	1.05	0.20	1.28	0.10
200660_at	S100A11	LCC	1.22	1.65	0.30	0.43	0.75	-1.22	0.48	0.73	0.45
200783_s_at	STMN1	LCC	0.44	0.59	3.36	0.12	0.40	2.04	0.72	0.55	0.65
200862_at	DHCR24	LCC	1.30	1.34	0.43	-0.09	-0.04	-1.60	0.48	1.15	0.60
200872_at	S100A10	LCC	1.80	1.03	0.35	0.03	-0.10	-1.52	0.98	0.72	0.16
201292_at	TOP2A	LCC	0.51	0.85	2.29	1.29	1.76	2.90	0.98	0.46	0.91
201310_s_at	C5orf13	LCC	0.35	0.43	4.82	-0.21	-0.03	1.56	0.75	1.38	0.56
201650_at	JUP /// KRT19	LCC	0.68	3.38	0.18	0.79	2.22	-2.55	0.84	2.97	0.65
201774_s_at	NCAPD2	LCC	0.46	0.88	2.40	0.27	0.86	1.75	0.49	0.68	0.51
201798_s_at	FER1L3	LCC	2.02	0.92	0.33	0.27	-0.12	-1.50	0.83	0.86	0.45
202286_s_at	TACSTD2	LCC	1.51	1.65	0.13	0.99	1.23	-2.73	0.76	1.85	0.52
202357_s_at	C2 /// CFB	LCC	2.81	0.75	0.21	1.50	0.54	-1.40	1.06	1.75	1.01
202517_at	CRMP1	LCC	0.45	0.85	2.53	-0.47	0.00	0.83	0.23	1.07	0.68
202954_at	UBE2C	LCC	0.51	0.77	2.49	1.10	1.41	2.64	0.85	0.65	0.90
203228_at	PAFAH1B3	LCC	0.64	0.63	2.35	0.74	0.61	1.74	0.47	0.92	0.56
203234_at	UPP1	LCC	1.75	1.09	0.32	0.39	0.15	-1.36	0.86	0.89	0.68
203407_at	PPL	LCC	1.11	2.05	0.20	-0.05	0.65	-2.10	1.00	1.16	0.82
203440_at	CDH2	LCC	0.43	0.33	4.73	-0.28	-0.20	2.44	1.42	1.61	1.18
203441_s_at	CDH2	LCC	0.71	0.56	2.31	-0.04	-0.10	1.12	0.80	0.87	0.32
203702_s_at	TTLL4	LCC	0.66	0.57	2.44	0.13	-0.14	1.10	0.41	0.93	0.51
203755_at	BUB1B	LCC	0.36	0.98	2.61	0.82	1.80	2.62	0.71	0.86	0.70
203849_s_at	KIF1A	LCC	0.24	0.25	8.32	-0.13	-0.23	2.77	0.47	0.85	0.45
204026_s_at	ZWINT	LCC	0.59	0.84	2.04	0.86	1.20	2.01	0.54	0.57	0.39
204092_s_at	AURKA	LCC	0.52	0.90	2.14	0.63	1.11	1.99	0.56	0.42	0.59
204146_at	RAD51AP1	LCC	0.53	0.64	2.75	0.86	1.08	2.62	1.05	0.57	0.91
204260_at	CHGB	LCC	0.08	0.12	23.05	-0.61	-0.39	1.86	0.51	2.79	0.47
204388_s_at	MAOA	LCC	0.83	2.71	0.21	-0.66	0.46	-2.83	1.09	1.38	0.60
204389_at	MAOA	LCC	0.71	2.90	0.27	-0.74	0.46	-2.10	0.86	0.91	0.71
204519_s_at	PLLP	LCC	1.35	1.41	0.35	-0.52	-0.31	-2.23	0.82	1.18	0.55
204641_at	NEK2	LCC	0.57	0.53	2.92	1.13	1.34	3.03	1.20	0.22	0.37
204867_at	GCHFR	LCC	1.41	1.27	0.40	-0.04	-0.08	-1.46	0.50	0.76	0.58
204913_s_at	SOX11	LCC	0.18	0.09	14.75	0.03	-0.51	2.23	1.23	2.75	0.16
204914_s_at	SOX11	LCC	0.18	0.10	14.11	-0.07	-0.40	2.39	1.23	2.62	0.30
204993_at	GNAZ	LCC	0.49	0.58	3.11	-0.17	-0.06	1.43	0.59	0.84	0.58
205122_at	TMEFF1	LCC	0.23	0.49	5.76	-0.30	0.26	2.35	0.68	1.14	0.98
205123_s_at	TMEFF1	LCC	0.38	0.55	3.88	-0.21	0.03	1.27	0.26	1.31	0.45
205184_at	GNG4	LCC	0.27	0.29	7.15	-0.26	-0.32	1.85	0.66	1.85	0.51
205413_at	MPPED2	LCC	0.07	0.10	27.62	-0.60	-0.35	2.36	0.24	2.93	0.47
205445_at	PRL	LCC	0.14	0.16	14.87	-0.09	-0.10	2.00	0.21	2.58	0.22
205472_s_at	DACH1	LCC	0.18	0.25	10.07	-0.68	-0.52	1.52	0.32	2.30	0.50
205709_s_at	CDS1	LCC	1.68	1.06	0.38	0.55	0.16	-1.33	0.51	1.42	0.80
205741_s_at	DTNA	LCC	0.50	0.42	3.72	-0.38	-0.57	1.03	0.58	1.14	0.18
205751_at	SH3GL2	LCC	0.65	0.35	3.22	-0.20	-0.54	1.28	0.99	1.26	0.14
205938_at	PPM1E	LCC	0.27	0.29	7.12	-0.14	-0.25	1.53	0.32	1.72	0.23
206051_at	ELAVL4	LCC	0.54	0.59	2.85	-0.21	-0.22	0.93	0.18	1.21	0.22
206135_at	ST18	LCC	0.07	0.06	34.29	-0.12	-0.34	2.42	0.53	2.87	0.15
206290_s_at	RGS7	LCC	0.52	0.50	3.28	-0.20	-0.30	0.99	0.40	1.40	0.12
206502_s_at	INSM1	LCC	0.12	0.07	22.48	-0.06	-0.68	2.65	0.97	2.87	0.25
207120_at	ZNF667	LCC	0.43	0.45	3.99	-0.23	-0.27	1.23	0.39	1.48	0.19
207401_at	PROX1	LCC	0.32	0.24	6.84	-0.04	-0.37	1.70	0.78	1.86	0.28
207625_s_at	CBFA2T2	LCC	0.58	0.57	2.71	-0.12	-0.21	1.29	0.42	0.34	0.36
207828_s_at	CENPF	LCC	0.45	0.78	2.71	0.92	1.62	2.85	1.03	0.48	0.63
207981_s_at	ESRRG	LCC	0.14	0.12	16.24	-0.32	-0.52	2.97	0.91	1.95	0.32
208079_s_at	AURKA	LCC	0.53	0.92	2.07	0.74	1.30	2.08	0.74	0.52	0.53
208510_s_at	PPARG	LCC	2.11	0.90	0.31	-0.12	-0.69	-1.86	0.81	0.50	0.71
209172_s_at	CENPF	LCC	0.49	0.57	3.12	0.43	0.72	2.36	0.98	0.65	0.71
209173_at	AGR2	LCC	4.43	0.57	0.08	1.47	0.02	-3.11	2.07	2.23	1.83
209211_at	KLF5	LCC	0.81	2.92	0.17	0.25	1.45	-1.70	0.95	1.00	0.67
209270_at	LAMB3	LCC	1.64	1.46	0.16	0.57	0.68	-2.16	0.98	1.04	0.69
209373_at	MALL	LCC	1.78	1.17	0.26	0.22	0.13	-2.23	1.25	1.41	1.00
209550_at	NDN	LCC	0.48	0.87	2.37	-1.21	-0.66	0.31	0.79	0.75	0.87
209642_at	BUB1	LCC	0.46	0.71	2.83	0.94	1.42	2.79	1.03	0.50	0.70
209679_s_at	LOC57228	LCC	1.31	1.51	0.32	0.48	0.75	-1.00	0.70	0.45	0.40
209966_x_at	ESRRG	LCC	0.14	0.13	16.13	-0.08	-0.22	2.71	0.71	2.23	0.35
210036_s_at	KCNH2	LCC	0.43	0.31	4.81	-0.23	-0.42	1.68	0.99	1.31	0.27
210052_s_at	TPX2	LCC	0.45	0.79	2.68	1.06	1.61	2.72	0.78	0.77	0.63
210367_s_at	PTGES	LCC	1.68	1.22	0.27	0.99	0.75	-0.89	0.81	0.74	0.98
210683_at	NRTN	LCC	0.49	0.63	2.99	-0.25	-0.02	1.18	0.44	1.00	0.23
211026_s_at	MGLL	LCC	1.93	1.11	0.24	-0.23	-0.57	-2.53	0.85	0.96	0.76
211080_s_at	NEK2	LCC	0.57	0.80	2.17	0.16	0.41	1.29	0.46	0.75	0.53
212268_at	SERPINB1	LCC	2.21	0.96	0.23	0.25	-0.18	-2.29	0.91	1.45	0.54
212531_at	LCN2	LCC	2.37	1.05	0.11	1.50	0.77	-1.78	1.32	1.35	1.67
212607_at	AKT3	LCC	0.53	0.53	3.09	-1.01	-1.03	0.60	1.10	1.05	0.77
212741_at	MAOA	LCC	1.44	1.47	0.26	-0.62	-0.45	-3.46	0.94	1.70	0.66
213056_at	FRMD4B	LCC	1.69	1.03	0.40	-0.08	-0.38	-1.60	0.65	0.90	0.51
213245_at	ADCY1	LCC	0.47	0.33	4.37	-0.11	-0.48	1.50	0.69	1.36	0.21
213479_at	NPTX2	LCC	0.12	0.10	19.66	-0.46	-0.41	3.00	1.18	2.63	0.60
213492_at	COL2A1	LCC	0.19	0.24	9.72	-0.28	-0.20	2.09	0.21	2.04	0.21
213506_at	F2RL1	LCC	1.30	1.90	0.13	0.87	1.47	-1.52	1.19	0.51	0.81
213712_at	ELOVL2	LCC	0.35	0.41	4.95	-0.22	-0.11	1.89	0.61	1.23	0.50
214097_at	RPS21	LCC	0.50	0.76	2.55	-0.04	0.34	1.38	0.68	0.87	0.66
214162_at	LOC284244	LCC	0.59	0.66	2.45	-0.25	-0.19	0.76	0.22	1.00	0.18
214933_at	CACNA1A	LCC	0.28	0.48	5.21	-0.35	0.02	1.54	0.39	1.73	0.71
215143_at	DPY19L2P2	LCC	0.28	0.24	7.49	-0.17	-0.51	1.68	0.34	1.91	0.11
215767_at	ZNF804A	LCC	0.62	0.61	2.47	-0.24	-0.35	0.68	0.23	1.04	0.21
217404_s_at	COL2A1	LCC	0.42	0.48	3.94	-0.19	-0.16	1.26	0.18	1.43	0.20
217728_at	S100A6	LCC	1.91	0.99	0.32	0.26	-0.10	-1.78	0.67	1.26	0.33
218186_at	RAB25	LCC	1.84	0.99	0.36	1.01	0.65	-2.01	0.54	2.50	0.22
218397_at	FANCL	LCC	0.61	0.61	2.51	0.36	0.23	1.52	0.65	0.94	0.77
218677_at	S100A14	LCC	1.99	1.19	0.16	0.76	0.26	-2.25	1.02	1.48	1.47
218829_s_at	CHD7	LCC	0.64	0.47	2.85	0.12	-0.30	1.45	0.61	0.65	0.59
218888_s_at	NETO2	LCC	0.61	0.72	2.22	0.23	0.45	1.70	1.02	0.41	0.76
218959_at	HOXC10	LCC	0.25	0.22	8.36	0.24	0.20	2.80	1.29	1.98	1.03
219014_at	PLAC8	LCC	1.13	2.17	0.14	0.18	0.49	-2.66	1.17	1.54	1.56
219170_at	FSD1	LCC	0.68	0.70	2.08	-0.02	-0.05	0.86	0.39	0.83	0.34
