Entrez ID	HUGO gene symbol	probe set ID U133	probe set ID 1.0ST	Group 1	Group 2	Fold Difference (LSC/HSC, U133)	Fold Difference (LSC/HSC, 1.0ST)	chromosome	description	Class
63895	FAM38B	219602_s_at	8022283	YES	NO	2.7684	2.4385	18	family with sequence similarity 38, member B	Other
26263	FBXO22	225734_at	7985053	YES	NO	3.3569	1.8734	15	F-box protein 22	Other
2207	FCER1G	204232_at	7906720	YES	NO	5.172	4.5138	1	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	Plasma membrane & Extracellular
2210	FCGR1B	214511_x_at	-	NO	YES	5.0179	-	1	Fc fragment of IgG, high affinity Ib, receptor (CD64)	Plasma membrane & Extracellular
2212	FCGR2A	203561_at	7906757	YES	YES	3.6163	4.5895	1	Fc fragment of IgG, low affinity IIa, receptor (CD32)	Plasma membrane & Extracellular
2213	FCGR2B	210889_s_at	7906777	NO	YES	1.6184	6.386	1	Fc fragment of IgG, low affinity IIb, receptor (CD32)	Plasma membrane & Extracellular
79899	FLJ14213	233379_at	7939383	YES	NO	3.2662	1.8592	11	protor-2	Other
64778	FNDC3B	222692_s_at	8083901	YES	NO	4.0438	1.815	3	fibronectin type III domain containing 3B	Other
2296	FOXC1	1553613_s_at	8116591	NO	YES	218.9998	1.2278	6	forkhead box C1	Transcription factor
2519	FUCA2	223120_at	8129974	YES	NO	2.7625	2.214	6	fucosidase, alpha-L- 2, plasma	Plasma membrane & Extracellular
2533	FYB	227266_s_at	8111739	YES	NO	5.75	3.4782	5	FYN binding protein (FYB-120/130)	Signaling molecule
4616	GADD45B	209305_s_at	8024485	YES	NO	8.2835	1.8588	19	growth arrest and DNA-damage-inducible, beta	Apoptosis
10007	GNPDA1	202382_s_at	8114787	YES	NO	4.3678	1.8908	5	glucosamine-6-phosphate deaminase 1	Other
338442	GPR109A	-	7967318	NO	YES	-	3.5586	12	G protein-coupled receptor 109A	Plasma membrane & Extracellular
8843	GPR109B	205220_at	7967322	YES	YES	25.4362	5.9615	12	G protein-coupled receptor 109B	Plasma membrane & Extracellular
26996	GPR160	223423_at	8083839	YES	NO	2.4534	2.4379	3	G protein-coupled receptor 160	Plasma membrane & Extracellular
2857	GPR34	223620_at	8166906	YES	YES	3.7631	2.7359	X	G protein-coupled receptor 34	Plasma membrane & Extracellular
8477	GPR65	214467_at	7976080	NO	YES	1.6939	4.6233	14	G protein-coupled receptor 65	Plasma membrane & Extracellular
53831	GPR84	223767_at	7963770	YES	YES	3.5766	2.6827	12	G protein-coupled receptor 84	Plasma membrane & Extracellular
80273	GRPEL1	212432_at	8099246	YES	NO	8.8722	2.1952	4	GrpE-like 1, mitochondrial (E. coli)	Other
121355	GTSF1	227711_at	7963817	YES	NO	8.6795	5.142	12	gametocyte specific factor 1	Other
84868	HAVCR2	235458_at	8115464	YES	NO	3.8093	2.0482	5	hepatitis A virus cellular receptor 2	Plasma membrane & Extracellular
1839	HBEGF	203821_at	8114572	YES	NO	19.1502	3.4502	5	heparin-binding EGF-like growth factor	Plasma membrane & Extracellular
3055	HCK	208018_s_at	8061668	YES	NO	17.6625	4.7152	20	hemopoietic cell kinase	Signaling molecule
10870	HCST	223640_at	8028104	YES	NO	4.0478	2.9073	19	hematopoietic cell signal transducer	Plasma membrane & Extracellular
3082	HGF	210997_at	8140556	YES	YES	4.5623	2.7163	7	hepatocyte growth factor (hepapoietin A; scatter factor)	Plasma membrane & Extracellular
29923	HIG2	218507_at	8135915	YES	NO	2.6299	2.0696	7	hypoxia-inducible protein 2	Other
8331	HIST1H2AJ	-	8124518	NO	YES	-	2.9616	6	histone cluster 1, H2aj	Other
3112	HLA-DOB	205671_s_at	8178833	YES	NO	2.9282	1.8281	6	major histocompatibility complex, class II, DO beta	Plasma membrane & Extracellular
3142	HLX	214438_at	7909890	YES	NO	4.7545	1.972	1	H2.0-like homeobox	Transcription factor
51155	HN1	217755_at	8018305	YES	NO	3.5232	2.6057	17	hematological and neurological expressed 1	Other
9454	HOMER3	204647_at	8035566	YES	NO	13.8417	4.0343	19	homer homolog 3 (Drosophila)	Signaling molecule
3240	HP	206697_s_at	7997188	NO	YES	1.7448	4.4317	16	haptoglobin	Plasma membrane & Extracellular
3248	HPGD	203914_x_at	8103769	YES	NO	1.9977	5.1611	4	hydroxyprostaglandin dehydrogenase 15-(NAD)	Cell cycle
9957	HS3ST1	205466_s_at	8099388	NO	YES	5.0176	1.1657	4	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Other
29094	HSPC159	226188_at	8042283	NO	YES	3.9352	1.3685	2	galectin-related protein	Other
84329	HVCN1	226879_at	7966356	YES	NO	3.112	2.231	12	hydrogen voltage-gated channel 1	Other
3383	ICAM1	202638_s_at	8025601	NO	YES	13.828	1.1829	19	intercellular adhesion molecule 1	Plasma membrane & Extracellular
3417	IDH1	201193_at	8058552	YES	NO	2.5681	2.1009	2	isocitrate dehydrogenase 1 (NADP+), soluble	Other
3419	IDH3A	202069_s_at	7985134	YES	NO	3.9339	2.6845	15	isocitrate dehydrogenase 3 (NAD+) alpha	Other
8870	IER3	201631_s_at	8179704	YES	NO	2.9818	2.6543	6	immediate early response 3	Apoptosis
10437	IFI30	201422_at	8026971	YES	NO	11.7514	3.0596	19	interferon, gamma-inducible protein 30	Plasma membrane & Extracellular
121457	IKIP	227295_at	7965681	YES	NO	3.5724	1.8803	12	IKK interacting protein	Other
3597	IL13RA1	201887_at	8169580	YES	NO	7.1957	2.4697	X	interleukin 13 receptor, alpha 1	Plasma membrane & Extracellular
3557	IL1RN	212657_s_at	8044574	NO	YES	4.2985	1.4691	2	interleukin 1 receptor antagonist	Plasma membrane & Extracellular
3559	IL2RA	206341_at	7931914	NO	YES	2.2667	3.2866	10	interleukin 2 receptor, alpha	Plasma membrane & Extracellular
3561	IL2RG	204116_at	8173444	YES	NO	2.2169	2.6537	X	interleukin 2 receptor, gamma (severe combined immunodeficiency)	Plasma membrane & Extracellular
3563	IL3RA	206148_at	8176323	YES	NO	3.392	2.9718	X|Y	interleukin 3 receptor, alpha (low affinity)	Plasma membrane & Extracellular
3575	IL7R	205798_at	8104901	NO	YES	1.0984	4.4599	5	interleukin 7 receptor	Plasma membrane & Extracellular
3624	INHBA	210511_s_at	8139207	YES	NO	7.886	1.977	7	inhibin, beta A	Plasma membrane & Extracellular
79191	IRX3	229638_at	8001449	NO	YES	8.4946	1.4954	16	iroquois homeobox 3	Transcription factor
3689	ITGB2	1555349_a_at	8070826	YES	NO	3.4371	2.3718	21	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	Plasma membrane & Extracellular
11004	KIF2C	209408_at	7901010	YES	NO	2.4566	2.3144	1	kinesin family member 2C	Other
8942	KYNU	217388_s_at	8045539	YES	NO	21.2871	4.5148	2	kynureninase (L-kynurenine hydrolase)	Other
9836	LCMT2	204012_s_at	7988077	YES	NO	2.8266	1.8921	15	leucine carboxyl methyltransferase 2	Other
3956	LGALS1	201105_at	8072876	YES	NO	17.9891	7.0421	22	lectin, galactoside-binding, soluble, 1	Plasma membrane & Extracellular
9404	LPXN	216250_s_at	7948332	YES	NO	6.1566	5.0537	11	leupaxin	Signaling molecule
116844	LRG1	228648_at	8032834	YES	NO	5.7066	2.2013	19	leucine-rich alpha-2-glycoprotein 1	Plasma membrane & Extracellular
9450	LY86	205859_at	8116734	YES	NO	9.8638	11.3294	6	lymphocyte antigen 86	Plasma membrane & Extracellular
256691	MAMDC2	228885_at	8155754	YES	NO	50.0231	1.8485	9	MAM domain containing 2	Plasma membrane & Extracellular
4199	ME1	204059_s_at	8127854	YES	YES	3.167	6.0952	6	malic enzyme 1, NADP(+)-dependent, cytosolic	Other
11320	MGAT4A	226039_at	8054135	YES	NO	2.488	2.145	2	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	Plasma membrane & Extracellular
406991	MIRN21	224917_at	8008885	YES	NO	7.1437	2.2647	17	microRNA 21	Other
8195	MKKS	218138_at	8064967	YES	NO	5.0082	2.1926	20	McKusick-Kaufman syndrome	Other
4332	MNDA	204959_at	7906377	YES	YES	7.9908	6.7427	1	myeloid cell nuclear differentiation antigen	Other
4353	MPO	203949_at	8016932	YES	NO	3.4405	2.9167	17	myeloperoxidase	Apoptosis
932	MS4A3	210254_at	7940216	YES	YES	2.9166	6.6468	11	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)	Signaling molecule
57504	MTA3	223311_s_at	8041617	NO	YES	1.3192	2.519	2	metastasis associated 1 family, member 3	Transcription factor
10797	MTHFD2	201761_at	8042830	YES	NO	2.7123	1.9426	2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	Other
4609	MYC	202431_s_at	8148317	YES	NO	4.8528	1.9292	8	v-myc myelocytomatosis viral oncogene homolog (avian)	Transcription factor
4430	MYO1B	212364_at	8047127	YES	NO	3.1023	1.9101	2	myosin IB	Other
4542	MYO1F	213733_at	8033605	YES	NO	3.93	2.5391	19	myosin IF	Other
4668	NAGA	202943_s_at	8076403	YES	NO	2.7565	2.4116	22	N-acetylgalactosaminidase, alpha-	Other
4671	NAIP	239944_at	8177527	YES	NO	3.9106	2.0172	5	NLR family, apoptosis inhibitory protein	Apoptosis
4688	NCF2	209949_at	7922773	YES	NO	8.0756	3.4526	1	neutrophil cytosolic factor 2	Other
4689	NCF4	205147_x_at	8072744	YES	NO	3.0753	3.3081	22	neutrophil cytosolic factor 4, 40kDa	Other
51103	NDUFAF1	204125_at	7987642	YES	NO	4.6031	2.1624	15	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	Other
10783	NEK6	223159_s_at	8157761	YES	NO	5.1566	3.4558	9	NIMA (never in mitosis gene a)-related kinase 6	Cell cycle
91624	NEXN	226103_at	7902495	NO	YES	3.7315	1.5404	1	nexilin (F actin binding protein)	Other
4860	NP	201695_s_at	7973067	YES	NO	8.9531	2.1755	14	nucleoside phosphorylase	Other
145957	NRG4	242426_at	7990555	NO	YES	1.3442	3.5937	15	neuregulin 4	Plasma membrane & Extracellular
56675	NRIP3	219557_s_at	7946446	YES	NO	3.2732	3.6133	11	nuclear receptor interacting protein 3	Other
64859	OBFC2A	222872_x_at	8047161	YES	NO	13.5591	2.7032	2	oligonucleotide/oligosaccharide-binding fold containing 2A	Other
9934	P2RY14	206637_at	8091511	YES	NO	3.0798	2.4295	3	purinergic receptor P2Y, G-protein coupled, 14	Plasma membrane & Extracellular
10161	P2RY5	218589_at	7971565	YES	NO	1.5532	2.7233	13	purinergic receptor P2Y, G-protein coupled, 5	Plasma membrane & Extracellular
55003	PAK1IP1	218886_at	8116848	YES	NO	4.0989	2.4834	6	PAK1 interacting protein 1	Signaling molecule
79668	PARP8	219033_at	8105191	YES	NO	7.2902	2.9745	5	poly (ADP-ribose) polymerase family, member 8	Other
5152	PDE9A	205593_s_at	8068833	YES	YES	5.8044	3.5595	21	phosphodiesterase 9A	Signaling molecule
5154	PDGFA	205463_s_at	8137670	NO	YES	3.9652	1.033	7	platelet-derived growth factor alpha polypeptide	Plasma membrane & Extracellular
5163	PDK1	226452_at	8046408	YES	NO	2.6927	2.4033	2	pyruvate dehydrogenase kinase, isozyme 1	Signaling molecule
9124	PDLIM1	208690_s_at	7935180	YES	NO	15.0721	1.5551	10	PDZ and LIM domain 1	Other
23590	PDSS1	220865_s_at	7926807	YES	NO	2.7366	2.4594	10	prenyl (decaprenyl) diphosphate synthase, subunit 1	Other
55276	PGM2	225366_at	8094556	YES	NO	3.8421	2.1135	4	phosphoglucomutase 2	Other
10026	PIGK	209707_at	7917088	YES	NO	4.7506	2.9006	1	phosphatidylinositol glycan anchor biosynthesis, class K	Other
143689	PIWIL4	230480_at	7943240	YES	NO	3.308	1.9009	11	piwi-like 4 (Drosophila)	Other
5329	PLAUR	210845_s_at	8037374	YES	NO	6.5367	1.697	19	plasminogen activator, urokinase receptor	Plasma membrane & Extracellular
5367	PMCH	206942_s_at	7965867	NO	YES	1.6358	4.2749	12	pro-melanin-concentrating hormone	Plasma membrane & Extracellular
5473	PPBP	214146_s_at	8100971	YES	NO	12.1498	1.5966	4	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	Plasma membrane & Extracellular
60490	PPCDC	219066_at	7984943	YES	NO	3.3971	2.0648	15	phosphopantothenoylcysteine decarboxylase	Other
10105	PPIF	201489_at	7928589	YES	NO	5.105	2.4099	10	peptidylprolyl isomerase F (cyclophilin F)	Other
23532	PRAME	204086_at	8074856	YES	YES	2.9345	7.1984	22	preferentially expressed antigen in melanoma	Other
5553	PRG2	211743_s_at	7948221	YES	NO	5.7443	5.1313	11	proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)	Plasma membrane & Extracellular
5573	PRKAR1A	200604_s_at	8009457	YES	NO	2.5728	1.9221	17	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	Signaling molecule
5580	PRKCD	202545_at	8080487	YES	NO	11.8684	4.4878	3	protein kinase C, delta	Signaling molecule
10942	PRSS21	220051_at	7992722	YES	NO	2.8945	2.4783	16	protease, serine, 21 (testisin)	Plasma membrane & Extracellular
5746	PTH2R	206772_at	8047910	YES	YES	32.9485	2.6488	2	parathyroid hormone 2 receptor	Plasma membrane & Extracellular
5806	PTX3	206157_at	8083594	YES	NO	1.371	1.7203	3	pentraxin-related gene, rapidly induced by IL-1 beta	Plasma membrane & Extracellular
54517	PUS7	218984_at	8142061	YES	NO	3.473	2.0097	7	pseudouridylate synthase 7 homolog (S. cerevisiae)	Other
54899	PXK	1552275_s_at	8080781	YES	NO	2.9549	2.2995	3	PX domain containing serine/threonine kinase	Signaling molecule
149628	PYHIN1	240413_at	7906386	YES	YES	3.6814	1.9866	1	pyrin and HIN domain family, member 1	Cell cycle
55647	RAB20	219622_at	7972805	YES	NO	4.2758	1.9982	13	RAB20, member RAS oncogene family	Signaling molecule
4218	RAB8A	208819_at	8026520	YES	NO	3.089	2.0472	19	RAB8A, member RAS oncogene family	Signaling molecule
5877	RABIF	204478_s_at	7923483	YES	NO	6.673	1.9163	1	RAB interacting factor	Signaling molecule
25780	RASGRP3	205801_s_at	8041422	YES	NO	12.2403	2.3489	2	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	Signaling molecule
83937	RASSF4	226436_at	7927186	YES	NO	5.1219	1.8566	10	Ras association (RalGDS/AF-6) domain family member 4	Cell cycle
7905	REEP5	208873_s_at	8113542	YES	NO	1.9895	2.4938	5	receptor accessory protein 5	Plasma membrane & Extracellular
64407	RGS18	223809_at	7908376	YES	NO	18.2071	3.0532	1	regulator of G-protein signaling 18	Signaling molecule
6036	RNASE2	206111_at	7973110	YES	NO	6.2056	30.3509	14	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	Plasma membrane & Extracellular
10799	RPP40	213427_at	8123717	YES	NO	2.5261	2.3867	6	ribonuclease P/MRP 40kDa subunit	Other
6241	RRM2	201890_at	8040223	YES	NO	1.8022	1.9629	2	ribonucleotide reductase M2 polypeptide	Other
59350	RXFP1	231804_at	8098060	YES	YES	8.4366	4.7218	4	relaxin/insulin-like family peptide receptor 1	Plasma membrane & Extracellular
6282	S100A11	200660_at	7920128	YES	NO	2.6989	1.9757	1	S100 calcium binding protein A11	Signaling molecule
140576	S100A16	227998_at	7920291	YES	NO	6.5974	5.2295	1	S100 calcium binding protein A16	Other
6279	S100A8	202917_s_at	7920244	YES	NO	3.7254	4.1401	1	S100 calcium binding protein A8	Other
6286	S100P	204351_at	8093950	YES	NO	2.8439	4.35	4	S100 calcium binding protein P	Other
170591	S100Z	1554876_a_at	8106411	YES	NO	2.5656	3.2588	5	S100 calcium binding protein Z	Other
25939	SAMHD1	204502_at	8066117	YES	YES	3.5478	3.315	20	SAM domain and HD domain 1	Other
4068	SH2D1A	210116_at	8169792	YES	NO	5.4768	4.944	X	SH2 domain protein 1A	Other
1318	SLC31A2	204204_at	8157264	YES	NO	6.5551	1.9871	9	solute carrier family 31 (copper transporters), member 2	Plasma membrane & Extracellular
29015	SLC43A3	213113_s_at	7948229	YES	NO	4.0265	2.5036	11	solute carrier family 43, member 3	Plasma membrane & Extracellular
6533	SLC6A6	211030_s_at	8078014	YES	NO	3.3096	1.9332	3	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	Plasma membrane & Extracellular
9057	SLC7A6	203579_s_at	7996772	YES	NO	2.537	2.0624	16	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	Plasma membrane & Extracellular
