IMAGE_CloneID	t statistic	P value	Bonf adj P value	BH adj P value	Gene Symbol	Description
172783	4.85	0	0	0	ZNF358	ZNF358 | zinc finger protein 358
1883630	6.48	0	0	0	KIAA1547	KIAA1547 | KIAA1547 protein
2322367	-4.46	0	0	0	RTN4	RTN4 | reticulon 4
127646	4.91	0	0.33	0		ESTs, Weakly similar to T00365 hypothetical protein KIAA0670 [H.sapiens]
32493	-6.74	0	0	0	ITGA6	ITGA6 | integrin, alpha 6
124331	-4.82	0	0	0	CPSF5	CPSF5 | cleavage and polyadenylation specific factor 5, 25 kD subunit
725454	-4.9	0	0.33	0	CKS2	CKS2 | CDC28 protein kinase 2
203003	4.05	0	0.98	0	NME4	NME4 | non-metastatic cells 4, protein expressed in
1569077	4.54	0	0.33	0	EST	EST
511831	5.54	0	0	0	MGC12936	MGC12936 | hypothetical protein MGC12936
2014373	6.02	0	0	0	HNK-1ST	HNK-1ST | HNK-1 sulfotransferase
1422338	-6.77	0	0	0	RRM2	RRM2 | ribonucleotide reductase M2 polypeptide
741891	6	0	0	0	RAB2L	RAB2L | RAB2, member RAS oncogene family-like
43679	3.95	0	0.65	0	ESTs	ESTs
810741	4.08	0	0	0	GABARAP	GABARAP | GABA(A) receptor-associated protein
703964	4.46	0	0.65	0	INPPL1	INPPL1 | inositol polyphosphate phosphatase-like 1
743810	-6.8	0	0	0	MGC2577	MGC2577 | hypothetical protein MGC2577
292770	4.98	0	0	0		Homo sapiens, clone IMAGE:3627860, mRNA, partial cds
726890	5.14	0	0	0	MGC4643	MGC4643 | hypothetical protein MGC4643
781047	-6.25	0	0	0	BUB1	BUB1 | budding uninhibited by benzimidazoles 1 (yeast homolog)
842818	-4.36	0	0	0	KARS	KARS | lysyl-tRNA synthetase
1679977	7.33	0	0	0		Homo sapiens, clone MGC:10083 IMAGE:3897118, mRNA, complete cds
743146	6.97	0	0	0	FLJ23403	FLJ23403 | hypothetical protein FLJ23403
590310	4.43	0	0.33	0		Homo sapiens, clone MGC:17393 IMAGE:3914851, mRNA, complete cds
267254	4.61	0	0	0		ESTs, Highly similar to LOX2_HUMAN ARACHIDONATE 12-LIPOXYGENASE [H.sapiens]
291478	-4.36	0	0	0	RUNX3	RUNX3 | runt-related transcription factor 3
279720	5.18	0	0	0		Homo sapiens, Similar to RIKEN cDNA 1700008D07 gene, clone MGC:9830 IMAGE:3863323, mRNA, complete cds
277044	4.54	0	0.33	0	KIAA1183	KIAA1183 | KIAA1183 protein
126415	6.47	0	0.33	0		Homo sapiens mRNA; cDNA DKFZp566H0124 (from clone DKFZp566H0124)
824524	-7.06	0	0	0	UGTREL1	UGTREL1 | UDP-galactose transporter related
126466	4.75	0	0	0	KIAA0467	KIAA0467 | KIAA0467 protein
209066	-4.52	0	0	0	STK15	STK15 | serine/threonine kinase 15
823907	-4.34	0	0	0	FLJ10511	FLJ10511 | hypothetical protein FLJ10511
49630	4.95	0	0.33	0	CACNA1D	CACNA1D | calcium channel, voltage-dependent, L type, alpha 1D subunit
624627	-6.2	0	0	0	RRM2	RRM2 | ribonucleotide reductase M2 polypeptide
149355	-7.14	0	0	0	TRAM	TRAM | translocating chain-associating membrane protein
1476053	-6.69	0	0	0	RAD51	RAD51 | RAD51 (S. cerevisiae) homolog (E coli RecA homolog)
823930	-5.71	0	0	0	ARPC1A	ARPC1A | actin related protein 2/3 complex, subunit 1A (41 kD)
280375	-4.74	0	0	0	PRO2000	PRO2000 | PRO2000 protein
624667	-5.27	0	0	0	LOC51117	LOC51117 | CGI-92 protein
814054	-5.73	0	0	0	KIAA0040	KIAA0040 | KIAA0040 gene product
2757710	4.1	0	0.65	0	ZNF37A	ZNF37A | zinc finger protein 37a (KOX 21)
627248	5.02	0	0	0	SBBI31	SBBI31 | SBBI31 protein
564981	-5.46	0	0	0		Homo sapiens, Similar to RIKEN cDNA 2810433K01 gene, clone MGC:10200 IMAGE:3909951, mRNA, complete cds
278430	4.29	0	0	0	KIF5C	KIF5C | kinesin family member 5C
796904	-5.09	0	0	0	PLAGL1	PLAGL1 | pleiomorphic adenoma gene-like 1
1492468	4.44	0	0	0	KIAA0452	KIAA0452 | DEME-6 protein
684890	3.87	0	0	0	FLJ20274	FLJ20274 | hypothetical protein FLJ20274
138242	4.75	0	0	0		ESTs, Moderately similar to MAS2_HUMAN MANNAN-BINDING LECTIN SERINE PROTEASE 2 PRECURSOR [H.sapiens]
700792	-7.78	0	0	0	CDKN3	CDKN3 | cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
1517595	-8.18	0	0	0	KIAA0175	KIAA0175 | likely ortholog of maternal embryonic leucine zipper kinase
839682	-4.97	0	0	0	UBE2N	UBE2N | ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)
2028949	-5.06	0	0	0	PRO1855	PRO1855 | hypothetical protein PRO1855
431231	4.69	0	0	0	EFEMP2	EFEMP2 | EGF-containing fibulin-like extracellular matrix protein 2
43090	6.32	0	0	0		H-L(3)MBT | lethal (3) malignant brain tumor l(3)mbt protein (Drosophila) homolog
1569902	4.88	0	0.33	0	KIAA0556	KIAA0556 | KIAA0556 protein
773301	-5.9	0	0	0	CDH3	CDH3 | cadherin 3, type 1, P-cadherin (placental)
1630990	4.54	0	0	0	RPL29	RPL29 | ribosomal protein L29
82322	5.92	0	0	0	RBSK	RBSK | ribokinase
357120	7	0	0	0		Homo sapiens, clone IMAGE:3538007, mRNA, partial cds
1556859	3.86	0	0	0		ESTs, Weakly similar to I38022 hypothetical protein [H.sapiens]
347373	-4.22	0	0	0	TCEB1	TCEB1 | transcription elongation factor B (SIII), polypeptide 1 (15kD, elongin C)
1653105	3.89	0	0.98	0	TSP50	TSP50 | testes-specific protease 50
1553530	4.18	0	0.33	0	KIAA0788	KIAA0788 | KIAA0788 protein
789012	-4.37	0	0.33	0	FBLN2	FBLN2 | fibulin 2
725649	4.71	0	0.65	0	NFATC4	NFATC4 | nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
814815	7.3	0	0	0
1883169	4.23	0	0	0	FLJ20303	FLJ20303 | hypothetical protein FLJ20303
471196	-4.83	0	0	0	ITM3	ITM3 | integral membrane protein 3
814826	4.92	0	0.65	0	ESTs	ESTs
1914863	-5.16	0	0.33	0	DYSF	DYSF | dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)
825282	-4.11	0	0	0	DKFZP586L0724	DKFZP586L0724 | DKFZP586L0724 protein
854763	5.48	0	0	0	MGC20702	MGC20702 | hypothetical protein MGC20702
183440	4.3	0	0	0	ARSA	ARSA | arylsulfatase A
179572	5.08	0	0	0		Homo sapiens cDNA FLJ14227 fis, clone NT2RP3004095
292936	-8.09	0	0	0	FLJ10468	FLJ10468 | hypothetical protein FLJ10468
286378	5.02	0	0	0	ZNF135	ZNF135 | zinc finger protein 135 (clone pHZ-17)
1631634	-5.6	0	0	0	MGC3038	MGC3038 | hypothetical protein similar to actin related protein 2/3 complex, subunit 5
897997	-3.83	0	0.33	0	SMC1L1	SMC1L1 | SMC1 (structural maintenance of chromosomes 1, yeast)-like 1
417637	7.18	0	0	0	KIAA1276	KIAA1276 | KIAA1276 protein
810981	4.93	0	0	0	FLJ20699	FLJ20699 | hypothetical protein FLJ20699
1631682	6.53	0	0	0	PPIE	PPIE | peptidylprolyl isomerase E (cyclophilin E)
342181	7.41	0	0	0	BCL2	BCL2 | B-cell CLL/lymphoma 2
839796	5.01	0	0	0	LOC51147	LOC51147 | candidate tumor suppressor p33 ING1 homolog
295572	4.8	0	0	0	KIAA0682	KIAA0682 | KIAA0682 gene product
197903	4.98	0	0	0		ESTs, Moderately similar to unnamed protein product [H.sapiens]
739450	-4.34	0	0.33	0	LASS2	LASS2 | longevity assurance (LAG1, S. cerevisiae) homolog 2
815501	-5.29	0	0	0	MGC2721	MGC2721 | hypothetical protein MGC2721
197913	4.63	0	0	0	SFPQ	SFPQ | splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated)
756442	-4.92	0	0	0	POR	POR | P450 (cytochrome) oxidoreductase
742707	-5.25	0	0	0		ESTs, Weakly similar to MUC2_HUMAN MUCIN 2 PRECURSOR [H.sapiens]
593840	5.59	0	0	0	DKFZP564K1964	DKFZP564K1964 | DKFZP564K1964 protein
32050	6.27	0	0	0		Homo sapiens mRNA; cDNA DKFZp586P1124 (from clone DKFZp586P1124)
1733262	4.86	0	0.33	0	BLu	BLu | BLu protein
344168	5.54	0	0	0	POLL	POLL | polymerase (DNA directed), lambda
502988	7.18	0	0	0	ZNF20	ZNF20 | zinc finger protein 20 (KOX 13)
878330	-4.47	0	0.33	0		Homo sapiens cDNA: FLJ22044 fis, clone HEP09141
3172883	-4.4	0	0	0		ESTs, Weakly similar to S24195 dopamine receptor D4 [H.sapiens]
74677	-4.44	0	0	0		Homo sapiens, Similar to RIKEN cDNA A430107J06 gene, clone MGC:21416 IMAGE:4452699, mRNA, complete cds
1416055	-5.77	0	0	0	KIAA0165	KIAA0165 | extra spindle poles, S. cerevisiae, homolog of
110226	4.4	0	0	0	TNFRSF10C	TNFRSF10C | tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain
1947647	-4.55	0	0	0	LOC51651	LOC51651 | CGI-147 protein
782688	5.13	0	0	0	P28	P28 | dynein, axonemal, light intermediate polypeptide
150897	-5.71	0	0	0	B3GNT3	B3GNT3 | UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
504959	8	0	0	0		Homo sapiens mRNA; cDNA DKFZp586G0321 (from clone DKFZp586G0321)
283124	6.15	0	0	0		Homo sapiens, clone IMAGE:3917549, mRNA, partial cds
345538	-4.35	0	0.65	0	CTSL	CTSL | cathepsin L
1534700	-6.1	0	0	0	KIAA0830	KIAA0830 | KIAA0830 protein
665384	-5.75	0	0	0	KIAA1609	KIAA1609 | KIAA1609 protein
1558233	5.85	0	0	0	ESTs	ESTs
814270	-6.96	0	0	0	PMSCL1	PMSCL1 | polymyositis/scleroderma autoantigen 1 (75kD)
361922	-4.82	0	0	0	ZMPSTE24	ZMPSTE24 | zinc metalloproteinase, STE24 (yeast, homolog)
1557637	4.06	0	1	0.01	ESTs	ESTs
744047	-5.14	0	0	0	PLK	PLK | polo (Drosophia)-like kinase
344959	9.07	0	0	0	HSA250839	HSA250839 | gene for serine/threonine protein kinase
190059	4.77	0	0.33	0	GNG7	GNG7 | guanine nucleotide binding protein (G protein), gamma 7
529827	-4.58	0	0	0	SYAP1	SYAP1 | reserved
810358	4.58	0	0.65	0	ACADVL	ACADVL | acyl-Coenzyme A dehydrogenase, very long chain
503671	-4.33	0	0.33	0		Homo sapiens cDNA FLJ14368 fis, clone HEMBA1001122
1456701	4.29	0	0.33	0	BCL9	BCL9 | B-cell CLL/lymphoma 9
756595	-4.61	0	0	0	S100A10	S100A10 | S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))
121454	4.35	0	0	0	ALOX12	ALOX12 | arachidonate 12-lipoxygenase
796469	-7.66	0	0	0	HSPC150	HSPC150 | HSPC150 protein similar to ubiquitin-conjugating enzyme
1566877	5.48	0	0	0	C11orf2	C11orf2 | chromosome 11 open reading frame2
825470	-6.91	0	0	0	TOP2A	TOP2A | topoisomerase (DNA) II alpha (170kD)
293727	-4.75	0	0	0	MGC861	MGC861 | hypothetical protein MGC861
1868349	4.6	0	0.98	0	PLA2G4B	PLA2G4B | phospholipase A2, group IVB (cytosolic)
772220	-5.44	0	0	0	PDIR	PDIR | for protein disulfide isomerase-related
2054635	-6.63	0	0	0	PSMA7	PSMA7 | proteasome (prosome, macropain) subunit, alpha type, 7
785368	-5.35	0	0	0	TOPK	TOPK | PDZ-binding kinase; T-cell originated protein kinase
951233	-5.46	0	0	0	PSMB3	PSMB3 | proteasome (prosome, macropain) subunit, beta type, 3
128711	-6.74	0	0	0	ANLN	ANLN | anillin (Drosophila Scraps homolog), actin binding protein
951241	-7.48	0	0	0	ANKT	ANKT | nucleolar protein ANKT
1583198	4.17	0	0.98	0		ESTs, Weakly similar to S65824 reverse transcriptase homolog [H.sapiens]
268946	-5.22	0	0.33	0		Homo sapiens cDNA FLJ31861 fis, clone NT2RP7001319
1635059	4.69	0	0	0		Homo sapiens, clone MGC:16638 IMAGE:4121964, mRNA, complete cds
248631	6.43	0	0	0	AMT	AMT | aminomethyltransferase (glycine cleavage system protein T)
504308	-7.6	0	0	0	FLJ10540	FLJ10540 | hypothetical protein FLJ10540
1635062	4.93	0	0.33	0	DKFZP586A011	DKFZP586A011 | DKFZP586A011 protein
