Gene Symbol	Name
ANKRD27	Ankyrin repeat domain 27 (VPS9 domain)
ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
ANXA9	Annexin A9
APOD	Apolipoprotein D
AQP3	Aquaporin 3 (Gill blood group)
ARPC5	Actin related protein 2/3 complex, subunit 5, 16kDa
ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
AYTL1	Acyltransferase like 1
BCAM	Basal cell adhesion molecule (Lutheran blood group)
BMI1	BMI1 polycomb ring finger oncogene
BMP4	Bone morphogenetic protein 4
BST2	Bone marrow stromal cell antigen 2
BTN3A3	Butyrophilin, subfamily 3, member A3
C14orf132	Chromosome 14 open reading frame 132
C17orf63	Chromosome 17 open reading frame 63
C4B	Complement component 4B (Childo blood group)
CA2	Carbonic anhydrase II
CABC1	Chaperone, ABC1 activity of bc1 complex homolog (S. pombe)
CCL18	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
CD24	CD24 molecule
CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)
CEACAM5	Carcinoembryonic antigen-related cell adhesion molecule 5
CFB	Complement factor B
CHGB	Chromogranin B (secretogranin 1)
CHI3L2	Chitinase 3-like 2
CIB2	Calcium and integrin binding family member 2
CKMT1B	Creatine kinase, mitochondrial 1B
COLEC12	Collectin sub-family member 12
CP	Ceruloplasmin (ferroxidase)
CRABP1	Cellular retinoic acid binding protein 1
CRABP2	Cellular retinoic acid binding protein 2
CRAT	Carnitine acetyltransferase
CX3CL1	Chemokine (C-X3-C motif) ligand 1
CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
CYB5A	Cytochrome b5 type A (microsomal)
CYP2A7	Cytochrome P450, family 2, subfamily A, polypeptide 7
DEGS1	Degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)
DIDO1	Death inducer-obliterator 1
DUSP4	Dual specificity phosphatase 4
EBNA1BP2	EBNA1 binding protein 2
ECHDC1	Enoyl Coenzyme A hydratase domain containing 1
ECHDC2	Enoyl Coenzyme A hydratase domain containing 2
EPHX2	Epoxide hydrolase 2, cytoplasmic
ETFA	Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
FABP7	Fatty acid binding protein 7, brain
FADD	Fas (TNFRSF6)-associated via death domain
FLJ20920	Hypothetical protein FLJ20920
FLJ25076	Similar to CG4502-PA
FLOT2	Flotillin 2
FMO5	Flavin containing monooxygenase 5
FMOD	Fibromodulin
FZD6	Frizzled homolog 6 (Drosophila)
FZD8	Frizzled homolog 8 (Drosophila)
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
GGH	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
GSTA4	Glutathione S-transferase A4
GSTM2	Glutathione S-transferase M2 (muscle)
GSTM4	Glutathione S-transferase M4
GSTT1	Glutathione S-transferase theta 1
GTF2H2	General transcription factor IIH, polypeptide 2, 44kDa
H19	H19, imprinted maternally expressed untranslated mRNA
HIST2H2BE	Histone cluster 2, H2be
HOXB6	Homeobox B6
HRASLS3	HRAS-like suppressor 3
HSPB8	Heat shock 22kDa protein 8
IFI6	Interferon, alpha-inducible protein 6
IGFBP5	Insulin-like growth factor binding protein 5
	Immunoglobulin lambda locus
IGLL1	Immunoglobulin lambda-like polypeptide 1
IRS1	Insulin receptor substrate 1
KCNK1	Potassium channel, subfamily K, member 1
KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
KIAA0182	KIAA0182
KRT13	Keratin 13
KRT6A	Keratin 6A
LAD1	Ladinin 1
LAMA5	Laminin, alpha 5
LAPTM4B	Lysosomal associated protein transmembrane 4 beta
LOC162073	Hypothetical protein LOC162073
LOC645561	Hypothetical LOC645561
LOC90110	Hypothetical protein LOC90110
LTF	Lactotransferrin
MAST4	Microtubule associated serine/threonine kinase family member 4
MGST1	Microsomal glutathione S-transferase 1
MMP14	Matrix metallopeptidase 14 (membrane-inserted)
MMP15	Matrix metallopeptidase 15 (membrane-inserted)
MPHOSPH6	M-phase phosphoprotein 6
MT1X	Metallothionein 1X
MTSS1	Metastasis suppressor 1
MUC1	Mucin 1, cell surface associated
MX1	Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)
NLRP2	NLR family, pyrin domain containing 2
NPNT	Nephronectin
NQO1	NAD(P)H dehydrogenase, quinone 1
NRG1	Neuregulin 1
PBX1	Pre-B-cell leukemia homeobox 1
PEG3	Paternally expressed 3
PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
PLAT	Plasminogen activator, tissue
PLK2	Polo-like kinase 2 (Drosophila)
PNKD	Paroxysmal nonkinesiogenic dyskinesia
PON3	Paraoxonase 3
PPIF	Peptidylprolyl isomerase F (cyclophilin F)
PRAME	Preferentially expressed antigen in melanoma
PRKACB	Protein kinase, cAMP-dependent, catalytic, beta
PRNPIP	Prion protein interacting protein
PRSS23	Protease, serine, 23
PSPHL	Phosphoserine phosphatase-like
PTPRK	Protein tyrosine phosphatase, receptor type, K
PTPRM	Protein tyrosine phosphatase, receptor type, M
PXMP3	Peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)
RAB31	RAB31, member RAS oncogene family
RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
RARRES3	Retinoic acid receptor responder (tazarotene induced) 3
REEP5	Receptor accessory protein 5
REPS2	RALBP1 associated Eps domain containing 2
RPS23	Ribosomal protein S23
RSF1	Remodeling and spacing factor 1
S100A1	S100 calcium binding protein A1
S100P	S100 calcium binding protein P
SDC2	Syndecan 2
SELENBP1	Selenium binding protein 1
SHC2	SHC (Src homology 2 domain containing) transforming protein 2
SIAH2	Seven in absentia homolog 2 (Drosophila)
SLC9A7	Solute carrier family 9 (sodium/hydrogen exchanger), member 7
SLPI	Secretory leukocyte peptidase inhibitor
SMA3	SMA3
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
SNED1	Sushi, nidogen and EGF-like domains 1
SQLE	Squalene epoxidase
STARD3	START domain containing 3
TCEA3	Transcription elongation factor A (SII), 3
TFAP2B	Transcription factor AP-2 beta (activating enhancer binding protein 2 beta)
TFAP2C	Transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)
TFF3	Trefoil factor 3 (intestinal)
THRAP4	Thyroid hormone receptor associated protein 4
TMEM65	Transmembrane protein 65
TNC	Tenascin C (hexabrachion)
TncRNA	Trophoblast-derived noncoding RNA
TRIM29	Tripartite motif-containing 29
TRPS1	Trichorhinophalangeal syndrome I
TUSC3	Tumor suppressor candidate 3
WNT5A	Wingless-type MMTV integration site family, member 5A
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
BLVRA	Biliverdin reductase A
BTG3	BTG family, member 3
CCNE1	Cyclin E1
CSDA	Cold shock domain protein A
CTPS	CTP synthase
FBP1	Fructose-1,6-bisphosphatase 1
FGFR4	Fibroblast growth factor receptor 4
FOXC1	Forkhead box C1
GSTM3	Glutathione S-transferase M3 (brain)
HEXIM1	Hexamethylene bis-acetamide inducible 1
IGBP1	Immunoglobulin (CD79A) binding protein 1
KIAA1370	KIAA1370
RABEP1	Rabaptin, RAB GTPase binding effector protein 1
S100A11	S100 calcium binding protein A11
TCEAL1	Transcription elongation factor A (SII)-like 1
TP53BP2	Tumor protein p53 binding protein, 2
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3
ACAA2	Acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
ACAD11	Acyl-Coenzyme A dehydrogenase family, member 11
ACADVL	Acyl-Coenzyme A dehydrogenase, very long chain
ACO2	Aconitase 2, mitochondrial
ACSS2	Acyl-CoA synthetase short-chain family member 2
ACTC1	Actin, alpha, cardiac muscle 1
ACTG2	Actin, gamma 2, smooth muscle, enteric
ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)
ADRA2A	Adrenergic, alpha-2A-, receptor
ADRM1	Adhesion regulating molecule 1
ADSL	Adenylosuccinate lyase
AGXT	Alanine-glyoxylate aminotransferase
AMFR	Autocrine motility factor receptor
ANK3	Ankyrin 3, node of Ranvier (ankyrin G)
ANXA7	Annexin A7
AP2S1	Adaptor-related protein complex 2, sigma 1 subunit
APH1B	Anterior pharynx defective 1 homolog B (C. elegans)
APPL2	Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2
ARFRP1	ADP-ribosylation factor related protein 1
ARL2BP	ADP-ribosylation factor-like 2 binding protein
AS3MT	Arsenic (+3 oxidation state) methyltransferase
ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
ATOX1	ATX1 antioxidant protein 1 homolog (yeast)
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)
ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1 (Renal tubular acidosis with deafness)
ATP6V1G1	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1
ATPIF1	ATPase inhibitory factor 1
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
BECN1	Beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)
BEX2	Brain expressed X-linked 2
C11orf48	Chromosome 11 open reading frame 48
C16orf72	Chromosome 16 open reading frame 72
C18orf21	Chromosome 18 open reading frame 21
C19orf53	Chromosome 19 open reading frame 53
C1orf149	Chromosome 1 open reading frame 149
C1orf198	Chromosome 1 open reading frame 198
C22orf32	Chromosome 22 open reading frame 32
C4orf18	Chromosome 4 open reading frame 18
C6orf108	Chromosome 6 open reading frame 108
C9orf91	Chromosome 9 open reading frame 91
CA11	Carbonic anhydrase XI
CACYBP	Calcyclin binding protein
CALU	Calumenin
CANX	Calnexin
CAPN12	Calpain 12
CBR1	Carbonyl reductase 1
CCK	Cholecystokinin
CD59	CD59 molecule, complement regulatory protein
CDC123	Cell division cycle 123 homolog (S. cerevisiae)
CDK2AP1	CDK2-associated protein 1
CDK6	Cyclin-dependent kinase 6
CDKN2D	Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)
CIT	Citron (rho-interacting, serine/threonine kinase 21)
CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
CLIP4	CAP-GLY domain containing linker protein family, member 4
CLN5	Ceroid-lipofuscinosis, neuronal 5
CLP1	CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae)
CNIH4	Cornichon homolog 4 (Drosophila)
CNN3	Calponin 3, acidic
COL6A3	Collagen, type VI, alpha 3
COMMD4	COMM domain containing 4
COPA	Coatomer protein complex, subunit alpha
CPA3	Carboxypeptidase A3 (mast cell)
CTSH	Cathepsin H
CUL1	Cullin 1
CYBRD1	Cytochrome b reductase 1
CYFIP2	Cytoplasmic FMR1 interacting protein 2
DDB1	Damage-specific DNA binding protein 1, 127kDa
DGUOK	Deoxyguanosine kinase
DHRS7B	Dehydrogenase/reductase (SDR family) member 7B
DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)
DOK4	Docking protein 4
DOM3Z	Dom-3 homolog Z (C. elegans)
DSC2	Desmocollin 2
ECE1	Endothelin converting enzyme 1
EFNB2	Ephrin-B2
EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)
ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6 (putative function)
EPB41	Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
EPOR	Erythropoietin receptor
EXT2	Exostoses (multiple) 2
F11R	F11 receptor
F2R	Coagulation factor II (thrombin) receptor
FAM110A	Family with sequence similarity 110, member A
FAM38A	Family with sequence similarity 38, member A
FECH	Ferrochelatase (protoporphyria)
FER1L3	Fer-1-like 3, myoferlin (C. elegans)
FJX1	Four jointed box 1 (Drosophila)
FKBP11	FK506 binding protein 11, 19 kDa
FLJ00038	CXYorf1-related protein
FLJ21062	Hypothetical protein FLJ21062
FLNB	Filamin B, beta (actin binding protein 278)
FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
FOXA3	Forkhead box A3
FVT1	Follicular lymphoma variant translocation 1
FXYD3	FXYD domain containing ion transport regulator 3
FZD1	Frizzled homolog 1 (Drosophila)
GABRP	Gamma-aminobutyric acid (GABA) A receptor, pi
GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
GARS	Glycyl-tRNA synthetase
GLDC	Glycine dehydrogenase (decarboxylating)
GLUD1	Glutamate dehydrogenase 1
GNB2L1	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
GNPNAT1	Glucosamine-phosphate N-acetyltransferase 1
GNS	Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
GPI	Glucose phosphate isomerase
GPX4	Glutathione peroxidase 4 (phospholipid hydroperoxidase)
GRIA1	Glutamate receptor, ionotropic, AMPA 1
GRIA2	Glutamate receptor, ionotropic, AMPA 2
GRLF1	Glucocorticoid receptor DNA binding factor 1
GSTP1	Glutathione S-transferase pi
GYG1	Glycogenin 1
H1F0	H1 histone family, member 0
HCFC1R1	Host cell factor C1 regulator 1 (XPO1 dependent)
hCG_18290	HCG18290
HIST1H1C	Histone cluster 1, H1c
HK1	Hexokinase 1
HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)
HOXB5	Homeobox B5
HSD17B4	Hydroxysteroid (17-beta) dehydrogenase 4
HSF2	Heat shock transcription factor 2
HSPBP1	Hsp70-interacting protein
HSPC157	HSPC157 protein
IFRD1	Interferon-related developmental regulator 1
IPPK	Inositol 1,3,4,5,6-pentakisphosphate 2-kinase
ITGB1BP1	Integrin beta 1 binding protein 1
ITM2C	Integral membrane protein 2C
JMJD2B	Jumonji domain containing 2B
JMJD4	Jumonji domain containing 4
KCTD15	Potassium channel tetramerisation domain containing 15
KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
KIAA0310	KIAA0310
KIAA1641	KIAA1641
KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
KL	Klotho
KLHDC5	Kelch domain containing 5
LARP6	La ribonucleoprotein domain family, member 6
LGALS9	Lectin, galactoside-binding, soluble, 9 (galectin 9)
LIG3	Ligase III, DNA, ATP-dependent
LIPH	Lipase, member H
LMAN2L	Lectin, mannose-binding 2-like
LMO7	LIM domain 7
LOC284184	Hypothetical LOC284184
LOC653354	Similar to amrmadillo repeat containing, X-linked 6 (H. sapiens)-like
LOC728113	Similar to Annexin A8 (Annexin VIII) (Vascular anticoagulant-beta) (VAC-beta)
LPGAT1	Lysophosphatidylglycerol acyltransferase 1
LRBA	LPS-responsive vesicle trafficking, beach and anchor containing
LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1
LXN	Latexin
MAFG	V-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)
MALAT1	Metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)
MAP2K4	Mitogen-activated protein kinase kinase 4
MAPK3	Mitogen-activated protein kinase 3
MB	Myoglobin
MBOAT2	Membrane bound O-acyltransferase domain containing 2
MCCC2	Methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
MCM3	Minichromosome maintenance complex component 3
MFGE8	Milk fat globule-EGF factor 8 protein
MFSD7	Major facilitator superfamily domain containing 7
MGC2752	Hypothetical protein MGC2752
MGC3207	Hypothetical protein MGC3207
MGC39900	Hypothetical protein MGC39900
MGRN1	Mahogunin, ring finger 1
MGST2	Microsomal glutathione S-transferase 2
MKL2	MKL/myocardin-like 2
MKNK2	MAP kinase interacting serine/threonine kinase 2
MLLT11	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11
MST1	Macrophage stimulating 1 (hepatocyte growth factor-like)
MSX2	Msh homeobox 2
MTMR6	Myotubularin related protein 6
MYH9	Myosin, heavy chain 9, non-muscle
MYST3	MYST histone acetyltransferase (monocytic leukemia) 3
NAIP	NLR family, apoptosis inhibitory protein
NDP	Norrie disease (pseudoglioma)
NEK4	NIMA (never in mitosis gene a)-related kinase 4
NFKBIZ	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
NGFRAP1	Nerve growth factor receptor (TNFRSF16) associated protein 1
NME4	Non-metastatic cells 4, protein expressed in
NPAS2	Neuronal PAS domain protein 2
NPEPPS	Aminopeptidase puromycin sensitive
NPY1R	Neuropeptide Y receptor Y1
NRBF2	Nuclear receptor binding factor 2
NT5DC2	5-nucleotidase domain containing 2
NUDT15	Nudix (nucleoside diphosphate linked moiety X)-type motif 15
NUMA1	Nuclear mitotic apparatus protein 1
ODF2	Outer dense fiber of sperm tails 2
OPRS1	Opioid receptor, sigma 1
OS9	Amplified in osteosarcoma
PAM	Peptidylglycine alpha-amidating monooxygenase
PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2
PCSK1	Proprotein convertase subtilisin/kexin type 1
PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)
PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide
PDK3	Pyruvate dehydrogenase kinase, isozyme 3
PEA15	Phosphoprotein enriched in astrocytes 15
PEBP1	Phosphatidylethanolamine binding protein 1
PEMT	Phosphatidylethanolamine N-methyltransferase
PHCA	Phytoceramidase, alkaline
PHF15	PHD finger protein 15
PIP5K1A	Phosphatidylinositol-4-phosphate 5-kinase, type I, alpha
PIR	Pirin (iron-binding nuclear protein)
PITPNA	Phosphatidylinositol transfer protein, alpha
PLOD1	Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2
PLSCR1	Phospholipid scramblase 1
PLXNB1	Plexin B1
PNPLA4	Patatin-like phospholipase domain containing 4
POLR2F	Polymerase (RNA) II (DNA directed) polypeptide F
POLR3E	Polymerase (RNA) III (DNA directed) polypeptide E (80kD)
POSTN	Periostin, osteoblast specific factor
PPM1H	Protein phosphatase 1H (PP2C domain containing)
PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A
PPP2CB	Protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform
PPP6C	Protein phosphatase 6, catalytic subunit
PRDX4	Peroxiredoxin 4
PREP	Prolyl endopeptidase
PSMB10	Proteasome (prosome, macropain) subunit, beta type, 10
PTK7	PTK7 protein tyrosine kinase 7
PTMS	Parathymosin
PTPRN2	Protein tyrosine phosphatase, receptor type, N polypeptide 2
QDPR	Quinoid dihydropteridine reductase
RAB11FIP5	RAB11 family interacting protein 5 (class I)
RAB14	RAB14, member RAS oncogene family
RAB9A	RAB9A, member RAS oncogene family
RAD52	RAD52 homolog (S. cerevisiae)
RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
RANBP6	RAN binding protein 6
RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3
RB1CC1	RB1-inducible coiled-coil 1
RERG	RAS-like, estrogen-regulated, growth inhibitor
RFC3	Replication factor C (activator 1) 3, 38kDa
RGL2	Ral guanine nucleotide dissociation stimulator-like 2
RGS5	Regulator of G-protein signalling 5
	Invasion inhibitory protein 45
RPL10	Ribosomal protein L10
RPL27A	Ribosomal protein L27a
RPS29	Ribosomal protein S29
S100A10	S100 calcium binding protein A10
SAT1	Spermidine/spermine N1-acetyltransferase 1
SCNN1A	Sodium channel, nonvoltage-gated 1 alpha
SCRN1	Secernin 1
SDHA	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
SELS	Selenoprotein S
SENP3	SUMO1/sentrin/SMT3 specific peptidase 3
SERINC1	Serine incorporator 1
SERPINH1	Serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
SFRS6	Splicing factor, arginine/serine-rich 6
SGCE	Sarcoglycan, epsilon
SHROOM3	Shroom family member 3
SLC11A2	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2
SLC16A2	Solute carrier family 16, member 2 (monocarboxylic acid transporter 8)
SLC20A1	Solute carrier family 20 (phosphate transporter), member 1
SLC20A2	Solute carrier family 20 (phosphate transporter), member 2
SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
SLC44A2	Solute carrier family 44, member 2
SLC4A3	Solute carrier family 4, anion exchanger, member 3
SLC7A6OS	Solute carrier family 7, member 6 opposite strand
SMAD4	SMAD family member 4
SORBS2	Sorbin and SH3 domain containing 2
SPG7	Spastic paraplegia 7 (pure and complicated autosomal recessive)
SPTAN1	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
SSFA2	Sperm specific antigen 2
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
STAT6	Signal transducer and activator of transcription 6, interleukin-4 induced
STEAP2	Six transmembrane epithelial antigen of the prostate 2
STK24	Serine/threonine kinase 24 (STE20 homolog, yeast)
STK38	Serine/threonine kinase 38
STOM	Stomatin
STT3A	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)
STX5	Syntaxin 5
STX7	Syntaxin 7
SVEP1	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
TBPL1	TBP-like 1
TCF12	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
TCN1	Transcobalamin I (vitamin B12 binding protein, R binder family)
TFPI2	Tissue factor pathway inhibitor 2
TGFBR3	Transforming growth factor, beta receptor III
THAP11	THAP domain containing 11
THRAP2	Thyroid hormone receptor associated protein 2
TLE3	Transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
TM9SF2	Transmembrane 9 superfamily member 2
TTYH3	Tweety homolog 3 (Drosophila)
TWF1	Twinfilin, actin-binding protein, homolog 1 (Drosophila)
UBE1	Ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)
UNG	Uracil-DNA glycosylase
UTP20	UTP20, small subunit (SSU) processome component, homolog (yeast)
VCL	Vinculin
VDP	Vesicle docking protein p115
VGLL1	Vestigial like 1 (Drosophila)
WHDC1	WAS protein homology region 2 domain containing 1
WWP1	WW domain containing E3 ubiquitin protein ligase 1
YPEL3	Yippee-like 3 (Drosophila)
ZCD1	Zinc finger, CDGSH-type domain 1
ZDHHC5	Zinc finger, DHHC-type containing 5
ZFP36L2	Zinc finger protein 36, C3H type-like 2
ZFX	Zinc finger protein, X-linked
ZNF236	Zinc finger protein 236
ZNF516	Zinc finger protein 516
ZNF532	Zinc finger protein 532
ZNF75	Zinc finger protein 75 (D8C6)
