Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
Lepr	leptin receptor	16847	-1.81	0.0064
2810453I06Rik	RIKEN cDNA 2810453I06 gene	67238	-1.81	0.0033
Abhd5	abhydrolase domain containing 5	67469	-1.81	0.0066
Vgll4	vestigial like 4 (Drosophila)	232334	-1.81	0.0068
Meox2	mesenchyme homeobox 2	17286	-1.81	0.0035
Manea	mannosidase, endo-alpha	242362	-1.81	0.0332
Dhh	desert hedgehog	13363	-1.81	0.0041
Rbm13	RNA binding motif protein 13	67920	-1.81	0.0071
C1qa	complement component 1, q subcomponent, alpha polypeptide	12259	-1.81	0.0041
Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	13024	-1.81	0.006
2410076I21Rik	RIKEN cDNA 2410076I21 gene	73673	-1.81	0.0095
Cd3d	CD3 antigen, delta polypeptide	12500	-1.8	0.0034
Kcnj8	potassium inwardly-rectifying channel, subfamily J, member 8	16523	-1.8	0.0067
Ghitm	growth hormone inducible transmembrane protein	66092	-1.8	0.0066
Spcs3	signal peptidase complex subunit 3 homolog (S. cerevisiae)	76687	-1.8	0.0078
Tsga2	testis specific gene A2	22092	-1.8	0.0067
