Toxicological category	Accession no.	Gene symbol	Gene title	Biochemical category	Ek d1	Ek d3	Ek d7	Ek d14	wt d1	wt d3	wt d7	wt d14
Metabolism and Biotrans-formation	NM_019303	CYP2F4	cytochrome P450 2F4	Biotransformation phase I	1.3	1	-1.4	-1.8	1.2	-1.8	-1.8	-1.1
Metabolism and Biotrans-formation	NM_017084	GNMT 	glycine-N-methyltransferase	Biotransformation phase II	1	-1.4	-1.4	-1.6	-1.4	-1.5	-1.9	-1.5
Metabolism and Biotrans-formation	U76379	OCT1 	organic cation transporter 1; SLC22A1	Drug transport	1.1	-1.3	-1.4	-1.7	-1.1	-1.4	-1.7	-1.7
DNA damage response (incl. Oxidative stress)	BM388545	SUPT16H	suppressor of Tyr16homologue; predicted	DNA damage repair	1	1.8	1.4	1.8	1.6	1.8	2.1	2.4
DNA damage response (incl. Oxidative stress)	NM_053677	CHEK2 	checkpoint kinase 2	Cell cycle checkpoint	1	1.8	2.8	2.2	1	-1.1	1.1	-1.1
DNA damage response (incl. Oxidative stress)	BF548539	MDM2 	ubiquitin E3 ligase Mdm2; predicted	Cell cycle checkpoint	5.3	4.4	1.8	2.4	-1.4	-1.4	-1.4	1
DNA damage response (incl. Oxidative stress)	AI178158	RBBP6	retinoblastoma binding protein 6; predicted	Cell cycle checkpoint	1	1.1	1	1	1.2	1.5	2	1.5
Oxidative stress response	NM_019192	SEPP1	Selenoprotein P	Oxidative stress response	1.1	3.5	3.4	3.9	4.1	4.2	4.9	4.2
Oxidative stress response	NM_019235	GGTLA1 	--glutamyltransferase-like activity 1	Oxidative stress response	1.4	2.6	1.8	4.2	1.3	-1.4	2.1	1
Oxidative stress response	NM_031614	TXNRD1	"Thioredoxin reductase 1, cytoplasmic"	Oxidative stress response	1.7	1.7	1.4	1.7	-1.1	1	-1.3	-1.1
Enhanced oxidative stress	AI231438	CN1 	Carnosine dipeptidase 1	Oxidative stress response	-1.2	-1.2	-2.9	-2.5	-1.2	-1.5	-1.8	-1.3
Enhanced oxidative stress	BM386741	HSP40-3 	heat shock protein hsp40-3; predicted	Protein folding in the cytosol	-1.3	-1.8	-1.7	-1.4	1	1	-1.5	-1.1
Enhanced oxidative stress	BF414210	KEAP1 	Kelch-like ECH-associated protein 1	Regulation of transcription	1.7	1.6	2	2.4	1.1	1       -1.1	1	
Enhanced oxidative stress	NM_053307	MSRA 	methionine sulfoxide reductase A	Oxidative stress response	1.4	1.4	1	-1.3	1	-1.6	-2	-1.8
Cellular stress	BM387750	DUSP11 	dual-specificity phosphatase 11	MAPK pathway	-1.1	-1.7	-1.7	-1.5	-1.5	-1.5	-1.4	-1.8
Cellular stress	BE110108	DUSP1 	dual-specificity protein phosphatase 1	MAPK pathway	1.9	1.6	2.3	2.3	-1.1	-1.3	-1.3	1
Cellular stress	NM_031032	GMFB 	glia maturation factor -	MAPK pathway	2.4	4	5.9	5.6	1.5	1.3	2.7	1.5
Cellular stress	AAH61870	JNK2 	c-Jun NH2-terminal kinase 2	MAPK pathway	1.8	1.3	1.4	1.3	1.2	-1.4	-1.1	-1.3
Cellular stress	AA851481	BRE 	brain and reproductive organ-expressed protein	MAPK pathway	1.8	1.7	1.5	1.7	1.1	-1.1	-1.2	-1.2
Cellular stress	L48060	PRLR 	prolactin receptor	MAPK pathway	1.5	2.1	1.3	1.7	1.1	1.2	1.2	1.2
Cellular stress	NM_023090	HIF2- 	hypoxia-inducible factor 2-	HIF pathway	2.5	1.8	2	1.7	1.2	1.1	-1.2	1
Cellular stress	BF403837	NFE2L1 	nuclear factor (erythroid-derived) 2 like 1	Regulation of gene expression	1.4	1.3	1.3	1.7	1	-1.3	-1.1	-1.1
Cellular stress	AI598399	RBM3 	RNA-binding motif protein 3	RNA metabolism	1	1	-1.3	1	1.4	1.1	1.2	1.8
Reduced cell survival/proliferation	BF281976	POLD4 	"polymerase (DNA-directed), delta 4"	DNA replication	2	-2.2	-2	-2.1	-1.1	-1.4	-1.6	-2
Reduced cell survival/proliferation	NM_057138	CFLAR 	CASP8 and FADD-like apoptosis regulator	Antiapoptotic	-1.3	-1.9	-2.9	-4.3	1.2	-3.6	-2.9	-3.4
Reduced cell survival/proliferation	AW253957	ENDOG	endonuclease G	Proapoptotic	1.1	1.9	2.3	1.9	1.3	1.4	1.8	2.5
Reduced cell survival/proliferation	AA944698	BAT3 	HLA-B–associated transcript 3	Proapoptotic	6.5	4.4	3.9	5	1.2	1.3	1.1	-1.1
Reduced cell survival/proliferation	NM_019208	MEN1 	multiple endocrine neoplasia 1	Tumor suppressor gene	1.9	1.2	1.6	1.9	-1.1	-1.2	1.1	-1.1
Reduced cell survival/proliferation	AI113091	TSSC4 	tumor-suppressing subchromosomal transferable fragment 4; predicted	Tumor suppressor gene	1.8	1.4	1.2	2.2	-1.1	1	-1.1	1
Reduced cell survival/proliferation	AA996685	PKIA 	cyclic AMP–dependent protein kinase inhibitor alpha	Signaling cascades	3	3.1	2.5	2.4	-1.3	1.2	1.3	2.6
Reduced cell survival/proliferation	BI290885	FSTL 	Follistatin-like 1	Signaling cascades	1.9	1.2	1.7	1.9	1.1	-1.1	1.1	1.3
Reduced cell survival/proliferation	BG663107	AKAP12 	a kinase anchor protein 12; gravin	Signaling cascades	1.7	1.4	2	1.5	-1.1	-1.2	-1.1	-1.2
Reduced cell survival/proliferation	M86708	ID1 	inhibitor of DNA binding 1	Regulation of transcription	1.1	-1.3	1.4	1	-1.3	-1.1	-1.3	-1.9
Reduced cell survival/proliferation	NM_031546	RGN 	regucalcin (SMP-30)	Antiapoptotic	-1.4	1.9	-3.7	-4.5	1.2	-1.7	-1.9	-2.6
Increased cell survival/proliferation	BE108969	IGFBP-4 	insulin-like growth factor binding protein 4	(IGF)-PI3K-AKT pathway	-1.3	-1.4	-3	-3.8	1	-1.3	-3	-2.8
Increased cell survival/proliferation	AI145815	MKRN-1 	Makorin-1	Protein metabolism	-1.1	-1.6	-1.9	-1.9	-1.3	-1.7	-1.7	-1.6
Increased cell survival/proliferation	BM986536	HIST1H4I 	histone 1 H4i	Nucleosome assembly	1.4	3.1	2.7	3	1.3	2.2	2.5	2.3
Increased cell survival/proliferation	NM_022265	PDC4 	programmed cell death 4	Antiapoptotic	1.5	2.1	1.7	1.9	1	-1.1	-1.3	1.1
Increased cell survival/proliferation	BE112895	PEA15 	phospho-protein–enriched in astrocytes 15	Antiapoptotic	-1.5	1.3	1.9	1.9	1.2	1.1	1.4	1.1
Increased cell survival/proliferation	NM_021846	MCL1 	myeloid cell leukemia 1	Antiapoptotic	1.6	1.4	1.5	1.8	1.1	-1.3	-1.1	-1.4
Increased cell survival/proliferation	NM_022943	MERTK 	C-Mer proto-oncogene tyrosine kinase	Proto-oncogene	3.3	4.9	4.3	2.9	-1.3	1	1.2	1.1
Increased cell survival/proliferation	NM_012807	SMOH 	smoothened	Proto-oncogene	1.8	1.3	1.6	1.5	-1.1	1	-1.3	1
Increased cell survival/proliferation	NM_022264	V-KIT 	Hardy-Zuckerman 4 feline sarcoma viral oncogene homologue (c-Kit)	Proto-oncogene	2.9	3.7	2.4	2.5	-1.2	-1.3	-1.5	1.2
Increased cell survival/proliferation	NM_012843	TMP tumor-associated membrane protein 	EMP1 Epithelial membrane protein 1	Proto-oncogene	2.8	1.7	2.2	4.3	1	-1.3	-1.2	-1.3
Increased cell survival/proliferation	AA943541	OVCA2 	candidate tumor suppressor OVCA2; predicted	Tumor suppressor gene	-1.3	-1.4	-1.6	-1.8	-1.3	-1.1	-1.4	-1.6
Increased cell survival/proliferation	NM_053481	PIK3CB	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic beta subunit"	(IGF)-PI3K-AKT pathway	2	2.9	-1.3	2	1.3	1	1	-1.1
Increased cell survival/proliferation	AI102030	AKT1S1 	AKT1 substrate 1; proline-rich	(IGF)-PI3K-AKT pathway	2.4	4	2	2.1	1	1	-1.1	-1.1
Increased cell survival/proliferation	AI105076	AKT2 	Thymoma viral proto-oncogene 2	(IGF)-PI3K-AKT pathway	1.5	1.5	1.2	1.9	1	1.1	-1.1	-1.2
Increased cell survival/proliferation	AW434982	SBF1 	similar to SET binding factor 1	(IGF)-PI3K-AKT pathway	2.4	3.5	2.2	3.6	1.2	1	-1.1	1
Increased cell survival/proliferation	NM_012593	KLK7 	glandular kallikrein 7	Protein metabolism	1.8	1.3	1.9	1.6	-1.1	-1.2	-1.2	-1.1
Increased cell survival/proliferation	BI300565	ADAM10 	A disintegrin and metalloprotease domain 10	Protein metabolism	1.6	1.8	1.3	1.4	1.1	-1.3	-1.3	-1.3
Increased cell survival/proliferation	NM_053665	AKAP1 	a kinase (PRKA) anchor protein 1	Signaling cascades	5.9	3.8	4.1	7.8	1	1.2	-1.1	1
Increased cell survival/proliferation	NM_017094	GHR 	growth hormone receptor	Signaling cascades	1.7	2.8	1.2	2	1.2	-1.1	1	1.1
Increased cell survival/proliferation	NM_012850	GHRHR 	growth hormone releasing hormone receptor	Signaling cascades	1.2	1.3	1.8	1.7	1.6	1.4	1.1	-1.1
Increased cell survival/proliferation	BI294916	KLF2 	Kruppel-like factor 2	Regulation of gene expression	1.6	1.4	1.9	1.9	1.1	-1.1	-1.2	1.2
Increased cell survival/proliferation	NM_131904	MGEA5	meningioma-expressed antigen 5	Protein metabolism	2.1	1.7	1.8	1.4	-1.1	-1.1	-1.5	-1.7
Increased cell survival/proliferation	AF080594	VEGF 	vascular endothelial growth factor	Angiogenesis	2.3	2	1.6	2.6	1.1	-1.3	1	1
Increased cell survival/proliferation	AW524517	VEZF1 	vascular endothelial zinc finger 1	Angiogenesis	1.9	1.6	1.2	1.4	1.1	1	-1.1	1.1
Increased cell survival/proliferation	NM_133569	ANGPTL2	angiopoietin-like 2	Angiogenesis	1.3	1.9	1.2	1.9	1.2	-1.1	-1.1	1.1
Increased cell survival/proliferation	NM_017089	EPHB1 	Ephrin B1	Angiogenesis	1.9	1.6	1.6	1.9	1.1	1	-1.3	1
Increased cell survival/proliferation	AB035507	MCAM 	melanoma cell adhesion molecule	Angiogenesis	2.1	1.5	1.6	1.3	1	-1.3	1.1	-1.1
Cell cycle progression and mitosis	NM_022615	TOP1 	DNA topoisomerase 1	DNA replication	1.5	1.8	1.6	2.2	1	-1.1	1	1.1
Cell cycle progression and mitosis	BM385181	SMARCA4 	SWI-SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4	Chromatin remodeling	1.3	1.1	1.7	1.7	-1.1	1.4	1	1.1
Cell cycle progression and mitosis	U75920	MAPRE1	microtubule-associated protein RP/EB family member 1	Mitotic spindle formation	2.4	2.6	2	2.8	1.1	1	-1.1	1
Cell cycle progression and mitosis	AJ306292	AJUBA 	Ajuba protein	Mitotic spindle formation	1.4	1.3	1.3	1.8	1	-1.2	-1.1	-1.2
Cell cycle progression and mitosis	BE118382	NEK9 	NIMA–related kinase 9	Mitotic spindle formation	2.1	1.9	1.8	2.4	1	1	1	-1.1
Cell cycle progression and mitosis	U77583	CSNK1A1 	"Casein kinase 1, alpha 1"	Mitotic spindle formation	1.6	1.5	1.6	1.8	1.1	1	-1.1	1
Cell cycle progression and mitosis	NM_057148	SEPT2 	Septin 2	Mitotic spindle formation	2.5	2.2	2.1	2.5	-1.1	-1.1	1	-1.1
Cell cycle progression and mitosis		PPP4R1 	"protein phosphatase 4, regulatory subunit 1"	Mitotic spindle formation	2.1	1.7	1.3	2	1	1	-1.2	-1.1
Cell cycle progression and mitosis	NM_013194	NMMHC-A 	Non-muscle myosin heavy chain A	Mitotic spindle formation	1.6	1.6	1.7	2	1.3	-1.1	1.1	1.2
Cell structure remodeling	AA955773	PCDH1	protocadherin 1	Cell adhesion molecule	-1.1	-1.7	-1.6	-1.9	-1.3	-1.7	-2.2	-1.8
Cell structure remodeling	BE097805	PCDH4	protocadherin 4	Cell adhesion molecule	2.7	1.2	3.6	2.3	1.5	1.3	1.6	1.3
Cell structure remodeling	AA955091	ITGA6 	integrin alpha 6	Cell adhesion molecule	2	1.3	1.7	1.5	1	1	-1.3	-1.4
Cell structure remodeling	NM_031699	CLDN1 	Claudin 1	Cell adhesion molecule	1.6	1.2	2	1.8	1	-1.2	-1.3	-1.2
Cell structure remodeling	NM_031329	OCLN 	Occludin	Cell adhesion molecule	2.5	1.9	1.3	2.2	1.4	1	-1.1	1
Cell structure remodeling	NM_013217	AF-6 	Afadin	Regulation of cell adhesion/migration	1.6	1.7	1.7	1.9	1	1	-1.2	-1.2
Cell structure remodeling	BF284125	IQGAP1 	IQ motif containing GTPase activating protein 1	Regulation of cell adhesion/migration	1.3	1.3	1.8	1.8	1	-1.1	-1.3	-1.2
Cell structure remodeling	AB020726	PODXL	Podocalyxin	Regulation of cell adhesion/migration	1.6	1.3	1.5	1.8	1.2	1	1.1	-1.1
Cell structure remodeling	NM_020085	RPTPK 	receptor-like protein tyrosine phosphatase kappa extracellular region	Signaling cascades	5.6	5.7	3.2	5.4	1	-1.4	-1.8	-1.4
Cell structure remodeling	NM_057115	PTPN12 	"protein tyrosine phosphatase, non-receptor type 12"	Signaling cascades	1.9	1.5	2.7	3.6	-1.1	-1.3	-1.2	-1.2
Cell structure remodeling	NM_031034	GNA12 	guanine nucleotide-binding protein - 12	Signaling cascades	2.2	2.2	1.6	2.4	1.1	1.2	1.1	-1.1
Cell structure remodeling	BE115857	PARVA 	Parvin alpha	Cytoskeleton organization	2.4	2.1	1.6	2.1	1	1	1.1	-1.1
Cell structure remodeling	NM_024401	AVIL 	Advillin; Pervin	Cytoskeleton organization	1.2	1.3	1.9	2.6	1	1.1	1.5	1.8
Cell structure remodeling	AF054618	CTTN 	Cortactin	Cytoskeleton organization	1.8	1.5	1.9	2	1.1	1	1.1	1.1
Cell structure remodeling	NM_032613	LASP1 	LIM and SH3 protein 1	Cytoskeleton organization	3.1	1.8	1.5	2	1.1	1	-1.2	1.1
Cell structure remodeling	NM_023982	ARHGEF11 	Rho guanine nucleotide exchange factor (Rho-GEF) 11	Cytoskeleton organization	1.7	2.5	2.8	3.1	1.7	2.1	2.1	1.4
Cell structure remodeling	AI170442	DSTN 	Destrin	Cytoskeleton organization	1.5	1.5	1.7	2	1	1.1	1	-1.1
Cell structure remodeling	NM_030873	PFN2 	Profilin 2	Cytoskeleton organization	1.6	2.5	2.1	3.4	1.3	-1.1	-1.2	1.2
Cell structure remodeling	AA875047	CCTZ 	Chaperonin containing T-complex 1 zeta	Cytoskeleton organization	9	2	6.7	5	-2.2	2.4	-1.5	-1.1
Cell structure remodeling	V01217	ACTB 	actin beta	Cytoskeleton constituent	2.2	2.1	2.1	3.1	1	-1.1	-1.1	1
Cell structure remodeling	NM_016990	ADD1 alpha	adducin	Cytoskeleton constituent	2	1.3	1.5	2.1	1.2	1.2	-1.1	1.1
Cell structure remodeling	X70706	PLS3 	Plastin 3 T-isoform; T-plastin	Cytoskeleton constituent	2	2.4	1.8	2.9	1	1.1	1	1.2
Cell structure remodeling	NM_030863	MSN 	Moesin	Cytoskeleton constituent	1.7	1.8	1.6	1.9	1.3	-1.2	1	1.1
Cell structure remodeling	BF392456	SPNB2 	Spectrin beta 2	Cytoskeleton constituent	1.9	1.9	1.5	2.4	1.1	1.1	1	1
Cell structure remodeling	BI284344	KRT2-7 	"Keratin complex 2, basic, gene 7; predicted"	Cytoskeleton constituent	-1.1	-1.4	-1.8	-2	1	-1.3	-1.4	-1.6
Cell structure remodeling	BI295970	TPM3 	Tropomyosin 3 gamma; Tropomyosin alpha 3	Cell morphology/motility	1.7	1.7	1.6	2.1	1	1	-1.1	-1.1
Cell structure remodeling	NM_012678	TPM4 	Tropomyosin 4	Cell morphology/motility	2.2	1.8	2.3	2	1	-1.1	-1.4	1.1
Cell structure remodeling	NM_053986	MYO1B 	myosin IB; Brush border myosin I	Cell morphology/motility	1.7	1.3	1.5	1.8	-1.1	1.1	-1.1	-1.1
Cell structure remodeling	NM_023092	MYO1C 	myosin 1C; unconventional myosin Myr2 I heavy chain	Cell morphology/motility	1.5	1.4	1.7	1.7	1.1	1.1	1	1.1
Cell structure remodeling	BG380723	CAP1 	Adenylyl cyclase-associated protein 1	Cell morphology/motility	2	1.5	1.9	2.3	-1.1	1.2	1	1
Cell structure remodeling	AA997129	LAMC1 	Laminin gamma 1	Extracellular matrix component	2.2	1.5	1.6	1.6	1.1	-1.2	1	1.3
Cell structure remodeling	AW435213	NANS 	N-acetylneuraminic acid synthase; sialic acid synthase; predicted	Cell adhesion/migration	1.4	1.3	1.5	1.7	1	1.1	-1.3	-1.2
Cell structure remodeling	U61261	LAMA3 	Laminin alpha 3; Laminin-5 alpha 3	Extracellular matrix component	1.2	1.1	1.2	-1.3	-1.2	-1.7	-1.6	-2
Cell structure remodeling	BF284673	FGD1 	Faciogenital dysplasia homologue	Cell adhesion/migration	1.1	1.3	1.2	1.5	1.5	1.2	1.9	2.2
EMT/Fibrosis	NM_013085	PLAU 	urokinase-type plasminogen activator	Cell adhesion/migration	-1.3	-1.3	-2.1	-1.9	-1.3	-2	-1.7	-2.1
EMT/Fibrosis	NM_013143	MEP1A 	Meprin A alpha-subunit	Protein degradation	-1.2	1	-2.5	-2.9	-1.2	-1.6	-1.6	-2.1
EMT/Fibrosis	L09653	TGFBR2 	TGF beta receptor type II	TGF-- family pathway	3.9	5.5	5.9	3.4	1	-1.4	-1.1	1
EMT/Fibrosis	NM_013130	SMAD1 	MADH1; Mothers against decapentaplegic homologue 1	TGF-- family pathway	2.1	1.5	1.6	1.4	1	1.1	1	1.7
EMT/Fibrosis	NM_013095	SMAD3 	MADH3; Mothers against decapentaplegic homologue 3	TGF-- family pathway	2.1	3.5	1.6	2.8	1.2	1.1	-1.1	1.1
EMT/Fibrosis	NM_019275	SMAD4 	MADH4; Mothers against decapentaplegic homologue 4	TGF-- family pathway	1.7	1.7	1.3	1.6	-1.2	-1.2	-1.3	-1.6
EMT/Fibrosis	NM_053357	CTNNB1 	beta catenin	Regulation of proliferation	1.7	1.6	1.3	1.9	1	-1.2	-1.1	1
EMT/Fibrosis	NM_031317	PDGFC 	platelet-derived growth factor C	Regulation of proliferation	2.1	1.7	1.4	2.4	1	-1.4	-1.1	-1.1
EMT/Fibrosis	BE095528	HAI-1 	hepatocyte growth factor activator inhibitor 1	Regulation of proliferation	3.9	9.2	5.4	3	1	1	-1.1	1
EMT/Fibrosis	AF172255	NPHS1 	nephrosis 1 homologue; nephrin	Cell adhesion/migration	1.7	2.3	2	1.8	-1.1	1	1	1.1
EMT/Fibrosis	NM_012886	TIMP3 	tissue inhibitor of metalloproteinase 3	Cell adhesion/migration	1.8	1.4	1.4	1.8	1	-1.1	-1.4	-1.7
EMT/Fibrosis	BI278545	DPT 	dermatopontin	Cell adhesion/migration	1.6	1.5	1.7	1.8	1.1	1	1.2	1.2
EMT/Fibrosis	NM_012924	CD44 	"antigen; ECMR-III, extracellular matrix receptor-III"	Cell adhesion/migration	2.3	3.3	1.2	1.6	-1.2	-1.1	1.1	1.2
EMT/Fibrosis	NM_024358	NOTCH2 	Notch homologue 2	Differentiation/organogenesis	2.4	2.2	3.2	7.4	1	1	-1.1	-1.1
EMT/Fibrosis	AA997458		Similar to CSRP2 cysteine and glycine-rich protein 2	Differentiation/organogenesis	1	-1.5	-1.8	-1.6	-1.3	-1.5	-1.6	-1.6
EMT/Fibrosis	NM_012901	AMBP 	alpha-1-microglobulin/bikunin precursor	Extracellular transport	1.1	2	2.6	1.9	1	1.3	1.8	1.9
EMT/Fibrosis	NM_017309	CNB 	Calcineurin B regulatory subunit isoform 1	Signaling cascades	4.5	7.6	1.8	5.8	-1.1	-1.4	-1.3	-1.3
