Probe Name	Embryonic Liver 9w+3d (3885)	Embryonic Liver 11w (3886)	Embryonic Liver 10w+3d (3887)	Embryo w/o liver 9w+3d (3888)	Embryo w/o liver 11w (3889)	Embryo w/o liver 10w+3d (3890)	Adult Liver Ambion (4339)
hsa-miR-362-5p	480	370	348	971	537	497	242
hsa-miR-363	50	110	93	296	158	212	166
hsa-miR-363	50	50	50	50	50	50	144
hsa-miR-365	76	361	399	97	251	258	518
hsa-miR-367	50	235	361	50	205	239	129
hsa-miR-369-3p	50	227	338	50	189	219	164
hsa-miR-369-5p	50	50	50	50	50	50	92
hsa-miR-370	1554	1842	1407	630	1150	874	195
hsa-miR-371-3p	50	218	321	50	192	192	177
hsa-miR-372	50	240	282	50	216	211	136
hsa-miR-373	50	231	290	50	211	224	147
hsa-miR-373	105	326	424	119	247	199	251
hsa-miR-374a	50	172	226	50	134	134	182
hsa-miR-374b	50	50	50	50	50	50	89
hsa-miR-375	50	230	313	50	174	177	135
hsa-miR-376a	67	285	361	138	153	236	124
hsa-miR-376a	50	50	50	50	50	50	107
hsa-miR-376b	50	50	50	50	50	50	144
hsa-miR-376c	334	773	911	237	476	591	196
hsa-miR-377	50	285	326	105	198	206	153
hsa-miR-378	463	607	652	646	698	490	1244
hsa-miR-378	63	365	331	109	278	214	250
hsa-miR-379	492	627	744	661	324	254	136
hsa-miR-380	50	165	224	50	142	159	127
hsa-miR-380	50	238	369	50	190	204	118
hsa-miR-381	1162	786	506	2787	733	335	137
hsa-miR-382	983	983	1134	1287	621	638	137
hsa-miR-383	56	307	386	175	239	250	147
hsa-miR-384	50	153	207	50	164	192	132
hsa-miR-409-3p	1844	2251	2079	1008	1113	1104	272
hsa-miR-409-5p	50	50	50	50	50	50	129
hsa-miR-410	151	454	479	285	328	283	207
hsa-miR-411	50	50	50	126	71	71	115
hsa-miR-412	50	255	415	50	236	285	112
hsa-miR-421	50	50	50	113	50	50	108
hsa-miR-422a	184	615	714	251	588	413	567
hsa-miR-423-3p	1636	1446	1313	1058	1792	1450	482
hsa-miR-423-5p	1277	1663	1658	1620	1903	1306	320
hsa-miR-424	50	232	298	50	233	247	146
hsa-miR-425	108	1121	817	150	780	414	221
hsa-miR-429	50	280	350	50	263	244	159
hsa-miR-431	50	57	50	260	133	77	107
hsa-miR-432	1582	964	1159	1319	736	834	257
hsa-miR-432	50	143	135	75	135	129	136
hsa-miR-433	50	50	50	50	50	50	50
hsa-miR-448	155	588	794	104	435	401	126
hsa-miR-449a	681	1253	1178	466	859	744	315
hsa-miR-449b	50	50	50	240	84	74	124
hsa-miR-450a	50	413	433	50	328	308	182
hsa-miR-451	1184	1779	3761	202	506	1306	388
hsa-miR-452	162	483	687	168	408	478	61
hsa-miR-452	50	221	260	50	199	178	176
hsa-miR-453	50	50	50	50	50	50	50
hsa-miR-454	50	50	50	50	50	50	80
hsa-miR-454	50	50	50	50	50	50	85
hsa-miR-455-3p	1116	550	712	2240	1592	2190	1562
hsa-miR-455-5p	50	50	50	85	50	70	77
hsa-miR-483-3p	3360	3043	3942	289	647	460	50
hsa-miR-483-5p	566	276	290	227	112	126	59
hsa-miR-484	50	95	50	413	218	145	345
hsa-miR-485-3p	943	1193	1624	390	817	777	223
hsa-miR-485-5p	221	559	504	224	416	313	157
hsa-miR-486-5p	728	661	627	129	141	115	50
hsa-miR-487a	50	113	50	177	53	63	64
hsa-miR-487b	421	458	224	485	211	169	50
hsa-miR-488	50	268	371	50	186	200	177
hsa-miR-488	50	129	115	50	131	147	184
hsa-miR-489	50	142	164	50	124	139	117
hsa-miR-490-3p	50	142	168	50	146	198	198
hsa-miR-491-5p	966	1191	1110	716	588	538	214
hsa-miR-492	210	495	645	111	391	424	200
hsa-miR-493	50	50	50	50	50	50	61
hsa-miR-493	179	465	639	90	346	347	277
hsa-miR-494	27580	26521	21396	9885	23607	27131	14532
hsa-miR-495	652	828	1041	391	556	916	191
hsa-miR-496	50	329	404	61	295	300	182
hsa-miR-497	50	274	210	138	525	263	705
hsa-miR-498	50	297	430	90	226	210	281
hsa-miR-499-5p	50	358	512	50	241	220	171
hsa-miR-500	250	254	272	368	350	267	111
hsa-miR-501-5p	50	230	266	54	243	194	232
hsa-miR-502-5p	61	377	386	210	342	263	206
hsa-miR-503	1131	483	440	1632	860	805	203
hsa-miR-504	263	404	396	364	283	272	219
hsa-miR-505	140	383	612	299	321	338	341
hsa-miR-506	50	136	221	50	155	195	172
hsa-miR-507	50	140	235	50	141	189	136
hsa-miR-508-3p	50	212	292	50	186	211	122
hsa-miR-509-3p	50	143	178	50	160	186	161
hsa-miR-510	50	118	131	50	130	142	227
hsa-miR-511	50	230	279	50	192	172	158
hsa-miR-512-3p	50	254	190	178	243	180	167
hsa-miR-512-5p	50	163	219	50	170	155	249
hsa-miR-513-5p	214	402	430	87	243	241	203
hsa-miR-514	50	263	312	50	222	242	229
hsa-miR-515-3p	50	359	420	50	308	299	206
hsa-miR-515-5p	50	255	277	50	182	177	189
hsa-miR-516a-3p	50	164	197	50	169	176	161
hsa-miR-516b	50	240	232	50	212	188	183
hsa-miR-517	50	291	347	50	222	197	169
hsa-miR-517a	50	357	412	50	323	296	222
hsa-miR-517b	50	50	50	50	50	50	71
hsa-miR-517c	50	50	50	50	50	50	50
hsa-miR-518a-3p	50	139	184	50	159	154	145
hsa-miR-518a-5p	50	138	71	58	115	96	216
hsa-miR-518b	336	637	821	133	525	489	347
hsa-miR-518c	50	300	463	50	279	276	148
hsa-miR-518c	50	589	624	50	370	316	217
hsa-miR-518d-3p	50	284	332	50	260	259	166
hsa-miR-518d-5p	50	179	257	50	188	181	181
hsa-miR-518e	50	292	393	50	288	275	186
hsa-miR-518e	50	292	339	50	251	239	201
hsa-miR-518f	50	263	334	50	252	250	189
hsa-miR-519a	50	50	50	50	50	50	50
hsa-miR-519b-3p	50	219	396	50	165	211	50
hsa-miR-519c-3p	50	201	424	50	150	164	111
hsa-miR-519d	50	286	455	50	194	202	123
hsa-miR-519e	50	170	232	50	135	159	50
hsa-miR-519e	50	165	201	50	142	160	226
hsa-miR-520a-3p	50	281	385	50	184	173	50
hsa-miR-520a-5p	50	213	298	123	180	197	163
hsa-miR-520b	50	185	295	50	152	166	116
hsa-miR-520d-3p	50	334	443	50	290	268	189
hsa-miR-520d-5p	97	408	455	89	270	211	245
hsa-miR-520e	50	212	427	50	147	172	101
hsa-miR-520f	50	50	50	50	50	50	116
hsa-miR-520h	50	296	426	50	255	294	129
hsa-miR-521	50	203	200	50	211	203	147
hsa-miR-522	50	264	468	50	169	197	121
hsa-miR-523	228	390	436	624	536	425	250
hsa-miR-524-3p	50	328	541	50	311	406	50
hsa-miR-524-5p	50	209	207	50	163	162	229
hsa-miR-525-3p	50	288	344	50	266	259	136
hsa-miR-525-5p	50	263	326	108	199	183	198
hsa-miR-526b	101	452	571	79	266	268	201
hsa-miR-526b	50	184	312	50	159	175	50
hsa-miR-532-5p	50	50	50	349	50	104	180
hsa-miR-539	50	50	50	50	50	50	112
hsa-miR-541	50	50	50	50	50	50	157
hsa-miR-542-3p	50	50	50	50	50	50	210
hsa-miR-542-5p	50	50	50	50	102	116	78
hsa-miR-543	286	126	79	471	177	167	50
hsa-miR-544	50	50	50	50	50	50	50
hsa-miR-545	50	50	50	50	50	50	77
hsa-miR-548a-3p	50	50	50	50	50	50	101
hsa-miR-548b-3p	50	50	50	124	124	137	118
hsa-miR-548c-3p	50	50	50	50	50	50	81
hsa-miR-548d-3p	50	50	50	50	50	50	80
hsa-miR-549	50	50	50	50	50	50	107
hsa-miR-550	50	50	50	50	50	50	100
hsa-miR-551a	50	50	50	50	50	50	126
hsa-miR-551b	50	50	50	257	83	114	122
hsa-miR-552	50	50	50	50	50	50	104
hsa-miR-553	50	50	50	50	50	50	103
hsa-miR-554	50	50	50	50	50	50	88
hsa-miR-555	50	50	50	50	50	50	73
hsa-miR-556-5p	297	402	256	457	216	268	73
hsa-miR-557	50	50	50	50	50	50	285
hsa-miR-558	50	50	50	50	50	50	73
hsa-miR-559	50	50	50	50	50	50	56
hsa-miR-560	50	50	50	50	50	50	76
hsa-miR-561	50	50	50	50	50	50	199
hsa-miR-562	50	50	50	50	50	50	114
hsa-miR-563	50	50	50	50	50	50	158
hsa-miR-564	50	50	50	50	50	50	88
hsa-miR-565	1247	1161	687	2178	933	406	1103
hsa-miR-566	50	50	50	50	50	50	111
hsa-miR-567	50	50	50	50	50	50	78
hsa-miR-568	50	50	50	50	50	50	100
hsa-miR-569	50	50	50	50	50	50	69
hsa-miR-570	50	50	50	50	50	50	50
hsa-miR-571	50	50	50	50	50	50	50
hsa-miR-572	50	50	50	50	50	50	50
hsa-miR-573	50	50	50	50	50	50	50
hsa-miR-574-3p	1412	1858	2116	290	1152	856	50
hsa-miR-574-5p	50	604	1140	50	429	584	188
hsa-miR-575	50	50	50	50	50	50	50
hsa-miR-576-5p	50	50	50	50	50	50	50
hsa-miR-577	50	50	50	50	50	50	50
hsa-miR-578	50	50	50	50	50	50	50
hsa-miR-579	50	50	50	50	50	50	70
hsa-miR-580	50	50	50	50	50	50	50
hsa-miR-581	50	50	50	50	50	50	78
hsa-miR-582-5p	50	50	50	50	50	50	103
hsa-miR-583	50	50	50	50	50	50	100
hsa-miR-584	50	50	50	50	50	50	215
hsa-miR-585	50	50	50	50	50	50	118
hsa-miR-586	50	50	50	50	50	50	162
hsa-miR-587	50	50	50	50	50	50	96
hsa-miR-588	50	50	50	50	50	50	142
hsa-miR-589	50	132	200	50	142	149	179
hsa-miR-589	50	50	50	50	50	50	50
hsa-miR-590-5p	50	50	50	50	50	50	97
hsa-miR-591	50	50	50	50	50	50	74
hsa-miR-592	50	50	50	50	50	50	89
hsa-miR-593	50	133	50	50	159	50	94
hsa-miR-595	50	50	50	50	50	50	132
hsa-miR-596	50	50	50	50	91	50	172
hsa-miR-597	50	50	50	50	50	50	106
hsa-miR-598	50	50	50	50	50	50	126
hsa-miR-599	50	50	50	50	50	50	103
hsa-miR-600	50	50	50	50	50	50	146
hsa-miR-601	50	50	50	50	50	50	103
hsa-miR-602	50	50	50	50	50	50	151
hsa-miR-603	50	50	50	50	50	50	126
hsa-miR-604	50	50	50	50	50	50	66
hsa-miR-605	50	50	50	50	50	50	120
hsa-miR-606	50	50	50	50	50	50	110
hsa-miR-607	50	50	50	50	50	50	86
hsa-miR-608	50	50	50	50	50	50	165
hsa-miR-609	50	50	50	50	50	50	124
hsa-miR-610	50	50	50	50	50	50	241
hsa-miR-611	50	50	50	50	50	50	98
hsa-miR-612	50	50	50	50	50	50	169
hsa-miR-613	50	50	50	50	50	50	108
hsa-miR-614	50	50	50	50	50	50	84
hsa-miR-615-3p	50	50	50	50	50	50	164
hsa-miR-616	50	50	50	50	50	50	80
hsa-miR-617	50	50	50	50	50	50	95
hsa-miR-618	50	50	50	50	50	50	57
hsa-miR-619	50	50	50	50	50	50	83
hsa-miR-620	50	50	50	50	50	50	122
hsa-miR-621	50	50	50	50	50	50	58
hsa-miR-622	300	667	703	50	50	50	321
hsa-miR-623	50	50	50	50	50	50	469
hsa-miR-624	50	50	50	363	89	66	74
hsa-miR-625	50	50	50	163	70	99	73
hsa-miR-626	50	50	50	50	50	50	62
hsa-miR-627	50	50	50	50	50	50	50
hsa-miR-628-3p	50	50	50	50	50	50	176
hsa-miR-629	50	50	50	50	50	50	119
hsa-miR-630	50	50	50	50	50	50	85
hsa-miR-631	50	50	50	50	55	50	140
hsa-miR-632	50	50	50	50	50	50	110
hsa-miR-633	50	50	50	50	50	50	100
hsa-miR-634	50	50	50	50	50	50	50
hsa-miR-635	50	50	50	50	50	50	81
hsa-miR-636	50	50	50	50	50	50	170
hsa-miR-637	50	50	50	50	50	50	277
hsa-miR-638	1159	1016	395	808	1222	370	1341
hsa-miR-639	50	50	50	50	50	50	180
hsa-miR-640	50	50	50	204	67	79	102
hsa-miR-641	50	50	50	50	50	50	123
hsa-miR-642	50	50	50	50	50	50	152
hsa-miR-643	50	50	50	50	50	50	110
hsa-miR-644	50	50	50	50	50	50	126
hsa-miR-645	50	50	50	50	50	50	103
hsa-miR-646	50	50	50	50	50	50	82
hsa-miR-647	50	50	50	50	50	50	122
hsa-miR-648	50	50	50	50	50	50	108
hsa-miR-649	50	50	50	50	50	50	233
hsa-miR-650	50	50	50	50	50	50	89
hsa-miR-651	50	50	50	50	50	50	85
hsa-miR-652	50	50	50	178	50	79	97
hsa-miR-653	50	50	50	50	50	50	119
hsa-miR-654-3p	669	873	1034	514	389	416	210
hsa-miR-654-5p	50	50	50	51	50	50	118
hsa-miR-655	50	50	50	50	50	50	81
hsa-miR-656	50	50	50	50	50	50	69
hsa-miR-657	50	50	50	50	50	50	112
hsa-miR-658	50	50	50	50	50	50	125
hsa-miR-659	50	50	50	50	50	50	248
hsa-miR-660	50	50	50	283	52	91	147
hsa-miR-661	50	50	50	50	91	50	218
hsa-miR-662	884	451	229	2230	569	281	462
hsa-miR-663	602	195	145	304	266	217	249
hsa-miR-668	50	77	50	50	130	50	232
hsa-miR-671-5p	50	50	50	167	62	69	136
hsa-miR-7	225	680	1299	61	535	701	189
hsa-miR-708	50	50	50	351	207	156	74
hsa-miR-7-1	50	208	308	85	183	211	50
hsa-miR-758	50	50	50	197	50	50	85
hsa-miR-765	50	106	50	50	50	60	212
hsa-miR-766	2268	1028	2990	528	663	1351	688
hsa-miR-767-3p	50	50	50	50	50	50	208
hsa-miR-767-5p	50	50	50	50	50	64	70
hsa-miR-768-3p	50	50	50	50	50	50	130
hsa-miR-768-5p	217	332	298	50	414	332	1002
hsa-miR-769-3p	50	50	50	50	50	50	105
hsa-miR-769-5p	50	50	50	104	50	50	80
hsa-miR-770-5p	50	50	50	50	50	58	183
hsa-miR-801	888	985	950	1288	876	350	748
hsa-miR-802	50	50	50	50	50	50	64
hsa-miR-885-5p	50	61	50	50	50	50	442
hsa-miR-9	50	359	579	97	269	306	132
hsa-miR-9	50	181	248	662	268	277	106
hsa-miR-92a	10236	12207	8264	16686	7125	5425	1691
hsa-miR-92b	50	117	50	365	193	104	120
hsa-miR-93	2272	1993	1227	7123	1329	953	352
hsa-miR-95	50	50	50	50	50	50	50
hsa-miR-96	50	367	497	50	306	358	153
hsa-miR-98	59	628	882	97	432	455	235
hsa-miR-99a	2231	578	621	5541	2130	5468	2787
hsa-miR-99a	50	226	290	312	235	243	176
hsa-miR-99b	1314	406	795	3189	1930	2135	212
hsa-miR-99b	50	50	50	50	50	50	99
