AFFYID	SYMBOL	LOCUS	GENENAME	p-value	WT Fold ?	p55-/-p75+/+ Fold ?	p55+/+p75-/- Fold ?	DKO Fold ?
1427022_at	Ddx42	72047	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	0.0066	0.87	0.93	1.34	1.16
1427411_s_at	Dleu2	84093	deleted in lymphocytic leukemia, 2	0.0219	1.16	1.21	1.44	1.76
1427944_at	C1qdc1	232560	C1q domain containing 1	0.0048	1.77	1.5	0.98	1.18
1428011_a_at	Erbb2ip	59079	Erbb2 interacting protein	0.0467	1.17	1.02	0.88	0.92
1428035_at	Fsip1	71313	fibrous sheath-interacting protein 1	0.0119	1.45	1.32	0.75	0.59
1428225_s_at	Hnrpdl	50926	heterogeneous nuclear ribonucleoprotein D-like	0.0025	1.07	1.24	0.64	0.72
1428845_at	Bclaf1	72567	BCL2-associated transcription factor 1	0.008	0.78	0.86	0.99	1.13
1432332_a_at	D7Rp2e	110959	DNA segment, Chr 7, Roswell Park 2 complex, expressed	0.0312	1.01	0.95	1.06	1.4
1433490_s_at		13822	erythrocyte protein band 4.1-like 2	0.0012	0.85	0.89	1.06	1.11
1433508_at	Copeb	23849	core promoter element binding protein	0.0127	0.75	0.69	0.87	1.34
1434272_at	Cpeb2	231207	cytoplasmic polyadenylation element binding protein 2	0.0319	1.34	1.36	0.91	1.27
1434968_a_at	Actr3	74117	ARP3 actin-related protein 3 homolog (yeast)	0.0459	0.84	0.72	0.89	1.36
1435626_a_at	Herpud1	64209	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	0.035	1.12	0.68	0.61	0.46
1435872_at	Pim1	18712	proviral integration site 1	0.0317	0.75	0.72	0.62	0.44
1436027_at	Osbpl11	106326	oxysterol binding protein-like 11	0.0193	0.7	0.66	1.02	0.88
1436584_at	Spry2	24064	sprouty homolog 2 (Drosophila)	0.0158	0.9	1.07	0.79	0.81
1436905_x_at	Laptm5	16792	lysosomal-associated protein transmembrane 5	0.0075	0.79	1.05	1.37	1.48
1437226_x_at	Mlp	17357	MARCKS-like protein	0.0173	0.47	0.57	0.9	0.89
1437741_at	Rab21	216344	RAB21, member RAS oncogene family	0.015	1.03	1.04	1.59	1.35
1438711_at	Pklr	18770	pyruvate kinase liver and red blood cell	0.0181	1.06	1.06	2.13	1.84
1439271_x_at	Ik	24010	IK cytokine	0.029	1.01	1.05	1.15	1.32
1439439_x_at	Eef1d	66656	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	0.0341	1.02	1.06	1.3	1.21
1448279_at	Arpc3	56378	actin related protein 2/3 complex, subunit 3	0.0446	0.97	1.06	1.1	1.29
1448379_at	Pot1	101185	POT1-like telomere end-binding protein (S. pombe)	0.0031	0.84	0.67	1.01	1.26
1448701_a_at	Ccm1	79264	cerebral cavernous malformations 1	0.0004	1.22	1.58	0.91	0.72
1448838_at	Topors	106021	topoisomerase I binding, arginine/serine-rich	0.0158	0.86	0.81	1.4	1.09
1448856_a_at	Msra	110265	methionine sulfoxide reductase A	0.0222	1.01	1.02	1.19	1.16
1449289_a_at	B2m	12010	beta-2 microglobulin	0.0166	0.69	0.74	1	1.07
1449515_at	Zfp292	30046	zinc finger protein 292	0.0398	0.95	0.83	0.73	0.64
1449935_a_at	Dnaja3	83945	DnaJ (Hsp40) homolog, subfamily A, member 3	0.0025	0.98	0.9	1.14	1.25
1450350_a_at	Jundm2	81703	Jun dimerization protein 2	0.0076	1.05	1.02	1.72	1.65
1450378_at	Tapbp	21356	TAP binding protein	0.0203	0.94	1.1	1.23	1.22
1450717_at	Ang1	11727	angiogenin, ribonuclease A family, member 1	0.0036	0.98	1.15	1.66	3.01
1450913_at	B4galt6	56386	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	0.0017	1.21	0.98	0.68	0.76
1451111_at	Nup133	234865	nucleoporin 133	0.0015	1.17	0.97	0.74	0.57
1451162_at	Hsbp1	68196	heat shock factor binding protein 1	0.0338	1.06	1.03	1.19	1.17
1451251_at	Appbp2	66884	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	0.0481	0.89	0.97	0.75	0.7
1451257_at	Facl6	216739	fatty acid Coenzyme A ligase, long chain 6	0.0322	0.99	0.73	1.02	1.08
1451683_x_at	H2-L	14980	histocompatibility 2, L region	0.0158	0.58	0.67	1.1	0.93
1451784_x_at	H2-D1	14964	histocompatibility 2, D region locus 1	0.0075	0.65	0.73	1	1.01
1451830_a_at	Spnb2	20742	spectrin beta 2	0.0337	0.71	0.65	1	0.94
1451871_a_at	Ghr	14600	growth hormone receptor	0.0086	1.1	1.12	0.94	0.82
1452209_at	Pkp4	227937	plakophilin 4	0.0178	0.93	1.11	1.22	1.17
1452261_at	Shprh	268281	SNF2 histone linker PHD RING helicase	0.0185	0.83	0.8	0.59	0.47
1452398_at	Plce1	74055	phospholipase C, epsilon 1	0.0026	0.74	0.93	1.26	1.07
1452660_s_at	D5Ertd363e	52323	DNA segment, Chr 5, ERATO Doi 363, expressed	0.0466	1.08	0.95	0.87	0.72
1454689_at	Srrm1	51796	serine/arginine repetitive matrix 1	0.038	1.11	1.2	1	0.91
1455084_x_at	Shmt2	108037	serine hydroxymethyl transferase 2 (mitochondrial)	0.0473	0.9	0.96	1.2	0.97
1455211_a_at	Timm9	30055	translocase of inner mitochondrial membrane 9 homolog (yeast)	0.0348	1.06	0.91	1.16	1.13
1455332_x_at	Fcgr2b	14130	Fc receptor, IgG, low affinity IIb	0.0024	0.95	0.89	1.31	1.44
1455458_x_at	Gmppa	69080	GDP-mannose pyrophosphorylase A	0.0361	1.08	1.01	0.98	0.75
1460228_at	Usf2	22282	upstream transcription factor 2	0.0326	1.1	1.2	0.8	0.97
