Affymetrix ID	Gene Name	Unigene ID	DLD-1	DLD-1 Met	DKO-4	DKO-4 Met
207543_s_at	procollagen-proline, 2-oxoglutarate4-dioxygenase (proline 4-hydroxylase), alpha polypeptideI	Hs.76768	0	0.5	1.2	2.5
207738_s_at	NCK-associated protein 1	Hs.278411	0	0.1	1.8	2.5
208095_s_at	calciumcalmodulin-dependent protein kinase (CaMkinase) II gamma	Hs.250857	0	1.1	3.2	3.6
208374_s_at	F-actin capping protein alpha-1 subunit	Hs.184270	0	0.3	1.6	2.3
208671_at	KIAA1253 protein	Hs.146668	0	-0.2	0.6	2.6
208706_s_at	eukaryotic translation initiation factor 5	Hs.286236	0	-0.3	0.8	1.9
208783_s_at	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	Hs.83532	0	0.5	2.1	3.3
208809_s_at	hypothetical protein FLJ12619	Hs.173685	0	0.2	1.5	2.2
208857_s_at	protein-L-isoaspartate (D-aspartate) O-methyltransferase	Hs.79137	0	0.2	1.1	2.2
209146_at	sterol-C4-methyl oxidase-like	Hs.239926	0	0.2	0.9	2.3
209369_at	annexin A3	Hs.1378	0	0.3	1.7	2.3
209476_at	thioredoxin-related transmembrane protein	Hs.24766	0	0.4	1.5	2.5
210211_s_at	heat shock 90kD protein 1, alpha	Hs.289088	0	0.3	1.9	2.3
211015_s_at	heat shock 70kD protein 4	Hs.90093	0	0.5	1.6	2.8
211676_s_at	YAN1 interferon-gamma receptor	Hs.180866	0	0	1.3	2
211733_x_at	Homo sapiens, sterol carrier protein 2	Hs.75760	0	-0.2	1.7	2.1
211932_at	heterogeneous nuclear protein similar to rat helix destabilizing protein	Hs.249247	0	-0.7	0.8	2.1
211967_at	EST	Hs.172089	0	0.3	1.3	2.5
212446_s_at	EST	Hs.101282	0	0.4	0.7	2.5
212449_s_at	lysophospholipase I	Hs.12540	0	0.5	1.6	2.8
212522_at	phosphodiesterase 8A	Hs.78746	0	1	1.8	3
212718_at	hypothetical protein	Hs.5324	0	0.3	1.1	2.5
212857_x_at	activated RNA polymerase II transcription cofactor 4	Hs.74861	0	0.5	1.9	2.5
212887_at	EST	Hs.321403	0	0.4	1.3	2.9
213102_at	hypothetical protein EUROIMAGE1875335	Hs.10927	0	-0.1	1.6	2.6
213506_at	Human proteinase activated receptor-2 mRNA, 3UTR	Hs.168102	0	0.2	1.5	2.3
214022_s_at	interferon induced transmembrane protein 1 (9-27)	Hs.146360	0	0	-2	-1.8
214974_x_at	EST	Hs.287716	0	0.5	2	2.7
215101_s_at	small inducible cytokine subfamily B (Cys-X-Cys), member 5	Hs.89714	0	1	2.6	3.2
216241_s_at	transcription elongation  factor	Hs.78869	0	0.6	1.8	3.1
216304_x_at	YME1 (S.cerevisiae)-like 1	Hs.206521	0	0.1	1.5	2.5
217724_at	PAI-1 mRNA-binding protein	Hs.165998	0	0.3	1.4	2.4
217779_s_at	hypothetical protein FLJ20312	Hs.7862	0	0.1	1	2.3
217845_x_at	DKFZP564K247 protein	Hs.7917	0	-0.2	1.8	2.2
217883_at	hypothetical protein	Hs.5324	0	0.6	1.7	2.6
217915_s_at	60S ribosomal protein L30 isolog	Hs.284162	0	0.5	1.9	2.5
218041_x_at	hypothetical protein PRO1068	Hs.321158	0	0.5	1.6	2.8
218048_at	BUP protein	Hs.35660	0	0.1	1.8	2.2
218263_s_at	transposon-derived Buster1 transposase-likeprotein	Hs.25726	0	0.9	2.4	3.1
218331_s_at	hypothetical protein FLJ20360	Hs.26434	0	-0.8	0.7	1.4
218351_at	hypothetical protein FLJ20502	Hs.23956	0	0.6	2.6	2.5
218411_s_at	MBIP protein	Hs.16755	0	2	2.6	4.2
218499_at	serinethreonine protein kinase MASK	Hs.23643	0	1.2	2.5	3.4
219939_s_at	NRAS-related gene	Hs.69855	0	0.5	1.3	2.8
220199_s_at	hypothetical protein FLJ12806	Hs.107637	0	0	0.7	2.1
221510_s_at	glutaminase	Hs.239189	0	-0.1	1.3	1.9
221580_s_at	hypothetical protein MGC5306	Hs.301732	0	-0.4	1.2	1.7
221691_x_at	mRNA for nucleophosminB23.2, complete cds.	Hs.411098	0	0	1.4	2.2
