Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
hyaluronan-mediated motility receptor (RHAMM)	HMMR	NM_012484 /// NM_012485	7.93E-10	7.69E-10	-1.9564	3.72E-10	-2.08276
hypermethylated in cancer 2	HIC2	NM_015094	5.01E-11	6.78E-11	-1.95061	9.35E-11	-1.89784
Paternally expressed 3	PEG3	NM_006210	2.40E-09	2.51E-08	-1.94183	1.45E-07	-1.65871
polymerase (DNA directed), epsilon 2 (p59 subunit)	POLE2	NM_002692	6.07E-14	8.40E-14	-1.93668	7.40E-14	-1.95732
proteasome (prosome, macropain) activator subunit 4	PSME4	NM_014614	9.93E-07	4.19E-05	-1.93116	2.76E-05	-2.01839
lysyl oxidase	LOX	NM_002317	8.52E-11	4.31E-08	-1.9294	6.44E-08	-1.8609
zinc finger, CSL-type containing 2	ZCSL2	NM_206831	8.86E-12	1.11E-11	-1.92796	4.35E-12	-2.08693
paternally expressed 3	PEG3	NM_006210	4.00E-09	1.69E-07	-1.92223	3.93E-07	-1.77804
phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria) /// p	PIGA	NM_002641 /// NM_020472 /// NM_020473	1.47E-09	6.90E-10	-1.91851	7.63E-10	-1.90193
chromosome 14 open reading frame 46	C14orf46	NM_001024674	5.54E-11	2.76E-11	-1.91644	6.40E-11	-1.78396
chromosome 7 open reading frame 23	C7orf23	NM_024315	3.17E-13	1.22E-13	-1.916	3.48E-13	-1.75473
solute carrier family 39 (zinc transporter), member 14	SLC39A14	NM_015359	7.43E-06	0.000232616	-1.88947	0.000491779	-1.72679
family with sequence similarity 54, member A	FAM54A	NM_138419	2.76E-13	4.73E-13	-1.8867	5.36E-13	-1.86698
microtubule associated serine/threonine kinase-like	MASTL	NM_032844	6.54E-11	1.15E-10	-1.88332	5.66E-11	-2.00108
suppressor of variegation 3-9 homolog 2 (Drosophila)	SUV39H2	NM_024670	3.71E-11	2.14E-11	-1.87873	1.38E-11	-1.95024
hypothetical protein MGC13204	MGC13204	NM_031465	1.93E-09	9.57E-10	-1.87292	9.86E-10	-1.8682
apolipoprotein B (including Ag(x) antigen)	APOB	NM_000384	5.43E-05	0.0286114	-1.86773	0.0284021	-1.87074
ribonucleotide reductase M2 polypeptide	RRM2	NM_001034	1.98E-11	1.68E-10	-1.86737	2.02E-10	-1.83802
nucleoporin 98kDa	NUP98	NM_005387 /// NM_016320 /// NM_139131 /// NM_139132	2.33E-12	2.98E-12	-1.86591	4.20E-12	-1.81269
solute carrier family 6 (amino acid transporter), member 14	SLC6A14	NM_007231	1.94E-11	3.56E-09	-1.86071	2.02E-07	-1.29761
MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	MCM10	NM_018518 /// NM_182751	1.82E-12	2.79E-11	-1.85807	2.49E-11	-1.87586
ring finger and WD repeat domain 3	RFWD3	NM_018124	2.04E-11	1.60E-11	-1.85037	1.26E-11	-1.8882
coproporphyrinogen oxidase	CPOX	NM_000097	4.48E-11	5.67E-11	-1.84531	5.30E-11	-1.85604
cell division cycle associated 7 /// cell division cycle associated 7	CDCA7	NM_031942 /// NM_145810	1.16E-10	7.53E-11	-1.84512	2.41E-10	-1.67017
LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM6	NM_007080	1.18E-10	6.77E-11	-1.83721	6.61E-11	-1.84092
CDC6 cell division cycle 6 homolog (S. cerevisiae)	CDC6	NM_001254	1.07E-11	3.08E-10	-1.8149	2.57E-10	-1.84322
orosomucoid 1	ORM1	NM_000607	3.05E-12	2.46E-12	-1.81461	1.38E-12	-1.90468
ADP-ribosylation-like factor 6 interacting protein 6	ARL6IP6	NM_152522	2.33E-11	1.39E-10	-1.81302	3.29E-11	-2.05023
ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide	SIAT7B	NM_006456	6.67E-15	7.75E-15	-1.80597	9.83E-15	-1.77043
dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC	NM_000790	1.46E-08	5.87E-09	-1.80268	8.06E-09	-1.75315
fatty acid binding protein 1, liver	FABP1	NM_001443	7.98E-08	4.29E-07	-1.7991	4.44E-08	-2.21205
CDNA clone IMAGE:3462401	NA	NA	6.48E-11	4.75E-11	-1.79875	6.79E-11	-1.74481
2-phosphodiesterase	2-PDE	NM_177966	3.68E-09	1.67E-09	-1.79628	5.48E-09	-1.61967
hypothetical protein MGC23909	MGC23909	NM_174909	6.90E-12	6.59E-11	-1.7848	4.53E-11	-1.84267
IGF-II mRNA-binding protein 1	IMP-1	NM_006546	8.65E-12	3.82E-12	-1.77639	3.59E-12	-1.78557
orosomucoid 2	ORM2	NM_000608	3.24E-11	1.80E-11	-1.77516	1.41E-11	-1.81206
replication factor C (activator 1) 5, 36.5kDa	RFC5	NM_007370 /// NM_181578	9.73E-11	1.08E-09	-1.76989	1.12E-09	-1.76349
serine/threonine kinase 6	STK6	NM_003600 /// NM_198433 /// NM_198434 /// NM_198435 /// NM_198436 /// NM_198437	2.51E-15	8.24E-15	-1.75624	6.59E-15	-1.78948
NA	NA	NA	2.53E-12	5.69E-12	-1.74308	4.64E-12	-1.77329
signal peptidase complex subunit 3 homolog (S. cerevisiae)	SPCS3	NM_021928	1.80E-09	4.90E-09	-1.74082	4.97E-09	-1.73859
phosphatidylinositol-4-phosphate 5-kinase, type I, beta	PIP5K1B	NM_001031687 /// NM_003558	2.61E-10	9.16E-09	-1.73794	8.42E-09	-1.75078
hypothetical LOC83640	MGC2560	NM_031452	7.26E-12	2.52E-11	-1.73731	7.80E-11	-1.57759
zinc finger, CCHC domain containing 9	ZCCHC9	NM_032280	5.69E-13	2.81E-13	-1.73542	2.17E-13	-1.77374
CDNA FLJ26015 fis, clone MPC03596	NA	NA	8.53E-12	5.10E-12	-1.7338	9.59E-12	-1.64358
defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	DCC1	NM_024094	3.49E-09	3.63E-09	-1.72983	4.65E-09	-1.69285
S-phase kinase-associated protein 2 (p45)	SKP2	NM_005983 /// NM_032637	1.00E-13	1.32E-12	-1.71837	9.51E-13	-1.76707
RNA pseudouridylate synthase domain containing 3	RPUSD3	NM_173659	2.13E-11	9.20E-12	-1.71387	1.45E-11	-1.64924
MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	NM_005914 /// NM_182746	2.37E-07	6.03E-06	-1.71216	2.46E-05	-1.48451
Fidgetin	FIGN	NM_018086	5.33E-09	2.90E-09	-1.70097	1.85E-09	-1.76839
cyclin J	CCNJ	NM_019084	5.53E-09	4.98E-08	-1.69896	5.15E-08	-1.69376
E2F transcription factor 8	E2F8	NM_024680	6.03E-09	9.17E-09	-1.69216	9.81E-09	-1.68216
DNA replication complex GINS protein PSF1	PSF1	NM_021067	7.16E-13	1.15E-12	-1.68998	6.18E-13	-1.78035
WD repeat and HMG-box DNA binding protein 1	WDHD1	NM_001008396 /// NM_007086	3.17E-07	8.99E-07	-1.68423	5.58E-07	-1.76124
heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	NM_004500 /// NM_031314	1.83E-10	9.18E-11	-1.68092	6.61E-11	-1.72875
Cyclin A2	CCNA2	NM_001237	6.13E-10	9.26E-10	-1.6807	4.01E-10	-1.8065
Polymerase (RNA) III (DNA directed) polypeptide G (32kD)	POLR3G	NM_006467	3.07E-10	1.29E-08	-1.67197	6.67E-09	-1.77231
BRCA2 and CDKN1A interacting protein	BCCIP	NM_016567 /// NM_078468 /// NM_078469	2.02E-11	8.33E-12	-1.67179	1.76E-11	-1.56936
CHK1 checkpoint homolog (S. pombe)	CHEK1	NM_001274	2.66E-11	1.96E-10	-1.66818	1.28E-10	-1.73053
Full-length cDNA clone CS0DL007YI24 of B cells (Ramos cell line) Cot 25-normaliz	NA	NA	2.92E-12	7.44E-12	-1.66407	2.93E-12	-1.80035
leucine zipper protein FKSG14	FKSG14	NM_022145	2.26E-08	1.37E-08	-1.65982	1.83E-08	-1.6174
hypothetical protein BC007901	LOC91461	NM_138370	7.83E-13	4.70E-13	-1.6546	1.49E-12	-1.50124
chromosome 9 open reading frame 41	C9orf41	NM_152420	3.10E-09	9.98E-09	-1.64783	1.78E-08	-1.56538
replication factor C (activator 1) 3, 38kDa	RFC3	NM_002915 /// NM_181558	2.88E-10	5.10E-10	-1.64637	3.61E-10	-1.696
TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	TAF5	NM_006951	2.83E-10	1.28E-10	-1.64589	1.12E-10	-1.66496
downstream neighbor of SON	DONSON	NM_017613 /// NM_145794 /// NM_145795	7.38E-11	7.29E-11	-1.64562	8.53E-11	-1.62363
breast cancer 1, early onset	BRCA1	NM_007294 /// NM_007295 /// NM_007296 /// NM_007297 /// NM_007298 /// NM_007299	1.74E-11	1.31E-10	-1.64551	3.48E-10	-1.51353
breast cancer 2, early onset	BRCA2	NM_000059	1.17E-10	2.29E-09	-1.64461	7.41E-10	-1.81395
lectin, galactoside-binding, soluble, 2 (galectin 2) /// lectin, galactoside-bin	LGALS2	NM_006498	3.57E-12	2.95E-09	-1.64449	4.60E-10	-1.93185
orosomucoid 1 /// orosomucoid 2	ORM1 /// ORM2	NM_000607 /// NM_000608	4.71E-13	2.98E-13	-1.64094	2.29E-13	-1.67779
kelch repeat and BTB (POZ) domain containing 8	KBTBD8	NM_032505	2.94E-07	3.06E-07	-1.63778	8.11E-08	-1.84904
Transcribed locus	NA	NA	5.77E-10	2.61E-10	-1.63139	2.50E-10	-1.63782
kelch-like 14 (Drosophila)	KLHL14	NM_020805	8.69E-11	1.16E-09	-1.6273	1.47E-09	-1.59445
Transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3	NM_003243	8.19E-15	4.22E-12	-1.6208	2.92E-12	-1.67202
ATPase family, AAA domain containing 2	ATAD2	NM_014109	4.37E-10	1.59E-09	-1.6198	2.32E-09	-1.56741
vaccinia related kinase 1	VRK1	NM_003384	1.40E-08	1.13E-08	-1.61929	5.56E-09	-1.72331
regulatory solute carrier protein, family 1, member 1	RSC1A1	NM_006511	1.40E-09	7.16E-10	-1.6183	5.01E-10	-1.66913
solute carrier family 16 (monocarboxylic acid transporters), member 10	SLC16A10	NM_018593	1.32E-09	4.41E-09	-1.61765	5.63E-09	-1.58333
hypothetical protein LOC201725	LOC201725	NM_001008393	3.53E-10	8.47E-09	-1.61568	1.77E-08	-1.51379
geminin, DNA replication inhibitor	GMNN	NM_015895	8.00E-13	3.18E-13	-1.611	3.78E-13	-1.58766
S-phase kinase-associated protein 2 (p45)	SKP2	NM_005983 /// NM_032637	2.17E-10	6.20E-09	-1.60746	2.66E-09	-1.73114
replication factor C (activator 1) 5, 36.5kDa	RFC5	NM_007370 /// NM_181578	2.70E-13	2.23E-12	-1.60502	1.40E-12	-1.67008
syntaxin 3A	STX3A	NM_004177	2.53E-06	7.98E-07	-1.60047	1.27E-06	-1.53116
NIMA (never in mitosis gene a)-related kinase 3 /// NIMA (never in mitosis gene	NEK3	NM_002498 /// NM_152720	2.81E-10	4.56E-10	-1.59866	4.47E-10	-1.60159
Cbl-interacting protein Sts-1	STS-1	NM_032873	2.21E-10	1.42E-10	-1.59182	7.44E-11	-1.68209
phosphatidylcholine transfer protein	PCTP	NM_021213	1.77E-10	7.49E-11	-1.58354	8.72E-11	-1.563
hypothetical protein MGC13204	MGC13204	NM_031465	1.77E-10	7.03E-11	-1.58036	8.03E-11	-1.56246
MHC class I polypeptide-related sequence B	MICB	NM_005931	3.41E-11	1.44E-09	-1.57712	2.42E-10	-1.83939
exportin 4	XPO4	NM_022459	1.22E-09	1.09E-09	-1.57449	5.24E-10	-1.67676
Zwilch, kinetochore associated, homolog (Drosophila)	ZWILCH	NM_017975	4.60E-09	3.57E-09	-1.56525	2.07E-09	-1.64142
ATPase family, AAA domain containing 2	ATAD2	NM_014109	3.38E-11	2.52E-10	-1.56497	1.56E-10	-1.63031
cell division cycle 34	CDC34	NM_004359	2.37E-12	7.59E-13	-1.56364	2.26E-12	-1.42634
nuclear receptor subfamily 1, group H, member 4	NR1H4	NM_005123	1.75E-13	3.19E-10	-1.56265	1.36E-10	-1.68099
MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	NM_005914 /// NM_182746	1.26E-09	1.60E-09	-1.5552	3.84E-09	-1.44129
solute carrier family 25, member 32 /// solute carrier family 25, member 32	SLC25A32	NM_030780	3.25E-10	2.18E-10	-1.55473	5.43E-10	-1.43752
NFKB inhibitor interacting Ras-like 1	NKIRAS1	NM_020345	2.30E-10	2.53E-10	-1.55409	5.12E-11	-1.78176
uncharacterized bone marrow protein BM039	BM039	NM_018455	2.87E-07	2.16E-07	-1.54953	3.25E-07	-1.49244
CDNA FLJ41999 fis, clone SPLEN2029683	NA	NA	1.39E-12	7.11E-13	-1.54495	7.30E-13	-1.54165
IGF-II mRNA-binding protein 1	IMP-1	NM_006546	7.01E-09	2.77E-09	-1.54188	3.13E-09	-1.52555
RAD51 associated protein 1	RAD51AP1	NM_006479	1.42E-09	1.33E-08	-1.53953	9.89E-09	-1.58022
Helicase, lymphoid-specific	HELLS	NM_018063	4.82E-09	7.59E-09	-1.53755	3.17E-08	-1.35487
ubiquitin carboxyl-terminal hydrolase L5	UCHL5	NM_015984	2.07E-10	8.98E-10	-1.53639	6.13E-10	-1.58781
DEP domain containing 1	DEPDC1	NM_017779	3.35E-11	3.72E-09	-1.52998	9.28E-10	-1.72629
MRS2-like, magnesium homeostasis factor (S. cerevisiae)	MRS2L	NM_020662	3.58E-12	1.01E-11	-1.52887	9.64E-12	-1.53449
family with sequence similarity 72, member A	FAM72A	NM_207418	9.03E-09	4.74E-09	-1.5278	3.69E-09	-1.56173
ATPase family, AAA domain containing 2	ATAD2	NM_014109	7.45E-08	3.85E-07	-1.52541	3.75E-06	-1.2289
mediator of RNA polymerase II transcription, subunit 6 homolog (yeast)	MED6	NM_005466	1.90E-11	1.17E-11	-1.52471	1.26E-11	-1.51519
MLF1 interacting protein	MLF1IP	NM_024629	2.03E-10	8.86E-10	-1.52358	8.39E-10	-1.5308
timeless-interacting protein	FLJ20516	NM_017858	6.28E-09	1.64E-08	-1.51974	4.37E-09	-1.70727
DNA replication factor	CDT1	NM_030928	1.46E-11	2.83E-11	-1.5194	2.62E-11	-1.52933
CTP synthase	CTPS	NM_001905	6.52E-13	1.84E-13	-1.51909	7.51E-13	-1.34982
proliferation-associated 2G4, 38kDa	PA2G4	NM_006191	1.07E-09	7.95E-10	-1.51548	8.38E-10	-1.5086
AT rich interactive domain 3A (BRIGHT- like)	ARID3A	NM_005224	3.54E-09	3.94E-09	-1.5126	7.73E-09	-1.42591
S100P binding protein Riken	S100PBPR	NM_001017406 /// NM_022753	2.33E-09	8.18E-10	-1.51005	1.22E-09	-1.4586
helicase, lymphoid-specific	HELLS	NM_018063	6.51E-07	6.15E-07	-1.50777	9.21E-07	-1.4516
hypothetical protein FLJ20425	LYAR	NM_017816	1.25E-10	5.19E-10	-1.5074	1.32E-09	-1.39083
chromosome 13 open reading frame 23	C13orf23	NM_025138 /// NM_170719	6.71E-09	8.93E-09	-1.50348	2.60E-08	-1.36793
GIPC PDZ domain containing family, member 2	GIPC2	NM_017655	1.03E-06	4.24E-07	-1.50208	4.78E-07	-1.48568
dihydrofolate reductase	DHFR	NM_000791	7.31E-09	2.10E-07	-1.49665	2.30E-07	-1.48402
YOD1 OTU deubiquinating enzyme 1 homolog ( yeast)	YOD1	NM_018566	2.06E-11	1.62E-08	-1.4894	1.58E-10	-2.22811
uncharacterized bone marrow protein BM039	BM039	NM_018455	2.40E-09	8.14E-10	-1.48869	1.30E-09	-1.42952
transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3	NM_003243	1.51E-12	4.91E-09	-1.48829	3.95E-09	-1.51703
MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisi	MCM5	NM_006739	8.39E-10	9.41E-10	-1.48726	3.70E-09	-1.32021
TEA domain family member 4	TEAD4	NM_003213 /// NM_201441 /// NM_201443	1.66E-10	3.04E-10	-1.48692	6.16E-10	-1.39899
WW domain binding protein 11	WBP11	NM_016312	7.78E-10	2.64E-10	-1.48681	5.66E-10	-1.39236
putative neuronal cell adhesion molecule	PUNC	NM_004884	3.24E-10	1.08E-09	-1.48537	3.12E-09	-1.35466
PHD finger protein 19	PHF19	NM_001009936 /// NM_015651	4.07E-08	8.93E-09	-1.48279	4.29E-08	-1.28983
MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	MCM10	NM_018518 /// NM_182751	4.42E-09	4.49E-07	-1.4752	2.59E-07	-1.55219
DKFZP434B0335 protein	DKFZP434B0335	NM_015395	2.85E-07	4.43E-06	-1.47374	1.38E-05	-1.31602
mediator of RNA polymerase II transcription, subunit 6 homolog (yeast)	MED6	NM_005466	8.31E-11	4.27E-11	-1.4714	5.82E-11	-1.43295
mal, T-cell differentiation protein 2	MAL2	NM_052886	2.46E-08	1.45E-08	-1.47044	8.60E-08	-1.25433
Full-length cDNA clone CL0BB014ZH04 of Neuroblastoma of Homo sapiens (human)	NA	NA	2.75E-09	2.45E-09	-1.47016	1.16E-09	-1.56901
similar to RIKEN cDNA 2510006C20 gene	LOC494143	NM_001008708	1.95E-11	3.51E-09	-1.46994	4.39E-09	-1.44145
metal response element binding transcription factor 2	MTF2	NM_007358	5.04E-08	2.34E-08	-1.46975	2.03E-08	-1.4888
hypothetical protein MGC4308 /// hypothetical protein MGC4308	MGC4308	NM_032359	2.17E-10	8.58E-11	-1.46946	1.96E-10	-1.36913
cell division cycle associated 2	CDCA2	NM_152562	4.76E-09	7.23E-09	-1.46591	4.24E-09	-1.53616
NIMA (never in mitosis gene a)-related kinase 3	NEK3	NM_002498 /// NM_152720	1.56E-11	9.21E-12	-1.46462	2.30E-11	-1.35497
Full length insert cDNA YP99D02	NA	NA	5.07E-13	2.06E-13	-1.4627	2.32E-13	-1.44841
chromosome 9 open reading frame 41	C9orf41	NM_152420	2.71E-07	2.69E-06	-1.45984	7.74E-06	-1.31601
GrpE-like 1, mitochondrial (E. coli)	GRPEL1	NM_025196	3.67E-13	1.63E-13	-1.45809	2.63E-13	-1.40063
ELL associated factor 2	EAF2	NM_018456	4.66E-11	9.97E-11	-1.45638	4.79E-11	-1.55047
cyclin E2	CCNE2	NM_057735 /// NM_057749	3.06E-09	1.15E-07	-1.45261	1.37E-08	-1.75719
RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	RAD51	NM_002875 /// NM_133487	3.66E-11	3.05E-09	-1.45245	3.21E-09	-1.44586
lysyl oxidase	LOX	NM_002317	2.71E-08	6.22E-05	-1.45127	4.59E-05	-1.49963
lamin B1	LMNB1	NM_005573	1.76E-11	3.07E-09	-1.45019	4.89E-09	-1.39214
ADP-ribosylation-like factor 6 interacting protein 6	ARL6IP6	NM_152522	1.26E-10	6.79E-11	-1.44979	5.76E-11	-1.47035
non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)	NME6	NM_005793	7.56E-10	4.39E-10	-1.44865	3.21E-10	-1.48807
hypothetical protein FLJ32745	FLJ32745	NM_144978	1.87E-11	2.24E-10	-1.44844	1.02E-10	-1.54865
nucleoporin 35kDa	NUP35	NM_001008544 /// NM_138285	4.73E-10	8.99E-10	-1.44823	8.41E-11	-1.77534
regulator of G-protein signalling 3	RGS3	NM_017790 /// NM_021106 /// NM_130795 /// NM_134427 /// NM_144488 /// NM_144489	2.52E-09	1.58E-09	-1.43884	1.08E-09	-1.48736
poly(A) binding protein, cytoplasmic 4 (inducible form)	PABPC4	NM_003819	4.84E-14	1.90E-14	-1.43675	2.49E-14	-1.40467
NMDA receptor regulated 1	NARG1	NM_057175	4.13E-06	8.60E-06	-1.43307	5.77E-06	-1.49124
myofibrillogenesis regulator 1	MR-1	NM_015488 /// NM_022572	3.81E-13	5.76E-13	-1.43073	3.63E-13	-1.48748
helicase, lymphoid-specific	HELLS	NM_018063	7.16E-10	1.02E-09	-1.42816	4.20E-09	-1.26281
translocated promoter region (to activated MET oncogene)	TPR	NM_003292	0.00126038	0.00332803	-1.42523	0.00901082	-1.21468
Protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A	NM_004157	2.42E-12	9.70E-13	-1.42468	1.32E-12	-1.38857
hypothetical protein MGC11102	MGC11102	NM_032325	9.21E-11	8.19E-11	-1.42194	5.30E-11	-1.47567
sterol O-acyltransferase 2	SOAT2	NM_003578	3.98E-11	1.07E-09	-1.4215	1.07E-09	-1.42131
Dual specificity phosphatase 7	DUSP7	NM_001947	4.48E-11	1.18E-11	-1.42048	3.45E-11	-1.29669
Mesenchymal stem cell protein DSC96	NA	NA	5.15E-07	1.12E-06	-1.41895	2.17E-07	-1.65274
