Function	Gene symbol	Fold change	Product
Blood vessel development	CTGF	2.15	Connective tissue growth factor
Blood vessel development	FLT1	5.13	fms-related tyrosine kinase 1 (vascular endothelial growth factor receptor)
Blood vessel development	ITGAV	?1.48	Integrin alpha-V precursor
Blood vessel development	CXCR4	1.49	Chemokine (C-X-C motif) receptor 4
Blood vessel development	THBS1	2.47	Thrombospondin 1
Blood vessel development	CYR61	2.16	Cysteine-rich, angiogenic inducer, 61
Blood vessel development	PAI	?3.10	Human placental plasminogen activator inhibitor
Death	HSPA1A	3.57	Heat shock 70-kd protein 1A
Death	NFKBIA	1.77	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
Death	SERPINB2	?2.24	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2, plasminogen activator inhibitor 2
Death	MAP3K5	6.97	Mitogen-activated protein kinase kinase kinase 5 (ASK1)
Death	CASP4	?1.47	Ich-2
Death	FOSL2	1.62	FOS-like antigen 2
Death	PP1	?4.10	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I)
Cell adhesion	ITGAV	?1.48	Integrin alpha-V precursor
Cell adhesion	VWF	1.57	von Willebrand factor
Cell adhesion	CTGF	2.15	Connective tissue growth factor
Cell adhesion	HBS4	2.62	Thrombospondin 4
Cell adhesion	THBS1	2.47	Thrombospondin 1
Cell adhesion	SPP1	?4.10	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I)
Cell adhesion	CYR61	2.16	Cysteine-rich, angiogenic inducer, 61
Cell-cell signaling	LEP	3.54	Leptin (obesity homolog, mouse)
Cell-cell signaling	PP1	?4.10	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I)
Cell-cell signaling	GF	?1.67	Placental growth factor
Cell-cell signaling	MAOA	?1.74	Monoamine oxidase A
Cell-cell signaling	SLC6A8	1.61	Creatine transporter
Cell-cell signaling	CGA	?1.44	Glycoprotein hormones, ? polypeptide
Cell-cell signaling	INSL4	?1.44	Insulin-like 4 (placenta)
Coagulation	VWF	1.57	von Willebrand factor
Coagulation	CD59	?1.63	CD59 antigen p18-20
Coagulation	LAT	2.05	Plasminogen activator, tissue
Coagulation	THBS1	2.47	Thrombospondin 1
Coagulation	PAI	?3.10	Human placental plasminogen activator inhibitor
Oxygen and reactive oxygen species metabolic process	SOD1	?1.61	Superoxide dismutase 1, soluble
Oxygen and reactive oxygen species metabolic process	PX3	2.29	Glutathione peroxidase 3, plasma
Oxygen and reactive oxygen species metabolic process	FMO2	?1.44	Flavin-containing mono-oxygenase 2
Oxygen and reactive oxygen species metabolic process	DUSP1	2.76	Dual-specificity phosphatase 1
Branching morphogenesis of a tube	CYR61	2.16	Cysteine-rich, angiogenic inducer, 61
Branching morphogenesis of a tube	CXCR4	1.49	Chemokine (C-X-C motif) receptor 4
Branching morphogenesis of a tube	FLT1	5.13	fms-related tyrosine kinase 1 (vascular endothelial growth factor receptor)
Branching morphogenesis of a tube	PGF	?1.67	Placental growth factor
