Probe ID	Fold change (Non-responder / Responder)	T-test P value	Gene Symbol	GenBank	Gene Name
31697_s_at	1.364	0.021	FTHP1; FTHL5	J04755	pseudoferritin H protein; Human ferritin H processed pseudogene, complete cds.
36585_at	1.359	0.0978	ARF4	M36341	ADP-ribosylation factor 4
35769_at	1.34	0.00938	GPR56	AJ011001	G protein-coupled receptor 56
34314_at	1.337	0.0469	RRM1	X59543	ribonucleotide reductase M1 polypeptide
39160_at	1.337	0.00767	PDHB; PHE1B	D90086	beta subunit; Human pyruvate dehydrogenase (EC 1.2.4.1) beta subunit gene, exons 1-10.
36643_at	1.332	0.011	DDR1	L20817	discoidin domain receptor family, member 1
34225_at	1.32	0.0211	WHSC2	AF101434	Wolf-Hirschhorn syndrome candidate 2
34849_at	1.318	0.0163	SARS	X91257	seryl-tRNA synthetase
36574_at	1.314	0.083	IDH3G	Z68907	isocitrate dehydrogenase 3 (NAD+) gamma
1954_at	1.313	0.0942	KDR	AF035121	kinase insert domain receptor (a type III receptor tyrosine kinase)
31431_at	1.311	0.0894	FCGRT	U12255	Fc fragment of IgG, receptor, transporter, alpha
34085_at	1.306	0.0531	RPL38	Z26876	ribosomal protein L38
977_s_at	1.305	0.0654	CDH1; UVO; CDHE; ECAD; LCAM	Z35402	H.sapiens gene encoding E-cadherin, exon 3 and joined CDS.
41727_at	1.294	0.0424	KIAA1007	AB023224	KIAA1007 protein
38274_at	1.293	0.00236	PL6	U09584	PL6 protein
39376_at	1.288	0.0695	Nbak2	AB014530	homeodomain interacting protein kinase 1-like protein
41268_g_at	1.287	0.0377	KIAA1049	AB028972	KIAA1049 protein
36033_at	1.285	0.0185		AL049309	EST
585_at	1.284	0.0549	XRCC5	M30938	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)
421_at	1.283	0.0143	TPR	X66397	translocated promoter region (to activated MET oncogene)
37487_at	1.282	0.0845	KIAA1093	AB029016	KIAA1093 protein
1848_at	1.279	0.0193	RAP1A	M22995	RAP1A, member of RAS oncogene family
36127_g_at	1.279	0.014	NBP	U18919	nucleotide binding protein
1598_g_at	1.277	0.0676	GAS6	L13720	growth arrest-specific 6
1357_at	1.276	0.0426	USP4	U20657	ubiquitin specific protease 4 (proto-oncogene)
33619_at	1.267	0.0103	RPS13	L01124	ribosomal protein S13
33752_at	1.266	0.0718	NS1-BP	AB020657	NS1-binding protein
33884_s_at	1.266	0.0429	UBE4B	AB014584	ubiquitination factor E4B (UFD2 homolog, yeast)
37038_at	1.261	0.0767	ABCD3; ABC43; PMP70; PXMP1	X83467	H.sapiens PXMP1 gene, exon 1 (and joined CDS).
38752_r_at	1.26	0.0964	ATP5I	AA426364	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e
1288_s_at	1.258	0.0587	EEF1A1; PTI1; EEF-1; PTI-1; GRAF-1EF; EEF1A1L14	J04617	elongation factor EF-1-alpha; Human elongation factor EF-1-alpha gene, complete cds.
41800_s_at	1.256	0.0393	DNAJC7	U46571	DnaJ (Hsp40) homolog, subfamily C, member 7
41047_at	1.25	0.0882	C9orf16	AI885170	chromosome 9 open reading frame 16
39339_at	1.249	0.0953	KIAA0792	AB018335	KIAA0792 gene product
40886_at	1.243	0.0467	PTI-1	L41498	putative; originaly identified as an oncogene, product renamed by NCBI staff; Homo sapiens longation factor 1-alpha 1 (PTI-1) mRNA, complete cds.
254_at	1.241	0.0287	H3F3A	M11353	H3 histone, family 3A
32253_at	1.235	0.0107	RERE	AB007927	arginine-glutamic acid dipeptide (RE) repeats
36615_at	1.235	0.0949	ARMET	M83751	arginine-rich, mutated in early stage tumors
1007_s_at	1.234	0.0433	DDR1; CAK; NEP; PTK3; RTK6; TRKE; EDDR1; MCK10; NTRK4; PTK3A	U48705	Human receptor tyrosine kinase DDR gene, complete cds.
35737_at	1.234	0.09	HMGN4	U90549	high mobility group nucleosomal binding domain 4
32629_f_at	1.232	0.07	BTN3A1	U90552	butyrophilin, subfamily 3, member A1
41302_at	1.229	0.0325	FCGR2B	R59606	Fc fragment of IgG, low affinity IIb, receptor for (CD32)
35356_at	1.227	0.0538	MGC9651	W21884	hypothetical protein MGC9651
903_at	1.226	0.0182	PPP2R5A	L42373	protein phosphatase 2, regulatory subunit B (B56), alpha isoform
36970_at	1.225	0.086	KIAA0182	D80004	KIAA0182 protein
32150_at	1.223	0.0818	GOLGA4	X82834	golgi autoantigen, golgin subfamily a, 4
32080_at	1.222	0.0739	TETRAN	L11669	tetracycline transporter-like protein
36496_at	1.222	0.0876	IMPA2	AF014398	inositol(myo)-1(or 4)-monophosphatase 2
37307_at	1.222	0.0638	GNAI2	X04828	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
36124_at	1.219	0.0471	MPST	X59434	mercaptopyruvate sulfurtransferase
34753_at	1.214	0.0971	SYBL1	X92396	synaptobrevin-like 1
37253_at	1.214	0.0671	PIP5K1B; MSS4; STM7	X92493	H.sapiens mRNA for STM-7 protein.
34644_at	1.212	0.06	B2M	AB021288	beta-2-microglobulin
32235_at	1.208	0.0862	KIAA0544	AB011116	KIAA0544 protein
39168_at	1.208	0.04	ALTE	AB018328	Ac-like transposable element
38208_at	1.203	0.0838	SLC35A3	AB021981	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3
38982_at	1.203	0.0519	TERF2IP	W28865	telomeric repeat binding factor 2, interacting protein
36185_at	1.201	0.0255	AARS	D32050	alanyl-tRNA synthetase
37375_at	1.201	0.0664	KIAA0638	AB014538	KIAA0638 protein
35435_s_at	1.197	0.0586	HADHSC	AF001903	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
32748_at	1.195	0.0639	RPS27	AI557852	ribosomal protein S27 (metallopanstimulin 1)
39434_at	1.19	0.094	FLJ10824	AB011164	hypothetical protein FLJ10824
40765_at	1.185	0.0419	KIAA0251	D87438	KIAA0251 protein
35836_at	1.184	0.0916	NUDC	AB019408	nuclear distribution gene C homolog (A. nidulans)
1377_at	1.183	0.0505	NFKB1	M58603	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
37888_at	1.181	0.0634	UGTREL7	D87449	UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter
38070_at	1.181	0.0528		AL080234	EST
36451_at	1.178	0.0742	ACVR1B	AI743299	activin A receptor, type IB
36949_at	1.166	0.0816	CSNK1D; HCKID	U29171	Human casein kinase I delta mRNA, complete cds
37683_at	1.164	0.0838	USP10	D80012	ubiquitin specific protease 10
32232_at	1.163	0.072	NDUFB5	AF047181	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa
35187_at	1.154	0.0479		AL080216	EST
1641_s_at	1.127	0.0744	DDB1	U32986	damage-specific DNA binding protein 1, 127kDa
32478_f_at	1.127	0.0879		AL031133	Cluster  Incl.  AL031133:dJ281H8.4  (Ubiquitin-Like  protein  SMT3  LIKE)  /cds=(124,411)  /gb=AL031133  /gi=3676189  /ug=Hs.113293  /len=1009
34346_at	1.124	0.0808	PRKAG1	U42412	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
39097_at	1.1	0.0822	SON	X63753	SON DNA binding protein
41606_at	1.1	0.0503	DRG1	AJ005940	developmentally regulated GTP binding protein 1
36060_at	0.909	0.0943	SRP54	U51920	signal recognition particle 54kDa
941_at	0.896	0.0455	PSMB6	D29012	proteasome (prosome, macropain) subunit, beta type, 6
32808_at	0.863	0.0853	ITGB1; CD29; FNRB; MDF2; VLAB; GPIIA; MSK12	X07979	integrin beta 1 subunit precursor; Human mRNA for integrin beta 1 subunit.
33770_at	0.857	0.0609	CHUK	AF009225	conserved helix-loop-helix ubiquitous kinase
35145_at	0.852	0.074	MNT	X96401	MAX binding protein
39058_at	0.843	0.0309	ABR	U01147	active BCR-related gene
237_s_at	0.839	0.0196	PPP2CA	M60483	Human protein phosphatase 2A catalytic subunit-alpha gene, complete cds.
37666_at	0.838	0.0828	PSMB5	D29011	proteasome (prosome, macropain) subunit, beta type, 5
37615_at	0.837	0.0628	GRB10	D86962	growth factor receptor-bound protein 10
39231_at	0.825	0.0973	CHD1	AF006513	chromodomain helicase DNA binding protein 1
37720_at	0.823	0.0753	HSPD1	M22382	heat shock 60kDa protein 1 (chaperonin)
243_g_at	0.818	0.0255	MAP4	M64571	microtubule-associated protein 4
40979_at	0.813	0.0566	C14orf3	AJ243310	chromosome 14 open reading frame 3
39329_at	0.812	0.0761	ACTN1	X15804	actinin, alpha 1
36122_at	0.81	0.0563	PSMA6	X59417	proteasome (prosome, macropain) subunit, alpha type, 6
36537_at	0.81	0.0922	P114-RHO-GEF	AB011093	Rho-specific guanine nucleotide exchange factor p114
39330_s_at	0.81	0.0596	ACTN1	M95178	actinin, alpha 1
41462_at	0.809	0.0667	SNX2	AF065482	sorting nexin 2
38416_at	0.808	0.0873	CCT6A	L27706	chaperonin containing TCP1, subunit 6A (zeta 1)
32807_at	0.807	0.0217	DKFZP566C134	AF004292	Homo sapiens clone IMAGE:30181 mRNA sequence.
37961_at	0.802	0.0545	PIK3R3	U90907	EST
38843_at	0.801	0.0789	HMG2L1	AL079310	high-mobility group protein 2-like 1
32108_at	0.795	0.0474	SPR	M76231	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)
39012_g_at	0.795	0.0123	ENSA	X99906	endosulfine alpha
257_at	0.791	0.0527	ITGAV	M14648	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)
31609_s_at	0.789	0.0771	PCOLCE	L33799	procollagen C-endopeptidase enhancer
39516_at	0.788	0.0636	POP5	AI827793	RNase MRP/RNase P protein-like
40928_at	0.787	0.0882	WSB1	W26496	SOCS box-containing WD protein SWiP-1
40645_at	0.786	0.0156	GSK3B	L33801	glycogen synthase kinase 3 beta
41200_at	0.785	0.0103	SURB7	Z22555	SRB7 suppressor of RNA polymerase B homolog (yeast)
35367_at	0.784	0.0785	LGALS3	AB006780	lectin, galactoside-binding, soluble, 3 (galectin 3)
31536_at	0.779	0.0885	RTN4	AB020693	reticulon 4
37240_at	0.777	0.0166	FLJ20195	U18937	hypothetical protein FLJ20195
39088_at	0.777	0.0211	NIFIE14	Y18007	seven transmembrane domain protein
33454_at	0.772	0.0158	AGRN	AF016903	agrin
39353_at	0.772	0.0799	HSPE1	AI912041	heat shock 10kDa protein 1 (chaperonin 10)
39355_at	0.769	0.0791	ABCE1	X76388	ATP-binding cassette, sub-family E (OABP), member 1
37162_at	0.767	0.027	D10S170	S72869	DNA segment on chromosome 10 (unique) 170
40030_at	0.762	0.00346	PRKY	Y15801	protein kinase, Y-linked
326_i_at	0.761	0.0734		HG1800-HT1823	Ribosomal Protein S20
176_at	0.758	0.0661	PPP2R5C	U37352	protein phosphatase 2, regulatory subunit B (B56), gamma isoform
829_s_at	0.755	0.0304	GSTP1; PI; DFN7; GST3; FAEES3	U21689	GST-P1c; Human glutathione S-transferase-P1c gene, complete cds.
1603_g_at	0.751	0.0149	PRKCI	L33881	protein kinase C, iota
41040_at	0.748	0.00868	RPP38	U77664	ribonuclease P (38kD)
33434_at	0.747	0.0876	BET1	AF007551	BET1 homolog (S. cerevisiae)
34796_at	0.746	0.0281	TRAM	X63679	translocating chain-associating membrane protein
31691_g_at	0.744	0.0336	GLUD2	U08997	Human glutamate dehydrogenase gene, complete cds.
39723_at	0.743	0.0294	CUL1	AF062536	cullin 1
32616_at	0.742	0.0063	LYN	M16038	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
36783_f_at	0.735	0.0298	H-plk	M55422	Krueppel-related zinc finger protein
38391_at	0.734	0.0944	CAPG	M94345	capping protein (actin filament), gelsolin-like
39686_g_at	0.734	0.0441	E46L	AL050282	like mouse brain protein E46
1979_s_at	0.733	0.00368	NOL1	X55504	nucleolar protein 1, 120kDa
41690_at	0.733	0.0653		AL049471	EST
38374_at	0.728	0.0992	TIEG; EGRA; KLF10	AF050110	Cluster  Incl.  AF050110:Homo  sapiens  TGFb  inducible  early  protein  and  early  growth  response  protein  alpha  genes,  complete  cds  /cds=(123,1565)  /gb=AF050110  /gi=3523144  /ug=Hs.82173  /len=2899
41729_at	0.723	0.0911	ARIH1	AJ009771	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
1402_at	0.722	0.031	LYN	M16038	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
33982_f_at	0.722	0.0236	ZNF43	X59244	zinc finger protein 43 (HTF6)
38074_at	0.721	0.0113	AP3S1	U91932	adaptor-related protein complex 3, sigma 1 subunit
39099_at	0.72	0.0236	SEC23A	X97064	Sec23 homolog A (S. cerevisiae)
1867_at	0.715	0.0324	CFLAR	AF005775	CASP8 and FADD-like apoptosis regulator
40424_at	0.715	0.0147	PROSC	AI017935	proline synthetase co-transcribed homolog (bacterial)
38077_at	0.693	0.0805	COL6A3	X52022	collagen, type VI, alpha 3
33468_at	0.69	0.0522	DSG2	Z26317	desmoglein 2
32749_s_at	0.687	0.0339	FLNA; ABPX; FLN1; NHBP; ABP-280	AL050396	EST, Highly similar to FLNA_HUMAN Filamin A (Alpha-filamin) (Filamin 1) (Endothelial actin-binding protein) (ABP-280) (Nonmuscle filamin) [H.sapiens]
38829_r_at	0.686	0.0838	KHSRP	AA628946	KH-type splicing regulatory protein (FUSE binding protein 2)
32720_at	0.681	0.00122	APG12L	AA151716	APG12 autophagy 12-like (S. cerevisiae)
120_at	0.677	0.00232	ITGA1; VLA1	X68742	H.sapiens mRNA for integrin, alpha subunit.
39331_at	0.674	0.0841	TUBB	X79535	tubulin, beta polypeptide
37403_at	0.667	0.0681	ANXA1	X05908	annexin A1
39087_at	0.662	0.0984	FXYD3	U28249	FXYD domain containing ion transport regulator 3
32215_i_at	0.656	0.0632	RHOBTB3	AB020685	Rho-related BTB domain containing 3
195_s_at	0.653	0.0942	CASP4	U28014	caspase 4, apoptosis-related cysteine protease
32736_at	0.646	0.0065	RAC2	W68830	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
37727_i_at	0.643	0.0555	RCN2	X78669	reticulocalbin 2, EF-hand calcium binding domain
297_g_at	0.642	0.085		HG4322-HT4592	Tubulin, Beta
2086_s_at	0.632	0.0112	TYRO3	D17517	TYRO3 protein tyrosine kinase
38420_at	0.63	0.0362	COL5A2	Y14690	collagen, type V, alpha 2
33412_at	0.622	0.03	LGALS1	AI535946	lectin, galactoside-binding, soluble, 1 (galectin 1)
40438_at	0.614	0.00524	PPP1R12A	D87930	protein phosphatase 1, regulatory (inhibitor) subunit 12A
39608_at	0.598	0.0511	SIM2	U80456	single-minded homolog 2 (Drosophila)
35937_at	0.587	0.0585	MICB	U65416	MHC class I chain-related gene B; cDNA sequence deposited under GenBank Accession Number X91625; Human MHC class I molecule (MICB) gene, complete cds.
41618_at	0.584	0.0464	COL17A1	M91669	collagen, type XVII, alpha 1
753_at	0.583	0.0128	NID2	D86425	nidogen 2 (osteonidogen)
35168_f_at	0.573	0.0553	COL16A1	M92642	collagen, type XVI, alpha 1
36176_at	0.547	0.00877	TBCC	U61234	tubulin-specific chaperone c
36239_at	0.546	0.0335	POU2AF1	Z49194	POU domain, class 2, associating factor 1
37209_g_at	0.536	0.0741	PSPHL	AJ001612	phosphoserine phosphatase-like
40694_at	0.524	0.0423	KRT20	X73502	cytokeratin 20
32052_at	0.522	0.0985	HBB	L48215	Cluster  Incl.  L48215:Homo  sapiens  beta-globin  (HBB)  gene,  with  a  to  c  allele  28  bp  5  to  exon  1,  (J00179  bases  61971-63802)  /cds=(50,493)  /gb=L48215  /gi=1066772  /ug=Hs.155376  /len=626
32307_s_at	0.469	0.017	COL1A2	V00503	collagen, type I, alpha 2
38038_at	0.468	0.00964	LUM	U21128	lumican
37208_at	0.464	0.0182	PSPHL	AJ001612	phosphoserine phosphatase-like
38839_at	0.456	0.0581	PFN2; PFL; D3S1319E	AL096719	EST, Highly similar to A Chain A, Crystal Structure Of Human Profilin Ii [H.sapiens]
658_at	0.445	0.0287	THBS2	L12350	thrombospondin 2
32488_at	0.421	0.02	COL3A1	X14420	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
32305_at	0.42	0.00409	COL1A2	J03464	collagen, type I, alpha 2
32306_g_at	0.378	0.0058	COL1A2	J03464	collagen, type I, alpha 2
