Gene Symbol	Fold Change	Gene Title	Chromosomal Location	Affymetrix Probeset ID
FLJ22944	0.11	hypothetical protein FLJ22944	10q25.1	231084_at
NA	0.11	Homo sapiens transcribed sequences	NA	236489_at
NA	0.11	Homo sapiens mRNA; cDNA DKFZp666G057 (from clone DKFZp666G057)	15q25.1	1556158_at
RRAD	0.12	Ras-related associated with diabetes	16q22	204802_at
LAS1	0.12	lung adenoma susceptibility 1-like	12p12.1	220168_at
HUMAUANTIG	0.12	nucleolar GTPase	1p34.2	227081_at
KRT14	0.12	keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)	17q12-q21	209351_at
C20orf114	0.13	chromosome 20 open reading frame 114	20q11.22	226067_at
ASP	0.13	AKAP-associated sperm protein	5p15.31	223609_at
DNALI1	0.13	dynein, axonemal, light intermediate polypeptide 1	1p35.1	205186_at
DKFZP434H0115	0.13	hypothetical protein DKFZp434H0115	17q21.31	223924_at
FLJ23049	0.13	hypothetical protein FLJ23049	3q26.2	220269_at
FLJ23129	0.13	hypothetical protein FLJ23129	1p31.3	229816_at
SERPINB3	0.13	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	18q21.3	209719_x_at
LOC132671	0.13	LOC132671	4q12	229331_at
NA	0.13	Homo sapiens, clone IMAGE:5206016, mRNA	NA	1559333_at
AKR1C3	0.13	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	10p15-p14	209160_at
NA	0.13	Homo sapiens cDNA: FLJ21590 fis, clone COL06990	NA	1556003_a_at
RSHL3	0.14	radial spokehead-like 3	6q22.31	233071_at
PI3	0.14	protease inhibitor 3, skin-derived (SKALP)	20q12-q13	203691_at
MGC4309	0.15	hypothetical protein MGC4309	1q32.1	219476_at
CAPS	0.15	calcyphosine	19p13.3	231729_s_at
MDAC1	0.15	MDAC1	19q13.42	1552594_at
B3GNT7	0.15	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	2q37.1	1555963_x_at
CLDN10	0.15	claudin 10	13q31-q34	205328_at
FLJ40919	0.15	hypothetical protein FLJ40919	13q14.11	1556711_at
MUC1	0.15	mucin 1, transmembrane	1q21	213693_s_at
S100A9	0.15	S100 calcium binding protein A9 (calgranulin B)	1q21	203535_at
SIAT7A	0.15	sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide alpha-2,6-sialyltransferase) A	17q25.3	227725_at
MUC20	0.15	mucin 20	3q29	226622_at
NYD-SP14	0.15	NYD-SP14 protein	4q31.21	223962_at
NA	0.15	Homo sapiens cDNA FLJ13332 fis, clone OVARC1001813.	1q23.1	231077_at
SPA17	0.16	sperm autoantigenic protein 17	11q24.2	205406_s_at
MGC35043	0.16	hypothetical protein MGC35043	4q21.3	231565_at
CDH26	0.16	cadherin-like 26	20q13.2-q13.33	232306_at
DNER	0.16	delta-notch-like EGF repeat-containing transmembrane	2q37.1	226281_at
CLDN23	0.16	claudin 23	8p23.1	228707_at
FLJ25955	0.16	hypothetical protein FLJ25955	2q36.3	242162_at
DNAH5	0.16	dynein, axonemal, heavy polypeptide 5	5p15.2	232381_s_at
PI3	0.16	protease inhibitor 3, skin-derived (SKALP)	20q12-q13	41469_at
DNAJA4	0.16	DnaJ (Hsp40) homolog, subfamily A, member 4	15q24.1	225061_at
NA	0.16	Homo sapiens similar to KIAA0563-related gene (LOC376854), mRNA	22q13.2	1562921_at
SCGB2A1	0.16	secretoglobin, family 2A, member 1	11q13	205979_at
CAPS	0.17	calcyphosine	19p13.3	226424_at
TEKT1	0.17	tektin 1	17p13.2	239216_at
NQO1	0.17	NAD(P)H dehydrogenase, quinone 1	16q22.1	210519_s_at
LOC128344	0.17	hypothetical protein LOC128344	1p13.2	228100_at
FLJ46909	0.17	FLJ46909 protein	9q34.11	229976_at
MGC48998	0.17	hypothetical protein MGC48998	1q23.2	1554960_at
SPAG6	0.17	sperm associated antigen 6	10p12.2	210032_s_at
WFDC2	0.18	WAP four-disulfide core domain 2	20q12-q13.2	203892_at
ATP12A	0.18	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	13q11-q12.1	207367_at
NA	0.18	Homo sapiens transcribed sequences	NA	241310_at
DNAI2	0.18	dynein, axonemal, intermediate polypeptide 2	17q25	220636_at
PACRG	0.18	PARK2 co-regulated	6q26	214204_at
ECRG4	0.18	esophageal cancer related gene 4 protein	2q12.2	223623_at
NA	0.18	Homo sapiens cDNA FLJ37284 fis, clone BRAMY2013590.	NA	225728_at
NQO1	0.18	NAD(P)H dehydrogenase, quinone 1	16q22.1	201467_s_at
NESG1	0.18	nasopharyngeal epithelium specific protein 1	1q22	220308_at
MGC39581	0.18	hypothetical protein MGC39581	19p13.3	237020_at
ABCA13	0.18	ATP binding cassette gene, sub-family A (ABC1), member 13	7p12.3	1553605_a_at
B3GNT7	0.18	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	2q37.1	1555962_at
FLJ32827	0.18	hypothetical protein FLJ32827	10p12.31	240275_at
NA	0.18	Homo sapiens transcribed sequences	NA	243803_at
NA	0.18	H. sapiens hypothetical protein LOC134121, mRNA (cDNA clone IMAGE:5766979), partial cds	NA	239722_at
AK7	0.19	adenylate kinase 7	14q32.31	1553734_at
NA	0.19	NA	NA	1558077_s_at
CHST5	0.19	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	16q22.3	64900_at
NA	0.19	Homo sapiens transcribed sequences	NA	222271_at
FLJ10817	0.19	hypothetical protein FLJ10817	10p12.1-p11.23	223794_at
RNPC6	0.19	RNA-binding region (RNP1, RRM) containing 6	6p22.3	235004_at
SAA2	0.19	serum amyloid A2 /// serum amyloid A2	11p15.1-p14 ///  11p15.1-p14	208607_s_at
C14orf78	0.19	chromosome 14 open reading frame 78	14q32.33	212992_at
ADH1C	0.19	alcohol dehydrogenase 1C (class I), gamma polypeptide	4q21-q23	206262_at
LTB4DH	0.19	leukotriene B4 12-hydroxydehydrogenase	9q32	231897_at
AKAP28	0.19	A-kinase anchoring protein 28	Xq25	237282_s_at
LRP11	0.19	low density lipoprotein receptor-related protein 11	6q24.3	225060_at
TTC9	0.2	tetratricopeptide repeat domain 9	14q24.1	213172_at
MS4A8B	0.2	membrane-spanning 4-domains, subfamily A, member 8B /// membrane-spanning 4-domains, subfamily A, member 8B	11q12.2 /// 11q12.2	224355_s_at
C6orf29	0.2	chromosome 6 open reading frame 29	6p21.3	205597_at
CAPS	0.2	calcyphosine	19p13.3	231728_at
NA	0.2	Homo sapiens similar to RIKEN cDNA 2010300C02 gene (LOC343990), mRNA	2q11.2	228067_at
C6orf206	0.2	chromosome 6 open reading frame 205	6p21.1	230695_s_at
LOC374427	0.2	hypothetical gene supported by BC039505	11q23.2	1568606_at
FLJ22527	0.2	hypothetical protein FLJ22527	2q37.3	238584_at
DUOX1	0.2	dual oxidase 1	15q15.3	219597_s_at
FLJ39553	0.2	hypothetical protein FLJ39553	8q22.2	1552390_a_at
MGC26733	0.2	hypothetical protein MGC26733	2q11.2	1562371_s_at
KIAA0266	0.21	KIAA0266	13q12.2-q13.3	237168_at
NQO1	0.21	NAD(P)H dehydrogenase, quinone 1	16q22.1	201468_s_at
LOC115811	0.21	hypothetical protein BC013151	12q24.21	1552540_s_at
NA	0.21	Homo sapiens cDNA FLJ44282 fis, clone TRACH2003516	16p13.11	240303_at
MS4A1	0.21	membrane-spanning 4-domains, subfamily A, member 1	11q12	228599_at
DKFZp761N1114	0.21	hypothetical protein DKFZp761N1114	1q32.1	229254_at
LOC120224	0.21	hypothetical protein BC016153	11q24.3	226226_at
FLJ90575	0.21	hypothetical protein FLJ90575	4p16.1	238682_at
FAM3B	0.22	family with sequence similarity 3, member B	21q22.3	227194_at
ABCA13	0.22	ATP binding cassette gene, sub-family A (ABC1), member 13	7p12.3	1553604_at
SLC22A4	0.22	solute carrier family 22 (organic cation transporter), member 4	5q31.1	205896_at
FLJ23834	0.22	hypothetical protein FLJ23834	7q22.2	235650_at
ZD52F10	0.22	hypothetical gene ZD52F10	19q13.13	226926_at
KCNRG	0.22	potassium channel regulator	13q14.13	240288_at
ZMYND10	0.22	zinc finger, MYND domain containing 10	3p21.3	205714_s_at
LOC128153	0.22	hypothetical protein BC014608	1q41	230763_at
NOR1	0.22	oxidored-nitro domain-containing protein	1p34.3	227359_at
MUC13	0.22	mucin 13, epithelial transmembrane	NA	218687_s_at
LOC57821	0.22	hypothetical protein LOC57821	1q24	206721_at
DNAH9	0.22	dynein, axonemal, heavy polypeptide 9	17p12	240857_at
HYDIN	0.22	hydrocephalus inducing	16q22.2	232984_at
p25	0.23	brain-specific protein p25 alpha	5p15.3	230104_s_at
MGC14839	0.23	similar to RIKEN cDNA 2310030G06 gene	11q23.2	238805_at
MGC29761	0.23	hypothetical protein MGC29761	9q34.3	59437_at
FBXO15	0.23	F-box only protein 15	18q22.3	231472_at
CES1	0.23	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	16q13-q22.1	209616_s_at
FLJ32743	0.23	hypothetical protein FLJ32743	18q21.1	1552326_a_at
NA	0.23	Homo sapiens similar to putative leucine-rich repeat protein (LOC376030), mRNA	11q12.3	236666_s_at
SLC2A10	0.23	solute carrier family 2 (facilitated glucose transporter), member 10 /// solute carrier family 2 (facilitated glucose transporter), member 10	20q13.1 /// 20q13.1	221024_s_at
FLJ25429	0.23	hypothetical protein FLJ25429	1p36.13	238657_at
KRT7	0.23	keratin 7	12q12-q13	209016_s_at
DKFZP586M1120	0.23	hypothetical protein DKFZp586M1120 /// hypothetical protein DKFZp586M1120	17p11.2 /// 17p11.2	208140_s_at
MUC20	0.23	mucin 20	3q29	231941_s_at
MGC33630	0.24	hypothetical protein MGC33630	12q24.31	230193_at
DYX1C1	0.24	dyslexia susceptibility 1 candidate 1	15q21.1	235273_at
SELENBP1	0.24	selenium binding protein 1	1q21-q22	214433_s_at
NA	0.24	H. sapiens hypothetical protein LOC285103, mRNA (cDNA clone IMAGE:5273139), partial cds	NA	227966_s_at
GSTA3	0.24	glutathione S-transferase A3	6p12.1	222102_at
FAM3D	0.24	family with sequence similarity 3, member D	3p21.2	227676_at
LOC129881	0.24	hypothetical LOC129881	2q31.1	236909_at
AGR2	0.24	anterior gradient 2 homolog (Xenopus laevis)	7p21.3	209173_at
BANK1	0.25	B-cell scaffold protein with ankyrin repeats 1	4q24	219667_s_at
NA	0.25	Homo sapiens cDNA FLJ46553 fis, clone THYMU3038879	NA	243780_at
C14orf45	0.25	chromosome 14 open reading frame 45	14q24.2	220173_at
SLC27A2	0.25	solute carrier family 27 (fatty acid transporter), member 2	15q21.2	205768_s_at
SAA2	0.25	serum amyloid A2	11p15.1-p14	214456_x_at
DAF	0.25	decay accelerating factor for complement (CD55, Cromer blood group system)	1q32	201926_s_at
DNAH9	0.25	dynein, axonemal, heavy polypeptide 9	17p12	207959_s_at
FLJ34497	0.25	hypothetical protein FLJ34497	1p12	233516_s_at
ELF3	0.26	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1q32.2	229842_at
SLC27A2	0.26	solute carrier family 27 (fatty acid transporter), member 2	15q21.2	205769_at
CHST5	0.26	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	16q22.3	219182_at
MGC26778	0.26	hypothetical protein MGC26778	10p12.31	237314_at
SERPINB4	0.26	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	18q21.3	210413_x_at
MGC34837	0.26	hypothetical protein MGC34837	1p32.1	236710_at
DKFZp434B227	0.26	hypothetical protein DKFZp434B227	3q29	221185_s_at
MOPT	0.26	protein containing single MORN motif in testis	NA	226790_at
MGC16372	0.27	CG10958-like	2p24.1	231133_at
NBEA	0.27	neurobeachin	13q13	221207_s_at
FLJ40873	0.27	hypothetical protein FLJ40873	1p31.3	1553635_s_at
FLJ23514	0.27	hypothetical protein FLJ23514	11q14.1	220389_at
FLJ33084	0.27	hypothetical protein FLJ33084	1p34.1	236320_at
FLJ46675	0.27	FLJ46675 protein	17p13.2	239499_at
ADSSL1	0.27	adenylosuccinate synthase like 1	14q32.33	226325_at
C6orf165	0.27	chromosome 6 open reading frame 165	6q15	230273_at
MGC33630	0.27	hypothetical protein MGC33630	12q24.31	1555007_s_at
FLJ23598	0.27	hypothetical protein FLJ23598	11p11.2	220390_at
FLJ20366	0.27	hypothetical protein FLJ20366	8q23.2	218692_at
DHCR24	0.27	24-dehydrocholesterol reductase	1p33-p31.1	200862_at
FLJ23577	0.27	hypothetical protein FLJ23577	5p13.2	232745_x_at
MGC4309	0.27	hypothetical protein MGC4309	1q32.1	228865_at
MGC13040	0.27	hypothetical protein MGC13040	11q22.2	241198_s_at
CXCL1	0.28	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	4q21	204470_at
PAX5	0.28	paired box gene 5 (B-cell lineage specific activator protein)	9p13	221969_at
LOC222171	0.28	hypothetical protein LOC222171	7p15.1	226961_at
NA	0.28	Homo sapiens cDNA FLJ16628 fis, clone TESTI4017763, moderately similar to Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.1.-)	2q21.3	1555804_a_at
EFHC1	0.28	EF-hand domain (C-terminal) containing 1	6p12.3	219833_s_at
MGC35261	0.28	hypothetical protein MGC35261	Xq22.3	231389_at
NA	0.28	Homo sapiens transcribed sequence with moderate similarity to protein sp:P39189 (H.sapiens) ALU2_HUMAN Alu subfamily SB sequence contamination warning entry	NA	229810_at
HRASLS2	0.28	HRAS-like suppressor 2	11q13.1	221122_at
LOC222967	0.29	hypothetical protein LOC222967	7p22.2	1557417_s_at
TEKT2	0.29	tektin 2 (testicular)	1p35.3-p34.1	210323_at
DAF	0.29	decay accelerating factor for complement (CD55, Cromer blood group system)	1q32	1555950_a_at
FANK1	0.29	fibronectin type 3 and ankyrin repeat domains 1	10q26.2	232968_at
ARMC2	0.3	armadillo repeat containing 2	6q21	223866_at
SLC16A5	0.3	solute carrier family 16 (monocarboxylic acid transporters), member 5	17q25.2	206600_s_at
ELF3	0.3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1q32.2	210827_s_at
SLC22A16	0.3	solute carrier family 22 (organic cation transporter), member 16	6q22.1	232232_s_at
MUC1	0.3	mucin 1, transmembrane	1q21	207847_s_at
TNRC9	0.3	trinucleotide repeat containing 9	16q12.2	214774_x_at
STOML3	0.3	stomatin (EPB72)-like 3	13q13.3	1553794_at
TUBB	0.3	tubulin, beta polypeptide	6p25	204141_at
ELF3	0.3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1q32.2	201510_at
TTC9	0.3	tetratricopeptide repeat domain 9	14q24.1	213174_at
DNAH7	0.3	dynein, axonemal, heavy polypeptide 7	2q33.1	214222_at
ELL3	0.31	elongation factor RNA polymerase II-like 3	15q15.1	219518_s_at
TSGA10	0.31	testis specific, 10	2q11.2	223838_at
CR2	0.31	complement component (3d/Epstein Barr virus) receptor 2	1q32	205544_s_at
EPPK1	0.31	epiplakin 1	8q24.3	232165_at
C6orf118	0.31	chromosome 6 open reading frame 118	6q27	232777_s_at
ALDH3B1	0.31	aldehyde dehydrogenase 3 family, member B1	11q13	205640_at
SERPINB7	0.31	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 7	18q22.1	206421_s_at
NA	0.31	Homo sapiens transcribed sequences	NA	244313_at
ZMYND12	0.31	zinc finger, MYND domain containing 12	1p34.1	223636_at
CHST6	0.32	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	16q22	223786_at
NA	0.32	Homo sapiens similar to CG5435-PA (LOC127003), mRNA	1p13.3	231044_at
MGC29761	0.32	hypothetical protein MGC29761	9q34.3	221946_at
CLIC3	0.32	chloride intracellular channel 3	9q34.3	219529_at
NA	0.32	Homo sapiens, clone IMAGE:4820483, mRNA	NA	1568906_at
CDH26	0.32	cadherin-like 26	20q13.2-q13.33	233663_s_at
TJP3	0.33	tight junction protein 3 (zona occludens 3)	19p13.3	35148_at
NA	0.33	Homo sapiens cDNA clone IMAGE:4441572, partial cds	NA	225102_at
CKB	0.33	creatine kinase, brain	14q32	200884_at
VNN3	0.33	vanin 3	6q23-q24	220528_at
NA	0.33	Homo sapiens similar to shippo 1 (LOC375177), mRNA	22q13.33	238327_at
BF	0.33	B-factor, properdin	6p21.3	202357_s_at
AGR2	0.33	anterior gradient 2 homolog (Xenopus laevis)	7p21.3	228969_at
SPAG1	0.33	sperm associated antigen 1	8q22.2	210117_at
BNIPL	0.33	BCL2/adenovirus E1B 19kD interacting protein like	1q21.3	236534_at
NYD-SP29	0.33	testis development protein NYD-SP29	1p22.3	243087_at
TMPRSS4	0.33	transmembrane protease, serine 4 /// transmembrane protease, serine 4	11q23.3 /// 11q23.3	218960_at
DNAI1	0.33	dynein, axonemal, intermediate polypeptide 1	9p21-p13	220125_at
DNAH10	0.34	dynein, axonemal, heavy polypeptide 10	12q24.31	229738_at
LOC123872	0.34	similar to RIKEN cDNA 4930457P18	16q24.1	222068_s_at
TTC12	0.34	tetratricopeptide repeat domain 12	11q23.2	219587_at
TUBB2	0.34	tubulin, beta, 2	NA	213726_x_at
DKFZP566F0546	0.34	DKFZP566F0546 protein	22q13.31	206526_at
NA	0.34	Homo sapiens cDNA clone MGC:2062 IMAGE:3534501, complete cds	NA	210608_s_at
KIAA1345	0.34	KIAA1345 protein	4p15.33	234936_s_at
TCL1A	0.35	T-cell leukemia/lymphoma 1A	14q32.1	39318_at
NA	0.35	NA	NA	211474_s_at
TCEA3	0.35	transcription elongation factor A (SII), 3	1p36.11	226388_at
NA	0.35	Homo sapiens cDNA clone IMAGE:4480427, partial cds	NA	241382_at
NYD-SP28	0.35	NYD-SP28 protein	12q13.12	1552321_a_at
NA	0.35	Homo sapiens mRNA; cDNA DKFZp434N2116 (from clone DKFZp434N2116)	NA	227917_at
C21orf63	0.35	chromosome 21 open reading frame 63	21q22.11	227188_at
OIP106	0.35	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa	3p25.3-p24.1	226013_at
TUBB2	0.35	tubulin, beta, 2	NA	208977_x_at
FLJ23129	0.35	hypothetical protein FLJ23129	1p31.3	220769_s_at
FLJ25791	0.35	hypothetical protein FLJ25791	6q21	239828_at
STI2	0.35	TPR domain containing STI2	3p21.33	230997_at
ELL3	0.35	elongation factor RNA polymerase II-like 3	15q15.1	219517_at
C14orf142	0.35	chromosome 14 open reading frame 142	14q32.13	223273_at
SLC22A16	0.36	solute carrier family 22 (organic cation transporter), member 16	6q22.1	232233_at
TRIM7	0.36	tripartite motif-containing 7	5q35.3	223694_at
KRT4	0.36	keratin 4	12q12-q13	214399_s_at
TFF3	0.36	trefoil factor 3 (intestinal)	21q22.3	204623_at
KCNRG	0.36	potassium channel regulator	13q14.13	239098_at
ABLIM1	0.37	actin binding LIM protein 1	10q25	200965_s_at
NA	0.37	Homo sapiens transcribed sequences	NA	239500_at
TUBA4	0.37	tubulin, alpha 4	2q36.1	207490_at
LOC130752	0.37	hypothetical protein LOC130752	2q34	238721_at
PPIL6	0.37	peptidylprolyl isomerase (cyclophilin)-like 6	6q21	1553684_at
FLJ25124	0.37	hypothetical protein FLJ25124	1q21.2	231118_at
NA	0.37	Homo sapiens transcribed sequences	NA	236682_at
RECQL5	0.37	RecQ protein-like 5	17q25.2-q25.3	229740_at
CGN	0.37	cingulin	1q21	223233_s_at
NA	0.38	Homo sapiens cDNA FLJ43756 fis, clone TESTI2045920	2p23.3	236717_at
CETN2	0.38	centrin, EF-hand protein, 2	Xq28	209194_at
NA	0.38	Homo sapiens transcribed sequences	NA	227533_at
BASP1	0.38	brain abundant, membrane attached signal protein 1	5p15.1-p14	202391_at
TACC2	0.38	transforming, acidic coiled-coil containing protein 2	10q26	202289_s_at
FLJ12953	0.38	hypothetical protein FLJ12953 similar to Mus musculus D3Mm3e	2p13.1	225898_at
MS4A1	0.38	membrane-spanning 4-domains, subfamily A, member 1	11q12	210356_x_at
FLJ32783	0.38	hypothetical protein FLJ32783	Xp11.23	235946_at
TUBB4	0.38	tubulin, beta, 4	16q24.3	202154_x_at
MYO1D	0.39	myosin ID	17q11-q12	212338_at
PTPRN2	0.39	protein tyrosine phosphatase, receptor type, N polypeptide 2	7q36	203029_s_at
TUBA3	0.39	tubulin, alpha 3	12q12-12q14.3	209118_s_at
NA	0.39	Homo sapiens, clone IMAGE:4694422, mRNA	NA	1569675_at
MS4A1	0.39	membrane-spanning 4-domains, subfamily A, member 1	11q12	231418_at
HIST2H2BE	0.39	histone 2, H2be	1q21-q23	202708_s_at
PEN2	0.39	presenilin enhancer 2	19q13.13	218302_at
FLJ32028	0.39	hypothetical protein FLJ32028	4q31.3	238063_at
NA	0.39	Homo sapiens cDNA clone IMAGE:5286266, partial cds	NA	225812_at
TM4SF6	0.39	transmembrane 4 superfamily member 6	Xq22	209109_s_at
LOH11CR2A	0.39	loss of heterozygosity, 11, chromosomal region 2, gene A	11q23	205011_at
GCLM	0.39	glutamate-cysteine ligase, modifier subunit	1p22.1	203925_at
NA	0.39	Homo sapiens cDNA FLJ20031 fis, clone ADSU02180	NA	241359_at
APM2	0.39	adipose specific 2	10q23.31	203571_s_at
NEK11	0.39	NIMA (never in mitosis gene a)- related kinase 11	3q22.1	219542_at
MS4A1	0.39	membrane-spanning 4-domains, subfamily A, member 1	11q12	217418_x_at
VPREB3	0.4	pre-B lymphocyte gene 3	22q11.23	220068_at
NA	0.4	Homo sapiens cDNA FLJ45450 fis, clone BRSTN2002691	NA	230917_at
ANXA11	0.4	annexin A11	10q23	206200_s_at
COBL	0.4	KIAA0633 protein	7p12.2-p12.1	213050_at
TNFRSF21	0.41	tumor necrosis factor receptor superfamily, member 21	6p21.1-12.2	218856_at
CIB1	0.41	calcium and integrin binding 1 (calmyrin)	15q25.3-q26	201953_at
LZTFL1	0.41	leucine zipper transcription factor-like 1	3p21.3	218437_s_at
MGC44593	0.41	hypothetical protein MGC44593	10q21.3	1553630_at
NA	0.41	NA	NA	211200_s_at
MAP17	0.41	membrane-associated protein 17	1p33	219630_at
LOC120379	0.42	hypothetical protein BC019238	11q23.2	235062_at
TACC2	0.42	transforming, acidic coiled-coil containing protein 2	10q26	211382_s_at
CD19	0.42	CD19 antigen	16p11.2	206398_s_at
ASS	0.42	argininosuccinate synthetase	9q34.1	207076_s_at
SYTL4	0.42	synaptotagmin-like 4 (granuphilin-a)	NA	227703_s_at
VILL	0.42	villin-like	3p21.3	209950_s_at
FTHFD	0.42	formyltetrahydrofolate dehydrogenase	3q21.2	205208_at
FLJ11036	0.42	hypothetical protein FLJ11036	3p25.2	222892_s_at
TM4SF6	0.42	transmembrane 4 superfamily member 6	Xq22	209108_at
FKBP1B	0.42	FK506 binding protein 1B, 12.6 kDa	2p24.1	206857_s_at
LOC161577	0.42	LOC161577 protein	15q21.2	243198_at
ARHV	0.43	ras homolog gene family, member V	15q13.3	241990_at
AQP3	0.43	aquaporin 3	9p13	39249_at
ALDH3B2	0.43	aldehyde dehydrogenase 3 family, member B2	11q13	204942_s_at
TUBB4	0.43	tubulin, beta, 4	16q24.3	213476_x_at
NA	0.43	Homo sapiens similar to hypothetical protein MGC38936 (LOC344403), mRNA	2p16.3	229656_s_at
NA	0.43	Homo sapiens, clone IMAGE:5166045, mRNA	NA	229599_at
LOC128153	0.43	hypothetical protein BC014608	1q41	1552269_at
EPPB9	0.44	B9 protein	17p11.2	210534_s_at
TNFSF11	0.44	tumor necrosis factor (ligand) superfamily, member 11	13q14	210643_at
OIP106	0.44	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa	3p25.3-p24.1	214924_s_at
NA	0.44	NA	NA	223695_s_at
