Unigene	Signal Log Ratio	Gene Symbol	Title
Hs.408177	-2.5	EFA6R	ADP-ribosylation factor guanine nucleotide factor 6
Hs.418062	-2.4	B3GALT3	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3
Hs.47122	-2.4	FPGT	fucose-1-phosphate guanylyltransferase
Hs.374524	-2.4	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9
Hs.180414	-2.4	HSPA8	heat shock 70kDa protein 8
Hs.111554	-2.4	ARL7	ADP-ribosylation factor-like 7
Hs.111554	-2.4	ARL7	ADP-ribosylation factor-like 7
Hs.78853	-2.4	UNG	uracil-DNA glycosylase
Hs.436350	-2.4	ZNF302	zinc finger protein 302
Hs.27695	-2.4	MID1	midline 1 (Opitz/BBB syndrome)
Hs.348920	-2.4	FSHPRH1	FSH primary response (LRPR1 homolog, rat) 1
Hs.180414	-2.3	HSPA8	heat shock 70kDa protein 8
Hs.73625	-2.3	KIF20A	kinesin family member 20A
Hs.421956	-2.3	AD024	AD024 protein
Hs.179565	-2.3	MCM3	MCM3 minichromosome maintenance deficient 3 (S.cerevisiae)
Hs.167741	-2.3	BTN3A3	butyrophilin, subfamily 3, member A3
Hs.82502	-2.3	POLD3	polymerase (DNA directed), delta 3
Hs.288178	-2.3	SSA2	Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)
Hs.191435	-2.3	FDFT1	farnesyl-diphosphate farnesyltransferase 1
Hs.287472	-2.3	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
Hs.194665	-2.3	DNA2L	DNA2 DNA replication helicase 2-like (yeast)
Hs.512638	-2.3	TIP120A	TBP-interacting protein
Hs.381285	-2.3	ZNF45	zinc finger protein 45 (a Kruppel-associated box (KRAB) domain polypeptide)
Hs.436593	-2.3	LMAN1	lectin, mannose-binding, 1
Hs.450060	-2.2	WWP1	WW domain-containing protein 1
Hs.22370	-2.2	nexilin	likely ortholog of rat F-actin binding protein nexilin
Hs.134856	-2.2	C1GALT2	core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 2
Hs.31968	-2.2	POT1	protection of telomeres 1
Hs.57664	-2.2	ITGB6	integrin, beta 6
Hs.87507	-2.1	BRIP1	BRCA1 interacting protein C-terminal helicase 1
Hs.105859	-2.1	FLJ10260	hypothetical protein FLJ10260
Hs.385685	-2.1	TRAF5	TNF receptor-associated factor 5
Hs.144906	-2.1	METAP2	methionyl aminopeptidase 2
Hs.306278	-2.1	CD44	CD44 antigen (homing function and Indian blood group system)
Hs.348478	-2	PLSCR1	phospholipid scramblase 1
Hs.300624	-2	AF311304	hypothetical protein AF311304
Hs.23348	-2	SKP2	S-phase kinase-associated protein 2 (p45)
Hs.7243	-2	USP24	ubiquitin specific protease 24
Hs.413671	-2	C14orf135	chromosome 14 open reading frame 135
Hs.199695	-2	MAC30	hypothetical protein MAC30
Hs.444757	-2	KIF1B	kinesin family member 1B
Hs.71465	-2	SQLE	squalene epoxidase
Hs.64542	-2	CPSF6	cleavage and polyadenylation specific factor 6, 68kDa
Hs.93207	-2	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)
Hs.367676	-2	DUT	dUTP pyrophosphatase
Hs.23348	-2	SKP2	S-phase kinase-associated protein 2 (p45)
Hs.446648	-2	AP3B1	adaptor-related protein complex 3, beta 1 subunit
Hs.322903	-2	DIP2	disco-interacting protein 2 (Drosophila) homolog
