Fold change	Public ID	Gene title	Gene symbol	Expression
2.2	X00686	18 SRNA		Up-regulated
2	Y09857	Nephroblastoma overexpressed gene	Nov	Up-regulated
2	M21050	Lysozyme	Lyzs	Up-regulated
2	V00722	Hemoglobin beta adult major chain	Hbb-b1	Up-regulated
2	AI842128	Zinc finger protein 50	Zfp50	Up-regulated
2	AA793086	SH3 multiple domains 2	Sh3md2	Up-regulated
2	AV089517	Unknown		Up-regulated
2	U86783	Nuclear receptor subfamily 4, group A, member 2	Nr4a2	Up-regulated
2	U86783	Nuclear receptor subfamily 4, group A, member 2	Nr4a2	Up-regulated
2	D10632	Zinc finger protein 40	Zfp40	Up-regulated
2	AA245183	mab-21-like 2	Mab2112	Up-regulated
2	L20899	RAS protein-specific guanine nucleotide-releasing factor 1	Rasgrf1	Up-regulated
2	AI841410	Expressed sequence AI591476	AI591476	Up-regulated
2	U29086	Neurogenic differentiation 6	Neurod6	Up-regulated
2	X00687	18 SRNA		Up-regulated
2	X00688	18 SRNA		Up-regulated
?7.2	AF064748	Plasma membrane associated protein, S3–12	S3-12	Down-regulated
?6.2	X75129	Xanthine dehydrogenase	Xdh	Down-regulated
?3.6	AA689927	RIKEN cDNA 9430098E02 gene	9430098E020Rik	Down-regulated
?3.6	AI642033	RIKEN cDNA 4930472G13 gene	4930472G13Rik	Down-regulated
?3.2	AI854841	RIKEN cDNA 2610204K14 gene	2610204K14Rik	Down-regulated
?3.2	L12367	CAP, adenylyl cyclase-associated protein 1	Cap1	Down-regulated
?3.2	AI853439	Archain 1	Arcn1	Down-regulated
?3.2	AI849615	Growth arrest specific 5	Gas 5	Down-regulated
?3.2	U20611	Peroxiredoxin 2	Prdx2	Down-regulated
?2.8	AF109906	Heat shock protein 1B	Hspa1a	Down-regulated
?2.8	AV092014	Unknown, similar to peptidoglycan recognition protein		Down-regulated
?2.8	X04097	DNA segment, Chr 7, Roswell Park 2 complex, expressed	D7Rp2e	Down-regulated
?2.8	AW123269	RIKEN cDNA 2900037l21 gene	2900037l21Rik	Down-regulated
?2.6	AW258842	RIKEN cDNA2510049l19 gene	2510049l19Rik	Down-regulated
?2.6	AW046181	Serum/glucocorticoid regulated kinase	Sgk	Down-regulated
?2.4	Y13344	Adenosine A2a receptor	Adora2a	Down-regulated
?2.4	AW125086	Unknown		Down-regulated
?2.4	AF076482	Peptidoglycan recognition protein	Pglyrp	Down-regulated
?2.4	AV100072	Unknown		Down-regulated
?2.2	M31811	Myelin-associated glycoprotein	Mag	Down-regulated
?2.2	AI843655	RIKEN cDNA 4833420G17 gene	4833420G17Rik	Down-regulated
?2.2	AI845874	Mus musculus transcribed sequences		Down-regulated
?2.2	AW258842	RIKEN cDNA 2510049119 gene	2510049l19Rik	Down-regulated
?2.2	Y00629	Unknown		Down-regulated
?2.2	U81317	Myelin-associated oligodendrocytic basic protein	Mobp	Down-regulated
?2.0	D17584	Tachykinin 1	Tac1	Down-regulated
?2.0	AF006741	Coagulation factor C homolog (Limulus polyphemus)	Coch	Down-regulated
?2.0	M26005	Mouse endogenous retrovirus truncated gag protein		Down-regulated
?2.0	M64086	Serine (or cysteine) proteinase inhibitor, clade A, member 3N	Serpina3n	Down-regulated
?2.0	AF039391	Crystallin, mu	Crym	Down-regulated
?2.0	M16472	Proteolipid Protein (myelin)	Plp	Down-regulated
?2.0 a	AI854841	RIKEN cDNA 2610204K14 gene	2610204K14Rik	Down-regulated
?2.0	X82648	Apolipoprotein D	Apod	Down-regulated
?2.0	M55181	Preproenkephalin 1	Penk1	Down-regulated
?2.0	U93864	Ribosomal protein S11	Rps11	Down-regulated
?2.0	AI850288	RIKEN cDNA C230052112 gene	C230052l12Rik	Down-regulated
?2.0	AJ223362	Myosin, heavy polypeptide 6, cardiac muscle, alpha	Myh6	Down-regulated
