Genbank	Gene name	Gene description	Ratios
W98919	Aldh1b1	aldehyde dehydrogenase 1 family, member B1	0.6
NM_022268	Pygl	liver glycogen phosphorylase	0.6
AI325844	Prg	proteoglycan, secretory granule	0.6
AI894341	Gng2	guanine nucleotide binding protein (G protein), gamma 2 subunit	0.6
W91144	Ang1	Similar to angiotensin precursor	0.6
NM_012495	Aldoa	aldolase A	0.6
AA124831	Rnase2	ribonuclease, RNase A family, 2	0.5
NM_053648	Bcdo	beta-carotene 15, 15-dioxygenase	0.5
M58004	Ccl6	chemokine (C-C motif) ligand 6	0.5
AA178107	Atr	ataxia telangiectasia and rad3 related	0.5
AA155094	Mpeg1	macrophage expressed gene 1	0.5
M12303	Prkaca	protein kinase, cAMP dependent, catalytic, alpha	0.5
AA124809	Ppp4c	protein phosphatase 4, catalytic subunit	0.5
NM_031745	Rsn	restin	0.5
AA290506	Tnfsf6	tumor necrosis factor (ligand) superfamily, member 6	0.5
NM_053527	Cdc5l	cell division cycle 5-like (S, pombe)	0.5
D17630	Il8rbeta	interleukin 8 receptor, beta	0.5
AA166544	Fech	ferrochelatase	0.5
NM_133424	Actn3	actinin alpha 3	0.5
AA146353	Mapk9	mitogen activated protein kinase 9	0.5
NM_145784	Gpr37l1	G protein-coupled receptor 37-like 1	0.5
AA124047	Itgbeta5	integrin beta 5	0.5
AF045184	SNW1	SKI interacting protein	0.5
AB028858	Dnajb10	DnaJ (Hsp40) homolog, subfamily B, member 10	0.5
AI385908	Rpl44	ribosomal protein L44	0.5
AF024637	Tyrobp	TYRO protein tyrosine kinase binding protein	0.5
D10061	Top1	topoisomerase (DNA) I	0.4
AF067395	Bnip3l	BCL2/adenovirus E1B 19kDa-interacting protein 3-like	0.4
AA162498	Ptpre	protein tyrosine phosphatase, receptor type, E	0.4
AA161814	Rab5c	RAB5C, member RAS oncogene family	0.4
NM_012964	Hmmr	hyaluronan mediated motility receptor	0.4
BF720969	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	0.4
BE628323	Smac-pending	second mitochondria-derived activator of caspase	0.4
L20315	Mpeg1	macrophage expressed gene 1	0.4
NM_145784	Gpr37l1	G protein-coupled receptor 37-like 1	0.4
AA067902	Rad18	RAD18 homolog (S, cerevisiae)	0.4
NM_012495	Aldoa	aldolase A	0.4
NM_133303	Bhlhb3	basic helix-loop-helix domain containing, class B3	0.4
AA117446	E2f3	E2F transcription factor 3	0.4
NM_147208	LOC259228	ischemia related factor vof-21	0.4
AA155570	IgE r	Immunoglobulin E binding factor	0.3
AI894360	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.3
NM_017042	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform	0.3
BF016138	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	0.3
AA110682	Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3	0.3
AI894372	Arl3	ADP-ribosylation factor-like 3	0.3
AA162879	Cxcl12	chemokine (C-X-C motif) ligand 12	0.2
AF128188	Ccl6	chemokine (C-C motif) ligand 6	0.2
