ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue	log2(glo/brain_capillary)	Pvalue2
ENSMUSG00000032231	Annexin A2 (Annexin II) (Lipocortin II) (Calpactin I heavy chain	gbctl04_plate16_I05	1.58	0.014	-0.32	0.541
ENSMUSG00000022661	OX-2 membrane glycoprotein precursor (MRC OX-2 antigen).	[MTG_602469306	1.57	0.00517	-1.03	0.234
ENSMUSG00000026360	Regulator of G-protein signaling 2 (RGS2). [Source:Uniprot/S	gbctl04_plate6_G14	1.57	0.00272	-0.79	0.0466
ENSMUSG00000027684	Ecotropic virus integration 1 site protein. [Source:Uniprot/SWI	MTG_602469307	1.56	0.00542	-0.58	0.281
ENSMUSG00000033170	Caspase recruitment domain protein 10 (Bcl10-interacting MA	MTG_602471055	1.56	0.00649	-0.15	0.823
ENSMUSG00000043984		gbctl04_plate15_G20	1.55	0.01929	0.26	0.817
ENSMUSG00000032125	Roundabout homolog 4 precursor. [Source:Uniprot/SWISSPR	MTG_602470736	1.54	0.01524	-1.07	0.135
ENSMUSG00000032220	Myosin If. [Source:Uniprot/SWISSPROT;Acc:P70248]	MTG_602477359	1.52	0.00342	0.58	0.372
ENSMUSG00000033355	28 kDa interferon responsive protein. [Source:Uniprot/SWISS	MTG_602472011	1.52	0.00944	0.82	0.102
ENSMUSG00000053344		MTG_602474446	1.52	0.00272	0.43	0.499
ENSMUSG00000059588	Calcitonin gene-related peptide type 1 receptor precursor (CG	MTG_602467069	1.52	0.00272	0.93	0.0885
ENSMUSG00000026480	neutrophil cytosolic factor 2; NADPH oxidase subunit (67 kD);	MTG_602467813	1.51	0.00976	0.1	0.893
ENSMUSG00000029484	Annexin A3 (Annexin III) (Lipocortin III) (Placental anticoagula	MTG_602467721	1.51	0.00272	0.21	0.838
ENSMUSG00000035227	Microsomal signal peptidase 25 kDa subunit (EC 3.4.-.-) (SPa	MTG_602467122	1.51	0.03673	-0.03	0.965
ENSMUSG00000054364	Transforming protein RhoB (H6). [Source:Uniprot/SWISSPRO	MTG_602475026	1.51	0.01248	0.32	0.569
ENSMUSG00000024074	Cysteine-rich repeat-containing protein CRIM1 precursor (Fra	MTG_602474546	1.49	0.00312	0.4	0.554
ENSMUSG00000052713	zinc finger protein 608. [Source:RefSeq;Acc:NM_175751]	MTG_602471485	1.49	0.01357	0.78	0.382
ENSMUSG00000037003	C1 domain-containing phosphatase and tensin-like protein; te	MTG_602467043	1.48	0.01566	0.08	0.912
ENSMUSG00000043505	Immunity-associated nucleotide 4-like 1 protein (Immunity-ass	MTG_602476926	1.48	0.00728	-0.22	0.696
ENSMUSG00000035353	RAS guanyl releasing protein 3. [Source:RefSeq;Acc:NM_207	gbctl04_plate11_F24	1.47	0.00421	-0.32	0.689
ENSMUSG00000040212	Epithelial membrane protein-3 (EMP-3) (YMP protein) (Hemat	MTG_602470466	1.47	0.01045	-0.8	0.141
ENSMUSG00000046546		MTG_602471228	1.47	0.01132	-0.95	0.236
ENSMUSG00000026813	sialytransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalacto	gbctl04_plate16_I24	1.46	0.00442	1.16	0.0827
ENSMUSG00000028517	Lipid phosphate phosphohydrolase 3 (EC 3.1.3.4) (Phosphatid	MTG_602467668	1.46	0.00307	0.85	0.13
ENSMUSG00000038604	MKIAA1930 protein (Fragment). [Source:Uniprot/SPTREMBL;	MTG_602474744	1.44	0.00269	0.06	0.901
ENSMUSG00000025492	interferon induced transmembrane protein 3; fragilis. [Source:	MTG_602476412	1.43	0.03754	0.92	0.199
ENSMUSG00000053468	Early B-cell factor. [Source:Uniprot/SPTREMBL;Acc:Q8C955]	MTG_602467757	1.43	0.03407	1	0.151
ENSMUSG00000046186	CD109 antigen; GPI-anchored alpha 2 macroglobulin-related	gbctl04_plate11_O11	1.42	0.00265	0.37	0.348
ENSMUSG00000019843	Proto-oncogene tyrosine-protein kinase FYN (EC 2.7.1.112) (	MTG_602469292	1.41	0.00272	0.28	0.491
ENSMUSG00000042745	DNA-binding protein inhibitor ID-1 (ID). [Source:Uniprot/SWIS	MTG_602474003	1.41	0.02691	0.09	0.936
ENSMUSG00000001240	Receptor activity-modifying protein 2 precursor. [Source:Unipr	MTG_602470934	1.4	0.017	-0.77	0.448
ENSMUSG00000019970	Serine/threonine-protein kinase Sgk1 (EC 2.7.1.37) (Serum/gl	MTG_602468044	1.4	0.00367	0.1	0.838
ENSMUSG00000024190	Dual specificity protein phosphatase 1 (EC 3.1.3.48) (EC 3.1.3	MTG_602474213	1.4	0.0129	-0.47	0.296
ENSMUSG00000043421		MTG_602472721	1.4	0.01658	0.02	0.977
ENSMUSG00000013611		gbctl04_plate6_E16	1.39	0.00963	0.47	0.489
ENSMUSG00000029436	Matrix metalloproteinase-17 precursor (EC 3.4.24.-) (MMP-17)	MTG_602471826	1.39	0.00272	-0.81	0.107
ENSMUSG00000031393	Methyl-CpG-binding protein 2 (MeCP-2 protein) (MeCP2). [So	gbctl04_plate8_H02	1.39	0.00272	0.35	0.315
ENSMUSG00000032035	C-ets-1 protein (p54). [Source:Uniprot/SWISSPROT;Acc:P275	MTG_602475030	1.39	0.01359	-0.21	0.755
ENSMUSG00000020077	Secretory granule proteoglycan core protein precursor (Masto	gbctl04_plate6_N15	1.38	0.00436	-0.62	0.104
ENSMUSG00000021912	polybromo 1. [Source:RefSeq;Acc:NM_025847]	gbctl04_plate10_M23	1.38	0.00302	-0.48	0.282
ENSMUSG00000030846	Nucleolysin TIAR (TIA-1 related protein). [Source:Uniprot/SWI	MTG_602467656	1.38	0.00339	0.31	0.481
ENSMUSG00000034485	nuclear membrane binding protein NUCLING. [Source:RefSeq	gbctl04_plate8_E15	1.38	0.00358	-0.47	0.284
ENSMUSG00000041390	kidney cell line derived transcript 1; clone 1.5. [Source:RefSeq	gbctl04_plate13_F22	1.38	0.00307	1.17	0.169
ENSMUSG00000022610	Mitogen-activated protein kinase 12 (EC 2.7.1.37) (Extracellul	gbctl04_plate10_M02	1.35	0.00563	-0.53	0.18
ENSMUSG00000046916	myc target in myeloid cells 1. [Source:RefSeq;Acc:NM_02679	gbctl04_plate3_E08	1.35	0.00639	0.78	0.0648
ENSMUSG00000052911	Laminin beta-2 chain precursor (S-laminin) (S-LAM). [Source:	MTG_602470812	1.35	0.00512	-0.34	0.411
ENSMUSG00000028821	GCIP-interacting protein p29; CCNDBP1 interactor. [Source:R	gbctl04_plate17_H22	1.34	0.0143	-0.27	0.628
ENSMUSG00000034265	zinc finger, DHHC domain containing 14; NEW1 domain conta	iMTG_602477744	1.34	0.00421	-0.07	0.906
ENSMUSG00000027221	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1. [Sour	MTG_602471048	1.33	0.00315	-0.59	0.0836
ENSMUSG00000038827		MTG_602476603	1.32	0.02878	0.47	0.759
ENSMUSG00000041012	Chemokine-like factor super family member 8. [Source:Unipro	MTG_602472541	1.32	0.00415	0.62	0.198
ENSMUSG00000063200	nucleolar protein 7. [Source:RefSeq;Acc:NM_023554]	MTG_602469652	1.32	0.01335	-0.45	0.472
ENSMUSG00000022836	myosin, light polypeptide kinase telokin isoform; kinase-relate	MTG_602472969	1.31	0.00701	-0.17	0.761
ENSMUSG00000038047		gbctl04_plate15_D02	1.31	0.00302	0.05	0.938
ENSMUSG00000042594	Lymphocyte specific adapter protein Lnk (Signal transduction	MTG_602477323	1.3	0.03786	0.06	0.929
ENSMUSG00000020695	mannose receptor, C type 2; novel lectin. [Source:RefSeq;Acc	MTG_602477505	1.29	0.00293	0.04	0.948
ENSMUSG00000023827	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphat	igbctl04_plate14_L16	1.29	0.03883	-0.23	0.704
ENSMUSG00000033565	RNA binding motif protein 9; fox-1 homolog (C. elegans); hexa	MTG_602470921	1.29	0.00951	0.32	0.55
ENSMUSG00000033788		MTG_602473878	1.29	0.00612	-0.62	0.113
ENSMUSG00000033948	Zinc finger SWIM domain containing protein 5. [Source:Unipro	gbctl04_plate7_P03	1.29	0.00739	-0.06	0.935
ENSMUSG00000029218		MTG_602476156	1.28	0.00413	0.52	0.259
ENSMUSG00000038517	ProSAPiP2 protein. [Source:RefSeq;Acc:NM_198100]	MTG_602475587	1.28	0.00316	-0.24	0.656
ENSMUSG00000045680	Transcription factor 21 (Podocyte-expressed 1) (Pod-1) (Epica	gbctl04_plate12_P03	1.28	0.0136	-0.03	0.96
ENSMUSG00000064262	immune-associated nucleotide-binding protein 9. [Source:Ref	gbctl04_plate13_H23	1.28	0.00958	0.75	0.0712
ENSMUSG00000004044	polymerase I and transcript release factor. [Source:RefSeq;Ac	MTG_602469152	1.27	0.00411	-0.3	0.657
ENSMUSG00000031886		MTG_602477770	1.27	0.00931	-0.13	0.938
ENSMUSG00000062585	Cannabinoid receptor 2 (CB2) (CB-2). [Source:Uniprot/SWISS	MTG_602139076	1.27	0.00917	0.67	0.127
ENSMUSG00000020057		MTG_602475937	1.26	0.02046	0.67	0.231
ENSMUSG00000029823	Putative RNA-binding protein Luc7-like 2 (CGI-74 homolog). [	MTG_602467776	1.26	0.00619	0.73	0.396
ENSMUSG00000062078	quaking protein; lethal, Chr 17, U Wisconsin 1. [Source:RefSe	MTG_602467505	1.26	0.00342	0.42	0.188
ENSMUSG00000007872	DNA-binding protein inhibitor ID-3 (ID-like protein inhibitor HL	gbctl04_plate16_D23	1.25	0.00949	-0.34	0.481
ENSMUSG00000034595		MTG_602472630	1.24	0.00307	-0.77	0.0427
ENSMUSG00000037962		MTG_602473124	1.24	0.00585	-0.22	0.652
ENSMUSG00000054808	Alpha-actinin 4 (Non-muscle alpha-actinin 4) (F-actin cross lin	gbctl04_plate5_P10	1.24	0.008	-0.03	0.959
ENSMUSG00000017692	Rhomboid-related protein 4 (EC 3.4.21.-) (Ventrhoid transme	MTG_602476851	1.23	0.00382	0.27	0.816
ENSMUSG00000030315	vestigial like 4; cDNA sequence BC048841. [Source:RefSeq;A	gbctl04_plate13_K20	1.23	0.00477	-0.52	0.307
ENSMUSG00000037060	protein kinase C, delta binding protein. [Source:RefSeq;Acc:N	MTG_602470050	1.23	0.02152	0.19	0.703
ENSMUSG00000039646	Slit-like 2. [Source:RefSeq;Acc:NM_139307]	MTG_602468955	1.23	0.01229	0.86	0.0342
ENSMUSG00000029838	Pleiotrophin precursor (PTN) (Heparin-binding growth-associa	MTG_602467383	1.22	0.01613	0.4	0.397
ENSMUSG00000034659	mitsugumin 23. [Source:RefSeq;Acc:NM_134142]	gbctl04_plate8_H08	1.22	0.01353	0.05	0.936
ENSMUSG00000040950	macrophage galactose N-acetyl-galactosamine specific lectin	MTG_602472754	1.22	0.02631	0.72	0.38
ENSMUSG00000041633	potassium channel tetramerisation domain containing 12b. [S	gbctl04_plate15_I06	1.22	0.00357	0.16	0.716
ENSMUSG00000059013	SH2 domain containing 3C; novel SH2-containing protein 3; C	MTG_602476181	1.22	0.0048	-0.9	0.22
ENSMUSG00000050295	Forkhead box protein C1 (Forkhead-related protein FKHL7) (F	ogbctl04_plate5_I03	1.21	0.01938	0.42	0.641
ENSMUSG00000028917	MKIAA0842 protein (Fragment). [Source:Uniprot/SPTREMBL;	MTG_602138970	1.2	0.03452	0.89	0.0646
ENSMUSG00000032698	Rhombotin-2 (Cysteine-rich protein TTG-2) (T-cell translocatio	MTG_602468175	1.2	0.01037	-0.51	0.554
ENSMUSG00000040624	MKIAA1209 protein (Fragment). [Source:Uniprot/SPTREMBL;	MTG_602468965	1.2	0.0129	0.28	0.561
ENSMUSG00000058013	Septin 8. [Source:Uniprot/SWISSPROT;Acc:Q8CHH9]	MTG_602469106	1.2	0.00367	0.77	0.0491
ENSMUSG00000026923	Neurogenic locus notch homolog protein 1 precursor (Notch 1	gbctl04_plate15_E15	1.19	0.00647	-0.52	0.405
ENSMUSG00000030516	Tight junction protein ZO-1 (Zonula occludens 1 protein) (Zon	MTG_602469593	1.19	0.01209	-0.14	0.811
ENSMUSG00000033392	CLASP2. [Source:Uniprot/SPTREMBL;Acc:Q99JI3]	gbctl04_plate9_H02	1.19	0.00315	-0.05	0.963
ENSMUSG00000035199	ADP-ribosylation factor-like 6 interacting protein 5; ADP-ribosy	gbctl04_plate6_O04	1.19	0.00315	0.65	0.444
ENSMUSG00000038855	Inositol 1 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q8BK	MTG_602476190	1.19	0.00822	-0.6	0.153
ENSMUSG00000041546		gbctl04_plate4_M13	1.19	0.00807	-0.06	0.913
ENSMUSG00000052560	Copine VIII. [Source:Uniprot/SWISSPROT;Acc:Q9DC53]	MTG_602477371	1.19	0.00366	-0.16	0.737
ENSMUSG00000018604	T-box transcription factor TBX3 (T-box protein 3) (Fragment). [	MTG_602472627	1.18	0.00707	-0.1	0.867
ENSMUSG00000037369	Ubiquitously transcribed X chromosome tetratricopeptide repe	MTG_602476644	1.18	0.01547	0.56	0.393
ENSMUSG00000042379	Endothelial cell-specific molecule 1 precursor (ESM-1 secretor	gbctl04_plate16_P06	1.18	0.01536	0.77	0.158
ENSMUSG00000059852		gbctl04_plate6_C24	1.18	0.00497	0.87	0.0852
ENSMUSG00000005893	Orphan nuclear receptor TR4 (Orphan nuclear receptor TAK1)	MTG_602469936	1.17	0.00373	-0.39	0.33
ENSMUSG00000026536	Interferon-activatable protein 203 (Ifi-203) (Interferon-inducible	MTG_602468593	1.17	0.01084	0.57	0.166
ENSMUSG00000027312	Attractin precursor (Mahogany protein). [Source:Uniprot/SWIS	MTG_602474148	1.17	0.04513	2.18	0.0775
ENSMUSG00000032548	Solute carrier organic anion transporter family member 2A1 (S	oMTG_602475396	1.15	0.00796	-0.85	0.0516
ENSMUSG00000041120	Neuroblastoma suppressor of tumorigenicity 1 precursor (Zinc	MTG_602473369	1.15	0.00413	0.07	0.927
ENSMUSG00000047766		MTG_602476953	1.15	0.0116	0.79	0.109
ENSMUSG00000058815	Mesoderm development candidate 1. [Source:Uniprot/SWISS	gbctl04_plate15_J23	1.15	0.00464	-0.04	0.952
ENSMUSG00000061353	Stromal cell-derived factor 1 precursor (SDF-1) (CXCL12) (Pr	gbctl04_plate12_L15	1.15	0.01184	0.46	0.7
ENSMUSG00000027293	EH-domain containing protein 4 (mPAST2). [Source:Uniprot/S	MTG_602469752	1.14	0.03407	-0.1	0.917
ENSMUSG00000048316		MTG_602473021	1.14	0.00428	1.27	0.0983
ENSMUSG00000019947	AT-rich interactive domain-containing protein 5B (ARID domai	gbctl04_plate17_A20	1.13	0.00514	0.5	0.415
ENSMUSG00000034109	golgi phosphoprotein 4. [Source:RefSeq;Acc:NM_175193]	MTG_602476779	1.13	0.00443	0.6	0.135
ENSMUSG00000032187	SWI/SNF related, matrix associated, actin dependent regulato	MTG_602475514	1.12	0.00598	-0.26	0.719
ENSMUSG00000035176	Sphingosine 1-phosphate receptor Edg-3 (S1P receptor Edg-	gbctl04_plate8_O08	1.12	0.01714	-0.73	0.298
ENSMUSG00000033855	Stonin 1 (Stoned B-like factor). [Source:Uniprot/SWISSPROT;	gbctl04_plate7_O10	1.11	0.00937	0.93	0.0315
ENSMUSG00000034341	WW domain binding protein 2 (WBP-2). [Source:Uniprot/SWIS	gbctl04_plate4_G16	1.11	0.00474	0.24	0.603
ENSMUSG00000015452	Advanced glycosylation end product-specific receptor precurs	MTG_602474236	1.1	0.02749	0.29	0.605
ENSMUSG00000001995	MKIAA1389 protein (Fragment). [Source:Uniprot/SPTREMBL;	MTG_602472331	1.09	0.00512	-0.84	0.05
ENSMUSG00000025981		MTG_602467066	1.09	0.02586	0.95	0.078
ENSMUSG00000026538	Interferon-activatable protein 204 (Ifi-204) (Interferon-inducible	gbctl04_plate11_H13	1.09	0.04098	0.92	0.0985
ENSMUSG00000034205	Lysyl oxidase homolog 2 (EC 1.4.3.-) (Lysyl oxidase-like protei	gbctl04_plate14_E12	1.09	0.0075	1.31	0.19
ENSMUSG00000036501		MTG_602471094	1.09	0.01356	0.63	0.215
ENSMUSG00000038259	Growth/differentiation factor 5 precursor (GDF-5). [Source:Uni	MTG_602474642	1.09	0.00574	0.36	0.611
ENSMUSG00000053265		MTG_602470574	1.09	0.03151	0	0.999
ENSMUSG00000012017	Scavenger receptor class F member 2 precursor (Scavenger r	gbctl04_plate4_N21	1.08	0.0352	1	0.0267
ENSMUSG00000014778	formin homology 2 domain containing 1. [Source:RefSeq;Acc:	MTG_602472446	1.08	0.01491	-0.07	0.92
ENSMUSG00000026814	Endoglin precursor (Cell surface MJ7/18 antigen). [Source:Uni	pMTG_602472662	1.08	0.01235	-0.08	0.911
ENSMUSG00000057788		gbctl04_plate8_I08	1.08	0.00457	0.55	0.151
ENSMUSG00000032288	RIKEN cDNA 1190002L16; U3 snoRNP protein 3 homolog (ye	gbctl04_plate15_H09	1.07	0.03237	1.35	0.118
ENSMUSG00000041189	Acetylcholine receptor protein, beta chain precursor. [Source:	gbctl04_plate10_G17	1.07	0.01615	0.03	0.992
ENSMUSG00000044345	MARVEL (membrane-associating) domain containing 1. [Sour	MTG_602474161	1.07	0.00825	0.46	0.53
ENSMUSG00000058070		MTG_602476271	1.07	0.03529	0.33	0.552
ENSMUSG00000006362	core-binding factor, runt domain, alpha subunit 2; translocated	gbctl04_plate3_E12	1.05	0.00419	-0.26	0.571
ENSMUSG00000029163	EMILIN 1 precursor (Elastin microfibril interface-located protei	MTG_602471761	1.05	0.00756	0.98	0.0675
ENSMUSG00000040407	A kinase (PRKA) anchor protein (yotiao) 9. [Source:RefSeq;A	gbctl04_plate13_E06	1.05	0.01235	-0.01	0.995
ENSMUSG00000041921	methionine aminopeptidase-like 1. [Source:RefSeq;Acc:NM_0	MTG_602467457	1.05	0.01358	0.11	0.871
ENSMUSG00000020272	Serine/threonine-protein kinase 10 (EC 2.7.1.37) (Lymphocyte	-MTG_602477555	1.04	0.00563	-0.85	0.0373
ENSMUSG00000030096	Sodium- and chloride-dependent taurine and beta-alanine tran	gbctl04_plate12_H14	1.04	0.01036	-0.81	0.0964
ENSMUSG00000032771	Casein kinase II, alpha chain (CK II) (EC 2.7.1.37). [Source:U	gbctl04_plate10_N08	1.04	0.00433	-0.27	0.596
ENSMUSG00000037933	Cytoskeleton-like bicaudal D protein homolog 2. [Source:Unip	MTG_602471366	1.04	0.00688	-0.46	0.441
ENSMUSG00000031921	Telomeric repeat binding factor 2 (TTAGGG repeat binding fa	MTG_602473337	1.03	0.0058	-0.19	0.629
ENSMUSG00000034842	Ecto-ADP-ribosyltransferase 3 precursor (EC 2.4.2.31) (NAD(	MTG_602468540	1.03	0.01582	-0.47	0.323
ENSMUSG00000047710		gbctl04_plate12_P02	1.03	0.00594	0.06	0.927
ENSMUSG00000062606		MTG_602476016	1.03	0.01599	0.65	0.261
ENSMUSG00000064174		MTG_602468773	1.03	0.0081	0	0.996
ENSMUSG00000005397	Nidogen precursor (Entactin). [Source:Uniprot/SWISSPROT;A	cgbctl04_plate13_A07	1.02	0.00884	-0.04	0.938
ENSMUSG00000006304	Adult male stomach cDNA, RIKEN full-length enriched library,	MTG_602470332	1.02	0.02388	0.72	0.0951
ENSMUSG00000022198	Polyadenylate-binding protein 2 (Poly(A)-binding protein 2) (P	MTG_602467596	1.02	0.00638	0.57	0.118
ENSMUSG00000032724		MTG_602474313	1.02	0.01811	0.7	0.0581
ENSMUSG00000002732	FK506-binding protein 7 precursor (EC 5.2.1.8) (Peptidyl-proly	lgbctl04_plate4_J09	1.01	0.02165	0.5	0.326
ENSMUSG00000024975	programmed cell death 4. [Source:RefSeq;Acc:NM_011050]	MTG_602469293	1.01	0.01209	0.68	0.212
	EST	MTG_602470946	2.45	0.00265	1.37	0.115
	EST	gbctl04_plate17_M02	2.16	0.00264	1.39	0.0968
	EST	gbctl04_plate12_L06	2.12	0.00356	-0.42	0.475
	EST	MTG_602469828	1.69	0.00352	-0.14	0.801
	EST	MTG_602472183	1.67	0.00239	0.03	0.965
	EST	gbctl04_plate17_C23	1.66	0.00302	0.38	0.323
	EST	MTG_602471158	1.56	0.00466	-0.97	0.0484
	EST	MTG_602475451	1.54	0.00255	-0.17	0.792
	EST	MTG_602467608	1.51	0.00297	0.13	0.8
	EST	MTG_602467143	1.44	0.01876	-0.21	0.742
	EST	MTG_602474159	1.31	0.0129	-0.14	0.791
	EST	MTG_602470220	1.28	0.00934	0.39	0.544
	EST	gbctl04_plate13_H24	1.27	0.00474	1.22	0.137
	EST	MTG_602475577	1.19	0.00627	-0.11	0.867
	EST	gbctl04_plate3_I10	1.17	0.01023	0.29	0.613
	EST	MTG_602468043	1.17	0.00917	0.5	0.45
	EST	MTG_602296454	1.15	0.03824	0.9	0.227
	EST	MTG_602467551	1.13	0.00406	0.16	0.867
	EST	MTG_602473648	1.13	0.0113	0.63	0.285
	EST	MTG_602471148	1.11	0.02053	-0.21	0.731
	EST	MTG_602467367	1.11	0.00495	0.15	0.9
	EST	MTG_602469635	1.11	0.01734	0.99	0.0239
	EST	MTG_602475978	1.08	0.00781	-0.42	0.416
	EST	gbctl04_plate5_G03	1.06	0.01132	0.89	0.0392
	EST	MTG_602467001	1.04	0.04592	-0.3	0.509
	EST	MTG_602472533	1.03	0.00748	-0.51	0.235
	EST	MTG_602467781	1.01	0.01448	0.7	0.248
	EST	MTG_602475963	1.01	0.00438	1.36	0.145
