EGID	SYMBOL	GENENAME	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
9282	MED14	mediator complex subunit 14	1569449_a_at	1.06	4.06	6.07	0	0	5.71
8573	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	238699_s_at	1.3	6.45	6.06	0	0	5.68
51071	DERA	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	230892_at	1.87	5.92	5.98	0	0	5.47
4012	LNPEP	leucyl/cystinyl aminopeptidase	231866_at	2.32	6.65	5.98	0	0	5.46
139716	GAB3	GRB2-associated binding protein 3	228410_at	2.43	5.06	5.95	0	0	5.38
84901	NFATC2IP	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	212808_at	1.41	6.88	5.95	0	0	5.38
55466	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	225061_at	3.74	5.21	5.91	0	0	5.27
9500	MAGED1	melanoma antigen family D, 1	244878_at	2.01	5.08	5.89	0	0	5.23
11064	CEP110	centrosomal protein 110kDa	242916_at	1.88	5.4	5.89	0	0	5.21
7627	ZNF75A	zinc finger protein 75a	227670_at	1.69	7.68	5.86	0	0	5.14
283846	DKFZp547E087	hypothetical gene LOC283846	235060_at	1.35	8.95	5.85	0	0	5.12
2820	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	243598_at	1.75	3.51	5.82	0	0	5.04
83999	KREMEN1	kringle containing transmembrane protein 1	235370_at	1.19	5.11	5.81	0	0	5
23353	UNC84A	unc-84 homolog A (C. elegans)	206487_at	1.48	6.19	5.78	0	0	4.93
8502	PKP4	plakophilin 4	236752_at	1.67	7.95	5.78	0	0	4.93
84171	LOXL4	lysyl oxidase-like 4	227145_at	1.29	4.88	5.77	0	0	4.89
54361	WNT4	wingless-type MMTV integration site family, member 4	208606_s_at	2.41	3.87	5.74	0	0	4.83
23380	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	1556203_a_at	1.62	5.18	5.74	0	0	4.81
83541	FAM110A	family with sequence similarity 110, member A	226584_s_at	2.52	6.25	5.72	0	0	4.77
57007	CXCR7	chemokine (C-X-C motif) receptor 7	232746_at	2.64	3.29	5.7	0	0	4.71
7153	TOP2A	topoisomerase (DNA) II alpha 170kDa	237469_at	1.45	5.43	5.7	0	0	4.7
23049	SMG1	PI-3-kinase-related kinase SMG-1	210057_at	1.65	4.7	5.68	0	0	4.66
5128	PCTK2	PCTAIRE protein kinase 2	243993_at	1.97	6.18	5.67	0	0	4.63
132946	ARL9	ADP-ribosylation factor-like 9	229062_at	2.08	4.94	5.63	0	0	4.54
6249	CLIP1	CAP-GLY domain containing linker protein 1	1558924_s_at	1.67	5.19	5.61	0	0	4.48
56961	SHD	Src homology 2 domain containing transforming protein D	227845_s_at	2.43	4.43	5.6	0	0	4.45
25836	NIPBL	Nipped-B homolog (Drosophila)	242352_at	1.66	7.47	5.59	0	0	4.41
83666	PARP9	poly (ADP-ribose) polymerase family, member 9	223220_s_at	2.04	4.77	5.57	0	0	4.36
5422	POLA1	polymerase (DNA directed), alpha 1	1557809_a_at	1.76	6.4	5.5	0	0	4.18
140901	STK35	serine/threonine kinase 35	1562505_at	1.75	5.15	5.48	0	0	4.13
80325	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	226442_at	1.55	4.35	5.47	0	0	4.1
3897	L1CAM	L1 cell adhesion molecule	204584_at	3.1	6.63	5.41	0	0	3.93
221037	JMJD1C	jumonji domain containing 1C	224933_s_at	1.01	7.56	5.39	0	0	3.88
54901	CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	1561025_at	1.95	3.42	5.34	0	0	3.76
6640	SNTA1	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	203516_at	1.27	6.52	5.33	0	0	3.71
116151	C20orf108	chromosome 20 open reading frame 108	224693_at	1.75	7.13	5.29	0	0	3.62
643562	LOC643562	similar to Rho GTPase activating protein 21	241701_at	1.18	5.56	5.24	0	0	3.48
399491	LOC399491	LOC399491 protein	214682_at	1.2	6.06	5.24	0	0	3.48
10984	KCNQ1OT1	KCNQ1 overlapping transcript 1 (non-protein coding)	243435_at	1.26	5.27	5.21	0	0	3.39
2181	ACSL3	acyl-CoA synthetase long-chain family member 3	236168_at	1.24	6.26	5.21	0	0	3.38
23654	PLXNB2	plexin B2	208890_s_at	2.09	7.55	5.2	0	0	3.38
57496	MKL2	MKL/myocardin-like 2	1562497_at	1.97	5.67	5.2	0	0	3.37
4661	MYT1	myelin transcription factor 1	210341_at	1.99	6.45	5.19	0	0	3.34
7403	UTX	ubiquitously transcribed tetratricopeptide repeat, X chromosome	203990_s_at	1.12	6.11	5.19	0	0	3.33
5922	RASA2	RAS p21 protein activator 2	230669_at	1.44	7.65	5.18	0	0	3.32
50649	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4	205109_s_at	2.02	4.64	5.17	0	0	3.3
2491	CENPI	centromere protein I	207590_s_at	1.09	6.63	5.17	0	0	3.29
10521	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	213998_s_at	2.17	7.62	5.17	0	0	3.29
7046	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	239605_x_at	1.25	3.77	5.16	0	0	3.25
10013	HDAC6	histone deacetylase 6	206846_s_at	1.25	7.94	5.15	0	0	3.23
440345	LOC440345	hypothetical protein LOC440345	231989_s_at	1.07	8.51	5.14	0	0	3.21
150368	FAM109B	family with sequence similarity 109, member B	226504_at	1.6	4.84	5.14	0	0	3.2
25878	MXRA5	matrix-remodelling associated 5	209596_at	3.35	3.92	5.11	0	0	3.14
55733	HHAT	hedgehog acyltransferase	1556982_at	1.12	5.48	5.11	0	0	3.14
124602	KIF19	kinesin family member 19	1553314_a_at	2.11	4.37	5.1	0	0	3.11
6574	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	230494_at	1.69	7.9	5.09	0	0	3.06
2332	FMR1	fragile X mental retardation 1	203689_s_at	1.03	9.04	5.08	0	0	3.05
7204	TRIO	triple functional domain (PTPRF interacting)	231403_at	1.57	6.2	5.08	0	0	3.04
57478	USP31	ubiquitin specific peptidase 31	226035_at	2.54	7.91	5.06	0	0	3
11264	PXMP4	peroxisomal membrane protein 4, 24kDa	224210_s_at	1.91	5.74	5.06	0	0	3
56243	KIAA1217	KIAA1217	231807_at	1.63	4.03	5.05	0	0	2.97
23362	PSD3	pleckstrin and Sec7 domain containing 3	203354_s_at	1.85	6.58	5.05	0	0	2.96
253959	GARNL1	GTPase activating Rap/RanGAP domain-like 1	215162_at	1.14	4.55	5.04	0	0	2.93
23332	CLASP1	cytoplasmic linker associated protein 1	240939_x_at	1.42	4.33	5.04	0	0	2.93
94235	GNG8	guanine nucleotide binding protein (G protein), gamma 8	234284_at	4.9	4.78	5.04	0	0	2.93
23523	CABIN1	calcineurin binding protein 1	1557580_at	1.01	5.08	5.03	0	0	2.92
23325	KIAA1033	KIAA1033	212794_s_at	1.06	7.62	5.03	0	0.01	2.9
2521	FUS	fusion (involved in t(12;16) in malignant liposarcoma)	1565716_at	1.5	5.68	5.01	0	0.01	2.87
155382	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	235569_at	1.01	5.74	5.01	0	0.01	2.86
339488	TFAP2E	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon)	1555348_at	1.47	5.14	5.01	0	0.01	2.85
343637	RSPO4	R-spondin family, member 4	237423_at	1.23	3.53	4.97	0	0.01	2.74
84939	MUM1	melanoma associated antigen (mutated) 1	229033_s_at	1.46	6.8	4.96	0	0.01	2.72
4603	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	213906_at	2.81	7.21	4.92	0	0.01	2.62
9738	CP110	CP110 protein	1569353_at	2.21	6.06	4.91	0	0.01	2.58
780	DDR1	discoidin domain receptor tyrosine kinase 1	207169_x_at	2.18	7.4	4.9	0	0.01	2.57
53905	DUOX1	dual oxidase 1	219597_s_at	1	4.29	4.89	0	0.01	2.52
146174	C16orf52	chromosome 16 open reading frame 52	233832_at	1.43	5.34	4.87	0	0.01	2.49
5170	PDPK1	3-phosphoinositide dependent protein kinase-1	204524_at	1.56	7.5	4.86	0	0.01	2.47
758	MPPED1	metallophosphoesterase domain containing 1	206436_at	1.26	5.24	4.86	0	0.01	2.46
7102	TSPAN7	tetraspanin 7	234245_at	1.3	5	4.85	0	0.01	2.43
28955	DEXI	dexamethasone-induced transcript	1558742_at	1.21	4.96	4.85	0	0.01	2.42
150684	COMMD1	copper metabolism (Murr1) domain containing 1	239833_at	1.21	4.5	4.83	0	0.01	2.37
219771	CCNY	cyclin Y	224651_at	1.56	7.8	4.83	0	0.01	2.37
25959	KANK2	KN motif and ankyrin repeat domains 2	218418_s_at	2.4	6.62	4.81	0	0.01	2.32
57718	KIAA1622	KIAA1622	233002_at	2.42	3.89	4.8	0	0.01	2.31
10882	C1QL1	complement component 1, q subcomponent-like 1	205575_at	2.5	5.83	4.8	0	0.01	2.28
255967	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	239393_at	1.85	5.32	4.79	0	0.01	2.26
23589	CARHSP1	calcium regulated heat stable protein 1, 24kDa	218384_at	1.7	9.11	4.78	0	0.01	2.25
89766	UMODL1	uromodulin-like 1	1553183_at	2.6	3.27	4.77	0	0.01	2.21
29066	ZC3H7A	zinc finger CCCH-type containing 7A	226897_s_at	1.33	8.01	4.77	0	0.01	2.21
55857	C20orf19	chromosome 20 open reading frame 19	240521_at	1.22	4.83	4.77	0	0.01	2.21
140710	C20orf117	chromosome 20 open reading frame 117	207711_at	1.35	6.21	4.77	0	0.01	2.2
5228	PGF	placental growth factor	209652_s_at	3.22	5.17	4.76	0	0.01	2.19
27031	NPHP3	nephronophthisis 3 (adolescent)	235432_at	1.8	4.93	4.76	0	0.01	2.19
55268	ECHDC2	enoyl Coenzyme A hydratase domain containing 2	235305_s_at	2	4.42	4.76	0	0.01	2.19
57153	SLC44A2	solute carrier family 44, member 2	224609_at	1.91	6.29	4.75	0	0.01	2.16
23637	RABGAP1	RAB GTPase activating protein 1	204028_s_at	1.06	8.43	4.75	0	0.01	2.16
10648	SCGB1D1	secretoglobin, family 1D, member 1	207910_at	2.05	2.94	4.74	0	0.01	2.13
57674	RNF213	ring finger protein 213	230000_at	1.3	5.23	4.74	0	0.01	2.13
10952	SEC61B	Sec61 beta subunit	244700_at	1.05	3.57	4.73	0	0.01	2.12
9468	PCYT1B	phosphate cytidylyltransferase 1, choline, beta	230085_at	2.3	7.2	4.73	0	0.01	2.11
440354	LOC440354	PI-3-kinase-related kinase SMG-1 pseudogene	244766_at	1.15	6.86	4.73	0	0.01	2.1
51108	METTL9	methyltransferase like 9	230395_at	1.41	6.18	4.73	0	0.01	2.1
4659	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A	201602_s_at	1.58	6.93	4.72	0	0.01	2.08
89797	NAV2	neuron navigator 2	1556606_at	1.5	3.19	4.72	0	0.01	2.08
9737	GPRASP1	G protein-coupled receptor associated sorting protein 1	204793_at	2.12	6.01	4.72	0	0.01	2.07
54675	CRLS1	cardiolipin synthase 1	232198_at	1.14	6.58	4.72	0	0.01	2.07
3070	HELLS	helicase, lymphoid-specific	220085_at	1.1	7.9	4.71	0	0.01	2.06
80258	EFHC2	EF-hand domain (C-terminal) containing 2	220591_s_at	2.09	3.51	4.71	0	0.01	2.06
58508	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	222413_s_at	1.57	7.69	4.7	0	0.01	2.03
6729	SRP54	signal recognition particle 54kDa	1557505_a_at	1.51	5.51	4.7	0	0.01	2.02
51187	C15orf15	chromosome 15 open reading frame 15	222465_at	-1.1	10.41	-4.71	0	0.01	2.05
285521	COX18	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)	227442_at	-1.11	8.24	-4.72	0	0.01	2.09
728568	LOC728568	hypothetical LOC728568	226943_at	-1.1	8.29	-4.77	0	0.01	2.22
285830		hypothetical protein FLJ35429	222279_at	-1.22	6.48	-4.78	0	0.01	2.24
51642	MRPL48	mitochondrial ribosomal protein L48	218281_at	-1.13	8.87	-4.86	0	0.01	2.46
54951	COMMD8	COMM domain containing 8	218351_at	-1.4	8.83	-4.87	0	0.01	2.49
1737	DLAT	dihydrolipoamide S-acetyltransferase	213149_at	-1.23	8.09	-4.87	0	0.01	2.49
152559	PAQR3	progestin and adipoQ receptor family member III	213372_at	-1.4	7.98	-4.94	0	0.01	2.67
623	BDKRB1	bradykinin receptor B1	207510_at	-1.29	4.08	-4.97	0	0.01	2.75
79365	BHLHB3	basic helix-loop-helix domain containing, class B, 3	221530_s_at	-2.43	4.8	-4.98	0	0.01	2.78
84838	ZNF496	zinc finger protein 496	225349_at	-1.31	5.72	-5	0	0.01	2.84
339983	NAT8L	N-acetyltransferase 8-like	235316_at	-1.37	6.82	-5.02	0	0.01	2.89
89849	ATG16L2	ATG16 autophagy related 16-like 2 (S. cerevisiae)	225883_at	-1.02	5.95	-5.02	0	0.01	2.9
3709	ITPR2	inositol 1,4,5-triphosphate receptor, type 2	202661_at	-2.11	4.09	-5.05	0	0	2.98
55330	CNO	cappuccino homolog (mouse)	223431_at	-1.15	7.46	-5.12	0	0	3.15
10418	SPON1	spondin 1, extracellular matrix protein	213993_at	-2.5	3.34	-5.13	0	0	3.17
54726	OTUD4	OTU domain containing 4	220669_at	-1.41	4.45	-5.14	0	0	3.2
92345	NAF1	nuclear assembly factor 1 homolog (S. cerevisiae)	244828_x_at	-1.61	6.84	-5.14	0	0	3.21
2149	F2R	coagulation factor II (thrombin) receptor	1569642_at	-1.03	4.64	-5.2	0	0	3.37
4351	MPI	mannose phosphate isomerase	230524_at	-1.04	5.34	-5.22	0	0	3.42
29953	TRHDE	thyrotropin-releasing hormone degrading enzyme	219937_at	-2.64	4.33	-5.22	0	0	3.43
220323	OAF	OAF homolog (Drosophila)	225510_at	-1.18	5.83	-5.39	0	0	3.88
2046	EPHA8	EPH receptor A8	231796_at	-1.19	5.04	-5.43	0	0	3.99
57492	ARID1B	AT rich interactive domain 1B (SWI1-like)	1566989_at	-1.2	6.22	-5.46	0	0	4.08
81693	AMN	amnionless homolog (mouse)	1563792_at	-1.53	4.55	-5.49	0	0	4.15
51091	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	231730_at	-1.1	4.91	-5.54	0	0	4.3
25898	RCHY1	ring finger and CHY zinc finger domain containing 1	212749_s_at	-1.3	8.48	-5.55	0	0	4.31
54941	RNF125	ring finger protein 125	235199_at	-2.82	4.55	-5.56	0	0	4.33
10227	MFSD10	major facilitator superfamily domain containing 10	209215_at	-1.22	7.02	-5.56	0	0	4.35
2103	ESRRB	estrogen-related receptor beta	1556156_at	-1.8	3.45	-5.57	0	0	4.36
79101	JOSD3	Josephin domain containing 3	221580_s_at	-1.15	10.18	-5.58	0	0	4.38
729683	LOC729683	hypothetical protein LOC729683	236497_at	-1.12	6.52	-5.59	0	0	4.42
5481	PPID	peptidylprolyl isomerase D (cyclophilin D)	204185_x_at	-1.24	9.46	-5.67	0	0	4.62
283392	LOC283392	hypothetical protein LOC283392	1560697_at	-1.06	3.2	-5.69	0	0	4.68
658	BMPR1B	bone morphogenetic protein receptor, type IB	240331_at	-1.75	3.28	-6.36	0	0	6.47
284242	LOC284242	hypothetical protein LOC284242	1560250_s_at	-1.2	3.46	-6.5	0	0	6.85
81579	PLA2G12A	phospholipase A2, group XIIA	221027_s_at	-1.62	7.03	-7.15	0	0	8.51
84264	HAGHL	hydroxyacylglutathione hydrolase-like	223485_at	-1.46	6.58	-7.36	0	0	9.04
124093	CCDC78	coiled-coil domain containing 78	236745_at	-1.75	3.61	-7.41	0	0	9.19
23657	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	209921_at	-2.75	6.91	-8.25	0	0	11.24
