ProbeSetID	Symbol	Cytoband	strWlcxn	P-value	FDR
208971_at	UROD	1p34	4.870	1.12E-06	2.32E-04
217740_x_at	RPL7A	9q34	-4.870	1.12E-06	2.32E-04
212205_at	H2AFV	7p13	4.857	1.19E-06	2.41E-04
212798_s_at	ANKMY2	7p21	4.857	1.19E-06	2.41E-04
218494_s_at	SLC2A4RG	20q13.33	4.857	1.19E-06	2.41E-04
209619_at	CD74	5q32	4.851	1.23E-06	2.45E-04
201131_s_at	CDH1	16q22.1	4.844	1.27E-06	2.45E-04
212841_s_at	PPFIBP2	11p15.4	4.844	1.27E-06	2.45E-04
218096_at	AGPAT5	8p23.1	-4.844	1.27E-06	2.45E-04
219718_at	FLJ10986	1p32.1	4.844	1.27E-06	2.45E-04
216178_x_at	ITGB1	10p11.2	-4.841	1.29E-06	2.45E-04
219340_s_at	CLN8	8p23	-4.841	1.29E-06	2.45E-04
203802_x_at	NSUN5	7q11.23	4.838	1.31E-06	2.45E-04
208024_s_at	DGCR6	22q11.21	4.838	1.31E-06	2.45E-04
208096_s_at	COL21A1	6p12.3-p11.2	4.832	1.35E-06	2.49E-04
210574_s_at	NUDC	1p35-p34	4.825	1.40E-06	2.49E-04
218720_x_at	SEZ6L2	16p11.2	4.825	1.40E-06	2.49E-04
201932_at	LRRC41	1p33	4.819	1.44E-06	2.49E-04
202215_s_at	NFYC	1p32	4.819	1.44E-06	2.49E-04
206583_at	ZNF673	Xp11.3	4.819	1.44E-06	2.49E-04
211416_x_at	GGTLA4	20p11.1	4.819	1.44E-06	2.49E-04
212053_at	KIAA0251	16p13.11	4.819	1.44E-06	2.49E-04
212122_at	RHOQ	2p21	-4.819	1.44E-06	2.49E-04
218731_s_at	VWA1	1p36.33	4.819	1.44E-06	2.49E-04
200006_at	PARK7	1p36.33-p36.12	4.813	1.49E-06	2.55E-04
203379_at	RPS6KA1	1p	4.806	1.54E-06	2.57E-04
203897_at	LYRM1	16p11.2	4.806	1.54E-06	2.57E-04
215506_s_at	DIRAS3	1p31	4.806	1.54E-06	2.57E-04
204224_s_at	GCH1	14q22.1-q22.2	-4.800	1.59E-06	2.61E-04
204670_x_at	HLA-DRB5	6p21.3	4.800	1.59E-06	2.61E-04
202838_at	FUCA1	1p34	4.787	1.69E-06	2.67E-04
206555_s_at	THUMPD1	16p12.2	4.787	1.69E-06	2.67E-04
209919_x_at	GGT1	22q11.23	4.787	1.69E-06	2.67E-04
213272_s_at	TMEM159	16p12	4.787	1.69E-06	2.67E-04
216606_x_at	LYPLA2P1	6p21.32	4.787	1.69E-06	2.67E-04
221790_s_at	LDLRAP1	1p36-p35	4.787	1.69E-06	2.67E-04
202484_s_at	MBD2	18q21	-4.774	1.80E-06	2.76E-04
209184_s_at	IRS2	13q34	-4.774	1.80E-06	2.76E-04
219062_s_at	ZCCHC2	18q21.33	-4.774	1.80E-06	2.76E-04
219922_s_at	LTBP3	11q12	4.774	1.80E-06	2.76E-04
202441_at	ERLIN1	10q21-q22	-4.768	1.86E-06	2.77E-04
207011_s_at	PTK7	6p21.1-p12.2	4.768	1.86E-06	2.77E-04
212792_at	DPY19L1	7p14.3	4.768	1.86E-06	2.77E-04
222324_at	OBSCN	1q42.13	4.768	1.86E-06	2.77E-04
201778_s_at	KIAA0494	1pter-p22.1	4.762	1.92E-06	2.84E-04
217895_at	PTCD3	2p11.2	-4.755	1.98E-06	2.91E-04
208668_x_at	HMGN2	1p36.1	4.749	2.04E-06	2.97E-04
212670_at	ELN	7q11.23	4.749	2.04E-06	2.97E-04
212795_at	KIAA1033	12q24.11	-4.743	2.11E-06	3.02E-04
219136_s_at	TMEM112	16p13.3	4.743	2.11E-06	3.02E-04
201801_s_at	SLC29A1	6p21.2-p21.1	4.736	2.18E-06	3.08E-04
202421_at	IGSF3	1p13	4.736	2.18E-06	3.08E-04
203349_s_at	ETV5	3q28	4.730	2.25E-06	3.16E-04
201777_s_at	KIAA0494	1pter-p22.1	4.724	2.32E-06	3.24E-04
206352_s_at	PEX10	1p36.32	4.717	2.39E-06	3.32E-04
200923_at	LGALS3BP	17q25	4.711	2.47E-06	3.40E-04
201992_s_at	KIF5B	10pter-q22.1	-4.705	2.54E-06	3.49E-04
203261_at	DCTN6	8p12-p11	-4.698	2.62E-06	3.55E-04
210891_s_at	GTF2I	7q11.23	4.698	2.62E-06	3.55E-04
204682_at	LTBP2	14q24	4.692	2.71E-06	3.58E-04
204853_at	ORC2L	2q33	-4.692	2.71E-06	3.58E-04
205906_at	FOXJ1	17q22-q25	4.692	2.71E-06	3.58E-04
213259_s_at	PCFT	17q11.2	4.692	2.71E-06	3.58E-04
206012_at	LEFTY2	1q42.1	4.686	2.79E-06	3.61E-04
206771_at	UPK3A	22q13.31	4.686	2.79E-06	3.61E-04
207131_x_at	GGT1	22q11.23	4.686	2.79E-06	3.61E-04
212383_at	ATP6V0A1	17q21	4.686	2.79E-06	3.61E-04
203665_at	HMOX1	c(22q12, 22q13.1)	-4.679	2.88E-06	3.70E-04
217110_s_at	MUC4	3q29	-4.673	2.97E-06	3.79E-04
203780_at	EVA1	11q24	4.667	3.06E-06	3.82E-04
206249_at	MAP3K13	3q27	4.667	3.06E-06	3.82E-04
209820_s_at	TBL3	16p13.3	4.667	3.06E-06	3.82E-04
221562_s_at	SIRT3	11p15.5	4.667	3.06E-06	3.82E-04
40829_at	WDTC1	1p36.11	4.660	3.16E-06	3.92E-04
214167_s_at	RPLP0-like	2p22.1	-4.654	3.26E-06	4.02E-04
209185_s_at	IRS2	13q34	-4.647	3.36E-06	4.12E-04
201065_s_at	GTF2I	7q11.23	4.641	3.47E-06	4.23E-04
217362_x_at	HLA-DRB6	6p21.3	4.638	3.52E-06	4.27E-04
208855_s_at	STK24	13q31.2-q32.3	-4.635	3.57E-06	4.29E-04
210837_s_at	PDE4D	5q12	-4.635	3.57E-06	4.29E-04
214291_at	RPL17	18q21	-4.632	3.63E-06	4.33E-04
204052_s_at	SFRP4	7p14.1	4.628	3.68E-06	4.35E-04
213529_at	ZNF688	16p11.2	4.628	3.68E-06	4.35E-04
202160_at	CREBBP	16p13.3	4.622	3.80E-06	4.42E-04
203933_at	RAB11FIP3	16p13.3	4.622	3.80E-06	4.42E-04
205025_at	ZBTB48	1p36.3	4.622	3.80E-06	4.42E-04
204452_s_at	FZD1	7q21	4.616	3.92E-06	4.51E-04
220298_s_at	SPATA6	1p33	4.616	3.92E-06	4.51E-04
203773_x_at	BLVRA	7p14-cen	4.609	4.04E-06	4.58E-04
205002_at	AHDC1	1p36.13	4.609	4.04E-06	4.58E-04
218092_s_at	HRB	2q36.3	-4.609	4.04E-06	4.58E-04
220865_s_at	PDSS1	10p12.1	-4.603	4.16E-06	4.70E-04
211057_at	ROR1	1p32-p31	4.600	4.23E-06	4.72E-04
222191_s_at	B4GALT7	5q35.2-q35.3	4.600	4.23E-06	4.72E-04
203511_s_at	TRAPPC3	1p34.3	4.597	4.29E-06	4.72E-04
203534_at	LSM1	8p11.2	-4.597	4.29E-06	4.72E-04
214974_x_at	CXCL5	4q12-q13	-4.597	4.29E-06	4.72E-04
205667_at	WRN	8p12-p11.2	-4.590	4.43E-06	4.84E-04
203712_at	KIAA0020	9p24.2	-4.584	4.56E-06	4.91E-04
202494_at	PPIE	1p32	4.578	4.70E-06	4.91E-04
202590_s_at	PDK2	17q21.33	4.578	4.70E-06	4.91E-04
203818_s_at	SF3A3	1p34.3	4.578	4.70E-06	4.91E-04
204981_at	SLC22A18	11p15.5	4.578	4.70E-06	4.91E-04
205975_s_at	HOXD1	2q31.1	4.578	4.70E-06	4.91E-04
208704_x_at	APLP2	11q23-q25	4.578	4.70E-06	4.91E-04
208854_s_at	STK24	13q31.2-q32.3	-4.578	4.70E-06	4.91E-04
219103_at	DDEFL1	1p36.12	4.578	4.70E-06	4.91E-04
220202_s_at	RC3H2	9q34	-4.578	4.70E-06	4.91E-04
204215_at	C7orf23	7q21.1-q21.2	4.571	4.85E-06	4.96E-04
212223_at	IDS	Xq28	4.571	4.85E-06	4.96E-04
221972_s_at	SDF4	1p36.33	4.571	4.85E-06	4.96E-04
48117_at	CCDC101	16p11.2	4.571	4.85E-06	4.96E-04
