Affi ID	Gene abbreviation	CB 1 Fold Change	CB 2 Fold Change	PB 1 Fold Change	PB 2 Fold Change	Gene name	Function
209550_at	NDN	3.42	1.38	0.17	0.62	Necdin homolog (mouse)	Cell growth and maintenance
207943_x_at	PLAGL1	1.37	1.43	0.57	0.63	Pleiomorphic adenoma gene-like 1	Cell growth and maintenance
204748_at	PTGS2	1.65	1.78	0.14	0.35	Prostaglandin-endoperoxide synthase 2	Cell growth and maintenance
201482_at	QSCN6	1.32	1.23	0.38	0.77	Quiescin Q6	Cell growth and maintenance
203743_s_at	TDG	1.47	1.23	0.54	0.77	Thymine-DNA glycosylase	Cell growth and maintenance
204227_s_at	TK2	2.12	1.26	0.56	0.74	Thymidine kinase 2, mitochondrial	Cell growth and maintenance
207533_at	CCL1	1.67	1.48	0.52	0.49	Chemokine (C-C motif) ligand 1	Cytokines and chemokines
205099_s_at	CCR1	4.7	1.21	0.61	0.79	Chemokine (C-C motif) receptor 1	Cytokines and chemokines
207681_at	CXCR3	1.51	1.33	0.41	0.67	Chemokine (C-X-C motif) receptor 3	Cytokines and chemokines
211469_s_at	CXCR6	1.58	1.95	0.32	0.42	Chemokine (C-X-C motif) receptor 6	Cytokines and chemokines
206613_at	IL-18R1	2.32	1.38	0.61	0.62	Interleukin-18 receptor 1	Cytokines and chemokines
207072_at	IL-18RAP	2.16	1.44	0.46	0.56	Interleukin-18 receptor accessory protein	Cytokines and chemokines
212657_s_at	IL-1RN	1.44	3.12	0.56	0.37	Interleukin 1 receptor	Cytokines and chemokines
206341_at	IL-2RA	1.52	1.27	0.73	0.66	Interleukin-2 receptor alpha	Cytokines and chemokines
202859_x_at	IL-8	1.31	3.75	0.38	0.69	Interleukin-8	Cytokines and chemokines
202643_s_at	TNFAIP3	1.61	1.25	0.67	0.75	Tumour necrosis factor, alpha-induced protein 3	Cytokines and chemokines
202687_s_at	TNFSF10	2.83	1.23	0.67	0.77	Tumour necrosis factor (ligand) superfamily member 10	Cytokines and chemokines
205599_at	TRAF1	2.25	1.32	0.68	0.61	Tumour necrosis factor receptor-associated factor 1	Cytokines and chemokines
202871_at	TRAF4	1.43	1.58	0.57	0.48	Tumour necrosis factor receptor-associated factor 4	Cytokines and chemokines
206366_x_at	XCL1	1.24	2.66	0.46	0.76	Chemokine (C motif) ligand 1	Cytokines and chemokines
210538_s_at	AIP1	1.35	1.54	0.65	0.61	Baculoviral IAP repeat-containing 3	Signal transduction
209369_at	ANXA3	1.39	6.82	0.61	0.05	Annexin A3	Signal transduction
1554343_a_at	BRDG1	1.45	1.67	0.52	0.55	BCR downstream signalling 1	Signal transduction
225946_at	C12orf2	3.2	1.77	0.23	0.23	Ras association (RaIGDS/AF-6) domain family 8	Signal transduction
204392_at	CAMK1	1.26	1.62	0.74	0.54	Calcium/calmodulin-dependent protein kinase I	Signal transduction
231042_s_at	CAMK2D	1.31	1.63	0.25	0.69	Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	Signal transduction
205692_s_at	CD38	1.37	1.29	0.71	0.48	CD38 antigen (p45)	Signal transduction
231747_at	CYSLTR1	3.16	1.45	0.55	0.43	Cysteinyl leukotriene receptor 1	Signal transduction
211272_s_at	DGKA	1.43	1.23	0.77	0.54	Diacylglycerol kinase alpha 80 kDa	Signal transduction
200762_at	DPYSL2	1.35	1.4	0.37	0.65	Dihydropyrimtdinase-like 2	Signal transduction
208370_s_at	DSCR1	1.23	1.9	0.63	0.77	Down syndrome critical region gene 1	Signal transduction
204794_at	DUSP2	1.55	2.57	0.39	0.45	Dual specificity phosphatase 2	Signal transduction
204015_s_at	DUSP4	1.35	2.66	0.65	0.39	Dual specificity phosphatase 4	Signal transduction
211333_s_at	FASLG	1.2	1.37	0.49	0.8	Fas ligand (TNF superfamily, member 6)	Signal transduction
211535_s_at	FGFR1	1.23	2.79	0.7	0.77	Fibroblast growth factor receptor 1	Signal transduction
224148_at	FYB	1.5	1.21	0.45	0.79	FYN binding protein (FYB-120/130)	Signal transduction
209304_x_at	GADD45B	1.55	1.29	0.65	0.71	Growth arrest and DNA-damage-inducible beta	Signal transduction
234284_at	GNG8	1.5	3.16	0.5	0.35	Guanine nucleotide binding protein (G protein), gamma 8	Signal transduction
224285_at	GPR174	1.91	1.42	0.56	0.58	G protein-coupled receptor 174	Signal transduction
223767_at	GPR84	4.41	1.44	0.05	0.56	G protein-coupled receptor 84	Signal transduction
211555_s_at	GUCY1B3	1.66	1.73	0.34	0.03	Guanylate cyclase 1, soluble, beta 3	Signal transduction
38037_at	HBEGF	1.54	1.36	0.55	0.64	Heparin-binding EGF-like growth factor	Signal transduction
203820_s_at	IMP-3	1.83	2.18	0.17	0.17	IGF-II-mRNA-binding protein 3	Signal transduction
203006_at	INPP5A	1.4	1.86	0.6	0.52	Inositol polyphosphate-5-phosphatase, 40 kDa	Signal transduction
231779_at	IRAK2	1.93	1.46	0.46	0.54	Interleukin-1 receptor associated kinase 2	Signal transduction
32137_at	JAG2	1.58	1.29	0.71	0.64	Jagged 2	Signal transduction
203904_x_at	KAI1	1.65	1.59	0.41	0.25	CD82 antigen	Signal transduction
235252_at	KSR	1.72	1.56	0.43	0.44	Kinase suppressor of ras 1	Signal transduction
210948_s_at	LEF1	1.21	1.64	0.41	0.79	Hypothetical protein LOC641518	Signal transduction
203236_s_at	LGALS9	1.48	1.27	0.73	0.51	Lectin, galactoside-binding, soluble, 9 (galectin 9)	Signal transduction
220253_s_at	LRP12	1.27	1.3	0.31	0.73	Low-density lipoprotein-related protein 12	Signal transduction
206637_at	P2RY14	1.32	1.48	0.39	0.68	Purinergic receptor P2Y, G-protein coupled, 14	Signal transduction
210837_s_at	PDE4D	1.35	1.31	0.62	0.69	Phosphodiesterase 4D, cAMP-specific	Signal transduction
206726_at	PGDS	6.45	1.4	0.6	0.43	Prostaglandin D2 synthase, haematopoietic	Signal transduction
210617_at	PHEX	1.53	4.08	0.21	0.47	Phosphate regulating endopeptidase homologue, X-linked	Signal transduction
206370_at	PIK3CG	1.23	1.32	0.5	0.77	Phosphoinositide-3-kinase, catalytic, gamma polypeptide	Signal transduction
205632_s_at	PIP5K1B	1.32	1.42	0.64	0.68	Phosphalidylinositol-4-phosphate 5-kinase, type 1 beta	Signal transduction
215195_at	PRKCA	2.17	1.36	0.64	0.61	Protein kinase C, alpha	Signal transduction
210832_x_at	PTGER3	4.44	1.47	0.07	0.53	Prostaglandin E receptor 3 (subtype EP3)	Signal transduction
1553535_a_at	RANGAP1	1.58	1.39	0.58	0.61	Ran GTPase activating protein 1	Signal transduction
234344_at	RAP2C	1.75	1.26	0.46	0.74	RAP2C, member of RAS oncogene family	Signal transduction
223809_at	RGS18	2.12	1.67	0.15	0.33	Regulator of G-protein signalling 18	Signal transduction
209882_at	RIT1	1.74	1.32	0.63	0.68	Ras-like without CAAX 1	Signal transduction
209451_at	TANK	1.34	1.2	0.42	0.8	TRAF family member-associated NFKB activator	Signal transduction
204924_at	TLR2	1.6	2.52	0.36	0.4	Toll-like receptor 2	Signal transduction
217979_at	TM4SF13	1.21	2.47	0.3	0.79	Tetraspanin 13	Signal transduction
209263_x_at	TM4SF7	2.05	1.41	0.58	0.59	Tetraspanin 4	Signal transduction
1566989_at	ARID1B	1.42	1.27	0.09	0.73	AT-rich interactive domain 1B (SWIl-like)	Transcription
203973_s_at	CEBPD	3.06	1.51	0.33	0.49	CCAAT/enhancer binding protein (C/EBP), delta	Transcription
221598_s_at	CRSP8	1.6	1.29	0.71	0.68	Cofactor required for Spl transcriptional activation, subunit 8, 34 kDa	Transcription
205249_at	EGR2	1.33	4.27	0.67	0.6	Early growth response 2 (Krox-20 homologue, Drosophila)	Transcription
206115_at	EGR3	1.31	6.15	0.69	0.48	Early growth response 3	Transcription
201328_at	ETS2	1.57	1.72	0.43	0.4	V-ets erythroblastosis virus E26 oncogene homologue 2 (avian)	Transcription
218810_at	FLJ23231	2.13	1.37	0.63	0.63	Zinc finger CCCH-type containing 12A	Transcription
209189_at	FOS	21.56	1.31	0.13	0.69	V-fos FBJ murine osteosarcoma viral oncogene homologue	Transcription
223408_s_at	FOXK2	2.26	1.22	0.48	0.78	Forkhead box K2	Transcription
202723_s_at	FOXO1A	1.47	1.27	0.57	0.73	Forkhead box O1A (rhabdomyosarcoma)	Transcription
224211_at	FOXP3	1.62	1.41	0.59	0.23	Forkhead box P3	Transcription
207156_at	HIST1H2AG	1.73	1.3	0.41	0.7	Histone 1, H2ag	Transcription
220042_x_at	HIVEP3	1.26	1.65	0.74	0.56	Human immunodeficiency virus type I enhancer binding protein 3	Transcription
207826_s_at	ID3	1.34	8.64	0.6	0.66	Inhibitor of DNA binding 3, dominant negative helix-loop-hetix protein	Transcription
204549_at	IKBKE	2.33	1.29	0.71	0.66	Inhibitor of kappa light polypeptide gene enhancer in B cells	Transcription
219878_s_at	KLF13	1.89	1.26	0.34	0.74	Kruppel-like factor 13	Transcription
207667_s_at	MAP2K3	1.33	1.28	0.72	0.57	Mitogen-activated protein kinase kinase 3	Transcription
201502_s_at	NFKBIA	2.31	1.29	0.71	0.57	Nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor	Transcription
222105_s_at	NKIRAS2	1.84	1.21	0.69	0.79	NFKB inhibitor interacting Ras-like 2	Transcription
204622_x_at	NR4A2	1.35	4.31	0.65	0.63	Nuclear receptor subfamily 4, group A, member 2	Transcription
207978_s_at	NR4A3	1.33	3.53	0.62	0.67	Nuclear receptor subfamily 4, group A, member 3	Transcription
202600_s_at	NRIPI	1.86	1.39	0.26	0.61	Nuclear receptor interacting protein 1	Transcription
216841_s_at	SOD2	1.25	1.73	0.36	0.75	Superoxide dismutase 2, mitochondrial	Transcription
201416_at	SOX4	1.53	2.21	0.47	0.38	SRY (sex determining region Y)-box 4	Transcription
223635_s_at	SSBP3	2.12	1.25	0.75	0.62	Single-stranded DNA binding protein 3	Transcription
206506_s_at	SUPT3H	1.47	1.31	0.57	0.69	Suppressor of Ty 3 homologue (S. cerevisiae)	Transcription
221618_s_at	TAF9L	1.25	1.49	0.47	0.75	TAF9-like RNA polymerase II	Transcription
203177_x_at	TFAM	1.63	1.23	0.77	0.57	Transcription factor A, mitochondrial	Transcription
213943_at	TWIST1	1.89	3.14	0.04	0.11	Twist homologue 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome)	Transcription
219836_at	ZBED2	1.33	4.76	0.67	0.21	Zinc finger, BED-type containing 2	Transcription
211965_at	ZFP36L1	2.02	1.47	0.29	0.53	Zinc finger protein 36, C3H type-like 1	Transcription
230760_at	ZFY	1.41	1.25	0.75	0.02	Zinc finger protein, Y-linked	Transcription
228854_at	ZNF145	3.26	1.21	0.4	0.79	Transcribed locus	Transcription
235121_at	ZNF542	2.68	1.33	0.63	0.67	Zinc finger protein 542	Transcription
