Probe set ID	Gene name	Gene symbol	Log2 R (B/N)	Log2 R (T/N)
218205_s_at	MAP kinase-interacting serine/threonine kinase 2	MKNK2	-1.1	-1.29
220620_at	NICE-1 protein	NICE-1	-1.1	-2.37
218231_at	N-acetylglucosamine kinase	NAGK	-1.1	-1.76
203585_at	zinc finger protein 185 (LIM domain)	ZNF185	-1.12	-2.57
203771_s_at	biliverdin reductase A	BLVRA	-1.14	-1.79
219090_at	solute carrier family 24, member 3	SLC24A3	-1.15	-2.02
219597_s_at	dual oxidase 1	DUOX1	-1.16	-2.61
214279_s_at	NDRG family member 2	NDRG2	-1.18	-2.37
219104_at	ring finger protein 141	RNF141	-1.18	-2.12
209872_s_at	plakophilin 3	PKP3	-1.19	-1.9
201848_s_at	BCL2/adenovirus E1B 19kDa interacting protein 3	BNIP3	-1.22	-1.92
55872_at	KIAA1196 protein	KIAA1196	-1.23	-1.45
57588_at	solute carrier family 24, member 3	SLC24A3	-1.23	-1.85
212659_s_at	interleukin 1 receptor antagonist	IL1RN	-1.26	-2.52
215440_s_at	hypothetical protein FLJ10097	FLJ10097	-1.28	-1.89
207469_s_at	Pirin	PIR	-1.29	-1.43
202575_at	cellular retinoic acid binding protein 2	CRABP2	-1.29	-2.84
218935_at	EH-domain containing 3	EHD3	-1.3	-2.39
210020_x_at	calmodulin-like 3	CALML3	-1.32	-3.13
203126_at	inositol(myo)-1(or 4)-monophosphatase 2	IMPA2	-1.32	-1.67
206004_at	transglutaminase 3	TGM3	-1.32	-2.61
217508_s_at	hypothetical protein MGC12909	MGC12909	-1.36	-1.94
209465_x_at	pleiotrophin	PTN	-1.37	-2
210096_at	cytochrome P450, family 4, subfamily B, polypeptide 1	CYP4B1	-1.38	-2.94
219983_at	HRAS-like suppressor	HRASLS	-1.39	-1.73
219165_at	PDZ and LIM domain 2 (mystique)	PDLIM2	-1.39	-2.27
206400_at	lectin, galactoside-binding, soluble, 7 (galectin 7)	LGALS7	-1.39	-2.58
204454_at	leucine zipper, down-regulated in cancer 1	LDOC1	-1.44	-1.22
221523_s_at	Ras-related GTP binding D	RRAGD	-1.44	-2.13
219529_at	chloride intracellular channel 3	CLIC3	-1.45	-2.61
208626_s_at	vesicle amine transport protein 1 homolog	VAT1	-1.55	-1.64
205623_at	aldehyde dehydrogenase 3 family, memberA1	ALDH3A1	-1.59	-2.64
211737_x_at	pleiotrophin	PTN	-1.63	-2.27
218484_at	NADH:ubiquinone oxidoreductase	LOC56901	-1.69	-2.66
221524_s_at	Ras-related GTP binding D	RRAGD	-1.72	-2.42
220016_at	hypothetical protein MGC5395	MGC5395	-1.74	-2.2
211734_s_at	Fc fragment of IgE, high affinity I, receptor	FCER1A	-2.03	-2.82
