Probe Set ID	Gene	Ratio	95% Conf. Interval min	95% Conf. Interval max
202992_at	C7	7.4	3.32	16.49
221872_at	RARRES1	7.39	3.69	14.8
209981_at	PIPPIN	7.36	2.49	21.77
219331_s_at	FLJ10748	7.33	4.22	12.75
203088_at	FBLN5	7.24	4.39	11.92
204620_s_at	CSPG2	7.2	3.34	15.52
209505_at	NR2F1	7.09	4.53	11.11
208131_s_at	PTGIS	7.01	4.13	11.9
221127_s_at	RIG	6.99	3.59	13.61
201787_at	FBLN1	6.99	2.94	16.6
219087_at	ASPN	6.89	4.31	11
204041_at	MAOB	6.88	3.72	12.72
215665_at	HSD3B2	6.83	3.81	12.23
203815_at	GSTT1	6.82	3.44	13.54
203440_at	CDH2	6.62	3.18	13.78
201694_s_at	EGR1	6.57	3.53	12.25
207302_at	SGCG	6.55	3.23	13.31
203851_at	IGFBP6	6.51	4.05	10.48
218730_s_at	OGN	6.46	2.47	16.92
205908_s_at	OMD	6.45	3.24	12.83
205957_at	PLXNB3	6.44	3.73	11.1
209167_at	GPM6B	6.44	3.25	12.76
222288_at	---	6.39	3.38	12.1
202196_s_at	DKK3	6.38	3.42	11.9
204288_s_at	ARGBP2	6.34	3.24	12.39
204939_s_at	PLN	6.23	3.53	10.98
214247_s_at	DKK3	6.21	3.78	10.17
205082_s_at	AOX1	6.2	3.04	12.64
205551_at	SV2B	6.17	3.45	11.03
219304_s_at	PDGFD	6.12	4.17	8.98
202291_s_at	MGP	6.09	3.24	11.44
205582_s_at	GGTLA1	6.08	3.37	10.97
209368_at	EPHX2	6.04	3.64	10.03
206126_at	BLR1	6.03	3.6	10.11
202995_s_at	FBLN1	6.02	4.01	9.05
201069_at	MMP2	6	3.73	9.65
203799_at	DCL-1	5.96	3.5	10.13
214255_at	ATP10A	5.93	3.76	9.36
217388_s_at	KYNU	5.88	3.12	11.08
212915_at	PDZRN3	5.86	2.83	12.13
205440_s_at	---	5.85	2.97	11.5
219228_at	ZNF331	5.72	2.49	13.14
214641_at	COL4A3	5.71	2.84	11.48
210145_at	PLA2G4A	5.7	3.27	9.95
203129_s_at	KIF5C	5.7	2.92	11.12
204897_at	PTGER4	5.7	3.13	10.39
218899_s_at	BAALC	5.61	3.39	9.29
219525_at	FLJ10847	5.55	2.62	11.72
202704_at	TOB1	5.51	3.63	8.39
211817_s_at	KCNJ5	5.49	3.2	9.42
215323_at	LOC338645	5.48	2.02	14.9
214985_at	---	5.41	2.93	9.99
207191_s_at	ISLR	5.4	3.28	8.87
214602_at	COL4A4	5.38	2.69	10.75
209687_at	CXCL12	5.37	2.68	10.77
210721_s_at	PAK7	5.35	2.93	9.79
204534_at	VTN	5.34	3.43	8.33
209960_at	HGF	5.32	2.87	9.85
201473_at	JUNB	5.3	3.59	7.83
214265_at	ITGA8	5.29	3.76	7.43
207175_at	ACDC	5.27	1.86	14.9
214610_at	CYP11B1	5.25	2.41	11.44
209763_at	CHRDL1	5.25	2.45	11.23
207026_s_at	ATP2B3	5.23	2.51	10.9
218976_at	DNAJC12	5.22	2.86	9.52
214981_at	POSTN	5.2	2.63	10.28
203988_s_at	FUT8	5.19	2.62	10.28
205384_at	FXYD1	5.1	3.15	8.27
215081_at	KIAA1024	5.09	2.1	12.31
201792_at	AEBP1	5.07	2.87	8.95
208747_s_at	C1S	5.05	3.36	7.59
205907_s_at	OMD	5.02	2.43	10.38
204931_at	TCF21	4.99	2.83	8.81
204916_at	RAMP1	4.98	3.13	7.94
215388_s_at	CFHL1 /// CFH	4.98	2.76	8.97
205533_s_at	CDH6	4.95	2.58	9.51
201860_s_at	PLAT	4.87	3.39	7
219873_at	COLEC11	4.82	2.98	7.79
205357_s_at	AGTR1	4.8	3.53	6.53
208859_s_at	ATRX	4.79	2.82	8.15
219197_s_at	SCUBE2	4.77	3.06	7.46
209840_s_at	LRRN3	4.77	2.44	9.3
210461_s_at	ABLIM1	4.63	2.58	8.32
201693_s_at	EGR1	4.63	2.27	9.46
209821_at	C9orf26	4.62	2.35	9.08
207226_at	HIST1H2BN	4.6	2.29	9.25
219407_s_at	LAMC3	4.59	2.68	7.85
201525_at	APOD	4.58	2.24	9.38
209230_s_at	P8	4.55	3.19	6.5
219093_at	FLJ20701	4.54	2.92	7.07
203505_at	ABCA1	4.52	2.54	8.04
209596_at	DKFZp564I1922	4.51	2.56	7.98
209993_at	ABCB1	4.49	2.58	7.82
213844_at	HOXA5	4.49	2.41	8.36
204472_at	GEM	4.48	1.68	11.94
207677_s_at	NCF4	4.43	2.24	8.77
213905_x_at	BGN /// SDCCAG33	4.42	2.95	6.61
205633_s_at	ALAS1	4.39	2.38	8.11
204051_s_at	SFRP4	4.33	2.73	6.87
203903_s_at	HEPH	4.32	2.62	7.13
209841_s_at	LRRN3	4.29	2.1	8.76
212067_s_at	C1R	4.28	2.89	6.34
220454_s_at	SEMA6A	4.27	3.41	5.35
205200_at	TNA	4.24	2.3	7.82
204964_s_at	SSPN	4.22	2.84	6.26
203425_s_at	IGFBP5	4.22	2.47	7.22
203797_at	VSNL1	4.22	2.73	6.51
205858_at	NGFR	4.2	1.92	9.18
200965_s_at	ABLIM1	4.2	2.75	6.41
209506_s_at	NR2F1	4.2	2.82	6.26
210198_s_at	PLP1	4.2	2.19	8.07
218935_at	EHD3	4.2	2.5	7.05
214520_at	FOXC2	4.18	2.18	8.01
36711_at	MAFF	4.16	2.54	6.83
205952_at	KCNK3	4.16	2.94	5.9
209468_at	LRP5	4.16	2.49	6.97
220415_at	TNNI3K	4.16	2	8.66
211182_x_at	RUNX1	4.16	1.67	10.34
207864_at	SCN7A	4.09	2.45	6.83
210500_at	---	4.09	2.46	6.77
220318_at	EPN3	4.08	2.17	7.68
202145_at	LY6E	4.07	2.46	6.75
216893_s_at	COL4A3	4.07	2.42	6.84
202936_s_at	SOX9	4.06	2.25	7.3
206702_at	TEK	4.05	2.49	6.57
204567_s_at	ABCG1	4.02	2.66	6.06
213800_at	CFH	3.99	2.37	6.72
211958_at	IGFBP5	3.99	3.07	5.17
219423_x_at	TNFRSF25	3.98	2.32	6.82
203786_s_at	TPD52L1	3.97	2.42	6.52
204431_at	TLE2	3.97	2.52	6.27
212859_x_at	MT1E	3.9	2.48	6.11
205911_at	PTHR1	3.89	2.96	5.1
213298_at	NFIC	3.88	2.23	6.78
204869_at	PCSK2	3.88	1.92	7.82
210657_s_at	PNUTL2	3.83	2.41	6.1
217127_at	CTH	3.8	1.76	8.22
219332_at	MICAL-L2	3.77	2.57	5.53
213524_s_at	G0S2	3.76	2.02	6.97
216819_at	---	3.75	1.63	8.6
207248_at	KCNA4	3.75	2.58	5.44
213904_at	---	3.69	2.28	5.95
209967_s_at	CREM	3.68	2.56	5.27
208224_at	HOXB1	3.66	2.38	5.64
202686_s_at	AXL	3.64	1.91	6.93
215911_x_at	ATP2B3	3.63	2.38	5.54
201531_at	ZFP36	3.62	2.08	6.32
205651_x_at	RAPGEF4	3.61	2.41	5.38
204793_at	GPRASP1	3.6	2.66	4.89
212803_at	NAB2	3.59	2.36	5.45
202308_at	SREBF1	3.58	2.17	5.92
203295_s_at	ATP1A2	3.58	1.55	8.25
209220_at	GPC3	3.58	1.9	6.72
207118_s_at	MMP23B /// MMP23A	3.55	2.13	5.93
221496_s_at	TOB2	3.55	2.29	5.5
204238_s_at	C6orf108	3.55	2.09	6.04
201272_at	AKR1B1	3.54	1.94	6.48
201615_x_at	CALD1	3.53	2.19	5.71
220911_s_at	KIAA1305	3.53	1.59	7.85
206929_s_at	NFIC	3.53	1.91	6.53
216979_at	NR4A3	3.52	1.99	6.23
202555_s_at	MYLK	3.52	2.56	4.83
220061_at	FLJ20581	3.51	2.05	6
218087_s_at	SORBS1	3.51	2.05	5.99
213411_at	ADAM22	3.49	2.11	5.76
218638_s_at	SPON2	3.47	2.5	4.82
207501_s_at	FGF12	3.46	2.25	5.34
213068_at	DPT	3.46	2.04	5.88
222080_s_at	RANBP9	3.46	1.94	6.17
204442_x_at	LTBP4	3.46	1.96	6.09
201631_s_at	IER3	3.45	1.8	6.61
220319_s_at	MYLIP	3.45	2.15	5.54
213765_at	MFAP5	3.45	1.65	7.18
201540_at	FHL1	3.42	2.06	5.69
201261_x_at	BGN	3.41	2.36	4.93
204392_at	CAMK1	3.4	2.14	5.41
219550_at	ROBO3	3.37	1.58	7.19
209211_at	KLF5	3.36	2.07	5.45
209079_x_at	PCDHGA11 /// PCDHGA5 /// PCDHGB6 /// PCDHGB1 /// PCDHGA6 /// PCDHGA7 /// PCDHGB5 /// PCDHGC5 /// PCDHGB4 /// PCDHGA9 /// PCDHGA3 /// PCDHGC3 /// PCDHGB3 /// PCDHGA2 //	3.36	2.09	5.4
204781_s_at	TNFRSF6	3.35	2.13	5.28
211726_s_at	FMO2	3.35	2.09	5.37
218168_s_at	CABC1	3.35	2.41	4.66
219144_at	MGC1136	3.35	2.1	5.33
209119_x_at	NR2F2	3.35	2.11	5.32
221748_s_at	TNS	3.33	2.33	4.76
213553_x_at	APOC1	3.32	2.27	4.87
206115_at	EGR3	3.32	1.92	5.76
202687_s_at	TNFSF10	3.32	2.41	4.57
203585_at	ZNF185	3.31	2.08	5.26
203835_at	GARP	3.3	2.04	5.35
58916_at	KCTD14	3.26	1.95	5.45
221541_at	DKFZP434B044	3.24	2.34	4.49
203426_s_at	IGFBP5	3.23	2.25	4.64
218844_at	FLJ20920	3.2	2.12	4.82
218651_s_at	FLJ11196	3.18	1.68	6.03
206453_s_at	NDRG2	3.18	2.31	4.39
206489_s_at	DLGAP1	3.18	1.92	5.26
201990_s_at	CREBL2	3.18	2.35	4.31
217334_at	OR2J3	3.14	1.72	5.77
210226_at	NR4A1	3.14	1.98	4.99
209708_at	MOXD1	3.14	2.26	4.37
205531_s_at	GLS2	3.13	1.79	5.5
205984_at	CRHBP	3.13	2.08	4.72
201926_s_at	DAF	3.12	2.15	4.54
216336_x_at	---	3.11	1.88	5.14
213059_at	CREB3L1	3.11	1.96	4.92
221369_at	MTNR1A	3.1	1.63	5.91
204880_at	MGMT	3.1	2.08	4.61
208836_at	ATP1B3	3.09	1.55	6.16
201041_s_at	DUSP1	3.09	2.3	4.15
219316_s_at	C14orf58	3.09	1.83	5.2
210628_x_at	LTBP4	3.08	2.03	4.68
205208_at	FTHFD	3.08	2.12	4.49
40837_at	TLE2	3.07	2.14	4.39
213974_at	ADAMTSL3	3.06	2.18	4.3
210479_s_at	RORA	3.06	2	4.69
201369_s_at	ZFP36L2	3.05	2.01	4.62
208016_s_at	AGTR1	3.04	2.12	4.35
206085_s_at	CTH	3.04	1.38	6.69
221846_s_at	CASKIN2	3.03	2	4.61
210426_x_at	RORA	3.02	1.98	4.61
202081_at	IER2	3.02	2.11	4.32
203973_s_at	CEBPD	3.01	1.85	4.9
221747_at	TNS	3.01	2.21	4.09
201236_s_at	BTG2	3	1.97	4.58
208581_x_at	MT1X	3	1.99	4.53
201925_s_at	DAF	2.99	1.77	5.04
217997_at	PHLDA1	2.99	1.79	4.99
204610_s_at	DIPA	2.99	2	4.46
210414_at	FLRT1	2.98	1.82	4.88
206137_at	RIMS2	2.97	2.14	4.12
200710_at	ACADVL	2.97	2.33	3.79
200986_at	SERPING1	2.97	2.25	3.92
204368_at	SLCO2A1	2.96	2.18	4.03
213464_at	SHC2	2.96	1.92	4.56
201508_at	IGFBP4	2.95	1.78	4.88
205547_s_at	TAGLN	2.94	1.8	4.78
218656_s_at	LHFP	2.93	1.89	4.52
218164_at	SSP411	2.92	2.08	4.11
205225_at	ESR1	2.92	1.76	4.83
203146_s_at	GABBR1	2.91	1.95	4.35
203657_s_at	CTSF	2.91	2.17	3.9
204048_s_at	PHACTR2	2.9	1.95	4.31
204462_s_at	SLC16A2	2.88	1.96	4.23
201432_at	CAT	2.87	2.18	3.78
209815_at	PTCH	2.86	1.82	4.49
216986_s_at	IRF4	2.86	1.72	4.74
216624_s_at	MLL	2.83	1.88	4.29
219371_s_at	KLF2	2.83	1.69	4.75
206709_x_at	GPT	2.83	1.92	4.18
60474_at	C20orf42	2.83	1.8	4.44
217996_at	PHLDA1	2.83	2.14	3.73
207386_at	CYP7B1	2.82	1.76	4.52
216474_x_at	TPSAB1 /// TPSB2	2.81	1.68	4.72
205008_s_at	CIB2	2.81	1.85	4.27
211113_s_at	ABCG1	2.81	1.88	4.21
201368_at	ZFP36L2	2.81	2	3.94
217973_at	DCXR	2.8	1.85	4.25
210365_at	RUNX1	2.78	1.87	4.14
221401_at	CACNG5	2.78	1.61	4.78
219483_s_at	PORCN	2.78	1.96	3.93
210751_s_at	RGN	2.78	1.77	4.35
208790_s_at	PTRF	2.77	1.69	4.56
204451_at	FZD1	2.77	1.73	4.41
204231_s_at	FAAH	2.75	2.05	3.68
212473_s_at	MICAL2	2.74	1.98	3.78
205019_s_at	VIPR1	2.72	1.72	4.32
210372_s_at	TPD52L1	2.72	1.68	4.4
202096_s_at	BZRP	2.71	2.12	3.47
202075_s_at	PLTP	2.71	1.96	3.75
202617_s_at	MECP2	2.7	1.91	3.82
208056_s_at	CBFA2T3	2.7	2.01	3.61
203499_at	EPHA2	2.69	1.83	3.94
204570_at	COX7A1	2.68	1.43	5.05
204294_at	AMT	2.68	1.89	3.78
209487_at	RBPMS	2.67	1.86	3.82
204813_at	MAPK10	2.67	2.18	3.26
209164_s_at	CYB561	2.67	1.54	4.61
209355_s_at	PPAP2B	2.66	1.7	4.16
219255_x_at	IL17RB	2.65	1.77	3.99
207497_s_at	MS4A2	2.65	1.78	3.95
204004_at	PAWR	2.65	1.89	3.71
208789_at	PTRF	2.65	1.83	3.82
202825_at	SLC25A4	2.65	1.73	4.05
214508_x_at	CREM	2.65	1.63	4.31
210942_s_at	SIAT10	2.65	1.95	3.6
209436_at	SPON1	2.64	2.04	3.43
212185_x_at	---	2.64	1.83	3.82
215479_at	SEMA6A	2.64	1.86	3.74
218154_at	GSDMDC1	2.64	1.88	3.69
218878_s_at	SIRT1	2.63	2.06	3.36
202180_s_at	MVP	2.63	1.83	3.77
202257_s_at	CD2BP2	2.63	1.9	3.63
204047_s_at	PHACTR2	2.63	2.04	3.37
213990_s_at	PAK7	2.61	1.77	3.85
219419_at	C18orf22	2.6	1.8	3.77
209291_at	ID4	2.6	1.64	4.12
207992_s_at	AMPD3	2.6	1.81	3.73
211456_x_at	---	2.57	1.72	3.83
204673_at	MUC2	2.57	1.52	4.34
215485_s_at	ICAM1	2.56	1.61	4.09
209940_at	PARP3	2.56	1.64	3.99
206461_x_at	MT1H	2.56	1.67	3.93
218523_at	LHPP	2.55	1.68	3.87
48031_r_at	C5orf4	2.55	1.7	3.82
204326_x_at	MT1X	2.55	1.63	3.99
219716_at	APOL6	2.54	1.79	3.61
218501_at	ARHGEF3	2.54	1.55	4.14
205116_at	LAMA2	2.53	1.64	3.93
216601_at	LOC90586	2.53	1.46	4.38
212813_at	JAM3	2.53	1.98	3.22
206349_at	LGI1	2.52	1.65	3.85
217525_at	OLFML1	2.52	1.7	3.73
202746_at	ITM2A	2.51	1.52	4.14
200675_at	CD81	2.5	1.95	3.21
209966_x_at	ESRRG	2.48	1.65	3.72
211304_x_at	KCNJ5	2.47	1.86	3.29
209212_s_at	KLF5	2.47	1.76	3.48
220975_s_at	C1QTNF1	2.47	1.81	3.36
213374_x_at	HIBCH	2.46	1.79	3.38
216017_s_at	NAB2	2.46	1.49	4.06
214627_at	EPX	2.45	1.72	3.5
205203_at	PLD1	2.45	1.81	3.32
201262_s_at	BGN	2.45	1.73	3.48
206762_at	KCNA5	2.45	1.45	4.13
212226_s_at	PPAP2B	2.45	1.9	3.16
202862_at	FAH	2.45	1.62	3.71
215638_at	ERBB3	2.45	1.73	3.47
210300_at	REM1	2.45	1.63	3.68
211998_at	H3F3B	2.45	1.64	3.65
209236_at	SLC23A2	2.44	1.61	3.68
46142_at	FLJ12681	2.44	1.94	3.05
200785_s_at	LRP1	2.43	1.53	3.87
208429_x_at	HNF4A	2.43	1.58	3.73
217999_s_at	---	2.43	1.85	3.18
214279_s_at	NDRG2	2.42	1.64	3.57
201989_s_at	CREBL2	2.42	1.73	3.39
205717_x_at	PCDHGA11 /// PCDHGA5 /// PCDHGB6 /// PCDHGB1 /// PCDHGA6 /// PCDHGA7 /// PCDHGB5 /// PCDHGC5 /// PCDHGB4 /// PCDHGA9 /// PCDHGA3 /// PCDHGC3 /// PCDHGB3 /// PCDHGA2 //	2.41	1.72	3.37
207312_at	PHKG1	2.41	1.57	3.7
219916_s_at	RNF39	2.4	1.72	3.37
213428_s_at	COL6A1	2.4	1.63	3.54
211986_at	AHNAK	2.4	1.67	3.45
216565_x_at	---	2.4	1.71	3.37
221769_at	SSB3	2.39	1.65	3.48
38487_at	STAB1	2.39	1.83	3.12
209794_at	SRGAP2	2.39	1.51	3.77
202054_s_at	ALDH3A2	2.38	1.68	3.38
213315_x_at	CXorf40	2.38	1.3	4.34
209427_at	SMTN	2.37	1.71	3.3
202590_s_at	PDK2	2.37	1.87	3.02
177_at	PLD1	2.37	1.65	3.41
203206_at	KIAA0140	2.37	1.76	3.19
209716_at	CSF1	2.37	1.72	3.25
204225_at	HDAC4	2.37	1.64	3.41
221049_s_at	POLL	2.36	1.42	3.93
211067_s_at	GAS7	2.36	1.61	3.44
209121_x_at	NR2F2	2.35	1.68	3.29
219396_s_at	NEIL1	2.34	1.63	3.36
212414_s_at	12:00 AM	2.34	1.88	2.91
204187_at	GMPR	2.34	1.59	3.45
202182_at	GCN5L2	2.33	1.77	3.06
205353_s_at	PBP	2.32	1.52	3.53
210172_at	SF1	2.31	1.47	3.64
203984_s_at	CASP9	2.31	1.3	4.1
205011_at	LOH11CR2A	2.31	1.68	3.18
204745_x_at	MT1G	2.31	1.65	3.23
57540_at	RBKS	2.31	1.61	3.3
212503_s_at	KIAA0934	2.31	1.74	3.05
214505_s_at	FHL1	2.31	1.58	3.37
213675_at	---	2.31	1.81	2.94
217200_x_at	---	2.3	1.35	3.9
32625_at	NPR1	2.29	1.32	3.97
207630_s_at	CREM	2.29	1.4	3.74
61297_at	CASKIN2	2.28	1.68	3.1
212169_at	FKBP9	2.28	1.64	3.18
219637_at	FLJ12584	2.28	1.65	3.15
212319_at	RUTBC1	2.28	1.67	3.1
201349_at	SLC9A3R1	2.27	1.54	3.35
37022_at	PRELP	2.27	1.66	3.09
36553_at	---	2.27	1.67	3.08
220874_at	---	2.26	1.42	3.6
208861_s_at	ATRX	2.26	1.65	3.1
210778_s_at	MXD4	2.24	1.79	2.81
203185_at	RASSF2	2.24	1.65	3.04
212961_x_at	CXorf40	2.24	1.29	3.88
212856_at	KIAA0767	2.23	1.55	3.22
209915_s_at	NRXN1	2.23	1.35	3.69
212077_at	CALD1	2.23	1.53	3.25
203758_at	CTSO	2.23	1.87	2.66
217474_at	---	2.22	1.49	3.31
207480_s_at	MEIS2	2.21	1.7	2.88
211356_x_at	LEPR	2.21	1.64	2.97
210722_at	PNLIPRP1	2.21	1.32	3.7
37005_at	NBL1	2.21	1.52	3.2
221588_x_at	ALDH6A1	2.21	1.73	2.81
208912_s_at	CNP	2.21	1.66	2.93
218285_s_at	DHRS6	2.21	1.62	3.01
218421_at	CERK	2.2	1.5	3.21
203759_at	SIAT4C	2.19	1.7	2.83
219315_s_at	C16orf30	2.19	1.76	2.73
215515_at	---	2.19	1.23	3.88
207390_s_at	SMTN	2.19	1.67	2.87
203749_s_at	RARA	2.17	1.49	3.18
209747_at	TGFB3	2.17	1.68	2.82
203666_at	CXCL12	2.16	1.39	3.36
210825_s_at	PBP	2.15	1.51	3.05
219336_s_at	ASCC1	2.14	1.5	3.06
57715_at	FAM26B	2.14	1.5	3.06
211922_s_at	CAT	2.14	1.51	3.02
203524_s_at	MPST	2.13	1.67	2.72
202171_at	ZNF161	2.13	1.68	2.71
206580_s_at	EFEMP2	2.13	1.63	2.78
220612_at	MGC4308	2.12	1.49	3.02
214583_at	RSC1A1	2.12	1.4	3.19
203113_s_at	EEF1D	2.1	1.71	2.58
218486_at	TIEG2	2.1	1.44	3.07
209543_s_at	CD34	2.1	1.48	2.99
215190_at	GA17	2.09	1.49	2.92
202808_at	C10orf26	2.09	1.66	2.63
211819_s_at	SORBS1	2.08	1.46	2.95
209488_s_at	RBPMS	2.07	1.47	2.93
214077_x_at	MEIS4	2.06	1.48	2.87
204759_at	CHC1L	2.06	1.43	2.98
202897_at	PTPNS1	2.06	1.61	2.64
208994_s_at	PPIG	2.06	1.45	2.93
202136_at	ZMYND11	2.05	1.66	2.55
212099_at	RHOB	2.05	1.57	2.69
213642_at	---	2.04	1.56	2.69
215982_s_at	DOM3Z	2.04	1.56	2.66
218552_at	FLJ10948	2.04	1.61	2.58
209477_at	EMD	2.03	1.63	2.54
212413_at	12:00 AM	2.03	1.62	2.55
221240_s_at	B3GNT4	2.03	1.39	2.96
209240_at	OGT	2.02	1.56	2.6
211941_s_at	PBP	2.01	1.38	2.94
222205_x_at	---	2.01	1.48	2.71
209494_s_at	ZNF278	2	1.51	2.64
221016_s_at	TCF7L1	2	1.38	2.89
214112_s_at	CXorf40	1.99	1.42	2.79
217806_s_at	POLDIP2	1.99	1.46	2.72
209253_at	SCAM-1	1.99	1.57	2.53
215693_x_at	DDX27	1.99	1.42	2.78
213527_s_at	LOC146542	1.98	1.47	2.68
212472_at	MICAL2	1.98	1.48	2.65
202524_s_at	SPOCK2	1.98	1.39	2.81
205236_x_at	SOD3	1.98	1.28	3.05
204276_at	TK2	1.97	1.5	2.6
217969_at	C11orf2	1.97	1.56	2.51
209417_s_at	IFI35	1.97	1.54	2.53
38149_at	ARHGAP25	1.97	1.43	2.72
201605_x_at	CNN2	1.97	1.48	2.61
212230_at	PPAP2B	1.97	1.51	2.56
218166_s_at	HBXAP	1.96	1.6	2.4
220143_x_at	LUC7L	1.96	1.47	2.6
201315_x_at	IFITM2	1.95	1.34	2.86
200725_x_at	RPL10	1.95	1.61	2.37
210775_x_at	CASP9	1.95	1.14	3.33
204436_at	pp9099	1.95	1.37	2.77
217719_at	EIF3S6IP	1.95	1.61	2.36
33197_at	MYO7A	1.95	1.52	2.5
222025_s_at	OPLAH	1.95	1.53	2.48
205469_s_at	IRF5	1.95	1.4	2.7
216264_s_at	LAMB2	1.95	1.5	2.53
201557_at	VAMP2	1.94	1.28	2.95
214919_s_at	EIF4EBP3 /// MASK-BP3	1.94	1.36	2.78
206767_at	RBMS3	1.94	1.47	2.56
213969_x_at	RPL29	1.94	1.52	2.48
209500_x_at	TNFSF13 /// TNFSF12-TNFSF13	1.94	1.51	2.49
215951_at	---	1.94	1.41	2.67
204038_s_at	EDG2	1.94	1.43	2.63
214107_x_at	FLJ11822	1.94	1.49	2.52
221378_at	CER1	1.93	1.43	2.61
214298_x_at	12:00 AM	1.92	1.41	2.61
202172_at	ZNF161	1.91	1.49	2.46
208807_s_at	CHD3	1.91	1.47	2.49
204150_at	STAB1	1.91	1.46	2.51
221519_at	SHFM3	1.91	1.52	2.41
202531_at	IRF1	1.91	1.41	2.58
218661_at	FLJ14154	1.91	1.38	2.63
222243_s_at	TOB2	1.91	1.55	2.35
217868_s_at	DREV1	1.91	1.48	2.45
202867_s_at	DNAJB12	1.91	1.48	2.46
219241_x_at	SSH3	1.9	1.48	2.44
39817_s_at	C6orf108	1.9	1.49	2.41
201059_at	---	1.89	1.45	2.48
215706_x_at	ZYX	1.89	1.62	2.2
218062_x_at	CDC42EP4	1.89	1.46	2.44
219281_at	MSRA	1.88	1.53	2.33
217645_at	---	1.88	1.36	2.59
221419_s_at	---	1.88	1.22	2.89
219021_at	RNF121	1.87	1.4	2.51
219025_at	CD164L1	1.87	1.44	2.42
210006_at	DKFZP564O243	1.86	1.46	2.39
200621_at	CSRP1	1.86	1.52	2.28
204629_at	PARVB	1.86	1.41	2.47
205435_s_at	AAK1	1.86	1.3	2.66
212928_at	TSPYL4	1.85	1.48	2.31
207836_s_at	RBPMS	1.85	1.5	2.29
218862_at	ASB13	1.85	1.42	2.41
220671_at	CCRN4L	1.84	1.38	2.47
205171_at	PTPN4	1.84	1.41	2.42
201578_at	PODXL	1.84	1.45	2.33
209168_at	GPM6B	1.84	1.42	2.38
220046_s_at	CCNL1	1.83	1.44	2.33
205004_at	NKRF	1.83	1.52	2.2
203012_x_at	RPL23A	1.83	1.45	2.29
209733_at	LOC286440	1.82	1.47	2.27
214805_at	EIF4A1	1.82	1.47	2.26
202782_s_at	SKIP	1.82	1.37	2.42
200888_s_at	RPL23	1.81	1.49	2.2
203686_at	MPG	1.81	1.47	2.22
220753_s_at	CRYL1	1.8	1.44	2.26
217964_at	TTC19	1.8	1.34	2.42
208695_s_at	RPL39	1.8	1.42	2.28
218197_s_at	OXR1	1.8	1.32	2.45
211973_at	NUDT3	1.79	1.42	2.27
44702_at	7h3	1.79	1.44	2.24
214259_s_at	AKR7A2	1.79	1.43	2.24
219798_s_at	FLJ20257	1.79	1.43	2.25
212516_at	CENTD2	1.79	1.36	2.34
203303_at	TCTE1L	1.78	1.36	2.35
203897_at	LOC57149	1.78	1.37	2.33
204576_s_at	CLUAP1	1.78	1.36	2.33
