Affy I.D.	Fold change 1	Fold Change 2	Gene title	Gene symbol
222793_at	2.46	3.48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	DDX58
242961_x_at	2.14	3.48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	DDX58
206367_at	68.59	68.59	renin	REN
211029_x_at	22.63	17.15	fibroblast growth factor 18 /// fibroblast growth factor 18	FGF18
206987_x_at	14.93	18.38	fibroblast growth factor 18	FGF18
231382_at	6.96	5.28	Fibroblast growth factor 18	FGF18
205572_at	2.83	3.25	angiopoietin 2	ANGPT2
236034_at	2.30	2.64	Angiopoietin 2	ANGPT2
205609_at	2.64	2.64	angiopoietin 1	ANGPT1
235737_at	2.30	6.96	thymic stromal lymphopoietin	TSLP
210377_at	3.03	2.83	SA hypertension-associated homolog (rat)	SAH
205942_s_at	2.30	2.64	SA hypertension-associated homolog (rat)	SAH
235521_at	6.96	8.57	homeo box A3	HOXA3
209905_at	4.29	4.00	homeo box A9	HOXA9
214651_s_at	3.03	3.48	homeo box A9	HOXA9
213844_at	4.00	3.73	homeo box A5	HOXA5
206847_s_at	2.14	2.64	homeo box A7	HOXA7
208557_at	2.00	3.73	homeo box A6	HOXA6
229638_at	4.00	2.83	iroquois homeobox protein 3	IRX3
204082_at	2.46	3.25	pre-B-cell leukemia transcription factor 3	PBX3
202820_at	3.48	3.25	aryl hydrocarbon receptor	AHR
204211_x_at	2.46	2.83	eukaryotic translation initiation factor 2-alpha kinase 2	EIF2AK2
213541_s_at	2.14	2.30	v-ets erythroblastosis virus E26 oncogene like (avian)	ERG
241926_s_at	2.00	2.00	v-ets erythroblastosis virus E26 oncogene like (avian)	ERG
215092_s_at	2.46	1.74	nuclear factor of activated T-cells 5, tonicity-responsive	NFAT5
236395_at	2.46	1.74	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	MEF2C
203304_at	2.00	2.14	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	BAMBI
214438_at	2.00	2.14	H2.0-like homeo box 1 (Drosophila)	HLX1
204069_at	2.00	2.00	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	MEIS1
242002_at	29.86	6.06	T-cell lymphoma breakpoint associated target 1	TCBA1
1554524_a_at	21.11	4.59	olfactomedin 3	OLFM3
1554526_at	18.38	36.76	olfactomedin 3	OLFM3
205844_at	12.13	9.85	vanin 1 /// vanin 1	VNN1
224403_at	10.56	24.25	immunoglobulin superfamily receptor translocation associated 1 /// immunoglobulin superfamily receptor translocation associated 1	IRTA1
212592_at	5.28	1.74	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	IGJ
212827_at	3.48	2.46	immunoglobulin heavy constant mu /// immunoglobulin heavy constant mu	IGHM
209374_s_at	2.64	2.83	immunoglobulin heavy constant mu	IGHM
209488_s_at	9.19	42.22	RNA binding protein with multiple splicing	RBPMS
207836_s_at	5.66	4.92	RNA binding protein with multiple splicing	RBPMS
209487_at	4.92	5.28	RNA binding protein with multiple splicing	RBPMS
205984_at	8.57	59.71	corticotropin releasing hormone binding protein	CRHBP
211597_s_at	8.57	13.00	homeodomain-only protein /// homeodomain-only protein	HOP
242625_at	8.57	9.85	radical S-adenosyl methionine domain containing 2	RSAD2
213797_at	5.28	8.57	radical S-adenosyl methionine domain containing 2	RSAD2
207802_at	8.57	6.50	cysteine-rich secretory protein 3	CRISP3
210262_at	2.30	2.83	cysteine-rich secretory protein 2	CRISP2
232098_at	6.96	3.03	dystonin	DST
212254_s_at	2.46	3.25	dystonin	DST
215016_x_at	2.46	2.46	dystonin	DST
228233_at	6.96	2.83	FRAS1 related extracellular matrix 1	FREM1
206447_at	6.06	36.76	elastase 2A	ELA2A
207077_at	4.92	9.19	elastase 2B	ELA2B
206446_s_at	4.92	8.57	elastase 2B /// elastase 2A	ELA2B /// ELA2A
227195_at	5.66	4.92	zinc finger protein 503	ZNF503
218543_s_at	3.03	2.83	zinc finger CCCH type domain containing 1	ZC3HDC1
209859_at	5.66	3.03	tripartite motif-containing 9	TRIM9
213293_s_at	2.14	2.83	tripartite motif-containing 22	TRIM22
32128_at	5.28	5.66	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	CCL18
204533_at	3.03	3.48	chemokine (C-X-C motif) ligand 10	CXCL10
210029_at	5.28	3.03	indoleamine-pyrrole 2,3 dioxygenase	INDO
228507_at	4.92	5.28	Phosphodiesterase 3A, cGMP-inhibited	PDE3A
236300_at	2.64	8.00	Phosphodiesterase 3A, cGMP-inhibited	PDE3A
226145_s_at	4.92	4.29	Fraser syndrome 1	FRAS1
238919_at	4.59	25.99	Protocadherin 9	PCDH9
219737_s_at	2.64	2.30	protocadherin 9	PCDH9
202458_at	4.59	5.28	protease, serine, 23	PRSS23
226279_at	4.29	4.92	protease, serine, 23	PRSS23
206310_at	4.00	2.83	serine protease inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	SPINK2
219211_at	4.29	7.46	ubiquitin specific protease 18	USP18
201242_s_at	4.29	4.00	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1
201243_s_at	1.87	2.64	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1
219932_at	4.00	16.00	solute carrier family 27 (fatty acid transporter), member 6	SLC27A6
213164_at	2.30	2.30	solute carrier family 5 (inositol transporters), member 3	SLC5A3
219874_at	2.14	2.30	solute carrier family 12 (potassium/chloride transporters), member 8	SLC12A8
237009_at	4.00	4.92	CD69 antigen (p60, early T-cell activation antigen)	CD69
209795_at	2.30	3.25	CD69 antigen (p60, early T-cell activation antigen)	CD69
212820_at	4.00	3.48	Dmx-like 2	DMXL2
227725_at	3.73	2.14	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	ST6GALNAC1
228230_at	3.48	5.66	peroxisomal proliferator-activated receptor A interacting complex 285	PRIC285
44783_s_at	3.48	4.92	hairy/enhancer-of-split related with YRPW motif 1	HEY1
219352_at	3.48	3.48	hect domain and RLD 6	HERC6
219863_at	2.46	3.03	hect domain and RLD 5	HERC5
227609_at	3.25	6.06	epithelial stromal interaction 1 (breast)	EPSTI1
239979_at	2.83	2.46	Epithelial stromal interaction 1 (breast)	EPSTI1
223220_s_at	3.25	4.00	poly (ADP-ribose) polymerase family, member 9	PARP9
227807_at	1.74	2.64	poly (ADP-ribose) polymerase family, member 9	PARP9
224701_at	2.83	2.46	poly (ADP-ribose) polymerase family, member 14	PARP14
229350_x_at	2.30	1.74	poly (ADP-ribose) polymerase family, member 10	PARP10
204529_s_at	3.25	3.73	thymus high mobility group box protein TOX	TOX
203485_at	3.25	2.83	reticulon 1	RTN1
205749_at	3.03	6.50	cytochrome P450, family 1, subfamily A, polypeptide 1	CYP1A1
202145_at	3.03	3.73	lymphocyte antigen 6 complex, locus E	LY6E
212599_at	3.03	3.73	autism susceptibility candidate 2	AUTS2
212651_at	3.03	2.64	Rho-related BTB domain containing 1	RHOBTB1
209757_s_at	3.03	2.30	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN
229309_at	2.83	3.48	Adrenergic, beta-1-, receptor	ADRB1
209211_at	2.83	3.25	Kruppel-like factor 5 (intestinal)	KLF5
209212_s_at	2.30	2.30	Kruppel-like factor 5 (intestinal)	KLF5
214043_at	2.83	3.25	Protein tyrosine phosphatase, receptor type, D	PTPRD
204201_s_at	2.14	1.87	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	PTPN13
244845_at	2.83	3.25	Forkhead box P1	FOXP1
212224_at	2.83	2.83	aldehyde dehydrogenase 1 family, member A1	ALDH1A1
201416_at	2.83	2.14	SRY (sex determining region Y)-box 4	SOX4
201418_s_at	2.83	1.74	SRY (sex determining region Y)-box 4	SOX4
213668_s_at	2.64	1.87	SRY (sex determining region Y)-box 4	SOX4
37170_at	2.83	1.87	BMP2 inducible kinase	BMP2K
214716_at	2.30	2.00	BMP2 inducible kinase	BMP2K
226853_at	2.14	1.87	BMP2 inducible kinase	BMP2K
238732_at	2.83	1.74	collagen, type XXIV, alpha 1	COL24A1
219691_at	2.64	3.48	sterile alpha motif domain containing 9	SAMD9
228531_at	2.46	3.03	sterile alpha motif domain containing 9	SAMD9
210375_at	2.64	2.83	prostaglandin E receptor 3 (subtype EP3)	PTGER3
213933_at	2.46	2.46	Prostaglandin E receptor 3 (subtype EP3)	PTGER3
238669_at	2.30	2.64	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	PTGS1
205127_at	1.87	2.30	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	PTGS1
204748_at	1.87	3.73	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	PTGS2
1554997_a_at	1.74	3.48	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	PTGS2
228274_at	2.64	2.64	serine dehydratase-like	SDSL
228708_at	2.64	2.30	RAB27B, member RAS oncogene family	RAB27B
207018_s_at	2.30	2.46	RAB27B, member RAS oncogene family	RAB27B
207017_at	2.14	2.30	RAB27B, member RAS oncogene family	RAB27B
1559663_at	2.64	2.00	Acyl-CoA synthetase long-chain family member 4	ACSL4
201508_at	2.64	1.87	insulin-like growth factor binding protein 4	IGFBP4
241751_at	2.64	1.74	oral-facial-digital syndrome 1	OFD1
203569_s_at	2.30	1.87	oral-facial-digital syndrome 1	OFD1
241837_at	2.64	1.74	AT rich interactive domain 5B (MRF1-like)	ARID5B
212614_at	2.46	3.03	AT rich interactive domain 5B (MRF1-like)	ARID5B
203065_s_at	2.46	6.06	caveolin 1, caveolae protein, 22kDa	CAV1
244503_at	2.46	3.48	Brain-derived neurotrophic factor	BDNF
209732_at	2.46	3.03	C-type lectin domain family 2, member B	CLEC2B
210145_at	2.46	2.64	phospholipase A2, group IVA (cytosolic, calcium-dependent)	PLA2G4A
204635_at	2.46	2.30	ribosomal protein S6 kinase, 90kDa, polypeptide 5	RPS6KA5
219905_at	2.46	2.30	erythroblast membrane-associated protein	ERMAP
225956_at	2.46	1.74	adult retina protein	LOC153222
231109_at	2.30	1.74	CUG triplet repeat, RNA binding protein 2	CUGBP2
224917_at	2.30	2.64	likely ortholog of rat vacuole membrane protein 1	VMP1
225344_at	2.30	2.46	nuclear receptor coactivator 7	NCOA7
221884_at	2.30	2.30	ecotropic viral integration site 1	EVI1
226420_at	2.00	2.46	ecotropic viral integration site 1	EVI1
204774_at	1.87	2.64	ecotropic viral integration site 2A	EVI2A
225415_at	2.30	2.14	deltex 3-like (Drosophila)	DTX3L
200923_at	2.30	2.00	lectin, galactoside-binding, soluble, 3 binding protein	LGALS3BP
242414_at	2.30	1.87	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	QPRT
204044_at	2.14	2.46	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	QPRT
202890_at	2.30	1.74	microtubule-associated protein 7	MAP7
202180_s_at	2.14	2.64	major vault protein	MVP
215446_s_at	2.14	2.64	lysyl oxidase	LOX
201641_at	2.14	2.46	bone marrow stromal cell antigen 2	BST2
225283_at	2.14	2.46	arrestin domain containing 4	ARRDC4
231947_at	2.14	2.46	myc target 1	MYCT1
213566_at	2.14	2.14	ribonuclease, RNase A family, k6 /// ribonuclease, RNase A family, k6	RNASE6
229461_x_at	2.14	2.14	neuronal growth regulator 1	NEGR1
206298_at	2.14	2.00	Rho GTPase activating protein 22	ARHGAP22
224558_s_at	2.14	2.00	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	MALAT1
204375_at	2.14	1.87	calsyntenin 3	CLSTN3
205653_at	2.14	1.87	cathepsin G	CTSG
234989_at	2.14	1.87	trophoblast-derived noncoding RNA	TncRNA
205513_at	2.00	4.59	transcobalamin I (vitamin B12 binding protein, R binder family)	TCN1
1554712_a_at	2.00	2.64	BXMAS2-10	BXMAS2-10
217787_s_at	2.00	2.64	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	GALNT2
223991_s_at	1.87	2.83	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	GALNT2
218501_at	2.00	2.46	Rho guanine nucleotide exchange factor (GEF) 3	ARHGEF3
219235_s_at	2.00	2.46	phosphatase and actin regulator 4	PHACTR4
1569652_at	2.00	2.14	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	MLLT3
204187_at	2.00	2.14	guanosine monophosphate reductase /// guanosine monophosphate reductase	GMPR
212944_at	2.00	2.00	Mitochondrial ribosomal protein S6	MRPS6
241916_at	2.00	2.00	Phospholipid scramblase 1	PLSCR1
206828_at	1.87	13.93	TXK tyrosine kinase	TXK
223805_at	1.87	3.25	oxysterol binding protein-like 6	OSBPL6
200872_at	1.87	2.83	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))	S100A10
206932_at	1.87	2.30	cholesterol 25-hydroxylase	CH25H
200986_at	1.52	3.25	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	SERPING1
236892_s_at	8.00	8.57	Hypothetical LOC404266	LOC404266
218986_s_at	4.29	4.00	hypothetical protein FLJ20035	FLJ20035
226756_at	3.25	3.73	Hypothetical protein FLJ36031	FLJ36031
229521_at	2.00	2.64	hypothetical protein FLJ36031	FLJ36031
228152_s_at	3.03	3.03	hypothetical protein FLJ31033	FLJ31033
1566482_at	2.83	1.52	Hypothetical LOC400047	NA
53720_at	2.64	2.64	hypothetical protein FLJ11286	FLJ11286
218429_s_at	2.14	1.87	hypothetical protein FLJ11286	FLJ11286
1557113_at	2.30	4.00	hypothetical protein LOC283588	LOC283588
226702_at	2.00	2.30	hypothetical protein LOC129607	LOC129607
1556643_at	2.00	2.00	Hypothetical protein BC011840	LOC93343
235643_at	5.66	4.92	chromosome 7 open reading frame 6	C7orf6
230036_at	2.64	3.25	chromosome 7 open reading frame 6	C7orf6
243271_at	2.64	2.64	Chromosome 7 open reading frame 6	C7orf6
231175_at	3.03	2.64	chromosome 6 open reading frame 65	C6orf65
225929_s_at	2.64	3.03	chromosome 17 open reading frame 27	C17orf27
230000_at	2.30	2.30	chromosome 17 open reading frame 27	C17orf27
225931_s_at	2.14	2.30	chromosome 17 open reading frame 27	C17orf27
241379_at	2.46	3.03	chromosome 2 open reading frame 13	C2orf13
204546_at	3.25	11.31	KIAA0513	KIAA0513
215146_s_at	2.83	3.03	KIAA1043 protein	KIAA1043
213058_at	2.14	1.87	KIAA1648 protein	KIAA1648
242920_at	2.64	1.52	KIAA0999 protein	KIAA0999
231956_at	2.46	2.00	KIAA1618	KIAA1618
213358_at	2.14	2.64	KIAA0802	KIAA0802
226189_at	3.48	3.48	Homo sapiens, clone IMAGE:4794726, mRNA	NA
235157_at	3.48	2.83	NA	NA
235046_at	3.48	2.46	Transcribed locus	NA
229199_at	3.25	3.03	Transcribed locus, weakly similar to XP_517454.1 similar to hypothetical protein MGC45438 [Pan troglodytes]	NA
235072_s_at	2.83	2.64	Transcribed locus	NA
228904_at	2.83	2.30	Transcribed locus, strongly similar to NP_002137.3 homeo box B3 [Homo sapiens]	NA
242476_at	2.64	1.62	Transcribed locus, strongly similar to NP_777610.1 hypothetical protein FLJ30435 [Homo sapiens]	NA
213294_at	2.30	2.46	Transcribed locus	NA
235884_at	2.14	2.46	Transcribed locus, weakly similar to XP_376619.2 hypothetical LOC401357 [Homo sapiens]	NA
229530_at	2.14	1.87	Transcribed locus	NA
244625_at	3.48	2.30	CDNA FLJ14152 fis, clone MAMMA1003089	NA
229057_at	2.64	3.03	MRNA; cDNA DKFZp761D191 (from clone DKFZp761D191)	NA
236738_at	2.64	2.46	Similar to LOC166075	LOC401097
1558105_a_at	2.46	2.64	Homo sapiens, Similar to LOC169932, clone IMAGE:4499203, mRNA	NA
226550_at	2.46	2.46	Homo sapiens, Similar to LOC169932, clone IMAGE:4499203, mRNA	NA
1569540_at	2.46	2.30	NA	NA
227082_at	2.46	1.87	MRNA; cDNA DKFZp586K1922 (from clone DKFZp586K1922)	NA
235753_at	2.30	2.83	NA	NA
237261_at	2.14	2.00	NA	NA
225239_at	2.14	1.87	CDNA FLJ26120 fis, clone SYN00419	NA
230405_at	2.14	1.74	hypothetical gene supported by AL713721	LOC441109
239218_at	2.14	1.74	CDNA FLJ43039 fis, clone BRTHA3003023	NA
215071_s_at	2.00	3.03	NA	NA
224806_at	2.00	2.00	LOC440448	NA
1555355_a_at	-9.85	-2.46	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	ETS1
224833_at	-2.30	-1.74	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	ETS1
218559_s_at	-2.46	-2.83	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	MAFB
224799_at	-3.03	-1.62	Nedd4 family interacting protein 2	NDFIP2
214637_at	-3.73	-1.74	oncostatin M	OSM
230170_at	-2.46	-2.46	oncostatin M	OSM
205266_at	-2.14	-1.87	leukemia inhibitory factor (cholinergic differentiation factor)	LIF
201506_at	-2.00	-2.83	transforming growth factor, beta-induced, 68kDa	TGFBI
209960_at	-2.46	-3.25	hepatocyte growth factor (hepapoietin A; scatter factor)	HGF
215101_s_at	-6.50	-5.28	chemokine (C-X-C motif) ligand 5	CXCL5
214974_x_at	-4.29	-6.50	chemokine (C-X-C motif) ligand 5	CXCL5
208075_s_at	-2.46	-2.14	chemokine (C-C motif) ligand 7 /// chemokine (C-C motif) ligand 7	CCL7
214146_s_at	-2.64	-4.59	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	PPBP
226218_at	-2.14	-2.00	Interleukin 7 receptor	IL7R
215049_x_at	-2.00	-2.14	CD163 antigen	CD163
210889_s_at	-3.48	-2.14	Fc fragment of IgG, low affinity IIb, receptor (CD32)	FCGR2B
210992_x_at	-3.25	-1.62	Fc fragment of IgG, low affinity IIb, receptor (CD32)	FCGR2C
211298_s_at	-3.48	-4.29	albumin	ALB
204446_s_at	-3.48	-3.03	arachidonate 5-lipoxygenase	ALOX5
214366_s_at	-3.48	-2.83	arachidonate 5-lipoxygenase	ALOX5
209147_s_at	-3.03	-1.62	phosphatidic acid phosphatase type 2A	PPAP2A
220811_at	-2.83	-3.25	proteoglycan 3	PRG3
206682_at	-2.83	-2.64	C-type lectin domain family 10, member A	CLEC10A
204681_s_at	-2.83	-2.14	Rap guanine nucleotide exchange factor (GEF) 5	RAPGEF5
213238_at	-2.83	-1.87	ATPase, Class V, type 10D	ATP10D
1555339_at	-2.64	-2.14	RAP1A, member of RAS oncogene family	RAP1A
1555340_x_at	-2.64	-2.00	RAP1A, member of RAS oncogene family	RAP1A
1555600_s_at	-2.64	-1.74	apolipoprotein L, 4	APOL4
205919_at	-2.30	-3.03	hemoglobin, epsilon 1 /// hemoglobin, epsilon 1	HBE1
232760_at	-2.30	-2.64	testis expressed sequence 15	TEX15
203535_at	-2.30	-2.14	S100 calcium binding protein A9 (calgranulin B)	S100A9
202917_s_at	-1.87	-2.30	S100 calcium binding protein A8 (calgranulin A)	S100A8
242281_at	-2.30	-1.87	Glutamate-ammonia ligase (glutamine synthase)	GLUL
207691_x_at	-2.30	-1.74	ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1
1553723_at	-2.30	-1.74	G protein-coupled receptor 97	GPR97
235438_at	-3.25	-2.46	MRNA; cDNA DKFZp686E22185 (from clone DKFZp686E22185)	NA
233737_s_at	-2.14	-2.30	hypothetical protein LOC284561	LOC284561
