Gene Symbol#	shLoxl2	shSnai1	Description	Function
Aldh3b2	15.85	-1.78	Aldehyde dehydrogenase 3 family, member B2	Metabolism
Aldh2	39.13	24.72	Aldehyde dehydrogenase 2, mitochondrial	Metabolism
Armcx2	-17.62	-9.24	Armadillo repeat containing, X-linked 2	Signal transduction
Calm4	20.11	2.29	Calmodulin 4	Signal transduction
Cd200	-5.88	-9.18	Cd200 antigen	Signal transduction
Cd200r3	-64.94	-27.57	CD200 receptor 3	Signal transduction
Cd226	-12.57	-1.72	CD226 antigen	Signal transduction
Ckb	17.78	2.25	Creatine kinase, brain	Signal transduction
Map3k8	13.20	1.30	Mitogen activated protein kinase kinase kinase 8	Signal transduction
Mycbpap	13.55	1.34	Mycbp associated protein	Signal transduction
Nkpd1	13.52	2.34	NTPase, KAP family P-loop domain containing 1	Signal transduction
Olfr1039	-13.98	-3.55	Olfactory receptor 1039	Signal transduction
Olfr330	-43.70	-9.57	Olfactory receptor 330	Signal transduction
Olfr878	-16.98	-5.20	Olfactory receptor 878	Signal transduction
Olfr993	-22.91	-3.31	Olfactory receptor 993	Signal transduction
Ppfibp2	11.46	4.17	Protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2	Signal transduction
Ptger2	-29.55	-6.71	Prostaglandin E receptor 2 (subtype EP2)	Signal transduction
Ptger3	-12.09	-1.22	Prostaglandin E receptor 3 (subtype EP3)	Signal transduction
Rab7l1	19.75	6.61	RAB7, member RAS oncogene family-like 1	Signal transduction
Rad9b	12.26	1.79	RAD9 homolog B (S. cerevisiae)	Signal transduction
Rgl1	10.35	3.00	Ral guanine nucleotide dissociation stimulator,-like 1	Signal transduction
Rgl3	-18.92	-8.38	Ral guanine nucleotide dissociation stimulator-like 3	Signal transduction
Rif1	-1.37	-12.26	Rap1 interacting factor 1 homolog (yeast)	Signal transduction
Taar1	-23.96	-9.94	Trace amine-associated receptor 1	Signal transduction
Tmem20	13.87	5.74	Transmembrane protein 20	Signal transduction
Tmprss4	23.07	1.29	Transmembrane protease, serine 4	Signal transduction
Tmtc1	-24.60	-5.97	Transmembrane and tetratricopeptide repeat containing 1	Signal transduction
Ankrd38	-13.68	-6.52	Ankyrin repeat domain 38	Transcription related
Aspn	-21.38	-20.28	Asporin	Transcription related
Atxn3	-7.32	-18.28	Ataxin 3	Transcription related
Cdx4	-18.37	-2.59	Caudal type homeo box 4	Transcription related
Crct1	15.14	4.42	Cysteine-rich C-terminal 1	Transcription related
Ddit4l	1.32	11.47	DNA-damage-inducible transcript 4-like	Transcription related
Ehf	16.35	-1.91	Ets homologous factor	Transcription related
Foxn2	15.92	-5.08	Forkhead box N2	Transcription related
Ikzf1	-4.22	-11.18	IKAROS family zinc finger 1	Transcription related
Lmo1	-63.31	-9.91	LIM domain only 1	Transcription related
Lrrc49	-13.54	-4.08	Leucine rich repeat containing 49	Transcription related
Lrrcc1	1.69	-12.90	Leucine rich repeat and coiled-coil domain containing 1	Transcription related
Lrrn6c	-17.74	-5.90	Leucine rich repeat neuronal 6C	Transcription related
Otp	-10.58	-2.79	Orthopedia homolog (Drosophila)	Transcription related
Rhox5	7.39	17.46	Reproductive homeobox 5	Transcription related
Zdhhc9	-3.61	-5.52	Zinc finger, DHHC domain containing 9	Transcription related
Zfp109	-45.81	-8.08	Zinc finger protein 109	Transcription related
Zfp120	-1.67	-11.76	Zinc finger protein 120	Transcription related
Zfp235	11.56	1.86	Zinc finger protein 235	Transcription related
Zfp646	14.49	1.07	Zinc finger protein 646	Transcription related
Zfp750	21.23	8.98	Zinc finger protein 750	Transcription related
Abca1	-26.30	-10.41	ATP-binding cassette, sub-family A (ABC1), member 1	Transport
Abcg2	13.71	2.96	ATP-binding cassette, sub-family G (WHITE), member 2	Transport
Fxyd4	12.26	1.27	FXYD domain-containing ion transport regulator 4	Transport
Slc12a1	-54.51	-6.81	Solute carrier family 12, member 1	Transport
Slc26a3	-72.86	-16.41	Solute carrier family 26, member 3	Transport
Slco4a1	24.58	-1.34	Solute carrier organic anion transporter family, member 4a1	Transport
Tap2	11.00	4.40	Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	Transport
1110014K05Rik	54.51	1.51	RIKEN cDNA 1110014K05 gene	Miscellaneous and unknown function
1110067D22Rik	37.20	2.75	RIKEN cDNA 1110067D22 gene	Miscellaneous and unknown function
1200009O22Rik	-69.42	-14.74	RIKEN cDNA 1200009O22 gene	Miscellaneous and unknown function
1700008H02Rik	-18.92	-7.56	NA	Miscellaneous and unknown function
1700018C11Rik	-18.88	-6.85	RIKEN cDNA 1700018C11 gene	Miscellaneous and unknown function
1700112E06Rik	20.80	8.11	RIKEN cDNA 1700112E06 gene	Miscellaneous and unknown function
1810019J16Rik	12.79	1.70	RIKEN cDNA 1810019J16 gene	Miscellaneous and unknown function
2210418O10Rik	1.04	-13.46	RIKEN cDNA 2210418O10 gene	Miscellaneous and unknown function
2310002J15Rik	11.98	2.31	RIKEN cDNA 2310002J15 gene	Miscellaneous and unknown function
2310002L13Rik	21.09	1.52	RIKEN cDNA 2310002L13 gene	Miscellaneous and unknown function
2310007H09Rik	6.71	10.65	RIKEN cDNA 2310007H09 gene	Miscellaneous and unknown function
2310043N10Rik	1.87	-17.56	RIKEN cDNA 2310043N10 gene	Miscellaneous and unknown function
2310076G13Rik	-1.96	-16.16	RIKEN cDNA 2310076G13 gene	Miscellaneous and unknown function
2410007B07Rik	-12.46	-1.89	RIKEN cDNA 2410007B07 gene	Miscellaneous and unknown function
2410075B13Rik	14.62	12.43	RIKEN cDNA 2410075B13 gene	Miscellaneous and unknown function
2610018I03Rik	11.89	3.29	RIKEN cDNA 2610018I03 gene	Miscellaneous and unknown function
3110003A22Rik	11.49	-1.18	RIKEN cDNA 3110003A22 gene	Miscellaneous and unknown function
4632417N05Rik	12.33	1.23	RIKEN cDNA 4632417N05 gene	Miscellaneous and unknown function
4833403I15Rik	-45.13	-17.32	RIKEN cDNA 4833403I15 gene	Miscellaneous and unknown function
4930429B21Rik	-23.93	-7.28	NA	Miscellaneous and unknown function
4930432K21Rik	-17.32	-2.08	RIKEN cDNA 4930432K21 gene	Miscellaneous and unknown function
4930521A18Rik	-14.32	-2.12	RIKEN cDNA 4930521A18 gene	Miscellaneous and unknown function
4933400F03Rik	-13.29	-2.57	RIKEN cDNA 4933400F03 gene	Miscellaneous and unknown function
9030420J04Rik	-1.29	-12.13	RIKEN cDNA 9030420J04 gene	Miscellaneous and unknown function
9130211I03Rik	16.96	2.47	RIKEN cDNA 9130211I03 gene	Miscellaneous and unknown function
A_51_P208047	-10.29	-4.03	NA	Miscellaneous and unknown function
A_51_P395313	-12.19	-3.50	NA	Miscellaneous and unknown function
A_51_P451515	-18.01	-1.00	NA	Miscellaneous and unknown function
A230046K03Rik	-1.56	-12.45	RIKEN cDNA A230046K03 gene	Miscellaneous and unknown function
A530026G17	-13.40	-1.31	Hypothetical protein A530026G17	Miscellaneous and unknown function
A930038C07Rik	-30.58	-6.75	RIKEN cDNA A930038C07 gene	Miscellaneous and unknown function
AF071754	-21.40	-7.31	NA	Miscellaneous and unknown function
AF357427	-15.79	-10.45	NA	Miscellaneous and unknown function
AK015109	-15.31	1.09	NA	Miscellaneous and unknown function
AK050994	-14.57	-4.37	NA	Miscellaneous and unknown function
AK076360	-20.11	-3.44	NA	Miscellaneous and unknown function
AK141479	-12.37	-4.02	NA	Miscellaneous and unknown function
AU018778	-6.84	-24.60	Expressed sequence AU018778	Miscellaneous and unknown function
AW113486	-14.42	-2.93	NA	Miscellaneous and unknown function
B230317C12Rik	14.72	3.46	RIKEN cDNA B230317C12 gene	Miscellaneous and unknown function
B430105A11Rik	-35.28	-5.66	RIKEN cDNA B430105A11 gene	Miscellaneous and unknown function
B930008K04Rik	-44.72	-2.34	RIKEN cDNA B930008K04 gene	Miscellaneous and unknown function
BB303627	-14.26	-2.73	NA	Miscellaneous and unknown function
BC004044	12.26	-1.44	CDNA sequence BC004044	Miscellaneous and unknown function
BC006942	-28.77	-12.36	NA	Miscellaneous and unknown function
BC024561	-19.82	-5.94	CDNA sequence BC024561	Miscellaneous and unknown function
BC035537	24.69	1.17	CDNA sequence BC035537	Miscellaneous and unknown function
BF783780	-25.47	-4.63	NA	Miscellaneous and unknown function
Brctd1	-4.54	-27.07	BRCT domain containing 1	Miscellaneous and unknown function
Bscl2	12.23	3.43	Bernardinelli-Seip congenital lipodystrophy 2 homolog (human)	Miscellaneous and unknown function
C230078M14Rik	-15.19	-8.42	RIKEN cDNA C230078M14Rik gene	Miscellaneous and unknown function
Clec4d	-10.84	-13.92	C-type lectin domain family 4, member d	Miscellaneous and unknown function
Coq3	-16.71	-69.74	Coenzyme Q3 homolog, methyltransferase (yeast)	Miscellaneous and unknown function
D3Ertd751e	-1.32	-21.43	DNA segment, Chr 3, ERATO Doi 751, expressed	Miscellaneous and unknown function
EG433882	-45.13	-8.69	Predicted gene, EG433882	Miscellaneous and unknown function
ENSMUST00000030142	10.86	1.41	NA	Miscellaneous and unknown function
ENSMUST00000037811	-20.42	-3.08	NA	Miscellaneous and unknown function
ENSMUST00000051203	-12.76	-3.78	NA	Miscellaneous and unknown function
EQC	-72.44	-13.15	NA	Miscellaneous and unknown function
Fcho1	-5.62	-18.90	FCH domain only 1	Miscellaneous and unknown function
Klhl23	-6.63	-24.60	Kelch-like 23 (Drosophila)	Miscellaneous and unknown function
Lce5a	1.38	44.87	Late cornified envelope 5A	Miscellaneous and unknown function
Lhcgr	-2.35	-15.69	Luteinizing hormone/choriogonadotropin receptor	Miscellaneous and unknown function
Lpin3	8.11	14.13	Lipin 3	Miscellaneous and unknown function
MGC7817	-2.56	-7.83	NA	Miscellaneous and unknown function
NAP057167-1	-5.98	-6.98	NA	Miscellaneous and unknown function
NAP057209-1	-10.42	-6.68	NA	Miscellaneous and unknown function
NAP108772-1	-15.61	-6.10	NA	Miscellaneous and unknown function
Nckap1	-11.82	-1.34	NCK-associated protein 1	Miscellaneous and unknown function
Plf2	-11.05	4.36	prolactin family 2, subfamily c, member 3	Miscellaneous and unknown function
Samd14	1.38	12.69	Sterile alpha motif domain containing 14	Miscellaneous and unknown function
Shroom3	1.76	14.57	Shroom family member 3	Miscellaneous and unknown function
Slfn10	-1.45	10.90	Schlafen 10	Miscellaneous and unknown function
Spink5	-1.01	46.13	Serine peptidase inhibitor, Kazal type 5	Miscellaneous and unknown function
Srpx2	-6.27	-16.81	Sushi-repeat-containing protein, X-linked 2	Miscellaneous and unknown function
Stfa1	-1.94	27.29	stefin A1	Miscellaneous and unknown function
Unc5cl	-5.38	-4.24	Unc-5 homolog C (C. elegans)-like	Miscellaneous and unknown function
V1rh11	-6.84	-17.38	Vomeronasal 1 receptor, H11	Miscellaneous and unknown function
Wdr85	-4.19	-19.88	WD40 repeat domain 85	Miscellaneous and unknown function
Wfdc5	1.18	15.00	WAP four-disulfide core domain 5	Miscellaneous and unknown function
Yif1a	5.62	11.40	Yip1 interacting factor homolog A (S. cerevisiae)	Miscellaneous and unknown function
Zfhx2as	1.35	11.12	zinc finger homeobox 2, antisense	Miscellaneous and unknown function
