UniGene	Description	Fold ind.	p value
Hs.512211	Interleukin 10 receptor, beta	0.8	0.131
Hs.591088	Interleukin 11 receptor, alpha	0.64	0.1344
Hs.674	Interleukin 12B (natural killer cell stimulatory factor 2, p40)	1.08	0.8703
Hs.496646	Interleukin 13 receptor, alpha 1	0.66	0.0367
Hs.168132	Interleukin 15	0.69	0.2246
Hs.445868	Interleukin 20 receptor, alpha	0.27	0.0158
Hs.210546	Interleukin 21 receptor	1.16	0.7055
Hs.126891	Interleukin 22 receptor, alpha 2	0.51	0.5644
Hs.567792	Interleukin 28A (interferon, lambda 2)	0.51	0.1763
Hs.221375	Interleukin 28 receptor, alpha (interferon, lambda receptor)	0.24	0.0088
Hs.406745	Interleukin 29 (interferon, lambda 1)	1.75	0.4158
Hs.474787	Interleukin 2 receptor, beta	1.22	0.6173
Hs.84	Interleukin 2 receptor, gamma	2.89	0.0061
Hs.55378	Interleukin 31 receptor A	1.07	0.9581
Hs.632790	Interleukin 3 receptor, alpha (low affinity)	8.66	0.009
Hs.513457	Interleukin 4 receptor	3.03	0.0147
Hs.68876	Interleukin 5 receptor, alpha	1.39	0.493
Hs.512234	Interleukin 6 (interferon, beta 2)	151.69	0.0025
Hs.591492	Interleukin 6 receptor	0.74	0.1583
Hs.591742	Interleukin 7 receptor	5.92	0.0006
Hs.406228	Interleukin 9 receptor	1.13	0.6663
Hs.436061	Interferon regulatory factor 1	7.92	0.0003
Hs.374097	Interferon regulatory factor 2	1.69	0.0044
Hs.515477	Interferon regulatory factor 2 binding protein 1	1.03	0.9276
Hs.350268	Interferon regulatory factor 2 binding protein 2	0.52	0.0058
Hs.75254	Interferon regulatory factor 3	1.69	0.1329
Hs.401013	Interferon regulatory factor 4	28.25	0.0022
Hs.521181	Interferon regulatory factor 5	4.04	0.0063
Hs.591415	Interferon regulatory factor 6	0.83	0.4743
Hs.166120	Interferon regulatory factor 7	12.91	0.0094
Hs.137427	Interferon regulatory factor 8	1.16	0.7909
Hs.519680	Immunity-related GTPase family, M	1.6	0.6211
Hs.23581	Leptin receptor	0.48	0.0377
Hs.82906	Myeloproliferative leukemia virus oncogene	1.17	0.5786
Hs.517307	Myxovirus (influenza virus) resistance 1	1740.15	0.0003
Hs.524760	2,5-oligoadenylate synthetase 1, 40/46kDa	25.55	0.0004
Hs.75348	Proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4.76	0.0003
Hs.224645	Pyrin and HIN domain family, member 1	5.45	0.0057
Hs.145150	SP110 nuclear body protein	11.31	0.0015
Hs.134602	Titin	0.49	0.3531
Hs.534255	Beta-2-microglobulin	2.09	0.0032
Hs.412707	Hypoxanthine phosphoribosyltransferase 1	0.24	0.0009
Hs.546356	Ribosomal protein L13a	0.45	0.0027
Hs.544577	Glyceraldehyde-3-phosphate dehydrogenase	0.27	0.0023
Hs.520640	Actin, beta	0.22	0.0022
