Probe set ID	Gene symbol	Gene name	P-value in t-test	Median expression value in PP patients	GP patients
32806_at	BZRP	benzodiazapine receptor (peripheral)	0.0093	1690	2937.9
32823_at	VPS11	vacuolar protein sorting 11 (yeast)	0.0093	144.5	175.1
32839_at	FLJ13171	hypothetical protein FLJ13171	0.0015	16.2	-0.5
33097_at	CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	0.0089	-56.2	-22
33233_at	KIAA0117	KIAA0117 protein	0.0054	26.7	14.9
33390_at	STK17B	serine/threonine kinase 17b (apoptosis-inducing)	0.0033	252.7	946.8
33590_at	AJ011980	Homo sapiens mRNA sequence, IMAGE clone 446411	0.005	-1	6.8
33683_at		Human mRNA for TI-227H	0.0061	243.4	192.9
33784_at	TRAF2	TNF receptor-associated factor 2	0.0032	-31.7	-136.9
33852_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.0055	135.9	66.2
33924_at	KIAA1091	KIAA1091 protein	0.0043	116.8	196.8
33944_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.0041	602.8	1023.1
33963_at	AZU1	azurocidin 1 (cationic antimicrobial protein 37)	0.0015	-149.8	3509.6
34266_at	LEPR	leptin receptor	0.0038	-2.8	2.5
34277_at	CA11	carbonic anhydrase XI	0.0031	-82.2	-43.6
343_s_at	SURB7	SRB7 suppressor of RNA polymerase B homolog (yeast)	0.0097	10.5	-6.6
34356_at	ADNP	activity-dependent neuroprotector	0.0078	38	18.7
34394_at	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	0.0045	128.2	64.6
34517_at	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	0.0048	17.4	3.8
34617_at	TTPA	tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency)	0.0006	14.7	-2.8
34628_at	TAF4B	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105 kD	0.0064	5.5	1.8
34905_at	GRIK5	glutamate receptor, ionotropic, kainate 5	0.0078	209.8	103.8
34988_at	AF052119	Homo sapiens clone 23622 mRNA sequence	0.0053	34	6.5
35159_at	TBCE	tubulin-specific chaperone e	0.0042	177.5	129.4
35177_at	KIAA0725	KIAA0725 protein	0.0019	96.9	56.4
35224_at	MGC14376	hypothetical protein MGC14376	0.0057	16.2	89.6
35429_at	DKFZP586M1120	hypothetical protein DKFZp586M1120	0.0072	-77	-15.8
35435_s_at	HADHSC	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	0.0028	108.8	80.8
35519_at	AL049431	Homo sapiens mRNA; cDNA DKFZp586J211 (from clone DKFZp586J211)	0.0095	91.4	75.5
35536_at	ECE2	endothelin converting enzyme 2	0.009	248.8	170.7
35631_at	POLR2H	polymerase (RNA) II (DNA directed) polypeptide H	0.0064	200.2	144
35695_at	CHS1	Chediak-Higashi syndrome 1	0.0069	60.4	151.4
35958_at	AL050379	Homo sapiens mRNA; cDNA DKFZp586F1922 (from clone DKFZp586F1922)	0.0069	25.1	6.1
36000_at	CREBL1	cAMP responsive element binding protein-like 1	0.0073	19.6	48.8
36089_at	SAC2	Sac domain-containing inositol phosphatase 2	0.0049	14.9	5.6
36167_at	ATP6V0B	ATPase, H+ transporting, lysosomal 21kD, V0 subunit c	0.0075	844.2	1113.3
36317_at	CORO2A	coronin, actin binding protein, 2A	0.0059	5.1	34.4
36338_at	W28504	Homo sapiens cDNA: FLJ21692 fis, clone COL09588	0.006	450.5	251.6
36430_at	ADMR	adrenomedullin receptor	0.0046	-4.1	-15.7
36510_at	GTF2F2	general transcription factor IIF, polypeptide 2 (30kD subunit)	0.0017	30.8	17.3
36661_s_at	CD14	CD14 antigen	0.0078	2.4	583.8
36723_at	HNF4A	hepatocyte nuclear factor 4, alpha	0.0074	-17.7	-7.5
36746_s_at	CALCR	calcitonin receptor	0.0049	13.6	4.9
36761_at	ZNF339	zinc finger protein 339	0.0019	85.8	24.7
36879_at	ECGF1	endothelial cell growth factor 1 (platelet-derived)	0.0018	-7.5	372.3
36958_at	ZYX	zyxin	0.0005	403.4	905.5
36963_at	PGD	phosphogluconate dehydrogenase	0.0022	1041.7	1866.1
37193_at	UMPK	uridine monophosphate kinase	0.0063	117.9	58.9
37240_at	HARSL	histidyl-tRNA synthetase-like	0.0005	55.2	36
37257_at	HTCD37	TcD37 homolog	0.0006	-5.2	11.6
37298_at	GABARAP	GABA(A) receptor-associated protein	0.008	911.4	1728.7
37693_at	NUMB	numb homolog (Drosophila)	0.0046	79.1	151.2
37729_at	XPO1	exportin 1 (CRM1 homolog, yeast)	0.0094	733.5	443
37826_at	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	0.0056	38.6	182.4
37902_at	CRYZ	crystallin, zeta (quinone reductase)	0.0076	45.3	20
37935_at	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	0.0022	122.8	89.7
37961_at	L40393	Human clone 23907 mRNA sequence	0.0007	100	69.8
37963_at	ARSA	arylsulfatase A	0.0009	-0.7	57.2
38016_at	HNRPD	heterogeneous nuclear ribonucleoprotein D	0.0059	701.6	546.4
38079_at	AL049367	Homo sapiens mRNA; cDNA DKFZp586B0918 (from clone DKFZp586B0918)	0.0056	-1.6	-84.7
38155_at	ORC5L	origin recognition complex, subunit 5-like (yeast)	0.0024	37.4	22.5
38201_at	BCAT1	branched chain aminotransferase 1, cytosolic	0.0033	63.8	19.1
38233_at	HOMER-3	Homer, neuronal immediate early gene, 3	0.002	104	290.3
38341_at	STAU2	staufen, RNA binding protein, homolog 2 (Drosophila)	0.0064	31.8	12.8
38470_i_at	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	0.0024	21.1	7.5
38614_s_at	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	0.0044	211.7	116.3
38622_at	LOC92170	hypothetical protein BC004409	0.0035	176.4	133.6
38628_at	GCN5L2	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)	0.008	406.8	258.9
38789_at	TKT	transketolase (Wernicke-Korsakoff syndrome)	0.0028	892.2	1981.9
38902_r_at	ATF2	activating transcription factor 2	0.0027	21.2	12.7
38984_at	KIAA0436	putative L-type neutral amino acid transporter	0.0041	74.8	21.6
39011_at	ENSA	endosulfine alpha	0.0025	467.7	393.4
39105_at	VASP	vasodilator-stimulated phosphoprotein	0.0024	68.2	123.1
39135_at	KIAA0767	KIAA0767 protein	0.0028	183.7	108.6
39230_at		phorbolin (similar to apolipoprotein B mRNA editing protein)	0.002	40.9	103.8
39323_at	PPI5PIV	phosphatidylinositol (4,5) bisphosphate 5-phosphatase homolog	0.0097	146.7	102.1
39345_at	NPC2	Niemann-Pick disease, type C2	0.0008	560.6	881.3
39353_at	HSPE1	heat shock 10kD protein 1 (chaperonin 10)	0.0083	540.6	330.4
39422_at	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	0.009	42.3	29.9
39528_at	RRAD	Ras-related associated with diabetes	0.0055	15.2	-16.7
39857_at	STX11	syntaxin 11	0.0089	30.1	99.1
40147_at	VATI	vesicle amine transport protein 1	0.0007	342	757.1
40167_s_at	LOC55884	CS box-containing WD protein	0.0029	57	102.9
40191_s_at	AI761647	Homo sapiens clone IMAGE 21721	0.0038	148	31.4
40198_at	VDAC1	voltage-dependent anion channel 1	0.0002	365.6	201.3
40248_at	SLC9A7	solute carrier family 9 (sodium/hydrogen exchanger), isoform 7	0.0046	1.3	-6.4
40347_at	LANP-L	lecuine-rich acidic protein-like protein	0.0044	65.4	135.7
40360_at	P3	Protein P3	0.0054	64.8	108.2
40391_at	SLC22A4	solute carrier family 22 (organic cation transporter), member 4	0.0013	3.4	42.3
40641_at	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated	0.0077	69.6	45.7
40709_at	ZNFEB	epstein-barr virus-induced zinc finger protein	0.0064	56.9	39.9
40754_at	GTF2H3	general transcription factor IIH, polypeptide 3 (34kD subunit)	0.0086	114.4	93
41284_at	INPP5A	inositol polyphosphate-5-phosphatase, 40kD	0.0014	-10.5	48.1
41287_s_at	W28510	Human calmodulin-I (CALM1) mRNA, 3UTR, partial sequence	0.0037	65.5	42.1
41353_at	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	0.0084	4.5	10.5
41396_at	CYLN2	cytoplasmic linker 2	0.0041	261.7	139.9
41461_at	PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	0.0033	51.1	19.8
41474_at	KIF2	kinesin heavy chain member 2	0.0012	98.5	62.2
41523_at	RAB32	RAB32, member RAS oncogene family	0.0035	94.5	236.1
41646_at	JIK	STE20-like kinase	0.0079	31.2	56.5
41691_at	KIAA0794	KIAA0794 protein	0.0064	116.9	75.8
41716_at	RC3	rabconnectin-3	0.0067	69.2	145.6
41763_g_at	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	0.0067	316.2	238.5
41807_at	AL040137	Homo sapiens cDNA FLJ31959 fis, clone NT2RP7007422	0.0003	-25.2	19.2
525_g_at	PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	0.0085	113.4	63.4
605_at	VATI	vesicle amine transport protein 1	0.0042	239.4	479.5
840_at	ZNF220	zinc finger protein 220	0.0069	187.6	131.9
