Symbol	Name	QTL chromosome	Mb,if on chromosome 18	Correlation	Gene function
Mcm3	Minichromosome maintenance deficient 3 (Scerevisiae)	9, 18	20-23	0.7284	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Rbl1	Retinoblastoma-like 1 (p107)	14	—	0.7268	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Rpa3	Replication protein A3	18	17-20, 35-38	0.7239	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Aurkb	Aurora kinase B	—	—	0.718	Nuclear organization and biogenesis, cell cycle, and cytokinesis
H2afz	H2A histone family, member Z	18	12-14	0.7115	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Setdb1	SET domain, bifurcated 1	6, 17	—	0.7102	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Stk6	Serine/threonine kinase 6 (Aurka)	9	—	0.7062	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Dntt	Deoxynucleotidyltransferase, terminal	15	—	0.6851	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Cdca7	Cell division cycle-associated 7	9, 18	14-23	0.6843	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Cul2	Cullin 2	18	50-54	0.682	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Smc4l1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3, 18	12-14, 25-27	—	Nuclear organization and biogenesis, cell cycle, and cytokinesis
AA545217	Expressed sequence AA545217	16	—	—	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Kpna2	Karyopherin (importin) a2	18	51-53	0.78	Protein import, nuclear transport, and nucleocytoplasmic transport
Tacc3	Transforming, acidic coiled-coil-containing protein 3	18	12-14	0.7335	Protein import, nuclear transport, and nucleocytoplasmic transport
Kpnb3	Karyopherin (importin) b3	5, 8, 13	—	0.7277	Protein import, nuclear transport, and nucleocytoplasmic transport
Xpo1	Exportin 1, CRM1 homolog (yeast)	14	—	0.7581	Protein import, nuclear transport, and nucleocytoplasmic transport
