Locus LinkID	Accession number	Gene symbol	Sequence Description	Fold change	p-value(FDR)
4070	NM_002353	TACSTD2	tumor-associated calcium signal transducer 2 (TACSTD2)	-2.65	5.10E-14
131566	AK001362	DCBLD2	cDNA FLJ10500 fis, clone NT2RP2000369.	-2.64	4.50E-12
83641	AK024648	C10orf45	cDNA: FLJ20995 fis, clone CAE02480.	-2.63	1.90E-03
3791	AF035121	KDR	KDR/flk-1 protein mRNA, complete cds.	-2.61	3.10E-12
162998	X64975	OR7D2	H.sapiens mRNA HTPCRH03 for olfactory receptor.	-2.59	2.40E-32
55041	NM_017958	PLEKHB2	pleckstrin homology domain containing, family B (evectins) member 2 (PLEKHB2)	-2.55	4.00E-09
1303	AL359627	COL12A1	mRNA; cDNA DKFZp586K2324 (from clone DKFZp586K2324).	-2.54	9.70E-07
6594	NM_003069	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 (SMARCA1), tra	-2.53	3.60E-09
23370	AB011093	ARHGEF18	mRNA for KIAA0521 protein, partial cds.	-2.52	1.40E-22
5569	NM_006823	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha (PKIA), transcript variant 1	-2.49	3.00E-16
29970	NM_014575	SCHIP1	schwannomin interacting protein 1 (SCHIP1)	-2.48	3.70E-08
25937	AL050107	WWTR1	mRNA; cDNA DKFZp586I1419 (from clone DKFZp586I1419); partial cds.	-2.47	1.80E-12
51256	NM_016495	TBC1D7	TBC1 domain family, member 7 (TBC1D7)	-2.46	7.50E-26
2250	NM_004464	FGF5	fibroblast growth factor 5 (FGF5), transcript variant 1	-2.46	4.20E-05
59277	AF278532	NTN4	beta-netrin mRNA, complete cds.	-2.46	7.50E-13
8614	NM_003714	STC2	stanniocalcin 2 (STC2)	-2.45	3.90E-03
8862	NM_017413	APLN	apelin (APLN)	-2.45	3.20E-03
5998	U27655	RGS3	RGP3 mRNA, complete cds.	-2.44	2.80E-09
29057	NM_014138	TMEM29	PRO0659 protein (PRO0659)	-2.42	1.10E-12
NA	AF100640	MB2	metastasis related protein (MB2) mRNA, partial cds.	-2.42	1.80E-16
2167	NM_001442	FABP4	fatty acid binding protein 4, adipocyte (FABP4)	-2.41	2.30E-06
143686	AF086251	SESN3	full length insert cDNA clone ZD40A05.	-2.41	5.50E-08
27344	NM_013271	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor (PCSK1N)	-2.38	3.10E-20
359845	AF085987	MGC45871	full length insert cDNA clone YU05C01.	-2.38	1.30E-07
1118	NM_003465	CHIT1	chitinase 1 (chitotriosidase) (CHIT1)	-2.38	2.10E-07
170692	AF086229	ADAMTS18	full length insert cDNA clone ZD16H11.	-2.34	1.20E-05
6925	AK021980	TCF4	cDNA FLJ11918 fis, clone HEMBB1000272.	-2.34	5.00E-11
55172	NM_018139	C14orf104	chromosome 14 open reading frame 104 (C14orf104)	-2.34	6.90E-04
6869	NM_001058	TACR1	tachykinin receptor 1 (TACR1), transcript variant long	-2.33	3.10E-09
26659	NM_017506	OR7A5	olfactory receptor, family 7, subfamily C, member 1 (OR7C1)	-2.31	2.50E-09
79709	AK025982	GLT25D1	cDNA: FLJ22329 fis, clone HRC05659.	-2.31	9.00E-08
3763	NM_002240	KCNJ6	potassium inwardly-rectifying channel, subfamily J, member 6 (KCNJ6)	-2.31	7.90E-07
10367	AL117423	CBARA1	mRNA; cDNA DKFZp564C246 (from clone DKFZp564C246); complete cds.	-2.3	3.30E-30
NA	AK023061	NA	cDNA FLJ12999 fis, clone NT2RP3000324.	-2.29	2.10E-03
9518	NM_004864	GDF15	prostate differentiation factor (PLAB)	-2.27	4.60E-12
NA	AK023522	NA	cDNA FLJ13460 fis, clone PLACE1003373.	-2.27	2.80E-09
5108	AJ297349	PCM1	t(8;10)(p21.3;q11.2) translocation breakpoint for partial RET/PCM-1 fusion gene.	-2.27	2.40E-10
7020	NM_003220	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha) (TFAP2A)	-2.27	7.50E-03
4904	NM_004559	NSEP1	nuclease sensitive element binding protein 1 (NSEP1)	-2.26	8.10E-12
7564	AF244088	ZNF16	zinc finger protein mRNA, complete cds.	-2.26	1.70E-19
85007	AK024076	MGC15875	cDNA FLJ14014 fis, clone HEMBA1000290.	-2.26	1.40E-15
10351	NM_007168	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8 (ABCA8)	-2.25	2.10E-05
84651	U47646	ECG2	clone N5-2 mRNA, 3 end.	-2.25	5.70E-03
1000	NM_001792	CDH2	cadherin 2, type 1, N-cadherin (neuronal) (CDH2)	-2.23	1.50E-11
80019	AK021869	UBTD1	cDNA FLJ11807 fis, clone HEMBA1006284.	-2.23	8.50E-10
1401	X56692	CRP	C-reactive protein, pentraxin-related	-2.23	7.50E-11
7189	NM_004620	TRAF6	TNF receptor-associated factor 6 (TRAF6), transcript variant 2	-2.21	6.70E-42
64399	AK024689	HHIP	cDNA: FLJ21036 fis, clone CAE09578.	-2.21	3.00E-05
4502	NM_005953	MT2A	metallothionein 2A (MT2A)	-2.2	9.30E-12
3987	NM_004987	LIMS1	LIM and senescent cell antigen-like domains 1 (LIMS1)	-2.2	8.10E-32
2088	X74613	ERVK3	H.sapiens HERV-K mRNA (252 bp).	-2.2	3.10E-05
4430	AK000160	MYO1B	cDNA FLJ20153 fis, clone COL08656, highly similar to AJ001381 incomplete cDNA for a mutated allele.	-2.19	3.00E-04
55450	NM_018584	CaMKIINalpha	calcium/calmodulin-dependent protein kinase II (CaMKIINalpha)	-2.19	1.70E-08
2202	NM_004105	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1 (EFEMP1), transcript variant 1	-2.19	5.20E-18
9762	NM_014731	ProSAPiP1	ProSAPiP1 protein (ProSAPiP1)	-2.18	3.50E-13
3929	AF105067	LBP	lipopolysaccharide-binding protein (LBP) mRNA, complete cds.	-2.18	1.20E-15
79143	S82470	LENG4	BB1=malignant cell expression-enhanced gene/tumor progression-enhanced gene [, UM-UC-9 bladder carcinoma ce	-2.16	4.30E-04
5340	NM_000301	PLG	plasminogen (PLG)	-2.16	4.30E-04
56925	NM_020169	LXN	latexin protein (LXN)	-2.16	5.50E-07
9397	NM_004808	NMT2	N-myristoyltransferase 2 (NMT2)	-2.15	1.90E-11
1522	NM_001336	CTSZ	cathepsin Z (CTSZ)	-2.15	5.70E-06
4256	NM_000900	MGP	matrix Gla protein (MGP)	-2.14	2.30E-12
4651	AF234532	MYO10	myosin X (MYO10) mRNA, complete cds.	-2.14	2.80E-20
9315	NM_004772	C5orf13	chromosome 5 open reading frame 13 (C5orf13)	-2.14	2.00E-34
1007	NM_016279	CDH9	cadherin 9, type 2 (T1-cadherin) (CDH9)	-2.13	3.80E-03
6772	NM_007315	STAT1	signal transducer and activator of transcription 1, 91kDa (STAT1), transcript variant alpha	-2.12	1.60E-09
26018	AL117666	LRIG1	mRNA; cDNA DKFZp586O1624 (from clone DKFZp586O1624); partial cds.	-2.12	5.30E-08
1811	NM_000111	SLC26A3	solute carrier family 26, member 3 (SLC26A3)	-2.1	5.30E-03
1010	NM_004061	CDH12	cadherin 12, type 2 (N-cadherin 2) (CDH12)	-2.1	2.40E-06
NA	U92981	NA	clone DT1P1B6 mRNA, CAG repeat region.	-2.1	8.30E-03
26118	NM_015626	WSB1	SOCS box-containing WD protein SWiP-1 (WSB1), transcript variant 1	-2.1	6.40E-09
7044	NM_003240	LEFTY2	endometrial bleeding associated factor (left-right determination, factor A; transforming growth factor beta superfamily)	-2.09	3.60E-14
23268	AB023227	DNMBP	mRNA for KIAA1010 protein, partial cds.	-2.09	1.70E-07
5218	NM_012395	PFTK1	PFTAIRE protein kinase 1 (PFTK1)	-2.09	4.60E-06
5351	NM_000302	PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI) (PLOD)	-2.09	2.30E-07
10656	NM_006558	KHDRBS3	KH domain containing, RNA binding, signal transduction associated 3 (KHDRBS3)	-2.08	2.90E-27
57520	AB037722	HECW2	mRNA for KIAA1301 protein, partial cds.	-2.07	1.50E-05
11178	AF123659	LZTS1	FEZ1 (FEZ1) mRNA, complete cds.	-2.07	5.80E-03
64781	AK026892	CERK	cDNA: FLJ23239 fis, clone COL01248.	-2.07	3.00E-10
4733	NM_004147	DRG1	developmentally regulated GTP binding protein 1 (DRG1)	-2.06	4.50E-10
11228	NM_007211	C12orf2	chromosome 12 open reading frame 2 (C12orf2)	-2.04	6.10E-08
10321	NM_006061	CRISP3	cysteine-rich secretory protein 3 (CRISP3)	-2.04	4.00E-05
286334	AF147430	LOC286334	full length insert cDNA clone YP83B01.	-2.04	6.60E-07
57478	AB033029	USP31	mRNA for KIAA1203 protein, partial cds.	-2.04	2.10E-06
3788	AB032970	KCNS2	mRNA for KIAA1144 protein, partial cds.	-2.03	1.20E-08
3399	X69111	ID3	H.sapiens HLH 1R21 mRNA for helix-loop-helix protein.	-2.03	6.70E-10
27134	NM_014428	TJP3	tight junction protein 3 (zona occludens 3) (TJP3)	-2.02	3.60E-14
NA	AF086187	NA	full length insert cDNA clone ZC30H06.	-2.02	2.20E-06
9448	NM_004834	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 1	-2.02	4.90E-07
NA	AL109790	NA	mRNA full length insert cDNA clone EUROIMAGE 1056496.	-2	4.50E-12
NA	AF016004	m6b1	m6b1 mRNA, complete cds.	-2	1.30E-21
79842	AK027045	ZBTB3	cDNA: FLJ23392 fis, clone HEP17418.	-2	3.20E-11
1316	NM_001300	KLF6	core promoter element binding protein (COPEB)	-1.99	6.60E-07
51308	NM_016606	C5orf19	SGC32445 protein (LOC51308)	-1.99	2.90E-07
8870	NM_003897	IER3	immediate early response 3 (IER3), transcript variant short	-1.98	1.40E-17
93663	AK002195	ARHGAP18	cDNA FLJ11333 fis, clone PLACE1010616.	-1.98	6.40E-03
860	L40992	RUNX2	(clone PEBP2aA1) core-binding factor, runt domain, alpha subunit 1 (CBFA1) mRNA, 3 end of cds.	-1.98	4.80E-06
51398	NM_016145	PTD008	PTD008 protein (PTD008)	-1.97	9.60E-07
4600	M30818	MX2	interferon-induced cellular resistance mediator protein (MxB) mRNA, complete cds.	-1.97	2.30E-09
65249	AK024452	ZSWIM4	mRNA for FLJ00044 protein, partial cds.	-1.97	3.10E-09
NA	X04236	NA	small cellular 7 SK mRNA.	-1.96	1.10E-08
219928	AL049451	MRGPRF	mRNA; cDNA DKFZp586B2122 (from clone DKFZp586B2122).	-1.95	5.20E-03
23332	U62822	CLASP1	small nuclear RNA U4atac, partial sequence.	-1.95	9.60E-10
273	NM_001635	AMPH	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen) (AMPH), transcript variant 1	-1.95	9.20E-04
10249	NM_005838	GLYAT	glycine-N-acyltransferase (GLYAT), nuclear gene encoding mitochondrial protein	-1.95	8.60E-10
10668	NM_006568	CGRRF1	cell growth regulator with ring finger domain 1 (CGRRF1)	-1.95	3.60E-09
10962	NM_006818	AF1Q	ALL1-fused gene from chromosome 1q (AF1Q)	-1.94	2.30E-31
1794	D86964	DOCK2	mRNA for KIAA0209 gene, partial cds.	-1.94	3.60E-05
79772	AK025997	MCTP1	cDNA: FLJ22344 fis, clone HRC06080.	-1.94	4.00E-13
4500	X97261	MT1L	H.sapiens mRNA for metallothionein isoform 1R.	-1.94	1.30E-25
89796	AB032977	NAV1	mRNA for KIAA1151 protein, partial cds.	-1.93	3.00E-04
3953	NM_002303	LEPR	leptin receptor (LEPR)	-1.93	7.30E-03
5241	NM_000926	PGR	progesterone receptor (PGR)	-1.93	5.60E-03
57580	AB037836	PREX1	mRNA for KIAA1415 protein, partial cds.	-1.93	1.00E-15
4017	NM_002318	LOXL2	lysyl oxidase-like 2 (LOXL2)	-1.93	6.10E-10
NA	Z36780	NA	H.sapiens (xs122) mRNA, 160bp.	-1.92	3.70E-12
8835	NM_003877	SOCS2	suppressor of cytokine signaling 2 (SOCS2)	-1.92	4.10E-03
7852	NM_003467	CXCR4	chemokine (C-X-C motif) receptor 4 (CXCR4)	-1.92	4.30E-04
6288	NM_000331	SAA1	serum amyloid A1 (SAA1)	-1.91	2.30E-09
7763	NM_006007	ZA20D2	zinc finger protein 216 (ZNF216)	-1.91	1.90E-19
83439	AB031046	TCF7L1	mRNA for HMG-box transcription factor TCF-3, complete cds.	-1.9	5.60E-05
55075	AB046781	UACA	mRNA for KIAA1561 protein, partial cds.	-1.9	3.40E-06
3714	NM_002226	JAG2	jagged 2 (JAG2), transcript variant 1	-1.9	6.70E-42
56300	NM_019618	IL1F9	interleukin 1 family, member 9 (IL1F9)	-1.9	7.00E-08
2631	NM_001483	GBAS	glioblastoma amplified sequence (GBAS)	-1.9	5.10E-05
NA	AF143882	unknown	clone IMAGE:121214 mRNA sequence.	-1.9	1.80E-10
11228	AK021604	C12orf2	cDNA FLJ11542 fis, clone HEMBA1002801.	-1.89	3.00E-04
79843	AK026399	FLJ22746	cDNA: FLJ22746 fis, clone HUV01174.	-1.89	8.00E-04
9411	NM_004815	PARG1	PTPL1-associated RhoGAP 1 (PARG1)	-1.89	1.80E-22
4082	NM_002356	MARCKS	myristoylated alanine-rich protein kinase C substrate (MARCKS)	-1.89	7.30E-14
51735	NM_016340	RAPGEF6	PDZ domain containing guanine nucleotide exchange factor (GEF) 2 (PDZGEF2)	-1.88	4.30E-07
9671	NM_014653	KIAA0789	NA	-1.87	4.40E-06
2273	NM_001449	FHL1	four and a half LIM domains 1 (FHL1)	-1.87	1.40E-06
79660	AK024067	PPP1R3B	cDNA FLJ14005 fis, clone Y79AA1002361, moderately similar to Rattus norvegicus mRNA for protein phosphatase 1	-1.86	3.00E-04
10434	NM_006330	LYPLA1	lysophospholipase I (LYPLA1)	-1.86	4.60E-17
10253	NM_005842	SPRY2	sprouty homolog 2 (Drosophila) (SPRY2)	-1.86	3.50E-06
92312	AK024097	LOC92312	cDNA FLJ14035 fis, clone HEMBA1004638.	-1.86	3.70E-06
NA	NM_016064	MSRB2	pilin-like transcription factor (PILB)	-1.86	2.10E-05
2589	NM_020474	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1) (GALNT1)	-1.86	2.10E-06
10916	U92544	MAGED2	hepatocellular carcinoma associated protein (JCL-1) mRNA, complete cds.	-1.86	5.00E-07
NA	M73547	DP1	polyposis locus (DP1 gene) mRNA, complete cds.	-1.86	4.30E-33
7035	NM_006287	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) (TFPI)	-1.85	8.00E-03
57716	AB046840	PRX	mRNA for KIAA1620 protein, partial cds.	-1.85	1.10E-04
5337	AK026225	PLD1	cDNA: FLJ22572 fis, clone HSI02313.	-1.85	6.00E-13
54407	AF116620	SLC38A2	PRO1068 mRNA, complete cds.	-1.85	9.20E-04
1006	NM_001796	CDH8	cadherin 8, type 2 (CDH8)	-1.85	7.00E-03
6659	NM_003107	SOX4	SRY (sex determining region Y)-box 4 (SOX4)	-1.84	2.10E-20
10741	NM_006606	RBBP9	retinoblastoma binding protein 9 (RBBP9), transcript variant 1	-1.84	6.70E-42
3956	NM_002305	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1) (LGALS1)	-1.84	3.60E-06
196	NM_001621	AHR	aryl hydrocarbon receptor (AHR)	-1.84	3.10E-11
122704	AK000450	MRPL52	cDNA FLJ20443 fis, clone KAT05031.	-1.83	1.00E-04
4588	U97698	MUC6	secretory mucin MUC6 (MUC6) mRNA, partial cds.	-1.83	8.20E-13
26086	AL117478	GPSM1	mRNA; cDNA DKFZp727I051 (from clone DKFZp727I051); partial cds.	-1.83	6.50E-14
4628	M69181	MYH10	nonmuscle myosin heavy chain-B (MYH10) mRNA, partial cds.	-1.83	2.20E-06
5806	NM_002852	PTX3	pentaxin-related gene, rapidly induced by IL-1 beta (PTX3)	-1.83	8.80E-08
81557	AF320908	MAGED4	MAGE-D4 (MAGED4) mRNA, partial cds.	-1.82	2.20E-10
5352	NM_000935	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2 (PLOD2), transcript variant 2	-1.82	7.30E-08
NA	AK021457	NA	cDNA FLJ11395 fis, clone HEMBA1000594.	-1.81	2.60E-03
8407	NM_003564	TAGLN2	transgelin 2 (TAGLN2)	-1.81	3.30E-03
4603	X66087	MYBL1	H.sapiens a-myb mRNA.	-1.81	1.20E-04
25822	NM_012266	DNAJB5	DnaJ (Hsp40) homolog, subfamily B, member 5 (DNAJB5)	-1.81	1.40E-11
64093	AJ249900	SMOC1	mRNA for secreted modular calcium-binding protein (smoc1 gene).	-1.81	3.60E-05
NA	NM_016214	COL18A1	collagen, type XVIII, alpha 1 (COL18A1), transcript variant 1	-1.8	8.20E-08
4644	U90942	MYO5A	myosin heavy chain 12 (MYO5A) mRNA, complete cds.	-1.8	3.90E-05
800	AF247820	CALD1	NAG22 protein mRNA, complete cds.	-1.79	4.90E-03
5567	NM_002731	PRKACB	protein kinase, cAMP-dependent, catalytic, beta (PRKACB), transcript variant 2	-1.79	3.00E-04
64750	AF301463	SMURF2	ubiquitin E3 ligase SMURF2 (SMURF2) mRNA, complete cds.	-1.78	2.70E-10
4082	AB020968	MARCKS	mRNA, 3UTR, up-regulated by BCG-CWS.	-1.78	4.60E-14
57381	AJ276567	RHOJ	partial mRNA for TC10-like Rho GTPase (TCL gene).	-1.78	2.30E-35
63027	AL110245	C6orf85	mRNA; cDNA DKFZp434F011 (from clone DKFZp434F011); partial cds.	-1.78	5.10E-12
974	M89957	CD79B	immunoglobulin superfamily member B cell receptor complex cell surface glycoprotein (IGB) mRNA, complete cds.	-1.78	1.60E-06
11098	NM_007173	PRSS23	protease, serine, 23 (SPUVE)	-1.77	1.30E-12
2953	NM_000854	GSTT2	glutathione S-transferase theta 2 (GSTT2)	-1.77	6.70E-42
10085	NM_005711	EDIL3	EGF-like repeats and discoidin I-like domains 3 (EDIL3)	-1.77	3.00E-03
5142	NM_002600	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila) (PDE4B)	-1.77	2.40E-10
5890	AF132200	RAD51L1	PRO1751 mRNA, complete cds.	-1.77	4.90E-06
3690	NM_000212	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) (ITGB3)	-1.77	4.30E-04
4282	NM_002415	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor) (MIF)	-1.77	2.70E-05
23138	AB002339	N4BP3	mRNA for KIAA0341 gene, partial cds.	-1.76	3.60E-03
147991	AK024775	LOC147991	cDNA: FLJ21122 fis, clone CAS05917.	-1.76	1.90E-12
669	NM_001724	BPGM	2,3-bisphosphoglycerate mutase (BPGM)	-1.76	5.20E-06
55568	AK021777	GALNT10	cDNA FLJ11715 fis, clone HEMBA1005223.	-1.76	1.60E-04
1613	NM_001348	DAPK3	death-associated protein kinase 3 (DAPK3)	-1.75	9.60E-20
5663	NM_007318	PSEN1	presenilin 1 (Alzheimer disease 3) (PSEN1), transcript variant I-463	-1.75	1.60E-10
2707	AF052692	GJB3	connexin 31 (GJB3) mRNA, complete cds.	-1.75	8.00E-04
122786	AK021747	C14orf31	cDNA FLJ11685 fis, clone HEMBA1004934.	-1.75	6.80E-03
1601	NM_001343	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila) (DAB2)	-1.75	3.10E-09
9902	NM_006039	MRC2	mannose receptor, C type 2 (MRC2)	-1.74	3.80E-07
55062	NM_017983	WIPI49	hypothetical protein FLJ10055 (FLJ10055)	-1.74	3.00E-04
NA	NM_017862	NA	NA	-1.74	4.60E-06
80243	AK023631	NA	cDNA FLJ13569 fis, clone PLACE1008369.	-1.74	2.10E-08
64127	AF178930	CARD15	NOD2 protein (NOD2) mRNA, complete cds.	-1.73	5.60E-04
2687	NM_004121	GGTLA1	gamma-glutamyltransferase-like activity 1 (GGTLA1)	-1.73	7.40E-05
220112	AF075011	CTAGE3	full length insert cDNA YI08B08.	-1.73	6.80E-05
1232	NM_001837	CCR3	chemokine (C-C motif) receptor 3 (CCR3), transcript variant 1	-1.73	1.10E-08
637	NM_001196	BID	BH3 interacting domain death agonist (BID), transcript variant 2	-1.73	1.60E-04
6611	NM_004595	SMS	spermine synthase (SMS)	-1.73	1.30E-03
29890	NM_013286	RBM15B	chromosome 3p21.1 gene sequence (HUMAGCGB)	-1.73	1.60E-06
3199	AL079274	HOXA2	mRNA full length insert cDNA clone EUROIMAGE 345330.	-1.73	2.00E-03
9110	AF264717	MTMR4	FYVE domain-containing dual specificity protein phosphatase FYVE-DSP2 mRNA, complete cds.	-1.73	1.60E-04
2779	NM_000172	GNAT1	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 (GNAT1), transcript variant 2	-1.73	1.10E-05
1627	NM_004395	DBN1	drebrin 1 (DBN1), transcript variant 1	-1.72	2.10E-03
23365	NM_015313	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12 (ARHGEF12)	-1.72	3.60E-14
NA	S70385	NA	c-myc=Burkitt-like c-myc {exons 1 and 2, oncogene} [, prolymphocytic leukemia patient, mRNA Partial Mutant, 80 nt,	-1.72	2.10E-06
NA	AY007090	NA	clone TCCCIA00112 mRNA sequence.	-1.71	1.40E-03
10525	NM_006389	HYOU1	hypoxia up-regulated 1 (HYOU1)	-1.71	8.70E-08
1942	NM_004428	EFNA1	ephrin-A1 (EFNA1), transcript variant 1	-1.71	4.00E-09
9537	NM_006034	TP53I11	tumor protein p53 inducible protein 11 (TP53I11)	-1.71	4.40E-09
388	NM_004040	RHOB	ras homolog gene family, member B (ARHB)	-1.71	1.90E-18
6459	AL359623	SH3GLP2	mRNA; cDNA DKFZp761J182 (from clone DKFZp761J182).	-1.71	8.10E-06
NA	AF147337	NA	full length insert cDNA clone YB26C09.	-1.7	7.50E-03
55135	NM_018081	FLJ10385	hypothetical protein FLJ10385 (FLJ10385)	-1.7	2.20E-03
26049	AB020695	KIAA0888	mRNA for KIAA0888 protein, partial cds.	-1.7	2.40E-03
1974	S67154	EIF4A2	E3 snRNA, E3 snRNA {intron 8} [, snRNA, 135 nt].	-1.7	5.40E-08
10982	U90437	MAPRE2	RP1 homolog mRNA, 3UTR region.	-1.7	2.90E-08
1036	NM_001801	CDO1	cysteine dioxygenase, type I (CDO1)	-1.7	8.00E-04
858	NM_001233	CAV2	caveolin 2 (CAV2)	-1.7	8.50E-08
2977	NM_000855	GUCY1A2	guanylate cyclase 1, soluble, alpha 2 (GUCY1A2)	-1.7	2.50E-06
9315	AK021624	C5orf13	cDNA FLJ11562 fis, clone HEMBA1003197.	-1.7	9.00E-08
64283	AK025470	RGNEF	cDNA: FLJ21817 fis, clone HEP01141.	-1.7	1.00E-09
8793	NM_003840	TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain (TNFRSF10D)	-1.7	5.10E-05
26036	AK023072	ZNF451	cDNA FLJ13010 fis, clone NT2RP3000542.	-1.69	3.20E-03
