Column ID	Fold-Change (EXP vs. CTRL)	p-value (EXP vs. CTRL)	Gene Symbol	RefSeq Transcript ID
1456984_at	1.85	0.002095	LOC100047360 /// Scml2	NM_133194 /// XM_001476928
1418754_at	1.85	0.0071698	Adcy8	NM_009623
1418500_at	1.83	0.0336094	Nap1l3	NM_138742
1455645_at	1.83	0.007533	8030451F13Rik	NM_175418
1434270_at	1.82	0.0043868	Npcd /// Nptxr	NM_001013360 /// NM_001013362 /// NM_030689
1449379_at	1.82	0.0064979	Kdr	NM_010612
1416938_at	1.82	0.0029683	Chchd1	NM_025366
1419681_a_at	1.79	0.0136942	Prok2	NM_001037539 /// NM_015768
1442113_at	1.78	0.016317	5330417C22Rik	NM_001033304
1436844_at	1.77	0.0009101	---	---
1434424_at	1.77	0.003355	Flvcr1	NM_001081259
1451575_a_at	1.75	0.007574	LOC100047647 /// Nudt3	NM_019837 /// XM_001478680
1435204_at	1.74	0.0096595	Prmt8	NM_201371
1455538_at	1.71	0.0188458	6330403M23Rik	XM_891875 /// XM_908467
1437748_at	1.71	0.0035265	Fut11	NM_028428
1423726_at	1.7	0.0009703	Vat1	NM_012037
1444341_at	1.69	0.0071495	8030451F13Rik	NM_175418
1434672_at	1.69	0.0063208	Gpr22	NM_175191
1427063_at	1.68	0.0051485	5330417C22Rik	NM_001033304
1423619_at	1.67	0.0084987	Rasd1	NM_009026
1434925_at	1.66	0.005692	4833424O15Rik	NM_029425
1454672_at	1.66	0.0000685	---	---
1448830_at	1.63	0.0034987	Dusp1	NM_013642
1451322_at	1.62	0.0439845	Cmbl	NM_181588
1434673_at	1.62	0.0250389	Gpr22	NM_175191
1450546_at	1.61	0.0301536	Ammecr1	NM_019496
1438165_x_at	1.6	0.004341	Vat1	NM_012037
1449031_at	1.6	0.0009794	Cited1	NM_007709
1434854_a_at	1.6	0.0002146	Rps10	NM_025963
1455215_at	1.59	0.0051983	C530028O21Rik	NM_175696
1438344_at	1.59	0.0388869	4833424O15Rik	NM_029425
1425848_a_at	1.59	0.012236	Dusp26	NM_025869
1451897_a_at	1.59	0.0332238	Nbr1	NM_008676
1449289_a_at	1.58	0.0042134	B2m	NM_009735
1452428_a_at	1.58	0.0085152	B2m	NM_009735
1438194_at	1.58	0.0030459	2900019G14Rik	---
1426176_a_at	1.58	0.0044907	Prok2	NM_001037539 /// NM_015768
1417812_a_at	1.57	0.0174904	Lamb3	NM_008484
1453152_at	1.57	0.0153904	Mamdc2	NM_174857
1427790_at	1.57	0.0473114	Adam1a	NM_172126
1442008_at	1.57	0.0177201	---	---
1444763_at	1.57	0.0020724	Ptprk	NM_008983
1434944_at	1.56	0.0141476	Dmpk	NM_032418
1448343_a_at	1.56	0.0015434	Nbr1	NM_008676
1451952_at	1.56	0.0058268	Prok2	NM_001037539 /// NM_015768
1441930_x_at	1.56	0.0227672	Vat1	NM_012037
1451348_at	1.55	0.0000872	Depdc6	NM_001037937 /// NM_145470
1449380_at	1.54	0.0039244	Pacsin1	NM_011861 /// NM_178365
1417336_a_at	1.54	0.0018372	Sytl4	NM_013757
1448747_at	1.54	0.0131515	Fbxo32	NM_026346
1423851_a_at	1.54	0.0005747	Shisa2	NM_145463
1440998_at	1.53	0.0033432	2310021P13Rik	NM_027996
1417373_a_at	1.53	0.0014212	Tuba4a	NM_009447
1449381_a_at	1.53	0.0245487	Pacsin1	NM_011861 /// NM_178365
1438706_at	1.53	0.0036992	6430517E21Rik	NM_207583
1423556_at	1.53	0.0145619	Akr1b7	NM_009731
1448690_at	1.53	0.0044652	Kcnk1	NM_008430
1450850_at	1.53	0.0023466	Ezr /// LOC100044177	NM_009510 /// XM_001471637
1447926_at	1.53	0.0139446	Arl5a	NM_182994
1443579_s_at	1.52	0.018719	Depdc6	NM_001037937 /// NM_145470
1423854_a_at	1.52	0.0179189	Rasl11b	NM_026878
1449984_at	1.51	0.0283846	Cxcl2	NM_009140
1433951_at	1.5	0.0135272	Arl5a	NM_182994
1420575_at	1.5	0.0041211	Mt3	NM_013603
1426858_at	1.5	0.0016267	Inhbb /// LOC100046802	NM_008381 /// XM_001476835
1436196_at	-1.51	0.0199053	C030046G05	---
1416101_a_at	-1.51	0.0017288	Hist1h1c	NM_015786
1429434_at	-1.52	0.0239003	Pik3ca	NM_008839
1417429_at	-1.53	0.0077353	Fmo1	NM_010231
1428447_at	-1.54	0.0121037	Tmem14a	NM_029398
1417073_a_at	-1.54	0.0077364	Qk	NM_021881
1452353_at	-1.55	0.0014111	Gpr155	NM_001080707
1429076_a_at	-1.55	0.0051263	Gdpd2	NM_023608
1453593_at	-1.55	0.0126289	Vgll3	XM_001480406 /// XM_283372
1426024_a_at	-1.55	0.0004624	Dbn1	NM_019813
1428789_at	-1.56	0.007321	Ralgps2	NM_023884
1424221_at	-1.56	0.0283102	Susd4	NM_144796
1440981_at	-1.56	0.0004265	Pak7	NM_172858
1452014_a_at	-1.57	0.03011	Igf1	NM_001111274 /// NM_001111275 /// NM_001111276 /// NM_010512 /// NM_184052
1450932_s_at	-1.57	0.0010255	Dock9	NM_001081039
1451734_a_at	-1.58	0.0371265	Dbn1	NM_019813
1460036_at	-1.58	0.0084386	Ap1s2	NM_026887
1419638_at	-1.58	0.0182806	Efnb2	NM_010111
1444646_at	-1.59	0.0174808	8430420F16Rik	---
1437075_at	-1.6	0.0173141	Frmd3	NM_172869
1456606_a_at	-1.61	0.0080323	Chst11 /// Phactr1	NM_001005740 /// NM_001005748 /// NM_021439 /// NM_198419
1456735_x_at	-1.61	0.0333057	Acpl2	NM_153420
1442819_at	-1.64	0.012214	Rhbdl2	NM_183163
1448823_at	-1.64	0.0039956	Cxcl12	NM_001012477 /// NM_013655 /// NM_021704
1434423_at	-1.66	0.0081588	Gulp1	NM_027506 /// NM_028450
1419549_at	-1.67	0.0198211	Arg1	NM_007482
1429052_at	-1.68	0.0034709	Ptprd	NM_001014288 /// NM_011211
1423561_at	-1.69	0.0072001	Nell2	NM_016743
1435189_at	-1.69	0.0014458	Frmpd1	NM_001081172
1455847_at	-1.71	0.0044679	Pak7	NM_172858
1454838_s_at	-1.72	0.0375976	AW548124 /// LOC100048505	NM_134117 /// XM_001480482 /// XM_001480484
1418989_at	-1.75	0.0461754	Ctse	NM_007799
1452657_at	-1.76	0.0000834	Ap1s2	NM_026887
1428227_at	-1.77	0.0141643	Rest	NM_011263
1436994_a_at	-1.78	0.0457056	Hist1h1c	NM_015786
1448665_at	-1.79	0.0235617	Dmd	NM_007868
1447903_x_at	-1.79	0.0017943	Ap1s2	NM_026887
1417307_at	-1.81	0.0047192	Dmd	NM_007868
1438989_s_at	-1.83	0.0010136	B130021B11Rik	---
1416658_at	-1.88	0.0044948	Frzb	NM_011356
1439852_at	-1.9	0.0097378	---	---
1438861_at	-1.92	0.0010955	Bnc2	NM_172870
1424886_at	-1.94	0.0093947	Ptprd	NM_001014288 /// NM_011211
1434413_at	-1.97	0.0054802	Igf1	NM_001111274 /// NM_001111275 /// NM_001111276 /// NM_010512 /// NM_184052
1449158_at	-1.98	0.0122903	Kcnk2	NM_010607
1435537_at	-2.03	0.0204418	Ptprd	NM_001014288 /// NM_011211
1448318_at	-2.04	0.0039507	Adfp	NM_007408
1418271_at	-2.05	0.0013678	Bhlhb5	NM_021560
1427436_at	-2.05	0.0027005	Six2	NM_011380
1437401_at	-2.07	0.0012287	Igf1	NM_001111274 /// NM_001111275 /// NM_001111276 /// NM_010512 /// NM_184052
1428227_at	-2.12	0.0104221	Rest	NM_011263
1421075_s_at	-2.14	0.0070824	Cyp7b1	NM_007825
1421074_at	-2.43	0.0007461	Cyp7b1	NM_007825
1455893_at	-2.87	0.0018093	Rspo2	NM_172815
1416589_at	-3.72	0.0068325	Sparc	NM_009242
1448392_at	-4.82	0.0011427	Sparc	NM_009242
